Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1219'],[' 618'],"[' 522.014s (Solving', ' 518.78s 1st Model', ' 1.94s Unsat', ' 264.29s)']",[' 521.859s'], ,[' 19617306'],"[' 12739044 (Analyzed', ' 12703573)']","[' 26962    (Average', ' 471.17 Last', ' 48131)']",[' 1912.3  '],"[' 618      (Average Length', ' 298.48 Splits', ' 0)']","[' 12703573 (Deleted', ' 12503563)']","[' 69       (Ratio', '   0.00%)']","[' 2474     (Ratio', '   0.02%)']","[' 12703573 (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12703573 (Average', '  1.44 Max', ' 2556 Sum', ' 18346323)']","[' 12703314 (Average', '  1.44 Max', ' 2556 Sum', ' 18289237 Ratio', '  99.69%)']","[' 259      (Average', ' 220.41 Max', ' 480 Sum', '  57086 Ratio', '   0.31%)']", ,[' 99173   '],[' 4014    '],[' 98764   '],[' 56200   '],"[' 168596   (Atom=Atom', ' 53184 Body=Body', ' 29464 Other', ' 85948)']",[' Yes'],"[' 4605     (Eliminated', '    0 Frozen', ' 4605)']","[' 267      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.883366'],[' 0'], ,[' 440.282'],[' 0'],[' 7.24196'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.58413e+07'],[' 3.65314e+07'],[' 0'],[' 6.90061e+10'],[' 0'],[' 0'],[' 527 '],[' 1127 '],[' 1693 '],[' 2173 '],[' 2575 '],[' 3239 '],[' 3858 '],[' 4332 '],[' 2 '],[' 6 ']
Solving...,TA62, , , ,[' 1429'],[' 723'],"[' 425.925s (Solving', ' 421.80s 1st Model', ' 2.33s Unsat', ' 41.31s)']",[' 425.438s'], ,[' 31529246'],"[' 18572827 (Analyzed', ' 18531767)']","[' 35141    (Average', ' 527.35 Last', ' 18758)']",[' 1973.6  '],"[' 723      (Average Length', ' 348.45 Splits', ' 0)']","[' 18531767 (Deleted', ' 18280121)']","[' 55       (Ratio', '   0.00%)']","[' 2411     (Ratio', '   0.01%)']","[' 18531767 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18531767 (Average', '  1.61 Max', ' 2618 Sum', ' 29861532)']","[' 18531514 (Average', '  1.61 Max', ' 2618 Sum', ' 29822791 Ratio', '  99.87%)']","[' 253      (Average', ' 153.13 Max', ' 555 Sum', '  38741 Ratio', '   0.13%)']", ,[' 100616  '],[' 4100    '],[' 100314  '],[' 56539   '],"[' 169613   (Atom=Atom', ' 53437 Body=Body', ' 29550 Other', ' 86626)']",[' Yes'],"[' 4798     (Eliminated', '    0 Frozen', ' 4798)']","[' 348      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.04725'],[' 0'], ,[' 313.871'],[' 0'],[' 6.1523'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.86857e+07'],[' 5.5026e+07'],[' 0'],[' 4.00426e+10'],[' 0'],[' 0'],[' 662 '],[' 1111 '],[' 1650 '],[' 2007 '],[' 2600 '],[' 3033 '],[' 3593 '],[' 4095 '],[' 3 '],[' 5 ']
Solving...,TA63, , , ,[' 1281'],[' 649'],"[' 290.721s (Solving', ' 286.71s 1st Model', ' 2.20s Unsat', ' 31.11s)']",[' 290.484s'], ,[' 23213117'],"[' 15491474 (Analyzed', ' 15466212)']","[' 29671    (Average', ' 521.26 Last', ' 50707)']",[' 2053.2  '],"[' 649      (Average Length', ' 315.51 Splits', ' 0)']","[' 15466212 (Deleted', ' 15235986)']","[' 88       (Ratio', '   0.00%)']","[' 1914     (Ratio', '   0.01%)']","[' 15466212 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15466212 (Average', '  1.40 Max', ' 2669 Sum', ' 21713501)']","[' 15465975 (Average', '  1.40 Max', ' 2669 Sum', ' 21682392 Ratio', '  99.86%)']","[' 237      (Average', ' 131.26 Max', ' 400 Sum', '  31109 Ratio', '   0.14%)']", ,[' 99090   '],[' 4010    '],[' 98718   '],[' 55985   '],"[' 167951   (Atom=Atom', ' 52973 Body=Body', ' 29460 Other', ' 85518)']",[' Yes'],"[' 4638     (Eliminated', '    0 Frozen', ' 4638)']","[' 199      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.02141'],[' 0'], ,[' 195.812'],[' 0'],[' 3.8222'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.53404e+07'],[' 3.94715e+07'],[' 0'],[' 2.29907e+10'],[' 0'],[' 0'],[' 678 '],[' 1233 '],[' 1727 '],[' 2215 '],[' 2650 '],[' 3181 '],[' 3580 '],[' 4093 '],[' 2 '],[' 6 ']
Solving...,TA64, , , ,[' 1351'],[' 684'],"[' 397.872s (Solving', ' 393.87s 1st Model', ' 2.31s Unsat', ' 13.31s)']",[' 397.313s'], ,[' 29666295'],"[' 19935322 (Analyzed', ' 19905130)']","[' 37957    (Average', ' 524.41 Last', ' 19347)']",[' 2079.6  '],"[' 684      (Average Length', ' 329.86 Splits', ' 0)']","[' 19905130 (Deleted', ' 19634336)']","[' 50       (Ratio', '   0.00%)']","[' 1948     (Ratio', '   0.01%)']","[' 19905130 (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19905130 (Average', '  1.40 Max', ' 2694 Sum', ' 27963481)']","[' 19904975 (Average', '  1.40 Max', ' 2694 Sum', ' 27943258 Ratio', '  99.93%)']","[' 155      (Average', ' 130.47 Max', ' 528 Sum', '  20223 Ratio', '   0.07%)']", ,[' 99516   '],[' 4024    '],[' 99169   '],[' 56708   '],"[' 170120   (Atom=Atom', ' 53682 Body=Body', ' 29474 Other', ' 86964)']",[' Yes'],"[' 4677     (Eliminated', '    0 Frozen', ' 4677)']","[' 194      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00328'],[' 0'], ,[' 280.888'],[' 0'],[' 5.92017'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.16942e+07'],[' 4.57129e+07'],[' 0'],[' 3.11516e+10'],[' 0'],[' 0'],[' 718 '],[' 1244 '],[' 1647 '],[' 2127 '],[' 2654 '],[' 3051 '],[' 3574 '],[' 3968 '],[' 3 '],[' 5 ']
Solving...,TA65, , , ,[' 1329'],[' 673'],"[' 335.598s (Solving', ' 332.19s 1st Model', ' 1.80s Unsat', ' 76.84s)']",[' 335.313s'], ,[' 9736164 '],"[' 5698873  (Analyzed', ' 5533447)']","[' 12936    (Average', ' 427.76 Last', ' 11346)']",[' 1909.7  '],"[' 673      (Average Length', ' 321.82 Splits', ' 0)']","[' 5533447  (Deleted', ' 5430135)']","[' 75       (Ratio', '   0.00%)']","[' 2059     (Ratio', '   0.04%)']","[' 5533447  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5533447  (Average', '  1.52 Max', ' 2769 Sum', ' 8407997)']","[' 5533237  (Average', '  1.51 Max', ' 2769 Sum', ' 8355611 Ratio', '  99.38%)']","[' 210      (Average', ' 249.46 Max', ' 529 Sum', '  52386 Ratio', '   0.62%)']", ,[' 99299   '],[' 4104    '],[' 98938   '],[' 57331   '],"[' 171989   (Atom=Atom', ' 54225 Body=Body', ' 29554 Other', ' 88210)']",[' Yes'],"[' 4743     (Eliminated', '    0 Frozen', ' 4743)']","[' 146      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.86828'],[' 0'], ,[' 295.744'],[' 0'],[' 4.94006'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.57481e+07'],[' 2.25996e+07'],[' 0'],[' 4.75041e+10'],[' 0'],[' 0'],[' 499 '],[' 1075 '],[' 1475 '],[' 2157 '],[' 2636 '],[' 3259 '],[' 3759 '],[' 4220 '],[' 2 '],[' 6 ']
Solving...,TA66, , , ,[' 1191'],[' 604'],"[' 527.968s (Solving', ' 524.90s 1st Model', ' 1.53s Unsat', ' 145.95s)']",[' 527.578s'], ,[' 27255696'],"[' 16842939 (Analyzed', ' 16763179)']","[' 32684    (Average', ' 512.89 Last', ' 5919)']",[' 1852.2  '],"[' 604      (Average Length', ' 295.93 Splits', ' 0)']","[' 16763179 (Deleted', ' 16537496)']","[' 66       (Ratio', '   0.00%)']","[' 2723     (Ratio', '   0.02%)']","[' 16763179 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16763179 (Average', '  1.54 Max', ' 2601 Sum', ' 25818265)']","[' 16762919 (Average', '  1.54 Max', ' 2601 Sum', ' 25772017 Ratio', '  99.82%)']","[' 260      (Average', ' 177.88 Max', ' 406 Sum', '  46248 Ratio', '   0.18%)']", ,[' 99710   '],[' 4064    '],[' 99300   '],[' 56184   '],"[' 168548   (Atom=Atom', ' 53118 Body=Body', ' 29514 Other', ' 85916)']",[' Yes'],"[' 4654     (Eliminated', '    0 Frozen', ' 4654)']","[' 394      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.834309'],[' 0'], ,[' 432.233'],[' 0'],[' 7.01883'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.13262e+07'],[' 4.31448e+07'],[' 0'],[' 6.16713e+10'],[' 0'],[' 0'],[' 588 '],[' 1179 '],[' 1618 '],[' 2158 '],[' 2639 '],[' 3197 '],[' 3672 '],[' 4259 '],[' 3 '],[' 5 ']
Solving...,TA67, , , ,[' 1259'],[' 638'],"[' 581.328s (Solving', ' 577.67s 1st Model', ' 2.00s Unsat', ' 73.84s)']",[' 581.000s'], ,[' 31476478'],"[' 20432053 (Analyzed', ' 20398833)']","[' 40368    (Average', ' 505.32 Last', ' 120814)']",[' 1998.4  '],"[' 638      (Average Length', ' 306.64 Splits', ' 0)']","[' 20398833 (Deleted', ' 20114798)']","[' 83       (Ratio', '   0.00%)']","[' 2734     (Ratio', '   0.01%)']","[' 20398833 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20398833 (Average', '  1.46 Max', ' 2654 Sum', ' 29798845)']","[' 20398581 (Average', '  1.46 Max', ' 2654 Sum', ' 29768812 Ratio', '  99.90%)']","[' 252      (Average', ' 119.18 Max', ' 2476 Sum', '  30033 Ratio', '   0.10%)']", ,[' 99489   '],[' 4071    '],[' 99094   '],[' 56229   '],"[' 168683   (Atom=Atom', ' 53156 Body=Body', ' 29521 Other', ' 86006)']",[' Yes'],"[' 4676     (Eliminated', '    0 Frozen', ' 4676)']","[' 359      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.952966'],[' 0'], ,[' 463.607'],[' 0'],[' 8.63993'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.52585e+07'],[' 4.79117e+07'],[' 0'],[' 6.70549e+10'],[' 0'],[' 0'],[' 683 '],[' 1237 '],[' 1909 '],[' 2518 '],[' 2988 '],[' 3498 '],[' 4029 '],[' 4426 '],[' 4 '],[' 4 ']
Solving...,TA68, , , ,[' 1273'],[' 645'],"[' 408.907s (Solving', ' 405.33s 1st Model', ' 1.72s Unsat', ' 25.56s)']",[' 407.453s'], ,[' 19782766'],"[' 12797896 (Analyzed', ' 12785653)']","[' 26624    (Average', ' 480.23 Last', ' 1191)']",[' 2024.2  '],"[' 645      (Average Length', ' 317.03 Splits', ' 0)']","[' 12785653 (Deleted', ' 12594864)']","[' 69       (Ratio', '   0.00%)']","[' 1693     (Ratio', '   0.01%)']","[' 12785653 (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12785653 (Average', '  1.44 Max', ' 2696 Sum', ' 18399055)']","[' 12785456 (Average', '  1.44 Max', ' 2696 Sum', ' 18360589 Ratio', '  99.79%)']","[' 197      (Average', ' 195.26 Max', ' 486 Sum', '  38466 Ratio', '   0.21%)']", ,[' 98880   '],[' 4021    '],[' 98508   '],[' 56266   '],"[' 168794   (Atom=Atom', ' 53243 Body=Body', ' 29471 Other', ' 86080)']",[' Yes'],"[' 4649     (Eliminated', '    0 Frozen', ' 4649)']","[' 114      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.934339'],[' 0'], ,[' 326.261'],[' 0'],[' 5.98916'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.52333e+07'],[' 3.57568e+07'],[' 0'],[' 4.51442e+10'],[' 0'],[' 0'],[' 432 '],[' 1071 '],[' 1650 '],[' 2278 '],[' 2812 '],[' 3331 '],[' 3766 '],[' 4227 '],[' 3 '],[' 5 ']
Solving...,TA69, , , ,[' 1381'],[' 699'],"[' 404.515s (Solving', ' 400.92s 1st Model', ' 1.98s Unsat', ' 144.83s)']",[' 403.922s'], ,[' 19235144'],"[' 12731560 (Analyzed', ' 12703679)']","[' 26102    (Average', ' 486.69 Last', ' 8151)']",[' 2002.7  '],"[' 699      (Average Length', ' 342.43 Splits', ' 0)']","[' 12703679 (Deleted', ' 12509506)']","[' 71       (Ratio', '   0.00%)']","[' 2141     (Ratio', '   0.02%)']","[' 12703679 (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12703679 (Average', '  1.40 Max', ' 2710 Sum', ' 17758304)']","[' 12703490 (Average', '  1.40 Max', ' 2710 Sum', ' 17728706 Ratio', '  99.83%)']","[' 189      (Average', ' 156.60 Max', ' 537 Sum', '  29598 Ratio', '   0.17%)']", ,[' 99586   '],[' 4023    '],[' 99267   '],[' 56032   '],"[' 168092   (Atom=Atom', ' 53007 Body=Body', ' 29473 Other', ' 85612)']",[' Yes'],"[' 4704     (Eliminated', '    0 Frozen', ' 4704)']","[' 176      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00065'],[' 0'], ,[' 326.087'],[' 0'],[' 5.74572'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.39779e+07'],[' 3.47428e+07'],[' 0'],[' 4.77345e+10'],[' 0'],[' 0'],[' 622 '],[' 1214 '],[' 1629 '],[' 2156 '],[' 2815 '],[' 3243 '],[' 3846 '],[' 4392 '],[' 2 '],[' 6 ']
Solving...,TA70, , ,[' 1'],[' 1287+'],[' 652'],"[' 318.136s (Solving', ' 314.64s 1st Model', ' 2.12s Unsat', ' 62.06s)']",[' 317.844s'], ,[' 9612627 '],"[' 4529736  (Analyzed', ' 4377929)']","[' 10321    (Average', ' 424.18 Last', ' 10251)']",[' 1842.6  '],"[' 652      (Average Length', ' 312.01 Splits', ' 0)']","[' 4377929  (Deleted', ' 4298001)']","[' 73       (Ratio', '   0.00%)']","[' 2312     (Ratio', '   0.05%)']","[' 4377929  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4377929  (Average', '  1.91 Max', ' 2680 Sum', ' 8374903)']","[' 4377734  (Average', '  1.90 Max', ' 2680 Sum', ' 8324736 Ratio', '  99.40%)']","[' 195      (Average', ' 257.27 Max', ' 525 Sum', '  50167 Ratio', '   0.60%)']", ,[' 100047  '],[' 4070    '],[' 99670   '],[' 56838   '],"[' 170510   (Atom=Atom', ' 53766 Body=Body', ' 29520 Other', ' 87224)']",[' Yes'],"[' 4693     (Eliminated', '    0 Frozen', ' 4693)']","[' 108      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.862066'],[' 0'], ,[' 286.088'],[' 0'],[' 4.28322'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.76472e+07'],[' 2.70591e+07'],[' 0'],[' 5.08235e+10'],[' 0'],[' 0'],[' 523 '],[' 983 '],[' 1562 '],[' 2232 '],[' 2618 '],[' 3186 '],[' 3584 '],[' 4268 '],[' 2 '],[' 6 ']
