Optimal Found Or Timeout,Instances,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1839,Completion Time for Window 2 is 3584
Models       ,TA61,"[' 676.623s (Solving', ' 646.46s 1st Model', ' 448.43s Unsat', ' 0.00s)']",[' 673.625s'], ,[' 346096372'],"[' 4485190  (Analyzed', ' 1411964)']","[' 6385     (Average', ' 221.14 Last', ' 159926)']",[' 8682.9  '],"[' 3252     (Average Length', ' 1591.81 Splits', ' 0)']","[' 1411964  (Deleted', ' 1353445)']","[' 269      (Ratio', '   0.02%)']","[' 47169    (Ratio', '   3.34%)']","[' 1411964  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1411964  (Average', ' 227.09 Max', ' 10107 Sum', ' 320637175)']","[' 1411258  (Average', ' 226.23 Max', ' 8619 Sum', ' 319424520 Ratio', '  99.62%)']","[' 706      (Average', ' 1717.64 Max', ' 1720 Sum', ' 1212655 Ratio', '   0.38%)']", ,[' 126708  '],[' 13156   '],[' 128786  '],[' 78324   '],"[' 234968   (Atom=Atom', ' 66166 Body=Body', ' 38606 Other', ' 130196)']",[' Yes'],"[' 16234    (Eliminated', '    0 Frozen', ' 16234)']","[' 6514     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.99385'],[' 0'], ,[' 263.986'],[' 0'],[' 21.4756'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.81869e+08'],[' 8.73481e+08'],[' 0'],[' 1.13556e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA62,"[' 894.361s (Solving', ' 860.01s 1st Model', ' 652.95s Unsat', ' 0.00s)']",[' 890.563s'], ,[' 425655149'],"[' 4884517  (Analyzed', ' 1378793)']","[' 6645     (Average', ' 207.49 Last', ' 80607)']",[' 8802.1  '],"[' 3626     (Average Length', ' 1775.91 Splits', ' 0)']","[' 1378793  (Deleted', ' 1313802)']","[' 230      (Ratio', '   0.02%)']","[' 58843    (Ratio', '   4.27%)']","[' 1378793  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1378793  (Average', ' 288.26 Max', ' 9989 Sum', ' 397444975)']","[' 1378186  (Average', ' 287.37 Max', ' 7976 Sum', ' 396223084 Ratio', '  99.69%)']","[' 607      (Average', ' 2013.00 Max', ' 2013 Sum', ' 1221891 Ratio', '   0.31%)']", ,[' 127526  '],[' 13304   '],[' 129921  '],[' 79290   '],"[' 237866   (Atom=Atom', ' 66984 Body=Body', ' 38754 Other', ' 132128)']",[' Yes'],"[' 16699    (Eliminated', '    0 Frozen', ' 16699)']","[' 6512     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.7768'],[' 0'], ,[' 359.409'],[' 0'],[' 27.4876'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29966e+09'],[' 1.17915e+09'],[' 0'],[' 1.66767e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA63,"[' 895.286s (Solving', ' 859.24s 1st Model', ' 649.35s Unsat', ' 0.00s)']",[' 892.266s'], ,[' 419560497'],"[' 5186204  (Analyzed', ' 1518462)']","[' 7153     (Average', ' 212.28 Last', ' 156959)']",[' 8900.1  '],"[' 3635     (Average Length', ' 1762.86 Splits', ' 0)']","[' 1518462  (Deleted', ' 1455564)']","[' 268      (Ratio', '   0.02%)']","[' 55550    (Ratio', '   3.66%)']","[' 1518462  (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1518462  (Average', ' 257.21 Max', ' 9066 Sum', ' 390559451)']","[' 1517856  (Average', ' 256.47 Max', ' 8445 Sum', ' 389439563 Ratio', '  99.71%)']","[' 606      (Average', ' 1848.00 Max', ' 1848 Sum', ' 1119888 Ratio', '   0.29%)']", ,[' 126911  '],[' 13096   '],[' 129253  '],[' 78467   '],"[' 235397   (Atom=Atom', ' 66369 Body=Body', ' 38546 Other', ' 130482)']",[' Yes'],"[' 16438    (Eliminated', '    0 Frozen', ' 16438)']","[' 5854     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.39092'],[' 0'], ,[' 384.782'],[' 0'],[' 27.7214'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27081e+09'],[' 1.14387e+09'],[' 0'],[' 2.10173e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA64,"[' 835.551s (Solving', ' 806.16s 1st Model', ' 609.52s Unsat', ' 0.00s)']",[' 833.125s'], ,[' 431546288'],"[' 4840092  (Analyzed', ' 1569457)']","[' 7189     (Average', ' 218.31 Last', ' 88407)']",[' 8751.3  '],"[' 3107     (Average Length', ' 1517.00 Splits', ' 0)']","[' 1569457  (Deleted', ' 1500793)']","[' 342      (Ratio', '   0.02%)']","[' 58836    (Ratio', '   3.75%)']","[' 1569457  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1569457  (Average', ' 258.86 Max', ' 9274 Sum', ' 406269741)']","[' 1568791  (Average', ' 258.27 Max', ' 8208 Sum', ' 405347331 Ratio', '  99.77%)']","[' 666      (Average', ' 1385.00 Max', ' 1385 Sum', ' 922410 Ratio', '   0.23%)']", ,[' 126677  '],[' 13194   '],[' 128618  '],[' 78331   '],"[' 234989   (Atom=Atom', ' 66135 Body=Body', ' 38644 Other', ' 130210)']",[' Yes'],"[' 16135    (Eliminated', '    0 Frozen', ' 16135)']","[' 6470     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.07142'],[' 0'], ,[' 353.963'],[' 0'],[' 26.1287'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32613e+09'],[' 1.19709e+09'],[' 0'],[' 1.85407e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA65,"[' 684.662s (Solving', ' 652.28s 1st Model', ' 456.88s Unsat', ' 0.00s)']",[' 681.203s'], ,[' 336065800'],"[' 3800172  (Analyzed', ' 985211)']","[' 5405     (Average', ' 182.28 Last', ' 97974)']",[' 8812.4  '],"[' 3389     (Average Length', ' 1661.83 Splits', ' 0)']","[' 985211   (Deleted', ' 924208)']","[' 219      (Ratio', '   0.02%)']","[' 50649    (Ratio', '   5.14%)']","[' 985211   (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 985211   (Average', ' 314.57 Max', ' 9935 Sum', ' 309917243)']","[' 984523   (Average', ' 313.28 Max', ' 8095 Sum', ' 308651323 Ratio', '  99.59%)']","[' 688      (Average', ' 1840.00 Max', ' 1840 Sum', ' 1265920 Ratio', '   0.41%)']", ,[' 127097  '],[' 13240   '],[' 129279  '],[' 78797   '],"[' 236387   (Atom=Atom', ' 66555 Body=Body', ' 38690 Other', ' 131142)']",[' Yes'],"[' 16422    (Eliminated', '    0 Frozen', ' 16422)']","[' 5254     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.63106'],[' 0'], ,[' 285.471'],[' 0'],[' 21.6087'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.06888e+08'],[' 8.21496e+08'],[' 0'],[' 1.30136e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA66,"[' 1045.268s (Solving', ' 1014.53s 1st Model', ' 827.11s Unsat', ' 0.00s)']",[' 1040.656s'], ,[' 473955507'],"[' 4379290  (Analyzed', ' 1855650)']","[' 7410     (Average', ' 250.43 Last', ' 107751)']",[' 8496.0  '],"[' 3236     (Average Length', ' 1589.25 Splits', ' 0)']","[' 1855650  (Deleted', ' 1779948)']","[' 324      (Ratio', '   0.02%)']","[' 63640    (Ratio', '   3.43%)']","[' 1855650  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1855650  (Average', ' 242.39 Max', ' 9784 Sum', ' 449798506)']","[' 1854982  (Average', ' 241.76 Max', ' 8027 Sum', ' 448624830 Ratio', '  99.74%)']","[' 668      (Average', ' 1757.00 Max', ' 1757 Sum', ' 1173676 Ratio', '   0.26%)']", ,[' 127154  '],[' 13310   '],[' 129189  '],[' 78924   '],"[' 236768   (Atom=Atom', ' 66612 Body=Body', ' 38760 Other', ' 131396)']",[' Yes'],"[' 16345    (Eliminated', '    0 Frozen', ' 16345)']","[' 8189     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.16441'],[' 0'], ,[' 389.908'],[' 0'],[' 31.2468'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.64507e+09'],[' 1.49208e+09'],[' 0'],[' 1.57361e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA67,"[' 834.955s (Solving', ' 804.77s 1st Model', ' 610.84s Unsat', ' 0.00s)']",[' 831.406s'], ,[' 399533638'],"[' 4067376  (Analyzed', ' 1367975)']","[' 6312     (Average', ' 216.73 Last', ' 115956)']",[' 8540.3  '],"[' 3180     (Average Length', ' 1564.01 Splits', ' 0)']","[' 1367975  (Deleted', ' 1302217)']","[' 296      (Ratio', '   0.02%)']","[' 56466    (Ratio', '   4.13%)']","[' 1367975  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1367975  (Average', ' 274.37 Max', ' 9434 Sum', ' 375336989)']","[' 1367344  (Average', ' 273.58 Max', ' 7702 Sum', ' 374244097 Ratio', '  99.71%)']","[' 631      (Average', ' 1732.00 Max', ' 1732 Sum', ' 1092892 Ratio', '   0.29%)']", ,[' 126642  '],[' 13158   '],[' 128656  '],[' 78260   '],"[' 234776   (Atom=Atom', ' 66100 Body=Body', ' 38608 Other', ' 130068)']",[' Yes'],"[' 16172    (Eliminated', '    0 Frozen', ' 16172)']","[' 6843     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.15288'],[' 0'], ,[' 332.289'],[' 0'],[' 25.9041'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20133e+09'],[' 1.08624e+09'],[' 0'],[' 1.43236e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA68,"[' 873.402s (Solving', ' 839.09s 1st Model', ' 624.02s Unsat', ' 0.00s)']",[' 868.297s'], ,[' 392754966'],"[' 4751425  (Analyzed', ' 1301209)']","[' 6389     (Average', ' 203.66 Last', ' 103298)']",[' 8866.1  '],"[' 3276     (Average Length', ' 1596.37 Splits', ' 0)']","[' 1301209  (Deleted', ' 1234710)']","[' 272      (Ratio', '   0.02%)']","[' 55417    (Ratio', '   4.26%)']","[' 1301209  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1301209  (Average', ' 281.28 Max', ' 9193 Sum', ' 366005719)']","[' 1300530  (Average', ' 280.53 Max', ' 8457 Sum', ' 365032712 Ratio', '  99.73%)']","[' 679      (Average', ' 1433.00 Max', ' 1433 Sum', ' 973007 Ratio', '   0.27%)']", ,[' 126936  '],[' 13224   '],[' 129042  '],[' 78620   '],"[' 235856   (Atom=Atom', ' 66394 Body=Body', ' 38674 Other', ' 130788)']",[' Yes'],"[' 16330    (Eliminated', '    0 Frozen', ' 16330)']","[' 6776     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.05617'],[' 0'], ,[' 361.443'],[' 0'],[' 26.6481'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16145e+09'],[' 1.05104e+09'],[' 0'],[' 1.56369e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA69,"[' 891.424s (Solving', ' 858.29s 1st Model', ' 657.80s Unsat', ' 0.00s)']",[' 886.578s'], ,[' 392416119'],"[' 4248628  (Analyzed', ' 1258299)']","[' 5990     (Average', ' 210.07 Last', ' 90370)']",[' 9003.2  '],"[' 3214     (Average Length', ' 1567.60 Splits', ' 0)']","[' 1258299  (Deleted', ' 1192262)']","[' 288      (Ratio', '   0.02%)']","[' 56578    (Ratio', '   4.50%)']","[' 1258299  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1258299  (Average', ' 290.88 Max', ' 9094 Sum', ' 366009299)']","[' 1257645  (Average', ' 290.13 Max', ' 8452 Sum', ' 365074079 Ratio', '  99.74%)']","[' 654      (Average', ' 1430.00 Max', ' 1430 Sum', ' 935220 Ratio', '   0.26%)']", ,[' 127048  '],[' 13282   '],[' 129073  '],[' 78790   '],"[' 236366   (Atom=Atom', ' 66506 Body=Body', ' 38732 Other', ' 131128)']",[' Yes'],"[' 16307    (Eliminated', '    0 Frozen', ' 16307)']","[' 5283     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.84665'],[' 0'], ,[' 384.781'],[' 0'],[' 27.1093'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14905e+09'],[' 1.0443e+09'],[' 0'],[' 1.77783e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA70,"[' 671.041s (Solving', ' 634.42s 1st Model', ' 402.36s Unsat', ' 0.00s)']",[' 667.375s'], ,[' 314502681'],"[' 5476076  (Analyzed', ' 915734)']","[' 5213     (Average', ' 175.66 Last', ' 154935)']",[' 9221.0  '],"[' 3635     (Average Length', ' 1771.56 Splits', ' 0)']","[' 915734   (Deleted', ' 859010)']","[' 229      (Ratio', '   0.03%)']","[' 49213    (Ratio', '   5.37%)']","[' 915734   (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 915734   (Average', ' 309.77 Max', ' 10263 Sum', ' 283665656)']","[' 915058   (Average', ' 308.46 Max', ' 8486 Sum', ' 282464404 Ratio', '  99.58%)']","[' 676      (Average', ' 1777.00 Max', ' 1777 Sum', ' 1201252 Ratio', '   0.42%)']", ,[' 127643  '],[' 13340   '],[' 130040  '],[' 79443   '],"[' 238325   (Atom=Atom', ' 67101 Body=Body', ' 38790 Other', ' 132434)']",[' Yes'],"[' 16737    (Eliminated', '    0 Frozen', ' 16737)']","[' 5066     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.56401'],[' 0'], ,[' 295.133'],[' 0'],[' 20.3375'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.08433e+08'],[' 7.2956e+08'],[' 0'],[' 1.54628e+10'],[' 0'],[' 0'], ,[' '],[' ']
