Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 is 666,Completion Time for Window 2 is 1207,Completion Time for Window 3 is 1871,Completion Time for Window 4 is 2320,Completion Time for Window 5 is 3157,Completion Time for Window 6 is 3658,Completion Time for Window 7 is 4240
Solving...,TA61, , ,[' 1475'],[' 745'],"[' 314.857s (Solving', ' 311.17s 1st Model', ' 2.55s Unsat', ' 3.67s)']",[' 314.359s'], ,[' 20039423'],"[' 10384806 (Analyzed', ' 10330932)']","[' 21299    (Average', ' 485.04 Last', ' 181885)']",[' 2175.0  '],"[' 745      (Average Length', ' 365.09 Splits', ' 0)']","[' 10330932 (Deleted', ' 10165661)']","[' 28       (Ratio', '   0.00%)']","[' 2591     (Ratio', '   0.03%)']","[' 10330932 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10330932 (Average', '  1.78 Max', ' 3010 Sum', ' 18392284)']","[' 10330711 (Average', '  1.77 Max', ' 3010 Sum', ' 18330724 Ratio', '  99.67%)']","[' 221      (Average', ' 278.55 Max', ' 611 Sum', '  61560 Ratio', '   0.33%)']", ,[' 100923  '],[' 4495    '],[' 100644  '],[' 57523   '],"[' 172565   (Atom=Atom', ' 54026 Body=Body', ' 29945 Other', ' 88594)']",[' Yes'],"[' 5216     (Eliminated', '    0 Frozen', ' 5216)']","[' 457      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.990302'],[' 0'], ,[' 251.338'],[' 0'],[' 4.49034'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.31269e+07'],[' 3.876e+07'],[' 0'],[' 3.32508e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA62, ,[' 1'],[' 1853+'],[' 934'],"[' 315.396s (Solving', ' 310.20s 1st Model', ' 3.02s Unsat', ' 1.23s)']",[' 315.000s'], ,[' 19742532'],"[' 9659462  (Analyzed', ' 9600834)']","[' 19270    (Average', ' 498.23 Last', ' 22985)']",[' 2209.2  '],"[' 934      (Average Length', ' 446.71 Splits', ' 0)']","[' 9600834  (Deleted', ' 9449647)']","[' 31       (Ratio', '   0.00%)']","[' 2565     (Ratio', '   0.03%)']","[' 9600834  (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9600834  (Average', '  1.86 Max', ' 2905 Sum', ' 17898122)']","[' 9600482  (Average', '  1.85 Max', ' 2905 Sum', ' 17768694 Ratio', '  99.28%)']","[' 352      (Average', ' 367.69 Max', ' 746 Sum', ' 129428 Ratio', '   0.72%)']", ,[' 101835  '],[' 4531    '],[' 101716  '],[' 57542   '],"[' 172622   (Atom=Atom', ' 54009 Body=Body', ' 29981 Other', ' 88632)']",[' Yes'],"[' 5412     (Eliminated', '    0 Frozen', ' 5412)']","[' 411      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23129'],[' 0'], ,[' 253.445'],[' 0'],[' 4.28514'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.67199e+07'],[' 4.24997e+07'],[' 0'],[' 3.59782e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA63, ,[' 1'],[' 1519+'],[' 767'],"[' 317.644s (Solving', ' 313.46s 1st Model', ' 2.12s Unsat', ' 5.98s)']",[' 317.328s'], ,[' 17700354'],"[' 8801823  (Analyzed', ' 8737728)']","[' 17619    (Average', ' 495.93 Last', ' 32007)']",[' 2082.4  '],"[' 767      (Average Length', ' 371.42 Splits', ' 0)']","[' 8737728  (Deleted', ' 8609623)']","[' 25       (Ratio', '   0.00%)']","[' 2666     (Ratio', '   0.03%)']","[' 8737728  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8737728  (Average', '  1.85 Max', ' 2830 Sum', ' 16134717)']","[' 8737362  (Average', '  1.84 Max', ' 2830 Sum', ' 16036530 Ratio', '  99.39%)']","[' 366      (Average', ' 268.27 Max', ' 607 Sum', '  98187 Ratio', '   0.61%)']", ,[' 100433  '],[' 4474    '],[' 100171  '],[' 56318   '],"[' 168950   (Atom=Atom', ' 52842 Body=Body', ' 29924 Other', ' 86184)']",[' Yes'],"[' 5212     (Eliminated', '    0 Frozen', ' 5212)']","[' 392      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03297'],[' 0'], ,[' 264.18'],[' 0'],[' 4.32874'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.68399e+07'],[' 3.62844e+07'],[' 0'],[' 4.104e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA64, , ,[' 1723'],[' 869'],"[' 316.424s (Solving', ' 311.74s 1st Model', ' 2.92s Unsat', ' 2.45s)']",[' 315.719s'], ,[' 20376340'],"[' 11405151 (Analyzed', ' 11360277)']","[' 23770    (Average', ' 477.92 Last', ' 15997)']",[' 2312.9  '],"[' 869      (Average Length', ' 415.35 Splits', ' 0)']","[' 11360277 (Deleted', ' 11167129)']","[' 32       (Ratio', '   0.00%)']","[' 2215     (Ratio', '   0.02%)']","[' 11360277 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11360277 (Average', '  1.62 Max', ' 2985 Sum', ' 18456948)']","[' 11360000 (Average', '  1.62 Max', ' 2985 Sum', ' 18373669 Ratio', '  99.55%)']","[' 277      (Average', ' 300.65 Max', ' 678 Sum', '  83279 Ratio', '   0.45%)']", ,[' 101091  '],[' 4467    '],[' 100916  '],[' 57163   '],"[' 171485   (Atom=Atom', ' 53694 Body=Body', ' 29917 Other', ' 87874)']",[' Yes'],"[' 5292     (Eliminated', '    0 Frozen', ' 5292)']","[' 383      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24246'],[' 0'], ,[' 245.972'],[' 0'],[' 4.58387'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.91671e+07'],[' 4.15516e+07'],[' 0'],[' 3.05849e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA65, , ,[' 1983'],[' 999'],"[' 319.299s (Solving', ' 313.70s 1st Model', ' 3.49s Unsat', ' 2.75s)']",[' 318.891s'], ,[' 12871703'],"[' 6028279  (Analyzed', ' 5849195)']","[' 13485    (Average', ' 433.76 Last', ' 85330)']",[' 2321.2  '],"[' 999      (Average Length', ' 470.44 Splits', ' 0)']","[' 5849195  (Deleted', ' 5735444)']","[' 27       (Ratio', '   0.00%)']","[' 2151     (Ratio', '   0.04%)']","[' 5849195  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5849195  (Average', '  1.85 Max', ' 3000 Sum', ' 10794477)']","[' 5848920  (Average', '  1.83 Max', ' 3000 Sum', ' 10683455 Ratio', '  98.97%)']","[' 275      (Average', ' 403.72 Max', ' 757 Sum', ' 111022 Ratio', '   1.03%)']", ,[' 101138  '],[' 4505    '],[' 101067  '],[' 57483   '],"[' 172445   (Atom=Atom', ' 53976 Body=Body', ' 29955 Other', ' 88514)']",[' Yes'],"[' 5434     (Eliminated', '    0 Frozen', ' 5434)']","[' 291      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3601'],[' 0'], ,[' 274.561'],[' 0'],[' 4.36734'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.935e+07'],[' 3.46004e+07'],[' 0'],[' 3.99032e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA66, , ,[' 1581'],[' 798'],"[' 327.427s (Solving', ' 323.40s 1st Model', ' 2.54s Unsat', ' 75.62s)']",[' 326.969s'], ,[' 21354339'],"[' 12061616 (Analyzed', ' 12004783)']","[' 24142    (Average', ' 497.26 Last', ' 57797)']",[' 2116.6  '],"[' 798      (Average Length', ' 381.44 Splits', ' 0)']","[' 12004783 (Deleted', ' 11833475)']","[' 50       (Ratio', '   0.00%)']","[' 2919     (Ratio', '   0.02%)']","[' 12004783 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12004783 (Average', '  1.64 Max', ' 2988 Sum', ' 19661672)']","[' 12004531 (Average', '  1.63 Max', ' 2988 Sum', ' 19585306 Ratio', '  99.61%)']","[' 252      (Average', ' 303.04 Max', ' 642 Sum', '  76366 Ratio', '   0.39%)']", ,[' 101617  '],[' 4464    '],[' 101377  '],[' 57161   '],"[' 171479   (Atom=Atom', ' 53695 Body=Body', ' 29914 Other', ' 87870)']",[' Yes'],"[' 5224     (Eliminated', '    0 Frozen', ' 5224)']","[' 476      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.0596'],[' 0'], ,[' 256.435'],[' 0'],[' 4.475'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.95442e+07'],[' 4.1251e+07'],[' 0'],[' 3.24561e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA67, ,[' 1'],[' 1409+'],[' 712'],"[' 430.696s (Solving', ' 426.81s 1st Model', ' 2.00s Unsat', ' 0.00s)']",[' 430.063s'], ,[' 18715921'],"[' 11836607 (Analyzed', ' 11773812)']","[' 25067    (Average', ' 469.69 Last', ' 169934)']",[' 2177.4  '],"[' 712      (Average Length', ' 347.39 Splits', ' 0)']","[' 11773812 (Deleted', ' 11586438)']","[' 5        (Ratio', '   0.00%)']","[' 2191     (Ratio', '   0.02%)']","[' 11773812 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11773812 (Average', '  1.45 Max', ' 3018 Sum', ' 17073643)']","[' 11773593 (Average', '  1.44 Max', ' 3018 Sum', ' 17004517 Ratio', '  99.60%)']","[' 219      (Average', ' 315.64 Max', ' 581 Sum', '  69126 Ratio', '   0.40%)']", ,[' 101369  '],[' 4506    '],[' 101060  '],[' 57607   '],"[' 172817   (Atom=Atom', ' 54099 Body=Body', ' 29956 Other', ' 88762)']",[' Yes'],"[' 5197     (Eliminated', '    0 Frozen', ' 5197)']","[' 328      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.956269'],[' 0'], ,[' 360.107'],[' 0'],[' 6.19793'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.93061e+07'],[' 3.20101e+07'],[' 0'],[' 5.26494e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA68, , ,[' 1553'],[' 784'],"[' 328.723s (Solving', ' 323.68s 1st Model', ' 2.54s Unsat', ' 14.96s)']",[' 327.406s'], ,[' 17162882'],"[' 10138337 (Analyzed', ' 10083064)']","[' 20756    (Average', ' 485.79 Last', ' 15705)']",[' 2210.3  '],"[' 784      (Average Length', ' 383.94 Splits', ' 0)']","[' 10083064 (Deleted', ' 9919003)']","[' 40       (Ratio', '   0.00%)']","[' 2268     (Ratio', '   0.02%)']","[' 10083064 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10083064 (Average', '  1.54 Max', ' 2970 Sum', ' 15498280)']","[' 10082842 (Average', '  1.53 Max', ' 2970 Sum', ' 15429061 Ratio', '  99.55%)']","[' 222      (Average', ' 311.80 Max', ' 573 Sum', '  69219 Ratio', '   0.45%)']", ,[' 100190  '],[' 4408    '],[' 99957   '],[' 56757   '],"[' 170267   (Atom=Atom', ' 53347 Body=Body', ' 29858 Other', ' 87062)']",[' Yes'],"[' 5175     (Eliminated', '    0 Frozen', ' 5175)']","[' 313      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22455'],[' 0'], ,[' 260.573'],[' 0'],[' 5.0385'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.01768e+07'],[' 3.60871e+07'],[' 0'],[' 3.47078e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA69, ,[' 1'],[' 1601+'],[' 808'],"[' 427.441s (Solving', ' 421.64s 1st Model', ' 3.10s Unsat', ' 51.57s)']",[' 426.016s'], ,[' 16881458'],"[' 9490153  (Analyzed', ' 9441123)']","[' 20373    (Average', ' 463.41 Last', ' 7082)']",[' 2247.5  '],"[' 808      (Average Length', ' 386.11 Splits', ' 0)']","[' 9441123  (Deleted', ' 9276258)']","[' 27       (Ratio', '   0.00%)']","[' 2538     (Ratio', '   0.03%)']","[' 9441123  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9441123  (Average', '  1.60 Max', ' 2978 Sum', ' 15142143)']","[' 9440855  (Average', '  1.60 Max', ' 2978 Sum', ' 15069476 Ratio', '  99.52%)']","[' 268      (Average', ' 271.15 Max', ' 588 Sum', '  72667 Ratio', '   0.48%)']", ,[' 101089  '],[' 4491    '],[' 100860  '],[' 56934   '],"[' 170798   (Atom=Atom', ' 53441 Body=Body', ' 29941 Other', ' 87416)']",[' Yes'],"[' 5262     (Eliminated', '    0 Frozen', ' 5262)']","[' 337      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.35834'],[' 0'], ,[' 346.406'],[' 0'],[' 5.78817'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.87679e+07'],[' 3.63605e+07'],[' 0'],[' 4.1962e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA70, ,[' 1'],[' 1497+'],[' 756'],"[' 325.110s (Solving', ' 319.92s 1st Model', ' 3.06s Unsat', ' 10.62s)']",[' 323.922s'], ,[' 16036121'],"[' 8497610  (Analyzed', ' 8448609)']","[' 17071    (Average', ' 494.91 Last', ' 183356)']",[' 1968.9  '],"[' 756      (Average Length', ' 368.05 Splits', ' 0)']","[' 8448609  (Deleted', ' 8303945)']","[' 35       (Ratio', '   0.00%)']","[' 2675     (Ratio', '   0.03%)']","[' 8448609  (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8448609  (Average', '  1.73 Max', ' 2896 Sum', ' 14640176)']","[' 8448289  (Average', '  1.72 Max', ' 2896 Sum', ' 14546136 Ratio', '  99.36%)']","[' 320      (Average', ' 293.88 Max', ' 630 Sum', '  94040 Ratio', '   0.64%)']", ,[' 100976  '],[' 4512    '],[' 100703  '],[' 56419   '],"[' 169253   (Atom=Atom', ' 52905 Body=Body', ' 29962 Other', ' 86386)']",[' Yes'],"[' 5239     (Eliminated', '    0 Frozen', ' 5239)']","[' 310      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.19564'],[' 0'], ,[' 254.472'],[' 0'],[' 4.35992'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.31256e+07'],[' 3.29775e+07'],[' 0'],[' 3.19249e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
