Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 
Solving...,TA41, , ,[' 1317'],[' 664'],"[' 33.136s (Solving', ' 31.18s 1st Model', ' 1.30s Unsat', ' 1.61s)']",[' 32.672s'], ,[' 3028224 '],"[' 1067042  (Analyzed', ' 1022964)']","[' 2395     (Average', ' 427.12 Last', ' 586)']",[' 1269.7  '],"[' 664      (Average Length', ' 318.10 Splits', ' 0)']","[' 1022964  (Deleted', ' 997848)']","[' 55       (Ratio', '   0.01%)']","[' 1133     (Ratio', '   0.11%)']","[' 1022964  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1022964  (Average', '  2.32 Max', ' 1479 Sum', ' 2376165)']","[' 1022770  (Average', '  2.27 Max', ' 1479 Sum', ' 2324119 Ratio', '  97.81%)']","[' 194      (Average', ' 268.28 Max', ' 505 Sum', '  52046 Ratio', '   2.19%)']", ,[' 41945   '],[' 2384    '],[' 41973   '],[' 22663   '],"[' 67985    (Atom=Atom', ' 20877 Body=Body', ' 11654 Other', ' 35454)']",[' Yes'],"[' 3012     (Eliminated', '    0 Frozen', ' 3012)']","[' 101      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.528984'],[' 0'], ,[' 21.5807'],[' 0'],[' 0.528422'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12269e+07'],[' 8.45101e+06'],[' 0'],[' 1.86141e+09'],[' 0'],[' 0'],[' 560 '],[' 1143 '],[' 1671 '],[' 2244 '],[' 2810 ']
Solving...,TA42, , ,[' 1127'],[' 569'],"[' 32.229s (Solving', ' 30.46s 1st Model', ' 0.98s Unsat', ' 1.86s)']",[' 32.172s'], ,[' 1858716 '],"[' 618485   (Analyzed', ' 578746)']","[' 1687     (Average', ' 343.06 Last', ' 7289)']",[' 1198.9  '],"[' 569      (Average Length', ' 275.51 Splits', ' 0)']","[' 578746   (Deleted', ' 560593)']","[' 36       (Ratio', '   0.01%)']","[' 854      (Ratio', '   0.15%)']","[' 578746   (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 578746   (Average', '  2.23 Max', ' 1575 Sum', ' 1289311)']","[' 578669   (Average', '  2.21 Max', ' 1575 Sum', ' 1278525 Ratio', '  99.16%)']","[' 77       (Average', ' 140.08 Max', ' 454 Sum', '  10786 Ratio', '   0.84%)']", ,[' 41148   '],[' 2320    '],[' 41088   '],[' 22184   '],"[' 66548    (Atom=Atom', ' 20462 Body=Body', ' 11590 Other', ' 34496)']",[' Yes'],"[' 2860     (Eliminated', '    0 Frozen', ' 2860)']","[' 69       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.433454'],[' 0'], ,[' 23.9355'],[' 0'],[' 0.480379'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.43566e+06'],[' 5.71252e+06'],[' 0'],[' 3.04849e+09'],[' 0'],[' 0'],[' 724 '],[' 1210 '],[' 1709 '],[' 2296 '],[' 2909 ']
Solving...,TA43, , ,[' 1443'],[' 727'],"[' 26.108s (Solving', ' 23.87s 1st Model', ' 1.22s Unsat', ' 18.85s)']",[' 26.063s'], ,[' 2254491 '],"[' 721689   (Analyzed', ' 591866)']","[' 1903     (Average', ' 311.02 Last', ' 16827)']",[' 1290.3  '],"[' 727      (Average Length', ' 349.21 Splits', ' 0)']","[' 591866   (Deleted', ' 571693)']","[' 48       (Ratio', '   0.01%)']","[' 1099     (Ratio', '   0.19%)']","[' 591866   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 591866   (Average', '  2.48 Max', ' 1506 Sum', ' 1468758)']","[' 591741   (Average', '  2.41 Max', ' 1506 Sum', ' 1425969 Ratio', '  97.09%)']","[' 125      (Average', ' 342.31 Max', ' 539 Sum', '  42789 Ratio', '   2.91%)']", ,[' 41865   '],[' 2344    '],[' 41952   '],[' 22628   '],"[' 67880    (Atom=Atom', ' 20882 Body=Body', ' 11614 Other', ' 35384)']",[' Yes'],"[' 3031     (Eliminated', '    0 Frozen', ' 3031)']","[' 61       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.565616'],[' 0'], ,[' 16.8465'],[' 0'],[' 0.376925'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.81897e+06'],[' 7.86443e+06'],[' 0'],[' 1.88366e+09'],[' 0'],[' 0'],[' 535 '],[' 997 '],[' 1508 '],[' 1918 '],[' 2445 ']
Solving...,TA44, , ,[' 1179'],[' 595'],"[' 57.204s (Solving', ' 55.22s 1st Model', ' 1.07s Unsat', ' 0.43s)']",[' 56.984s'], ,[' 5286442 '],"[' 2918690  (Analyzed', ' 2875551)']","[' 6385     (Average', ' 450.36 Last', ' 665)']",[' 1239.5  '],"[' 595      (Average Length', ' 285.80 Splits', ' 0)']","[' 2875551  (Deleted', ' 2814093)']","[' 42       (Ratio', '   0.00%)']","[' 1070     (Ratio', '   0.04%)']","[' 2875551  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2875551  (Average', '  1.60 Max', ' 1536 Sum', ' 4609860)']","[' 2875420  (Average', '  1.60 Max', ' 1536 Sum', ' 4592862 Ratio', '  99.63%)']","[' 131      (Average', ' 129.76 Max', ' 328 Sum', '  16998 Ratio', '   0.37%)']", ,[' 41593   '],[' 2358    '],[' 41558   '],[' 22402   '],"[' 67202    (Atom=Atom', ' 20642 Body=Body', ' 11628 Other', ' 34932)']",[' Yes'],"[' 2923     (Eliminated', '    0 Frozen', ' 2923)']","[' 139      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.483302'],[' 0'], ,[' 36.3904'],[' 0'],[' 0.934258'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78084e+07'],[' 1.0804e+07'],[' 0'],[' 3.53641e+09'],[' 0'],[' 0'],[' 626 '],[' 1101 '],[' 1859 '],[' 2382 '],[' 2847 ']
Solving...,TA45, , ,[' 1261'],[' 636'],"[' 9.025s (Solving', ' 6.97s 1st Model', ' 1.40s Unsat', ' 2.05s)']",[' 8.734s'], ,[' 1458494 '],"[' 198348   (Analyzed', ' 94363)']","[' 613      (Average', ' 153.94 Last', ' 862)']",[' 1370.7  '],"[' 636      (Average Length', ' 307.14 Splits', ' 0)']","[' 94363    (Deleted', ' 85785)']","[' 66       (Ratio', '   0.07%)']","[' 795      (Ratio', '   0.84%)']","[' 94363    (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 94363    (Average', '  7.25 Max', ' 1587 Sum', ' 683977)']","[' 94275    (Average', '  7.20 Max', ' 1587 Sum', ' 679183 Ratio', '  99.30%)']","[' 88       (Average', ' 54.48 Max', ' 307 Sum', '   4794 Ratio', '   0.70%)']", ,[' 41465   '],[' 2318    '],[' 41469   '],[' 22459   '],"[' 67373    (Atom=Atom', ' 20739 Body=Body', ' 11588 Other', ' 35046)']",[' Yes'],"[' 2922     (Eliminated', '    0 Frozen', ' 2922)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.540583'],[' 0'], ,[' 3.16458'],[' 0'],[' 0.106872'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.21631e+06'],[' 6.45018e+06'],[' 0'],[' 2.25982e+08'],[' 0'],[' 0'],[' 571 '],[' 1144 '],[' 1619 '],[' 2047 '],[' 2569 ']
Solving...,TA46, , ,[' 1439'],[' 725'],"[' 58.890s (Solving', ' 56.66s 1st Model', ' 1.61s Unsat', ' 0.67s)']",[' 58.656s'], ,[' 5716274 '],"[' 2940258  (Analyzed', ' 2889165)']","[' 6477     (Average', ' 446.07 Last', ' 16394)']",[' 1309.3  '],"[' 725      (Average Length', ' 346.89 Splits', ' 0)']","[' 2889165  (Deleted', ' 2824905)']","[' 43       (Ratio', '   0.00%)']","[' 1392     (Ratio', '   0.05%)']","[' 2889165  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2889165  (Average', '  1.70 Max', ' 1462 Sum', ' 4921340)']","[' 2888996  (Average', '  1.69 Max', ' 1462 Sum', ' 4879280 Ratio', '  99.15%)']","[' 169      (Average', ' 248.88 Max', ' 494 Sum', '  42060 Ratio', '   0.85%)']", ,[' 41872   '],[' 2394    '],[' 41959   '],[' 22758   '],"[' 68270    (Atom=Atom', ' 20962 Body=Body', ' 11664 Other', ' 35644)']",[' Yes'],"[' 3081     (Eliminated', '    0 Frozen', ' 3081)']","[' 186      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.576261'],[' 0'], ,[' 36.6505'],[' 0'],[' 0.925199'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.02213e+07'],[' 1.28307e+07'],[' 0'],[' 3.46542e+09'],[' 0'],[' 0'],[' 679 '],[' 1146 '],[' 1749 '],[' 2227 '],[' 2769 ']
Solving...,TA47, ,[' 1'],[' 1253+'],[' 632'],"[' 60.109s (Solving', ' 58.15s 1st Model', ' 1.14s Unsat', ' 4.67s)']",[' 59.875s'], ,[' 3582583 '],"[' 1528139  (Analyzed', ' 1478006)']","[' 4014     (Average', ' 368.21 Last', ' 9944)']",[' 1236.6  '],"[' 632      (Average Length', ' 299.16 Splits', ' 0)']","[' 1478006  (Deleted', ' 1442720)']","[' 34       (Ratio', '   0.00%)']","[' 1292     (Ratio', '   0.09%)']","[' 1478006  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1478006  (Average', '  1.99 Max', ' 1534 Sum', ' 2939825)']","[' 1477861  (Average', '  1.96 Max', ' 1534 Sum', ' 2898403 Ratio', '  98.59%)']","[' 145      (Average', ' 285.67 Max', ' 484 Sum', '  41422 Ratio', '   1.41%)']", ,[' 41664   '],[' 2364    '],[' 41659   '],[' 22515   '],"[' 67541    (Atom=Atom', ' 20749 Body=Body', ' 11634 Other', ' 35158)']",[' Yes'],"[' 2959     (Eliminated', '    0 Frozen', ' 2959)']","[' 96       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.479021'],[' 0'], ,[' 46.0151'],[' 0'],[' 0.891966'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29565e+07'],[' 9.04764e+06'],[' 0'],[' 5.99481e+09'],[' 0'],[' 0'],[' 631 '],[' 1073 '],[' 1753 '],[' 2247 '],[' 2838 ']
Solving...,TA48, , ,[' 1123'],[' 567'],"[' 34.404s (Solving', ' 32.50s 1st Model', ' 0.93s Unsat', ' 3.23s)']",[' 33.953s'], ,[' 4172352 '],"[' 2336336  (Analyzed', ' 2306567)']","[' 4684     (Average', ' 492.44 Last', ' 136518)']",[' 1247.9  '],"[' 567      (Average Length', ' 271.69 Splits', ' 0)']","[' 2306567  (Deleted', ' 2258104)']","[' 48       (Ratio', '   0.00%)']","[' 863      (Ratio', '   0.04%)']","[' 2306567  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2306567  (Average', '  1.54 Max', ' 1531 Sum', ' 3550622)']","[' 2306455  (Average', '  1.53 Max', ' 1531 Sum', ' 3535768 Ratio', '  99.58%)']","[' 112      (Average', ' 132.63 Max', ' 313 Sum', '  14854 Ratio', '   0.42%)']", ,[' 41408   '],[' 2313    '],[' 41337   '],[' 22113   '],"[' 66335    (Atom=Atom', ' 20398 Body=Body', ' 11583 Other', ' 34354)']",[' Yes'],"[' 2842     (Eliminated', '    0 Frozen', ' 2842)']","[' 56       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.469365'],[' 0'], ,[' 16.7808'],[' 0'],[' 0.518248'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4988e+07'],[' 9.40287e+06'],[' 0'],[' 1.0698e+09'],[' 0'],[' 0'],[' 669 '],[' 1277 '],[' 1749 '],[' 2230 '],[' 2743 ']
Solving...,TA49, ,[' 1'],[' 1269+'],[' 640'],"[' 55.882s (Solving', ' 53.84s 1st Model', ' 1.05s Unsat', ' 0.52s)']",[' 55.547s'], ,[' 2983651 '],"[' 1144659  (Analyzed', ' 1035280)']","[' 2937     (Average', ' 352.50 Last', ' 1422)']",[' 1270.3  '],"[' 640      (Average Length', ' 306.07 Splits', ' 0)']","[' 1035280  (Deleted', ' 1008085)']","[' 39       (Ratio', '   0.00%)']","[' 1200     (Ratio', '   0.12%)']","[' 1035280  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1035280  (Average', '  2.19 Max', ' 1514 Sum', ' 2268220)']","[' 1035117  (Average', '  2.15 Max', ' 1514 Sum', ' 2224915 Ratio', '  98.09%)']","[' 163      (Average', ' 265.67 Max', ' 480 Sum', '  43305 Ratio', '   1.91%)']", ,[' 41882   '],[' 2379    '],[' 41888   '],[' 22582   '],"[' 67742    (Atom=Atom', ' 20801 Body=Body', ' 11649 Other', ' 35292)']",[' Yes'],"[' 2985     (Eliminated', '    0 Frozen', ' 2985)']","[' 112      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.508699'],[' 0'], ,[' 44.3061'],[' 0'],[' 0.794523'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16157e+07'],[' 8.64551e+06'],[' 0'],[' 5.76609e+09'],[' 0'],[' 0'],[' 596 '],[' 1108 '],[' 1665 '],[' 2171 '],[' 2838 ']
Solving...,TA50, ,[' 1'],[' 1417+'],[' 714'],"[' 49.723s (Solving', ' 47.28s 1st Model', ' 0.91s Unsat', ' 17.84s)']",[' 49.438s'], ,[' 2609507 '],"[' 1042827  (Analyzed', ' 834582)']","[' 2568     (Average', ' 324.99 Last', ' 2236)']",[' 1280.9  '],"[' 714      (Average Length', ' 339.20 Splits', ' 0)']","[' 834582   (Deleted', ' 811195)']","[' 49       (Ratio', '   0.01%)']","[' 1090     (Ratio', '   0.13%)']","[' 834582   (Average Length', '   10.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 834582   (Average', '  2.07 Max', ' 1568 Sum', ' 1726132)']","[' 834509   (Average', '  2.05 Max', ' 1568 Sum', ' 1709856 Ratio', '  99.06%)']","[' 73       (Average', ' 222.96 Max', ' 533 Sum', '  16276 Ratio', '   0.94%)']", ,[' 41294   '],[' 2297    '],[' 41358   '],[' 22406   '],"[' 67214    (Atom=Atom', ' 20707 Body=Body', ' 11567 Other', ' 34940)']",[' Yes'],"[' 2961     (Eliminated', '    0 Frozen', ' 2961)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.544277'],[' 0'], ,[' 38.0763'],[' 0'],[' 0.688452'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05599e+07'],[' 7.86961e+06'],[' 0'],[' 5.03501e+09'],[' 0'],[' 0'],[' 555 '],[' 1032 '],[' 1554 '],[' 1949 '],[' 2675 ']
