Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 2051'],[' 1033'],"[' 26.344s (Solving', ' 22.49s 1st Model', ' 2.56s Unsat', ' 6.75s)']",[' 26.094s'], ,[' 4481872 '],"[' 672070   (Analyzed', ' 614950)']","[' 1792     (Average', ' 343.16 Last', ' 454)']",[' 2158.0  '],"[' 1033     (Average Length', ' 582.35 Splits', ' 0)']","[' 614950   (Deleted', ' 590932)']","[' 30       (Ratio', '   0.00%)']","[' 1123     (Ratio', '   0.18%)']","[' 614950   (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 614950   (Average', '  4.86 Max', ' 3170 Sum', ' 2985824)']","[' 614565   (Average', '  4.54 Max', ' 3170 Sum', ' 2793905 Ratio', '  93.57%)']","[' 385      (Average', ' 498.49 Max', ' 834 Sum', ' 191919 Ratio', '   6.43%)']", ,[' 85253   '],[' 3261    '],[' 78766   '],[' 27923   '],"[' 72787    (Atom=Atom', ' 21093 Body=Body', ' 12763 Other', ' 38931)']",[' Yes'],"[' 4922     (Eliminated', '    0 Frozen', ' 4922)']","[' 114      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.809482'],[' 0'], ,[' 5.44938'],[' 0'],[' 0.301472'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.96351e+06'],[' 6.52896e+06'],[' 0'],[' 2.54381e+08'],[' 0'],[' 0'],[' 587 '],[' 1091 '],[' 1577 '],[' 2063 '],[' 2491 '],[' 2920 '],[' 3265 '],[' 0 '],[' 7 ']
Solving...,TA62, , , ,[' 2031'],[' 1023'],"[' 131.342s (Solving', ' 127.63s 1st Model', ' 2.76s Unsat', ' 27.32s)']",[' 131.078s'], ,[' 15484762'],"[' 6374859  (Analyzed', ' 6243863)']","[' 11971    (Average', ' 521.58 Last', ' 8925)']",[' 2123.7  '],"[' 1023     (Average Length', ' 568.32 Splits', ' 0)']","[' 6243863  (Deleted', ' 6157262)']","[' 42       (Ratio', '   0.00%)']","[' 2447     (Ratio', '   0.04%)']","[' 6243863  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6243863  (Average', '  2.22 Max', ' 3371 Sum', ' 13841683)']","[' 6243487  (Average', '  2.18 Max', ' 2712 Sum', ' 13636997 Ratio', '  98.52%)']","[' 376      (Average', ' 544.38 Max', ' 834 Sum', ' 204686 Ratio', '   1.48%)']", ,[' 85149   '],[' 3293    '],[' 78770   '],[' 27857   '],"[' 73280    (Atom=Atom', ' 21211 Body=Body', ' 12859 Other', ' 39210)']",[' Yes'],"[' 4931     (Eliminated', '    0 Frozen', ' 4931)']","[' 286      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.786831'],[' 0'], ,[' 75.9572'],[' 0'],[' 2.17077'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.03662e+07'],[' 2.31697e+07'],[' 0'],[' 5.25937e+09'],[' 0'],[' 0'],[' 650 '],[' 1122 '],[' 1664 '],[' 2153 '],[' 2599 '],[' 3126 '],[' 3409 '],[' 1 '],[' 6 ']
Solving...,TA63, , , ,[' 2163'],[' 1089'],"[' 21.375s (Solving', ' 17.28s 1st Model', ' 2.83s Unsat', ' 0.17s)']",[' 21.469s'], ,[' 3666827 '],"[' 100711   (Analyzed', ' 24966)']","[' 357      (Average', ' 69.93 Last', ' 2961)']",[' 2208.4  '],"[' 1089     (Average Length', ' 597.76 Splits', ' 0)']","[' 24966    (Deleted', ' 9423)']","[' 17       (Ratio', '   0.07%)']","[' 548      (Ratio', '   2.19%)']","[' 24966    (Average Length', '    8.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24966    (Average', ' 80.94 Max', ' 3231 Sum', ' 2020710)']","[' 24663    (Average', ' 73.97 Max', ' 2766 Sum', ' 1846814 Ratio', '  91.39%)']","[' 303      (Average', ' 573.91 Max', ' 856 Sum', ' 173896 Ratio', '   8.61%)']", ,[' 85236   '],[' 3250    '],[' 78811   '],[' 27923   '],"[' 72762    (Atom=Atom', ' 21105 Body=Body', ' 12730 Other', ' 38927)']",[' Yes'],"[' 4947     (Eliminated', '    0 Frozen', ' 4947)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.870157'],[' 0'], ,[' 2.15086'],[' 0'],[' 0.189315'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.37775e+06'],[' 5.33681e+06'],[' 0'],[' 5.70717e+07'],[' 0'],[' 0'],[' 670 '],[' 1109 '],[' 1531 '],[' 1929 '],[' 2462 '],[' 2843 '],[' 3175 '],[' 0 '],[' 7 ']
Solving...,TA64, , , ,[' 2235'],[' 1125'],"[' 74.580s (Solving', ' 70.08s 1st Model', ' 2.99s Unsat', ' 51.83s)']",[' 73.969s'], ,[' 9561286 '],"[' 4135813  (Analyzed', ' 4083814)']","[' 8662     (Average', ' 471.46 Last', ' 20076)']",[' 2269.5  '],"[' 1125     (Average Length', ' 609.65 Splits', ' 0)']","[' 4083814  (Deleted', ' 3993155)']","[' 33       (Ratio', '   0.00%)']","[' 1159     (Ratio', '   0.03%)']","[' 4083814  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4083814  (Average', '  1.91 Max', ' 3134 Sum', ' 7785643)']","[' 4083377  (Average', '  1.85 Max', ' 2758 Sum', ' 7568388 Ratio', '  97.21%)']","[' 437      (Average', ' 497.15 Max', ' 846 Sum', ' 217255 Ratio', '   2.79%)']", ,[' 85175   '],[' 3274    '],[' 78884   '],[' 27892   '],"[' 73264    (Atom=Atom', ' 21237 Body=Body', ' 12802 Other', ' 39225)']",[' Yes'],"[' 4981     (Eliminated', '    0 Frozen', ' 4981)']","[' 118      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.96141'],[' 0'], ,[' 28.8251'],[' 0'],[' 0.886148'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.46686e+07'],[' 1.37553e+07'],[' 0'],[' 1.32812e+09'],[' 0'],[' 0'],[' 768 '],[' 1345 '],[' 1670 '],[' 2055 '],[' 2434 '],[' 2854 '],[' 3139 '],[' 0 '],[' 7 ']
Solving...,TA65, , , ,[' 2473'],[' 1244'],"[' 25.829s (Solving', ' 20.97s 1st Model', ' 3.52s Unsat', ' 0.33s)']",[' 25.609s'], ,[' 4529230 '],"[' 54402    (Analyzed', ' 29349)']","[' 214      (Average', ' 137.14 Last', ' 2072)']",[' 2377.7  '],"[' 1244     (Average Length', ' 674.96 Splits', ' 0)']","[' 29349    (Deleted', ' 10094)']","[' 30       (Ratio', '   0.10%)']","[' 834      (Ratio', '   2.84%)']","[' 29349    (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29349    (Average', ' 89.28 Max', ' 2972 Sum', ' 2620300)']","[' 28999    (Average', ' 81.65 Max', ' 2797 Sum', ' 2396230 Ratio', '  91.45%)']","[' 350      (Average', ' 640.20 Max', ' 953 Sum', ' 224070 Ratio', '   8.55%)']", ,[' 85457   '],[' 3274    '],[' 79225   '],[' 28091   '],"[' 73618    (Atom=Atom', ' 21356 Body=Body', ' 12802 Other', ' 39460)']",[' Yes'],"[' 5104     (Eliminated', '    0 Frozen', ' 5104)']","[' 74       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.06462'],[' 0'], ,[' 2.518'],[' 0'],[' 0.240641'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.90023e+06'],[' 6.6527e+06'],[' 0'],[' 4.92997e+07'],[' 0'],[' 0'],[' 623 '],[' 1071 '],[' 1449 '],[' 1945 '],[' 2457 '],[' 2869 '],[' 3183 '],[' 0 '],[' 7 ']
Solving...,TA66, , , ,[' 2169'],[' 1092'],"[' 22.715s (Solving', ' 18.48s 1st Model', ' 2.54s Unsat', ' 1.80s)']",[' 22.469s'], ,[' 3475115 '],"[' 147493   (Analyzed', ' 74211)']","[' 558      (Average', ' 132.99 Last', ' 1115)']",[' 2096.1  '],"[' 1092     (Average Length', ' 602.66 Splits', ' 0)']","[' 74211    (Deleted', ' 54767)']","[' 23       (Ratio', '   0.03%)']","[' 876      (Ratio', '   1.18%)']","[' 74211    (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 74211    (Average', ' 27.62 Max', ' 2886 Sum', ' 2049586)']","[' 73776    (Average', ' 23.97 Max', ' 2671 Sum', ' 1778559 Ratio', '  86.78%)']","[' 435      (Average', ' 623.05 Max', ' 906 Sum', ' 271027 Ratio', '  13.22%)']", ,[' 85023   '],[' 3266    '],[' 78765   '],[' 27787   '],"[' 73057    (Atom=Atom', ' 21172 Body=Body', ' 12778 Other', ' 39107)']",[' Yes'],"[' 4978     (Eliminated', '    0 Frozen', ' 4978)']","[' 68       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.858867'],[' 0'], ,[' 3.38741'],[' 0'],[' 0.212462'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.3441e+06'],[' 5.20862e+06'],[' 0'],[' 1.47485e+08'],[' 0'],[' 0'],[' 645 '],[' 1096 '],[' 1522 '],[' 2016 '],[' 2387 '],[' 2883 '],[' 3261 '],[' 0 '],[' 7 ']
Solving...,TA67, , , ,[' 2417'],[' 1216'],"[' 24.818s (Solving', ' 20.30s 1st Model', ' 3.18s Unsat', ' 0.98s)']",[' 23.984s'], ,[' 4279320 '],"[' 186369   (Analyzed', ' 76585)']","[' 574      (Average', ' 133.42 Last', ' 10911)']",[' 2303.2  '],"[' 1216     (Average Length', ' 664.29 Splits', ' 0)']","[' 76585    (Deleted', ' 62049)']","[' 26       (Ratio', '   0.03%)']","[' 798      (Ratio', '   1.04%)']","[' 76585    (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 76585    (Average', ' 31.42 Max', ' 3434 Sum', ' 2406604)']","[' 76250    (Average', ' 28.52 Max', ' 2870 Sum', ' 2184469 Ratio', '  90.77%)']","[' 335      (Average', ' 663.09 Max', ' 971 Sum', ' 222135 Ratio', '   9.23%)']", ,[' 85379   '],[' 3309    '],[' 79201   '],[' 28074   '],"[' 74030    (Atom=Atom', ' 21468 Body=Body', ' 12907 Other', ' 39655)']",[' Yes'],"[' 5109     (Eliminated', '    0 Frozen', ' 5109)']","[' 41       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.961954'],[' 0'], ,[' 2.9802'],[' 0'],[' 0.229069'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.53092e+06'],[' 6.24935e+06'],[' 0'],[' 1.02868e+08'],[' 0'],[' 0'],[' 706 '],[' 1132 '],[' 1574 '],[' 2075 '],[' 2509 '],[' 2940 '],[' 3256 '],[' 0 '],[' 7 ']
Solving...,TA68, , , ,[' 1663'],[' 839'],"[' 17.875s (Solving', ' 14.49s 1st Model', ' 2.07s Unsat', ' 0.88s)']",[' 17.750s'], ,[' 2983963 '],"[' 107818   (Analyzed', ' 44142)']","[' 402      (Average', ' 109.81 Last', ' 516)']",[' 2142.0  '],"[' 838      (Average Length', ' 484.79 Splits', ' 0)']","[' 44142    (Deleted', ' 29078)']","[' 23       (Ratio', '   0.05%)']","[' 591      (Ratio', '   1.34%)']","[' 44142    (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 44142    (Average', ' 39.03 Max', ' 3205 Sum', ' 1722783)']","[' 43748    (Average', ' 34.89 Max', ' 2672 Sum', ' 1540289 Ratio', '  89.41%)']","[' 394      (Average', ' 463.18 Max', ' 663 Sum', ' 182494 Ratio', '  10.59%)']", ,[' 84560   '],[' 3236    '],[' 78117   '],[' 27380   '],"[' 71795    (Atom=Atom', ' 20799 Body=Body', ' 12688 Other', ' 38308)']",[' Yes'],"[' 4726     (Eliminated', '    0 Frozen', ' 4726)']","[' 37       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.717495'],[' 0'], ,[' 2.27882'],[' 0'],[' 0.160835'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.29361e+06'],[' 4.41611e+06'],[' 0'],[' 8.72048e+07'],[' 0'],[' 0'],[' 583 '],[' 1040 '],[' 2310 '],[' 2044 '],[' 2395 '],[' 2778 '],[' 3166 '],[' 1 '],[' 6 ']
Solving...,TA69, , ,[' 1'],[' 2419+'],[' 1217'],"[' 188.640s (Solving', ' 183.99s 1st Model', ' 2.95s Unsat', ' 0.32s)']",[' 187.766s'], ,[' 16717462'],"[' 8220762  (Analyzed', ' 8142249)']","[' 16265    (Average', ' 500.60 Last', ' 8516)']",[' 2120.3  '],"[' 1217     (Average Length', ' 655.90 Splits', ' 0)']","[' 8142249  (Deleted', ' 8001139)']","[' 19       (Ratio', '   0.00%)']","[' 1800     (Ratio', '   0.02%)']","[' 8142249  (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8142249  (Average', '  1.84 Max', ' 3208 Sum', ' 14946365)']","[' 8141793  (Average', '  1.80 Max', ' 2916 Sum', ' 14660289 Ratio', '  98.09%)']","[' 456      (Average', ' 627.36 Max', ' 942 Sum', ' 286076 Ratio', '   1.91%)']", ,[' 85149   '],[' 3308    '],[' 79075   '],[' 27929   '],"[' 74058    (Atom=Atom', ' 21465 Body=Body', ' 12904 Other', ' 39689)']",[' Yes'],"[' 5098     (Eliminated', '    0 Frozen', ' 5098)']","[' 293      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.925298'],[' 0'], ,[' 116.996'],[' 0'],[' 3.95324'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.81246e+07'],[' 2.70807e+07'],[' 0'],[' 7.88979e+09'],[' 0'],[' 0'],[' 760 '],[' 1244 '],[' 1641 '],[' 2118 '],[' 2551 '],[' 2926 '],[' 3300 '],[' 2 '],[' 5 ']
Solving...,TA70, , , ,[' 1961'],[' 988'],"[' 102.640s (Solving', ' 99.02s 1st Model', ' 2.40s Unsat', ' 1.45s)']",[' 102.328s'], ,[' 9719564 '],"[' 3559113  (Analyzed', ' 3478607)']","[' 7122     (Average', ' 488.43 Last', ' 4709)']",[' 2050.0  '],"[' 988      (Average Length', ' 571.63 Splits', ' 0)']","[' 3478607  (Deleted', ' 3437355)']","[' 12       (Ratio', '   0.00%)']","[' 1387     (Ratio', '   0.04%)']","[' 3478607  (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3478607  (Average', '  2.42 Max', ' 2916 Sum', ' 8408111)']","[' 3478082  (Average', '  2.32 Max', ' 2623 Sum', ' 8079836 Ratio', '  96.10%)']","[' 525      (Average', ' 625.29 Max', ' 865 Sum', ' 328275 Ratio', '   3.90%)']", ,[' 83666   '],[' 3289    '],[' 77790   '],[' 27074   '],"[' 73065    (Atom=Atom', ' 21160 Body=Body', ' 12847 Other', ' 39058)']",[' Yes'],"[' 4911     (Eliminated', '    0 Frozen', ' 4911)']","[' 203      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.746096'],[' 0'], ,[' 66.6056'],[' 0'],[' 1.5269'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.15131e+07'],[' 1.18949e+07'],[' 0'],[' 4.49898e+09'],[' 0'],[' 0'],[' 700 '],[' 1195 '],[' 1849 '],[' 2412 '],[' 2940 '],[' 3162 '],[' 3540 '],[' 1 '],[' 6 ']
