Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 
Solving...,swv11, , ,[' 355'],[' 187'],"[' 461.971s (Solving', ' 460.83s 1st Model', ' 0.65s Unsat', ' 28.79s)']",[' 460.703s'], ,[' 35103386'],"[' 25152976 (Analyzed', ' 25137714)']","[' 50525    (Average', ' 497.53 Last', ' 165675)']",[' 1390.3  '],"[' 187      (Average Length', ' 87.86 Splits', ' 0)']","[' 25137714 (Deleted', ' 24816033)']","[' 19       (Ratio', '   0.00%)']","[' 3273     (Ratio', '   0.01%)']","[' 25137714 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25137714 (Average', '  1.35 Max', ' 1791 Sum', ' 34046442)']","[' 25137542 (Average', '  1.35 Max', ' 1791 Sum', ' 34034431 Ratio', '  99.96%)']","[' 172      (Average', ' 69.83 Max', ' 132 Sum', '  12011 Ratio', '   0.04%)']", ,[' 68166   '],[' 2726    '],[' 67843   '],[' 37212   '],"[' 111632   (Atom=Atom', ' 34984 Body=Body', ' 15426 Other', ' 61222)']",[' Yes'],"[' 2903     (Eliminated', '    0 Frozen', ' 2903)']","[' 348      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.310537'],[' 0'], ,[' 328.849'],[' 0'],[' 5.3834'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.49597e+07'],[' 3.86533e+07'],[' 0'],[' 5.19962e+10'],[' 0'],[' 0'],[' 896 '],[' 1377 '],[' 1926 '],[' 2406 '],[' 3003 '],[' 3386 '],[' 4152 '],[' 4801 '],[' 5448 ']
Solving...,swv12, ,[' 1'],[' 195+'],[' 107'],"[' 433.079s (Solving', ' 432.14s 1st Model', ' 0.36s Unsat', ' 0.01s)']",[' 431.438s'], ,[' 29544259'],"[' 20607184 (Analyzed', ' 20599147)']","[' 42791    (Average', ' 481.39 Last', ' 20188)']",[' 1187.8  '],"[' 107      (Average Length', ' 48.38 Splits', ' 0)']","[' 20599147 (Deleted', ' 20323179)']","[' 7        (Ratio', '   0.00%)']","[' 3473     (Ratio', '   0.02%)']","[' 20599147 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20599147 (Average', '  1.40 Max', ' 1707 Sum', ' 28736181)']","[' 20598923 (Average', '  1.39 Max', ' 1707 Sum', ' 28726966 Ratio', '  99.97%)']","[' 224      (Average', ' 41.14 Max', '  78 Sum', '   9215 Ratio', '   0.03%)']", ,[' 67813   '],[' 2737    '],[' 67410   '],[' 36511   '],"[' 109529   (Atom=Atom', ' 34272 Body=Body', ' 15437 Other', ' 59820)']",[' Yes'],"[' 2834     (Eliminated', '    0 Frozen', ' 2834)']","[' 158      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.216856'],[' 0'], ,[' 319.545'],[' 0'],[' 5.15417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.17565e+07'],[' 3.5579e+07'],[' 0'],[' 5.38619e+10'],[' 0'],[' 0'],[' 711 '],[' 1303 '],[' 1932 '],[' 2800 '],[' 3074 '],[' 3409 '],[' 4191 '],[' 5032 '],[' 5677 ']
Solving...,swv13, ,[' 1'],[' 257+'],[' 138'],"[' 432.982s (Solving', ' 431.95s 1st Model', ' 0.42s Unsat', ' 0.02s)']",[' 431.125s'], ,[' 36896971'],"[' 24387042 (Analyzed', ' 24380031)']","[' 47418    (Average', ' 514.15 Last', ' 25054)']",[' 1152.4  '],"[' 138      (Average Length', ' 64.06 Splits', ' 0)']","[' 24380031 (Deleted', ' 24084826)']","[' 22       (Ratio', '   0.00%)']","[' 4142     (Ratio', '   0.02%)']","[' 24380031 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24380031 (Average', '  1.47 Max', ' 1635 Sum', ' 35891687)']","[' 24379777 (Average', '  1.47 Max', ' 1635 Sum', ' 35876343 Ratio', '  99.96%)']","[' 254      (Average', ' 60.41 Max', ' 112 Sum', '  15344 Ratio', '   0.04%)']", ,[' 67816   '],[' 2744    '],[' 67444   '],[' 36449   '],"[' 109343   (Atom=Atom', ' 34203 Body=Body', ' 15444 Other', ' 59696)']",[' Yes'],"[' 2872     (Eliminated', '    0 Frozen', ' 2872)']","[' 303      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.236229'],[' 0'], ,[' 304.487'],[' 0'],[' 5.12256'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03494e+08'],[' 4.81823e+07'],[' 0'],[' 4.62775e+10'],[' 0'],[' 0'],[' 592 '],[' 1315 '],[' 2054 '],[' 2649 '],[' 2986 '],[' 3415 '],[' 4165 '],[' 5031 '],[' 5872 ']
Solving...,swv14, ,[' 1'],[' 327+'],[' 173'],"[' 401.872s (Solving', ' 400.73s 1st Model', ' 0.53s Unsat', ' 23.16s)']",[' 400.828s'], ,[' 34536435'],"[' 22737464 (Analyzed', ' 22724273)']","[' 45696    (Average', ' 497.29 Last', ' 41480)']",[' 1323.2  '],"[' 173      (Average Length', ' 81.05 Splits', ' 0)']","[' 22724273 (Deleted', ' 22448057)']","[' 30       (Ratio', '   0.00%)']","[' 4137     (Ratio', '   0.02%)']","[' 22724273 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22724273 (Average', '  1.48 Max', ' 1757 Sum', ' 33525576)']","[' 22724106 (Average', '  1.47 Max', ' 1757 Sum', ' 33515840 Ratio', '  99.97%)']","[' 167      (Average', ' 58.30 Max', ' 125 Sum', '   9736 Ratio', '   0.03%)']", ,[' 67902   '],[' 2711    '],[' 67565   '],[' 36909   '],"[' 110723   (Atom=Atom', ' 34696 Body=Body', ' 15411 Other', ' 60616)']",[' Yes'],"[' 2874     (Eliminated', '    0 Frozen', ' 2874)']","[' 334      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.275594'],[' 0'], ,[' 283.972'],[' 0'],[' 4.7152'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.67871e+07'],[' 4.50741e+07'],[' 0'],[' 4.2105e+10'],[' 0'],[' 0'],[' 671 '],[' 1327 '],[' 1946 '],[' 2712 '],[' 2860 '],[' 3403 '],[' 4024 '],[' 4625 '],[' 5437 ']
Solving...,swv15, ,[' 1'],[' 213+'],[' 116'],"[' 432.468s (Solving', ' 431.47s 1st Model', ' 0.34s Unsat', ' 0.00s)']",[' 431.578s'], ,[' 28763910'],"[' 16418521 (Analyzed', ' 16412215)']","[' 32225    (Average', ' 509.30 Last', ' 2784)']",[' 1249.5  '],"[' 116      (Average Length', ' 52.18 Splits', ' 0)']","[' 16412215 (Deleted', ' 16197182)']","[' 13       (Ratio', '   0.00%)']","[' 5421     (Ratio', '   0.03%)']","[' 16412215 (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16412215 (Average', '  1.70 Max', ' 1644 Sum', ' 27958525)']","[' 16411926 (Average', '  1.70 Max', ' 1644 Sum', ' 27947557 Ratio', '  99.96%)']","[' 289      (Average', ' 37.95 Max', '  75 Sum', '  10968 Ratio', '   0.04%)']", ,[' 68789   '],[' 2877    '],[' 68395   '],[' 37446   '],"[' 112334   (Atom=Atom', ' 35067 Body=Body', ' 15577 Other', ' 61690)']",[' Yes'],"[' 2983     (Eliminated', '    0 Frozen', ' 2983)']","[' 638      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.245425'],[' 0'], ,[' 344.629'],[' 0'],[' 5.60204'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.25642e+07'],[' 4.37497e+07'],[' 0'],[' 6.23726e+10'],[' 0'],[' 0'],[' 938 '],[' 1496 '],[' 2155 '],[' 3018 '],[' 3246 '],[' 3603 '],[' 4395 '],[' 5051 '],[' 5781 ']
Solving...,swv16, , ,[' 199'],[' 109'],"[' 116.919s (Solving', ' 116.14s 1st Model', ' 0.17s Unsat', ' 115.55s)']",[' 116.563s'], ,[' 7515211 '],"[' 6085500  (Analyzed', ' 6081116)']","[' 14317    (Average', ' 424.75 Last', ' 103700)']",[' 1004.7  '],"[' 109      (Average Length', ' 48.28 Splits', ' 0)']","[' 6081116  (Deleted', ' 5986427)']","[' 115      (Ratio', '   0.00%)']","[' 1632     (Ratio', '   0.03%)']","[' 6081116  (Average Length', '    9.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6081116  (Average', '  1.20 Max', ' 1069 Sum', ' 7287716)']","[' 6080981  (Average', '  1.20 Max', ' 1069 Sum', ' 7287147 Ratio', '  99.99%)']","[' 135      (Average', '  4.21 Max', '  50 Sum', '    569 Ratio', '   0.01%)']", ,[' 49235   '],[' 1863    '],[' 48832   '],[' 28675   '],"[' 86021    (Atom=Atom', ' 27310 Body=Body', ' 14563 Other', ' 44148)']",[' Yes'],"[' 1960     (Eliminated', '    0 Frozen', ' 1960)']","[' 38       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.170613'],[' 0'], ,[' 81.7606'],[' 0'],[' 1.99838'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.14426e+07'],[' 7.92199e+06'],[' 0'],[' 1.16286e+10'],[' 0'],[' 0'],[' 627 '],[' 941 '],[' 1591 '],[' 1823 '],[' 2276 '],[' 2660 '],[' 3010 '],[' 3262 '],[' 3612 ']
Solving...,swv17, , ,[' 123'],[' 71'],"[' 179.410s (Solving', ' 178.84s 1st Model', ' 0.05s Unsat', ' 16.59s)']",[' 179.141s'], ,[' 11120888'],"[' 8471271  (Analyzed', ' 8468495)']","[' 18278    (Average', ' 463.32 Last', ' 107588)']",[' 877.3   '],"[' 71       (Average Length', ' 30.10 Splits', ' 0)']","[' 8468495  (Deleted', ' 8339917)']","[' 64       (Ratio', '   0.00%)']","[' 1431     (Ratio', '   0.02%)']","[' 8468495  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8468495  (Average', '  1.28 Max', ' 1174 Sum', ' 10845436)']","[' 8468394  (Average', '  1.28 Max', ' 1174 Sum', ' 10844801 Ratio', '  99.99%)']","[' 101      (Average', '  6.29 Max', '  38 Sum', '    635 Ratio', '   0.01%)']", ,[' 49076   '],[' 1861    '],[' 48637   '],[' 28129   '],"[' 84383    (Atom=Atom', ' 26766 Body=Body', ' 14561 Other', ' 43056)']",[' Yes'],"[' 1922     (Eliminated', '    0 Frozen', ' 1922)']","[' 153      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.129097'],[' 0'], ,[' 131.165'],[' 0'],[' 2.52257'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.01223e+07'],[' 1.11699e+07'],[' 0'],[' 2.064e+10'],[' 0'],[' 0'],[' 478 '],[' 827 '],[' 1325 '],[' 1658 '],[' 2020 '],[' 2468 '],[' 2767 '],[' 3242 '],[' 3568 ']
Solving...,swv18, , ,[' 169'],[' 94'],"[' 239.992s (Solving', ' 239.43s 1st Model', ' 0.15s Unsat', ' 23.21s)']",[' 239.266s'], ,[' 12368632'],"[' 9220894  (Analyzed', ' 9218596)']","[' 20482    (Average', ' 450.08 Last', ' 143870)']",[' 804.2   '],"[' 94       (Average Length', ' 42.06 Splits', ' 0)']","[' 9218596  (Deleted', ' 9077564)']","[' 62       (Ratio', '   0.00%)']","[' 2054     (Ratio', '   0.02%)']","[' 9218596  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9218596  (Average', '  1.31 Max', ' 1086 Sum', ' 12030980)']","[' 9218486  (Average', '  1.30 Max', ' 1086 Sum', ' 12029318 Ratio', '  99.99%)']","[' 110      (Average', ' 15.11 Max', '  65 Sum', '   1662 Ratio', '   0.01%)']", ,[' 50108   '],[' 1918    '],[' 49692   '],[' 28631   '],"[' 85889    (Atom=Atom', ' 27211 Body=Body', ' 14618 Other', ' 44060)']",[' Yes'],"[' 2002     (Eliminated', '    0 Frozen', ' 2002)']","[' 89       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.142732'],[' 0'], ,[' 187.58'],[' 0'],[' 3.75054'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.41613e+07'],[' 1.3415e+07'],[' 0'],[' 2.95498e+10'],[' 0'],[' 0'],[' 497 '],[' 962 '],[' 1310 '],[' 1941 '],[' 2359 '],[' 2862 '],[' 3295 '],[' 3608 '],[' 3997 ']
Solving...,swv19, , ,[' 155'],[' 87'],"[' 336.034s (Solving', ' 335.34s 1st Model', ' 0.17s Unsat', ' 65.34s)']",[' 334.984s'], ,[' 18509622'],"[' 14585760 (Analyzed', ' 14583919)']","[' 31266    (Average', ' 466.45 Last', ' 33276)']",[' 893.9   '],"[' 87       (Average Length', ' 38.07 Splits', ' 0)']","[' 14583919 (Deleted', ' 14375267)']","[' 50       (Ratio', '   0.00%)']","[' 1965     (Ratio', '   0.01%)']","[' 14583919 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14583919 (Average', '  1.24 Max', ' 1248 Sum', ' 18036344)']","[' 14583846 (Average', '  1.24 Max', ' 1248 Sum', ' 18035607 Ratio', ' 100.00%)']","[' 73       (Average', ' 10.10 Max', '  57 Sum', '    737 Ratio', '   0.00%)']", ,[' 50015   '],[' 1864    '],[' 49592   '],[' 28286   '],"[' 84854    (Atom=Atom', ' 26920 Body=Body', ' 14564 Other', ' 43370)']",[' Yes'],"[' 1941     (Eliminated', '    0 Frozen', ' 1941)']","[' 48       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.157417'],[' 0'], ,[' 250.549'],[' 0'],[' 4.90547'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.03037e+07'],[' 1.78854e+07'],[' 0'],[' 3.84312e+10'],[' 0'],[' 0'],[' 719 '],[' 1058 '],[' 1376 '],[' 1900 '],[' 2472 '],[' 2773 '],[' 3368 '],[' 3782 '],[' 4267 ']
Solving...,swv20, , ,[' 171'],[' 95'],"[' 73.016s (Solving', ' 72.39s 1st Model', ' 0.11s Unsat', ' 17.92s)']",[' 72.859s'], ,[' 3184840 '],"[' 2430133  (Analyzed', ' 2428645)']","[' 5778     (Average', ' 420.33 Last', ' 22817)']",[' 809.9   '],"[' 95       (Average Length', ' 42.59 Splits', ' 0)']","[' 2428645  (Deleted', ' 2383918)']","[' 86       (Ratio', '   0.00%)']","[' 1360     (Ratio', '   0.06%)']","[' 2428645  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2428645  (Average', '  1.26 Max', ' 1166 Sum', ' 3053939)']","[' 2428528  (Average', '  1.26 Max', ' 1166 Sum', ' 3052677 Ratio', '  99.96%)']","[' 117      (Average', ' 10.79 Max', '  68 Sum', '   1262 Ratio', '   0.04%)']", ,[' 48903   '],[' 1848    '],[' 48488   '],[' 28216   '],"[' 84644    (Atom=Atom', ' 26866 Body=Body', ' 14548 Other', ' 43230)']",[' Yes'],"[' 1933     (Eliminated', '    0 Frozen', ' 1933)']","[' 72       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.146102'],[' 0'], ,[' 58.543'],[' 0'],[' 0.877138'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.31083e+06'],[' 3.89375e+06'],[' 0'],[' 1.03749e+10'],[' 0'],[' 0'],[' 500 '],[' 909 '],[' 1194 '],[' 1467 '],[' 1844 '],[' 2101 '],[' 2462 '],[' 3011 '],[' 3312 ']
