Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA51, , ,[' 1'],[' 4995+'],[' 2500'],"[' 704.812s (Solving', ' 686.54s 1st Model', ' 542.56s Unsat', ' 0.00s)']",[' 702.219s'], ,[' 328930731'],"[' 2376298  (Analyzed', ' 1970122)']","[' 7082     (Average', ' 278.19 Last', ' 185309)']",[' 6671.3  '],"[' 2500     (Average Length', ' 1218.92 Splits', ' 0)']","[' 1970122  (Deleted', ' 1894677)']","[' 569      (Ratio', '   0.03%)']","[' 59206    (Ratio', '   3.01%)']","[' 1970122  (Average Length', '   25.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1970122  (Average', ' 159.98 Max', ' 7312 Sum', ' 315184713)']","[' 1969601  (Average', ' 159.67 Max', ' 7312 Sum', ' 314566917 Ratio', '  99.80%)']","[' 521      (Average', ' 1185.79 Max', ' 2334 Sum', ' 617796 Ratio', '   0.20%)']", ,[' 90642   '],[' 11430   '],[' 91493   '],[' 61365   '],"[' 184091   (Atom=Atom', ' 51453 Body=Body', ' 29735 Other', ' 102903)']",[' Yes'],"[' 13031    (Eliminated', '    0 Frozen', ' 13031)']","[' 6210     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.60314'],[' 0'], ,[' 298.248'],[' 0'],[' 21.3165'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15307e+09'],[' 1.04609e+09'],[' 0'],[' 1.45698e+10'],[' 0'],[' 0'],[' 1687 '],[' 3379 ']
Solving...,TA52, , ,[' 1'],[' 3891+'],[' 1948'],"[' 310.774s (Solving', ' 296.24s 1st Model', ' 158.78s Unsat', ' 0.00s)']",[' 309.516s'], ,[' 193475598'],"[' 1117705  (Analyzed', ' 883420)']","[' 3448     (Average', ' 256.21 Last', ' 120213)']",[' 6906.8  '],"[' 1948     (Average Length', ' 953.99 Splits', ' 0)']","[' 883420   (Deleted', ' 826021)']","[' 505      (Ratio', '   0.06%)']","[' 42509    (Ratio', '   4.81%)']","[' 883420   (Average Length', '   26.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 883420   (Average', ' 206.04 Max', ' 7826 Sum', ' 182017109)']","[' 882893   (Average', ' 205.48 Max', ' 7591 Sum', ' 181525105 Ratio', '  99.73%)']","[' 527      (Average', ' 933.59 Max', ' 1863 Sum', ' 492004 Ratio', '   0.27%)']", ,[' 90030   '],[' 11472   '],[' 90486   '],[' 61343   '],"[' 184025   (Atom=Atom', ' 51275 Body=Body', ' 29891 Other', ' 102859)']",[' Yes'],"[' 12678    (Eliminated', '    0 Frozen', ' 12678)']","[' 4454     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.78888'],[' 0'], ,[' 117.71'],[' 0'],[' 11.3299'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.01945e+08'],[' 4.52163e+08'],[' 0'],[' 4.74411e+09'],[' 0'],[' 0'],[' 1867 '],[' 3592 ']
Solving...,TA53, , ,[' 1'],[' 4877+'],[' 2441'],"[' 535.471s (Solving', ' 517.36s 1st Model', ' 370.86s Unsat', ' 0.00s)']",[' 533.578s'], ,[' 275649735'],"[' 2173598  (Analyzed', ' 1465468)']","[' 5745     (Average', ' 255.09 Last', ' 194190)']",[' 6658.4  '],"[' 2441     (Average Length', ' 1198.74 Splits', ' 0)']","[' 1465468  (Deleted', ' 1407013)']","[' 437      (Ratio', '   0.03%)']","[' 48985    (Ratio', '   3.34%)']","[' 1465468  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1465468  (Average', ' 178.73 Max', ' 7729 Sum', ' 261917868)']","[' 1464971  (Average', ' 178.31 Max', ' 7080 Sum', ' 261310168 Ratio', '  99.77%)']","[' 497      (Average', ' 1222.74 Max', ' 2332 Sum', ' 607700 Ratio', '   0.23%)']", ,[' 89758   '],[' 11256   '],[' 90700   '],[' 60995   '],"[' 182981   (Atom=Atom', ' 51126 Body=Body', ' 29692 Other', ' 102163)']",[' Yes'],"[' 12948    (Eliminated', '    0 Frozen', ' 12948)']","[' 6228     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.46613'],[' 0'], ,[' 186.493'],[' 0'],[' 17.3402'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.61335e+08'],[' 8.66788e+08'],[' 0'],[' 6.68772e+09'],[' 0'],[' 0'],[' 1508 '],[' 3232 ']
Solving...,TA54, , ,[' 1'],[' 4345+'],[' 2175'],"[' 515.147s (Solving', ' 499.38s 1st Model', ' 355.34s Unsat', ' 0.00s)']",[' 513.188s'], ,[' 260437464'],"[' 1865518  (Analyzed', ' 1281842)']","[' 4909     (Average', ' 261.12 Last', ' 140398)']",[' 6433.0  '],"[' 2175     (Average Length', ' 1069.75 Splits', ' 0)']","[' 1281842  (Deleted', ' 1216313)']","[' 480      (Ratio', '   0.04%)']","[' 52665    (Ratio', '   4.11%)']","[' 1281842  (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1281842  (Average', ' 193.91 Max', ' 7595 Sum', ' 248562014)']","[' 1281327  (Average', ' 193.43 Max', ' 7183 Sum', ' 247952261 Ratio', '  99.75%)']","[' 515      (Average', ' 1183.99 Max', ' 2085 Sum', ' 609753 Ratio', '   0.25%)']", ,[' 89671   '],[' 11404   '],[' 90207   '],[' 60816   '],"[' 182444   (Atom=Atom', ' 50962 Body=Body', ' 29677 Other', ' 101805)']",[' Yes'],"[' 12690    (Eliminated', '    0 Frozen', ' 12690)']","[' 6210     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.04633'],[' 0'], ,[' 187.599'],[' 0'],[' 16.8715'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.52682e+08'],[' 7.73961e+08'],[' 0'],[' 6.91885e+09'],[' 0'],[' 0'],[' 1617 '],[' 3456 ']
Solving...,TA55, , ,[' 1'],[' 4589+'],[' 2297'],"[' 671.772s (Solving', ' 655.72s 1st Model', ' 504.80s Unsat', ' 0.00s)']",[' 669.125s'], ,[' 301198694'],"[' 2563965  (Analyzed', ' 1562837)']","[' 5944     (Average', ' 262.93 Last', ' 155341)']",[' 6917.9  '],"[' 2297     (Average Length', ' 1128.65 Splits', ' 0)']","[' 1562837  (Deleted', ' 1490307)']","[' 647      (Ratio', '   0.04%)']","[' 55207    (Ratio', '   3.53%)']","[' 1562837  (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1562837  (Average', ' 183.74 Max', ' 7503 Sum', ' 287159353)']","[' 1562306  (Average', ' 183.37 Max', ' 7364 Sum', ' 286571408 Ratio', '  99.80%)']","[' 531      (Average', ' 1107.24 Max', ' 2158 Sum', ' 587945 Ratio', '   0.20%)']", ,[' 89685   '],[' 11409   '],[' 90393   '],[' 61177   '],"[' 183527   (Atom=Atom', ' 51248 Body=Body', ' 29752 Other', ' 102527)']",[' Yes'],"[' 12867    (Eliminated', '    0 Frozen', ' 12867)']","[' 4156     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.29266'],[' 0'], ,[' 288.422'],[' 0'],[' 20.3845'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04018e+09'],[' 9.43257e+08'],[' 0'],[' 1.3963e+10'],[' 0'],[' 0'],[' 1762 '],[' 3381 ']
Solving...,TA56, , ,[' 1'],[' 4511+'],[' 2258'],"[' 327.941s (Solving', ' 311.22s 1st Model', ' 162.68s Unsat', ' 0.00s)']",[' 326.906s'], ,[' 190718329'],"[' 1779785  (Analyzed', ' 907801)']","[' 3787     (Average', ' 239.72 Last', ' 86574)']",[' 6916.5  '],"[' 2258     (Average Length', ' 1109.26 Splits', ' 0)']","[' 907801   (Deleted', ' 853881)']","[' 530      (Ratio', '   0.06%)']","[' 40011    (Ratio', '   4.41%)']","[' 907801   (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 907801   (Average', ' 195.15 Max', ' 7974 Sum', ' 177161280)']","[' 907235   (Average', ' 194.47 Max', ' 7297 Sum', ' 176539753 Ratio', '  99.65%)']","[' 566      (Average', ' 1098.10 Max', ' 2127 Sum', ' 621527 Ratio', '   0.35%)']", ,[' 89505   '],[' 11305   '],[' 90112   '],[' 60555   '],"[' 181661   (Atom=Atom', ' 50779 Body=Body', ' 29599 Other', ' 101283)']",[' Yes'],"[' 12662    (Eliminated', '    0 Frozen', ' 12662)']","[' 3401     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.28416'],[' 0'], ,[' 134.505'],[' 0'],[' 11.1891'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.00418e+08'],[' 4.50232e+08'],[' 0'],[' 6.54311e+09'],[' 0'],[' 0'],[' 1903 '],[' 3415 ']
Solving...,TA57, , ,[' 1'],[' 4235+'],[' 2120'],"[' 258.676s (Solving', ' 243.64s 1st Model', ' 99.43s Unsat', ' 0.00s)']",[' 257.859s'], ,[' 167533223'],"[' 1449505  (Analyzed', ' 801086)']","[' 3488     (Average', ' 229.67 Last', ' 86087)']",[' 6969.2  '],"[' 2120     (Average Length', ' 1036.11 Splits', ' 0)']","[' 801086   (Deleted', ' 747779)']","[' 442      (Ratio', '   0.06%)']","[' 35784    (Ratio', '   4.47%)']","[' 801086   (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 801086   (Average', ' 193.07 Max', ' 7577 Sum', ' 154662207)']","[' 800546   (Average', ' 192.43 Max', ' 7119 Sum', ' 154155601 Ratio', '  99.67%)']","[' 540      (Average', ' 938.16 Max', ' 1935 Sum', ' 506606 Ratio', '   0.33%)']", ,[' 89811   '],[' 11362   '],[' 90398   '],[' 60948   '],"[' 182840   (Atom=Atom', ' 51027 Body=Body', ' 29744 Other', ' 102069)']",[' Yes'],"[' 12699    (Eliminated', '    0 Frozen', ' 12699)']","[' 4210     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.03452'],[' 0'], ,[' 106.219'],[' 0'],[' 9.35867'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.02651e+08'],[' 3.64597e+08'],[' 0'],[' 5.14068e+09'],[' 0'],[' 0'],[' 1981 '],[' 3682 ']
Solving...,TA58, , ,[' 1'],[' 4889+'],[' 2447'],"[' 430.755s (Solving', ' 414.21s 1st Model', ' 269.14s Unsat', ' 0.00s)']",[' 429.594s'], ,[' 253663601'],"[' 1572626  (Analyzed', ' 1054824)']","[' 4420     (Average', ' 238.65 Last', ' 211914)']",[' 6917.0  '],"[' 2447     (Average Length', ' 1194.37 Splits', ' 0)']","[' 1054824  (Deleted', ' 990884)']","[' 663      (Ratio', '   0.06%)']","[' 50293    (Ratio', '   4.77%)']","[' 1054824  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1054824  (Average', ' 227.21 Max', ' 8187 Sum', ' 239664270)']","[' 1054255  (Average', ' 226.54 Max', ' 8078 Sum', ' 238964497 Ratio', '  99.71%)']","[' 569      (Average', ' 1229.83 Max', ' 2186 Sum', ' 699773 Ratio', '   0.29%)']", ,[' 90580   '],[' 11457   '],[' 91498   '],[' 61864   '],"[' 185588   (Atom=Atom', ' 51776 Body=Body', ' 29911 Other', ' 103901)']",[' Yes'],"[' 13125    (Eliminated', '    0 Frozen', ' 13125)']","[' 4565     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.37054'],[' 0'], ,[' 164.63'],[' 0'],[' 14.8963'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.80987e+08'],[' 7.11872e+08'],[' 0'],[' 7.47718e+09'],[' 0'],[' 0'],[' 1830 '],[' 3534 ']
Solving...,TA59, , ,[' 1'],[' 4235+'],[' 2120'],"[' 455.047s (Solving', ' 440.06s 1st Model', ' 300.89s Unsat', ' 0.00s)']",[' 454.328s'], ,[' 265040757'],"[' 1711158  (Analyzed', ' 1297011)']","[' 4786     (Average', ' 271.00 Last', ' 104712)']",[' 6514.3  '],"[' 2120     (Average Length', ' 1038.43 Splits', ' 0)']","[' 1297011  (Deleted', ' 1225348)']","[' 649      (Ratio', '   0.05%)']","[' 55279    (Ratio', '   4.26%)']","[' 1297011  (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1297011  (Average', ' 195.32 Max', ' 7463 Sum', ' 253329335)']","[' 1296507  (Average', ' 194.91 Max', ' 7203 Sum', ' 252796039 Ratio', '  99.79%)']","[' 504      (Average', ' 1058.13 Max', ' 1890 Sum', ' 533296 Ratio', '   0.21%)']", ,[' 89148   '],[' 11342   '],[' 89683   '],[' 60777   '],"[' 182327   (Atom=Atom', ' 50893 Body=Body', ' 29707 Other', ' 101727)']",[' Yes'],"[' 12627    (Eliminated', '    0 Frozen', ' 12627)']","[' 5937     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.86702'],[' 0'], ,[' 172.478'],[' 0'],[' 15.4867'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.63424e+08'],[' 7.83783e+08'],[' 0'],[' 7.65667e+09'],[' 0'],[' 0'],[' 1642 '],[' 3368 ']
Solving...,TA60, , ,[' 1'],[' 4585+'],[' 2295'],"[' 524.689s (Solving', ' 509.29s 1st Model', ' 370.58s Unsat', ' 0.00s)']",[' 523.813s'], ,[' 295063709'],"[' 1654160  (Analyzed', ' 1413485)']","[' 5376     (Average', ' 262.93 Last', ' 149600)']",[' 6587.5  '],"[' 2295     (Average Length', ' 1126.09 Splits', ' 0)']","[' 1413485  (Deleted', ' 1343973)']","[' 628      (Ratio', '   0.04%)']","[' 55492    (Ratio', '   3.93%)']","[' 1413485  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1413485  (Average', ' 199.98 Max', ' 7559 Sum', ' 282670032)']","[' 1412977  (Average', ' 199.54 Max', ' 7559 Sum', ' 282044314 Ratio', '  99.78%)']","[' 508      (Average', ' 1231.73 Max', ' 2084 Sum', ' 625718 Ratio', '   0.22%)']", ,[' 89567   '],[' 11312   '],[' 90357   '],[' 61086   '],"[' 183254   (Atom=Atom', ' 51152 Body=Body', ' 29757 Other', ' 102345)']",[' Yes'],"[' 12852    (Eliminated', '    0 Frozen', ' 12852)']","[' 5715     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.95909'],[' 0'], ,[' 196.064'],[' 0'],[' 17.5341'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02064e+09'],[' 9.24289e+08'],[' 0'],[' 8.7333e+09'],[' 0'],[' 0'],[' 1619 '],[' 3204 ']
