Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 7853+'],[' 3935'],"[' 614.083s (Solving', ' 565.13s 1st Model', ' 84.32s Unsat', ' 0.00s)']",[' 611.938s'], ,[' 169537577'],"[' 9468229  (Analyzed', ' 9100572)']","[' 19318    (Average', ' 471.09 Last', ' 174801)']",[' 9010.5  '],"[' 3935     (Average Length', ' 1990.12 Splits', ' 0)']","[' 9100572  (Deleted', ' 8972570)']","[' 385      (Ratio', '   0.00%)']","[' 23281    (Ratio', '   0.26%)']","[' 9100572  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9100572  (Average', ' 16.01 Max', ' 11423 Sum', ' 145709427)']","[' 9097937  (Average', ' 15.50 Max', ' 11423 Sum', ' 141092057 Ratio', '  96.83%)']","[' 2635     (Average', ' 1752.32 Max', ' 2835 Sum', ' 4617370 Ratio', '   3.17%)']", ,[' 328863  '],[' 16637   '],[' 302259  '],[' 133197  '],"[' 318389   (Atom=Atom', ' 88837 Body=Body', ' 60658 Other', ' 168894)']",[' Yes'],"[' 21312    (Eliminated', '    0 Frozen', ' 21312)']","[' 4080     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.20709'],[' 0'], ,[' 258.522'],[' 0'],[' 12.9267'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.71096e+08'],[' 2.26948e+08'],[' 0'],[' 1.39617e+10'],[' 0'],[' 0'],[' 1040 '],[' 1819 '],[' 2614 '],[' 3231 '],[' 3894 '],[' 4567 '],[' 5262 '],[' 5883 '],[' 8 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 8667+'],[' 4342'],"[' 615.438s (Solving', ' 558.76s 1st Model', ' 110.11s Unsat', ' 0.00s)']",[' 613.734s'], ,[' 174761966'],"[' 7879405  (Analyzed', ' 7572603)']","[' 16847    (Average', ' 449.49 Last', ' 25252)']",[' 8262.4  '],"[' 4342     (Average Length', ' 2172.20 Splits', ' 0)']","[' 7572603  (Deleted', ' 7440982)']","[' 504      (Ratio', '   0.01%)']","[' 30979    (Ratio', '   0.41%)']","[' 7572603  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7572603  (Average', ' 20.00 Max', ' 11160 Sum', ' 151453458)']","[' 7570146  (Average', ' 19.50 Max', ' 11160 Sum', ' 147662843 Ratio', '  97.50%)']","[' 2457     (Average', ' 1542.78 Max', ' 3251 Sum', ' 3790615 Ratio', '   2.50%)']", ,[' 326476  '],[' 16154   '],[' 299663  '],[' 130921  '],"[' 316987   (Atom=Atom', ' 88596 Body=Body', ' 60134 Other', ' 168257)']",[' Yes'],"[' 21464    (Eliminated', '    0 Frozen', ' 21464)']","[' 5580     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9274'],[' 0'], ,[' 209.747'],[' 0'],[' 12.9568'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.11204e+08'],[' 2.6115e+08'],[' 0'],[' 9.43672e+09'],[' 0'],[' 0'],[' 779 '],[' 1397 '],[' 2139 '],[' 2805 '],[' 3385 '],[' 4052 '],[' 4804 '],[' 5463 '],[' 8 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 7551+'],[' 3784'],"[' 614.973s (Solving', ' 561.18s 1st Model', ' 97.92s Unsat', ' 0.00s)']",[' 611.188s'], ,[' 167201286'],"[' 7680560  (Analyzed', ' 7267231)']","[' 16212    (Average', ' 448.26 Last', ' 40806)']",[' 8624.4  '],"[' 3784     (Average Length', ' 1934.80 Splits', ' 0)']","[' 7267231  (Deleted', ' 7150001)']","[' 561      (Ratio', '   0.01%)']","[' 26246    (Ratio', '   0.36%)']","[' 7267231  (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7267231  (Average', ' 20.07 Max', ' 10577 Sum', ' 145885268)']","[' 7264270  (Average', ' 19.41 Max', ' 10577 Sum', ' 141063585 Ratio', '  96.69%)']","[' 2961     (Average', ' 1628.40 Max', ' 2804 Sum', ' 4821683 Ratio', '   3.31%)']", ,[' 329296  '],[' 16650   '],[' 302324  '],[' 133650  '],"[' 317181   (Atom=Atom', ' 88505 Body=Body', ' 60476 Other', ' 168200)']",[' Yes'],"[' 21145    (Eliminated', '    0 Frozen', ' 21145)']","[' 4731     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.2676'],[' 0'], ,[' 231.246'],[' 0'],[' 13.3309'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74349e+08'],[' 2.32171e+08'],[' 0'],[' 1.02351e+10'],[' 0'],[' 0'],[' 1089 '],[' 1858 '],[' 2447 '],[' 3274 '],[' 3817 '],[' 4512 '],[' 5218 '],[' 5869 '],[' 8 '],[' 0 ']
Solving...,TA74, , , ,[' 9411+'],[' 4714'],"[' 618.141s (Solving', ' 557.08s 1st Model', ' 122.21s Unsat', ' 0.00s)']",[' 615.781s'], ,[' 180614152'],"[' 7383921  (Analyzed', ' 6957716)']","[' 16267    (Average', ' 427.72 Last', ' 38845)']",[' 8255.4  '],"[' 4715     (Average Length', ' 2257.60 Splits', ' 0)']","[' 6957716  (Deleted', ' 6819421)']","[' 538      (Ratio', '   0.01%)']","[' 31990    (Ratio', '   0.46%)']","[' 6957716  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6957716  (Average', ' 22.50 Max', ' 9687 Sum', ' 156572352)']","[' 6954887  (Average', ' 21.78 Max', ' 9687 Sum', ' 151558105 Ratio', '  96.80%)']","[' 2829     (Average', ' 1772.45 Max', ' 3253 Sum', ' 5014247 Ratio', '   3.20%)']", ,[' 327353  '],[' 16205   '],[' 300667  '],[' 131709  '],"[' 318625   (Atom=Atom', ' 89085 Body=Body', ' 60260 Other', ' 169280)']",[' Yes'],"[' 21673    (Eliminated', '    0 Frozen', ' 21673)']","[' 6468     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.4961'],[' 0'], ,[' 202.642'],[' 0'],[' 12.7193'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.31578e+08'],[' 2.8089e+08'],[' 0'],[' 8.93247e+09'],[' 0'],[' 0'],[' 928 '],[' 1546 '],[' 2182 '],[' 2833 '],[' 3484 '],[' 4267 '],[' 4856 '],[' 5582 '],[' 8 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 8837+'],[' 4427'],"[' 614.696s (Solving', ' 561.75s 1st Model', ' 158.32s Unsat', ' 0.00s)']",[' 612.563s'], ,[' 216968497'],"[' 6275145  (Analyzed', ' 6047143)']","[' 14161    (Average', ' 427.03 Last', ' 35311)']",[' 7631.4  '],"[' 4427     (Average Length', ' 2153.72 Splits', ' 0)']","[' 6047143  (Deleted', ' 5914229)']","[' 472      (Ratio', '   0.01%)']","[' 46665    (Ratio', '   0.77%)']","[' 6047143  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6047143  (Average', ' 32.41 Max', ' 9908 Sum', ' 195992900)']","[' 6044838  (Average', ' 31.77 Max', ' 9908 Sum', ' 192125702 Ratio', '  98.03%)']","[' 2305     (Average', ' 1677.74 Max', ' 3199 Sum', ' 3867198 Ratio', '   1.97%)']", ,[' 327884  '],[' 16462   '],[' 301393  '],[' 132358  '],"[' 320095   (Atom=Atom', ' 89399 Body=Body', ' 60683 Other', ' 170013)']",[' Yes'],"[' 21618    (Eliminated', '    0 Frozen', ' 21618)']","[' 7577     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.133'],[' 0'], ,[' 194.392'],[' 0'],[' 14.1545'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.42257e+08'],[' 3.76939e+08'],[' 0'],[' 8.57162e+09'],[' 0'],[' 0'],[' 996 '],[' 1630 '],[' 2265 '],[' 2933 '],[' 3668 '],[' 4315 '],[' 5003 '],[' 5688 '],[' 8 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 8559+'],[' 4288'],"[' 615.046s (Solving', ' 562.30s 1st Model', ' 92.98s Unsat', ' 0.00s)']",[' 612.906s'], ,[' 200266255'],"[' 7541281  (Analyzed', ' 7227148)']","[' 16027    (Average', ' 450.94 Last', ' 20458)']",[' 7976.0  '],"[' 4288     (Average Length', ' 2134.84 Splits', ' 0)']","[' 7227148  (Deleted', ' 7098198)']","[' 504      (Ratio', '   0.01%)']","[' 37404    (Ratio', '   0.52%)']","[' 7227148  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7227148  (Average', ' 24.80 Max', ' 10756 Sum', ' 179202664)']","[' 7224465  (Average', ' 24.15 Max', ' 10756 Sum', ' 174506391 Ratio', '  97.38%)']","[' 2683     (Average', ' 1750.38 Max', ' 3147 Sum', ' 4696273 Ratio', '   2.62%)']", ,[' 328255  '],[' 16342   '],[' 301460  '],[' 132533  '],"[' 317389   (Atom=Atom', ' 88682 Body=Body', ' 60291 Other', ' 168416)']",[' Yes'],"[' 21450    (Eliminated', '    0 Frozen', ' 21450)']","[' 6795     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.0591'],[' 0'], ,[' 221.979'],[' 0'],[' 13.67'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.84274e+08'],[' 3.25516e+08'],[' 0'],[' 1.10123e+10'],[' 0'],[' 0'],[' 905 '],[' 1593 '],[' 2250 '],[' 2952 '],[' 3558 '],[' 4237 '],[' 4878 '],[' 5554 '],[' 8 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 9119+'],[' 4568'],"[' 614.932s (Solving', ' 561.43s 1st Model', ' 118.10s Unsat', ' 0.00s)']",[' 612.891s'], ,[' 204369953'],"[' 7653094  (Analyzed', ' 7267720)']","[' 16804    (Average', ' 432.50 Last', ' 45632)']",[' 8348.2  '],"[' 4568     (Average Length', ' 2230.10 Splits', ' 0)']","[' 7267720  (Deleted', ' 7135716)']","[' 448      (Ratio', '   0.01%)']","[' 35983    (Ratio', '   0.50%)']","[' 7267720  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7267720  (Average', ' 24.84 Max', ' 9648 Sum', ' 180547326)']","[' 7265132  (Average', ' 24.17 Max', ' 9648 Sum', ' 175674590 Ratio', '  97.30%)']","[' 2588     (Average', ' 1882.82 Max', ' 3304 Sum', ' 4872736 Ratio', '   2.70%)']", ,[' 328518  '],[' 16312   '],[' 301701  '],[' 132630  '],"[' 318566   (Atom=Atom', ' 89057 Body=Body', ' 60322 Other', ' 169187)']",[' Yes'],"[' 21610    (Eliminated', '    0 Frozen', ' 21610)']","[' 6847     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.5596'],[' 0'], ,[' 210.795'],[' 0'],[' 13.7432'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.73401e+08'],[' 3.15442e+08'],[' 0'],[' 9.97191e+09'],[' 0'],[' 0'],[' 878 '],[' 1470 '],[' 2236 '],[' 2876 '],[' 3566 '],[' 4227 '],[' 4966 '],[' 5607 '],[' 8 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 8779+'],[' 4398'],"[' 615.398s (Solving', ' 558.11s 1st Model', ' 106.95s Unsat', ' 0.00s)']",[' 613.031s'], ,[' 167950958'],"[' 8666129  (Analyzed', ' 8271513)']","[' 17854    (Average', ' 463.29 Last', ' 49898)']",[' 8808.9  '],"[' 4398     (Average Length', ' 2153.01 Splits', ' 0)']","[' 8271513  (Deleted', ' 8148380)']","[' 430      (Ratio', '   0.01%)']","[' 26665    (Ratio', '   0.32%)']","[' 8271513  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8271513  (Average', ' 17.13 Max', ' 10808 Sum', ' 141666295)']","[' 8269054  (Average', ' 16.67 Max', ' 10808 Sum', ' 137848836 Ratio', '  97.31%)']","[' 2459     (Average', ' 1552.44 Max', ' 3093 Sum', ' 3817459 Ratio', '   2.69%)']", ,[' 328834  '],[' 16422   '],[' 301993  '],[' 133020  '],"[' 319205   (Atom=Atom', ' 89161 Body=Body', ' 60583 Other', ' 169461)']",[' Yes'],"[' 21586    (Eliminated', '    0 Frozen', ' 21586)']","[' 5044     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9577'],[' 0'], ,[' 223.298'],[' 0'],[' 11.8646'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.92131e+08'],[' 2.43649e+08'],[' 0'],[' 1.13819e+10'],[' 0'],[' 0'],[' 1022 '],[' 1610 '],[' 2236 '],[' 2920 '],[' 3541 '],[' 4384 '],[' 4967 '],[' 5602 '],[' 8 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 8807+'],[' 4412'],"[' 615.011s (Solving', ' 560.87s 1st Model', ' 81.03s Unsat', ' 0.00s)']",[' 613.219s'], ,[' 191691065'],"[' 7834239  (Analyzed', ' 7504413)']","[' 16646    (Average', ' 450.82 Last', ' 41680)']",[' 8539.6  '],"[' 4412     (Average Length', ' 2172.90 Splits', ' 0)']","[' 7504413  (Deleted', ' 7377076)']","[' 551      (Ratio', '   0.01%)']","[' 31614    (Ratio', '   0.42%)']","[' 7504413  (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7504413  (Average', ' 22.34 Max', ' 11472 Sum', ' 167660167)']","[' 7501672  (Average', ' 21.70 Max', ' 11472 Sum', ' 162859789 Ratio', '  97.14%)']","[' 2741     (Average', ' 1751.32 Max', ' 3192 Sum', ' 4800378 Ratio', '   2.86%)']", ,[' 328505  '],[' 16393   '],[' 301781  '],[' 132525  '],"[' 319898   (Atom=Atom', ' 89336 Body=Body', ' 60699 Other', ' 169863)']",[' Yes'],"[' 21716    (Eliminated', '    0 Frozen', ' 21716)']","[' 5953     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.4472'],[' 0'], ,[' 225.089'],[' 0'],[' 13.0238'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.47587e+08'],[' 2.94866e+08'],[' 0'],[' 1.14911e+10'],[' 0'],[' 0'],[' 952 '],[' 1640 '],[' 2255 '],[' 2881 '],[' 3545 '],[' 4259 '],[' 4934 '],[' 5576 '],[' 8 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 8017+'],[' 4017'],"[' 613.696s (Solving', ' 563.98s 1st Model', ' 106.90s Unsat', ' 0.00s)']",[' 612.109s'], ,[' 188862169'],"[' 8621312  (Analyzed', ' 8242436)']","[' 18383    (Average', ' 448.37 Last', ' 243138)']",[' 8717.4  '],"[' 4017     (Average Length', ' 2028.95 Splits', ' 0)']","[' 8242436  (Deleted', ' 8122276)']","[' 422      (Ratio', '   0.01%)']","[' 32048    (Ratio', '   0.39%)']","[' 8242436  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8242436  (Average', ' 20.05 Max', ' 10649 Sum', ' 165258031)']","[' 8239874  (Average', ' 19.55 Max', ' 10649 Sum', ' 161146491 Ratio', '  97.51%)']","[' 2562     (Average', ' 1604.82 Max', ' 2942 Sum', ' 4111540 Ratio', '   2.49%)']", ,[' 329271  '],[' 16582   '],[' 302048  '],[' 133369  '],"[' 320116   (Atom=Atom', ' 89317 Body=Body', ' 61005 Other', ' 169794)']",[' Yes'],"[' 21446    (Eliminated', '    0 Frozen', ' 21446)']","[' 5782     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.70634'],[' 0'], ,[' 245.162'],[' 0'],[' 13.5006'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.28148e+08'],[' 2.7483e+08'],[' 0'],[' 1.2796e+10'],[' 0'],[' 0'],[' 887 '],[' 1610 '],[' 2428 '],[' 2988 '],[' 3599 '],[' 4391 '],[' 4919 '],[' 5602 '],[' 8 '],[' 0 ']
