Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 3105+'],[' 1558'],"[' 601.803s (Solving', ' 595.35s 1st Model', ' 7.31s Unsat', ' 0.00s)']",[' 600.141s'], ,[' 78831614'],"[' 24367309 (Analyzed', ' 24235660)']","[' 46613    (Average', ' 519.93 Last', ' 19955)']",[' 2865.7  '],"[' 1558     (Average Length', ' 850.34 Splits', ' 0)']","[' 24235660 (Deleted', ' 23934102)']","[' 169      (Ratio', '   0.00%)']","[' 9492     (Ratio', '   0.04%)']","[' 24235660 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24235660 (Average', '  3.11 Max', ' 3150 Sum', ' 75334799)']","[' 24234988 (Average', '  3.09 Max', ' 3150 Sum', ' 74832359 Ratio', '  99.33%)']","[' 672      (Average', ' 747.68 Max', ' 1191 Sum', ' 502440 Ratio', '   0.67%)']", ,[' 84900   '],[' 4689    '],[' 79113   '],[' 37536   '],"[' 95916    (Atom=Atom', ' 26665 Body=Body', ' 17801 Other', ' 51450)']",[' Yes'],"[' 6591     (Eliminated', '    0 Frozen', ' 6591)']","[' 1454     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.37319'],[' 0'], ,[' 393.174'],[' 0'],[' 11.8337'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.8089e+08'],[' 1.11453e+08'],[' 0'],[' 2.40844e+10'],[' 0'],[' 0'],[' 687 '],[' 1379 '],[' 1859 '],[' 2549 '],[' 3057 '],[' 5 '],[' 0 ']
Solving...,TA52, , ,[' 1'],[' 2977+'],[' 1494'],"[' 599.038s (Solving', ' 591.13s 1st Model', ' 17.08s Unsat', ' 0.00s)']",[' 591.375s'], ,[' 106187146'],"[' 20418938 (Analyzed', ' 20312853)']","[' 38377    (Average', ' 529.30 Last', ' 187628)']",[' 2649.5  '],"[' 1494     (Average Length', ' 817.56 Splits', ' 0)']","[' 20312853 (Deleted', ' 20083137)']","[' 239      (Ratio', '   0.00%)']","[' 15864    (Ratio', '   0.08%)']","[' 20312853 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20312853 (Average', '  5.07 Max', ' 3021 Sum', ' 103045309)']","[' 20312230 (Average', '  5.05 Max', ' 3021 Sum', ' 102620290 Ratio', '  99.59%)']","[' 623      (Average', ' 682.21 Max', ' 1075 Sum', ' 425019 Ratio', '   0.41%)']", ,[' 84750   '],[' 4712    '],[' 78912   '],[' 37473   '],"[' 96350    (Atom=Atom', ' 26765 Body=Body', ' 17956 Other', ' 51629)']",[' Yes'],"[' 6540     (Eliminated', '    0 Frozen', ' 6540)']","[' 2695     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.7752'],[' 0'], ,[' 365.754'],[' 0'],[' 12.5146'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.11221e+08'],[' 2.19535e+08'],[' 0'],[' 2.12716e+10'],[' 0'],[' 0'],[' 777 '],[' 1322 '],[' 1863 '],[' 2467 '],[' 2978 '],[' 5 '],[' 0 ']
Solving...,TA53, , ,[' 1'],[' 2803+'],[' 1407'],"[' 540.456s (Solving', ' 534.69s 1st Model', ' 11.04s Unsat', ' 60.32s)']",[' 535.219s'], ,[' 77495726'],"[' 21193195 (Analyzed', ' 21024363)']","[' 40331    (Average', ' 521.30 Last', ' 70219)']",[' 2892.3  '],"[' 1407     (Average Length', ' 767.99 Splits', ' 0)']","[' 21024363 (Deleted', ' 20783351)']","[' 195      (Ratio', '   0.00%)']","[' 9850     (Ratio', '   0.05%)']","[' 21024363 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21024363 (Average', '  3.52 Max', ' 3225 Sum', ' 74097432)']","[' 21023789 (Average', '  3.51 Max', ' 3225 Sum', ' 73716443 Ratio', '  99.49%)']","[' 574      (Average', ' 663.74 Max', ' 961 Sum', ' 380989 Ratio', '   0.51%)']", ,[' 84705   '],[' 4708    '],[' 78722   '],[' 37346   '],"[' 96071    (Atom=Atom', ' 26659 Body=Body', ' 17957 Other', ' 51455)']",[' Yes'],"[' 6494     (Eliminated', '    0 Frozen', ' 6494)']","[' 1476     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.66893'],[' 0'], ,[' 353.728'],[' 0'],[' 11.3554'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7214e+08'],[' 1.09505e+08'],[' 0'],[' 2.27294e+10'],[' 0'],[' 0'],[' 717 '],[' 1268 '],[' 1852 '],[' 2401 '],[' 2920 '],[' 4 '],[' 1 ']
Solving...,TA54, , ,[' 1'],[' 3083+'],[' 1547'],"[' 601.746s (Solving', ' 595.44s 1st Model', ' 7.32s Unsat', ' 0.00s)']",[' 600.141s'], ,[' 100181189'],"[' 25169156 (Analyzed', ' 25038472)']","[' 45658    (Average', ' 548.39 Last', ' 689384)']",[' 2836.4  '],"[' 1547     (Average Length', ' 843.68 Splits', ' 0)']","[' 25038472 (Deleted', ' 24701249)']","[' 249      (Ratio', '   0.00%)']","[' 13655    (Ratio', '   0.05%)']","[' 25038472 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25038472 (Average', '  3.86 Max', ' 3001 Sum', ' 96580177)']","[' 25037904 (Average', '  3.84 Max', ' 3001 Sum', ' 96213526 Ratio', '  99.62%)']","[' 568      (Average', ' 645.51 Max', ' 1081 Sum', ' 366651 Ratio', '   0.38%)']", ,[' 85348   '],[' 4765    '],[' 79507   '],[' 37917   '],"[' 97270    (Atom=Atom', ' 26993 Body=Body', ' 18103 Other', ' 52174)']",[' Yes'],"[' 6674     (Eliminated', '    0 Frozen', ' 6674)']","[' 2306     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32782'],[' 0'], ,[' 392.47'],[' 0'],[' 12.6185'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.41346e+08'],[' 1.60288e+08'],[' 0'],[' 2.5247e+10'],[' 0'],[' 0'],[' 801 '],[' 1240 '],[' 1908 '],[' 2396 '],[' 2948 '],[' 5 '],[' 0 ']
Solving...,TA55, , ,[' 1'],[' 3325+'],[' 1668'],"[' 601.779s (Solving', ' 595.25s 1st Model', ' 78.41s Unsat', ' 0.00s)']",[' 599.484s'], ,[' 117948440'],"[' 22788668 (Analyzed', ' 22683600)']","[' 43656    (Average', ' 519.60 Last', ' 1217350)']",[' 2824.0  '],"[' 1668     (Average Length', ' 896.76 Splits', ' 0)']","[' 22683600 (Deleted', ' 22401293)']","[' 273      (Ratio', '   0.00%)']","[' 15203    (Ratio', '   0.07%)']","[' 22683600 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22683600 (Average', '  5.04 Max', ' 2957 Sum', ' 114327998)']","[' 22683033 (Average', '  5.02 Max', ' 2957 Sum', ' 113899356 Ratio', '  99.63%)']","[' 567      (Average', ' 755.98 Max', ' 1196 Sum', ' 428642 Ratio', '   0.37%)']", ,[' 85068   '],[' 4697    '],[' 79377   '],[' 37708   '],"[' 96401    (Atom=Atom', ' 26821 Body=Body', ' 17831 Other', ' 51749)']",[' Yes'],"[' 6681     (Eliminated', '    0 Frozen', ' 6681)']","[' 2443     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39561'],[' 0'], ,[' 373.144'],[' 0'],[' 13.2983'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.33285e+08'],[' 2.35236e+08'],[' 0'],[' 2.328e+10'],[' 0'],[' 0'],[' 686 '],[' 1296 '],[' 1818 '],[' 2373 '],[' 2891 '],[' 5 '],[' 0 ']
Solving...,TA56, , ,[' 1'],[' 2461+'],[' 1236'],"[' 601.403s (Solving', ' 596.46s 1st Model', ' 5.20s Unsat', ' 0.00s)']",[' 600.594s'], ,[' 87338902'],"[' 27855294 (Analyzed', ' 27726519)']","[' 50765    (Average', ' 546.17 Last', ' 233953)']",[' 2912.1  '],"[' 1236     (Average Length', ' 712.43 Splits', ' 0)']","[' 27726519 (Deleted', ' 27412240)']","[' 154      (Ratio', '   0.00%)']","[' 9556     (Ratio', '   0.03%)']","[' 27726519 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27726519 (Average', '  3.03 Max', ' 3576 Sum', ' 83983425)']","[' 27725911 (Average', '  3.02 Max', ' 3576 Sum', ' 83619656 Ratio', '  99.57%)']","[' 608      (Average', ' 598.30 Max', ' 947 Sum', ' 363769 Ratio', '   0.43%)']", ,[' 84087   '],[' 4694    '],[' 78211   '],[' 36867   '],"[' 95368    (Atom=Atom', ' 26443 Body=Body', ' 17884 Other', ' 51041)']",[' Yes'],"[' 6338     (Eliminated', '    0 Frozen', ' 6338)']","[' 1284     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03613'],[' 0'], ,[' 399.078'],[' 0'],[' 11.6768'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94648e+08'],[' 1.1834e+08'],[' 0'],[' 2.62192e+10'],[' 0'],[' 0'],[' 821 '],[' 1426 '],[' 2071 '],[' 2614 '],[' 3149 '],[' 5 '],[' 0 ']
Solving...,TA57, , ,[' 1'],[' 3037+'],[' 1524'],"[' 601.638s (Solving', ' 595.66s 1st Model', ' 18.89s Unsat', ' 0.00s)']",[' 600.281s'], ,[' 101567369'],"[' 26023020 (Analyzed', ' 25889320)']","[' 45659    (Average', ' 567.01 Last', ' 120108)']",[' 2888.6  '],"[' 1524     (Average Length', ' 846.00 Splits', ' 0)']","[' 25889320 (Deleted', ' 25615188)']","[' 261      (Ratio', '   0.00%)']","[' 12735    (Ratio', '   0.05%)']","[' 25889320 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25889320 (Average', '  3.78 Max', ' 2910 Sum', ' 97959350)']","[' 25888668 (Average', '  3.77 Max', ' 2910 Sum', ' 97527596 Ratio', '  99.56%)']","[' 652      (Average', ' 662.20 Max', ' 1138 Sum', ' 431754 Ratio', '   0.44%)']", ,[' 84986   '],[' 4760    '],[' 79208   '],[' 37705   '],"[' 96855    (Atom=Atom', ' 26891 Body=Body', ' 18033 Other', ' 51931)']",[' Yes'],"[' 6615     (Eliminated', '    0 Frozen', ' 6615)']","[' 2123     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26789'],[' 0'], ,[' 386.877'],[' 0'],[' 12.2492'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.59947e+08'],[' 1.72058e+08'],[' 0'],[' 2.57423e+10'],[' 0'],[' 0'],[' 850 '],[' 1510 '],[' 2017 '],[' 2559 '],[' 3133 '],[' 5 '],[' 0 ']
Solving...,TA58, , ,[' 1'],[' 3235+'],[' 1623'],"[' 601.896s (Solving', ' 595.33s 1st Model', ' 15.39s Unsat', ' 0.00s)']",[' 600.766s'], ,[' 121138209'],"[' 25405117 (Analyzed', ' 25282919)']","[' 46501    (Average', ' 543.71 Last', ' 22538)']",[' 2839.4  '],"[' 1623     (Average Length', ' 886.39 Splits', ' 0)']","[' 25282919 (Deleted', ' 24987473)']","[' 217      (Ratio', '   0.00%)']","[' 15781    (Ratio', '   0.06%)']","[' 25282919 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25282919 (Average', '  4.65 Max', ' 3354 Sum', ' 117455940)']","[' 25282361 (Average', '  4.63 Max', ' 3354 Sum', ' 117062584 Ratio', '  99.67%)']","[' 558      (Average', ' 704.94 Max', ' 1153 Sum', ' 393356 Ratio', '   0.33%)']", ,[' 84819   '],[' 4695    '],[' 79089   '],[' 37553   '],"[' 96682    (Atom=Atom', ' 26873 Body=Body', ' 17937 Other', ' 51872)']",[' Yes'],"[' 6696     (Eliminated', '    0 Frozen', ' 6696)']","[' 2471     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.37646'],[' 0'], ,[' 369.052'],[' 0'],[' 12.6514'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.24639e+08'],[' 2.23756e+08'],[' 0'],[' 2.41899e+10'],[' 0'],[' 0'],[' 737 '],[' 1343 '],[' 1922 '],[' 2515 '],[' 3036 '],[' 5 '],[' 0 ']
Solving...,TA59, , ,[' 1'],[' 3071+'],[' 1541'],"[' 591.645s (Solving', ' 585.46s 1st Model', ' 58.82s Unsat', ' 108.47s)']",[' 590.234s'], ,[' 103355722'],"[' 23834660 (Analyzed', ' 23691452)']","[' 46546    (Average', ' 508.99 Last', ' 551661)']",[' 2887.2  '],"[' 1541     (Average Length', ' 854.92 Splits', ' 0)']","[' 23691452 (Deleted', ' 23412718)']","[' 237      (Ratio', '   0.00%)']","[' 14789    (Ratio', '   0.06%)']","[' 23691452 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23691452 (Average', '  4.21 Max', ' 3030 Sum', ' 99731177)']","[' 23690890 (Average', '  4.19 Max', ' 3030 Sum', ' 99365463 Ratio', '  99.63%)']","[' 562      (Average', ' 650.74 Max', ' 1121 Sum', ' 365714 Ratio', '   0.37%)']", ,[' 84877   '],[' 4672    '],[' 78980   '],[' 37503   '],"[' 95856    (Atom=Atom', ' 26649 Body=Body', ' 17821 Other', ' 51386)']",[' Yes'],"[' 6588     (Eliminated', '    0 Frozen', ' 6588)']","[' 2128     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.2709'],[' 0'], ,[' 376.045'],[' 0'],[' 12.6325'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.83775e+08'],[' 1.9092e+08'],[' 0'],[' 2.416e+10'],[' 0'],[' 0'],[' 580 '],[' 1164 '],[' 1671 '],[' 2271 '],[' 2823 '],[' 4 '],[' 1 ']
Solving...,TA60, , ,[' 1'],[' 3049+'],[' 1530'],"[' 601.726s (Solving', ' 595.48s 1st Model', ' 14.14s Unsat', ' 0.00s)']",[' 600.578s'], ,[' 96127671'],"[' 27236398 (Analyzed', ' 27118182)']","[' 48426    (Average', ' 559.99 Last', ' 58302)']",[' 2863.6  '],"[' 1530     (Average Length', ' 836.51 Splits', ' 0)']","[' 27118182 (Deleted', ' 26803377)']","[' 190      (Ratio', '   0.00%)']","[' 13348    (Ratio', '   0.05%)']","[' 27118182 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27118182 (Average', '  3.41 Max', ' 2859 Sum', ' 92549181)']","[' 27117523 (Average', '  3.40 Max', ' 2859 Sum', ' 92110540 Ratio', '  99.53%)']","[' 659      (Average', ' 665.62 Max', ' 1034 Sum', ' 438641 Ratio', '   0.47%)']", ,[' 85051   '],[' 4714    '],[' 79182   '],[' 37673   '],"[' 96437    (Atom=Atom', ' 26794 Body=Body', ' 17946 Other', ' 51697)']",[' Yes'],"[' 6602     (Eliminated', '    0 Frozen', ' 6602)']","[' 1939     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3072'],[' 0'], ,[' 391.193'],[' 0'],[' 12.04'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.32797e+08'],[' 1.46091e+08'],[' 0'],[' 2.65706e+10'],[' 0'],[' 0'],[' 742 '],[' 1290 '],[' 1864 '],[' 2397 '],[' 2907 '],[' 5 '],[' 0 ']
