Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 
Solving...,TA31, , ,[' 277'],[' 147'],"[' 1.176s (Solving', ' 0.73s 1st Model', ' 0.10s Unsat', ' 0.19s)']",[' 1.172s'], ,[' 108320  '],"[' 9271     (Analyzed', ' 8358)']","[' 53       (Average', ' 157.70 Last', ' 104)']",[' 461.8   '],"[' 147      (Average Length', ' 69.64 Splits', ' 0)']","[' 8358     (Deleted', ' 3519)']","[' 68       (Ratio', '   0.81%)']","[' 395      (Ratio', '   4.73%)']","[' 8358     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8358     (Average', '  6.56 Max', ' 708 Sum', '  54837)']","[' 8254     (Average', '  6.26 Max', ' 708 Sum', '  52337 Ratio', '  95.44%)']","[' 104      (Average', ' 24.04 Max', ' 114 Sum', '   2500 Ratio', '   4.56%)']", ,[' 29392   '],[' 1247    '],[' 29080   '],[' 15321   '],"[' 45959    (Atom=Atom', ' 14522 Body=Body', ' 8192 Other', ' 23245)']",[' Yes'],"[' 1385     (Eliminated', '    0 Frozen', ' 1385)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.109311'],[' 0'], ,[' 0.274132'],[' 0'],[' 0.0083804'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 881853'],[' 809864'],[' 0'],[' 2.32619e+07'],[' 0'],[' 0'],[' 326 '],[' 714 '],[' 914 '],[' 1239 '],[' 1590 '],[' 1841 '],[' 2249 '],[' 2544 ']
Solving...,TA32, , ,[' 257'],[' 137'],"[' 10.636s (Solving', ' 10.10s 1st Model', ' 0.11s Unsat', ' 0.70s)']",[' 10.594s'], ,[' 636950  '],"[' 310938   (Analyzed', ' 309468)']","[' 995      (Average', ' 311.02 Last', ' 2403)']",[' 523.0   '],"[' 137      (Average Length', ' 63.33 Splits', ' 0)']","[' 309468   (Deleted', ' 293784)']","[' 67       (Ratio', '   0.02%)']","[' 829      (Ratio', '   0.27%)']","[' 309468   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 309468   (Average', '  1.83 Max', ' 707 Sum', ' 564924)']","[' 309381   (Average', '  1.82 Max', ' 707 Sum', ' 564519 Ratio', '  99.93%)']","[' 87       (Average', '  4.66 Max', '  89 Sum', '    405 Ratio', '   0.07%)']", ,[' 30243   '],[' 1288    '],[' 29920   '],[' 15740   '],"[' 47216    (Atom=Atom', ' 14900 Body=Body', ' 8233 Other', ' 24083)']",[' Yes'],"[' 1415     (Eliminated', '    0 Frozen', ' 1415)']","[' 17       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.118251'],[' 0'], ,[' 7.89952'],[' 0'],[' 0.161265'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.51243e+06'],[' 1.76833e+06'],[' 0'],[' 1.23047e+09'],[' 0'],[' 0'],[' 404 '],[' 750 '],[' 1203 '],[' 1550 '],[' 1826 '],[' 2348 '],[' 2626 '],[' 2977 ']
Solving...,TA33, , ,[' 269'],[' 143'],"[' 10.005s (Solving', ' 9.49s 1st Model', ' 0.11s Unsat', ' 0.05s)']",[' 9.938s'], ,[' 625952  '],"[' 380887   (Analyzed', ' 379737)']","[' 1041     (Average', ' 364.78 Last', ' 5367)']",[' 507.4   '],"[' 143      (Average Length', ' 66.50 Splits', ' 0)']","[' 379737   (Deleted', ' 368331)']","[' 50       (Ratio', '   0.01%)']","[' 508      (Ratio', '   0.13%)']","[' 379737   (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 379737   (Average', '  1.45 Max', ' 677 Sum', ' 551277)']","[' 379662   (Average', '  1.45 Max', ' 677 Sum', ' 550324 Ratio', '  99.83%)']","[' 75       (Average', ' 12.71 Max', '  57 Sum', '    953 Ratio', '   0.17%)']", ,[' 29613   '],[' 1254    '],[' 29296   '],[' 15432   '],"[' 46292    (Atom=Atom', ' 14626 Body=Body', ' 8199 Other', ' 23467)']",[' Yes'],"[' 1387     (Eliminated', '    0 Frozen', ' 1387)']","[' 26       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.115499'],[' 0'], ,[' 7.09123'],[' 0'],[' 0.176239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.33769e+06'],[' 1.43621e+06'],[' 0'],[' 9.56009e+08'],[' 0'],[' 0'],[' 430 '],[' 650 '],[' 953 '],[' 1515 '],[' 1809 '],[' 2131 '],[' 2471 '],[' 2847 ']
Solving...,TA34, , ,[' 297'],[' 157'],"[' 1.313s (Solving', ' 0.84s 1st Model', ' 0.18s Unsat', ' 0.12s)']",[' 1.297s'], ,[' 124311  '],"[' 8630     (Analyzed', ' 7186)']","[' 56       (Average', ' 128.32 Last', ' 176)']",[' 491.9   '],"[' 157      (Average Length', ' 73.15 Splits', ' 0)']","[' 7186     (Deleted', ' 0)']","[' 57       (Ratio', '   0.79%)']","[' 375      (Ratio', '   5.22%)']","[' 7186     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7186     (Average', '  8.50 Max', ' 683 Sum', '  61070)']","[' 7094     (Average', '  8.34 Max', ' 683 Sum', '  59935 Ratio', '  98.14%)']","[' 92       (Average', ' 12.34 Max', ' 101 Sum', '   1135 Ratio', '   1.86%)']", ,[' 29246   '],[' 1246    '],[' 28942   '],[' 15212   '],"[' 45632    (Atom=Atom', ' 14414 Body=Body', ' 8191 Other', ' 23027)']",[' Yes'],"[' 1392     (Eliminated', '    0 Frozen', ' 1392)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.12681'],[' 0'], ,[' 0.251169'],[' 0'],[' 0.009461'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06111e+06'],[' 983763'],[' 0'],[' 1.43739e+07'],[' 0'],[' 0'],[' 471 '],[' 739 '],[' 1057 '],[' 1365 '],[' 1641 '],[' 1981 '],[' 2290 '],[' 2673 ']
Solving...,TA35, , ,[' 345'],[' 181'],"[' 10.379s (Solving', ' 9.81s 1st Model', ' 0.13s Unsat', ' 0.35s)']",[' 10.234s'], ,[' 423840  '],"[' 221573   (Analyzed', ' 220003)']","[' 674      (Average', ' 326.41 Last', ' 264)']",[' 520.8   '],"[' 181      (Average Length', ' 84.77 Splits', ' 0)']","[' 220003   (Deleted', ' 211948)']","[' 54       (Ratio', '   0.02%)']","[' 616      (Ratio', '   0.28%)']","[' 220003   (Average Length', '    9.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 220003   (Average', '  1.56 Max', ' 711 Sum', ' 343282)']","[' 219932   (Average', '  1.56 Max', ' 711 Sum', ' 342349 Ratio', '  99.73%)']","[' 71       (Average', ' 13.14 Max', ' 112 Sum', '    933 Ratio', '   0.27%)']", ,[' 29511   '],[' 1266    '],[' 29230   '],[' 15558   '],"[' 46670    (Atom=Atom', ' 14740 Body=Body', ' 8211 Other', ' 23719)']",[' Yes'],"[' 1435     (Eliminated', '    0 Frozen', ' 1435)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.130387'],[' 0'], ,[' 7.94445'],[' 0'],[' 0.148288'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.99635e+06'],[' 1.43061e+06'],[' 0'],[' 1.29981e+09'],[' 0'],[' 0'],[' 314 '],[' 610 '],[' 1083 '],[' 1226 '],[' 1565 '],[' 1837 '],[' 2297 '],[' 2627 ']
Solving...,TA36, , ,[' 235'],[' 126'],"[' 1.165s (Solving', ' 0.60s 1st Model', ' 0.16s Unsat', ' 0.06s)']",[' 1.094s'], ,[' 114775  '],"[' 9520     (Analyzed', ' 6765)']","[' 60       (Average', ' 112.75 Last', ' 468)']",[' 592.6   '],"[' 126      (Average Length', ' 57.83 Splits', ' 0)']","[' 6765     (Deleted', ' 1910)']","[' 57       (Ratio', '   0.84%)']","[' 316      (Ratio', '   4.67%)']","[' 6765     (Average Length', '    6.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6765     (Average', '  7.27 Max', ' 724 Sum', '  49167)']","[' 6692     (Average', '  7.23 Max', ' 724 Sum', '  48916 Ratio', '  99.49%)']","[' 73       (Average', '  3.44 Max', '  27 Sum', '    251 Ratio', '   0.51%)']", ,[' 29364   '],[' 1226    '],[' 29031   '],[' 15321   '],"[' 45959    (Atom=Atom', ' 14543 Body=Body', ' 8171 Other', ' 23245)']",[' Yes'],"[' 1343     (Eliminated', '    0 Frozen', ' 1343)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.125783'],[' 0'], ,[' 0.218148'],[' 0'],[' 0.0077673'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10595e+06'],[' 1.03389e+06'],[' 0'],[' 8.6828e+06'],[' 0'],[' 0'],[' 437 '],[' 755 '],[' 1103 '],[' 1403 '],[' 1795 '],[' 2070 '],[' 2336 '],[' 2675 ']
Solving...,TA37, , ,[' 339'],[' 178'],"[' 1.261s (Solving', ' 0.80s 1st Model', ' 0.09s Unsat', ' 0.10s)']",[' 1.234s'], ,[' 143793  '],"[' 5237     (Analyzed', ' 3925)']","[' 29       (Average', ' 135.34 Last', ' 128)']",[' 494.4   '],"[' 178      (Average Length', ' 84.99 Splits', ' 0)']","[' 3925     (Deleted', ' 0)']","[' 52       (Ratio', '   1.32%)']","[' 245      (Ratio', '   6.24%)']","[' 3925     (Average Length', '    5.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3925     (Average', ' 18.73 Max', ' 683 Sum', '  73497)']","[' 3855     (Average', ' 18.53 Max', ' 683 Sum', '  72747 Ratio', '  98.98%)']","[' 70       (Average', ' 10.71 Max', ' 109 Sum', '    750 Ratio', '   1.02%)']", ,[' 29085   '],[' 1245    '],[' 28804   '],[' 15210   '],"[' 45626    (Atom=Atom', ' 14413 Body=Body', ' 8190 Other', ' 23023)']",[' Yes'],"[' 1414     (Eliminated', '    0 Frozen', ' 1414)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.12505'],[' 0'], ,[' 0.2226'],[' 0'],[' 0.0089934'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13505e+06'],[' 1.05943e+06'],[' 0'],[' 1.20449e+07'],[' 0'],[' 0'],[' 317 '],[' 563 '],[' 923 '],[' 1179 '],[' 1500 '],[' 1770 '],[' 2129 '],[' 2531 ']
Solving...,TA38, , ,[' 347'],[' 182'],"[' 1.705s (Solving', ' 1.15s 1st Model', ' 0.21s Unsat', ' 0.29s)']",[' 1.641s'], ,[' 172467  '],"[' 18128    (Analyzed', ' 14934)']","[' 110      (Average', ' 135.76 Last', ' 251)']",[' 616.9   '],"[' 182      (Average Length', ' 86.16 Splits', ' 0)']","[' 14934    (Deleted', ' 8661)']","[' 67       (Ratio', '   0.45%)']","[' 381      (Ratio', '   2.55%)']","[' 14934    (Average Length', '    7.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14934    (Average', '  5.15 Max', ' 777 Sum', '  76839)']","[' 14857    (Average', '  5.13 Max', ' 777 Sum', '  76672 Ratio', '  99.78%)']","[' 77       (Average', '  2.17 Max', '  10 Sum', '    167 Ratio', '   0.22%)']", ,[' 29566   '],[' 1283    '],[' 29288   '],[' 15800   '],"[' 47396    (Atom=Atom', ' 14965 Body=Body', ' 8228 Other', ' 24203)']",[' Yes'],"[' 1455     (Eliminated', '    0 Frozen', ' 1455)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.145315'],[' 0'], ,[' 0.403224'],[' 0'],[' 0.0129357'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45629e+06'],[' 1.34592e+06'],[' 0'],[' 3.23546e+07'],[' 0'],[' 0'],[' 511 '],[' 741 '],[' 1034 '],[' 1354 '],[' 1631 '],[' 1921 '],[' 2236 '],[' 2535 ']
Solving...,TA39, , ,[' 211'],[' 114'],"[' 16.198s (Solving', ' 15.74s 1st Model', ' 0.10s Unsat', ' 6.41s)']",[' 16.063s'], ,[' 1301189 '],"[' 930615   (Analyzed', ' 928530)']","[' 2541     (Average', ' 365.42 Last', ' 782)']",[' 468.2   '],"[' 114      (Average Length', ' 52.89 Splits', ' 0)']","[' 928530   (Deleted', ' 904350)']","[' 80       (Ratio', '   0.01%)']","[' 904      (Ratio', '   0.10%)']","[' 928530   (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 928530   (Average', '  1.33 Max', ' 649 Sum', ' 1234209)']","[' 928401   (Average', '  1.33 Max', ' 649 Sum', ' 1232475 Ratio', '  99.86%)']","[' 129      (Average', ' 13.44 Max', '  83 Sum', '   1734 Ratio', '   0.14%)']", ,[' 29714   '],[' 1290    '],[' 29369   '],[' 15537   '],"[' 46607    (Atom=Atom', ' 14695 Body=Body', ' 8235 Other', ' 23677)']",[' Yes'],"[' 1395     (Eliminated', '    0 Frozen', ' 1395)']","[' 52       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0981962'],[' 0'], ,[' 10.4309'],[' 0'],[' 0.243443'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.10739e+06'],[' 1.98124e+06'],[' 0'],[' 1.43196e+09'],[' 0'],[' 0'],[' 530 '],[' 840 '],[' 1080 '],[' 1537 '],[' 1830 '],[' 2246 '],[' 2566 '],[' 2809 ']
Solving...,TA40, , ,[' 335'],[' 176'],"[' 1.338s (Solving', ' 0.84s 1st Model', ' 0.14s Unsat', ' 0.15s)']",[' 1.328s'], ,[' 133837  '],"[' 14966    (Analyzed', ' 12040)']","[' 94       (Average', ' 128.09 Last', ' 201)']",[' 501.5   '],"[' 176      (Average Length', ' 83.92 Splits', ' 0)']","[' 12040    (Deleted', ' 5897)']","[' 54       (Ratio', '   0.45%)']","[' 369      (Ratio', '   3.06%)']","[' 12040    (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12040    (Average', '  5.08 Max', ' 700 Sum', '  61157)']","[' 11969    (Average', '  5.02 Max', ' 700 Sum', '  60484 Ratio', '  98.90%)']","[' 71       (Average', '  9.48 Max', ' 140 Sum', '    673 Ratio', '   1.10%)']", ,[' 29117   '],[' 1228    '],[' 28833   '],[' 15287   '],"[' 45857    (Atom=Atom', ' 14507 Body=Body', ' 8173 Other', ' 23177)']",[' Yes'],"[' 1394     (Eliminated', '    0 Frozen', ' 1394)']","[' 30       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.123163'],[' 0'], ,[' 0.291104'],[' 0'],[' 0.0095409'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12502e+06'],[' 1.03134e+06'],[' 0'],[' 1.98193e+07'],[' 0'],[' 0'],[' 393 '],[' 621 '],[' 985 '],[' 1232 '],[' 1492 '],[' 1716 '],[' 2119 '],[' 2356 ']
