Optimal Found Or Timeout,Instances,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Optimum Found,Optimum Found,Optimum Found,Optimum Found,Optimum Found,Optimum Found,Completion Time for Window 1 is 491,Completion Time for Window 2 is 942,Completion Time for Window 3 is 1424,Completion Time for Window 4 is 2031,Completion Time for Window 5 is 2471,Completion Time for Window 6 is 3021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problems     ,TA46,"[' 49       (Ratio', '   0.00%)']","[' 1649     (Ratio', '   0.08%)']","[' 2175721  (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2175721  (Average', '  2.14 Max', ' 1287 Sum', ' 4648517)']","[' 2175625  (Average', '  2.13 Max', ' 1287 Sum', ' 4638829 Ratio', '  99.79%)']","[' 96       (Average', ' 100.92 Max', ' 321 Sum', '   9688 Ratio', '   0.21%)']", ,[' 41247   '],[' 2127    '],[' 41084   '],[' 22310   '],"[' 66926    (Atom=Atom', ' 20781 Body=Body', ' 11397 Other', ' 34748)']",[' Yes'],"[' 2564     (Eliminated', '    0 Frozen', ' 2564)']","[' 204      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.424999'],[' 0'], ,[' 53.3205'],[' 0'],[' 1.19778'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81652e+07'],[' 1.23962e+07'],[' 0'],[' 5.6005e+09'],[' 0'],[' 0'], , , , , , ,[' '],[' '],[' '],[' '],[' '],[' ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problems     ,TA47,"[' 50       (Ratio', '   0.00%)']","[' 861      (Ratio', '   0.03%)']","[' 2561278  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2561278  (Average', '  1.65 Max', ' 1221 Sum', ' 4223006)']","[' 2561121  (Average', '  1.64 Max', ' 1221 Sum', ' 4195763 Ratio', '  99.35%)']","[' 157      (Average', ' 173.52 Max', ' 419 Sum', '  27243 Ratio', '   0.65%)']", ,[' 40545   '],[' 2068    '],[' 40461   '],[' 21613   '],"[' 64835    (Atom=Atom', ' 20143 Body=Body', ' 11338 Other', ' 33354)']",[' Yes'],"[' 2584     (Eliminated', '    0 Frozen', ' 2584)']","[' 99       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.439247'],[' 0'], ,[' 45.7129'],[' 0'],[' 1.08755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58649e+07'],[' 9.292e+06'],[' 0'],[' 3.73009e+09'],[' 0'],[' 0'], , , , , , ,[' '],[' '],[' '],[' '],[' '],[' ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemmas       ,TA48,"[' 536      (Ratio', '   0.83%)']","[' 64495    (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 64495    (Average', '  4.10 Max', ' 1296 Sum', ' 264222)']","[' 64421    (Average', '  4.03 Max', ' 1296 Sum', ' 260217 Ratio', '  98.48%)']","[' 74       (Average', ' 54.12 Max', ' 260 Sum', '   4005 Ratio', '   1.52%)']", ,[' 40115   '],[' 1981    '],[' 39947   '],[' 21311   '],"[' 63929    (Atom=Atom', ' 19928 Body=Body', ' 11251 Other', ' 32750)']",[' Yes'],"[' 2413     (Eliminated', '    0 Frozen', ' 2413)']","[' 4        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.365514'],[' 0'], ,[' 1.83785'],[' 0'],[' 0.0496127'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.70284e+06'],[' 4.17275e+06'],[' 0'],[' 1.47565e+08'],[' 0'],[' 0'], , , , , , , ,[' '],[' '],[' '],[' '],[' '],[' ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemmas       ,TA49,"[' 736      (Ratio', '   0.60%)']","[' 123616   (Average Length', '    9.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 123616   (Average', '  4.27 Max', ' 1353 Sum', ' 527700)']","[' 123531   (Average', '  4.23 Max', ' 1353 Sum', ' 522451 Ratio', '  99.01%)']","[' 85       (Average', ' 61.75 Max', ' 412 Sum', '   5249 Ratio', '   0.99%)']", ,[' 41022   '],[' 2060    '],[' 40931   '],[' 21946   '],"[' 65834    (Atom=Atom', ' 20484 Body=Body', ' 11330 Other', ' 34020)']",[' Yes'],"[' 2569     (Eliminated', '    0 Frozen', ' 2569)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.469684'],[' 0'], ,[' 7.60076'],[' 0'],[' 0.163798'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.60652e+06'],[' 4.99151e+06'],[' 0'],[' 9.07522e+08'],[' 0'],[' 0'], , , , , , , ,[' '],[' '],[' '],[' '],[' '],[' ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problems     ,TA50,"[' 49       (Ratio', '   0.01%)']","[' 777      (Ratio', '   0.10%)']","[' 780590   (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 780590   (Average', '  2.01 Max', ' 1254 Sum', ' 1571005)']","[' 780481   (Average', '  1.99 Max', ' 1254 Sum', ' 1552631 Ratio', '  98.83%)']","[' 109      (Average', ' 168.57 Max', ' 363 Sum', '  18374 Ratio', '   1.17%)']", ,[' 40156   '],[' 1999    '],[' 39979   '],[' 21332   '],"[' 63992    (Atom=Atom', ' 19931 Body=Body', ' 11269 Other', ' 32792)']",[' Yes'],"[' 2422     (Eliminated', '    0 Frozen', ' 2422)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.319017'],[' 0'], ,[' 55.012'],[' 0'],[' 0.894239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.17635e+06'],[' 5.15118e+06'],[' 0'],[' 7.88111e+09'],[' 0'],[' 0'], , , , , , ,[' '],[' '],[' '],[' '],[' '],[' ']
