Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 3645+'],[' 1831'],"[' 1007.198s (Solving', ' 985.72s 1st Model', ' 23.81s Unsat', ' 0.00s)']",[' 999.469s'], ,[' 146342633'],"[' 19590440 (Analyzed', ' 19384334)']","[' 36924    (Average', ' 524.98 Last', ' 50042)']",[' 6156.5  '],"[' 1831     (Average Length', ' 1012.79 Splits', ' 0)']","[' 19384334 (Deleted', ' 19183008)']","[' 13       (Ratio', '   0.00%)']","[' 13957    (Ratio', '   0.07%)']","[' 19384334 (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19384334 (Average', '  7.13 Max', ' 9023 Sum', ' 138244020)']","[' 19381993 (Average', '  7.00 Max', ' 8980 Sum', ' 135733807 Ratio', '  98.18%)']","[' 2341     (Average', ' 1072.28 Max', ' 1462 Sum', ' 2510213 Ratio', '   1.82%)']", ,[' 280398  '],[' 12593   '],[' 256581  '],[' 90789   '],"[' 238980   (Atom=Atom', ' 66462 Body=Body', ' 43669 Other', ' 128849)']",[' Yes'],"[' 15737    (Eliminated', '    0 Frozen', ' 15737)']","[' 2554     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.08908'],[' 0'], ,[' 715.178'],[' 0'],[' 19.6595'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.39823e+08'],[' 1.75691e+08'],[' 0'],[' 4.19275e+10'],[' 0'],[' 0'],[' 1360 '],[' 2607 '],[' 3100 '],[' 3885 '],[' 4386 '],[' 4901 '],[' 5680 '],[' 6318 '],[' 8 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 3369+'],[' 1693'],"[' 1006.350s (Solving', ' 988.96s 1st Model', ' 18.86s Unsat', ' 0.00s)']",[' 1000.969s'], ,[' 103770944'],"[' 21810754 (Analyzed', ' 21643797)']","[' 42772    (Average', ' 506.03 Last', ' 130336)']",[' 5494.5  '],"[' 1693     (Average Length', ' 960.74 Splits', ' 0)']","[' 21643797 (Deleted', ' 21423313)']","[' 33       (Ratio', '   0.00%)']","[' 12396    (Ratio', '   0.06%)']","[' 21643797 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21643797 (Average', '  4.50 Max', ' 8649 Sum', ' 97373409)']","[' 21641660 (Average', '  4.39 Max', ' 8646 Sum', ' 94990543 Ratio', '  97.55%)']","[' 2137     (Average', ' 1115.05 Max', ' 7483 Sum', ' 2382866 Ratio', '   2.45%)']", ,[' 280831  '],[' 12292   '],[' 255724  '],[' 90862   '],"[' 233726   (Atom=Atom', ' 65120 Body=Body', ' 42766 Other', ' 125840)']",[' Yes'],"[' 15351    (Eliminated', '    0 Frozen', ' 15351)']","[' 2384     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.15898'],[' 0'], ,[' 744.58'],[' 0'],[' 18.7959'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95508e+08'],[' 1.31243e+08'],[' 0'],[' 4.52851e+10'],[' 0'],[' 0'],[' 996 '],[' 1934 '],[' 2574 '],[' 3406 '],[' 4073 '],[' 4802 '],[' 5505 '],[' 6098 '],[' 8 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 3625+'],[' 1821'],"[' 1006.606s (Solving', ' 987.04s 1st Model', ' 20.67s Unsat', ' 0.00s)']",[' 1003.266s'], ,[' 122415584'],"[' 24229957 (Analyzed', ' 23947397)']","[' 45059    (Average', ' 531.47 Last', ' 59693)']",[' 6214.7  '],"[' 1821     (Average Length', ' 1023.47 Splits', ' 0)']","[' 23947397 (Deleted', ' 23708331)']","[' 13       (Ratio', '   0.00%)']","[' 10628    (Ratio', '   0.04%)']","[' 23947397 (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23947397 (Average', '  4.75 Max', ' 9331 Sum', ' 113858237)']","[' 23945273 (Average', '  4.66 Max', ' 9331 Sum', ' 111598625 Ratio', '  98.02%)']","[' 2124     (Average', ' 1063.85 Max', ' 1562 Sum', ' 2259612 Ratio', '   1.98%)']", ,[' 279319  '],[' 12419   '],[' 255474  '],[' 90170   '],"[' 235995   (Atom=Atom', ' 65756 Body=Body', ' 43147 Other', ' 127092)']",[' Yes'],"[' 15560    (Eliminated', '    0 Frozen', ' 15560)']","[' 1966     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.75799'],[' 0'], ,[' 728.185'],[' 0'],[' 17.7493'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.09023e+08'],[' 1.40705e+08'],[' 0'],[' 4.39732e+10'],[' 0'],[' 0'],[' 1408 '],[' 2247 '],[' 3031 '],[' 3650 '],[' 4377 '],[' 4886 '],[' 5824 '],[' 6380 '],[' 8 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 3575+'],[' 1796'],"[' 1007.777s (Solving', ' 982.08s 1st Model', ' 21.12s Unsat', ' 0.00s)']",[' 979.625s'], ,[' 108613013'],"[' 20057094 (Analyzed', ' 19769268)']","[' 38340    (Average', ' 515.63 Last', ' 40975)']",[' 5966.3  '],"[' 1796     (Average Length', ' 1024.66 Splits', ' 0)']","[' 19769268 (Deleted', ' 19567172)']","[' 17       (Ratio', '   0.00%)']","[' 11470    (Ratio', '   0.06%)']","[' 19769268 (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19769268 (Average', '  5.11 Max', ' 9519 Sum', ' 101030923)']","[' 19766903 (Average', '  4.99 Max', ' 8962 Sum', ' 98555530 Ratio', '  97.55%)']","[' 2365     (Average', ' 1046.68 Max', ' 1487 Sum', ' 2475393 Ratio', '   2.45%)']", ,[' 281139  '],[' 12400   '],[' 256486  '],[' 91046   '],"[' 235690   (Atom=Atom', ' 65655 Body=Body', ' 43090 Other', ' 126945)']",[' Yes'],"[' 15547    (Eliminated', '    0 Frozen', ' 15547)']","[' 2323     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.00147'],[' 0'], ,[' 710.799'],[' 0'],[' 17.2471'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87984e+08'],[' 1.31935e+08'],[' 0'],[' 4.02199e+10'],[' 0'],[' 0'],[' 1107 '],[' 1844 '],[' 2605 '],[' 3477 '],[' 4457 '],[' 4927 '],[' 5510 '],[' 6067 '],[' 8 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 3163+'],[' 1590'],"[' 1005.976s (Solving', ' 989.25s 1st Model', ' 17.23s Unsat', ' 0.00s)']",[' 1000.109s'], ,[' 142763009'],"[' 22278449 (Analyzed', ' 22088074)']","[' 41539    (Average', ' 531.74 Last', ' 125300)']",[' 5519.3  '],"[' 1590     (Average Length', ' 910.61 Splits', ' 0)']","[' 22088074 (Deleted', ' 21868145)']","[' 28       (Ratio', '   0.00%)']","[' 17003    (Ratio', '   0.08%)']","[' 22088074 (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22088074 (Average', '  6.18 Max', ' 8778 Sum', ' 136412204)']","[' 22085831 (Average', '  6.07 Max', ' 8778 Sum', ' 134114809 Ratio', '  98.32%)']","[' 2243     (Average', ' 1024.25 Max', ' 1415 Sum', ' 2297395 Ratio', '   1.68%)']", ,[' 280274  '],[' 12542   '],[' 255945  '],[' 90797   '],"[' 237351   (Atom=Atom', ' 66017 Body=Body', ' 43516 Other', ' 127818)']",[' Yes'],"[' 15511    (Eliminated', '    0 Frozen', ' 15511)']","[' 3315     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.05013'],[' 0'], ,[' 726.845'],[' 0'],[' 18.1118'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.58229e+08'],[' 1.83459e+08'],[' 0'],[' 4.45875e+10'],[' 0'],[' 0'],[' 1125 '],[' 2294 '],[' 3059 '],[' 3563 '],[' 4456 '],[' 5115 '],[' 6177 '],[' 6976 '],[' 8 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 3665+'],[' 1841'],"[' 1006.353s (Solving', ' 987.65s 1st Model', ' 18.40s Unsat', ' 0.00s)']",[' 1003.172s'], ,[' 110341907'],"[' 26483020 (Analyzed', ' 26274594)']","[' 50803    (Average', ' 517.19 Last', ' 137944)']",[' 5875.7  '],"[' 1841     (Average Length', ' 1013.40 Splits', ' 0)']","[' 26274594 (Deleted', ' 25991951)']","[' 23       (Ratio', '   0.00%)']","[' 10885    (Ratio', '   0.04%)']","[' 26274594 (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26274594 (Average', '  3.89 Max', ' 9321 Sum', ' 102133046)']","[' 26272735 (Average', '  3.81 Max', ' 9321 Sum', ' 100088595 Ratio', '  98.00%)']","[' 1859     (Average', ' 1099.76 Max', ' 1492 Sum', ' 2044451 Ratio', '   2.00%)']", ,[' 282988  '],[' 12340   '],[' 257239  '],[' 92132   '],"[' 235033   (Atom=Atom', ' 65460 Body=Body', ' 42910 Other', ' 126663)']",[' Yes'],"[' 15522    (Eliminated', '    0 Frozen', ' 15522)']","[' 2020     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.5249'],[' 0'], ,[' 727.904'],[' 0'],[' 15.8536'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.01458e+08'],[' 1.28836e+08'],[' 0'],[' 4.30841e+10'],[' 0'],[' 0'],[' 983 '],[' 1836 '],[' 2527 '],[' 3272 '],[' 4122 '],[' 4931 '],[' 5448 '],[' 6254 '],[' 8 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 3663+'],[' 1840'],"[' 1006.600s (Solving', ' 986.56s 1st Model', ' 21.67s Unsat', ' 0.00s)']",[' 1003.313s'], ,[' 128947604'],"[' 24458478 (Analyzed', ' 24178535)']","[' 46164    (Average', ' 523.75 Last', ' 28814)']",[' 6428.7  '],"[' 1840     (Average Length', ' 1043.64 Splits', ' 0)']","[' 24178535 (Deleted', ' 23938223)']","[' 17       (Ratio', '   0.00%)']","[' 12700    (Ratio', '   0.05%)']","[' 24178535 (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24178535 (Average', '  4.96 Max', ' 9075 Sum', ' 119998003)']","[' 24176341 (Average', '  4.87 Max', ' 9029 Sum', ' 117684350 Ratio', '  98.07%)']","[' 2194     (Average', ' 1054.54 Max', ' 1546 Sum', ' 2313653 Ratio', '   1.93%)']", ,[' 279326  '],[' 12420   '],[' 255573  '],[' 90097   '],"[' 236111   (Atom=Atom', ' 65779 Body=Body', ' 43150 Other', ' 127182)']",[' Yes'],"[' 15598    (Eliminated', '    0 Frozen', ' 15598)']","[' 2372     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.83651'],[' 0'], ,[' 711.315'],[' 0'],[' 17.4816'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.23197e+08'],[' 1.53109e+08'],[' 0'],[' 4.51688e+10'],[' 0'],[' 0'],[' 1424 '],[' 2052 '],[' 2769 '],[' 3461 '],[' 4084 '],[' 5117 '],[' 5575 '],[' 6263 '],[' 8 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 3607+'],[' 1812'],"[' 1006.244s (Solving', ' 987.61s 1st Model', ' 18.56s Unsat', ' 0.00s)']",[' 995.422s'], ,[' 126517360'],"[' 24577047 (Analyzed', ' 24259081)']","[' 46005    (Average', ' 527.31 Last', ' 34786)']",[' 5964.0  '],"[' 1812     (Average Length', ' 1031.09 Splits', ' 0)']","[' 24259081 (Deleted', ' 24021731)']","[' 21       (Ratio', '   0.00%)']","[' 11232    (Ratio', '   0.05%)']","[' 24259081 (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24259081 (Average', '  4.90 Max', ' 10230 Sum', ' 118845319)']","[' 24256790 (Average', '  4.79 Max', ' 9102 Sum', ' 116176342 Ratio', '  97.75%)']","[' 2291     (Average', ' 1164.98 Max', ' 1527 Sum', ' 2668977 Ratio', '   2.25%)']", ,[' 279884  '],[' 12367   '],[' 255492  '],[' 90603   '],"[' 235227   (Atom=Atom', ' 65539 Body=Body', ' 42991 Other', ' 126697)']",[' Yes'],"[' 15547    (Eliminated', '    0 Frozen', ' 15547)']","[' 1839     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.52047'],[' 0'], ,[' 721.022'],[' 0'],[' 18.4671'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.2639e+08'],[' 1.54914e+08'],[' 0'],[' 4.29652e+10'],[' 0'],[' 0'],[' 1104 '],[' 1914 '],[' 2772 '],[' 3607 '],[' 4242 '],[' 5031 '],[' 5731 '],[' 6369 '],[' 8 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 3883+'],[' 1950'],"[' 1007.380s (Solving', ' 985.53s 1st Model', ' 21.22s Unsat', ' 0.00s)']",[' 990.438s'], ,[' 99751869'],"[' 20330420 (Analyzed', ' 20005576)']","[' 39786    (Average', ' 502.83 Last', ' 161173)']",[' 6037.5  '],"[' 1950     (Average Length', ' 1083.14 Splits', ' 0)']","[' 20005576 (Deleted', ' 19796679)']","[' 10       (Ratio', '   0.00%)']","[' 9853     (Ratio', '   0.05%)']","[' 20005576 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20005576 (Average', '  4.58 Max', ' 9535 Sum', ' 91564303)']","[' 20003319 (Average', '  4.44 Max', ' 9047 Sum', ' 88912136 Ratio', '  97.10%)']","[' 2257     (Average', ' 1175.09 Max', ' 1618 Sum', ' 2652167 Ratio', '   2.90%)']", ,[' 281669  '],[' 12273   '],[' 256526  '],[' 91370   '],"[' 234237   (Atom=Atom', ' 65301 Body=Body', ' 42709 Other', ' 126227)']",[' Yes'],"[' 15567    (Eliminated', '    0 Frozen', ' 15567)']","[' 1973     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.13064'],[' 0'], ,[' 725.116'],[' 0'],[' 17.5113'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7504e+08'],[' 1.18648e+08'],[' 0'],[' 4.11692e+10'],[' 0'],[' 0'],[' 959 '],[' 1716 '],[' 2495 '],[' 3266 '],[' 4057 '],[' 4747 '],[' 5480 '],[' 5967 '],[' 8 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 3563+'],[' 1790'],"[' 1006.899s (Solving', ' 986.69s 1st Model', ' 20.97s Unsat', ' 0.00s)']",[' 994.484s'], ,[' 119079934'],"[' 20882761 (Analyzed', ' 20677694)']","[' 41786    (Average', ' 494.85 Last', ' 8795)']",[' 5871.5  '],"[' 1790     (Average Length', ' 1010.29 Splits', ' 0)']","[' 20677694 (Deleted', ' 20463481)']","[' 47       (Ratio', '   0.00%)']","[' 17000    (Ratio', '   0.08%)']","[' 20677694 (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20677694 (Average', '  5.40 Max', ' 9369 Sum', ' 111689977)']","[' 20675401 (Average', '  5.28 Max', ' 8723 Sum', ' 109164462 Ratio', '  97.74%)']","[' 2293     (Average', ' 1101.40 Max', ' 1549 Sum', ' 2525515 Ratio', '   2.26%)']", ,[' 280728  '],[' 12496   '],[' 256365  '],[' 90985   '],"[' 237076   (Atom=Atom', ' 66033 Body=Body', ' 43378 Other', ' 127665)']",[' Yes'],"[' 15606    (Eliminated', '    0 Frozen', ' 15606)']","[' 3186     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.78074'],[' 0'], ,[' 719.13'],[' 0'],[' 18.2729'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.32346e+08'],[' 1.62357e+08'],[' 0'],[' 4.32587e+10'],[' 0'],[' 0'],[' 1201 '],[' 2078 '],[' 2784 '],[' 3350 '],[' 3928 '],[' 4712 '],[' 5458 '],[' 6123 '],[' 8 '],[' 0 ']
