Optimal Found Or Timeout,Instances,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1806,Completion Time for Window 2 is 2770,Completion Time for Window 3 is 4703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calls        ,swv16,[' 191.406s'], ,[' 49912533'],"[' 5788526  (Analyzed', ' 5539868)']","[' 10986    (Average', ' 504.27 Last', ' 110345)']",[' 2529.0  '],"[' 744      (Average Length', ' 360.17 Splits', ' 0)']","[' 5539868  (Deleted', ' 5475355)']","[' 53       (Ratio', '   0.00%)']","[' 14448    (Ratio', '   0.26%)']","[' 5539868  (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5539868  (Average', '  8.64 Max', ' 2616 Sum', ' 47849345)']","[' 5539338  (Average', '  8.61 Max', ' 2616 Sum', ' 47694336 Ratio', '  99.68%)']","[' 530      (Average', ' 292.47 Max', ' 430 Sum', ' 155009 Ratio', '   0.32%)']", ,[' 57539   '],[' 4551    '],[' 57746   '],[' 33612   '],"[' 100832   (Atom=Atom', ' 29559 Body=Body', ' 17251 Other', ' 54022)']",[' Yes'],"[' 5258     (Eliminated', '    0 Frozen', ' 5258)']","[' 2063     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.624071'],[' 0'], ,[' 139.635'],[' 0'],[' 3.78175'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1569e+08'],[' 9.01514e+07'],[' 0'],[' 1.51488e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calls        ,swv17,[' 189.594s'], ,[' 43082581'],"[' 5864841  (Analyzed', ' 5665958)']","[' 11302    (Average', ' 501.32 Last', ' 6975)']",[' 2439.4  '],"[' 725      (Average Length', ' 351.39 Splits', ' 0)']","[' 5665958  (Deleted', ' 5596906)']","[' 39       (Ratio', '   0.00%)']","[' 12050    (Ratio', '   0.21%)']","[' 5665958  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5665958  (Average', '  7.27 Max', ' 2649 Sum', ' 41198387)']","[' 5665396  (Average', '  7.24 Max', ' 2649 Sum', ' 41026689 Ratio', '  99.58%)']","[' 562      (Average', ' 305.51 Max', ' 440 Sum', ' 171698 Ratio', '   0.42%)']", ,[' 57521   '],[' 4521    '],[' 57708   '],[' 33235   '],"[' 99701    (Atom=Atom', ' 29212 Body=Body', ' 17221 Other', ' 53268)']",[' Yes'],"[' 5208     (Eliminated', '    0 Frozen', ' 5208)']","[' 1732     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.601797'],[' 0'], ,[' 141.893'],[' 0'],[' 3.50574'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.80857e+07'],[' 7.56273e+07'],[' 0'],[' 1.5528e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calls        ,swv18,[' 189.719s'], ,[' 56669395'],"[' 5472078  (Analyzed', ' 5358063)']","[' 10574    (Average', ' 506.72 Last', ' 38710)']",[' 2281.4  '],"[' 671      (Average Length', ' 327.67 Splits', ' 0)']","[' 5358063  (Deleted', ' 5286254)']","[' 75       (Ratio', '   0.00%)']","[' 19246    (Ratio', '   0.36%)']","[' 5358063  (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5358063  (Average', ' 10.27 Max', ' 2398 Sum', ' 55032296)']","[' 5357520  (Average', ' 10.24 Max', ' 2398 Sum', ' 54884456 Ratio', '  99.73%)']","[' 543      (Average', ' 272.27 Max', ' 374 Sum', ' 147840 Ratio', '   0.27%)']", ,[' 57675   '],[' 4601    '],[' 57820   '],[' 33497   '],"[' 100487   (Atom=Atom', ' 29394 Body=Body', ' 17301 Other', ' 53792)']",[' Yes'],"[' 5246     (Eliminated', '    0 Frozen', ' 5246)']","[' 2458     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.568777'],[' 0'], ,[' 131.134'],[' 0'],[' 4.04621'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54726e+08'],[' 1.25872e+08'],[' 0'],[' 1.32827e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calls        ,swv19,[' 188.781s'], ,[' 45225511'],"[' 5637651  (Analyzed', ' 5452224)']","[' 10919    (Average', ' 499.33 Last', ' 26629)']",[' 2463.6  '],"[' 707      (Average Length', ' 345.14 Splits', ' 0)']","[' 5452224  (Deleted', ' 5383579)']","[' 36       (Ratio', '   0.00%)']","[' 13043    (Ratio', '   0.24%)']","[' 5452224  (Average Length', '   21.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5452224  (Average', '  7.96 Max', ' 2677 Sum', ' 43405003)']","[' 5451603  (Average', '  7.92 Max', ' 2677 Sum', ' 43192432 Ratio', '  99.51%)']","[' 621      (Average', ' 342.30 Max', ' 437 Sum', ' 212571 Ratio', '   0.49%)']", ,[' 57998   '],[' 4720    '],[' 58177   '],[' 34284   '],"[' 102848   (Atom=Atom', ' 30062 Body=Body', ' 17420 Other', ' 55366)']",[' Yes'],"[' 5399     (Eliminated', '    0 Frozen', ' 5399)']","[' 2139     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.558861'],[' 0'], ,[' 140.652'],[' 0'],[' 3.56792'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04095e+08'],[' 8.21858e+07'],[' 0'],[' 1.52731e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calls        ,swv20,[' 187.203s'], ,[' 40068367'],"[' 5958971  (Analyzed', ' 5862962)']","[' 11794    (Average', ' 497.11 Last', ' 11627)']",[' 2224.6  '],"[' 701      (Average Length', ' 342.35 Splits', ' 0)']","[' 5862962  (Deleted', ' 5790691)']","[' 71       (Ratio', '   0.00%)']","[' 11098    (Ratio', '   0.19%)']","[' 5862962  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5862962  (Average', '  6.57 Max', ' 2602 Sum', ' 38519608)']","[' 5862395  (Average', '  6.54 Max', ' 2602 Sum', ' 38314553 Ratio', '  99.47%)']","[' 567      (Average', ' 361.65 Max', ' 457 Sum', ' 205055 Ratio', '   0.53%)']", ,[' 57506   '],[' 4560    '],[' 57680   '],[' 33346   '],"[' 100034   (Atom=Atom', ' 29284 Body=Body', ' 17260 Other', ' 53490)']",[' Yes'],"[' 5234     (Eliminated', '    0 Frozen', ' 5234)']","[' 1882     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.529279'],[' 0'], ,[' 138.714'],[' 0'],[' 3.3294'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03406e+08'],[' 7.73805e+07'],[' 0'],[' 1.49549e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
