Optimal Found Or Timeout,Instances,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Optimum Found,Optimum Found,Optimum Found,Optimum Found,Completion Time for Window 1 is 560,Completion Time for Window 2 is 1143,Completion Time for Window 3 is 1671,Completion Time for Window 4 is 2252,Completion Time for Window 5 is 2867
Restarts     ,TA41,"[' 694      (Average Length', ' 331.04 Splits', ' 0)']","[' 2685344  (Deleted', ' 2637253)']","[' 43       (Ratio', '   0.00%)']","[' 1292     (Ratio', '   0.05%)']","[' 2685344  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2685344  (Average', '  1.86 Max', ' 1548 Sum', ' 4986755)']","[' 2685214  (Average', '  1.85 Max', ' 1548 Sum', ' 4962861 Ratio', '  99.52%)']","[' 130      (Average', ' 183.80 Max', ' 367 Sum', '  23894 Ratio', '   0.48%)']", ,[' 41951   '],[' 2384    '],[' 42003   '],[' 22645   '],"[' 67931    (Atom=Atom', ' 20859 Body=Body', ' 11654 Other', ' 35418)']",[' Yes'],"[' 3036     (Eliminated', '    0 Frozen', ' 3036)']","[' 138      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.567911'],[' 0'], ,[' 49.4632'],[' 0'],[' 1.08276'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89948e+07'],[' 1.24039e+07'],[' 0'],[' 4.6475e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' '],[' ']
Restarts     ,TA42,"[' 593      (Average Length', ' 287.10 Splits', ' 0)']","[' 1301143  (Deleted', ' 1268458)']","[' 36       (Ratio', '   0.00%)']","[' 896      (Ratio', '   0.07%)']","[' 1301143  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1301143  (Average', '  1.82 Max', ' 1563 Sum', ' 2372701)']","[' 1301067  (Average', '  1.82 Max', ' 1563 Sum', ' 2363275 Ratio', '  99.60%)']","[' 76       (Average', ' 124.03 Max', ' 454 Sum', '   9426 Ratio', '   0.40%)']", ,[' 41172   '],[' 2320    '],[' 41139   '],[' 22208   '],"[' 66620    (Atom=Atom', ' 20486 Body=Body', ' 11590 Other', ' 34544)']",[' Yes'],"[' 2887     (Eliminated', '    0 Frozen', ' 2887)']","[' 74       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.452236'],[' 0'], ,[' 54.4333'],[' 0'],[' 1.00809'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10522e+07'],[' 7.68963e+06'],[' 0'],[' 7.14005e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' '],[' ']
Model-Level  ,TA43,"[' 591866   (Deleted', ' 571693)']","[' 48       (Ratio', '   0.01%)']","[' 1099     (Ratio', '   0.19%)']","[' 591866   (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 591866   (Average', '  2.48 Max', ' 1506 Sum', ' 1468758)']","[' 591741   (Average', '  2.41 Max', ' 1506 Sum', ' 1425969 Ratio', '  97.09%)']","[' 125      (Average', ' 342.31 Max', ' 539 Sum', '  42789 Ratio', '   2.91%)']", ,[' 41865   '],[' 2344    '],[' 41952   '],[' 22628   '],"[' 67880    (Atom=Atom', ' 20882 Body=Body', ' 11614 Other', ' 35384)']",[' Yes'],"[' 3031     (Eliminated', '    0 Frozen', ' 3031)']","[' 61       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.563334'],[' 0'], ,[' 17.5906'],[' 0'],[' 0.380405'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.81897e+06'],[' 7.86443e+06'],[' 0'],[' 1.88366e+09'],[' 0'],[' 0'], , , , , , ,[' '],[' '],[' '],[' '],[' ']
Restarts     ,TA44,"[' 592      (Average Length', ' 282.66 Splits', ' 0)']","[' 6247557  (Deleted', ' 6124250)']","[' 57       (Ratio', '   0.00%)']","[' 1198     (Ratio', '   0.02%)']","[' 6247557  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6247557  (Average', '  1.49 Max', ' 1533 Sum', ' 9327390)']","[' 6247417  (Average', '  1.49 Max', ' 1533 Sum', ' 9311301 Ratio', '  99.83%)']","[' 140      (Average', ' 114.92 Max', ' 328 Sum', '  16089 Ratio', '   0.17%)']", ,[' 41589   '],[' 2358    '],[' 41546   '],[' 22397   '],"[' 67187    (Atom=Atom', ' 20637 Body=Body', ' 11628 Other', ' 34922)']",[' Yes'],"[' 2915     (Eliminated', '    0 Frozen', ' 2915)']","[' 90       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.493979'],[' 0'], ,[' 71.4416'],[' 0'],[' 1.65376'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.23223e+07'],[' 1.75351e+07'],[' 0'],[' 6.31119e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' '],[' ']
Model-Level  ,TA45,"[' 94363    (Deleted', ' 85785)']","[' 66       (Ratio', '   0.07%)']","[' 795      (Ratio', '   0.84%)']","[' 94363    (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 94363    (Average', '  7.25 Max', ' 1587 Sum', ' 683977)']","[' 94275    (Average', '  7.20 Max', ' 1587 Sum', ' 679183 Ratio', '  99.30%)']","[' 88       (Average', ' 54.48 Max', ' 307 Sum', '   4794 Ratio', '   0.70%)']", ,[' 41465   '],[' 2318    '],[' 41469   '],[' 22459   '],"[' 67373    (Atom=Atom', ' 20739 Body=Body', ' 11588 Other', ' 35046)']",[' Yes'],"[' 2922     (Eliminated', '    0 Frozen', ' 2922)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.536431'],[' 0'], ,[' 3.15304'],[' 0'],[' 0.105184'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.21631e+06'],[' 6.45018e+06'],[' 0'],[' 2.25982e+08'],[' 0'],[' 0'], , , , , , ,[' '],[' '],[' '],[' '],[' ']
Conflicts    ,TA46,[' 1274.0  '],"[' 707      (Average Length', ' 340.73 Splits', ' 0)']","[' 6506507  (Deleted', ' 6388754)']","[' 33       (Ratio', '   0.00%)']","[' 1422     (Ratio', '   0.02%)']","[' 6506507  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6506507  (Average', '  1.56 Max', ' 1494 Sum', ' 10144994)']","[' 6506351  (Average', '  1.55 Max', ' 1494 Sum', ' 10108251 Ratio', '  99.64%)']","[' 156      (Average', ' 235.53 Max', ' 535 Sum', '  36743 Ratio', '   0.36%)']", ,[' 41789   '],[' 2394    '],[' 41858   '],[' 22610   '],"[' 67826    (Atom=Atom', ' 20814 Body=Body', ' 11664 Other', ' 35348)']",[' Yes'],"[' 3063     (Eliminated', '    0 Frozen', ' 3063)']","[' 278      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.56014'],[' 0'], ,[' 81.9402'],[' 0'],[' 1.95895'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.52936e+07'],[' 1.94339e+07'],[' 0'],[' 7.60148e+09'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' '],[' ']
Conflicts    ,TA47,[' 1254.3  '],"[' 645      (Average Length', ' 304.67 Splits', ' 0)']","[' 2920106  (Deleted', ' 2866780)']","[' 51       (Ratio', '   0.00%)']","[' 1493     (Ratio', '   0.05%)']","[' 2920106  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2920106  (Average', '  1.76 Max', ' 1543 Sum', ' 5135005)']","[' 2919977  (Average', '  1.75 Max', ' 1543 Sum', ' 5104297 Ratio', '  99.40%)']","[' 129      (Average', ' 238.05 Max', ' 485 Sum', '  30708 Ratio', '   0.60%)']", ,[' 41689   '],[' 2364    '],[' 41692   '],[' 22552   '],"[' 67652    (Atom=Atom', ' 20786 Body=Body', ' 11634 Other', ' 35232)']",[' Yes'],"[' 2967     (Eliminated', '    0 Frozen', ' 2967)']","[' 45       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.486389'],[' 0'], ,[' 106.264'],[' 0'],[' 1.92641'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.96977e+07'],[' 1.21992e+07'],[' 0'],[' 1.38134e+10'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' '],[' ']
Restarts     ,TA48,"[' 611      (Average Length', ' 292.40 Splits', ' 0)']","[' 5098585  (Deleted', ' 5006899)']","[' 47       (Ratio', '   0.00%)']","[' 886      (Ratio', '   0.02%)']","[' 5098585  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5098585  (Average', '  1.43 Max', ' 1509 Sum', ' 7298453)']","[' 5098432  (Average', '  1.43 Max', ' 1509 Sum', ' 7278534 Ratio', '  99.73%)']","[' 153      (Average', ' 130.19 Max', ' 305 Sum', '  19919 Ratio', '   0.27%)']", ,[' 41362   '],[' 2313    '],[' 41336   '],[' 21977   '],"[' 65927    (Atom=Atom', ' 20262 Body=Body', ' 11583 Other', ' 34082)']",[' Yes'],"[' 2887     (Eliminated', '    0 Frozen', ' 2887)']","[' 78       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.514521'],[' 0'], ,[' 33.9087'],[' 0'],[' 1.03627'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.67191e+07'],[' 1.48382e+07'],[' 0'],[' 2.0708e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' '],[' ']
Conflicts    ,TA49,[' 1234.8  '],"[' 610      (Average Length', ' 291.98 Splits', ' 0)']","[' 2406357  (Deleted', ' 2356324)']","[' 40       (Ratio', '   0.00%)']","[' 1257     (Ratio', '   0.05%)']","[' 2406357  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2406357  (Average', '  1.73 Max', ' 1511 Sum', ' 4168694)']","[' 2406176  (Average', '  1.71 Max', ' 1511 Sum', ' 4118797 Ratio', '  98.80%)']","[' 181      (Average', ' 275.67 Max', ' 468 Sum', '  49897 Ratio', '   1.20%)']", ,[' 41847   '],[' 2379    '],[' 41822   '],[' 22542   '],"[' 67622    (Atom=Atom', ' 20761 Body=Body', ' 11649 Other', ' 35212)']",[' Yes'],"[' 2954     (Eliminated', '    0 Frozen', ' 2954)']","[' 106      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.466397'],[' 0'], ,[' 105.562'],[' 0'],[' 1.76609'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70195e+07'],[' 1.09359e+07'],[' 0'],[' 1.36098e+10'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' '],[' ']
Restarts     ,TA50,"[' 714      (Average Length', ' 339.20 Splits', ' 0)']","[' 1313176  (Deleted', ' 1281441)']","[' 49       (Ratio', '   0.00%)']","[' 1120     (Ratio', '   0.09%)']","[' 1313176  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1313176  (Average', '  1.87 Max', ' 1568 Sum', ' 2461258)']","[' 1313103  (Average', '  1.86 Max', ' 1568 Sum', ' 2444982 Ratio', '  99.34%)']","[' 73       (Average', ' 222.96 Max', ' 533 Sum', '  16276 Ratio', '   0.66%)']", ,[' 41294   '],[' 2297    '],[' 41358   '],[' 22406   '],"[' 67214    (Atom=Atom', ' 20707 Body=Body', ' 11567 Other', ' 34940)']",[' Yes'],"[' 2961     (Eliminated', '    0 Frozen', ' 2961)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.533063'],[' 0'], ,[' 70.0947'],[' 0'],[' 1.1926'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26163e+07'],[' 8.72964e+06'],[' 0'],[' 9.65313e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' '],[' ']
