Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 8689+'],[' 4351'],"[' 620.690s (Solving', ' 552.12s 1st Model', ' 168.86s Unsat', ' 0.00s)']",[' 617.828s'], ,[' 207669386'],"[' 4387339  (Analyzed', ' 3892369)']","[' 9660     (Average', ' 402.94 Last', ' 66851)']",[' 9744.1  '],"[' 4352     (Average Length', ' 2220.48 Splits', ' 0)']","[' 3892369  (Deleted', ' 3807409)']","[' 292      (Ratio', '   0.01%)']","[' 32928    (Ratio', '   0.85%)']","[' 3892369  (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3892369  (Average', ' 46.10 Max', ' 11980 Sum', ' 179441034)']","[' 3889531  (Average', ' 44.74 Max', ' 11980 Sum', ' 174162024 Ratio', '  97.06%)']","[' 2838     (Average', ' 1860.12 Max', ' 3075 Sum', ' 5279010 Ratio', '   2.94%)']", ,[' 348921  '],[' 18914   '],[' 317919  '],[' 140964  '],"[' 354458   (Atom=Atom', ' 96709 Body=Body', ' 65890 Other', ' 191859)']",[' Yes'],"[' 24026    (Eliminated', '    0 Frozen', ' 24026)']","[' 6470     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.1735'],[' 0'], ,[' 171.098'],[' 0'],[' 13.9452'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.58643e+08'],[' 3.12644e+08'],[' 0'],[' 5.82621e+09'],[' 0'],[' 0'],[' 1254 '],[' 2224 '],[' 3323 '],[' 4112 '],[' 4991 '],[' 6203 '],[' 6 '],[' 0 ']
Solving...,TA72, , , ,[' 8671+'],[' 4342'],"[' 621.464s (Solving', ' 552.49s 1st Model', ' 197.53s Unsat', ' 0.00s)']",[' 618.703s'], ,[' 224894237'],"[' 2294976  (Analyzed', ' 1642977)']","[' 5655     (Average', ' 290.54 Last', ' 90036)']",[' 9053.1  '],"[' 4343     (Average Length', ' 2188.01 Splits', ' 0)']","[' 1642977  (Deleted', ' 1559745)']","[' 270      (Ratio', '   0.02%)']","[' 43304    (Ratio', '   2.64%)']","[' 1642977  (Average Length', '   18.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1642977  (Average', ' 121.06 Max', ' 11681 Sum', ' 198894545)']","[' 1640507  (Average', ' 118.21 Max', ' 11681 Sum', ' 194222045 Ratio', '  97.65%)']","[' 2470     (Average', ' 1891.70 Max', ' 3066 Sum', ' 4672500 Ratio', '   2.35%)']", ,[' 347992  '],[' 18672   '],[' 316301  '],[' 140011  '],"[' 351768   (Atom=Atom', ' 96025 Body=Body', ' 65382 Other', ' 190361)']",[' Yes'],"[' 23802    (Eliminated', '    0 Frozen', ' 23802)']","[' 8526     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2225'],[' 0'], ,[' 145.134'],[' 0'],[' 14.5799'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.46919e+08'],[' 3.91479e+08'],[' 0'],[' 3.90696e+09'],[' 0'],[' 0'],[' 960 '],[' 1931 '],[' 2850 '],[' 3638 '],[' 4624 '],[' 5585 '],[' 6 '],[' 0 ']
Solving...,TA73, , , ,[' 7795+'],[' 3904'],"[' 618.856s (Solving', ' 557.77s 1st Model', ' 166.63s Unsat', ' 0.01s)']",[' 616.469s'], ,[' 227960605'],"[' 4648862  (Analyzed', ' 3711371)']","[' 8444     (Average', ' 439.53 Last', ' 49224)']",[' 9498.4  '],"[' 3905     (Average Length', ' 1991.08 Splits', ' 0)']","[' 3711371  (Deleted', ' 3625029)']","[' 317      (Ratio', '   0.01%)']","[' 38594    (Ratio', '   1.04%)']","[' 3711371  (Average Length', '   22.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3711371  (Average', ' 54.33 Max', ' 11971 Sum', ' 201640330)']","[' 3708823  (Average', ' 53.18 Max', ' 11971 Sum', ' 197380157 Ratio', '  97.89%)']","[' 2548     (Average', ' 1671.97 Max', ' 2693 Sum', ' 4260173 Ratio', '   2.11%)']", ,[' 348898  '],[' 18902   '],[' 317288  '],[' 140960  '],"[' 351478   (Atom=Atom', ' 95820 Body=Body', ' 65590 Other', ' 190068)']",[' Yes'],"[' 23524    (Eliminated', '    0 Frozen', ' 23524)']","[' 7090     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.8728'],[' 0'], ,[' 183.519'],[' 0'],[' 15.2801'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.90058e+08'],[' 3.39954e+08'],[' 0'],[' 6.53252e+09'],[' 0'],[' 0'],[' 1306 '],[' 2304 '],[' 3274 '],[' 4093 '],[' 4977 '],[' 6010 '],[' 6 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 8877+'],[' 4444'],"[' 619.043s (Solving', ' 554.16s 1st Model', ' 184.06s Unsat', ' 0.00s)']",[' 617.000s'], ,[' 235054564'],"[' 2682943  (Analyzed', ' 2022593)']","[' 6100     (Average', ' 331.57 Last', ' 49792)']",[' 9129.6  '],"[' 4444     (Average Length', ' 2226.60 Splits', ' 0)']","[' 2022593  (Deleted', ' 1934241)']","[' 254      (Ratio', '   0.01%)']","[' 43617    (Ratio', '   2.16%)']","[' 2022593  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2022593  (Average', ' 103.16 Max', ' 12497 Sum', ' 208660649)']","[' 2020152  (Average', ' 100.59 Max', ' 12497 Sum', ' 203442752 Ratio', '  97.50%)']","[' 2441     (Average', ' 2137.61 Max', ' 3140 Sum', ' 5217897 Ratio', '   2.50%)']", ,[' 349487  '],[' 18715   '],[' 317593  '],[' 140905  '],"[' 352002   (Atom=Atom', ' 96091 Body=Body', ' 65368 Other', ' 190543)']",[' Yes'],"[' 23860    (Eliminated', '    0 Frozen', ' 23860)']","[' 7192     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0592'],[' 0'], ,[' 147.168'],[' 0'],[' 15.016'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.44765e+08'],[' 3.89528e+08'],[' 0'],[' 4.00998e+09'],[' 0'],[' 0'],[' 1152 '],[' 1962 '],[' 2869 '],[' 3827 '],[' 4793 '],[' 5697 '],[' 6 '],[' 0 ']
Solving...,TA75, , , ,[' 8951+'],[' 4482'],"[' 619.817s (Solving', ' 555.37s 1st Model', ' 202.27s Unsat', ' 0.00s)']",[' 618.625s'], ,[' 253469450'],"[' 2835037  (Analyzed', ' 2127752)']","[' 6959     (Average', ' 305.76 Last', ' 42199)']",[' 8556.2  '],"[' 4483     (Average Length', ' 2214.24 Splits', ' 0)']","[' 2127752  (Deleted', ' 2032635)']","[' 335      (Ratio', '   0.02%)']","[' 49838    (Ratio', '   2.34%)']","[' 2127752  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2127752  (Average', ' 108.32 Max', ' 10431 Sum', ' 230469209)']","[' 2124831  (Average', ' 105.31 Max', ' 10431 Sum', ' 224073966 Ratio', '  97.23%)']","[' 2921     (Average', ' 2189.40 Max', ' 3062 Sum', ' 6395243 Ratio', '   2.77%)']", ,[' 349578  '],[' 18958   '],[' 318532  '],[' 141416  '],"[' 355149   (Atom=Atom', ' 96908 Body=Body', ' 65966 Other', ' 192275)']",[' Yes'],"[' 24109    (Eliminated', '    0 Frozen', ' 24109)']","[' 10056    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5121'],[' 0'], ,[' 152.016'],[' 0'],[' 15.4231'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.37839e+08'],[' 4.71817e+08'],[' 0'],[' 4.75083e+09'],[' 0'],[' 0'],[' 1205 '],[' 2041 '],[' 2984 '],[' 3998 '],[' 4935 '],[' 5921 '],[' 6 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 9211+'],[' 4612'],"[' 618.677s (Solving', ' 551.30s 1st Model', ' 187.68s Unsat', ' 0.00s)']",[' 617.063s'], ,[' 228325038'],"[' 3319887  (Analyzed', ' 2585063)']","[' 7399     (Average', ' 349.38 Last', ' 60644)']",[' 9166.8  '],"[' 4612     (Average Length', ' 2324.22 Splits', ' 0)']","[' 2585063  (Deleted', ' 2494480)']","[' 311      (Ratio', '   0.01%)']","[' 43001    (Ratio', '   1.66%)']","[' 2585063  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2585063  (Average', ' 77.80 Max', ' 11059 Sum', ' 201127903)']","[' 2582384  (Average', ' 75.70 Max', ' 11059 Sum', ' 195684226 Ratio', '  97.29%)']","[' 2679     (Average', ' 2031.98 Max', ' 3239 Sum', ' 5443677 Ratio', '   2.71%)']", ,[' 348728  '],[' 18697   '],[' 317410  '],[' 140559  '],"[' 352586   (Atom=Atom', ' 96293 Body=Body', ' 65381 Other', ' 190912)']",[' Yes'],"[' 24009    (Eliminated', '    0 Frozen', ' 24009)']","[' 8438     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7235'],[' 0'], ,[' 147.791'],[' 0'],[' 14.8137'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.49599e+08'],[' 3.93153e+08'],[' 0'],[' 4.15302e+09'],[' 0'],[' 0'],[' 1131 '],[' 2062 '],[' 2929 '],[' 3788 '],[' 4679 '],[' 5777 '],[' 6 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 8199+'],[' 4106'],"[' 614.145s (Solving', ' 561.73s 1st Model', ' 161.86s Unsat', ' 0.00s)']",[' 612.719s'], ,[' 272300784'],"[' 5360762  (Analyzed', ' 4683372)']","[' 11049    (Average', ' 423.87 Last', ' 40680)']",[' 9071.5  '],"[' 4106     (Average Length', ' 2081.62 Splits', ' 0)']","[' 4683372  (Deleted', ' 4571810)']","[' 321      (Ratio', '   0.01%)']","[' 45580    (Ratio', '   0.97%)']","[' 4683372  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4683372  (Average', ' 52.89 Max', ' 10965 Sum', ' 247682150)']","[' 4680552  (Average', ' 51.79 Max', ' 10965 Sum', ' 242549567 Ratio', '  97.93%)']","[' 2820     (Average', ' 1820.06 Max', ' 2850 Sum', ' 5132583 Ratio', '   2.07%)']", ,[' 348376  '],[' 18678   '],[' 316612  '],[' 140175  '],"[' 350358   (Atom=Atom', ' 95599 Body=Body', ' 65209 Other', ' 189550)']",[' Yes'],"[' 23574    (Eliminated', '    0 Frozen', ' 23574)']","[' 8867     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.0083'],[' 0'], ,[' 191.928'],[' 0'],[' 16.4396'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.8788e+08'],[' 4.25332e+08'],[' 0'],[' 7.73233e+09'],[' 0'],[' 0'],[' 1068 '],[' 2077 '],[' 2927 '],[' 3863 '],[' 4800 '],[' 5707 '],[' 6 '],[' 0 ']
Solving...,TA78, , , ,[' 8783+'],[' 4398'],"[' 618.394s (Solving', ' 557.43s 1st Model', ' 179.57s Unsat', ' 0.00s)']",[' 616.891s'], ,[' 265427386'],"[' 4309708  (Analyzed', ' 3620391)']","[' 8731     (Average', ' 414.66 Last', ' 63528)']",[' 9024.9  '],"[' 4399     (Average Length', ' 2220.86 Splits', ' 0)']","[' 3620391  (Deleted', ' 3519692)']","[' 294      (Ratio', '   0.01%)']","[' 50026    (Ratio', '   1.38%)']","[' 3620391  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3620391  (Average', ' 66.29 Max', ' 10419 Sum', ' 239990953)']","[' 3617562  (Average', ' 64.75 Max', ' 10419 Sum', ' 234403050 Ratio', '  97.67%)']","[' 2829     (Average', ' 1975.22 Max', ' 3013 Sum', ' 5587903 Ratio', '   2.33%)']", ,[' 349224  '],[' 18828   '],[' 317707  '],[' 140981  '],"[' 353857   (Atom=Atom', ' 96574 Body=Body', ' 65737 Other', ' 191546)']",[' Yes'],"[' 24019    (Eliminated', '    0 Frozen', ' 24019)']","[' 9727     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.3238'],[' 0'], ,[' 166.669'],[' 0'],[' 15.5499'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.17726e+08'],[' 4.50967e+08'],[' 0'],[' 6.34634e+09'],[' 0'],[' 0'],[' 1276 '],[' 2023 '],[' 2918 '],[' 3852 '],[' 4821 '],[' 5869 '],[' 6 '],[' 0 ']
Solving...,TA79, , , ,[' 8797+'],[' 4405'],"[' 621.037s (Solving', ' 552.11s 1st Model', ' 148.65s Unsat', ' 0.00s)']",[' 618.500s'], ,[' 234994935'],"[' 2713225  (Analyzed', ' 2132634)']","[' 5973     (Average', ' 357.05 Last', ' 16563)']",[' 8894.6  '],"[' 4406     (Average Length', ' 2221.73 Splits', ' 0)']","[' 2132634  (Deleted', ' 2045241)']","[' 377      (Ratio', '   0.02%)']","[' 45525    (Ratio', '   2.13%)']","[' 2132634  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2132634  (Average', ' 98.66 Max', ' 10936 Sum', ' 210401200)']","[' 2129812  (Average', ' 96.03 Max', ' 10936 Sum', ' 204802344 Ratio', '  97.34%)']","[' 2822     (Average', ' 1984.00 Max', ' 3067 Sum', ' 5598856 Ratio', '   2.66%)']", ,[' 349498  '],[' 18786   '],[' 317768  '],[' 140975  '],"[' 353411   (Atom=Atom', ' 96437 Body=Body', ' 65659 Other', ' 191315)']",[' Yes'],"[' 23929    (Eliminated', '    0 Frozen', ' 23929)']","[' 8918     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2545'],[' 0'], ,[' 144.416'],[' 0'],[' 14.9211'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.83902e+08'],[' 4.23582e+08'],[' 0'],[' 3.99474e+09'],[' 0'],[' 0'],[' 1147 '],[' 2022 '],[' 2942 '],[' 3847 '],[' 4743 '],[' 5812 '],[' 6 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 8443+'],[' 4228'],"[' 615.284s (Solving', ' 555.41s 1st Model', ' 170.75s Unsat', ' 0.00s)']",[' 610.250s'], ,[' 246093175'],"[' 3376759  (Analyzed', ' 2700666)']","[' 7429     (Average', ' 363.53 Last', ' 50860)']",[' 9388.6  '],"[' 4228     (Average Length', ' 2161.47 Splits', ' 0)']","[' 2700666  (Deleted', ' 2616814)']","[' 253      (Ratio', '   0.01%)']","[' 46368    (Ratio', '   1.72%)']","[' 2700666  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2700666  (Average', ' 81.36 Max', ' 11925 Sum', ' 219719688)']","[' 2698053  (Average', ' 79.46 Max', ' 11925 Sum', ' 214608391 Ratio', '  97.67%)']","[' 2613     (Average', ' 1956.10 Max', ' 3006 Sum', ' 5111297 Ratio', '   2.33%)']", ,[' 349134  '],[' 18913   '],[' 317604  '],[' 140910  '],"[' 354754   (Atom=Atom', ' 96768 Body=Body', ' 66001 Other', ' 191985)']",[' Yes'],"[' 23890    (Eliminated', '    0 Frozen', ' 23890)']","[' 8565     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.4597'],[' 0'], ,[' 165.13'],[' 0'],[' 15.2609'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.55466e+08'],[' 3.97504e+08'],[' 0'],[' 5.35722e+09'],[' 0'],[' 0'],[' 1136 '],[' 2117 '],[' 2953 '],[' 3845 '],[' 4657 '],[' 5590 '],[' 6 '],[' 0 ']
