Optimal Found Or Timeout,Instances,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 9023+'],[' 4515'],"[' 786.088s (Solving', ' 649.91s 1st Model', ' 322.44s Unsat', ' 0.00s)']",[' 782.000s'], ,[' 465015907'],"[' 1900948  (Analyzed', ' 277813)']","[' 2966     (Average', ' 93.67 Last', ' 25273)']",[' 20545.9 '],"[' 4515     (Average Length', ' 2247.66 Splits', ' 0)']","[' 277813   (Deleted', ' 227105)']","[' 59       (Ratio', '   0.02%)']","[' 35265    (Ratio', '  12.69%)']","[' 277813   (Average Length', '   36.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 277813   (Average', ' 1385.86 Max', ' 27192 Sum', ' 385010171)']","[' 275917   (Average', ' 1370.20 Max', ' 27192 Sum', ' 380660747 Ratio', '  98.87%)']","[' 1896     (Average', ' 2294.00 Max', ' 2294 Sum', ' 4349424 Ratio', '   1.13%)']", ,[' 440492  '],[' 35660   '],[' 442971  '],[' 270835  '],"[' 812501   (Atom=Atom', ' 237173 Body=Body', ' 136560 Other', ' 438768)']",[' Yes'],"[' 40139    (Eliminated', '    0 Frozen', ' 40139)']","[' 7288     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.658'],[' 0'], ,[' 253.784'],[' 0'],[' 28.2241'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04029e+09'],[' 9.82707e+08'],[' 0'],[' 5.49429e+09'],[' 0'],[' 0'],[' 2712 '],[' 13805 '],[' 17076 '],[' 3 '],[' 0 ']
Solving...,TA72, , ,[' 10385+'],[' 5195'],"[' 1038.707s (Solving', ' 871.83s 1st Model', ' 543.76s Unsat', ' 0.00s)']",[' 1030.563s'], ,[' 410254116'],"[' 8031570  (Analyzed', ' 178678)']","[' 3769     (Average', ' 47.41 Last', ' 31991)']",[' 20687.9 '],"[' 5196     (Average Length', ' 2495.82 Splits', ' 0)']","[' 178678   (Deleted', ' 138795)']","[' 40       (Ratio', '   0.02%)']","[' 24162    (Ratio', '  13.52%)']","[' 178678   (Average Length', '   33.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 178678   (Average', ' 1736.93 Max', ' 27626 Sum', ' 310351373)']","[' 177057   (Average', ' 1719.23 Max', ' 27626 Sum', ' 307188802 Ratio', '  98.98%)']","[' 1621     (Average', ' 1951.00 Max', ' 1951 Sum', ' 3162571 Ratio', '   1.02%)']", ,[' 438496  '],[' 35019   '],[' 441260  '],[' 269589  '],"[' 808763   (Atom=Atom', ' 236568 Body=Body', ' 135919 Other', ' 436276)']",[' Yes'],"[' 39783    (Eliminated', '    0 Frozen', ' 39783)']","[' 4312     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 31.9751'],[' 0'], ,[' 418.95'],[' 0'],[' 35.0469'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.22776e+08'],[' 8.71509e+08'],[' 0'],[' 1.61251e+10'],[' 0'],[' 0'],[' 2237 '],[' 5721 '],[' 8303 '],[' 3 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 9823+'],[' 4914'],"[' 1000.493s (Solving', ' 838.34s 1st Model', ' 400.04s Unsat', ' 0.00s)']",[' 992.266s'], ,[' 376395881'],"[' 7908046  (Analyzed', ' 183657)']","[' 3164     (Average', ' 58.05 Last', ' 41295)']",[' 20457.9 '],"[' 4913     (Average Length', ' 2360.24 Splits', ' 0)']","[' 183657   (Deleted', ' 147861)']","[' 47       (Ratio', '   0.03%)']","[' 23378    (Ratio', '  12.73%)']","[' 183657   (Average Length', '   34.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 183657   (Average', ' 1541.83 Max', ' 27471 Sum', ' 283167290)']","[' 181595   (Average', ' 1520.44 Max', ' 27471 Sum', ' 279239180 Ratio', '  98.61%)']","[' 2062     (Average', ' 1905.00 Max', ' 1905 Sum', ' 3928110 Ratio', '   1.39%)']", ,[' 439120  '],[' 35197   '],[' 441697  '],[' 268871  '],"[' 806609   (Atom=Atom', ' 235672 Body=Body', ' 136097 Other', ' 434840)']",[' Yes'],"[' 39774    (Eliminated', '    0 Frozen', ' 39774)']","[' 4783     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 31.032'],[' 0'], ,[' 412.363'],[' 0'],[' 32.4272'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.39463e+08'],[' 7.89737e+08'],[' 0'],[' 1.636e+10'],[' 0'],[' 0'],[' 2542 '],[' 6059 '],[' 10491 '],[' 3 '],[' 0 ']
Solving...,TA74, , ,[' 10979+'],[' 5492'],"[' 1040.179s (Solving', ' 863.89s 1st Model', ' 524.69s Unsat', ' 0.00s)']",[' 1033.141s'], ,[' 389341112'],"[' 8178087  (Analyzed', ' 171123)']","[' 3571     (Average', ' 47.92 Last', ' 4952)']",[' 20486.2 '],"[' 5493     (Average Length', ' 2627.13 Splits', ' 0)']","[' 171123   (Deleted', ' 137027)']","[' 36       (Ratio', '   0.02%)']","[' 22190    (Ratio', '  12.97%)']","[' 171123   (Average Length', '   31.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 171123   (Average', ' 1672.41 Max', ' 27673 Sum', ' 286188484)']","[' 169531   (Average', ' 1651.62 Max', ' 27673 Sum', ' 282630364 Ratio', '  98.76%)']","[' 1592     (Average', ' 2235.00 Max', ' 2235 Sum', ' 3558120 Ratio', '   1.24%)']", ,[' 438061  '],[' 34906   '],[' 441030  '],[' 269233  '],"[' 807695   (Atom=Atom', ' 236325 Body=Body', ' 135806 Other', ' 435564)']",[' Yes'],"[' 39875    (Eliminated', '    0 Frozen', ' 39875)']","[' 3979     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 33.6448'],[' 0'], ,[' 422.599'],[' 0'],[' 34.0307'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.83738e+08'],[' 8.33494e+08'],[' 0'],[' 1.61292e+10'],[' 0'],[' 0'],[' 2181 '],[' 5297 '],[' 8098 '],[' 3 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 10939+'],[' 5473'],"[' 1038.568s (Solving', ' 875.61s 1st Model', ' 490.08s Unsat', ' 0.00s)']",[' 1031.391s'], ,[' 423535546'],"[' 8113802  (Analyzed', ' 160772)']","[' 3793     (Average', ' 42.39 Last', ' 12893)']",[' 20187.7 '],"[' 5473     (Average Length', ' 2620.08 Splits', ' 0)']","[' 160772   (Deleted', ' 128035)']","[' 48       (Ratio', '   0.03%)']","[' 20957    (Ratio', '  13.04%)']","[' 160772   (Average Length', '   34.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 160772   (Average', ' 2021.44 Max', ' 27633 Sum', ' 324990916)']","[' 158315   (Average', ' 1983.10 Max', ' 27633 Sum', ' 318826967 Ratio', '  98.10%)']","[' 2457     (Average', ' 2508.73 Max', ' 3636 Sum', ' 6163949 Ratio', '   1.90%)']", ,[' 440903  '],[' 35566   '],[' 443869  '],[' 270836  '],"[' 812504   (Atom=Atom', ' 237268 Body=Body', ' 136466 Other', ' 438770)']",[' Yes'],"[' 40532    (Eliminated', '    0 Frozen', ' 40532)']","[' 4117     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 30.1924'],[' 0'], ,[' 425.916'],[' 0'],[' 35.374'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.34631e+08'],[' 8.86141e+08'],[' 0'],[' 1.69098e+10'],[' 0'],[' 0'],[' 2340 '],[' 5282 '],[' 7911 '],[' 3 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 10759+'],[' 5383'],"[' 1035.568s (Solving', ' 879.24s 1st Model', ' 487.15s Unsat', ' 0.00s)']",[' 1030.141s'], ,[' 451225820'],"[' 7622186  (Analyzed', ' 202186)']","[' 3812     (Average', ' 53.04 Last', ' 25580)']",[' 20177.5 '],"[' 5383     (Average Length', ' 2552.15 Splits', ' 0)']","[' 202186   (Deleted', ' 156528)']","[' 46       (Ratio', '   0.02%)']","[' 26076    (Ratio', '  12.90%)']","[' 202186   (Average Length', '   33.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 202186   (Average', ' 1745.06 Max', ' 27132 Sum', ' 352827202)']","[' 200149   (Average', ' 1723.27 Max', ' 27132 Sum', ' 348420814 Ratio', '  98.75%)']","[' 2037     (Average', ' 2163.18 Max', ' 3436 Sum', ' 4406388 Ratio', '   1.25%)']", ,[' 438874  '],[' 35209   '],[' 441696  '],[' 269397  '],"[' 808187   (Atom=Atom', ' 236186 Body=Body', ' 136109 Other', ' 435892)']",[' Yes'],"[' 40031    (Eliminated', '    0 Frozen', ' 40031)']","[' 5018     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 29.8921'],[' 0'], ,[' 418.943'],[' 0'],[' 34.5955'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.9688e+08'],[' 9.41763e+08'],[' 0'],[' 1.64009e+10'],[' 0'],[' 0'],[' 2361 '],[' 5524 '],[' 7931 '],[' 3 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 10615+'],[' 5311'],"[' 945.911s (Solving', ' 793.87s 1st Model', ' 365.23s Unsat', ' 0.00s)']",[' 941.141s'], ,[' 425924401'],"[' 6156917  (Analyzed', ' 221059)']","[' 3615     (Average', ' 61.15 Last', ' 18959)']",[' 19755.1 '],"[' 5310     (Average Length', ' 2591.08 Splits', ' 0)']","[' 221059   (Deleted', ' 181559)']","[' 57       (Ratio', '   0.03%)']","[' 26779    (Ratio', '  12.11%)']","[' 221059   (Average Length', '   33.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 221059   (Average', ' 1506.62 Max', ' 27004 Sum', ' 333050998)']","[' 219132   (Average', ' 1485.40 Max', ' 27004 Sum', ' 328360680 Ratio', '  98.59%)']","[' 1927     (Average', ' 2434.00 Max', ' 2434 Sum', ' 4690318 Ratio', '   1.41%)']", ,[' 437142  '],[' 34850   '],[' 440139  '],[' 267488  '],"[' 802460   (Atom=Atom', ' 234636 Body=Body', ' 135750 Other', ' 432074)']",[' Yes'],"[' 39847    (Eliminated', '    0 Frozen', ' 39847)']","[' 5231     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 29.1806'],[' 0'], ,[' 364.801'],[' 0'],[' 32.3815'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.55622e+08'],[' 9.02483e+08'],[' 0'],[' 1.33976e+10'],[' 0'],[' 0'],[' 2332 '],[' 9333 '],[' 11684 '],[' 3 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 11547+'],[' 5777'],"[' 1036.793s (Solving', ' 869.90s 1st Model', ' 441.08s Unsat', ' 0.00s)']",[' 1031.594s'], ,[' 453454979'],"[' 8383369  (Analyzed', ' 202826)']","[' 4072     (Average', ' 49.81 Last', ' 36105)']",[' 20768.1 '],"[' 5777     (Average Length', ' 2737.96 Splits', ' 0)']","[' 202826   (Deleted', ' 158717)']","[' 53       (Ratio', '   0.03%)']","[' 26346    (Ratio', '  12.99%)']","[' 202826   (Average Length', '   31.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 202826   (Average', ' 1701.92 Max', ' 27058 Sum', ' 345194165)']","[' 200800   (Average', ' 1679.56 Max', ' 27058 Sum', ' 340659273 Ratio', '  98.69%)']","[' 2026     (Average', ' 2238.35 Max', ' 3532 Sum', ' 4534892 Ratio', '   1.31%)']", ,[' 439218  '],[' 35110   '],[' 442410  '],[' 269214  '],"[' 807638   (Atom=Atom', ' 236102 Body=Body', ' 136010 Other', ' 435526)']",[' Yes'],"[' 40302    (Eliminated', '    0 Frozen', ' 40302)']","[' 5261     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 31.7034'],[' 0'], ,[' 414.484'],[' 0'],[' 33.2286'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04682e+09'],[' 9.88483e+08'],[' 0'],[' 1.74397e+10'],[' 0'],[' 0'],[' 2291 '],[' 5301 '],[' 8117 '],[' 3 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 12275+'],[' 6140'],"[' 1034.672s (Solving', ' 886.60s 1st Model', ' 485.46s Unsat', ' 0.00s)']",[' 1030.234s'], ,[' 516959798'],"[' 9200786  (Analyzed', ' 221768)']","[' 4378     (Average', ' 50.66 Last', ' 43202)']",[' 20261.5 '],"[' 6140     (Average Length', ' 2913.98 Splits', ' 0)']","[' 221768   (Deleted', ' 174735)']","[' 41       (Ratio', '   0.02%)']","[' 28604    (Ratio', '  12.90%)']","[' 221768   (Average Length', '   31.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 221768   (Average', ' 1830.87 Max', ' 27172 Sum', ' 406028501)']","[' 219742   (Average', ' 1807.35 Max', ' 27172 Sum', ' 400811551 Ratio', '  98.72%)']","[' 2026     (Average', ' 2575.00 Max', ' 2575 Sum', ' 5216950 Ratio', '   1.28%)']", ,[' 439224  '],[' 35162   '],[' 442689  '],[' 269528  '],"[' 808580   (Atom=Atom', ' 236364 Body=Body', ' 136062 Other', ' 436154)']",[' Yes'],"[' 40627    (Eliminated', '    0 Frozen', ' 40627)']","[' 5466     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.5048'],[' 0'], ,[' 421.208'],[' 0'],[' 34.2193'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16307e+09'],[' 1.10051e+09'],[' 0'],[' 1.94875e+10'],[' 0'],[' 0'],[' 2237 '],[' 5363 '],[' 7717 '],[' 3 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 11019+'],[' 5513'],"[' 1033.077s (Solving', ' 891.82s 1st Model', ' 524.61s Unsat', ' 0.00s)']",[' 1029.000s'], ,[' 538205893'],"[' 9873581  (Analyzed', ' 297001)']","[' 4466     (Average', ' 66.50 Last', ' 80189)']",[' 20257.7 '],"[' 5513     (Average Length', ' 2618.11 Splits', ' 0)']","[' 297001   (Deleted', ' 238579)']","[' 67       (Ratio', '   0.02%)']","[' 37162    (Ratio', '  12.51%)']","[' 297001   (Average Length', '   32.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 297001   (Average', ' 1460.21 Max', ' 26956 Sum', ' 433683122)']","[' 295360   (Average', ' 1449.62 Max', ' 26956 Sum', ' 430538922 Ratio', '  99.28%)']","[' 1641     (Average', ' 1916.03 Max', ' 3600 Sum', ' 3144200 Ratio', '   0.72%)']", ,[' 439820  '],[' 35343   '],[' 442696  '],[' 270691  '],"[' 812069   (Atom=Atom', ' 237346 Body=Body', ' 136243 Other', ' 438480)']",[' Yes'],"[' 40219    (Eliminated', '    0 Frozen', ' 40219)']","[' 6925     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.3237'],[' 0'], ,[' 424.222'],[' 0'],[' 33.4521'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25857e+09'],[' 1.18574e+09'],[' 0'],[' 2.11779e+10'],[' 0'],[' 0'],[' 2332 '],[' 5240 '],[' 7394 '],[' 3 '],[' 0 ']
