Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 
Solving...,TA61, ,[' 1'],[' 3479+'],[' 1744'],"[' 297.841s (Solving', ' 287.55s 1st Model', ' 14.66s Unsat', ' 0.00s)']",[' 297.203s'], ,[' 54359218'],"[' 5638408  (Analyzed', ' 5372991)']","[' 11412    (Average', ' 470.82 Last', ' 15238)']",[' 3772.1  '],"[' 1744     (Average Length', ' 824.23 Splits', ' 0)']","[' 5372991  (Deleted', ' 5295780)']","[' 85       (Ratio', '   0.00%)']","[' 13101    (Ratio', '   0.24%)']","[' 5372991  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5372991  (Average', '  9.15 Max', ' 4231 Sum', ' 49188968)']","[' 5372267  (Average', '  9.05 Max', ' 4231 Sum', ' 48650191 Ratio', '  98.90%)']","[' 724      (Average', ' 744.17 Max', ' 1139 Sum', ' 538777 Ratio', '   1.10%)']", ,[' 109718  '],[' 7106    '],[' 110304  '],[' 62858   '],"[' 188570   (Atom=Atom', ' 56750 Body=Body', ' 32556 Other', ' 99264)']",[' Yes'],"[' 8692     (Eliminated', '    0 Frozen', ' 8692)']","[' 2360     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.517'],[' 0'], ,[' 224.563'],[' 0'],[' 5.03554'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57664e+08'],[' 1.29321e+08'],[' 0'],[' 2.51465e+10'],[' 0'],[' 0'],[' 1053 '],[' 2107 '],[' 3095 '],[' 4023 ']
Solving...,TA62, ,[' 1'],[' 3741+'],[' 1875'],"[' 298.065s (Solving', ' 286.61s 1st Model', ' 18.34s Unsat', ' 0.00s)']",[' 297.563s'], ,[' 72994597'],"[' 4574420  (Analyzed', ' 4269278)']","[' 9345     (Average', ' 456.85 Last', ' 11444)']",[' 3604.4  '],"[' 1875     (Average Length', ' 875.70 Splits', ' 0)']","[' 4269278  (Deleted', ' 4203668)']","[' 112      (Ratio', '   0.00%)']","[' 18379    (Ratio', '   0.43%)']","[' 4269278  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4269278  (Average', ' 15.92 Max', ' 3845 Sum', ' 67984260)']","[' 4268460  (Average', ' 15.77 Max', ' 3845 Sum', ' 67310639 Ratio', '  99.01%)']","[' 818      (Average', ' 823.50 Max', ' 1187 Sum', ' 673621 Ratio', '   0.99%)']", ,[' 110482  '],[' 7179    '],[' 111168  '],[' 63202   '],"[' 189602   (Atom=Atom', ' 57021 Body=Body', ' 32629 Other', ' 99952)']",[' Yes'],"[' 8865     (Eliminated', '    0 Frozen', ' 8865)']","[' 2865     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.67218'],[' 0'], ,[' 213.697'],[' 0'],[' 5.77086'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.15594e+08'],[' 1.79889e+08'],[' 0'],[' 2.24652e+10'],[' 0'],[' 0'],[' 1111 '],[' 2008 '],[' 2987 '],[' 3869 ']
Solving...,TA63, ,[' 1'],[' 3527+'],[' 1768'],"[' 297.899s (Solving', ' 288.25s 1st Model', ' 17.62s Unsat', ' 0.00s)']",[' 297.516s'], ,[' 48539243'],"[' 6109846  (Analyzed', ' 5687763)']","[' 12412    (Average', ' 458.25 Last', ' 96812)']",[' 3507.4  '],"[' 1768     (Average Length', ' 828.41 Splits', ' 0)']","[' 5687763  (Deleted', ' 5604484)']","[' 69       (Ratio', '   0.00%)']","[' 11487    (Ratio', '   0.20%)']","[' 5687763  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5687763  (Average', '  7.69 Max', ' 4060 Sum', ' 43728813)']","[' 5687003  (Average', '  7.57 Max', ' 4060 Sum', ' 43075902 Ratio', '  98.51%)']","[' 760      (Average', ' 859.09 Max', ' 1215 Sum', ' 652911 Ratio', '   1.49%)']", ,[' 109367  '],[' 7096    '],[' 109956  '],[' 62588   '],"[' 187760   (Atom=Atom', ' 56490 Body=Body', ' 32546 Other', ' 98724)']",[' Yes'],"[' 8685     (Eliminated', '    0 Frozen', ' 8685)']","[' 2318     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.27966'],[' 0'], ,[' 229.198'],[' 0'],[' 4.85826'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3587e+08'],[' 1.0964e+08'],[' 0'],[' 2.5745e+10'],[' 0'],[' 0'],[' 1031 '],[' 1752 '],[' 2594 '],[' 3576 ']
Solving...,TA64, ,[' 1'],[' 3473+'],[' 1741'],"[' 298.056s (Solving', ' 287.97s 1st Model', ' 32.51s Unsat', ' 0.00s)']",[' 297.531s'], ,[' 56801215'],"[' 5778495  (Analyzed', ' 5370983)']","[' 11716    (Average', ' 458.43 Last', ' 37927)']",[' 3841.9  '],"[' 1741     (Average Length', ' 811.86 Splits', ' 0)']","[' 5370983  (Deleted', ' 5296509)']","[' 83       (Ratio', '   0.00%)']","[' 12352    (Ratio', '   0.23%)']","[' 5370983  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5370983  (Average', '  9.56 Max', ' 4279 Sum', ' 51367119)']","[' 5370205  (Average', '  9.46 Max', ' 4279 Sum', ' 50810681 Ratio', '  98.92%)']","[' 778      (Average', ' 715.22 Max', ' 1102 Sum', ' 556438 Ratio', '   1.08%)']", ,[' 109516  '],[' 7066    '],[' 110058  '],[' 62407   '],"[' 187217   (Atom=Atom', ' 56339 Body=Body', ' 32516 Other', ' 98362)']",[' Yes'],"[' 8608     (Eliminated', '    0 Frozen', ' 8608)']","[' 1630     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.54328'],[' 0'], ,[' 223.675'],[' 0'],[' 5.17246'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59305e+08'],[' 1.30193e+08'],[' 0'],[' 2.43e+10'],[' 0'],[' 0'],[' 1244 '],[' 2125 '],[' 2971 '],[' 3749 ']
Solving...,TA65, ,[' 1'],[' 3323+'],[' 1666'],"[' 297.787s (Solving', ' 288.77s 1st Model', ' 12.16s Unsat', ' 0.00s)']",[' 297.422s'], ,[' 45177944'],"[' 6138067  (Analyzed', ' 5787943)']","[' 12547    (Average', ' 461.30 Last', ' 19207)']",[' 3538.1  '],"[' 1666     (Average Length', ' 785.09 Splits', ' 0)']","[' 5787943  (Deleted', ' 5698560)']","[' 54       (Ratio', '   0.00%)']","[' 10254    (Ratio', '   0.18%)']","[' 5787943  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5787943  (Average', '  7.01 Max', ' 4100 Sum', ' 40583940)']","[' 5787155  (Average', '  6.91 Max', ' 4100 Sum', ' 39980088 Ratio', '  98.51%)']","[' 788      (Average', ' 766.31 Max', ' 1151 Sum', ' 603852 Ratio', '   1.49%)']", ,[' 109390  '],[' 7042    '],[' 109898  '],[' 62054   '],"[' 186158   (Atom=Atom', ' 56010 Body=Body', ' 32492 Other', ' 97656)']",[' Yes'],"[' 8550     (Eliminated', '    0 Frozen', ' 8550)']","[' 1741     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.22023'],[' 0'], ,[' 232.889'],[' 0'],[' 4.82322'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25512e+08'],[' 1.02243e+08'],[' 0'],[' 2.6063e+10'],[' 0'],[' 0'],[' 918 '],[' 1776 '],[' 2684 '],[' 3635 ']
Solving...,TA66, ,[' 1'],[' 3559+'],[' 1784'],"[' 297.592s (Solving', ' 287.23s 1st Model', ' 12.05s Unsat', ' 0.00s)']",[' 297.563s'], ,[' 61586714'],"[' 5307375  (Analyzed', ' 4936309)']","[' 10474    (Average', ' 471.29 Last', ' 5670)']",[' 3640.0  '],"[' 1784     (Average Length', ' 838.09 Splits', ' 0)']","[' 4936309  (Deleted', ' 4861267)']","[' 98       (Ratio', '   0.00%)']","[' 16585    (Ratio', '   0.34%)']","[' 4936309  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4936309  (Average', ' 11.44 Max', ' 4002 Sum', ' 56474424)']","[' 4935551  (Average', ' 11.32 Max', ' 4002 Sum', ' 55898471 Ratio', '  98.98%)']","[' 758      (Average', ' 759.83 Max', ' 1139 Sum', ' 575953 Ratio', '   1.02%)']", ,[' 110383  '],[' 7211    '],[' 111013  '],[' 63411   '],"[' 190229   (Atom=Atom', ' 57198 Body=Body', ' 32661 Other', ' 100370)']",[' Yes'],"[' 8841     (Eliminated', '    0 Frozen', ' 8841)']","[' 3089     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.56909'],[' 0'], ,[' 220.681'],[' 0'],[' 5.30653'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73855e+08'],[' 1.43361e+08'],[' 0'],[' 2.51388e+10'],[' 0'],[' 0'],[' 1081 '],[' 1961 '],[' 3050 '],[' 4032 ']
Solving...,TA67, ,[' 1'],[' 3051+'],[' 1530'],"[' 297.584s (Solving', ' 288.93s 1st Model', ' 9.37s Unsat', ' 0.00s)']",[' 297.188s'], ,[' 49936730'],"[' 5549472  (Analyzed', ' 5248167)']","[' 11164    (Average', ' 470.10 Last', ' 52499)']",[' 3508.0  '],"[' 1530     (Average Length', ' 725.88 Splits', ' 0)']","[' 5248167  (Deleted', ' 5168029)']","[' 73       (Ratio', '   0.00%)']","[' 12418    (Ratio', '   0.24%)']","[' 5248167  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5248167  (Average', '  8.70 Max', ' 4095 Sum', ' 45658670)']","[' 5247322  (Average', '  8.59 Max', ' 4095 Sum', ' 45074077 Ratio', '  98.72%)']","[' 845      (Average', ' 691.83 Max', ' 1030 Sum', ' 584593 Ratio', '   1.28%)']", ,[' 109480  '],[' 7160    '],[' 109865  '],[' 62626   '],"[' 187874   (Atom=Atom', ' 56464 Body=Body', ' 32610 Other', ' 98800)']",[' Yes'],"[' 8545     (Eliminated', '    0 Frozen', ' 8545)']","[' 2353     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.10549'],[' 0'], ,[' 231.76'],[' 0'],[' 4.92164'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36699e+08'],[' 1.10428e+08'],[' 0'],[' 2.59668e+10'],[' 0'],[' 0'],[' 1163 '],[' 2196 '],[' 3127 '],[' 4000 ']
Solving...,TA68, ,[' 1'],[' 3335+'],[' 1672'],"[' 297.688s (Solving', ' 288.35s 1st Model', ' 10.76s Unsat', ' 0.00s)']",[' 297.031s'], ,[' 37805570'],"[' 7685655  (Analyzed', ' 7228371)']","[' 14664    (Average', ' 492.93 Last', ' 1572)']",[' 3893.0  '],"[' 1672     (Average Length', ' 796.49 Splits', ' 0)']","[' 7228371  (Deleted', ' 7127471)']","[' 34       (Ratio', '   0.00%)']","[' 5973     (Ratio', '   0.08%)']","[' 7228371  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7228371  (Average', '  4.50 Max', ' 4471 Sum', ' 32550281)']","[' 7227420  (Average', '  4.41 Max', ' 4471 Sum', ' 31883814 Ratio', '  97.95%)']","[' 951      (Average', ' 700.81 Max', ' 1149 Sum', ' 666467 Ratio', '   2.05%)']", ,[' 109092  '],[' 7003    '],[' 109630  '],[' 61831   '],"[' 185489   (Atom=Atom', ' 55826 Body=Body', ' 32453 Other', ' 97210)']",[' Yes'],"[' 8541     (Eliminated', '    0 Frozen', ' 8541)']","[' 1027     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.32765'],[' 0'], ,[' 231.02'],[' 0'],[' 4.30705'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07686e+08'],[' 8.48539e+07'],[' 0'],[' 2.61115e+10'],[' 0'],[' 0'],[' 1051 '],[' 2030 '],[' 2961 '],[' 3879 ']
Solving...,TA69, ,[' 1'],[' 3449+'],[' 1729'],"[' 298.033s (Solving', ' 288.42s 1st Model', ' 9.19s Unsat', ' 0.00s)']",[' 297.344s'], ,[' 42874343'],"[' 6001885  (Analyzed', ' 5535110)']","[' 12107    (Average', ' 457.18 Last', ' 8965)']",[' 3816.0  '],"[' 1729     (Average Length', ' 811.26 Splits', ' 0)']","[' 5535110  (Deleted', ' 5452489)']","[' 19       (Ratio', '   0.00%)']","[' 8319     (Ratio', '   0.15%)']","[' 5535110  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5535110  (Average', '  6.79 Max', ' 4323 Sum', ' 37607338)']","[' 5534204  (Average', '  6.67 Max', ' 4323 Sum', ' 36905842 Ratio', '  98.13%)']","[' 906      (Average', ' 774.28 Max', ' 1172 Sum', ' 701496 Ratio', '   1.87%)']", ,[' 109897  '],[' 7146    '],[' 110450  '],[' 62871   '],"[' 188609   (Atom=Atom', ' 56723 Body=Body', ' 32596 Other', ' 99290)']",[' Yes'],"[' 8699     (Eliminated', '    0 Frozen', ' 8699)']","[' 1473     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.37774'],[' 0'], ,[' 233.717'],[' 0'],[' 4.67157'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18377e+08'],[' 9.58115e+07'],[' 0'],[' 2.61983e+10'],[' 0'],[' 0'],[' 1214 '],[' 2098 '],[' 3022 '],[' 4138 ']
Solving...,TA70, ,[' 1'],[' 3393+'],[' 1701'],"[' 297.730s (Solving', ' 288.48s 1st Model', ' 12.22s Unsat', ' 0.00s)']",[' 297.063s'], ,[' 48879031'],"[' 5278053  (Analyzed', ' 5016195)']","[' 10953    (Average', ' 457.97 Last', ' 21802)']",[' 3483.6  '],"[' 1701     (Average Length', ' 811.17 Splits', ' 0)']","[' 5016195  (Deleted', ' 4937968)']","[' 69       (Ratio', '   0.00%)']","[' 11327    (Ratio', '   0.23%)']","[' 5016195  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5016195  (Average', '  8.84 Max', ' 4184 Sum', ' 44342062)']","[' 5015510  (Average', '  8.73 Max', ' 4184 Sum', ' 43796306 Ratio', '  98.77%)']","[' 685      (Average', ' 796.72 Max', ' 1230 Sum', ' 545756 Ratio', '   1.23%)']", ,[' 109718  '],[' 7056    '],[' 110281  '],[' 62291   '],"[' 186869   (Atom=Atom', ' 56233 Body=Body', ' 32506 Other', ' 98130)']",[' Yes'],"[' 8619     (Eliminated', '    0 Frozen', ' 8619)']","[' 2250     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.23703'],[' 0'], ,[' 229.737'],[' 0'],[' 4.83514'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40854e+08'],[' 1.13063e+08'],[' 0'],[' 2.63972e+10'],[' 0'],[' 0'],[' 889 '],[' 2071 '],[' 3007 '],[' 4041 ']
