Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 
Solving...,TA31, , ,[' 347'],[' 181'],"[' 10.491s (Solving', ' 10.07s 1st Model', ' 0.19s Unsat', ' 0.47s)']",[' 10.469s'], ,[' 491549  '],"[' 251834   (Analyzed', ' 249821)']","[' 743      (Average', ' 336.23 Last', ' 729)']",[' 601.7   '],"[' 181      (Average Length', ' 86.61 Splits', ' 0)']","[' 249821   (Deleted', ' 238158)']","[' 81       (Ratio', '   0.03%)']","[' 760      (Ratio', '   0.30%)']","[' 249821   (Average Length', '    8.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 249821   (Average', '  1.59 Max', ' 772 Sum', ' 397578)']","[' 249706   (Average', '  1.58 Max', ' 772 Sum', ' 395247 Ratio', '  99.41%)']","[' 115      (Average', ' 20.27 Max', ' 130 Sum', '   2331 Ratio', '   0.59%)']", ,[' 29909   '],[' 1359    '],[' 29632   '],[' 15598   '],"[' 46790    (Atom=Atom', ' 14687 Body=Body', ' 8304 Other', ' 23799)']",[' Yes'],"[' 1532     (Eliminated', '    0 Frozen', ' 1532)']","[' 27       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.132498'],[' 0'], ,[' 8.08197'],[' 0'],[' 0.155716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.28159e+06'],[' 1.64491e+06'],[' 0'],[' 1.35629e+09'],[' 0'],[' 0'],[' 413 '],[' 777 '],[' 1059 '],[' 1609 '],[' 1838 '],[' 2348 '],[' 2587 ']
Solving...,TA32, , ,[' 407'],[' 211'],"[' 2.467s (Solving', ' 1.71s 1st Model', ' 0.18s Unsat', ' 0.87s)']",[' 2.438s'], ,[' 287654  '],"[' 51063    (Analyzed', ' 47857)']","[' 240      (Average', ' 199.40 Last', ' 1617)']",[' 708.6   '],"[' 211      (Average Length', ' 101.17 Splits', ' 0)']","[' 47857    (Deleted', ' 39886)']","[' 58       (Ratio', '   0.12%)']","[' 571      (Ratio', '   1.19%)']","[' 47857    (Average Length', '    7.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 47857    (Average', '  3.35 Max', ' 820 Sum', ' 160241)']","[' 47781    (Average', '  3.33 Max', ' 820 Sum', ' 159452 Ratio', '  99.51%)']","[' 76       (Average', ' 10.38 Max', ' 116 Sum', '    789 Ratio', '   0.49%)']", ,[' 30736   '],[' 1418    '],[' 30488   '],[' 16323   '],"[' 48965    (Atom=Atom', ' 15353 Body=Body', ' 8363 Other', ' 25249)']",[' Yes'],"[' 1620     (Eliminated', '    0 Frozen', ' 1620)']","[' 22       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.167399'],[' 0'], ,[' 0.908516'],[' 0'],[' 0.0265687'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.93558e+06'],[' 1.72941e+06'],[' 0'],[' 9.41035e+07'],[' 0'],[' 0'],[' 404 '],[' 867 '],[' 1318 '],[' 1676 '],[' 2001 '],[' 2423 '],[' 2816 ']
Solving...,TA33, , ,[' 339'],[' 177'],"[' 1.357s (Solving', ' 0.83s 1st Model', ' 0.11s Unsat', ' 0.25s)']",[' 1.328s'], ,[' 200938  '],"[' 20427    (Analyzed', ' 18960)']","[' 96       (Average', ' 197.50 Last', ' 355)']",[' 583.8   '],"[' 177      (Average Length', ' 83.96 Splits', ' 0)']","[' 18960    (Deleted', ' 10798)']","[' 45       (Ratio', '   0.24%)']","[' 384      (Ratio', '   2.03%)']","[' 18960    (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18960    (Average', '  6.07 Max', ' 855 Sum', ' 115009)']","[' 18897    (Average', '  6.02 Max', ' 855 Sum', ' 114172 Ratio', '  99.27%)']","[' 63       (Average', ' 13.29 Max', '  77 Sum', '    837 Ratio', '   0.73%)']", ,[' 30050   '],[' 1372    '],[' 29767   '],[' 15843   '],"[' 47525    (Atom=Atom', ' 14919 Body=Body', ' 8317 Other', ' 24289)']",[' Yes'],"[' 1539     (Eliminated', '    0 Frozen', ' 1539)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.119156'],[' 0'], ,[' 0.32261'],[' 0'],[' 0.0116331'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24801e+06'],[' 1.13329e+06'],[' 0'],[' 2.48397e+07'],[' 0'],[' 0'],[' 464 '],[' 798 '],[' 1135 '],[' 1560 '],[' 1878 '],[' 2319 '],[' 2646 ']
Solving...,TA34, , ,[' 319'],[' 167'],"[' 1.464s (Solving', ' 0.97s 1st Model', ' 0.12s Unsat', ' 0.26s)']",[' 1.438s'], ,[' 206640  '],"[' 14630    (Analyzed', ' 12764)']","[' 87       (Average', ' 146.71 Last', ' 76)']",[' 660.4   '],"[' 167      (Average Length', ' 79.20 Splits', ' 0)']","[' 12764    (Deleted', ' 6006)']","[' 57       (Ratio', '   0.45%)']","[' 463      (Ratio', '   3.63%)']","[' 12764    (Average Length', '    6.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12764    (Average', '  8.91 Max', ' 818 Sum', ' 113690)']","[' 12675    (Average', '  8.75 Max', ' 818 Sum', ' 111653 Ratio', '  98.21%)']","[' 89       (Average', ' 22.89 Max', ' 117 Sum', '   2037 Ratio', '   1.79%)']", ,[' 29741   '],[' 1367    '],[' 29450   '],[' 15696   '],"[' 47084    (Atom=Atom', ' 14777 Body=Body', ' 8312 Other', ' 23995)']",[' Yes'],"[' 1526     (Eliminated', '    0 Frozen', ' 1526)']","[' 32       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.130972'],[' 0'], ,[' 0.413667'],[' 0'],[' 0.0135422'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51181e+06'],[' 1.40689e+06'],[' 0'],[' 3.74984e+07'],[' 0'],[' 0'],[' 471 '],[' 872 '],[' 1342 '],[' 1548 '],[' 1958 '],[' 2271 '],[' 2724 ']
Solving...,TA35, , ,[' 321'],[' 168'],"[' 3.869s (Solving', ' 3.37s 1st Model', ' 0.12s Unsat', ' 2.78s)']",[' 3.891s'], ,[' 316441  '],"[' 102943   (Analyzed', ' 99064)']","[' 439      (Average', ' 225.66 Last', ' 611)']",[' 569.8   '],"[' 168      (Average Length', ' 80.35 Splits', ' 0)']","[' 99064    (Deleted', ' 89251)']","[' 77       (Ratio', '   0.08%)']","[' 885      (Ratio', '   0.89%)']","[' 99064    (Average Length', '    8.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 99064    (Average', '  2.34 Max', ' 773 Sum', ' 232119)']","[' 98968    (Average', '  2.33 Max', ' 773 Sum', ' 231305 Ratio', '  99.65%)']","[' 96       (Average', '  8.48 Max', ' 144 Sum', '    814 Ratio', '   0.35%)']", ,[' 29795   '],[' 1374    '],[' 29505   '],[' 15758   '],"[' 47270    (Atom=Atom', ' 14832 Body=Body', ' 8319 Other', ' 24119)']",[' Yes'],"[' 1534     (Eliminated', '    0 Frozen', ' 1534)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.117441'],[' 0'], ,[' 2.40298'],[' 0'],[' 0.0486189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6258e+06'],[' 1.32067e+06'],[' 0'],[' 3.68115e+08'],[' 0'],[' 0'],[' 357 '],[' 694 '],[' 1185 '],[' 1509 '],[' 1811 '],[' 2199 '],[' 2687 ']
Solving...,TA36, , ,[' 369'],[' 192'],"[' 1.732s (Solving', ' 1.29s 1st Model', ' 0.14s Unsat', ' 0.45s)']",[' 1.688s'], ,[' 200230  '],"[' 19515    (Analyzed', ' 17414)']","[' 103      (Average', ' 169.07 Last', ' 371)']",[' 627.6   '],"[' 192      (Average Length', ' 91.93 Splits', ' 0)']","[' 17414    (Deleted', ' 11295)']","[' 48       (Ratio', '   0.28%)']","[' 406      (Ratio', '   2.33%)']","[' 17414    (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17414    (Average', '  5.84 Max', ' 815 Sum', ' 101714)']","[' 17327    (Average', '  5.67 Max', ' 815 Sum', '  98735 Ratio', '  97.07%)']","[' 87       (Average', ' 34.24 Max', ' 145 Sum', '   2979 Ratio', '   2.93%)']", ,[' 29788   '],[' 1364    '],[' 29521   '],[' 15610   '],"[' 46826    (Atom=Atom', ' 14694 Body=Body', ' 8309 Other', ' 23823)']",[' Yes'],"[' 1547     (Eliminated', '    0 Frozen', ' 1547)']","[' 25       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.131812'],[' 0'], ,[' 0.557913'],[' 0'],[' 0.0156616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49326e+06'],[' 1.37185e+06'],[' 0'],[' 6.5574e+07'],[' 0'],[' 0'],[' 455 '],[' 812 '],[' 1110 '],[' 1399 '],[' 1838 '],[' 2308 '],[' 2647 ']
Solving...,TA37, , ,[' 451'],[' 233'],"[' 10.630s (Solving', ' 10.13s 1st Model', ' 0.13s Unsat', ' 0.24s)']",[' 10.641s'], ,[' 508231  '],"[' 240067   (Analyzed', ' 238011)']","[' 732      (Average', ' 325.15 Last', ' 1492)']",[' 590.9   '],"[' 233      (Average Length', ' 110.32 Splits', ' 0)']","[' 238011   (Deleted', ' 227648)']","[' 38       (Ratio', '   0.02%)']","[' 521      (Ratio', '   0.22%)']","[' 238011   (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 238011   (Average', '  1.65 Max', ' 786 Sum', ' 392548)']","[' 237943   (Average', '  1.64 Max', ' 786 Sum', ' 390896 Ratio', '  99.58%)']","[' 68       (Average', ' 24.29 Max', ' 171 Sum', '   1652 Ratio', '   0.42%)']", ,[' 29554   '],[' 1348    '],[' 29323   '],[' 15349   '],"[' 46043    (Atom=Atom', ' 14449 Body=Body', ' 8293 Other', ' 23301)']",[' Yes'],"[' 1567     (Eliminated', '    0 Frozen', ' 1567)']","[' 49       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.147904'],[' 0'], ,[' 8.08387'],[' 0'],[' 0.154937'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.42393e+06'],[' 1.78552e+06'],[' 0'],[' 1.3534e+09'],[' 0'],[' 0'],[' 370 '],[' 624 '],[' 1058 '],[' 1395 '],[' 1684 '],[' 2180 '],[' 2555 ']
Solving...,TA38, , ,[' 371'],[' 193'],"[' 1.442s (Solving', ' 0.92s 1st Model', ' 0.19s Unsat', ' 0.18s)']",[' 1.406s'], ,[' 208391  '],"[' 16368    (Analyzed', ' 12163)']","[' 105      (Average', ' 115.84 Last', ' 1095)']",[' 651.5   '],"[' 193      (Average Length', ' 91.15 Splits', ' 0)']","[' 12163    (Deleted', ' 4073)']","[' 56       (Ratio', '   0.46%)']","[' 410      (Ratio', '   3.37%)']","[' 12163    (Average Length', '    6.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12163    (Average', '  8.32 Max', ' 848 Sum', ' 101253)']","[' 12083    (Average', '  8.20 Max', ' 848 Sum', '  99766 Ratio', '  98.53%)']","[' 80       (Average', ' 18.59 Max', ' 138 Sum', '   1487 Ratio', '   1.47%)']", ,[' 29653   '],[' 1376    '],[' 29384   '],[' 15793   '],"[' 47375    (Atom=Atom', ' 14865 Body=Body', ' 8321 Other', ' 24189)']",[' Yes'],"[' 1557     (Eliminated', '    0 Frozen', ' 1557)']","[' 20       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.133689'],[' 0'], ,[' 0.336879'],[' 0'],[' 0.0120515'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50393e+06'],[' 1.38964e+06'],[' 0'],[' 2.38051e+07'],[' 0'],[' 0'],[' 511 '],[' 898 '],[' 1202 '],[' 1613 '],[' 1913 '],[' 2322 '],[' 2627 ']
Solving...,TA39, , ,[' 395'],[' 205'],"[' 11.061s (Solving', ' 10.55s 1st Model', ' 0.17s Unsat', ' 0.47s)']",[' 11.000s'], ,[' 1537811 '],"[' 1128457  (Analyzed', ' 1057200)']","[' 2560     (Average', ' 412.97 Last', ' 410)']",[' 629.1   '],"[' 205      (Average Length', ' 98.86 Splits', ' 0)']","[' 1057200  (Deleted', ' 1034629)']","[' 45       (Ratio', '   0.00%)']","[' 639      (Ratio', '   0.06%)']","[' 1057200  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1057200  (Average', '  1.26 Max', ' 236 Sum', ' 1332361)']","[' 1057159  (Average', '  1.26 Max', ' 236 Sum', ' 1332184 Ratio', '  99.99%)']","[' 41       (Average', '  4.32 Max', '  91 Sum', '    177 Ratio', '   0.01%)']", ,[' 30607   '],[' 1403    '],[' 30352   '],[' 16464   '],"[' 49388    (Atom=Atom', ' 15509 Body=Body', ' 8348 Other', ' 25531)']",[' Yes'],"[' 1598     (Eliminated', '    0 Frozen', ' 1598)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.127003'],[' 0'], ,[' 4.99741'],[' 0'],[' 0.162912'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.13965e+06'],[' 2.63907e+06'],[' 0'],[' 3.54139e+08'],[' 0'],[' 0'],[' 565 '],[' 913 '],[' 1357 '],[' 1813 '],[' 2077 '],[' 2277 '],[' 2570 ']
Solving...,TA40, , ,[' 423'],[' 219'],"[' 3.084s (Solving', ' 2.42s 1st Model', ' 0.22s Unsat', ' 1.51s)']",[' 3.063s'], ,[' 264931  '],"[' 46517    (Analyzed', ' 43885)']","[' 179      (Average', ' 245.17 Last', ' 3642)']",[' 643.0   '],"[' 219      (Average Length', ' 104.59 Splits', ' 0)']","[' 43885    (Deleted', ' 34483)']","[' 65       (Ratio', '   0.15%)']","[' 513      (Ratio', '   1.17%)']","[' 43885    (Average Length', '    7.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 43885    (Average', '  3.42 Max', ' 798 Sum', ' 149936)']","[' 43788    (Average', '  3.36 Max', ' 798 Sum', ' 147337 Ratio', '  98.27%)']","[' 97       (Average', ' 26.79 Max', ' 150 Sum', '   2599 Ratio', '   1.73%)']", ,[' 29600   '],[' 1360    '],[' 29360   '],[' 15643   '],"[' 46925    (Atom=Atom', ' 14731 Body=Body', ' 8305 Other', ' 23889)']",[' Yes'],"[' 1570     (Eliminated', '    0 Frozen', ' 1570)']","[' 15       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.170814'],[' 0'], ,[' 1.50669'],[' 0'],[' 0.0348854'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.82631e+06'],[' 1.63177e+06'],[' 0'],[' 2.10155e+08'],[' 0'],[' 0'],[' 443 '],[' 655 '],[' 1037 '],[' 1452 '],[' 1703 '],[' 2210 '],[' 2507 ']
