Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 1847+'],[' 928'],"[' 1001.246s (Solving', ' 997.25s 1st Model', ' 3.61s Unsat', ' 0.00s)']",[' 1000.047s'], ,[' 141226508'],"[' 35755410 (Analyzed', ' 35637383)']","[' 58288    (Average', ' 611.40 Last', ' 59981)']",[' 2488.1  '],"[' 928      (Average Length', ' 537.78 Splits', ' 0)']","[' 35637383 (Deleted', ' 35360787)']","[' 74       (Ratio', '   0.00%)']","[' 12412    (Ratio', '   0.03%)']","[' 35637383 (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35637383 (Average', '  3.88 Max', ' 3406 Sum', ' 138250904)']","[' 35636723 (Average', '  3.87 Max', ' 3112 Sum', ' 137837159 Ratio', '  99.70%)']","[' 660      (Average', ' 626.89 Max', ' 699 Sum', ' 413745 Ratio', '   0.30%)']", ,[' 81099   '],[' 4630    '],[' 74466   '],[' 31961   '],"[' 89682    (Atom=Atom', ' 24154 Body=Body', ' 16003 Other', ' 49525)']",[' Yes'],"[' 5870     (Eliminated', '    0 Frozen', ' 5870)']","[' 2087     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.866594'],[' 0'], ,[' 694.472'],[' 0'],[' 19.5872'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.22177e+08'],[' 2.06454e+08'],[' 0'],[' 4.46223e+10'],[' 0'],[' 0'],[' 1042 '],[' 2056 '],[' 2690 '],[' 3657 '],[' 4 '],[' 0 ']
Solving...,TA52, , , , ,[' 1'],[' 2033+'],[' 1021'],"[' 1001.346s (Solving', ' 996.82s 1st Model', ' 4.69s Unsat', ' 0.00s)']",[' 999.656s'], ,[' 157546621'],"[' 38187584 (Analyzed', ' 37985867)']","[' 64393    (Average', ' 589.91 Last', ' 133981)']",[' 2626.0  '],"[' 1021     (Average Length', ' 587.62 Splits', ' 0)']","[' 37985867 (Deleted', ' 37693751)']","[' 65       (Ratio', '   0.00%)']","[' 13488    (Ratio', '   0.04%)']","[' 37985867 (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37985867 (Average', '  4.06 Max', ' 2971 Sum', ' 154073708)']","[' 37985225 (Average', '  4.05 Max', ' 2971 Sum', ' 153667757 Ratio', '  99.74%)']","[' 642      (Average', ' 632.32 Max', ' 745 Sum', ' 405951 Ratio', '   0.26%)']", ,[' 81675   '],[' 4679    '],[' 75074   '],[' 32283   '],"[' 90809    (Atom=Atom', ' 24443 Body=Body', ' 16150 Other', ' 50216)']",[' Yes'],"[' 6000     (Eliminated', '    0 Frozen', ' 6000)']","[' 2502     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00058'],[' 0'], ,[' 679.351'],[' 0'],[' 19.6732'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.42556e+08'],[' 2.24134e+08'],[' 0'],[' 4.35999e+10'],[' 0'],[' 0'],[' 1229 '],[' 1943 '],[' 2867 '],[' 3542 '],[' 4 '],[' 0 ']
Solving...,TA53, , , , ,[' 1'],[' 2255+'],[' 1132'],"[' 1001.410s (Solving', ' 996.75s 1st Model', ' 4.72s Unsat', ' 0.00s)']",[' 998.922s'], ,[' 129124664'],"[' 36229785 (Analyzed', ' 36111533)']","[' 62586    (Average', ' 576.99 Last', ' 63860)']",[' 2498.5  '],"[' 1132     (Average Length', ' 629.52 Splits', ' 0)']","[' 36111533 (Deleted', ' 35821599)']","[' 77       (Ratio', '   0.00%)']","[' 11549    (Ratio', '   0.03%)']","[' 36111533 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36111533 (Average', '  3.49 Max', ' 3157 Sum', ' 125946982)']","[' 36110968 (Average', '  3.48 Max', ' 2955 Sum', ' 125534475 Ratio', '  99.67%)']","[' 565      (Average', ' 730.10 Max', ' 825 Sum', ' 412507 Ratio', '   0.33%)']", ,[' 81016   '],[' 4537    '],[' 74512   '],[' 31882   '],"[' 88858    (Atom=Atom', ' 23986 Body=Body', ' 15724 Other', ' 49148)']",[' Yes'],"[' 5970     (Eliminated', '    0 Frozen', ' 5970)']","[' 1980     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03359'],[' 0'], ,[' 687.777'],[' 0'],[' 19.857'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.22933e+08'],[' 2.10251e+08'],[' 0'],[' 4.44076e+10'],[' 0'],[' 0'],[' 942 '],[' 1675 '],[' 2560 '],[' 3277 '],[' 4 '],[' 0 ']
Solving...,TA54, , , , ,[' 1'],[' 1953+'],[' 981'],"[' 1001.293s (Solving', ' 996.87s 1st Model', ' 4.35s Unsat', ' 0.00s)']",[' 999.859s'], ,[' 120739823'],"[' 36449090 (Analyzed', ' 36239608)']","[' 63045    (Average', ' 574.82 Last', ' 113818)']",[' 2687.9  '],"[' 981      (Average Length', ' 572.78 Splits', ' 0)']","[' 36239608 (Deleted', ' 35909187)']","[' 59       (Ratio', '   0.00%)']","[' 11615    (Ratio', '   0.03%)']","[' 36239608 (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36239608 (Average', '  3.24 Max', ' 3030 Sum', ' 117399954)']","[' 36239012 (Average', '  3.23 Max', ' 3030 Sum', ' 117055280 Ratio', '  99.71%)']","[' 596      (Average', ' 578.31 Max', ' 693 Sum', ' 344674 Ratio', '   0.29%)']", ,[' 80569   '],[' 4599    '],[' 74139   '],[' 31668   '],"[' 89305    (Atom=Atom', ' 24083 Body=Body', ' 15910 Other', ' 49312)']",[' Yes'],"[' 5879     (Eliminated', '    0 Frozen', ' 5879)']","[' 2179     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.982918'],[' 0'], ,[' 677.104'],[' 0'],[' 18.8569'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.89919e+08'],[' 1.82057e+08'],[' 0'],[' 4.43094e+10'],[' 0'],[' 0'],[' 1166 '],[' 1847 '],[' 2711 '],[' 3353 '],[' 4 '],[' 0 ']
Solving...,TA55, , , , ,[' 1'],[' 2095+'],[' 1052'],"[' 1001.341s (Solving', ' 996.98s 1st Model', ' 4.65s Unsat', ' 0.00s)']",[' 1000.203s'], ,[' 134265384'],"[' 37105556 (Analyzed', ' 36997939)']","[' 61967    (Average', ' 597.06 Last', ' 136673)']",[' 2456.2  '],"[' 1052     (Average Length', ' 588.05 Splits', ' 0)']","[' 36997939 (Deleted', ' 36675332)']","[' 68       (Ratio', '   0.00%)']","[' 13130    (Ratio', '   0.04%)']","[' 36997939 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36997939 (Average', '  3.55 Max', ' 3669 Sum', ' 131240350)']","[' 36997268 (Average', '  3.53 Max', ' 2878 Sum', ' 130766845 Ratio', '  99.64%)']","[' 671      (Average', ' 705.67 Max', ' 791 Sum', ' 473505 Ratio', '   0.36%)']", ,[' 81671   '],[' 4672    '],[' 74859   '],[' 32558   '],"[' 90805    (Atom=Atom', ' 24446 Body=Body', ' 16129 Other', ' 50230)']",[' Yes'],"[' 6023     (Eliminated', '    0 Frozen', ' 6023)']","[' 2230     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.957377'],[' 0'], ,[' 691.965'],[' 0'],[' 19.6472'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.03683e+08'],[' 1.91317e+08'],[' 0'],[' 4.54111e+10'],[' 0'],[' 0'],[' 905 '],[' 2048 '],[' 2706 '],[' 3481 '],[' 4 '],[' 0 ']
Solving...,TA56, , , , ,[' 1'],[' 2193+'],[' 1101'],"[' 1001.399s (Solving', ' 996.62s 1st Model', ' 11.91s Unsat', ' 0.00s)']",[' 999.734s'], ,[' 125869830'],"[' 35449092 (Analyzed', ' 35314041)']","[' 62788    (Average', ' 562.43 Last', ' 102762)']",[' 2670.6  '],"[' 1101     (Average Length', ' 603.48 Splits', ' 0)']","[' 35314041 (Deleted', ' 34958000)']","[' 95       (Ratio', '   0.00%)']","[' 11051    (Ratio', '   0.03%)']","[' 35314041 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35314041 (Average', '  3.47 Max', ' 3335 Sum', ' 122645068)']","[' 35313337 (Average', '  3.46 Max', ' 3070 Sum', ' 122179519 Ratio', '  99.62%)']","[' 704      (Average', ' 661.29 Max', ' 743 Sum', ' 465549 Ratio', '   0.38%)']", ,[' 80660   '],[' 4519    '],[' 74097   '],[' 31738   '],"[' 88506    (Atom=Atom', ' 23883 Body=Body', ' 15670 Other', ' 48953)']",[' Yes'],"[' 5899     (Eliminated', '    0 Frozen', ' 5899)']","[' 1419     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.06773'],[' 0'], ,[' 703.752'],[' 0'],[' 21.3882'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.79628e+08'],[' 1.75779e+08'],[' 0'],[' 4.33219e+10'],[' 0'],[' 0'],[' 1078 '],[' 2024 '],[' 2844 '],[' 3309 '],[' 4 '],[' 0 ']
Solving...,TA57, , , , ,[' 1'],[' 1677+'],[' 843'],"[' 758.355s (Solving', ' 752.99s 1st Model', ' 5.08s Unsat', ' 0.00s)']",[' 720.641s'], ,[' 72912201'],"[' 22196125 (Analyzed', ' 22084832)']","[' 37757    (Average', ' 584.92 Last', ' 3532)']",[' 2429.3  '],"[' 842      (Average Length', ' 487.71 Splits', ' 0)']","[' 22084832 (Deleted', ' 21852775)']","[' 36       (Ratio', '   0.00%)']","[' 7857     (Ratio', '   0.04%)']","[' 22084832 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22084832 (Average', '  3.21 Max', ' 3116 Sum', ' 70882171)']","[' 22084083 (Average', '  3.19 Max', ' 3116 Sum', ' 70430746 Ratio', '  99.36%)']","[' 749      (Average', ' 602.70 Max', ' 677 Sum', ' 451425 Ratio', '   0.64%)']", ,[' 81086   '],[' 4594    '],[' 74131   '],[' 32001   '],"[' 88943    (Atom=Atom', ' 23925 Body=Body', ' 15895 Other', ' 49123)']",[' Yes'],"[' 5761     (Eliminated', '    0 Frozen', ' 5761)']","[' 1224     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08593'],[' 0'], ,[' 507.921'],[' 0'],[' 14.4406'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72288e+08'],[' 1.05296e+08'],[' 0'],[' 2.05631e+10'],[' 0'],[' 0'],[' 984 '],[' 2050 '],[' 3637 '],[' 3701 '],[' 4 '],[' 0 ']
Solving...,TA58, , , , ,[' 1'],[' 2127+'],[' 1068'],"[' 1002.737s (Solving', ' 994.64s 1st Model', ' 9.02s Unsat', ' 0.00s)']",[' 942.984s'], ,[' 92832917'],"[' 20731910 (Analyzed', ' 20604087)']","[' 36752    (Average', ' 560.62 Last', ' 20502)']",[' 2522.9  '],"[' 1068     (Average Length', ' 590.32 Splits', ' 0)']","[' 20604087 (Deleted', ' 20406305)']","[' 79       (Ratio', '   0.00%)']","[' 12435    (Ratio', '   0.06%)']","[' 20604087 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20604087 (Average', '  4.38 Max', ' 3507 Sum', ' 90186805)']","[' 20603502 (Average', '  4.36 Max', ' 3109 Sum', ' 89787228 Ratio', '  99.56%)']","[' 585      (Average', ' 683.04 Max', ' 763 Sum', ' 399577 Ratio', '   0.44%)']", ,[' 81764   '],[' 4654    '],[' 75060   '],[' 32438   '],"[' 90454    (Atom=Atom', ' 24390 Body=Body', ' 16075 Other', ' 49989)']",[' Yes'],"[' 6007     (Eliminated', '    0 Frozen', ' 6007)']","[' 1996     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.69379'],[' 0'], ,[' 657.899'],[' 0'],[' 17.7852'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.07411e+08'],[' 1.38225e+08'],[' 0'],[' 2.59609e+10'],[' 0'],[' 0'],[' 950 '],[' 1898 '],[' 2781 '],[' 3507 '],[' 4 '],[' 0 ']
Solving...,TA59, , , , ,[' 1'],[' 2263+'],[' 1136'],"[' 1001.352s (Solving', ' 996.76s 1st Model', ' 4.26s Unsat', ' 0.00s)']",[' 999.797s'], ,[' 122960641'],"[' 35089427 (Analyzed', ' 34936670)']","[' 59107    (Average', ' 591.07 Last', ' 4775)']",[' 2502.3  '],"[' 1136     (Average Length', ' 644.97 Splits', ' 0)']","[' 34936670 (Deleted', ' 34643211)']","[' 68       (Ratio', '   0.00%)']","[' 10130    (Ratio', '   0.03%)']","[' 34936670 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34936670 (Average', '  3.43 Max', ' 3637 Sum', ' 119900158)']","[' 34936049 (Average', '  3.42 Max', ' 3017 Sum', ' 119419738 Ratio', '  99.60%)']","[' 621      (Average', ' 773.62 Max', ' 907 Sum', ' 480420 Ratio', '   0.40%)']", ,[' 81041   '],[' 4521    '],[' 74432   '],[' 31899   '],"[' 88649    (Atom=Atom', ' 23926 Body=Body', ' 15676 Other', ' 49047)']",[' Yes'],"[' 5955     (Eliminated', '    0 Frozen', ' 5955)']","[' 1660     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.01504'],[' 0'], ,[' 699.293'],[' 0'],[' 20.0769'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.95741e+08'],[' 1.89742e+08'],[' 0'],[' 4.3076e+10'],[' 0'],[' 0'],[' 885 '],[' 1775 '],[' 2513 '],[' 3505 '],[' 4 '],[' 0 ']
Solving...,TA60, , , , ,[' 1'],[' 2379+'],[' 1194'],"[' 1001.471s (Solving', ' 996.39s 1st Model', ' 6.27s Unsat', ' 0.00s)']",[' 1000.156s'], ,[' 146779643'],"[' 34283905 (Analyzed', ' 34152564)']","[' 56740    (Average', ' 601.91 Last', ' 441379)']",[' 2667.5  '],"[' 1194     (Average Length', ' 654.28 Splits', ' 0)']","[' 34152564 (Deleted', ' 33840552)']","[' 104      (Ratio', '   0.00%)']","[' 12673    (Ratio', '   0.04%)']","[' 34152564 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34152564 (Average', '  4.20 Max', ' 3515 Sum', ' 143342745)']","[' 34152002 (Average', '  4.19 Max', ' 3067 Sum', ' 142930895 Ratio', '  99.71%)']","[' 562      (Average', ' 732.83 Max', ' 842 Sum', ' 411850 Ratio', '   0.29%)']", ,[' 81326   '],[' 4560    '],[' 74734   '],[' 32151   '],"[' 89416    (Atom=Atom', ' 24140 Body=Body', ' 15793 Other', ' 49483)']",[' Yes'],"[' 6039     (Eliminated', '    0 Frozen', ' 6039)']","[' 1860     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12725'],[' 0'], ,[' 682.644'],[' 0'],[' 21.307'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.62228e+08'],[' 2.42466e+08'],[' 0'],[' 4.38469e+10'],[' 0'],[' 0'],[' 937 '],[' 1871 '],[' 2675 '],[' 3197 '],[' 4 '],[' 0 ']
