Optimal Found Or Timeout,Instances,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 861,Completion Time for Window 2 is 1693,Completion Time for Window 3 is 2425,Completion Time for Window 4 is 3247,Completion Time for Window 5 is 4129
CPU Time     ,TA61,[' 29478593'],"[' 9557556  (Analyzed', ' 9420687)']","[' 19627    (Average', ' 479.99 Last', ' 151772)']",[' 2840.5  '],"[' 1267     (Average Length', ' 601.09 Splits', ' 0)']","[' 9420687  (Deleted', ' 9288354)']","[' 23       (Ratio', '   0.00%)']","[' 5206     (Ratio', '   0.06%)']","[' 9420687  (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9420687  (Average', '  2.81 Max', ' 3679 Sum', ' 26443654)']","[' 9420098  (Average', '  2.77 Max', ' 3679 Sum', ' 26129185 Ratio', '  98.81%)']","[' 589      (Average', ' 533.90 Max', ' 935 Sum', ' 314469 Ratio', '   1.19%)']", ,[' 104829  '],[' 5824    '],[' 105005  '],[' 58892   '],"[' 176672   (Atom=Atom', ' 54066 Body=Body', ' 31274 Other', ' 91332)']",[' Yes'],"[' 7000     (Eliminated', '    0 Frozen', ' 7000)']","[' 987      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.66105'],[' 0'], ,[' 255.39'],[' 0'],[' 4.34846'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.10699e+07'],[' 6.47667e+07'],[' 0'],[' 3.01576e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA62,[' 35045696'],"[' 6528850  (Analyzed', ' 6408527)']","[' 13408    (Average', ' 477.96 Last', ' 51000)']",[' 2835.2  '],"[' 1328     (Average Length', ' 620.34 Splits', ' 0)']","[' 6408527  (Deleted', ' 6305228)']","[' 56       (Ratio', '   0.00%)']","[' 9629     (Ratio', '   0.15%)']","[' 6408527  (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6408527  (Average', '  5.01 Max', ' 3383 Sum', ' 32082938)']","[' 6407839  (Average', '  4.95 Max', ' 3383 Sum', ' 31703951 Ratio', '  98.82%)']","[' 688      (Average', ' 550.85 Max', ' 902 Sum', ' 378987 Ratio', '   1.18%)']", ,[' 106016  '],[' 5950    '],[' 106226  '],[' 59779   '],"[' 179333   (Atom=Atom', ' 54827 Body=Body', ' 31400 Other', ' 93106)']",[' Yes'],"[' 7160     (Eliminated', '    0 Frozen', ' 7160)']","[' 1582     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.98675'],[' 0'], ,[' 258.364'],[' 0'],[' 4.88642'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13319e+08'],[' 8.92922e+07'],[' 0'],[' 2.92462e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA63,[' 26169335'],"[' 7699621  (Analyzed', ' 7540038)']","[' 16063    (Average', ' 469.40 Last', ' 24918)']",[' 2865.6  '],"[' 1169     (Average Length', ' 553.91 Splits', ' 0)']","[' 7540038  (Deleted', ' 7432813)']","[' 18       (Ratio', '   0.00%)']","[' 5004     (Ratio', '   0.07%)']","[' 7540038  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7540038  (Average', '  3.09 Max', ' 3668 Sum', ' 23305817)']","[' 7539319  (Average', '  3.05 Max', ' 3668 Sum', ' 22991768 Ratio', '  98.65%)']","[' 719      (Average', ' 436.79 Max', ' 841 Sum', ' 314049 Ratio', '   1.35%)']", ,[' 104912  '],[' 5931    '],[' 105002  '],[' 58985   '],"[' 176951   (Atom=Atom', ' 54052 Body=Body', ' 31381 Other', ' 91518)']",[' Yes'],"[' 7021     (Eliminated', '    0 Frozen', ' 7021)']","[' 841      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.85217'],[' 0'], ,[' 255.281'],[' 0'],[' 4.57711'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.98332e+07'],[' 5.81746e+07'],[' 0'],[' 2.7592e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA64,[' 21671999'],"[' 6113760  (Analyzed', ' 5941091)']","[' 12704    (Average', ' 467.66 Last', ' 53331)']",[' 2863.0  '],"[' 1336     (Average Length', ' 630.83 Splits', ' 0)']","[' 5941091  (Deleted', ' 5849393)']","[' 20       (Ratio', '   0.00%)']","[' 4814     (Ratio', '   0.08%)']","[' 5941091  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5941091  (Average', '  3.15 Max', ' 3504 Sum', ' 18721207)']","[' 5940294  (Average', '  3.08 Max', ' 3504 Sum', ' 18276812 Ratio', '  97.63%)']","[' 797      (Average', ' 557.58 Max', ' 944 Sum', ' 444395 Ratio', '   2.37%)']", ,[' 105050  '],[' 5890    '],[' 105275  '],[' 58869   '],"[' 176603   (Atom=Atom', ' 53977 Body=Body', ' 31340 Other', ' 91286)']",[' Yes'],"[' 7115     (Eliminated', '    0 Frozen', ' 7115)']","[' 969      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.03097'],[' 0'], ,[' 264.29'],[' 0'],[' 4.40661'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.33407e+07'],[' 5.51152e+07'],[' 0'],[' 2.92781e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA65,[' 20919385'],"[' 7130640  (Analyzed', ' 6928559)']","[' 15377    (Average', ' 450.58 Last', ' 19514)']",[' 2795.7  '],"[' 1217     (Average Length', ' 576.46 Splits', ' 0)']","[' 6928559  (Deleted', ' 6814377)']","[' 15       (Ratio', '   0.00%)']","[' 3742     (Ratio', '   0.05%)']","[' 6928559  (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6928559  (Average', '  2.60 Max', ' 3877 Sum', ' 18032964)']","[' 6928039  (Average', '  2.56 Max', ' 3877 Sum', ' 17767069 Ratio', '  98.53%)']","[' 520      (Average', ' 511.34 Max', ' 926 Sum', ' 265895 Ratio', '   1.47%)']", ,[' 104965  '],[' 5804    '],[' 105086  '],[' 58796   '],"[' 176384   (Atom=Atom', ' 53990 Body=Body', ' 31254 Other', ' 91140)']",[' Yes'],"[' 6925     (Eliminated', '    0 Frozen', ' 6925)']","[' 694      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.70811'],[' 0'], ,[' 259.383'],[' 0'],[' 4.51679'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.68336e+07'],[' 4.81008e+07'],[' 0'],[' 2.88429e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA66,[' 26775389'],"[' 6079107  (Analyzed', ' 5938633)']","[' 12400    (Average', ' 478.92 Last', ' 4511)']",[' 2801.0  '],"[' 1357     (Average Length', ' 632.81 Splits', ' 0)']","[' 5938633  (Deleted', ' 5845590)']","[' 30       (Ratio', '   0.00%)']","[' 6467     (Ratio', '   0.11%)']","[' 5938633  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5938633  (Average', '  4.02 Max', ' 3497 Sum', ' 23864043)']","[' 5937917  (Average', '  3.95 Max', ' 3497 Sum', ' 23437793 Ratio', '  98.21%)']","[' 716      (Average', ' 595.32 Max', ' 977 Sum', ' 426250 Ratio', '   1.79%)']", ,[' 105966  '],[' 5962    '],[' 106217  '],[' 59652   '],"[' 178952   (Atom=Atom', ' 54688 Body=Body', ' 31412 Other', ' 92852)']",[' Yes'],"[' 7213     (Eliminated', '    0 Frozen', ' 7213)']","[' 1270     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.01404'],[' 0'], ,[' 263.077'],[' 0'],[' 4.57782'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.36576e+07'],[' 6.42918e+07'],[' 0'],[' 2.94132e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA67,[' 24668701'],"[' 6466632  (Analyzed', ' 6332219)']","[' 13374    (Average', ' 473.47 Last', ' 9100)']",[' 2860.0  '],"[' 1228     (Average Length', ' 589.93 Splits', ' 0)']","[' 6332219  (Deleted', ' 6230995)']","[' 17       (Ratio', '   0.00%)']","[' 4960     (Ratio', '   0.08%)']","[' 6332219  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6332219  (Average', '  3.47 Max', ' 3512 Sum', ' 21953574)']","[' 6331380  (Average', '  3.39 Max', ' 3512 Sum', ' 21472372 Ratio', '  97.81%)']","[' 839      (Average', ' 573.54 Max', ' 933 Sum', ' 481202 Ratio', '   2.19%)']", ,[' 105144  '],[' 5882    '],[' 105295  '],[' 59185   '],"[' 177551   (Atom=Atom', ' 54301 Body=Body', ' 31332 Other', ' 91918)']",[' Yes'],"[' 7033     (Eliminated', '    0 Frozen', ' 7033)']","[' 975      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.85805'],[' 0'], ,[' 261.667'],[' 0'],[' 4.46952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.67221e+07'],[' 5.69278e+07'],[' 0'],[' 2.92214e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA68,[' 21915021'],"[' 5887553  (Analyzed', ' 5844290)']","[' 12241    (Average', ' 477.44 Last', ' 114252)']",[' 3233.8  '],"[' 1218     (Average Length', ' 594.50 Splits', ' 0)']","[' 5844290  (Deleted', ' 5735390)']","[' 17       (Ratio', '   0.00%)']","[' 3751     (Ratio', '   0.06%)']","[' 5844290  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5844290  (Average', '  3.22 Max', ' 3849 Sum', ' 18821581)']","[' 5843669  (Average', '  3.16 Max', ' 3849 Sum', ' 18481383 Ratio', '  98.19%)']","[' 621      (Average', ' 547.82 Max', ' 869 Sum', ' 340198 Ratio', '   1.81%)']", ,[' 104965  '],[' 5804    '],[' 105115  '],[' 59052   '],"[' 177152   (Atom=Atom', ' 54246 Body=Body', ' 31254 Other', ' 91652)']",[' Yes'],"[' 6954     (Eliminated', '    0 Frozen', ' 6954)']","[' 489      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.00125'],[' 0'], ,[' 206.105'],[' 0'],[' 3.69234'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.50584e+07'],[' 5.86989e+07'],[' 0'],[' 2.48856e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA69,[' 21766066'],"[' 6435027  (Analyzed', ' 6249210)']","[' 13822    (Average', ' 452.12 Last', ' 11038)']",[' 3110.8  '],"[' 1513     (Average Length', ' 711.70 Splits', ' 0)']","[' 6249210  (Deleted', ' 6144687)']","[' 10       (Ratio', '   0.00%)']","[' 3799     (Ratio', '   0.06%)']","[' 6249210  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6249210  (Average', '  2.90 Max', ' 3730 Sum', ' 18109688)']","[' 6248548  (Average', '  2.83 Max', ' 3730 Sum', ' 17704410 Ratio', '  97.76%)']","[' 662      (Average', ' 612.20 Max', ' 1066 Sum', ' 405278 Ratio', '   2.24%)']", ,[' 105436  '],[' 5814    '],[' 105813  '],[' 59076   '],"[' 177224   (Atom=Atom', ' 54260 Body=Body', ' 31264 Other', ' 91700)']",[' Yes'],"[' 7191     (Eliminated', '    0 Frozen', ' 7191)']","[' 727      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.32958'],[' 0'], ,[' 264.56'],[' 0'],[' 4.55068'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.57628e+07'],[' 5.79237e+07'],[' 0'],[' 2.87759e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA70,[' 27038757'],"[' 6577531  (Analyzed', ' 6462389)']","[' 13830    (Average', ' 467.27 Last', ' 8651)']",[' 2878.2  '],"[' 1218     (Average Length', ' 590.63 Splits', ' 0)']","[' 6462389  (Deleted', ' 6360655)']","[' 32       (Ratio', '   0.00%)']","[' 5927     (Ratio', '   0.09%)']","[' 6462389  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6462389  (Average', '  3.75 Max', ' 3575 Sum', ' 24237034)']","[' 6461736  (Average', '  3.69 Max', ' 3575 Sum', ' 23857253 Ratio', '  98.43%)']","[' 653      (Average', ' 581.59 Max', ' 913 Sum', ' 379781 Ratio', '   1.57%)']", ,[' 105600  '],[' 5905    '],[' 105758  '],[' 59478   '],"[' 178430   (Atom=Atom', ' 54571 Body=Body', ' 31355 Other', ' 92504)']",[' Yes'],"[' 7063     (Eliminated', '    0 Frozen', ' 7063)']","[' 1073     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.86446'],[' 0'], ,[' 260.247'],[' 0'],[' 4.55337'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.5054e+07'],[' 6.37981e+07'],[' 0'],[' 2.83374e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
