Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1803'],[' 908'],"[' 434.345s (Solving', ' 428.70s 1st Model', ' 4.03s Unsat', ' 88.91s)']",[' 428.625s'], ,[' 22436986'],"[' 13273935 (Analyzed', ' 13214622)']","[' 25020    (Average', ' 528.16 Last', ' 2033)']",[' 1880.3  '],"[' 908      (Average Length', ' 420.99 Splits', ' 0)']","[' 13214622 (Deleted', ' 13011462)']","[' 56       (Ratio', '   0.00%)']","[' 2384     (Ratio', '   0.02%)']","[' 13214622 (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13214622 (Average', '  1.57 Max', ' 2424 Sum', ' 20779072)']","[' 13214365 (Average', '  1.57 Max', ' 2424 Sum', ' 20727171 Ratio', '  99.75%)']","[' 257      (Average', ' 201.95 Max', ' 693 Sum', '  51901 Ratio', '   0.25%)']", ,[' 75925   '],[' 3636    '],[' 76003   '],[' 42535   '],"[' 127601   (Atom=Atom', ' 39647 Body=Body', ' 22711 Other', ' 65243)']",[' Yes'],"[' 4464     (Eliminated', '    0 Frozen', ' 4464)']","[' 334      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32861'],[' 0'], ,[' 305.208'],[' 0'],[' 6.07338'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.89416e+07'],[' 3.80712e+07'],[' 0'],[' 2.70637e+10'],[' 0'],[' 0'],[' 620 '],[' 1124 '],[' 1620 '],[' 2197 '],[' 2765 '],[' 3209 '],[' 2 '],[' 4 ']
Solving...,TA52, , ,[' 1723'],[' 868'],"[' 280.932s (Solving', ' 275.35s 1st Model', ' 9.57s Unsat', ' 93.28s)']",[' 276.281s'], ,[' 18244896'],"[' 10184240 (Analyzed', ' 10128439)']","[' 20700    (Average', ' 489.30 Last', ' 63130)']",[' 1924.2  '],"[' 868      (Average Length', ' 417.95 Splits', ' 0)']","[' 10128439 (Deleted', ' 9972705)']","[' 67       (Ratio', '   0.00%)']","[' 2574     (Ratio', '   0.03%)']","[' 10128439 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10128439 (Average', '  1.65 Max', ' 2296 Sum', ' 16675214)']","[' 10128122 (Average', '  1.64 Max', ' 2296 Sum', ' 16620750 Ratio', '  99.67%)']","[' 317      (Average', ' 171.81 Max', ' 932 Sum', '  54464 Ratio', '   0.33%)']", ,[' 76085   '],[' 3654    '],[' 76162   '],[' 42341   '],"[' 127019   (Atom=Atom', ' 39435 Body=Body', ' 22729 Other', ' 64855)']",[' Yes'],"[' 4481     (Eliminated', '    0 Frozen', ' 4481)']","[' 250      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.27201'],[' 0'], ,[' 185.355'],[' 0'],[' 4.18239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.87445e+07'],[' 3.36757e+07'],[' 0'],[' 1.28225e+10'],[' 0'],[' 0'],[' 669 '],[' 1241 '],[' 1727 '],[' 2212 '],[' 2709 '],[' 3184 '],[' 1 '],[' 5 ']
Solving...,TA53, , ,[' 1691'],[' 852'],"[' 22.740s (Solving', ' 17.60s 1st Model', ' 4.18s Unsat', ' 7.17s)']",[' 22.141s'], ,[' 3120069 '],"[' 169411   (Analyzed', ' 108091)']","[' 591      (Average', ' 182.90 Last', ' 2887)']",[' 1964.1  '],"[' 852      (Average Length', ' 405.47 Splits', ' 0)']","[' 108091   (Deleted', ' 99000)']","[' 58       (Ratio', '   0.05%)']","[' 1306     (Ratio', '   1.21%)']","[' 108091   (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 108091   (Average', ' 16.29 Max', ' 2599 Sum', ' 1760436)']","[' 107909   (Average', ' 16.05 Max', ' 2599 Sum', ' 1734774 Ratio', '  98.54%)']","[' 182      (Average', ' 141.00 Max', ' 653 Sum', '  25662 Ratio', '   1.46%)']", ,[' 76752   '],[' 3662    '],[' 76796   '],[' 43327   '],"[' 129977   (Atom=Atom', ' 40413 Body=Body', ' 22737 Other', ' 66827)']",[' Yes'],"[' 4456     (Eliminated', '    0 Frozen', ' 4456)']","[' 46       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.19521'],[' 0'], ,[' 10.2829'],[' 0'],[' 0.305755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5911e+07'],[' 1.48045e+07'],[' 0'],[' 9.00745e+08'],[' 0'],[' 0'],[' 606 '],[' 1129 '],[' 1674 '],[' 2185 '],[' 2707 '],[' 3174 '],[' 0 '],[' 6 ']
Solving...,TA54, , ,[' 1863'],[' 938'],"[' 53.439s (Solving', ' 48.19s 1st Model', ' 4.94s Unsat', ' 36.55s)']",[' 52.891s'], ,[' 7251762 '],"[' 2455203  (Analyzed', ' 2364969)']","[' 5593     (Average', ' 422.84 Last', ' 5258)']",[' 1978.5  '],"[' 938      (Average Length', ' 446.99 Splits', ' 0)']","[' 2364969  (Deleted', ' 2301002)']","[' 98       (Ratio', '   0.00%)']","[' 1520     (Ratio', '   0.06%)']","[' 2364969  (Average Length', '    9.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2364969  (Average', '  2.43 Max', ' 2519 Sum', ' 5741639)']","[' 2364706  (Average', '  2.40 Max', ' 2519 Sum', ' 5677556 Ratio', '  98.88%)']","[' 263      (Average', ' 243.66 Max', ' 708 Sum', '  64083 Ratio', '   1.12%)']", ,[' 76804   '],[' 3644    '],[' 76933   '],[' 43333   '],"[' 129995   (Atom=Atom', ' 40437 Body=Body', ' 22719 Other', ' 66839)']",[' Yes'],"[' 4523     (Eliminated', '    0 Frozen', ' 4523)']","[' 72       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.21855'],[' 0'], ,[' 24.3094'],[' 0'],[' 0.918187'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.72644e+07'],[' 2.12313e+07'],[' 0'],[' 1.35989e+09'],[' 0'],[' 0'],[' 697 '],[' 1202 '],[' 1736 '],[' 2216 '],[' 2684 '],[' 3198 '],[' 0 '],[' 6 ']
Solving...,TA55, , ,[' 2021'],[' 1017'],"[' 257.841s (Solving', ' 252.05s 1st Model', ' 7.65s Unsat', ' 71.52s)']",[' 254.875s'], ,[' 22831701'],"[' 10776109 (Analyzed', ' 10716239)']","[' 19334    (Average', ' 554.27 Last', ' 533323)']",[' 1776.8  '],"[' 1017     (Average Length', ' 477.53 Splits', ' 0)']","[' 10716239 (Deleted', ' 10529577)']","[' 83       (Ratio', '   0.00%)']","[' 3628     (Ratio', '   0.03%)']","[' 10716239 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10716239 (Average', '  1.99 Max', ' 2129 Sum', ' 21316164)']","[' 10715887 (Average', '  1.98 Max', ' 2129 Sum', ' 21194375 Ratio', '  99.43%)']","[' 352      (Average', ' 345.99 Max', ' 778 Sum', ' 121789 Ratio', '   0.57%)']", ,[' 76149   '],[' 3657    '],[' 76332   '],[' 42393   '],"[' 127175   (Atom=Atom', ' 39484 Body=Body', ' 22732 Other', ' 64959)']",[' Yes'],"[' 4590     (Eliminated', '    0 Frozen', ' 4590)']","[' 503      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.29901'],[' 0'], ,[' 152.853'],[' 0'],[' 4.16708'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.65531e+07'],[' 4.7701e+07'],[' 0'],[' 1.15806e+10'],[' 0'],[' 0'],[' 536 '],[' 1054 '],[' 1632 '],[' 2137 '],[' 2650 '],[' 3099 '],[' 1 '],[' 5 ']
Solving...,TA56, , ,[' 1355'],[' 684'],"[' 259.183s (Solving', ' 255.14s 1st Model', ' 2.88s Unsat', ' 82.19s)']",[' 256.766s'], ,[' 9767499 '],"[' 5094163  (Analyzed', ' 5051672)']","[' 11112    (Average', ' 454.61 Last', ' 103597)']",[' 1872.8  '],"[' 684      (Average Length', ' 333.64 Splits', ' 0)']","[' 5051672  (Deleted', ' 4954429)']","[' 57       (Ratio', '   0.00%)']","[' 1625     (Ratio', '   0.03%)']","[' 5051672  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5051672  (Average', '  1.70 Max', ' 2511 Sum', ' 8598604)']","[' 5051479  (Average', '  1.70 Max', ' 2511 Sum', ' 8570182 Ratio', '  99.67%)']","[' 193      (Average', ' 147.26 Max', ' 408 Sum', '  28422 Ratio', '   0.33%)']", ,[' 76048   '],[' 3621    '],[' 75955   '],[' 42562   '],"[' 127682   (Atom=Atom', ' 39689 Body=Body', ' 22696 Other', ' 65297)']",[' Yes'],"[' 4278     (Eliminated', '    0 Frozen', ' 4278)']","[' 113      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.928207'],[' 0'], ,[' 206.299'],[' 0'],[' 3.51769'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.3444e+07'],[' 2.08534e+07'],[' 0'],[' 2.34648e+10'],[' 0'],[' 0'],[' 669 '],[' 1193 '],[' 1770 '],[' 2384 '],[' 2889 '],[' 3417 '],[' 1 '],[' 5 ']
Solving...,TA57, , ,[' 1687'],[' 850'],"[' 338.857s (Solving', ' 333.67s 1st Model', ' 5.49s Unsat', ' 156.72s)']",[' 335.688s'], ,[' 20615194'],"[' 12191909 (Analyzed', ' 12123177)']","[' 23718    (Average', ' 511.14 Last', ' 155578)']",[' 2031.9  '],"[' 850      (Average Length', ' 405.46 Splits', ' 0)']","[' 12123177 (Deleted', ' 11925184)']","[' 86       (Ratio', '   0.00%)']","[' 2139     (Ratio', '   0.02%)']","[' 12123177 (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12123177 (Average', '  1.57 Max', ' 2472 Sum', ' 18980824)']","[' 12122900 (Average', '  1.56 Max', ' 2472 Sum', ' 18902128 Ratio', '  99.59%)']","[' 277      (Average', ' 284.10 Max', ' 616 Sum', '  78696 Ratio', '   0.41%)']", ,[' 76569   '],[' 3651    '],[' 76621   '],[' 43292   '],"[' 129872   (Atom=Atom', ' 40389 Body=Body', ' 22726 Other', ' 66757)']",[' Yes'],"[' 4453     (Eliminated', '    0 Frozen', ' 4453)']","[' 227      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20217'],[' 0'], ,[' 229.887'],[' 0'],[' 4.89036'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.49982e+07'],[' 3.61874e+07'],[' 0'],[' 1.98064e+10'],[' 0'],[' 0'],[' 751 '],[' 1297 '],[' 1933 '],[' 2420 '],[' 2923 '],[' 3429 '],[' 1 '],[' 5 ']
Solving...,TA58, , ,[' 1735'],[' 874'],"[' 188.433s (Solving', ' 183.20s 1st Model', ' 3.76s Unsat', ' 6.81s)']",[' 186.047s'], ,[' 19769170'],"[' 10109892 (Analyzed', ' 10056445)']","[' 17807    (Average', ' 564.75 Last', ' 709)']",[' 1964.9  '],"[' 874      (Average Length', ' 413.21 Splits', ' 0)']","[' 10056445 (Deleted', ' 9881291)']","[' 51       (Ratio', '   0.00%)']","[' 1778     (Ratio', '   0.02%)']","[' 10056445 (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10056445 (Average', '  1.81 Max', ' 2449 Sum', ' 18187807)']","[' 10056227 (Average', '  1.80 Max', ' 2449 Sum', ' 18142543 Ratio', '  99.75%)']","[' 218      (Average', ' 207.63 Max', ' 646 Sum', '  45264 Ratio', '   0.25%)']", ,[' 76272   '],[' 3650    '],[' 76331   '],[' 42725   '],"[' 128171   (Atom=Atom', ' 39823 Body=Body', ' 22725 Other', ' 65623)']",[' Yes'],"[' 4459     (Eliminated', '    0 Frozen', ' 4459)']","[' 254      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20028'],[' 0'], ,[' 95.3845'],[' 0'],[' 3.23415'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.58392e+07'],[' 4.16702e+07'],[' 0'],[' 5.08774e+09'],[' 0'],[' 0'],[' 666 '],[' 1193 '],[' 1758 '],[' 2296 '],[' 2784 '],[' 3279 '],[' 1 '],[' 5 ']
Solving...,TA59, , ,[' 1859'],[' 936'],"[' 275.841s (Solving', ' 270.43s 1st Model', ' 4.61s Unsat', ' 94.55s)']",[' 272.672s'], ,[' 9058525 '],"[' 4085168  (Analyzed', ' 4016682)']","[' 9635     (Average', ' 416.88 Last', ' 24746)']",[' 1855.7  '],"[' 936      (Average Length', ' 449.96 Splits', ' 0)']","[' 4016682  (Deleted', ' 3941244)']","[' 57       (Ratio', '   0.00%)']","[' 2232     (Ratio', '   0.06%)']","[' 4016682  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4016682  (Average', '  1.91 Max', ' 2410 Sum', ' 7655463)']","[' 4016427  (Average', '  1.89 Max', ' 2410 Sum', ' 7575433 Ratio', '  98.95%)']","[' 255      (Average', ' 313.84 Max', ' 735 Sum', '  80030 Ratio', '   1.05%)']", ,[' 76177   '],[' 3634    '],[' 76313   '],[' 42757   '],"[' 128267   (Atom=Atom', ' 39871 Body=Body', ' 22709 Other', ' 65687)']",[' Yes'],"[' 4520     (Eliminated', '    0 Frozen', ' 4520)']","[' 203      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1686'],[' 0'], ,[' 227.092'],[' 0'],[' 3.3943'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.19679e+07'],[' 2.17489e+07'],[' 0'],[' 2.72759e+10'],[' 0'],[' 0'],[' 480 '],[' 1019 '],[' 1454 '],[' 2026 '],[' 2625 '],[' 3170 '],[' 1 '],[' 5 ']
Solving...,TA60, , ,[' 1839'],[' 926'],"[' 357.827s (Solving', ' 351.23s 1st Model', ' 4.64s Unsat', ' 7.68s)']",[' 352.984s'], ,[' 24408535'],"[' 13052586 (Analyzed', ' 12988786)']","[' 23516    (Average', ' 552.34 Last', ' 11632)']",[' 1848.4  '],"[' 926      (Average Length', ' 433.59 Splits', ' 0)']","[' 12988786 (Deleted', ' 12791266)']","[' 75       (Ratio', '   0.00%)']","[' 2442     (Ratio', '   0.02%)']","[' 12988786 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12988786 (Average', '  1.75 Max', ' 2309 Sum', ' 22742485)']","[' 12988478 (Average', '  1.75 Max', ' 2309 Sum', ' 22676227 Ratio', '  99.71%)']","[' 308      (Average', ' 215.12 Max', ' 553 Sum', '  66258 Ratio', '   0.29%)']", ,[' 75849   '],[' 3647    '],[' 75949   '],[' 42260   '],"[' 126776   (Atom=Atom', ' 39361 Body=Body', ' 22722 Other', ' 64693)']",[' Yes'],"[' 4497     (Eliminated', '    0 Frozen', ' 4497)']","[' 354      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.50596'],[' 0'], ,[' 236.353'],[' 0'],[' 5.44285'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.41741e+07'],[' 4.35003e+07'],[' 0'],[' 1.87183e+10'],[' 0'],[' 0'],[' 607 '],[' 1043 '],[' 1670 '],[' 2135 '],[' 2656 '],[' 3094 '],[' 2 '],[' 4 ']
