Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 1153'],[' 585'],"[' 487.140s (Solving', ' 484.59s 1st Model', ' 1.17s Unsat', ' 102.88s)']",[' 486.266s'], ,[' 44880369'],"[' 28576154 (Analyzed', ' 28543723)']","[' 55512    (Average', ' 514.19 Last', ' 108209)']",[' 1838.2  '],"[' 585      (Average Length', ' 366.96 Splits', ' 0)']","[' 28543723 (Deleted', ' 28174404)']","[' 27       (Ratio', '   0.00%)']","[' 2067     (Ratio', '   0.01%)']","[' 28543723 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28543723 (Average', '  1.52 Max', ' 2331 Sum', ' 43437909)']","[' 28543231 (Average', '  1.52 Max', ' 2331 Sum', ' 43268217 Ratio', '  99.61%)']","[' 492      (Average', ' 344.90 Max', ' 498 Sum', ' 169692 Ratio', '   0.39%)']", ,[' 82149   '],[' 3014    '],[' 76026   '],[' 25698   '],"[' 67627    (Atom=Atom', ' 19775 Body=Body', ' 12057 Other', ' 35795)']",[' Yes'],"[' 4324     (Eliminated', '    0 Frozen', ' 4324)']","[' 354      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.495518'],[' 0'], ,[' 303.184'],[' 0'],[' 6.44368'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13916e+08'],[' 4.9119e+07'],[' 0'],[' 2.18171e+10'],[' 0'],[' 0'],[' 527 '],[' 1070 '],[' 1617 '],[' 2085 '],[' 2370 '],[' 3032 '],[' 3296 '],[' 3625 '],[' 3 '],[' 5 ']
Solving...,TA62, , , , , ,[' 1435'],[' 726'],"[' 393.218s (Solving', ' 390.11s 1st Model', ' 1.74s Unsat', ' 5.53s)']",[' 392.656s'], ,[' 46725317'],"[' 26416666 (Analyzed', ' 26387910)']","[' 48266    (Average', ' 546.72 Last', ' 12817)']",[' 1973.5  '],"[' 726      (Average Length', ' 432.25 Splits', ' 0)']","[' 26387910 (Deleted', ' 26070736)']","[' 16       (Ratio', '   0.00%)']","[' 2513     (Ratio', '   0.01%)']","[' 26387910 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26387910 (Average', '  1.71 Max', ' 2588 Sum', ' 45009188)']","[' 26387457 (Average', '  1.70 Max', ' 2374 Sum', ' 44855941 Ratio', '  99.66%)']","[' 453      (Average', ' 338.29 Max', ' 585 Sum', ' 153247 Ratio', '   0.34%)']", ,[' 83275   '],[' 3100    '],[' 77120   '],[' 26395   '],"[' 69416    (Atom=Atom', ' 20256 Body=Body', ' 12313 Other', ' 36847)']",[' Yes'],"[' 4545     (Eliminated', '    0 Frozen', ' 4545)']","[' 438      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.646015'],[' 0'], ,[' 224.058'],[' 0'],[' 6.55538'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18517e+08'],[' 5.81165e+07'],[' 0'],[' 1.53927e+10'],[' 0'],[' 0'],[' 662 '],[' 1111 '],[' 1572 '],[' 1916 '],[' 2341 '],[' 2704 '],[' 3257 '],[' 3692 '],[' 3 '],[' 5 ']
Solving...,TA63, , , , , ,[' 1003'],[' 510'],"[' 286.008s (Solving', ' 283.62s 1st Model', ' 1.23s Unsat', ' 27.11s)']",[' 285.656s'], ,[' 28747979'],"[' 19295606 (Analyzed', ' 19272562)']","[' 37674    (Average', ' 511.56 Last', ' 19876)']",[' 1912.7  '],"[' 510      (Average Length', ' 326.77 Splits', ' 0)']","[' 19272562 (Deleted', ' 19000763)']","[' 9        (Ratio', '   0.00%)']","[' 1519     (Ratio', '   0.01%)']","[' 19272562 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19272562 (Average', '  1.43 Max', ' 2449 Sum', ' 27566773)']","[' 19272093 (Average', '  1.42 Max', ' 2361 Sum', ' 27430889 Ratio', '  99.51%)']","[' 469      (Average', ' 289.73 Max', ' 448 Sum', ' 135884 Ratio', '   0.49%)']", ,[' 82068   '],[' 3010    '],[' 75913   '],[' 25603   '],"[' 67307    (Atom=Atom', ' 19684 Body=Body', ' 12045 Other', ' 35578)']",[' Yes'],"[' 4253     (Eliminated', '    0 Frozen', ' 4253)']","[' 167      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.468752'],[' 0'], ,[' 160.201'],[' 0'],[' 3.62295'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.64234e+07'],[' 3.08163e+07'],[' 0'],[' 1.05399e+10'],[' 0'],[' 0'],[' 678 '],[' 1099 '],[' 1554 '],[' 1865 '],[' 2208 '],[' 2619 '],[' 3081 '],[' 3490 '],[' 2 '],[' 6 ']
Solving...,TA64, , , , , ,[' 1289'],[' 653'],"[' 280.793s (Solving', ' 277.93s 1st Model', ' 1.40s Unsat', ' 18.47s)']",[' 280.109s'], ,[' 30865855'],"[' 21518305 (Analyzed', ' 21486153)']","[' 40111    (Average', ' 535.67 Last', ' 44386)']",[' 1986.9  '],"[' 653      (Average Length', ' 402.33 Splits', ' 0)']","[' 21486153 (Deleted', ' 21189958)']","[' 9        (Ratio', '   0.00%)']","[' 1115     (Ratio', '   0.01%)']","[' 21486153 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21486153 (Average', '  1.37 Max', ' 2579 Sum', ' 29466063)']","[' 21485636 (Average', '  1.36 Max', ' 2410 Sum', ' 29291107 Ratio', '  99.41%)']","[' 517      (Average', ' 338.41 Max', ' 532 Sum', ' 174956 Ratio', '   0.59%)']", ,[' 82226   '],[' 3024    '],[' 76222   '],[' 25757   '],"[' 67976    (Atom=Atom', ' 19881 Body=Body', ' 12086 Other', ' 36009)']",[' Yes'],"[' 4389     (Eliminated', '    0 Frozen', ' 4389)']","[' 152      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.598197'],[' 0'], ,[' 139.919'],[' 0'],[' 4.15023'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.01877e+07'],[' 3.06613e+07'],[' 0'],[' 9.01831e+09'],[' 0'],[' 0'],[' 718 '],[' 1244 '],[' 1566 '],[' 2020 '],[' 2340 '],[' 2657 '],[' 3135 '],[' 3467 '],[' 2 '],[' 6 ']
Solving...,TA65, , , , , ,[' 1167'],[' 592'],"[' 383.772s (Solving', ' 381.33s 1st Model', ' 1.25s Unsat', ' 1.14s)']",[' 383.188s'], ,[' 22535006'],"[' 15594397 (Analyzed', ' 15513870)']","[' 31843    (Average', ' 487.20 Last', ' 15578)']",[' 1804.7  '],"[' 592      (Average Length', ' 376.71 Splits', ' 0)']","[' 15513870 (Deleted', ' 15276044)']","[' 29       (Ratio', '   0.00%)']","[' 1254     (Ratio', '   0.01%)']","[' 15513870 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15513870 (Average', '  1.38 Max', ' 2804 Sum', ' 21439456)']","[' 15513378 (Average', '  1.37 Max', ' 2462 Sum', ' 21246681 Ratio', '  99.10%)']","[' 492      (Average', ' 391.82 Max', ' 554 Sum', ' 192775 Ratio', '   0.90%)']", ,[' 82775   '],[' 3104    '],[' 76652   '],[' 26125   '],"[' 68935    (Atom=Atom', ' 20140 Body=Body', ' 12326 Other', ' 36469)']",[' Yes'],"[' 4413     (Eliminated', '    0 Frozen', ' 4413)']","[' 204      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.472347'],[' 0'], ,[' 275.381'],[' 0'],[' 5.32328'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.90886e+07'],[' 2.39878e+07'],[' 0'],[' 1.97567e+10'],[' 0'],[' 0'],[' 499 '],[' 937 '],[' 1300 '],[' 1832 '],[' 2286 '],[' 2795 '],[' 3154 '],[' 3493 '],[' 3 '],[' 5 ']
Solving...,TA66, , , , , ,[' 1257'],[' 637'],"[' 495.486s (Solving', ' 492.74s 1st Model', ' 1.35s Unsat', ' 110.90s)']",[' 494.328s'], ,[' 42584301'],"[' 26851592 (Analyzed', ' 26784654)']","[' 49742    (Average', ' 538.47 Last', ' 98426)']",[' 1869.7  '],"[' 637      (Average Length', ' 395.88 Splits', ' 0)']","[' 26784654 (Deleted', ' 26511072)']","[' 34       (Ratio', '   0.00%)']","[' 2235     (Ratio', '   0.01%)']","[' 26784654 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26784654 (Average', '  1.53 Max', ' 2645 Sum', ' 41097777)']","[' 26784107 (Average', '  1.53 Max', ' 2342 Sum', ' 40898873 Ratio', '  99.52%)']","[' 547      (Average', ' 363.63 Max', ' 534 Sum', ' 198904 Ratio', '   0.48%)']", ,[' 82906   '],[' 3064    '],[' 76628   '],[' 26207   '],"[' 68616    (Atom=Atom', ' 20027 Body=Body', ' 12207 Other', ' 36382)']",[' Yes'],"[' 4423     (Eliminated', '    0 Frozen', ' 4423)']","[' 341      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.54337'],[' 0'], ,[' 325.504'],[' 0'],[' 6.97691'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08816e+08'],[' 4.79238e+07'],[' 0'],[' 2.35521e+10'],[' 0'],[' 0'],[' 588 '],[' 1135 '],[' 1378 '],[' 1811 '],[' 2319 '],[' 2751 '],[' 3125 '],[' 3484 '],[' 3 '],[' 5 ']
Solving...,TA67, , , , , ,[' 1223'],[' 620'],"[' 655.302s (Solving', ' 652.44s 1st Model', ' 1.41s Unsat', ' 22.52s)']",[' 654.203s'], ,[' 55478321'],"[' 37491187 (Analyzed', ' 37460685)']","[' 70518    (Average', ' 531.22 Last', ' 81345)']",[' 1885.7  '],"[' 620      (Average Length', ' 386.75 Splits', ' 0)']","[' 37460685 (Deleted', ' 37036835)']","[' 11       (Ratio', '   0.00%)']","[' 2331     (Ratio', '   0.01%)']","[' 37460685 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37460685 (Average', '  1.44 Max', ' 2551 Sum', ' 53767233)']","[' 37460107 (Average', '  1.43 Max', ' 2260 Sum', ' 53556495 Ratio', '  99.61%)']","[' 578      (Average', ' 364.60 Max', ' 526 Sum', ' 210738 Ratio', '   0.39%)']", ,[' 82227   '],[' 3071    '],[' 76255   '],[' 25808   '],"[' 68594    (Atom=Atom', ' 20038 Body=Body', ' 12228 Other', ' 36328)']",[' Yes'],"[' 4412     (Eliminated', '    0 Frozen', ' 4412)']","[' 386      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.575813'],[' 0'], ,[' 421.747'],[' 0'],[' 9.23584'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46765e+08'],[' 6.09782e+07'],[' 0'],[' 2.81282e+10'],[' 0'],[' 0'],[' 683 '],[' 1192 '],[' 1646 '],[' 1967 '],[' 2517 '],[' 2910 '],[' 3424 '],[' 3577 '],[' 5 '],[' 3 ']
Solving...,TA68, , , , , ,[' 1309'],[' 663'],"[' 310.376s (Solving', ' 307.29s 1st Model', ' 1.57s Unsat', ' 46.71s)']",[' 309.188s'], ,[' 27192699'],"[' 18323888 (Analyzed', ' 18308997)']","[' 34471    (Average', ' 531.14 Last', ' 22946)']",[' 1990.5  '],"[' 663      (Average Length', ' 404.97 Splits', ' 0)']","[' 18308997 (Deleted', ' 18093336)']","[' 23       (Ratio', '   0.00%)']","[' 1206     (Ratio', '   0.01%)']","[' 18308997 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18308997 (Average', '  1.42 Max', ' 2401 Sum', ' 25943773)']","[' 18308460 (Average', '  1.41 Max', ' 2401 Sum', ' 25757981 Ratio', '  99.28%)']","[' 537      (Average', ' 345.98 Max', ' 522 Sum', ' 185792 Ratio', '   0.72%)']", ,[' 82347   '],[' 3021    '],[' 76295   '],[' 25894   '],"[' 67918    (Atom=Atom', ' 19881 Body=Body', ' 12078 Other', ' 35959)']",[' Yes'],"[' 4409     (Eliminated', '    0 Frozen', ' 4409)']","[' 207      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.641179'],[' 0'], ,[' 176.843'],[' 0'],[' 4.00747'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.11939e+07'],[' 2.88456e+07'],[' 0'],[' 1.22625e+10'],[' 0'],[' 0'],[' 432 '],[' 1066 '],[' 1513 '],[' 1922 '],[' 2268 '],[' 2662 '],[' 3097 '],[' 3458 '],[' 2 '],[' 6 ']
Solving...,TA69, , , , , ,[' 1109'],[' 563'],"[' 346.717s (Solving', ' 344.15s 1st Model', ' 1.24s Unsat', ' 85.85s)']",[' 344.766s'], ,[' 30745694'],"[' 20535856 (Analyzed', ' 20512475)']","[' 40543    (Average', ' 505.94 Last', ' 100927)']",[' 1906.7  '],"[' 563      (Average Length', ' 355.57 Splits', ' 0)']","[' 20512475 (Deleted', ' 20258229)']","[' 38       (Ratio', '   0.00%)']","[' 1726     (Ratio', '   0.01%)']","[' 20512475 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20512475 (Average', '  1.44 Max', ' 2375 Sum', ' 29494600)']","[' 20511949 (Average', '  1.43 Max', ' 2375 Sum', ' 29331798 Ratio', '  99.45%)']","[' 526      (Average', ' 309.51 Max', ' 454 Sum', ' 162802 Ratio', '   0.55%)']", ,[' 82198   '],[' 3023    '],[' 76126   '],[' 25696   '],"[' 67675    (Atom=Atom', ' 19789 Body=Body', ' 12084 Other', ' 35802)']",[' Yes'],"[' 4319     (Eliminated', '    0 Frozen', ' 4319)']","[' 218      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.512557'],[' 0'], ,[' 205.725'],[' 0'],[' 4.69035'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.89841e+07'],[' 3.0378e+07'],[' 0'],[' 1.37582e+10'],[' 0'],[' 0'],[' 622 '],[' 1214 '],[' 1626 '],[' 2092 '],[' 2689 '],[' 2853 '],[' 3148 '],[' 3720 '],[' 2 '],[' 6 ']
Solving...,TA70, , , , , ,[' 1213'],[' 615'],"[' 340.171s (Solving', ' 337.67s 1st Model', ' 1.36s Unsat', ' 80.58s)']",[' 339.688s'], ,[' 26421308'],"[' 16956056 (Analyzed', ' 16880653)']","[' 32386    (Average', ' 521.23 Last', ' 1841)']",[' 1742.6  '],"[' 615      (Average Length', ' 379.47 Splits', ' 0)']","[' 16880653 (Deleted', ' 16687086)']","[' 31       (Ratio', '   0.00%)']","[' 1937     (Ratio', '   0.01%)']","[' 16880653 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16880653 (Average', '  1.49 Max', ' 2550 Sum', ' 25227797)']","[' 16880166 (Average', '  1.48 Max', ' 2429 Sum', ' 25041487 Ratio', '  99.26%)']","[' 487      (Average', ' 382.57 Max', ' 549 Sum', ' 186310 Ratio', '   0.74%)']", ,[' 82408   '],[' 3070    '],[' 76388   '],[' 25907   '],"[' 68562    (Atom=Atom', ' 20029 Body=Body', ' 12225 Other', ' 36308)']",[' Yes'],"[' 4409     (Eliminated', '    0 Frozen', ' 4409)']","[' 207      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.489249'],[' 0'], ,[' 230.035'],[' 0'],[' 5.67131'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.69979e+07'],[' 2.83697e+07'],[' 0'],[' 1.62852e+10'],[' 0'],[' 0'],[' 523 '],[' 962 '],[' 1398 '],[' 2052 '],[' 2466 '],[' 2868 '],[' 3104 '],[' 3716 '],[' 2 '],[' 6 ']
