Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 6569+'],[' 3287'],"[' 1006.010s (Solving', ' 977.02s 1st Model', ' 865.92s Unsat', ' 0.00s)']",[' 1002.094s'], ,[' 511175486'],"[' 5285683  (Analyzed', ' 2170901)']","[' 8616     (Average', ' 251.96 Last', ' 154970)']",[' 8576.5  '],"[' 3287     (Average Length', ' 1615.43 Splits', ' 0)']","[' 2170901  (Deleted', ' 2098822)']","[' 387      (Ratio', '   0.02%)']","[' 62700    (Ratio', '   2.89%)']","[' 2170901  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2170901  (Average', ' 223.64 Max', ' 8950 Sum', ' 485497390)']","[' 2170395  (Average', ' 223.25 Max', ' 8744 Sum', ' 484643262 Ratio', '  99.82%)']","[' 506      (Average', ' 1688.00 Max', ' 1688 Sum', ' 854128 Ratio', '   0.18%)']", ,[' 126563  '],[' 13096   '],[' 128710  '],[' 78119   '],"[' 234353   (Atom=Atom', ' 66021 Body=Body', ' 38546 Other', ' 129786)']",[' Yes'],"[' 16243    (Eliminated', '    0 Frozen', ' 16243)']","[' 6474     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.60656'],[' 0'], ,[' 416.648'],[' 0'],[' 29.9714'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72706e+09'],[' 1.55367e+09'],[' 0'],[' 2.15125e+10'],[' 0'],[' 0'],[' 1876 '],[' 3503 '],[' 2 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 6475+'],[' 3240'],"[' 1006.144s (Solving', ' 977.72s 1st Model', ' 873.98s Unsat', ' 0.00s)']",[' 1002.188s'], ,[' 519123754'],"[' 4641079  (Analyzed', ' 2019642)']","[' 7876     (Average', ' 256.43 Last', ' 122662)']",[' 8470.7  '],"[' 3240     (Average Length', ' 1588.82 Splits', ' 0)']","[' 2019642  (Deleted', ' 1945311)']","[' 339      (Ratio', '   0.02%)']","[' 65629    (Ratio', '   3.25%)']","[' 2019642  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2019642  (Average', ' 244.86 Max', ' 9268 Sum', ' 494528754)']","[' 2019195  (Average', ' 244.48 Max', ' 8034 Sum', ' 493760808 Ratio', '  99.84%)']","[' 447      (Average', ' 1718.00 Max', ' 1718 Sum', ' 767946 Ratio', '   0.16%)']", ,[' 126714  '],[' 13162   '],[' 128775  '],[' 78336   '],"[' 235004   (Atom=Atom', ' 66172 Body=Body', ' 38612 Other', ' 130220)']",[' Yes'],"[' 16223    (Eliminated', '    0 Frozen', ' 16223)']","[' 6288     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.34278'],[' 0'], ,[' 401.565'],[' 0'],[' 30.6895'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.77758e+09'],[' 1.60905e+09'],[' 0'],[' 1.97706e+10'],[' 0'],[' 0'],[' 1870 '],[' 3609 '],[' 2 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 8059+'],[' 4032'],"[' 1007.526s (Solving', ' 971.11s 1st Model', ' 828.26s Unsat', ' 0.00s)']",[' 1003.313s'], ,[' 506154422'],"[' 5955175  (Analyzed', ' 2112735)']","[' 8403     (Average', ' 251.43 Last', ' 191256)']",[' 8994.7  '],"[' 4032     (Average Length', ' 1954.07 Splits', ' 0)']","[' 2112735  (Deleted', ' 2042195)']","[' 371      (Ratio', '   0.02%)']","[' 62600    (Ratio', '   2.96%)']","[' 2112735  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2112735  (Average', ' 224.61 Max', ' 9022 Sum', ' 474551134)']","[' 2112131  (Average', ' 224.06 Max', ' 7981 Sum', ' 473369106 Ratio', '  99.75%)']","[' 604      (Average', ' 1957.00 Max', ' 1957 Sum', ' 1182028 Ratio', '   0.25%)']", ,[' 127302  '],[' 13094   '],[' 130025  '],[' 78856   '],"[' 236564   (Atom=Atom', ' 66760 Body=Body', ' 38544 Other', ' 131260)']",[' Yes'],"[' 16817    (Eliminated', '    0 Frozen', ' 16817)']","[' 7150     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.10934'],[' 0'], ,[' 415.26'],[' 0'],[' 29.6451'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70133e+09'],[' 1.53209e+09'],[' 0'],[' 2.1439e+10'],[' 0'],[' 0'],[' 1803 '],[' 3398 '],[' 2 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 7581+'],[' 3793'],"[' 1007.051s (Solving', ' 972.16s 1st Model', ' 803.52s Unsat', ' 0.00s)']",[' 1002.922s'], ,[' 511555411'],"[' 5365347  (Analyzed', ' 2126513)']","[' 8763     (Average', ' 242.67 Last', ' 202712)']",[' 9030.1  '],"[' 3793     (Average Length', ' 1839.96 Splits', ' 0)']","[' 2126513  (Deleted', ' 2055446)']","[' 347      (Ratio', '   0.02%)']","[' 61690    (Ratio', '   2.90%)']","[' 2126513  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2126513  (Average', ' 226.40 Max', ' 9496 Sum', ' 481447232)']","[' 2125854  (Average', ' 225.86 Max', ' 8854 Sum', ' 480288710 Ratio', '  99.76%)']","[' 659      (Average', ' 1758.00 Max', ' 1758 Sum', ' 1158522 Ratio', '   0.24%)']", ,[' 127081  '],[' 13100   '],[' 129629  '],[' 78641   '],"[' 235919   (Atom=Atom', ' 66539 Body=Body', ' 38550 Other', ' 130830)']",[' Yes'],"[' 16648    (Eliminated', '    0 Frozen', ' 16648)']","[' 6925     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.87045'],[' 0'], ,[' 415.855'],[' 0'],[' 29.873'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70425e+09'],[' 1.53486e+09'],[' 0'],[' 2.11876e+10'],[' 0'],[' 0'],[' 1806 '],[' 3290 '],[' 2 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 7009+'],[' 3507'],"[' 1006.326s (Solving', ' 975.07s 1st Model', ' 833.34s Unsat', ' 0.00s)']",[' 1002.266s'], ,[' 519287926'],"[' 5070666  (Analyzed', ' 2063824)']","[' 8242     (Average', ' 250.40 Last', ' 210200)']",[' 8652.9  '],"[' 3507     (Average Length', ' 1714.27 Splits', ' 0)']","[' 2063824  (Deleted', ' 1988707)']","[' 345      (Ratio', '   0.02%)']","[' 64761    (Ratio', '   3.14%)']","[' 2063824  (Average Length', '   22.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2063824  (Average', ' 238.68 Max', ' 9182 Sum', ' 492585973)']","[' 2063130  (Average', ' 238.07 Max', ' 7959 Sum', ' 491340937 Ratio', '  99.75%)']","[' 694      (Average', ' 1794.00 Max', ' 1794 Sum', ' 1245036 Ratio', '   0.25%)']", ,[' 126825  '],[' 13110   '],[' 129111  '],[' 78395   '],"[' 235181   (Atom=Atom', ' 66283 Body=Body', ' 38560 Other', ' 130338)']",[' Yes'],"[' 16396    (Eliminated', '    0 Frozen', ' 16396)']","[' 7277     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.03022'],[' 0'], ,[' 413.32'],[' 0'],[' 30.247'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.77648e+09'],[' 1.60883e+09'],[' 0'],[' 2.10683e+10'],[' 0'],[' 0'],[' 1717 '],[' 3407 '],[' 2 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 7061+'],[' 3533'],"[' 1006.651s (Solving', ' 975.22s 1st Model', ' 899.34s Unsat', ' 0.00s)']",[' 1001.469s'], ,[' 519799838'],"[' 4817914  (Analyzed', ' 2114488)']","[' 8668     (Average', ' 243.94 Last', ' 156223)']",[' 8631.7  '],"[' 3533     (Average Length', ' 1722.81 Splits', ' 0)']","[' 2114488  (Deleted', ' 2041334)']","[' 340      (Ratio', '   0.02%)']","[' 62681    (Ratio', '   2.96%)']","[' 2114488  (Average Length', '   22.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2114488  (Average', ' 233.03 Max', ' 9498 Sum', ' 492735493)']","[' 2114136  (Average', ' 232.73 Max', ' 8404 Sum', ' 492112838 Ratio', '  99.87%)']","[' 352      (Average', ' 1768.91 Max', ' 3507 Sum', ' 622655 Ratio', '   0.13%)']", ,[' 126983  '],[' 13154   '],[' 129276  '],[' 78597   '],"[' 235787   (Atom=Atom', ' 66441 Body=Body', ' 38604 Other', ' 130742)']",[' Yes'],"[' 16447    (Eliminated', '    0 Frozen', ' 16447)']","[' 4677     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.16933'],[' 0'], ,[' 409.122'],[' 0'],[' 30.3835'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76101e+09'],[' 1.58953e+09'],[' 0'],[' 2.0862e+10'],[' 0'],[' 0'],[' 1744 '],[' 3418 '],[' 2 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 7047+'],[' 3526'],"[' 1006.716s (Solving', ' 975.81s 1st Model', ' 883.62s Unsat', ' 0.00s)']",[' 1002.469s'], ,[' 523814401'],"[' 5405130  (Analyzed', ' 2136405)']","[' 8497     (Average', ' 251.43 Last', ' 115343)']",[' 8901.4  '],"[' 3526     (Average Length', ' 1717.44 Splits', ' 0)']","[' 2136405  (Deleted', ' 2066532)']","[' 350      (Ratio', '   0.02%)']","[' 62663    (Ratio', '   2.93%)']","[' 2136405  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2136405  (Average', ' 231.54 Max', ' 9683 Sum', ' 494659706)']","[' 2136388  (Average', ' 231.52 Max', ' 8816 Sum', ' 494630296 Ratio', '  99.99%)']","[' 17       (Average', ' 1730.00 Max', ' 1730 Sum', '  29410 Ratio', '   0.01%)']", ,[' 126820  '],[' 13102   '],[' 129153  '],[' 78382   '],"[' 235142   (Atom=Atom', ' 66278 Body=Body', ' 38552 Other', ' 130312)']",[' Yes'],"[' 16435    (Eliminated', '    0 Frozen', ' 16435)']","[' 258      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.07167'],[' 0'], ,[' 407.053'],[' 0'],[' 30.5591'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7347e+09'],[' 1.56287e+09'],[' 0'],[' 2.17649e+10'],[' 0'],[' 0'],[' 1894 '],[' 3444 '],[' 2 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 6977+'],[' 3491'],"[' 1006.422s (Solving', ' 977.79s 1st Model', ' 844.70s Unsat', ' 0.00s)']",[' 1002.328s'], ,[' 523932821'],"[' 4460489  (Analyzed', ' 2084232)']","[' 8186     (Average', ' 254.61 Last', ' 206056)']",[' 8433.8  '],"[' 3491     (Average Length', ' 1714.89 Splits', ' 0)']","[' 2084232  (Deleted', ' 2006401)']","[' 355      (Ratio', '   0.02%)']","[' 62785    (Ratio', '   3.01%)']","[' 2084232  (Average Length', '   22.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2084232  (Average', ' 239.40 Max', ' 9328 Sum', ' 498963533)']","[' 2083591  (Average', ' 238.74 Max', ' 9328 Sum', ' 497594998 Ratio', '  99.73%)']","[' 641      (Average', ' 2135.00 Max', ' 2135 Sum', ' 1368535 Ratio', '   0.27%)']", ,[' 126725  '],[' 13082   '],[' 128986  '],[' 78267   '],"[' 234797   (Atom=Atom', ' 66183 Body=Body', ' 38532 Other', ' 130082)']",[' Yes'],"[' 16343    (Eliminated', '    0 Frozen', ' 16343)']","[' 7227     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.22882'],[' 0'], ,[' 408.798'],[' 0'],[' 30.3933'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76815e+09'],[' 1.59691e+09'],[' 0'],[' 2.03436e+10'],[' 0'],[' 0'],[' 1799 '],[' 3415 '],[' 2 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 7195+'],[' 3600'],"[' 1006.910s (Solving', ' 976.07s 1st Model', ' 857.48s Unsat', ' 0.00s)']",[' 1003.484s'], ,[' 511276036'],"[' 4929904  (Analyzed', ' 2083283)']","[' 8317     (Average', ' 250.48 Last', ' 262694)']",[' 8502.1  '],"[' 3600     (Average Length', ' 1761.85 Splits', ' 0)']","[' 2083283  (Deleted', ' 2006210)']","[' 376      (Ratio', '   0.02%)']","[' 67493    (Ratio', '   3.24%)']","[' 2083283  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2083283  (Average', ' 232.67 Max', ' 9610 Sum', ' 484726794)']","[' 2082756  (Average', ' 232.17 Max', ' 8623 Sum', ' 483669105 Ratio', '  99.78%)']","[' 527      (Average', ' 2007.00 Max', ' 2007 Sum', ' 1057689 Ratio', '   0.22%)']", ,[' 127014  '],[' 13142   '],[' 129397  '],[' 78616   '],"[' 235844   (Atom=Atom', ' 66472 Body=Body', ' 38592 Other', ' 130780)']",[' Yes'],"[' 16525    (Eliminated', '    0 Frozen', ' 16525)']","[' 6981     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.75322'],[' 0'], ,[' 409.348'],[' 0'],[' 29.6822'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72848e+09'],[' 1.56772e+09'],[' 0'],[' 2.13625e+10'],[' 0'],[' 0'],[' 1955 '],[' 3696 '],[' 2 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 6951+'],[' 3478'],"[' 1006.436s (Solving', ' 975.33s 1st Model', ' 839.07s Unsat', ' 0.00s)']",[' 1002.625s'], ,[' 504568108'],"[' 5969298  (Analyzed', ' 2142295)']","[' 8371     (Average', ' 255.92 Last', ' 304914)']",[' 8676.0  '],"[' 3478     (Average Length', ' 1698.43 Splits', ' 0)']","[' 2142295  (Deleted', ' 2066173)']","[' 405      (Ratio', '   0.02%)']","[' 64722    (Ratio', '   3.02%)']","[' 2142295  (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2142295  (Average', ' 222.67 Max', ' 8922 Sum', ' 477016698)']","[' 2141693  (Average', ' 222.16 Max', ' 8922 Sum', ' 475932496 Ratio', '  99.77%)']","[' 602      (Average', ' 1801.00 Max', ' 1801 Sum', ' 1084202 Ratio', '   0.23%)']", ,[' 126970  '],[' 13168   '],[' 129223  '],[' 78598   '],"[' 235790   (Atom=Atom', ' 66428 Body=Body', ' 38618 Other', ' 130744)']",[' Yes'],"[' 16421    (Eliminated', '    0 Frozen', ' 16421)']","[' 7316     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.05039'],[' 0'], ,[' 420.445'],[' 0'],[' 29.69'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.71783e+09'],[' 1.55145e+09'],[' 0'],[' 2.26345e+10'],[' 0'],[' 0'],[' 1922 '],[' 3738 '],[' 2 '],[' 0 ']
