Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 987'],[' 503'],"[' 234.626s (Solving', ' 232.18s 1st Model', ' 1.08s Unsat', ' 2.98s)']",[' 232.938s'], ,[' 13813448'],"[' 9582316  (Analyzed', ' 9544378)']","[' 19464    (Average', ' 490.36 Last', ' 46128)']",[' 1527.1  '],"[' 503      (Average Length', ' 325.75 Splits', ' 0)']","[' 9544378  (Deleted', ' 9409054)']","[' 30       (Ratio', '   0.00%)']","[' 1016     (Ratio', '   0.01%)']","[' 9544378  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9544378  (Average', '  1.37 Max', ' 2215 Sum', ' 13104263)']","[' 9543939  (Average', '  1.36 Max', ' 2035 Sum', ' 12962797 Ratio', '  98.92%)']","[' 439      (Average', ' 322.25 Max', ' 518 Sum', ' 141466 Ratio', '   1.08%)']", ,[' 78897   '],[' 2647    '],[' 73429   '],[' 23409   '],"[' 61952    (Atom=Atom', ' 18371 Body=Body', ' 11013 Other', ' 32568)']",[' Yes'],"[' 3909     (Eliminated', '    0 Frozen', ' 3909)']","[' 116      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.461314'],[' 0'], ,[' 154.182'],[' 0'],[' 3.14509'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.57164e+07'],[' 1.42424e+07'],[' 0'],[' 8.95576e+09'],[' 0'],[' 0'],[' 617 '],[' 1052 '],[' 1567 '],[' 1863 '],[' 2204 '],[' 2621 '],[' 2921 '],[' 3420 '],[' 3660 '],[' 2 '],[' 7 ']
Solving...,TA62, , , , , ,[' 1019'],[' 519'],"[' 234.156s (Solving', ' 231.60s 1st Model', ' 1.18s Unsat', ' 1.66s)']",[' 233.297s'], ,[' 13907687'],"[' 7421109  (Analyzed', ' 7392079)']","[' 14696    (Average', ' 503.00 Last', ' 353168)']",[' 1405.2  '],"[' 519      (Average Length', ' 330.54 Splits', ' 0)']","[' 7392079  (Deleted', ' 7286371)']","[' 23       (Ratio', '   0.00%)']","[' 1426     (Ratio', '   0.02%)']","[' 7392079  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7392079  (Average', '  1.79 Max', ' 2365 Sum', ' 13258298)']","[' 7391634  (Average', '  1.77 Max', ' 2092 Sum', ' 13091457 Ratio', '  98.74%)']","[' 445      (Average', ' 374.92 Max', ' 521 Sum', ' 166841 Ratio', '   1.26%)']", ,[' 80258   '],[' 2758    '],[' 74462   '],[' 24244   '],"[' 63646    (Atom=Atom', ' 18829 Body=Body', ' 11345 Other', ' 33472)']",[' Yes'],"[' 4028     (Eliminated', '    0 Frozen', ' 4028)']","[' 242      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.467404'],[' 0'], ,[' 162.054'],[' 0'],[' 4.45367'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.39921e+07'],[' 1.7278e+07'],[' 0'],[' 8.56121e+09'],[' 0'],[' 0'],[' 615 '],[' 1022 '],[' 1659 '],[' 1830 '],[' 2230 '],[' 2824 '],[' 3062 '],[' 3498 '],[' 3633 '],[' 2 '],[' 7 ']
Solving...,TA63, , , , , ,[' 949'],[' 484'],"[' 135.230s (Solving', ' 132.69s 1st Model', ' 1.15s Unsat', ' 13.43s)']",[' 135.000s'], ,[' 8561347 '],"[' 5098254  (Analyzed', ' 5092026)']","[' 10020    (Average', ' 508.19 Last', ' 109573)']",[' 1495.4  '],"[' 484      (Average Length', ' 316.55 Splits', ' 0)']","[' 5092026  (Deleted', ' 5020167)']","[' 19       (Ratio', '   0.00%)']","[' 1151     (Ratio', '   0.02%)']","[' 5092026  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5092026  (Average', '  1.57 Max', ' 2445 Sum', ' 8003435)']","[' 5091561  (Average', '  1.54 Max', ' 2145 Sum', ' 7854640 Ratio', '  98.14%)']","[' 465      (Average', ' 319.99 Max', ' 475 Sum', ' 148795 Ratio', '   1.86%)']", ,[' 79859   '],[' 2736    '],[' 74187   '],[' 23986   '],"[' 63181    (Atom=Atom', ' 18697 Body=Body', ' 11276 Other', ' 33208)']",[' Yes'],"[' 3977     (Eliminated', '    0 Frozen', ' 3977)']","[' 156      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.478206'],[' 0'], ,[' 87.2935'],[' 0'],[' 1.73876'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.14037e+07'],[' 9.56018e+06'],[' 0'],[' 4.59168e+09'],[' 0'],[' 0'],[' 562 '],[' 1071 '],[' 1328 '],[' 1620 '],[' 2223 '],[' 2472 '],[' 2877 '],[' 3078 '],[' 3405 '],[' 1 '],[' 8 ']
Solving...,TA64, , , , , ,[' 799'],[' 409'],"[' 399.262s (Solving', ' 396.99s 1st Model', ' 0.88s Unsat', ' 58.36s)']",[' 397.672s'], ,[' 27997606'],"[' 21173316 (Analyzed', ' 21164252)']","[' 40903    (Average', ' 517.43 Last', ' 422)']",[' 1413.1  '],"[' 409      (Average Length', ' 274.70 Splits', ' 0)']","[' 21164252 (Deleted', ' 20858221)']","[' 12       (Ratio', '   0.00%)']","[' 1571     (Ratio', '   0.01%)']","[' 21164252 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21164252 (Average', '  1.28 Max', ' 2173 Sum', ' 27176572)']","[' 21163690 (Average', '  1.28 Max', ' 1938 Sum', ' 27028550 Ratio', '  99.46%)']","[' 562      (Average', ' 263.38 Max', ' 412 Sum', ' 148022 Ratio', '   0.54%)']", ,[' 79372   '],[' 2699    '],[' 73700   '],[' 23674   '],"[' 62418    (Atom=Atom', ' 18480 Body=Body', ' 11158 Other', ' 32780)']",[' Yes'],"[' 3869     (Eliminated', '    0 Frozen', ' 3869)']","[' 284      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.405681'],[' 0'], ,[' 225.051'],[' 0'],[' 4.55165'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.66604e+07'],[' 2.8663e+07'],[' 0'],[' 1.20166e+10'],[' 0'],[' 0'],[' 782 '],[' 1315 '],[' 1654 '],[' 1888 '],[' 2201 '],[' 2615 '],[' 2906 '],[' 3177 '],[' 3445 '],[' 3 '],[' 6 ']
Solving...,TA65, , , , , ,[' 999'],[' 509'],"[' 209.129s (Solving', ' 206.52s 1st Model', ' 1.08s Unsat', ' 87.80s)']",[' 208.797s'], ,[' 8150543 '],"[' 5124907  (Analyzed', ' 5072984)']","[' 11342    (Average', ' 447.27 Last', ' 24525)']",[' 1449.5  '],"[' 509      (Average Length', ' 332.17 Splits', ' 0)']","[' 5072984  (Deleted', ' 4977484)']","[' 40       (Ratio', '   0.00%)']","[' 1373     (Ratio', '   0.03%)']","[' 5072984  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5072984  (Average', '  1.49 Max', ' 2363 Sum', ' 7581289)']","[' 5072485  (Average', '  1.46 Max', ' 2076 Sum', ' 7418181 Ratio', '  97.85%)']","[' 499      (Average', ' 326.87 Max', ' 539 Sum', ' 163108 Ratio', '   2.15%)']", ,[' 79657   '],[' 2703    '],[' 74009   '],[' 23855   '],"[' 62772    (Atom=Atom', ' 18601 Body=Body', ' 11181 Other', ' 32990)']",[' Yes'],"[' 3971     (Eliminated', '    0 Frozen', ' 3971)']","[' 117      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.48476'],[' 0'], ,[' 155.989'],[' 0'],[' 3.03499'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1041e+07'],[' 9.03762e+06'],[' 0'],[' 8.19561e+09'],[' 0'],[' 0'],[' 579 '],[' 1018 '],[' 1293 '],[' 1627 '],[' 2089 '],[' 2468 '],[' 2890 '],[' 3248 '],[' 3625 '],[' 1 '],[' 8 ']
Solving...,TA66, , , , , ,[' 1201'],[' 610'],"[' 565.644s (Solving', ' 562.43s 1st Model', ' 1.56s Unsat', ' 2.52s)']",[' 558.641s'], ,[' 27152487'],"[' 17949272 (Analyzed', ' 17928987)']","[' 36336    (Average', ' 493.42 Last', ' 258248)']",[' 1520.0  '],"[' 610      (Average Length', ' 371.02 Splits', ' 0)']","[' 17928987 (Deleted', ' 17694408)']","[' 30       (Ratio', '   0.00%)']","[' 2358     (Ratio', '   0.01%)']","[' 17928987 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17928987 (Average', '  1.46 Max', ' 2392 Sum', ' 26147767)']","[' 17928504 (Average', '  1.45 Max', ' 1994 Sum', ' 25957992 Ratio', '  99.27%)']","[' 483      (Average', ' 392.91 Max', ' 577 Sum', ' 189775 Ratio', '   0.73%)']", ,[' 79980   '],[' 2734    '],[' 74360   '],[' 24143   '],"[' 63502    (Atom=Atom', ' 18815 Body=Body', ' 11271 Other', ' 33416)']",[' Yes'],"[' 4087     (Eliminated', '    0 Frozen', ' 4087)']","[' 346      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.638628'],[' 0'], ,[' 387.763'],[' 0'],[' 7.26447'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.21907e+07'],[' 3.16128e+07'],[' 0'],[' 1.85225e+10'],[' 0'],[' 0'],[' 546 '],[' 987 '],[' 1422 '],[' 1740 '],[' 2021 '],[' 2524 '],[' 2978 '],[' 3370 '],[' 3453 '],[' 5 '],[' 4 ']
Solving...,TA67, , , , , ,[' 929'],[' 474'],"[' 482.095s (Solving', ' 479.71s 1st Model', ' 0.95s Unsat', ' 30.03s)']",[' 479.641s'], ,[' 33893206'],"[' 23124443 (Analyzed', ' 23100876)']","[' 45929    (Average', ' 502.97 Last', ' 43065)']",[' 1355.8  '],"[' 474      (Average Length', ' 312.34 Splits', ' 0)']","[' 23100876 (Deleted', ' 22785805)']","[' 9        (Ratio', '   0.00%)']","[' 1747     (Ratio', '   0.01%)']","[' 23100876 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23100876 (Average', '  1.43 Max', ' 2010 Sum', ' 32957598)']","[' 23100339 (Average', '  1.42 Max', ' 1891 Sum', ' 32767777 Ratio', '  99.42%)']","[' 537      (Average', ' 353.48 Max', ' 479 Sum', ' 189821 Ratio', '   0.58%)']", ,[' 79035   '],[' 2698    '],[' 73537   '],[' 23508   '],"[' 62590    (Atom=Atom', ' 18546 Body=Body', ' 11166 Other', ' 32878)']",[' Yes'],"[' 3931     (Eliminated', '    0 Frozen', ' 3931)']","[' 317      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.426687'],[' 0'], ,[' 296.29'],[' 0'],[' 6.84262'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.07688e+07'],[' 3.73048e+07'],[' 0'],[' 1.57799e+10'],[' 0'],[' 0'],[' 873 '],[' 1167 '],[' 1591 '],[' 1908 '],[' 2433 '],[' 2723 '],[' 3050 '],[' 3430 '],[' 3658 '],[' 4 '],[' 5 ']
Solving...,TA68, , , , , ,[' 1085'],[' 552'],"[' 365.212s (Solving', ' 362.59s 1st Model', ' 1.07s Unsat', ' 22.84s)']",[' 363.938s'], ,[' 20563897'],"[' 14469267 (Analyzed', ' 14419437)']","[' 29882    (Average', ' 482.55 Last', ' 915)']",[' 1433.6  '],"[' 552      (Average Length', ' 349.07 Splits', ' 0)']","[' 14419437 (Deleted', ' 14230550)']","[' 27       (Ratio', '   0.00%)']","[' 1627     (Ratio', '   0.01%)']","[' 14419437 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14419437 (Average', '  1.37 Max', ' 2224 Sum', ' 19746138)']","[' 14418956 (Average', '  1.36 Max', ' 1992 Sum', ' 19567684 Ratio', '  99.10%)']","[' 481      (Average', ' 371.01 Max', ' 569 Sum', ' 178454 Ratio', '   0.90%)']", ,[' 79668   '],[' 2698    '],[' 74066   '],[' 23945   '],"[' 62841    (Atom=Atom', ' 18624 Body=Body', ' 11166 Other', ' 33051)']",[' Yes'],"[' 4004     (Eliminated', '    0 Frozen', ' 4004)']","[' 243      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.485729'],[' 0'], ,[' 236.207'],[' 0'],[' 3.75828'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.41e+07'],[' 2.13593e+07'],[' 0'],[' 1.20864e+10'],[' 0'],[' 0'],[' 516 '],[' 1051 '],[' 1394 '],[' 1707 '],[' 1998 '],[' 2252 '],[' 2730 '],[' 3336 '],[' 3591 '],[' 3 '],[' 6 ']
Solving...,TA69, , , , , ,[' 965'],[' 492'],"[' 541.210s (Solving', ' 538.72s 1st Model', ' 1.14s Unsat', ' 88.97s)']",[' 538.422s'], ,[' 29205877'],"[' 20392443 (Analyzed', ' 20347259)']","[' 42068    (Average', ' 483.68 Last', ' 26651)']",[' 1495.4  '],"[' 492      (Average Length', ' 310.52 Splits', ' 0)']","[' 20347259 (Deleted', ' 20046847)']","[' 37       (Ratio', '   0.00%)']","[' 2202     (Ratio', '   0.01%)']","[' 20347259 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20347259 (Average', '  1.39 Max', ' 2434 Sum', ' 28186572)']","[' 20346771 (Average', '  1.38 Max', ' 2036 Sum', ' 28036570 Ratio', '  99.47%)']","[' 488      (Average', ' 307.38 Max', ' 475 Sum', ' 150002 Ratio', '   0.53%)']", ,[' 79256   '],[' 2694    '],[' 73777   '],[' 23590   '],"[' 62647    (Atom=Atom', ' 18548 Body=Body', ' 11154 Other', ' 32945)']",[' Yes'],"[' 3941     (Eliminated', '    0 Frozen', ' 3941)']","[' 288      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.46802'],[' 0'], ,[' 374.67'],[' 0'],[' 7.55815'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.53466e+07'],[' 2.87279e+07'],[' 0'],[' 2.22925e+10'],[' 0'],[' 0'],[' 654 '],[' 1249 '],[' 1506 '],[' 1822 '],[' 2450 '],[' 2712 '],[' 3015 '],[' 3530 '],[' 3790 '],[' 4 '],[' 5 ']
Solving...,TA70, , , , , ,[' 577'],[' 298'],"[' 363.242s (Solving', ' 361.65s 1st Model', ' 0.60s Unsat', ' 25.14s)']",[' 361.281s'], ,[' 25439193'],"[' 17638175 (Analyzed', ' 17634871)']","[' 34179    (Average', ' 515.96 Last', ' 9226)']",[' 1358.2  '],"[' 297      (Average Length', ' 238.54 Splits', ' 0)']","[' 17634871 (Deleted', ' 17410253)']","[' 12       (Ratio', '   0.00%)']","[' 1536     (Ratio', '   0.01%)']","[' 17634871 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17634871 (Average', '  1.41 Max', ' 2007 Sum', ' 24787723)']","[' 17634279 (Average', '  1.40 Max', ' 2007 Sum', ' 24646399 Ratio', '  99.43%)']","[' 592      (Average', ' 238.72 Max', ' 368 Sum', ' 141324 Ratio', '   0.57%)']", ,[' 79386   '],[' 2774    '],[' 73651   '],[' 23693   '],"[' 63175    (Atom=Atom', ' 18674 Body=Body', ' 11394 Other', ' 33107)']",[' Yes'],"[' 3836     (Eliminated', '    0 Frozen', ' 3836)']","[' 246      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.257337'],[' 0'], ,[' 243.847'],[' 0'],[' 3.82768'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.39584e+07'],[' 2.37314e+07'],[' 0'],[' 1.57591e+10'],[' 0'],[' 0'],[' 990 '],[' 1022 '],[' 1416 '],[' 1987 '],[' 2551 '],[' 3010 '],[' 3118 '],[' 3709 '],[' 3876 '],[' 4 '],[' 5 ']
