Optimal Found Or Timeout,Instances,Models,Calls,Time,CPU Time,,Choices,Conflicts,Restarts,Model-Level,Problems,Lemmas,Binary,Ternary,Conflict,Loop,Other,Backjumps,Executed,Bounded,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Optimization,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv08,[' 761+'],[' 762'],"[' 12599.953s (Solving', ' 12597.68s 1st Model', ' 12554.51s Unsat', ' 0.00s)']",[' 12595.078s'], ,[' 2719564805'],"[' 19382970 (Analyzed', ' 19382970)']","[' 40049    (Average', ' 483.98 Last', ' 30864)']",[' 2150.3  '],"[' 762      (Average Length', ' 1.00 Splits', ' 0)']","[' 107185132 (Deleted', ' 106947174)']","[' 1735     (Ratio', '   0.00%)']","[' 32809    (Ratio', '   0.03%)']","[' 19382970 (Average Length', '   32.5 Ratio', '  18.08%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 87802162 (Average Length', '   19.8 Ratio', '  81.92%) ']","[' 19382970 (Average', '  4.51 Max', ' 2092 Sum', ' 87371462)']","[' 19382970 (Average', '  4.51 Max', ' 2092 Sum', ' 87371462 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18042   '],[' 3150    '],[' 17742   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 3911     (Eliminated', '    0 Frozen', ' 3150)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1973'],[' 0.366766'],[' 0'], ,[' 4649.85'],[' 0'],[' 218.635'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1131e+10'],[' 1.89741e+10'],[' 0'],[' 2.64619e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv09,[' 747+'],[' 748'],"[' 12599.969s (Solving', ' 12597.86s 1st Model', ' 12535.25s Unsat', ' 0.00s)']",[' 12594.125s'], ,[' 2805545584'],"[' 20319679 (Analyzed', ' 20319679)']","[' 41561    (Average', ' 488.91 Last', ' 122360)']",[' 2085.0  '],"[' 748      (Average Length', ' 1.00 Splits', ' 0)']","[' 111064084 (Deleted', ' 110859516)']","[' 1674     (Ratio', '   0.00%)']","[' 32798    (Ratio', '   0.03%)']","[' 20319679 (Average Length', '   32.1 Ratio', '  18.30%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 90744405 (Average Length', '   19.5 Ratio', '  81.70%) ']","[' 20319679 (Average', '  4.49 Max', ' 2534 Sum', ' 91191314)']","[' 20319679 (Average', '  4.49 Max', ' 2534 Sum', ' 91191314 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18028   '],[' 3150    '],[' 17728   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 3897     (Eliminated', '    0 Frozen', ' 3150)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1862'],[' 0.360214'],[' 0'], ,[' 4722.73'],[' 0'],[' 226.121'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.14549e+10'],[' 1.91439e+10'],[' 0'],[' 2.70878e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv10,[' 814+'],[' 815'],"[' 12599.947s (Solving', ' 12597.74s 1st Model', ' 10615.54s Unsat', ' 0.00s)']",[' 12595.500s'], ,[' 2772722601'],"[' 22965393 (Analyzed', ' 22965393)']","[' 43590    (Average', ' 526.85 Last', ' 83173)']",[' 2285.8  '],"[' 815      (Average Length', ' 1.00 Splits', ' 0)']","[' 118469911 (Deleted', ' 118221978)']","[' 1569     (Ratio', '   0.00%)']","[' 30956    (Ratio', '   0.03%)']","[' 22965393 (Average Length', '   32.8 Ratio', '  19.39%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 95504518 (Average Length', '   19.7 Ratio', '  80.61%) ']","[' 22965393 (Average', '  4.17 Max', ' 2768 Sum', ' 95766191)']","[' 22965393 (Average', '  4.17 Max', ' 2768 Sum', ' 95766191 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18095   '],[' 3150    '],[' 17795   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 3964     (Eliminated', '    0 Frozen', ' 3150)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1949'],[' 0.397019'],[' 0'], ,[' 4867.4'],[' 0'],[' 225.033'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.11925e+10'],[' 1.8924e+10'],[' 0'],[' 2.94177e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,TA11,[' 1098+'],[' 1099'],"[' 12599.950s (Solving', ' 12597.89s 1st Model', ' 8089.28s Unsat', ' 0.00s)']",[' 12594.953s'], ,[' 2270244659'],"[' 31611597 (Analyzed', ' 31611597)']","[' 54542    (Average', ' 579.58 Last', ' 414714)']",[' 2562.7  '],"[' 1099     (Average Length', ' 1.00 Splits', ' 0)']","[' 159174868 (Deleted', ' 158814217)']","[' 1586     (Ratio', '   0.00%)']","[' 28119    (Ratio', '   0.02%)']","[' 31611597 (Average Length', '   24.8 Ratio', '  19.86%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 127563271 (Average Length', '   13.3 Ratio', '  80.14%) ']","[' 31611597 (Average', '  3.19 Max', ' 2791 Sum', ' 100727296)']","[' 31611597 (Average', '  3.19 Max', ' 2791 Sum', ' 100727296 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18379   '],[' 3150    '],[' 18079   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 4248     (Eliminated', '    0 Frozen', ' 3150)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1416'],[' 0.51977'],[' 0'], ,[' 5415.92'],[' 0'],[' 212.936'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.82282e+10'],[' 1.60223e+10'],[' 0'],[' 3.90723e+11'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,TA12,[' 1024+'],[' 1025'],"[' 12599.960s (Solving', ' 12597.79s 1st Model', ' 12188.83s Unsat', ' 0.00s)']",[' 12594.109s'], ,[' 2312440582'],"[' 34321441 (Analyzed', ' 34321441)']","[' 60403    (Average', ' 568.21 Last', ' 63814)']",[' 2580.4  '],"[' 1025     (Average Length', ' 1.00 Splits', ' 0)']","[' 164147657 (Deleted', ' 163687287)']","[' 1565     (Ratio', '   0.00%)']","[' 26573    (Ratio', '   0.02%)']","[' 34321441 (Average Length', '   23.6 Ratio', '  20.91%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 129826216 (Average Length', '   12.1 Ratio', '  79.09%) ']","[' 34321441 (Average', '  3.14 Max', ' 1851 Sum', ' 107756066)']","[' 34321441 (Average', '  3.14 Max', ' 1851 Sum', ' 107756066 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 18305   '],[' 3150    '],[' 18005   '],[' 15411   '],"[' 40529    (Atom=Atom', ' 9709 Body=Body', ' 9710 Other', ' 21110)']",[' Yes'],"[' 4174     (Eliminated', '    0 Frozen', ' 3150)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1416'],[' 0.487468'],[' 0'], ,[' 5389.07'],[' 0'],[' 220.644'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74985e+10'],[' 1.52427e+10'],[' 0'],[' 3.76058e+11'],[' 0'],[' 0']
