Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,Dmu35_Clus(1), , , , , , , , , , ,[' 1'],[' 3503+'],[' 1755'],"[' 602.296s (Solving', ' 593.92s 1st Model', ' 489.21s Unsat', ' 0.00s)']",[' 598.547s'], ,[' 195421798'],"[' 6812712  (Analyzed', ' 6556651)']","[' 18249    (Average', ' 359.29 Last', ' 697014)']",[' 3238.1  '],"[' 1755     (Average Length', ' 932.68 Splits', ' 0)']","[' 6556651  (Deleted', ' 6494609)']","[' 1339     (Ratio', '   0.02%)']","[' 33878    (Ratio', '   0.52%)']","[' 6556651  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6556651  (Average', ' 29.14 Max', ' 3332 Sum', ' 191070424)']","[' 6556155  (Average', ' 29.07 Max', ' 3139 Sum', ' 190569545 Ratio', '  99.74%)']","[' 496      (Average', ' 1009.84 Max', ' 1136 Sum', ' 500879 Ratio', '   0.26%)']", ,[' 92584   '],[' 5988    '],[' 86447   '],[' 39069   '],"[' 114857   (Atom=Atom', ' 29952 Body=Body', ' 19986 Other', ' 64919)']",[' Yes'],"[' 7920     (Eliminated', '    0 Frozen', ' 7920)']","[' 4702     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.66924'],[' 0'], ,[' 304.452'],[' 0'],[' 15.7291'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.14351e+08'],[' 7.06685e+08'],[' 0'],[' 1.53115e+10'],[' 0'],[' 0'],[' 3374 '],[' 5560 '],[' 8088 '],[' 3 '],[' 0 ']
Solving...,Dmu35_Clus(10), , , , , , , , , , ,[' 1'],[' 3999+'],[' 2003'],"[' 602.750s (Solving', ' 592.22s 1st Model', ' 548.26s Unsat', ' 0.00s)']",[' 600.563s'], ,[' 221897881'],"[' 5858286  (Analyzed', ' 5472762)']","[' 15260    (Average', ' 358.63 Last', ' 860062)']",[' 3912.6  '],"[' 2003     (Average Length', ' 1058.79 Splits', ' 0)']","[' 5472762  (Deleted', ' 5401712)']","[' 968      (Ratio', '   0.02%)']","[' 43741    (Ratio', '   0.80%)']","[' 5472762  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5472762  (Average', ' 39.43 Max', ' 3838 Sum', ' 215773223)']","[' 5472314  (Average', ' 39.34 Max', ' 3838 Sum', ' 215319315 Ratio', '  99.79%)']","[' 448      (Average', ' 1013.19 Max', ' 1260 Sum', ' 453908 Ratio', '   0.21%)']", ,[' 98101   '],[' 6788    '],[' 92214   '],[' 42755   '],"[' 126920   (Atom=Atom', ' 33358 Body=Body', ' 22368 Other', ' 71194)']",[' Yes'],"[' 8963     (Eliminated', '    0 Frozen', ' 8963)']","[' 5297     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.98193'],[' 0'], ,[' 265.231'],[' 0'],[' 16.3203'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.06881e+08'],[' 7.93611e+08'],[' 0'],[' 1.21994e+10'],[' 0'],[' 0'],[' 2992 '],[' 5491 '],[' 7969 '],[' 3 '],[' 0 ']
Solving...,Dmu35_Clus(11), , , , , , , , , , ,[' 1'],[' 3397+'],[' 1702'],"[' 602.374s (Solving', ' 593.74s 1st Model', ' 203.63s Unsat', ' 0.00s)']",[' 600.828s'], ,[' 235781234'],"[' 5747793  (Analyzed', ' 5458882)']","[' 12957    (Average', ' 421.31 Last', ' 476410)']",[' 3884.8  '],"[' 1702     (Average Length', ' 927.31 Splits', ' 0)']","[' 5458882  (Deleted', ' 5372082)']","[' 761      (Ratio', '   0.01%)']","[' 52746    (Ratio', '   0.97%)']","[' 5458882  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5458882  (Average', ' 42.23 Max', ' 3844 Sum', ' 230505145)']","[' 5458324  (Average', ' 42.13 Max', ' 3844 Sum', ' 229978896 Ratio', '  99.77%)']","[' 558      (Average', ' 943.10 Max', ' 1137 Sum', ' 526249 Ratio', '   0.23%)']", ,[' 102441  '],[' 7336    '],[' 95697   '],[' 45552   '],"[' 134813   (Atom=Atom', ' 35291 Body=Body', ' 24030 Other', ' 75492)']",[' Yes'],"[' 9233     (Eliminated', '    0 Frozen', ' 9233)']","[' 7254     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.69366'],[' 0'], ,[' 264.292'],[' 0'],[' 16.4068'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.13298e+08'],[' 8.07655e+08'],[' 0'],[' 1.36089e+10'],[' 0'],[' 0'],[' 3305 '],[' 5703 '],[' 8799 '],[' 3 '],[' 0 ']
Solving...,Dmu35_Clus(12), , , , , , , , , , ,[' 1'],[' 3549+'],[' 1778'],"[' 602.048s (Solving', ' 593.61s 1st Model', ' 381.37s Unsat', ' 0.00s)']",[' 600.422s'], ,[' 215833264'],"[' 6622007  (Analyzed', ' 6336951)']","[' 16208    (Average', ' 390.98 Last', ' 980555)']",[' 3583.6  '],"[' 1778     (Average Length', ' 956.99 Splits', ' 0)']","[' 6336951  (Deleted', ' 6262209)']","[' 1005     (Ratio', '   0.02%)']","[' 39640    (Ratio', '   0.63%)']","[' 6336951  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6336951  (Average', ' 33.27 Max', ' 3748 Sum', ' 210842630)']","[' 6336466  (Average', ' 33.20 Max', ' 3748 Sum', ' 210366681 Ratio', '  99.77%)']","[' 485      (Average', ' 981.34 Max', ' 1195 Sum', ' 475949 Ratio', '   0.23%)']", ,[' 96386   '],[' 6490    '],[' 90020   '],[' 41598   '],"[' 122437   (Atom=Atom', ' 31983 Body=Body', ' 21492 Other', ' 68962)']",[' Yes'],"[' 8442     (Eliminated', '    0 Frozen', ' 8442)']","[' 4587     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.63927'],[' 0'], ,[' 288.948'],[' 0'],[' 16.3074'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.57524e+08'],[' 7.46588e+08'],[' 0'],[' 1.48592e+10'],[' 0'],[' 0'],[' 3073 '],[' 5556 '],[' 8153 '],[' 3 '],[' 0 ']
Solving...,Dmu35_Clus(13), , , , , , , , , , ,[' 1'],[' 3743+'],[' 1875'],"[' 602.651s (Solving', ' 593.00s 1st Model', ' 360.17s Unsat', ' 0.00s)']",[' 601.156s'], ,[' 216389559'],"[' 7047431  (Analyzed', ' 6635360)']","[' 16914    (Average', ' 392.30 Last', ' 679848)']",[' 3717.2  '],"[' 1875     (Average Length', ' 1002.34 Splits', ' 0)']","[' 6635360  (Deleted', ' 6568090)']","[' 1056     (Ratio', '   0.02%)']","[' 37968    (Ratio', '   0.57%)']","[' 6635360  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6635360  (Average', ' 31.78 Max', ' 3657 Sum', ' 210886715)']","[' 6634861  (Average', ' 31.71 Max', ' 3657 Sum', ' 210379885 Ratio', '  99.76%)']","[' 499      (Average', ' 1015.69 Max', ' 1224 Sum', ' 506830 Ratio', '   0.24%)']", ,[' 96485   '],[' 6506    '],[' 90275   '],[' 41647   '],"[' 122894   (Atom=Atom', ' 32144 Body=Body', ' 21540 Other', ' 69210)']",[' Yes'],"[' 8558     (Eliminated', '    0 Frozen', ' 8558)']","[' 4362     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.79707'],[' 0'], ,[' 285.531'],[' 0'],[' 15.9164'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.60482e+08'],[' 7.42939e+08'],[' 0'],[' 1.43422e+10'],[' 0'],[' 0'],[' 3086 '],[' 5617 '],[' 8049 '],[' 3 '],[' 0 ']
Solving...,Dmu35_Clus(14), , , , , , , , , , ,[' 1'],[' 3529+'],[' 1768'],"[' 602.656s (Solving', ' 593.22s 1st Model', ' 70.86s Unsat', ' 0.00s)']",[' 601.484s'], ,[' 238911305'],"[' 5734699  (Analyzed', ' 5382994)']","[' 11455    (Average', ' 469.93 Last', ' 61459)']",[' 3963.1  '],"[' 1768     (Average Length', ' 961.42 Splits', ' 0)']","[' 5382994  (Deleted', ' 5286529)']","[' 875      (Ratio', '   0.02%)']","[' 55630    (Ratio', '   1.03%)']","[' 5382994  (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5382994  (Average', ' 43.35 Max', ' 3781 Sum', ' 233347547)']","[' 5382451  (Average', ' 43.25 Max', ' 3781 Sum', ' 232804757 Ratio', '  99.77%)']","[' 543      (Average', ' 999.61 Max', ' 1212 Sum', ' 542790 Ratio', '   0.23%)']", ,[' 102609  '],[' 7396    '],[' 96082   '],[' 45534   '],"[' 135682   (Atom=Atom', ' 35597 Body=Body', ' 24210 Other', ' 75875)']",[' Yes'],"[' 9348     (Eliminated', '    0 Frozen', ' 9348)']","[' 7524     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.77246'],[' 0'], ,[' 260.703'],[' 0'],[' 16.6048'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.183e+08'],[' 8.18165e+08'],[' 0'],[' 1.33085e+10'],[' 0'],[' 0'],[' 3553 '],[' 6250 '],[' 9068 '],[' 3 '],[' 0 ']
Solving...,Dmu35_Clus(15), , , , , , , , , , ,[' 1'],[' 3997+'],[' 2001'],"[' 602.476s (Solving', ' 593.18s 1st Model', ' 422.45s Unsat', ' 0.00s)']",[' 601.359s'], ,[' 182228955'],"[' 4876215  (Analyzed', ' 4527183)']","[' 13133    (Average', ' 344.72 Last', ' 583865)']",[' 3732.9  '],"[' 2001     (Average Length', ' 1057.60 Splits', ' 0)']","[' 4527183  (Deleted', ' 4466660)']","[' 871      (Ratio', '   0.02%)']","[' 37624    (Ratio', '   0.83%)']","[' 4527183  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4527183  (Average', ' 38.95 Max', ' 3997 Sum', ' 176345527)']","[' 4526894  (Average', ' 38.89 Max', ' 3997 Sum', ' 176058261 Ratio', '  99.84%)']","[' 289      (Average', ' 994.00 Max', ' 994 Sum', ' 287266 Ratio', '   0.16%)']", ,[' 96195   '],[' 6443    '],[' 90033   '],[' 41658   '],"[' 122573   (Atom=Atom', ' 32019 Body=Body', ' 21351 Other', ' 69203)']",[' Yes'],"[' 8611     (Eliminated', '    0 Frozen', ' 8611)']","[' 2673     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.91106'],[' 0'], ,[' 205.584'],[' 0'],[' 13.0156'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.29724e+08'],[' 6.37248e+08'],[' 0'],[' 9.00389e+09'],[' 0'],[' 0'],[' 2946 '],[' 5567 '],[' 8003 '],[' 3 '],[' 0 ']
Solving...,Dmu35_Clus(2), , , , , , , , , , ,[' 1'],[' 3715+'],[' 1861'],"[' 602.380s (Solving', ' 593.44s 1st Model', ' 524.29s Unsat', ' 0.00s)']",[' 600.922s'], ,[' 209644580'],"[' 6869735  (Analyzed', ' 6541417)']","[' 18114    (Average', ' 361.12 Last', ' 715503)']",[' 3439.5  '],"[' 1861     (Average Length', ' 999.37 Splits', ' 0)']","[' 6541417  (Deleted', ' 6478935)']","[' 1182     (Ratio', '   0.02%)']","[' 35426    (Ratio', '   0.54%)']","[' 6541417  (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6541417  (Average', ' 31.29 Max', ' 3235 Sum', ' 204681511)']","[' 6540899  (Average', ' 31.22 Max', ' 3235 Sum', ' 204192419 Ratio', '  99.76%)']","[' 518      (Average', ' 944.19 Max', ' 1154 Sum', ' 489092 Ratio', '   0.24%)']", ,[' 93289   '],[' 6064    '],[' 87213   '],[' 39577   '],"[' 116319   (Atom=Atom', ' 30362 Body=Body', ' 20214 Other', ' 65743)']",[' Yes'],"[' 8106     (Eliminated', '    0 Frozen', ' 8106)']","[' 4532     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82608'],[' 0'], ,[' 290.568'],[' 0'],[' 16.1208'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.64126e+08'],[' 7.49873e+08'],[' 0'],[' 1.43666e+10'],[' 0'],[' 0'],[' 3295 '],[' 5720 '],[' 7986 '],[' 3 '],[' 0 ']
Solving...,Dmu35_Clus(3), , , , , , , , , , ,[' 1'],[' 3503+'],[' 1755'],"[' 602.460s (Solving', ' 593.62s 1st Model', ' 544.31s Unsat', ' 0.00s)']",[' 601.344s'], ,[' 210784358'],"[' 6343831  (Analyzed', ' 6064280)']","[' 16996    (Average', ' 356.81 Last', ' 949887)']",[' 3209.6  '],"[' 1755     (Average Length', ' 931.09 Splits', ' 0)']","[' 6064280  (Deleted', ' 6003943)']","[' 1301     (Ratio', '   0.02%)']","[' 36435    (Ratio', '   0.60%)']","[' 6064280  (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6064280  (Average', ' 34.05 Max', ' 3175 Sum', ' 206463037)']","[' 6063733  (Average', ' 33.96 Max', ' 3175 Sum', ' 205940503 Ratio', '  99.75%)']","[' 547      (Average', ' 955.27 Max', ' 1092 Sum', ' 522534 Ratio', '   0.25%)']", ,[' 91872   '],[' 5952    '],[' 85985   '],[' 38689   '],"[' 113794   (Atom=Atom', ' 29759 Body=Body', ' 19857 Other', ' 64178)']",[' Yes'],"[' 7869     (Eliminated', '    0 Frozen', ' 7869)']","[' 4467     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6741'],[' 0'], ,[' 284.195'],[' 0'],[' 15.7251'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.9984e+08'],[' 7.83686e+08'],[' 0'],[' 1.42147e+10'],[' 0'],[' 0'],[' 3392 '],[' 5572 '],[' 7780 '],[' 3 '],[' 0 ']
Solving...,Dmu35_Clus(4), , , , , , , , , , ,[' 1'],[' 3595+'],[' 1801'],"[' 602.163s (Solving', ' 594.13s 1st Model', ' 542.75s Unsat', ' 0.00s)']",[' 600.031s'], ,[' 200881158'],"[' 7223247  (Analyzed', ' 6922728)']","[' 19443    (Average', ' 356.05 Last', ' 634668)']",[' 3415.4  '],"[' 1801     (Average Length', ' 957.48 Splits', ' 0)']","[' 6922728  (Deleted', ' 6862759)']","[' 1384     (Ratio', '   0.02%)']","[' 35181    (Ratio', '   0.51%)']","[' 6922728  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6922728  (Average', ' 28.31 Max', ' 3439 Sum', ' 196000724)']","[' 6922269  (Average', ' 28.25 Max', ' 3383 Sum', ' 195543121 Ratio', '  99.77%)']","[' 459      (Average', ' 996.96 Max', ' 1151 Sum', ' 457603 Ratio', '   0.23%)']", ,[' 93158   '],[' 6063    '],[' 87058   '],[' 39421   '],"[' 116052   (Atom=Atom', ' 30298 Body=Body', ' 20211 Other', ' 65543)']",[' Yes'],"[' 8035     (Eliminated', '    0 Frozen', ' 8035)']","[' 4384     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.73011'],[' 0'], ,[' 297.322'],[' 0'],[' 16.0408'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.31358e+08'],[' 7.1921e+08'],[' 0'],[' 1.47934e+10'],[' 0'],[' 0'],[' 3098 '],[' 6132 '],[' 8207 '],[' 3 '],[' 0 ']
