Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 4861+'],[' 2439'],"[' 1009.630s (Solving', ' 970.44s 1st Model', ' 55.77s Unsat', ' 0.00s)']",[' 1007.016s'], ,[' 102398414'],"[' 11714375 (Analyzed', ' 11356273)']","[' 22496    (Average', ' 504.81 Last', ' 30644)']",[' 5803.2  '],"[' 2439     (Average Length', ' 1116.80 Splits', ' 0)']","[' 11356273 (Deleted', ' 11193385)']","[' 49       (Ratio', '   0.00%)']","[' 16999    (Ratio', '   0.15%)']","[' 11356273 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11356273 (Average', '  8.13 Max', ' 8034 Sum', ' 92377303)']","[' 11354215 (Average', '  7.93 Max', ' 8034 Sum', ' 90077920 Ratio', '  97.51%)']","[' 2058     (Average', ' 1117.29 Max', ' 1949 Sum', ' 2299383 Ratio', '   2.49%)']", ,[' 364591  '],[' 14001   '],[' 364755  '],[' 210788  '],"[' 632360   (Atom=Atom', ' 198785 Body=Body', ' 114901 Other', ' 318674)']",[' Yes'],"[' 16165    (Eliminated', '    0 Frozen', ' 16165)']","[' 3273     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.94466'],[' 0'], ,[' 837.888'],[' 0'],[' 13.231'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.11353e+08'],[' 3.65996e+08'],[' 0'],[' 1.09352e+11'],[' 0'],[' 0'],[' 1187 '],[' 2058 '],[' 2947 '],[' 3808 '],[' 4666 '],[' 5356 '],[' 6073 '],[' 6654 '],[' 8 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 5435+'],[' 2726'],"[' 1010.324s (Solving', ' 967.40s 1st Model', ' 65.47s Unsat', ' 0.00s)']",[' 1006.813s'], ,[' 93489042'],"[' 11046927 (Analyzed', ' 10743607)']","[' 22536    (Average', ' 476.73 Last', ' 37815)']",[' 5861.4  '],"[' 2726     (Average Length', ' 1220.69 Splits', ' 0)']","[' 10743607 (Deleted', ' 10564071)']","[' 30       (Ratio', '   0.00%)']","[' 15148    (Ratio', '   0.14%)']","[' 10743607 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10743607 (Average', '  7.65 Max', ' 8084 Sum', ' 82188943)']","[' 10741851 (Average', '  7.46 Max', ' 8084 Sum', ' 80111850 Ratio', '  97.47%)']","[' 1756     (Average', ' 1182.85 Max', ' 2099 Sum', ' 2077093 Ratio', '   2.53%)']", ,[' 362342  '],[' 13798   '],[' 362717  '],[' 210166  '],"[' 630494   (Atom=Atom', ' 198366 Body=Body', ' 114698 Other', ' 317430)']",[' Yes'],"[' 16173    (Eliminated', '    0 Frozen', ' 16173)']","[' 3037     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.64566'],[' 0'], ,[' 836.298'],[' 0'],[' 13.5591'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.01466e+08'],[' 3.62313e+08'],[' 0'],[' 1.10378e+11'],[' 0'],[' 0'],[' 944 '],[' 1658 '],[' 2387 '],[' 3102 '],[' 3744 '],[' 4441 '],[' 5152 '],[' 5731 '],[' 8 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 5509+'],[' 2763'],"[' 1010.876s (Solving', ' 966.65s 1st Model', ' 202.17s Unsat', ' 0.00s)']",[' 1007.469s'], ,[' 105213963'],"[' 11238878 (Analyzed', ' 10868818)']","[' 23337    (Average', ' 465.73 Last', ' 368504)']",[' 5721.4  '],"[' 2763     (Average Length', ' 1242.54 Splits', ' 0)']","[' 10868818 (Deleted', ' 10698885)']","[' 33       (Ratio', '   0.00%)']","[' 17664    (Ratio', '   0.16%)']","[' 10868818 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10868818 (Average', '  8.70 Max', ' 7651 Sum', ' 94506949)']","[' 10866847 (Average', '  8.46 Max', ' 7651 Sum', ' 92003351 Ratio', '  97.35%)']","[' 1971     (Average', ' 1270.22 Max', ' 2189 Sum', ' 2503598 Ratio', '   2.65%)']", ,[' 363998  '],[' 13905   '],[' 364415  '],[' 210516  '],"[' 631544   (Atom=Atom', ' 198609 Body=Body', ' 114805 Other', ' 318130)']",[' Yes'],"[' 16322    (Eliminated', '    0 Frozen', ' 16322)']","[' 3778     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.9509'],[' 0'], ,[' 825.082'],[' 0'],[' 13.503'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.4193e+08'],[' 3.93716e+08'],[' 0'],[' 1.07992e+11'],[' 0'],[' 0'],[' 1126 '],[' 1824 '],[' 2611 '],[' 3256 '],[' 4011 '],[' 4731 '],[' 5411 '],[' 6018 '],[' 8 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 4891+'],[' 2454'],"[' 1009.304s (Solving', ' 969.57s 1st Model', ' 53.88s Unsat', ' 0.00s)']",[' 1006.203s'], ,[' 78651520'],"[' 10795805 (Analyzed', ' 10537369)']","[' 22276    (Average', ' 473.04 Last', ' 15986)']",[' 5911.7  '],"[' 2454     (Average Length', ' 1128.72 Splits', ' 0)']","[' 10537369 (Deleted', ' 10354106)']","[' 37       (Ratio', '   0.00%)']","[' 12633    (Ratio', '   0.12%)']","[' 10537369 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10537369 (Average', '  6.48 Max', ' 8469 Sum', ' 68305310)']","[' 10535530 (Average', '  6.29 Max', ' 8469 Sum', ' 66260198 Ratio', '  97.01%)']","[' 1839     (Average', ' 1112.08 Max', ' 1938 Sum', ' 2045112 Ratio', '   2.99%)']", ,[' 363644  '],[' 13901   '],[' 363848  '],[' 211085  '],"[' 633251   (Atom=Atom', ' 199182 Body=Body', ' 114801 Other', ' 319268)']",[' Yes'],"[' 16105    (Eliminated', '    0 Frozen', ' 16105)']","[' 2614     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.1323'],[' 0'], ,[' 848.007'],[' 0'],[' 12.3427'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.48189e+08'],[' 3.10369e+08'],[' 0'],[' 1.10926e+11'],[' 0'],[' 0'],[' 1026 '],[' 1769 '],[' 2486 '],[' 3242 '],[' 3997 '],[' 4708 '],[' 5465 '],[' 6022 '],[' 8 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 5667+'],[' 2842'],"[' 1011.128s (Solving', ' 967.08s 1st Model', ' 187.67s Unsat', ' 0.00s)']",[' 1007.797s'], ,[' 131757833'],"[' 10342279 (Analyzed', ' 9989020)']","[' 21921    (Average', ' 455.68 Last', ' 254302)']",[' 5018.3  '],"[' 2842     (Average Length', ' 1276.64 Splits', ' 0)']","[' 9989020  (Deleted', ' 9818133)']","[' 101      (Ratio', '   0.00%)']","[' 29367    (Ratio', '   0.29%)']","[' 9989020  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9989020  (Average', ' 12.27 Max', ' 6914 Sum', ' 122533722)']","[' 9987292  (Average', ' 12.04 Max', ' 6914 Sum', ' 120256059 Ratio', '  98.14%)']","[' 1728     (Average', ' 1318.09 Max', ' 2233 Sum', ' 2277663 Ratio', '   1.86%)']", ,[' 364419  '],[' 13964   '],[' 364889  '],[' 210584  '],"[' 631748   (Atom=Atom', ' 198618 Body=Body', ' 114864 Other', ' 318266)']",[' Yes'],"[' 16434    (Eliminated', '    0 Frozen', ' 16434)']","[' 5838     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.76823'],[' 0'], ,[' 792.8'],[' 0'],[' 14.4162'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.47693e+08'],[' 4.85573e+08'],[' 0'],[' 1.0403e+11'],[' 0'],[' 0'],[' 993 '],[' 1678 '],[' 2545 '],[' 3250 '],[' 4027 '],[' 4734 '],[' 5456 '],[' 6034 '],[' 8 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 5643+'],[' 2830'],"[' 1010.725s (Solving', ' 967.21s 1st Model', ' 158.92s Unsat', ' 0.00s)']",[' 1007.641s'], ,[' 119278080'],"[' 10991290 (Analyzed', ' 10631079)']","[' 22553    (Average', ' 471.38 Last', ' 79380)']",[' 5222.6  '],"[' 2830     (Average Length', ' 1253.82 Splits', ' 0)']","[' 10631079 (Deleted', ' 10465073)']","[' 53       (Ratio', '   0.00%)']","[' 23670    (Ratio', '   0.22%)']","[' 10631079 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10631079 (Average', ' 10.30 Max', ' 7022 Sum', ' 109542257)']","[' 10629194 (Average', ' 10.09 Max', ' 7022 Sum', ' 107214861 Ratio', '  97.88%)']","[' 1885     (Average', ' 1234.69 Max', ' 2205 Sum', ' 2327396 Ratio', '   2.12%)']", ,[' 362158  '],[' 13781   '],[' 362602  '],[' 208325  '],"[' 624971   (Atom=Atom', ' 196542 Body=Body', ' 114681 Other', ' 313748)']",[' Yes'],"[' 16225    (Eliminated', '    0 Frozen', ' 16225)']","[' 4945     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.97693'],[' 0'], ,[' 811.829'],[' 0'],[' 14.3884'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.92362e+08'],[' 4.36085e+08'],[' 0'],[' 1.03797e+11'],[' 0'],[' 0'],[' 1016 '],[' 1804 '],[' 2460 '],[' 3148 '],[' 3874 '],[' 4587 '],[' 5290 '],[' 5928 '],[' 8 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 5125+'],[' 2571'],"[' 1010.429s (Solving', ' 967.77s 1st Model', ' 61.64s Unsat', ' 0.00s)']",[' 1005.063s'], ,[' 82941418'],"[' 11724518 (Analyzed', ' 11373617)']","[' 23528    (Average', ' 483.41 Last', ' 28476)']",[' 5812.6  '],"[' 2571     (Average Length', ' 1150.11 Splits', ' 0)']","[' 11373617 (Deleted', ' 11201134)']","[' 22       (Ratio', '   0.00%)']","[' 11934    (Ratio', '   0.10%)']","[' 11373617 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11373617 (Average', '  6.35 Max', ' 8334 Sum', ' 72177124)']","[' 11371734 (Average', '  6.17 Max', ' 8334 Sum', ' 70121849 Ratio', '  97.15%)']","[' 1883     (Average', ' 1091.49 Max', ' 1955 Sum', ' 2055275 Ratio', '   2.85%)']", ,[' 362339  '],[' 13785   '],[' 362602  '],[' 209024  '],"[' 627068   (Atom=Atom', ' 197237 Body=Body', ' 114685 Other', ' 315146)']",[' Yes'],"[' 16048    (Eliminated', '    0 Frozen', ' 16048)']","[' 2346     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.44125'],[' 0'], ,[' 839.818'],[' 0'],[' 12.3664'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.52699e+08'],[' 3.13308e+08'],[' 0'],[' 1.08496e+11'],[' 0'],[' 0'],[' 1147 '],[' 1902 '],[' 2564 '],[' 3291 '],[' 4064 '],[' 4828 '],[' 5668 '],[' 6228 '],[' 8 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 5163+'],[' 2590'],"[' 1017.308s (Solving', ' 939.18s 1st Model', ' 235.86s Unsat', ' 0.00s)']",[' 1002.859s'], ,[' 70647931'],"[' 4942960  (Analyzed', ' 4606778)']","[' 10555    (Average', ' 436.45 Last', ' 50951)']",[' 5528.8  '],"[' 2590     (Average Length', ' 1157.52 Splits', ' 0)']","[' 4606778  (Deleted', ' 4513486)']","[' 34       (Ratio', '   0.00%)']","[' 14018    (Ratio', '   0.30%)']","[' 4606778  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4606778  (Average', ' 13.21 Max', ' 7968 Sum', ' 60845158)']","[' 4604878  (Average', ' 12.75 Max', ' 7968 Sum', ' 58759256 Ratio', '  96.57%)']","[' 1900     (Average', ' 1097.84 Max', ' 2049 Sum', ' 2085902 Ratio', '   3.43%)']", ,[' 363618  '],[' 13913   '],[' 363874  '],[' 209887  '],"[' 629657   (Atom=Atom', ' 197972 Body=Body', ' 114813 Other', ' 316872)']",[' Yes'],"[' 16169    (Eliminated', '    0 Frozen', ' 16169)']","[' 2858     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.5923'],[' 0'], ,[' 750.282'],[' 0'],[' 15.2812'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.11125e+08'],[' 2.869e+08'],[' 0'],[' 5.33907e+10'],[' 0'],[' 0'],[' 1123 '],[' 1814 '],[' 2531 '],[' 3289 '],[' 3983 '],[' 4666 '],[' 5467 '],[' 6056 '],[' 8 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 5169+'],[' 2593'],"[' 1016.515s (Solving', ' 924.55s 1st Model', ' 264.01s Unsat', ' 0.00s)']",[' 1002.781s'], ,[' 88815973'],"[' 7916444  (Analyzed', ' 7675866)']","[' 15538    (Average', ' 494.01 Last', ' 261703)']",[' 5641.7  '],"[' 2593     (Average Length', ' 1182.03 Splits', ' 0)']","[' 7675866  (Deleted', ' 7546187)']","[' 36       (Ratio', '   0.00%)']","[' 18717    (Ratio', '   0.24%)']","[' 7675866  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7675866  (Average', ' 10.18 Max', ' 8256 Sum', ' 78116712)']","[' 7674450  (Average', '  9.99 Max', ' 8256 Sum', ' 76662003 Ratio', '  98.14%)']","[' 1416     (Average', ' 1027.34 Max', ' 2039 Sum', ' 1454709 Ratio', '   1.86%)']", ,[' 365500  '],[' 13967   '],[' 365807  '],[' 212646  '],"[' 637934   (Atom=Atom', ' 200677 Body=Body', ' 114867 Other', ' 322390)']",[' Yes'],"[' 16274    (Eliminated', '    0 Frozen', ' 16274)']","[' 3411     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.4759'],[' 0'], ,[' 718.925'],[' 0'],[' 16.1153'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.91926e+08'],[' 3.51521e+08'],[' 0'],[' 3.88175e+10'],[' 0'],[' 0'],[' 954 '],[' 1640 '],[' 2346 '],[' 3047 '],[' 3884 '],[' 4613 '],[' 5296 '],[' 5898 '],[' 8 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 5139+'],[' 2578'],"[' 1022.158s (Solving', ' 973.96s 1st Model', ' 136.60s Unsat', ' 0.00s)']",[' 1004.516s'], ,[' 105200830'],"[' 6571999  (Analyzed', ' 6359729)']","[' 14624    (Average', ' 434.88 Last', ' 82488)']",[' 5779.8  '],"[' 2578     (Average Length', ' 1180.62 Splits', ' 0)']","[' 6359729  (Deleted', ' 6250937)']","[' 57       (Ratio', '   0.00%)']","[' 22174    (Ratio', '   0.35%)']","[' 6359729  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6359729  (Average', ' 14.91 Max', ' 7774 Sum', ' 94850242)']","[' 6357965  (Average', ' 14.59 Max', ' 7774 Sum', ' 92810254 Ratio', '  97.85%)']","[' 1764     (Average', ' 1156.46 Max', ' 2020 Sum', ' 2039988 Ratio', '   2.15%)']", ,[' 366041  '],[' 13980   '],[' 366319  '],[' 212648  '],"[' 637940   (Atom=Atom', ' 200666 Body=Body', ' 114880 Other', ' 322394)']",[' Yes'],"[' 16258    (Eliminated', '    0 Frozen', ' 16258)']","[' 4415     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.45944'],[' 0'], ,[' 800.724'],[' 0'],[' 14.4788'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.69772e+08'],[' 4.2636e+08'],[' 0'],[' 9.72246e+10'],[' 0'],[' 0'],[' 932 '],[' 1884 '],[' 2596 '],[' 3220 '],[' 3894 '],[' 4555 '],[' 5273 '],[' 5809 '],[' 8 '],[' 0 ']
