Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA41, , , ,[' 393'],[' 207'],"[' 2.745s (Solving', ' 1.61s 1st Model', ' 0.27s Unsat', ' 0.08s)']",[' 2.656s'], ,[' 171247  '],"[' 5119     (Analyzed', ' 2829)']","[' 27       (Average', ' 104.78 Last', ' 101)']",[' 623.2   '],"[' 207      (Average Length', ' 97.14 Splits', ' 0)']","[' 2829     (Deleted', ' 0)']","[' 55       (Ratio', '   1.94%)']","[' 264      (Ratio', '   9.33%)']","[' 2829     (Average Length', '    5.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2829     (Average', ' 23.33 Max', ' 816 Sum', '  65996)']","[' 2746     (Average', ' 23.05 Max', ' 816 Sum', '  65206 Ratio', '  98.80%)']","[' 83       (Average', '  9.52 Max', ' 150 Sum', '    790 Ratio', '   1.20%)']", ,[' 38733   '],[' 1513    '],[' 38327   '],[' 20526   '],"[' 61574    (Atom=Atom', ' 19611 Body=Body', ' 10783 Other', ' 31180)']",[' Yes'],"[' 1707     (Eliminated', '    0 Frozen', ' 1707)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.281369'],[' 0'], ,[' 0.478967'],[' 0'],[' 0.0174683'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.93445e+06'],[' 1.82888e+06'],[' 0'],[' 1.26473e+07'],[' 0'],[' 0'],[' 316 '],[' 610 '],[' 902 '],[' 1220 '],[' 1414 '],[' 1724 '],[' 2151 '],[' 2344 '],[' 2660 '],[' 2960 '],[' 0 '],[' 10 ']
Solving...,TA42, , , ,[' 307'],[' 164'],"[' 12.880s (Solving', ' 11.97s 1st Model', ' 0.18s Unsat', ' 10.89s)']",[' 12.781s'], ,[' 275822  '],"[' 128904   (Analyzed', ' 127563)']","[' 418      (Average', ' 305.17 Last', ' 65)']",[' 520.2   '],"[' 164      (Average Length', ' 76.33 Splits', ' 0)']","[' 127563   (Deleted', ' 119862)']","[' 74       (Ratio', '   0.06%)']","[' 443      (Ratio', '   0.35%)']","[' 127563   (Average Length', '    9.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 127563   (Average', '  1.60 Max', ' 739 Sum', ' 203683)']","[' 127466   (Average', '  1.59 Max', ' 739 Sum', ' 203164 Ratio', '  99.75%)']","[' 97       (Average', '  5.35 Max', ' 115 Sum', '    519 Ratio', '   0.25%)']", ,[' 37497   '],[' 1428    '],[' 37049   '],[' 19418   '],"[' 58250    (Atom=Atom', ' 18588 Body=Body', ' 10698 Other', ' 28964)']",[' Yes'],"[' 1580     (Eliminated', '    0 Frozen', ' 1580)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.231556'],[' 0'], ,[' 9.71169'],[' 0'],[' 0.167605'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.8497e+06'],[' 1.47799e+06'],[' 0'],[' 1.37974e+09'],[' 0'],[' 0'],[' 346 '],[' 724 '],[' 976 '],[' 1210 '],[' 1494 '],[' 1855 '],[' 2116 '],[' 2456 '],[' 2601 '],[' 3120 '],[' 0 '],[' 10 ']
Solving...,TA43, , , ,[' 357'],[' 189'],"[' 2.328s (Solving', ' 1.36s 1st Model', ' 0.23s Unsat', ' 0.13s)']",[' 2.266s'], ,[' 136166  '],"[' 4268     (Analyzed', ' 3122)']","[' 23       (Average', ' 135.74 Last', ' 93)']",[' 540.1   '],"[' 189      (Average Length', ' 88.60 Splits', ' 0)']","[' 3122     (Deleted', ' 0)']","[' 69       (Ratio', '   2.21%)']","[' 282      (Ratio', '   9.03%)']","[' 3122     (Average Length', '    5.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3122     (Average', ' 17.43 Max', ' 731 Sum', '  54426)']","[' 3034     (Average', ' 17.30 Max', ' 731 Sum', '  54007 Ratio', '  99.23%)']","[' 88       (Average', '  4.76 Max', ' 154 Sum', '    419 Ratio', '   0.77%)']", ,[' 38165   '],[' 1428    '],[' 37742   '],[' 19647   '],"[' 58937    (Atom=Atom', ' 18817 Body=Body', ' 10698 Other', ' 29422)']",[' Yes'],"[' 1605     (Eliminated', '    0 Frozen', ' 1605)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.232342'],[' 0'], ,[' 0.442372'],[' 0'],[' 0.0157771'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57507e+06'],[' 1.48288e+06'],[' 0'],[' 2.06229e+07'],[' 0'],[' 0'],[' 354 '],[' 605 '],[' 871 '],[' 1134 '],[' 1357 '],[' 1654 '],[' 1951 '],[' 2231 '],[' 2566 '],[' 2849 '],[' 0 '],[' 10 ']
Solving...,TA44, , , ,[' 369'],[' 195'],"[' 6.948s (Solving', ' 5.87s 1st Model', ' 0.27s Unsat', ' 4.51s)']",[' 6.922s'], ,[' 510314  '],"[' 274484   (Analyzed', ' 270930)']","[' 803      (Average', ' 337.40 Last', ' 141)']",[' 614.9   '],"[' 195      (Average Length', ' 91.59 Splits', ' 0)']","[' 270930   (Deleted', ' 259452)']","[' 78       (Ratio', '   0.03%)']","[' 533      (Ratio', '   0.20%)']","[' 270930   (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 270930   (Average', '  1.50 Max', ' 777 Sum', ' 405817)']","[' 270838   (Average', '  1.50 Max', ' 777 Sum', ' 405137 Ratio', '  99.83%)']","[' 92       (Average', '  7.39 Max', '  90 Sum', '    680 Ratio', '   0.17%)']", ,[' 38613   '],[' 1457    '],[' 38197   '],[' 20372   '],"[' 61112    (Atom=Atom', ' 19513 Body=Body', ' 10727 Other', ' 30872)']",[' Yes'],"[' 1641     (Eliminated', '    0 Frozen', ' 1641)']","[' 23       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.26201'],[' 0'], ,[' 2.93173'],[' 0'],[' 0.0544198'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.92e+06'],[' 2.19018e+06'],[' 0'],[' 2.15e+08'],[' 0'],[' 0'],[' 433 '],[' 679 '],[' 1029 '],[' 1224 '],[' 1655 '],[' 1977 '],[' 2301 '],[' 2481 '],[' 2786 '],[' 3048 '],[' 0 '],[' 10 ']
Solving...,TA45, , , ,[' 331'],[' 176'],"[' 2.108s (Solving', ' 1.22s 1st Model', ' 0.21s Unsat', ' 0.13s)']",[' 2.047s'], ,[' 130078  '],"[' 5222     (Analyzed', ' 3697)']","[' 26       (Average', ' 142.19 Last', ' 46)']",[' 541.1   '],"[' 176      (Average Length', ' 82.09 Splits', ' 0)']","[' 3697     (Deleted', ' 1265)']","[' 61       (Ratio', '   1.65%)']","[' 261      (Ratio', '   7.06%)']","[' 3697     (Average Length', '    5.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3697     (Average', ' 14.28 Max', ' 791 Sum', '  52801)']","[' 3617     (Average', ' 14.14 Max', ' 791 Sum', '  52294 Ratio', '  99.04%)']","[' 80       (Average', '  6.34 Max', ' 150 Sum', '    507 Ratio', '   0.96%)']", ,[' 38209   '],[' 1463    '],[' 37773   '],[' 20241   '],"[' 60719    (Atom=Atom', ' 19376 Body=Body', ' 10733 Other', ' 30610)']",[' Yes'],"[' 1627     (Eliminated', '    0 Frozen', ' 1627)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.214944'],[' 0'], ,[' 0.404195'],[' 0'],[' 0.0149789'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41529e+06'],[' 1.33003e+06'],[' 0'],[' 1.81296e+07'],[' 0'],[' 0'],[' 346 '],[' 571 '],[' 912 '],[' 1238 '],[' 1471 '],[' 1747 '],[' 2124 '],[' 2384 '],[' 2623 '],[' 2923 '],[' 0 '],[' 10 ']
Solving...,TA46, , , ,[' 359'],[' 190'],"[' 26.967s (Solving', ' 25.90s 1st Model', ' 0.26s Unsat', ' 24.57s)']",[' 26.844s'], ,[' 1424298 '],"[' 986148   (Analyzed', ' 983181)']","[' 2528     (Average', ' 388.92 Last', ' 217)']",[' 622.5   '],"[' 190      (Average Length', ' 88.93 Splits', ' 0)']","[' 983181   (Deleted', ' 959879)']","[' 88       (Ratio', '   0.01%)']","[' 767      (Ratio', '   0.08%)']","[' 983181   (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 983181   (Average', '  1.33 Max', ' 818 Sum', ' 1306459)']","[' 983065   (Average', '  1.33 Max', ' 818 Sum', ' 1305908 Ratio', '  99.96%)']","[' 116      (Average', '  4.75 Max', '  79 Sum', '    551 Ratio', '   0.04%)']", ,[' 39115   '],[' 1504    '],[' 38693   '],[' 20524   '],"[' 61568    (Atom=Atom', ' 19618 Body=Body', ' 10774 Other', ' 31176)']",[' Yes'],"[' 1682     (Eliminated', '    0 Frozen', ' 1682)']","[' 33       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.256653'],[' 0'], ,[' 17.4101'],[' 0'],[' 0.455705'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.38089e+06'],[' 3.07043e+06'],[' 0'],[' 1.88427e+09'],[' 0'],[' 0'],[' 528 '],[' 884 '],[' 1217 '],[' 1510 '],[' 1992 '],[' 2159 '],[' 2394 '],[' 2642 '],[' 2995 '],[' 3302 '],[' 0 '],[' 10 ']
Solving...,TA47, , , ,[' 411'],[' 216'],"[' 2.449s (Solving', ' 1.42s 1st Model', ' 0.24s Unsat', ' 0.09s)']",[' 2.391s'], ,[' 159009  '],"[' 5190     (Analyzed', ' 2389)']","[' 24       (Average', ' 99.54 Last', ' 116)']",[' 565.1   '],"[' 216      (Average Length', ' 102.17 Splits', ' 0)']","[' 2389     (Deleted', ' 0)']","[' 62       (Ratio', '   2.60%)']","[' 230      (Ratio', '   9.63%)']","[' 2389     (Average Length', '    5.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2389     (Average', ' 26.19 Max', ' 794 Sum', '  62560)']","[' 2309     (Average', ' 25.43 Max', ' 794 Sum', '  60747 Ratio', '  97.10%)']","[' 80       (Average', ' 22.66 Max', ' 168 Sum', '   1813 Ratio', '   2.90%)']", ,[' 38467   '],[' 1457    '],[' 38070   '],[' 20141   '],"[' 60419    (Atom=Atom', ' 19282 Body=Body', ' 10727 Other', ' 30410)']",[' Yes'],"[' 1660     (Eliminated', '    0 Frozen', ' 1660)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.251277'],[' 0'], ,[' 0.434927'],[' 0'],[' 0.0162843'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72289e+06'],[' 1.62232e+06'],[' 0'],[' 1.32062e+07'],[' 0'],[' 0'],[' 321 '],[' 631 '],[' 923 '],[' 1080 '],[' 1377 '],[' 1735 '],[' 2003 '],[' 2245 '],[' 2560 '],[' 2929 '],[' 0 '],[' 10 ']
Solving...,TA48, , , ,[' 239'],[' 130'],"[' 2.158s (Solving', ' 1.31s 1st Model', ' 0.14s Unsat', ' 0.42s)']",[' 2.156s'], ,[' 133968  '],"[' 30032    (Analyzed', ' 28192)']","[' 138      (Average', ' 204.29 Last', ' 446)']",[' 552.3   '],"[' 130      (Average Length', ' 57.80 Splits', ' 0)']","[' 28192    (Deleted', ' 21175)']","[' 65       (Ratio', '   0.23%)']","[' 376      (Ratio', '   1.33%)']","[' 28192    (Average Length', '    7.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28192    (Average', '  2.58 Max', ' 744 Sum', '  72659)']","[' 28098    (Average', '  2.56 Max', ' 744 Sum', '  72213 Ratio', '  99.39%)']","[' 94       (Average', '  4.74 Max', '  29 Sum', '    446 Ratio', '   0.61%)']", ,[' 37451   '],[' 1432    '],[' 36967   '],[' 19286   '],"[' 57854    (Atom=Atom', ' 18452 Body=Body', ' 10702 Other', ' 28700)']",[' Yes'],"[' 1548     (Eliminated', '    0 Frozen', ' 1548)']","[' 13       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.203799'],[' 0'], ,[' 0.513147'],[' 0'],[' 0.0169597'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32305e+06'],[' 1.19425e+06'],[' 0'],[' 2.42836e+07'],[' 0'],[' 0'],[' 370 '],[' 740 '],[' 966 '],[' 1348 '],[' 1515 '],[' 1786 '],[' 2079 '],[' 2280 '],[' 2572 '],[' 2905 '],[' 0 '],[' 10 ']
Solving...,TA49, , , ,[' 333'],[' 177'],"[' 2.240s (Solving', ' 1.27s 1st Model', ' 0.23s Unsat', ' 0.05s)']",[' 2.172s'], ,[' 148632  '],"[' 5924     (Analyzed', ' 2013)']","[' 33       (Average', ' 61.00 Last', ' 154)']",[' 605.0   '],"[' 177      (Average Length', ' 82.97 Splits', ' 0)']","[' 2013     (Deleted', ' 0)']","[' 68       (Ratio', '   3.38%)']","[' 200      (Ratio', '   9.94%)']","[' 2013     (Average Length', '    5.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2013     (Average', ' 28.86 Max', ' 823 Sum', '  58086)']","[' 1935     (Average', ' 28.61 Max', ' 823 Sum', '  57598 Ratio', '  99.16%)']","[' 78       (Average', '  6.26 Max', ' 102 Sum', '    488 Ratio', '   0.84%)']", ,[' 38776   '],[' 1499    '],[' 38342   '],[' 20716   '],"[' 62144    (Atom=Atom', ' 19815 Body=Body', ' 10769 Other', ' 31560)']",[' Yes'],"[' 1665     (Eliminated', '    0 Frozen', ' 1665)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.23933'],[' 0'], ,[' 0.390978'],[' 0'],[' 0.0156748'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61474e+06'],[' 1.52619e+06'],[' 0'],[' 1.14995e+07'],[' 0'],[' 0'],[' 291 '],[' 613 '],[' 995 '],[' 1236 '],[' 1469 '],[' 1772 '],[' 2029 '],[' 2346 '],[' 2685 '],[' 2971 '],[' 0 '],[' 10 ']
Solving...,TA50, , , ,[' 437'],[' 229'],"[' 2.603s (Solving', ' 1.53s 1st Model', ' 0.29s Unsat', ' 0.05s)']",[' 2.438s'], ,[' 169414  '],"[' 3769     (Analyzed', ' 1818)']","[' 15       (Average', ' 121.20 Last', ' 45)']",[' 567.2   '],"[' 229      (Average Length', ' 108.94 Splits', ' 0)']","[' 1818     (Deleted', ' 0)']","[' 60       (Ratio', '   3.30%)']","[' 270      (Ratio', '  14.85%)']","[' 1818     (Average Length', '    4.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1818     (Average', ' 37.05 Max', ' 747 Sum', '  67361)']","[' 1750     (Average', ' 36.97 Max', ' 747 Sum', '  67213 Ratio', '  99.78%)']","[' 68       (Average', '  2.18 Max', '  11 Sum', '    148 Ratio', '   0.22%)']", ,[' 37927   '],[' 1441    '],[' 37543   '],[' 20068   '],"[' 60200    (Atom=Atom', ' 19225 Body=Body', ' 10711 Other', ' 30264)']",[' Yes'],"[' 1657     (Eliminated', '    0 Frozen', ' 1657)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.262131'],[' 0'], ,[' 0.42765'],[' 0'],[' 0.0161452'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81741e+06'],[' 1.71344e+06'],[' 0'],[' 9.22545e+06'],[' 0'],[' 0'],[' 400 '],[' 633 '],[' 855 '],[' 1133 '],[' 1393 '],[' 1694 '],[' 1933 '],[' 2154 '],[' 2410 '],[' 2815 '],[' 0 '],[' 10 ']
