Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 917'],[' 468'],"[' 146.012s (Solving', ' 143.99s 1st Model', ' 0.88s Unsat', ' 4.27s)']",[' 145.422s'], ,[' 11542329'],"[' 7460324  (Analyzed', ' 7408674)']","[' 15053    (Average', ' 492.17 Last', ' 156738)']",[' 1610.4  '],"[' 468      (Average Length', ' 308.47 Splits', ' 0)']","[' 7408674  (Deleted', ' 7298011)']","[' 34       (Ratio', '   0.00%)']","[' 1550     (Ratio', '   0.02%)']","[' 7408674  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7408674  (Average', '  1.46 Max', ' 2245 Sum', ' 10807405)']","[' 7408198  (Average', '  1.44 Max', ' 2072 Sum', ' 10669895 Ratio', '  98.73%)']","[' 476      (Average', ' 288.89 Max', ' 454 Sum', ' 137510 Ratio', '   1.27%)']", ,[' 79424   '],[' 2678    '],[' 73750   '],[' 23701   '],"[' 62320    (Atom=Atom', ' 18460 Body=Body', ' 11106 Other', ' 32754)']",[' Yes'],"[' 3910     (Eliminated', '    0 Frozen', ' 3910)']","[' 192      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.38499'],[' 0'], ,[' 98.981'],[' 0'],[' 1.75925'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.90683e+07'],[' 1.18151e+07'],[' 0'],[' 7.12333e+09'],[' 0'],[' 0'],[' 525 '],[' 1014 '],[' 1378 '],[' 2058 '],[' 2230 '],[' 2645 '],[' 2846 '],[' 3404 '],[' 3737 '],[' 2 '],[' 7 ']
Solving...,TA62, , , , ,[' 1213'],[' 616'],"[' 147.777s (Solving', ' 145.30s 1st Model', ' 1.19s Unsat', ' 69.42s)']",[' 147.109s'], ,[' 15498916'],"[' 10384658 (Analyzed', ' 10355805)']","[' 21721    (Average', ' 476.76 Last', ' 21348)']",[' 1765.5  '],"[' 616      (Average Length', ' 385.06 Splits', ' 0)']","[' 10355805 (Deleted', ' 10208504)']","[' 7        (Ratio', '   0.00%)']","[' 940      (Ratio', '   0.01%)']","[' 10355805 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10355805 (Average', '  1.40 Max', ' 2461 Sum', ' 14509448)']","[' 10355459 (Average', '  1.39 Max', ' 2307 Sum', ' 14388258 Ratio', '  99.16%)']","[' 346      (Average', ' 350.26 Max', ' 557 Sum', ' 121190 Ratio', '   0.84%)']", ,[' 80986   '],[' 2754    '],[' 75053   '],[' 24673   '],"[' 63907    (Atom=Atom', ' 18902 Body=Body', ' 11330 Other', ' 33675)']",[' Yes'],"[' 4133     (Eliminated', '    0 Frozen', ' 4133)']","[' 52       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.485606'],[' 0'], ,[' 76.7201'],[' 0'],[' 2.10086'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.9638e+07'],[' 1.57212e+07'],[' 0'],[' 4.7996e+09'],[' 0'],[' 0'],[' 570 '],[' 975 '],[' 1425 '],[' 1727 '],[' 2044 '],[' 2450 '],[' 2865 '],[' 3260 '],[' 3649 '],[' 1 '],[' 8 ']
Solving...,TA63, , , , ,[' 971'],[' 495'],"[' 269.961s (Solving', ' 267.90s 1st Model', ' 0.86s Unsat', ' 61.96s)']",[' 268.375s'], ,[' 25148280'],"[' 16330587 (Analyzed', ' 16307196)']","[' 32290    (Average', ' 505.02 Last', ' 976)']",[' 1559.5  '],"[' 495      (Average Length', ' 325.71 Splits', ' 0)']","[' 16307196 (Deleted', ' 16091557)']","[' 18       (Ratio', '   0.00%)']","[' 1788     (Ratio', '   0.01%)']","[' 16307196 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16307196 (Average', '  1.49 Max', ' 2405 Sum', ' 24279236)']","[' 16306739 (Average', '  1.48 Max', ' 2058 Sum', ' 24131785 Ratio', '  99.39%)']","[' 457      (Average', ' 322.65 Max', ' 478 Sum', ' 147451 Ratio', '   0.61%)']", ,[' 79692   '],[' 2683    '],[' 73916   '],[' 23915   '],"[' 62435    (Atom=Atom', ' 18507 Body=Body', ' 11121 Other', ' 32807)']",[' Yes'],"[' 3937     (Eliminated', '    0 Frozen', ' 3937)']","[' 338      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.392596'],[' 0'], ,[' 168.195'],[' 0'],[' 3.64282'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.48556e+07'],[' 2.74607e+07'],[' 0'],[' 1.15579e+10'],[' 0'],[' 0'],[' 585 '],[' 959 '],[' 1398 '],[' 1660 '],[' 2012 '],[' 2327 '],[' 2971 '],[' 3480 '],[' 3644 '],[' 3 '],[' 6 ']
Solving...,TA64, , , , ,[' 1159'],[' 589'],"[' 178.080s (Solving', ' 175.66s 1st Model', ' 1.11s Unsat', ' 34.09s)']",[' 177.328s'], ,[' 18084453'],"[' 12270136 (Analyzed', ' 12242375)']","[' 25377    (Average', ' 482.42 Last', ' 10446)']",[' 1759.4  '],"[' 589      (Average Length', ' 367.04 Splits', ' 0)']","[' 12242375 (Deleted', ' 12055118)']","[' 11       (Ratio', '   0.00%)']","[' 1273     (Ratio', '   0.01%)']","[' 12242375 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12242375 (Average', '  1.39 Max', ' 2357 Sum', ' 17061554)']","[' 12241982 (Average', '  1.38 Max', ' 2140 Sum', ' 16929481 Ratio', '  99.23%)']","[' 393      (Average', ' 336.06 Max', ' 475 Sum', ' 132073 Ratio', '   0.77%)']", ,[' 79732   '],[' 2668    '],[' 74077   '],[' 23925   '],"[' 62478    (Atom=Atom', ' 18530 Body=Body', ' 11073 Other', ' 32875)']",[' Yes'],"[' 4012     (Eliminated', '    0 Frozen', ' 4012)']","[' 124      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.498978'],[' 0'], ,[' 100.389'],[' 0'],[' 1.8239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.63655e+07'],[' 1.81954e+07'],[' 0'],[' 6.51973e+09'],[' 0'],[' 0'],[' 627 '],[' 1012 '],[' 1338 '],[' 1879 '],[' 2012 '],[' 2298 '],[' 2979 '],[' 3237 '],[' 3451 '],[' 2 '],[' 7 ']
Solving...,TA65, , , , ,[' 793'],[' 406'],"[' 297.928s (Solving', ' 296.06s 1st Model', ' 0.79s Unsat', ' 25.42s)']",[' 296.578s'], ,[' 24652993'],"[' 17693253 (Analyzed', ' 17678816)']","[' 35597    (Average', ' 496.64 Last', ' 88574)']",[' 1655.8  '],"[' 406      (Average Length', ' 276.16 Splits', ' 0)']","[' 17678816 (Deleted', ' 17441697)']","[' 14       (Ratio', '   0.00%)']","[' 1580     (Ratio', '   0.01%)']","[' 17678816 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17678816 (Average', '  1.35 Max', ' 2301 Sum', ' 23786606)']","[' 17678398 (Average', '  1.34 Max', ' 2170 Sum', ' 23671331 Ratio', '  99.52%)']","[' 418      (Average', ' 275.78 Max', ' 374 Sum', ' 115275 Ratio', '   0.48%)']", ,[' 80167   '],[' 2764    '],[' 74322   '],[' 24163   '],"[' 63390    (Atom=Atom', ' 18740 Body=Body', ' 11363 Other', ' 33287)']",[' Yes'],"[' 3939     (Eliminated', '    0 Frozen', ' 3939)']","[' 235      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.3411'],[' 0'], ,[' 188.767'],[' 0'],[' 3.70929'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.50807e+07'],[' 2.52235e+07'],[' 0'],[' 1.39125e+10'],[' 0'],[' 0'],[' 499 '],[' 1001 '],[' 1251 '],[' 1662 '],[' 2245 '],[' 2447 '],[' 2843 '],[' 3203 '],[' 3503 '],[' 4 '],[' 5 ']
Solving...,TA66, , , , ,[' 957'],[' 488'],"[' 278.403s (Solving', ' 276.32s 1st Model', ' 0.99s Unsat', ' 5.39s)']",[' 277.141s'], ,[' 24175024'],"[' 15849911 (Analyzed', ' 15833353)']","[' 32130    (Average', ' 492.79 Last', ' 4541)']",[' 1628.3  '],"[' 488      (Average Length', ' 321.82 Splits', ' 0)']","[' 15833353 (Deleted', ' 15627236)']","[' 27       (Ratio', '   0.00%)']","[' 1850     (Ratio', '   0.01%)']","[' 15833353 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15833353 (Average', '  1.47 Max', ' 2173 Sum', ' 23255287)']","[' 15832901 (Average', '  1.46 Max', ' 2157 Sum', ' 23116554 Ratio', '  99.40%)']","[' 452      (Average', ' 306.93 Max', ' 452 Sum', ' 138733 Ratio', '   0.60%)']", ,[' 80384   '],[' 2750    '],[' 74480   '],[' 24312   '],"[' 63493    (Atom=Atom', ' 18768 Body=Body', ' 11322 Other', ' 33403)']",[' Yes'],"[' 4001     (Eliminated', '    0 Frozen', ' 4001)']","[' 267      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.399982'],[' 0'], ,[' 179.404'],[' 0'],[' 4.03315'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.53979e+07'],[' 2.88307e+07'],[' 0'],[' 1.3151e+10'],[' 0'],[' 0'],[' 588 '],[' 1020 '],[' 1184 '],[' 1689 '],[' 2175 '],[' 2490 '],[' 2711 '],[' 3259 '],[' 3600 '],[' 4 '],[' 5 ']
Solving...,TA67, , , , ,[' 947'],[' 483'],"[' 275.964s (Solving', ' 273.74s 1st Model', ' 1.01s Unsat', ' 0.74s)']",[' 274.344s'], ,[' 31230450'],"[' 21660467 (Analyzed', ' 21641413)']","[' 41402    (Average', ' 522.71 Last', ' 711)']",[' 1731.1  '],"[' 483      (Average Length', ' 310.64 Splits', ' 0)']","[' 21641413 (Deleted', ' 21375953)']","[' 15       (Ratio', '   0.00%)']","[' 1833     (Ratio', '   0.01%)']","[' 21641413 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21641413 (Average', '  1.39 Max', ' 2269 Sum', ' 30089712)']","[' 21640912 (Average', '  1.38 Max', ' 2099 Sum', ' 29960453 Ratio', '  99.57%)']","[' 501      (Average', ' 258.00 Max', ' 406 Sum', ' 129259 Ratio', '   0.43%)']", ,[' 80081   '],[' 2771    '],[' 74404   '],[' 24111   '],"[' 63774    (Atom=Atom', ' 18833 Body=Body', ' 11370 Other', ' 33571)']",[' Yes'],"[' 4019     (Eliminated', '    0 Frozen', ' 4019)']","[' 330      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.436401'],[' 0'], ,[' 151.113'],[' 0'],[' 3.48863'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.13671e+07'],[' 3.19312e+07'],[' 0'],[' 1.07246e+10'],[' 0'],[' 0'],[' 683 '],[' 1233 '],[' 1599 '],[' 1919 '],[' 2243 '],[' 2537 '],[' 2883 '],[' 3215 '],[' 3581 '],[' 4 '],[' 5 ']
Solving...,TA68, , , , ,[' 1109'],[' 564'],"[' 178.713s (Solving', ' 176.40s 1st Model', ' 1.04s Unsat', ' 35.86s)']",[' 177.891s'], ,[' 14274885'],"[' 9581660  (Analyzed', ' 9544521)']","[' 19032    (Average', ' 501.50 Last', ' 120723)']",[' 1697.1  '],"[' 564      (Average Length', ' 355.82 Splits', ' 0)']","[' 9544521  (Deleted', ' 9411013)']","[' 22       (Ratio', '   0.00%)']","[' 1153     (Ratio', '   0.01%)']","[' 9544521  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9544521  (Average', '  1.40 Max', ' 2150 Sum', ' 13387227)']","[' 9544124  (Average', '  1.39 Max', ' 2080 Sum', ' 13257420 Ratio', '  99.03%)']","[' 397      (Average', ' 326.97 Max', ' 487 Sum', ' 129807 Ratio', '   0.97%)']", ,[' 79458   '],[' 2631    '],[' 73802   '],[' 23771   '],"[' 61852    (Atom=Atom', ' 18368 Body=Body', ' 10965 Other', ' 32519)']",[' Yes'],"[' 3960     (Eliminated', '    0 Frozen', ' 3960)']","[' 163      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.465955'],[' 0'], ,[' 111.479'],[' 0'],[' 2.31385'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.87265e+07'],[' 1.68613e+07'],[' 0'],[' 8.08657e+09'],[' 0'],[' 0'],[' 432 '],[' 873 '],[' 1385 '],[' 1791 '],[' 1974 '],[' 2448 '],[' 2761 '],[' 3112 '],[' 3522 '],[' 2 '],[' 7 ']
Solving...,TA69, , , , ,[' 833'],[' 426'],"[' 214.595s (Solving', ' 212.59s 1st Model', ' 0.82s Unsat', ' 73.33s)']",[' 213.688s'], ,[' 23193188'],"[' 15633765 (Analyzed', ' 15622166)']","[' 31727    (Average', ' 492.39 Last', ' 34839)']",[' 1663.2  '],"[' 426      (Average Length', ' 281.57 Splits', ' 0)']","[' 15622166 (Deleted', ' 15401465)']","[' 28       (Ratio', '   0.00%)']","[' 1450     (Ratio', '   0.01%)']","[' 15622166 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15622166 (Average', '  1.43 Max', ' 2408 Sum', ' 22354780)']","[' 15621673 (Average', '  1.42 Max', ' 2087 Sum', ' 22239366 Ratio', '  99.48%)']","[' 493      (Average', ' 234.11 Max', ' 383 Sum', ' 115414 Ratio', '   0.52%)']", ,[' 79290   '],[' 2682    '],[' 73666   '],[' 23609   '],"[' 62205    (Atom=Atom', ' 18434 Body=Body', ' 11117 Other', ' 32654)']",[' Yes'],"[' 3879     (Eliminated', '    0 Frozen', ' 3879)']","[' 202      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.387774'],[' 0'], ,[' 117.772'],[' 0'],[' 2.9043'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.12447e+07'],[' 2.56434e+07'],[' 0'],[' 8.20329e+09'],[' 0'],[' 0'],[' 622 '],[' 1151 '],[' 1441 '],[' 1987 '],[' 2293 '],[' 2671 '],[' 2906 '],[' 3307 '],[' 3750 '],[' 2 '],[' 7 ']
Solving...,TA70, , , , ,[' 885'],[' 452'],"[' 234.966s (Solving', ' 233.13s 1st Model', ' 0.82s Unsat', ' 28.62s)']",[' 233.656s'], ,[' 19078756'],"[' 13128712 (Analyzed', ' 13090143)']","[' 27020    (Average', ' 484.46 Last', ' 83817)']",[' 1453.1  '],"[' 452      (Average Length', ' 302.41 Splits', ' 0)']","[' 13090143 (Deleted', ' 12903075)']","[' 21       (Ratio', '   0.00%)']","[' 1560     (Ratio', '   0.01%)']","[' 13090143 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13090143 (Average', '  1.40 Max', ' 2260 Sum', ' 18335398)']","[' 13089699 (Average', '  1.39 Max', ' 2058 Sum', ' 18189682 Ratio', '  99.21%)']","[' 444      (Average', ' 328.19 Max', ' 475 Sum', ' 145716 Ratio', '   0.79%)']", ,[' 80172   '],[' 2748    '],[' 74316   '],[' 24194   '],"[' 63356    (Atom=Atom', ' 18724 Body=Body', ' 11316 Other', ' 33316)']",[' Yes'],"[' 3967     (Eliminated', '    0 Frozen', ' 3967)']","[' 236      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.32893'],[' 0'], ,[' 154.325'],[' 0'],[' 3.7657'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.90466e+07'],[' 1.92716e+07'],[' 0'],[' 1.16192e+10'],[' 0'],[' 0'],[' 499 '],[' 942 '],[' 1389 '],[' 1590 '],[' 2261 '],[' 2687 '],[' 3026 '],[' 3190 '],[' 3762 '],[' 3 '],[' 6 ']
