Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,swv11, , ,[' 1'],[' 511+'],[' 263'],"[' 1000.392s (Solving', ' 999.06s 1st Model', ' 0.89s Unsat', ' 0.00s)']",[' 998.938s'], ,[' 65127312'],"[' 37106980 (Analyzed', ' 37091099)']","[' 67010    (Average', ' 553.52 Last', ' 183451)']",[' 1438.7  '],"[' 263      (Average Length', ' 127.40 Splits', ' 0)']","[' 37091099 (Deleted', ' 36692554)']","[' 9        (Ratio', '   0.00%)']","[' 5320     (Ratio', '   0.01%)']","[' 37091099 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37091099 (Average', '  1.71 Max', ' 1929 Sum', ' 63393570)']","[' 37090601 (Average', '  1.71 Max', ' 1929 Sum', ' 63354136 Ratio', '  99.94%)']","[' 498      (Average', ' 79.18 Max', ' 181 Sum', '  39434 Ratio', '   0.06%)']", ,[' 68453   '],[' 3384    '],[' 68208   '],[' 35916   '],"[' 107744   (Atom=Atom', ' 33030 Body=Body', ' 16084 Other', ' 58630)']",[' Yes'],"[' 3639     (Eliminated', '    0 Frozen', ' 3639)']","[' 715      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.313248'],[' 0'], ,[' 816.533'],[' 0'],[' 11.9747'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67646e+08'],[' 8.11359e+07'],[' 0'],[' 1.52707e+11'],[' 0'],[' 0'],[' 1019 '],[' 1857 '],[' 2415 '],[' 3019 '],[' 3689 '],[' 4653 '],[' 5582 '],[' 7 '],[' 0 ']
Solving...,swv12, , ,[' 1'],[' 533+'],[' 274'],"[' 857.742s (Solving', ' 856.25s 1st Model', ' 0.94s Unsat', ' 0.03s)']",[' 856.000s'], ,[' 71995501'],"[' 34373085 (Analyzed', ' 34350404)']","[' 60025    (Average', ' 572.27 Last', ' 19068)']",[' 1477.3  '],"[' 274      (Average Length', ' 132.69 Splits', ' 0)']","[' 34350404 (Deleted', ' 34030361)']","[' 20       (Ratio', '   0.00%)']","[' 8194     (Ratio', '   0.02%)']","[' 34350404 (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34350404 (Average', '  2.04 Max', ' 1880 Sum', ' 70182669)']","[' 34349942 (Average', '  2.04 Max', ' 1880 Sum', ' 70147218 Ratio', '  99.95%)']","[' 462      (Average', ' 76.73 Max', ' 167 Sum', '  35451 Ratio', '   0.05%)']", ,[' 69129   '],[' 3434    '],[' 68895   '],[' 36383   '],"[' 109145   (Atom=Atom', ' 33447 Body=Body', ' 16134 Other', ' 59564)']",[' Yes'],"[' 3700     (Eliminated', '    0 Frozen', ' 3700)']","[' 1667     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.339267'],[' 0'], ,[' 686.395'],[' 0'],[' 10.5243'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94049e+08'],[' 1.08216e+08'],[' 0'],[' 1.20621e+11'],[' 0'],[' 0'],[' 827 '],[' 1577 '],[' 2705 '],[' 3066 '],[' 3755 '],[' 4643 '],[' 5414 '],[' 6 '],[' 1 ']
Solving...,swv13, , ,[' 1'],[' 483+'],[' 249'],"[' 857.954s (Solving', ' 856.55s 1st Model', ' 0.98s Unsat', ' 0.11s)']",[' 855.422s'], ,[' 73910804'],"[' 31619814 (Analyzed', ' 31606817)']","[' 54376    (Average', ' 581.26 Last', ' 246776)']",[' 1582.1  '],"[' 249      (Average Length', ' 120.25 Splits', ' 0)']","[' 31606817 (Deleted', ' 31316204)']","[' 32       (Ratio', '   0.00%)']","[' 8832     (Ratio', '   0.03%)']","[' 31606817 (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31606817 (Average', '  2.28 Max', ' 2055 Sum', ' 72161507)']","[' 31606402 (Average', '  2.28 Max', ' 2055 Sum', ' 72124526 Ratio', '  99.95%)']","[' 415      (Average', ' 89.11 Max', ' 142 Sum', '  36981 Ratio', '   0.05%)']", ,[' 69741   '],[' 3492    '],[' 69482   '],[' 38168   '],"[' 114500   (Atom=Atom', ' 35174 Body=Body', ' 16192 Other', ' 63134)']",[' Yes'],"[' 3733     (Eliminated', '    0 Frozen', ' 3733)']","[' 996      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.316813'],[' 0'], ,[' 694.571'],[' 0'],[' 11.6882'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.05818e+08'],[' 1.24819e+08'],[' 0'],[' 1.25655e+11'],[' 0'],[' 0'],[' 756 '],[' 1893 '],[' 2895 '],[' 3341 '],[' 4031 '],[' 5212 '],[' 5922 '],[' 6 '],[' 1 ']
Solving...,swv14, , ,[' 1'],[' 469+'],[' 242'],"[' 860.398s (Solving', ' 858.88s 1st Model', ' 0.84s Unsat', ' 2.36s)']",[' 859.078s'], ,[' 83014312'],"[' 38610832 (Analyzed', ' 38593898)']","[' 67129    (Average', ' 574.92 Last', ' 55704)']",[' 1451.6  '],"[' 242      (Average Length', ' 116.82 Splits', ' 0)']","[' 38593898 (Deleted', ' 38228421)']","[' 23       (Ratio', '   0.00%)']","[' 8245     (Ratio', '   0.02%)']","[' 38593898 (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 38593898 (Average', '  2.10 Max', ' 1943 Sum', ' 81011124)']","[' 38593460 (Average', '  2.10 Max', ' 1943 Sum', ' 80981166 Ratio', '  99.96%)']","[' 438      (Average', ' 68.40 Max', ' 170 Sum', '  29958 Ratio', '   0.04%)']", ,[' 68964   '],[' 3444    '],[' 68698   '],[' 36975   '],"[' 110921   (Atom=Atom', ' 34029 Body=Body', ' 16144 Other', ' 60748)']",[' Yes'],"[' 3678     (Eliminated', '    0 Frozen', ' 3678)']","[' 1351     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.307766'],[' 0'], ,[' 669.568'],[' 0'],[' 10.8314'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.2173e+08'],[' 1.23621e+08'],[' 0'],[' 1.16661e+11'],[' 0'],[' 0'],[' 859 '],[' 1847 '],[' 2744 '],[' 3212 '],[' 3834 '],[' 4656 '],[' 5605 '],[' 6 '],[' 1 ']
Solving...,swv15, , ,[' 1'],[' 541+'],[' 278'],"[' 858.119s (Solving', ' 856.86s 1st Model', ' 0.99s Unsat', ' 0.16s)']",[' 856.984s'], ,[' 83477982'],"[' 37283237 (Analyzed', ' 37261514)']","[' 64479    (Average', ' 577.89 Last', ' 91332)']",[' 1537.9  '],"[' 278      (Average Length', ' 134.40 Splits', ' 0)']","[' 37261514 (Deleted', ' 36917359)']","[' 15       (Ratio', '   0.00%)']","[' 8531     (Ratio', '   0.02%)']","[' 37261514 (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37261514 (Average', '  2.19 Max', ' 2035 Sum', ' 81435582)']","[' 37261110 (Average', '  2.18 Max', ' 2035 Sum', ' 81388496 Ratio', '  99.94%)']","[' 404      (Average', ' 116.55 Max', ' 197 Sum', '  47086 Ratio', '   0.06%)']", ,[' 70127   '],[' 3535    '],[' 69896   '],[' 38768   '],"[' 116300   (Atom=Atom', ' 35731 Body=Body', ' 16235 Other', ' 64334)']",[' Yes'],"[' 3804     (Eliminated', '    0 Frozen', ' 3804)']","[' 1494     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.329512'],[' 0'], ,[' 672.668'],[' 0'],[' 10.9445'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13539e+08'],[' 1.21467e+08'],[' 0'],[' 1.18954e+11'],[' 0'],[' 0'],[' 1071 '],[' 1875 '],[' 2705 '],[' 3070 '],[' 3913 '],[' 4668 '],[' 5539 '],[' 6 '],[' 1 ']
Solving...,swv16, , , ,[' 363'],[' 189'],"[' 833.772s (Solving', ' 832.89s 1st Model', ' 0.39s Unsat', ' 118.24s)']",[' 832.875s'], ,[' 61568038'],"[' 46954862 (Analyzed', ' 46938065)']","[' 90301    (Average', ' 519.80 Last', ' 125576)']",[' 1104.2  '],"[' 189      (Average Length', ' 90.24 Splits', ' 0)']","[' 46938065 (Deleted', ' 46307840)']","[' 29       (Ratio', '   0.00%)']","[' 1826     (Ratio', '   0.00%)']","[' 46938065 (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 46938065 (Average', '  1.28 Max', ' 1320 Sum', ' 60236174)']","[' 46937907 (Average', '  1.28 Max', ' 1320 Sum', ' 60227010 Ratio', '  99.98%)']","[' 158      (Average', ' 58.00 Max', ' 142 Sum', '   9164 Ratio', '   0.02%)']", ,[' 50400   '],[' 2208    '],[' 50080   '],[' 28334   '],"[' 84998    (Atom=Atom', ' 26624 Body=Body', ' 14908 Other', ' 43466)']",[' Yes'],"[' 2388     (Eliminated', '    0 Frozen', ' 2388)']","[' 188      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.195962'],[' 0'], ,[' 572.213'],[' 0'],[' 11.1401'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58804e+08'],[' 5.56148e+07'],[' 0'],[' 8.98828e+10'],[' 0'],[' 0'],[' 725 '],[' 1420 '],[' 1595 '],[' 2050 '],[' 2688 '],[' 2972 '],[' 3425 '],[' 5 '],[' 2 ']
Solving...,swv17, , , ,[' 299'],[' 157'],"[' 442.152s (Solving', ' 441.37s 1st Model', ' 0.17s Unsat', ' 12.42s)']",[' 441.578s'], ,[' 30069525'],"[' 21896907 (Analyzed', ' 21890418)']","[' 41705    (Average', ' 524.89 Last', ' 138512)']",[' 1025.2  '],"[' 157      (Average Length', ' 74.58 Splits', ' 0)']","[' 21890418 (Deleted', ' 21620906)']","[' 61       (Ratio', '   0.00%)']","[' 2111     (Ratio', '   0.01%)']","[' 21890418 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21890418 (Average', '  1.34 Max', ' 1422 Sum', ' 29287101)']","[' 21890272 (Average', '  1.34 Max', ' 1422 Sum', ' 29282027 Ratio', '  99.98%)']","[' 146      (Average', ' 34.75 Max', ' 107 Sum', '   5074 Ratio', '   0.02%)']", ,[' 50403   '],[' 2183    '],[' 50051   '],[' 28243   '],"[' 84725    (Atom=Atom', ' 26558 Body=Body', ' 14883 Other', ' 43284)']",[' Yes'],"[' 2331     (Eliminated', '    0 Frozen', ' 2331)']","[' 135      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.172046'],[' 0'], ,[' 331.932'],[' 0'],[' 5.73551'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.86547e+07'],[' 3.0208e+07'],[' 0'],[' 5.00375e+10'],[' 0'],[' 0'],[' 538 '],[' 1156 '],[' 1683 '],[' 2045 '],[' 2713 '],[' 3269 '],[' 3601 '],[' 3 '],[' 4 ']
Solving...,swv18, , , ,[' 397'],[' 206'],"[' 592.962s (Solving', ' 592.11s 1st Model', ' 0.27s Unsat', ' 20.40s)']",[' 591.734s'], ,[' 29012600'],"[' 18638293 (Analyzed', ' 18603790)']","[' 37193    (Average', ' 500.20 Last', ' 7038)']",[' 993.0   '],"[' 206      (Average Length', ' 99.61 Splits', ' 0)']","[' 18603790 (Deleted', ' 18356766)']","[' 49       (Ratio', '   0.00%)']","[' 2555     (Ratio', '   0.01%)']","[' 18603790 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18603790 (Average', '  1.52 Max', ' 1444 Sum', ' 28225914)']","[' 18603635 (Average', '  1.52 Max', ' 1444 Sum', ' 28212065 Ratio', '  99.95%)']","[' 155      (Average', ' 89.35 Max', ' 155 Sum', '  13849 Ratio', '   0.05%)']", ,[' 51049   '],[' 2279    '],[' 50747   '],[' 29500   '],"[' 88496    (Atom=Atom', ' 27719 Body=Body', ' 14979 Other', ' 45798)']",[' Yes'],"[' 2477     (Eliminated', '    0 Frozen', ' 2477)']","[' 349      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.182813'],[' 0'], ,[' 494.913'],[' 0'],[' 10.3948'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.75393e+07'],[' 3.44519e+07'],[' 0'],[' 8.71236e+10'],[' 0'],[' 0'],[' 579 '],[' 982 '],[' 1690 '],[' 2239 '],[' 2783 '],[' 3237 '],[' 3726 '],[' 4 '],[' 3 ']
Solving...,swv19, , ,[' 1'],[' 271+'],[' 143'],"[' 869.722s (Solving', ' 869.01s 1st Model', ' 0.28s Unsat', ' 12.06s)']",[' 869.297s'], ,[' 53843193'],"[' 38741089 (Analyzed', ' 38738205)']","[' 72842    (Average', ' 531.81 Last', ' 306466)']",[' 1101.2  '],"[' 143      (Average Length', ' 67.27 Splits', ' 0)']","[' 38738205 (Deleted', ' 38284921)']","[' 22       (Ratio', '   0.00%)']","[' 2709     (Ratio', '   0.01%)']","[' 38738205 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 38738205 (Average', '  1.36 Max', ' 1416 Sum', ' 52544232)']","[' 38738075 (Average', '  1.36 Max', ' 1416 Sum', ' 52538544 Ratio', '  99.99%)']","[' 130      (Average', ' 43.75 Max', ' 113 Sum', '   5688 Ratio', '   0.01%)']", ,[' 51117   '],[' 2273    '],[' 50752   '],[' 28929   '],"[' 86783    (Atom=Atom', ' 27154 Body=Body', ' 14973 Other', ' 44656)']",[' Yes'],"[' 2408     (Eliminated', '    0 Frozen', ' 2408)']","[' 237      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.16713'],[' 0'], ,[' 671.302'],[' 0'],[' 13.0842'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39582e+08'],[' 5.25686e+07'],[' 0'],[' 1.12894e+11'],[' 0'],[' 0'],[' 752 '],[' 1378 '],[' 1866 '],[' 2420 '],[' 2801 '],[' 3434 '],[' 4026 '],[' 6 '],[' 1 ']
Solving...,swv20, , , ,[' 321'],[' 168'],"[' 545.982s (Solving', ' 545.12s 1st Model', ' 0.19s Unsat', ' 115.98s)']",[' 544.797s'], ,[' 44580164'],"[' 30868448 (Analyzed', ' 30859002)']","[' 57375    (Average', ' 537.85 Last', ' 231071)']",[' 1010.0  '],"[' 168      (Average Length', ' 80.02 Splits', ' 0)']","[' 30859002 (Deleted', ' 30463997)']","[' 52       (Ratio', '   0.00%)']","[' 2609     (Ratio', '   0.01%)']","[' 30859002 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30859002 (Average', '  1.41 Max', ' 1389 Sum', ' 43495146)']","[' 30858829 (Average', '  1.41 Max', ' 1389 Sum', ' 43490287 Ratio', '  99.99%)']","[' 173      (Average', ' 28.09 Max', '  92 Sum', '   4859 Ratio', '   0.01%)']", ,[' 50145   '],[' 2236    '],[' 49805   '],[' 28187   '],"[' 84557    (Atom=Atom', ' 26449 Body=Body', ' 14936 Other', ' 43172)']",[' Yes'],"[' 2396     (Eliminated', '    0 Frozen', ' 2396)']","[' 261      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.17415'],[' 0'], ,[' 387.604'],[' 0'],[' 8.18695'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15586e+08'],[' 4.61757e+07'],[' 0'],[' 5.74461e+10'],[' 0'],[' 0'],[' 658 '],[' 1091 '],[' 1710 '],[' 2081 '],[' 2600 '],[' 2979 '],[' 3570 '],[' 3 '],[' 4 ']
