Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,Dmu74_Clus(1), , , , , , , , , , , ,[' 5011'],[' 2509'],"[' 429.914s (Solving', ' 418.72s 1st Model', ' 215.64s Unsat', ' 0.71s)']",[' 424.875s'], ,[' 146445767'],"[' 6844981  (Analyzed', ' 6163054)']","[' 15787    (Average', ' 390.39 Last', ' 440109)']",[' 4048.4  '],"[' 2509     (Average Length', ' 1301.15 Splits', ' 0)']","[' 6163054  (Deleted', ' 6117162)']","[' 475      (Ratio', '   0.01%)']","[' 17244    (Ratio', '   0.28%)']","[' 6163054  (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6163054  (Average', ' 22.56 Max', ' 3901 Sum', ' 139015989)']","[' 6162641  (Average', ' 22.46 Max', ' 3901 Sum', ' 138432905 Ratio', '  99.58%)']","[' 413      (Average', ' 1411.83 Max', ' 1935 Sum', ' 583084 Ratio', '   0.42%)']", ,[' 93303   '],[' 5975    '],[' 87833   '],[' 39791   '],"[' 117102   (Atom=Atom', ' 30668 Body=Body', ' 19953 Other', ' 66481)']",[' Yes'],"[' 8626     (Eliminated', '    0 Frozen', ' 8626)']","[' 2975     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.27968'],[' 0'], ,[' 200.379'],[' 0'],[' 11.9116'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.06261e+08'],[' 4.13735e+08'],[' 0'],[' 8.10365e+09'],[' 0'],[' 0'],[' 2281 '],[' 4449 '],[' 6611 '],[' 2 '],[' 1 ']
Solving...,Dmu74_Clus(10), , , , , , , , , , ,[' 1'],[' 4003+'],[' 2005'],"[' 602.580s (Solving', ' 593.11s 1st Model', ' 41.83s Unsat', ' 0.00s)']",[' 600.766s'], ,[' 193147829'],"[' 11976696 (Analyzed', ' 11521641)']","[' 22677    (Average', ' 508.08 Last', ' 73945)']",[' 3818.0  '],"[' 2005     (Average Length', ' 1051.75 Splits', ' 0)']","[' 11521641 (Deleted', ' 11400384)']","[' 414      (Ratio', '   0.00%)']","[' 27392    (Ratio', '   0.24%)']","[' 11521641 (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11521641 (Average', ' 16.23 Max', ' 3615 Sum', ' 187043808)']","[' 11521217 (Average', ' 16.20 Max', ' 3615 Sum', ' 186600954 Ratio', '  99.76%)']","[' 424      (Average', ' 1044.47 Max', ' 1610 Sum', ' 442854 Ratio', '   0.24%)']", ,[' 92742   '],[' 5984    '],[' 86860   '],[' 39251   '],"[' 115538   (Atom=Atom', ' 30186 Body=Body', ' 19974 Other', ' 65378)']",[' Yes'],"[' 8145     (Eliminated', '    0 Frozen', ' 8145)']","[' 3717     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.93693'],[' 0'], ,[' 350.763'],[' 0'],[' 16.1609'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.29769e+08'],[' 4.28723e+08'],[' 0'],[' 1.89714e+10'],[' 0'],[' 0'],[' 2394 '],[' 4622 '],[' 6505 '],[' 3 '],[' 0 ']
Solving...,Dmu74_Clus(11), , , , , , , , , , ,[' 1'],[' 4203+'],[' 2105'],"[' 602.606s (Solving', ' 593.47s 1st Model', ' 190.39s Unsat', ' 0.00s)']",[' 601.188s'], ,[' 243254081'],"[' 8783789  (Analyzed', ' 8358484)']","[' 17898    (Average', ' 467.01 Last', ' 177697)']",[' 3791.0  '],"[' 2105     (Average Length', ' 1105.87 Splits', ' 0)']","[' 8358484  (Deleted', ' 8278763)']","[' 563      (Ratio', '   0.01%)']","[' 31940    (Ratio', '   0.38%)']","[' 8358484  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8358484  (Average', ' 28.37 Max', ' 3594 Sum', ' 237116027)']","[' 8357979  (Average', ' 28.31 Max', ' 3594 Sum', ' 236634436 Ratio', '  99.80%)']","[' 505      (Average', ' 953.65 Max', ' 1329 Sum', ' 481591 Ratio', '   0.20%)']", ,[' 92720   '],[' 6037    '],[' 87180   '],[' 39409   '],"[' 116081   (Atom=Atom', ' 30442 Body=Body', ' 20109 Other', ' 65530)']",[' Yes'],"[' 8295     (Eliminated', '    0 Frozen', ' 8295)']","[' 4247     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.92359'],[' 0'], ,[' 286.679'],[' 0'],[' 17.2825'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.33177e+08'],[' 6.93668e+08'],[' 0'],[' 1.44363e+10'],[' 0'],[' 0'],[' 2399 '],[' 4531 '],[' 6397 '],[' 3 '],[' 0 ']
Solving...,Dmu74_Clus(12), , , , , , , , , , , ,[' 4081'],[' 2044'],"[' 425.417s (Solving', ' 416.71s 1st Model', ' 46.75s Unsat', ' 0.02s)']",[' 424.313s'], ,[' 182332434'],"[' 6814695  (Analyzed', ' 6396519)']","[' 12776    (Average', ' 500.67 Last', ' 110379)']",[' 3759.7  '],"[' 2044     (Average Length', ' 1081.21 Splits', ' 0)']","[' 6396519  (Deleted', ' 6327700)']","[' 428      (Ratio', '   0.01%)']","[' 23327    (Ratio', '   0.36%)']","[' 6396519  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6396519  (Average', ' 27.59 Max', ' 3431 Sum', ' 176504639)']","[' 6396096  (Average', ' 27.52 Max', ' 3431 Sum', ' 176051646 Ratio', '  99.74%)']","[' 423      (Average', ' 1070.91 Max', ' 1287 Sum', ' 452993 Ratio', '   0.26%)']", ,[' 92578   '],[' 5951    '],[' 86765   '],[' 39146   '],"[' 115147   (Atom=Atom', ' 30093 Body=Body', ' 19875 Other', ' 65179)']",[' Yes'],"[' 8175     (Eliminated', '    0 Frozen', ' 8175)']","[' 4078     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.87486'],[' 0'], ,[' 187.891'],[' 0'],[' 11.9631'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.28603e+08'],[' 5.29414e+08'],[' 0'],[' 8.65461e+09'],[' 0'],[' 0'],[' 2308 '],[' 4382 '],[' 6434 '],[' 2 '],[' 1 ']
Solving...,Dmu74_Clus(13), , , , , , , , , , ,[' 1'],[' 4215+'],[' 2111'],"[' 602.230s (Solving', ' 593.06s 1st Model', ' 60.03s Unsat', ' 0.00s)']",[' 600.719s'], ,[' 213617085'],"[' 9589320  (Analyzed', ' 9124126)']","[' 18079    (Average', ' 504.68 Last', ' 152147)']",[' 3822.6  '],"[' 2111     (Average Length', ' 1090.82 Splits', ' 0)']","[' 9124126  (Deleted', ' 9036913)']","[' 477      (Ratio', '   0.01%)']","[' 25488    (Ratio', '   0.28%)']","[' 9124126  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9124126  (Average', ' 22.73 Max', ' 3630 Sum', ' 207406343)']","[' 9123667  (Average', ' 22.68 Max', ' 3589 Sum', ' 206921700 Ratio', '  99.77%)']","[' 459      (Average', ' 1055.87 Max', ' 1616 Sum', ' 484643 Ratio', '   0.23%)']", ,[' 92661   '],[' 5955    '],[' 86858   '],[' 39229   '],"[' 115416   (Atom=Atom', ' 30176 Body=Body', ' 19887 Other', ' 65353)']",[' Yes'],"[' 8189     (Eliminated', '    0 Frozen', ' 8189)']","[' 3887     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.91421'],[' 0'], ,[' 322.381'],[' 0'],[' 16.9392'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.20937e+08'],[' 5.98974e+08'],[' 0'],[' 1.80674e+10'],[' 0'],[' 0'],[' 2261 '],[' 4237 '],[' 6126 '],[' 3 '],[' 0 ']
Solving...,Dmu74_Clus(14), , , , , , , , , , ,[' 1'],[' 3519+'],[' 1763'],"[' 602.004s (Solving', ' 594.78s 1st Model', ' 23.48s Unsat', ' 0.00s)']",[' 600.469s'], ,[' 226457936'],"[' 10181795 (Analyzed', ' 9754403)']","[' 18635    (Average', ' 523.45 Last', ' 27358)']",[' 3571.2  '],"[' 1763     (Average Length', ' 934.41 Splits', ' 0)']","[' 9754403  (Deleted', ' 9660751)']","[' 429      (Ratio', '   0.00%)']","[' 29059    (Ratio', '   0.30%)']","[' 9754403  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9754403  (Average', ' 22.70 Max', ' 3590 Sum', ' 221402527)']","[' 9753901  (Average', ' 22.64 Max', ' 3503 Sum', ' 220884667 Ratio', '  99.77%)']","[' 502      (Average', ' 1031.59 Max', ' 1175 Sum', ' 517860 Ratio', '   0.23%)']", ,[' 92551   '],[' 5991    '],[' 86427   '],[' 39049   '],"[' 114926   (Atom=Atom', ' 29972 Body=Body', ' 19995 Other', ' 64959)']",[' Yes'],"[' 7916     (Eliminated', '    0 Frozen', ' 7916)']","[' 4349     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.547'],[' 0'], ,[' 330.706'],[' 0'],[' 17.2122'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.96072e+08'],[' 5.78994e+08'],[' 0'],[' 1.93076e+10'],[' 0'],[' 0'],[' 2309 '],[' 4418 '],[' 6350 '],[' 3 '],[' 0 ']
Solving...,Dmu74_Clus(15), , , , , , , , , , , ,[' 4069'],[' 2038'],"[' 423.885s (Solving', ' 415.20s 1st Model', ' 103.94s Unsat', ' 0.11s)']",[' 422.750s'], ,[' 169058368'],"[' 7052957  (Analyzed', ' 6553025)']","[' 14179    (Average', ' 462.16 Last', ' 844716)']",[' 3789.3  '],"[' 2038     (Average Length', ' 1075.83 Splits', ' 0)']","[' 6553025  (Deleted', ' 6495463)']","[' 465      (Ratio', '   0.01%)']","[' 20688    (Ratio', '   0.32%)']","[' 6553025  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6553025  (Average', ' 24.88 Max', ' 3597 Sum', ' 163066867)']","[' 6552556  (Average', ' 24.81 Max', ' 3597 Sum', ' 162554049 Ratio', '  99.69%)']","[' 469      (Average', ' 1093.43 Max', ' 1590 Sum', ' 512818 Ratio', '   0.31%)']", ,[' 92658   '],[' 5965    '],[' 86809   '],[' 39228   '],"[' 115385   (Atom=Atom', ' 30143 Body=Body', ' 19917 Other', ' 65325)']",[' Yes'],"[' 8169     (Eliminated', '    0 Frozen', ' 8169)']","[' 3855     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.8045'],[' 0'], ,[' 194.731'],[' 0'],[' 11.369'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.08159e+08'],[' 5.06335e+08'],[' 0'],[' 8.71397e+09'],[' 0'],[' 0'],[' 2339 '],[' 4287 '],[' 6355 '],[' 2 '],[' 1 ']
Solving...,Dmu74_Clus(2), , , , , , , , , , , ,[' 4765'],[' 2386'],"[' 426.779s (Solving', ' 416.50s 1st Model', ' 252.33s Unsat', ' 0.03s)']",[' 425.625s'], ,[' 159282950'],"[' 7892473  (Analyzed', ' 7329438)']","[' 17388    (Average', ' 421.52 Last', ' 1013120)']",[' 4047.2  '],"[' 2386     (Average Length', ' 1245.44 Splits', ' 0)']","[' 7329438  (Deleted', ' 7275036)']","[' 543      (Ratio', '   0.01%)']","[' 16699    (Ratio', '   0.23%)']","[' 7329438  (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7329438  (Average', ' 20.75 Max', ' 3965 Sum', ' 152109041)']","[' 7329049  (Average', ' 20.69 Max', ' 3965 Sum', ' 151630080 Ratio', '  99.69%)']","[' 389      (Average', ' 1231.26 Max', ' 3273 Sum', ' 478961 Ratio', '   0.31%)']", ,[' 93197   '],[' 6000    '],[' 87678   '],[' 39700   '],"[' 116949   (Atom=Atom', ' 30631 Body=Body', ' 20022 Other', ' 66296)']",[' Yes'],"[' 8526     (Eliminated', '    0 Frozen', ' 8526)']","[' 2977     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.1018'],[' 0'], ,[' 202.602'],[' 0'],[' 11.2919'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.62561e+08'],[' 4.62394e+08'],[' 0'],[' 8.95312e+09'],[' 0'],[' 0'],[' 2300 '],[' 4474 '],[' 6627 '],[' 2 '],[' 1 ']
Solving...,Dmu74_Clus(3), , , , , , , , , , , ,[' 4475'],[' 2241'],"[' 441.086s (Solving', ' 432.14s 1st Model', ' 294.79s Unsat', ' 4.50s)']",[' 439.734s'], ,[' 166145040'],"[' 7765800  (Analyzed', ' 7228792)']","[' 19060    (Average', ' 379.27 Last', ' 565836)']",[' 3943.4  '],"[' 2241     (Average Length', ' 1170.82 Splits', ' 0)']","[' 7228792  (Deleted', ' 7171112)']","[' 600      (Ratio', '   0.01%)']","[' 18570    (Ratio', '   0.26%)']","[' 7228792  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7228792  (Average', ' 22.06 Max', ' 3823 Sum', ' 159471994)']","[' 7228336  (Average', ' 21.99 Max', ' 3823 Sum', ' 158949021 Ratio', '  99.67%)']","[' 456      (Average', ' 1146.87 Max', ' 1766 Sum', ' 522973 Ratio', '   0.33%)']", ,[' 92653   '],[' 5934    '],[' 87007   '],[' 39265   '],"[' 115487   (Atom=Atom', ' 30222 Body=Body', ' 19824 Other', ' 65441)']",[' Yes'],"[' 8320     (Eliminated', '    0 Frozen', ' 8320)']","[' 3284     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.96741'],[' 0'], ,[' 215.193'],[' 0'],[' 11.9789'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.77617e+08'],[' 4.749e+08'],[' 0'],[' 9.89584e+09'],[' 0'],[' 0'],[' 2466 '],[' 4396 '],[' 6690 '],[' 2 '],[' 1 ']
Solving...,Dmu74_Clus(4), , , , , , , , , , , ,[' 4547'],[' 2277'],"[' 441.895s (Solving', ' 431.71s 1st Model', ' 298.25s Unsat', ' 1.11s)']",[' 440.781s'], ,[' 166795333'],"[' 7116236  (Analyzed', ' 6619560)']","[' 16776    (Average', ' 394.59 Last', ' 847714)']",[' 3923.1  '],"[' 2277     (Average Length', ' 1188.85 Splits', ' 0)']","[' 6619560  (Deleted', ' 6569281)']","[' 599      (Ratio', '   0.01%)']","[' 20977    (Ratio', '   0.32%)']","[' 6619560  (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6619560  (Average', ' 24.19 Max', ' 3633 Sum', ' 160131663)']","[' 6619106  (Average', ' 24.11 Max', ' 3633 Sum', ' 159588926 Ratio', '  99.66%)']","[' 454      (Average', ' 1195.46 Max', ' 1834 Sum', ' 542737 Ratio', '   0.34%)']", ,[' 92840   '],[' 5961    '],[' 87236   '],[' 39433   '],"[' 116048   (Atom=Atom', ' 30366 Body=Body', ' 19905 Other', ' 65777)']",[' Yes'],"[' 8401     (Eliminated', '    0 Frozen', ' 8401)']","[' 3622     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.05807'],[' 0'], ,[' 207.344'],[' 0'],[' 11.8076'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.12567e+08'],[' 5.10799e+08'],[' 0'],[' 9.31022e+09'],[' 0'],[' 0'],[' 2284 '],[' 4564 '],[' 6708 '],[' 2 '],[' 1 ']
