Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1'],[' 4567+'],[' 2287'],"[' 1003.850s (Solving', ' 988.68s 1st Model', ' 283.77s Unsat', ' 0.00s)']",[' 1001.266s'], ,[' 366200368'],"[' 10159608 (Analyzed', ' 9566553)']","[' 19120    (Average', ' 500.34 Last', ' 349301)']",[' 4854.0  '],"[' 2287     (Average Length', ' 1198.95 Splits', ' 0)']","[' 9566553  (Deleted', ' 9455828)']","[' 379      (Ratio', '   0.00%)']","[' 42618    (Ratio', '   0.45%)']","[' 9566553  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9566553  (Average', ' 37.35 Max', ' 4653 Sum', ' 357327247)']","[' 9565893  (Average', ' 37.26 Max', ' 4620 Sum', ' 356486109 Ratio', '  99.76%)']","[' 660      (Average', ' 1274.45 Max', ' 1456 Sum', ' 841138 Ratio', '   0.24%)']", ,[' 123473  '],[' 8045    '],[' 114963  '],[' 52359   '],"[' 154132   (Atom=Atom', ' 40157 Body=Body', ' 26847 Other', ' 87128)']",[' Yes'],"[' 10463    (Eliminated', '    0 Frozen', ' 10463)']","[' 5867     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.31639'],[' 0'], ,[' 472.698'],[' 0'],[' 29.6321'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.057e+09'],[' 8.8736e+08'],[' 0'],[' 1.88078e+10'],[' 0'],[' 0'],[' 1360 '],[' 2446 '],[' 3381 '],[' 3 '],[' 0 ']
Solving...,TA62, , , , ,[' 1'],[' 4515+'],[' 2261'],"[' 1003.854s (Solving', ' 988.77s 1st Model', ' 30.18s Unsat', ' 0.00s)']",[' 1001.031s'], ,[' 349917076'],"[' 11053750 (Analyzed', ' 10233910)']","[' 19260    (Average', ' 531.36 Last', ' 313920)']",[' 4987.5  '],"[' 2261     (Average Length', ' 1184.11 Splits', ' 0)']","[' 10233910 (Deleted', ' 10103423)']","[' 376      (Ratio', '   0.00%)']","[' 42009    (Ratio', '   0.41%)']","[' 10233910 (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10233910 (Average', ' 33.27 Max', ' 4917 Sum', ' 340530961)']","[' 10233216 (Average', ' 33.18 Max', ' 4917 Sum', ' 339610981 Ratio', '  99.73%)']","[' 694      (Average', ' 1325.62 Max', ' 1479 Sum', ' 919980 Ratio', '   0.27%)']", ,[' 124570  '],[' 8202    '],[' 115942  '],[' 53118   '],"[' 156426   (Atom=Atom', ' 40759 Body=Body', ' 27318 Other', ' 88349)']",[' Yes'],"[' 10582    (Eliminated', '    0 Frozen', ' 10582)']","[' 5917     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.2982'],[' 0'], ,[' 519.09'],[' 0'],[' 29.5455'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.12086e+08'],[' 7.70941e+08'],[' 0'],[' 2.35225e+10'],[' 0'],[' 0'],[' 1508 '],[' 2752 '],[' 3651 '],[' 3 '],[' 0 ']
Solving...,TA63, , , , ,[' 1'],[' 4647+'],[' 2327'],"[' 1004.372s (Solving', ' 987.40s 1st Model', ' 362.31s Unsat', ' 0.00s)']",[' 999.281s'], ,[' 367034346'],"[' 7500958  (Analyzed', ' 6857019)']","[' 14856    (Average', ' 461.57 Last', ' 1028725)']",[' 4822.2  '],"[' 2327     (Average Length', ' 1212.44 Splits', ' 0)']","[' 6857019  (Deleted', ' 6771590)']","[' 362      (Ratio', '   0.01%)']","[' 41292    (Ratio', '   0.60%)']","[' 6857019  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6857019  (Average', ' 52.27 Max', ' 4840 Sum', ' 358387867)']","[' 6856355  (Average', ' 52.13 Max', ' 4806 Sum', ' 357490040 Ratio', '  99.75%)']","[' 664      (Average', ' 1352.15 Max', ' 2335 Sum', ' 897827 Ratio', '   0.25%)']", ,[' 124632  '],[' 8179    '],[' 116106  '],[' 53082   '],"[' 156452   (Atom=Atom', ' 40733 Body=Body', ' 27249 Other', ' 88470)']",[' Yes'],"[' 10626    (Eliminated', '    0 Frozen', ' 10626)']","[' 5800     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.72206'],[' 0'], ,[' 454.326'],[' 0'],[' 30.5197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11789e+09'],[' 9.51949e+08'],[' 0'],[' 1.75394e+10'],[' 0'],[' 0'],[' 1171 '],[' 2379 '],[' 3284 '],[' 3 '],[' 0 ']
Solving...,TA64, , , , ,[' 1'],[' 4587+'],[' 2297'],"[' 1005.531s (Solving', ' 978.69s 1st Model', ' 60.68s Unsat', ' 0.00s)']",[' 987.406s'], ,[' 369300557'],"[' 9578764  (Analyzed', ' 8853692)']","[' 17874    (Average', ' 495.34 Last', ' 69597)']",[' 4890.8  '],"[' 2297     (Average Length', ' 1200.26 Splits', ' 0)']","[' 8853692  (Deleted', ' 8753913)']","[' 381      (Ratio', '   0.00%)']","[' 41703    (Ratio', '   0.47%)']","[' 8853692  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8853692  (Average', ' 40.71 Max', ' 4782 Sum', ' 360409313)']","[' 8852993  (Average', ' 40.60 Max', ' 4782 Sum', ' 359493083 Ratio', '  99.75%)']","[' 699      (Average', ' 1310.77 Max', ' 2320 Sum', ' 916230 Ratio', '   0.25%)']", ,[' 123576  '],[' 8080    '],[' 115056  '],[' 52522   '],"[' 154736   (Atom=Atom', ' 40307 Body=Body', ' 26952 Other', ' 87477)']",[' Yes'],"[' 10508    (Eliminated', '    0 Frozen', ' 10508)']","[' 5704     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.11231'],[' 0'], ,[' 462.848'],[' 0'],[' 28.7398'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02602e+09'],[' 8.61851e+08'],[' 0'],[' 1.87584e+10'],[' 0'],[' 0'],[' 1335 '],[' 2488 '],[' 3282 '],[' 3 '],[' 0 ']
Solving...,TA65, , , , ,[' 1'],[' 4867+'],[' 2437'],"[' 1004.555s (Solving', ' 988.14s 1st Model', ' 70.63s Unsat', ' 0.00s)']",[' 987.281s'], ,[' 331592092'],"[' 8731514  (Analyzed', ' 8105839)']","[' 16720    (Average', ' 484.80 Last', ' 40375)']",[' 4832.1  '],"[' 2437     (Average Length', ' 1267.02 Splits', ' 0)']","[' 8105839  (Deleted', ' 8002217)']","[' 329      (Ratio', '   0.00%)']","[' 41543    (Ratio', '   0.51%)']","[' 8105839  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8105839  (Average', ' 39.81 Max', ' 4834 Sum', ' 322696692)']","[' 8105122  (Average', ' 39.68 Max', ' 4589 Sum', ' 321675893 Ratio', '  99.68%)']","[' 717      (Average', ' 1423.71 Max', ' 1609 Sum', ' 1020799 Ratio', '   0.32%)']", ,[' 124676  '],[' 8205    '],[' 116240  '],[' 53209   '],"[' 157068   (Atom=Atom', ' 40947 Body=Body', ' 27327 Other', ' 88794)']",[' Yes'],"[' 10721    (Eliminated', '    0 Frozen', ' 10721)']","[' 6691     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.49173'],[' 0'], ,[' 496.451'],[' 0'],[' 28.8815'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.95973e+08'],[' 8.52037e+08'],[' 0'],[' 2.25505e+10'],[' 0'],[' 0'],[' 1257 '],[' 2323 '],[' 3470 '],[' 3 '],[' 0 ']
Solving...,TA66, , , , ,[' 1'],[' 4655+'],[' 2331'],"[' 1004.106s (Solving', ' 987.82s 1st Model', ' 70.66s Unsat', ' 0.00s)']",[' 999.656s'], ,[' 381374620'],"[' 9027271  (Analyzed', ' 8365729)']","[' 16827    (Average', ' 497.16 Last', ' 109562)']",[' 4880.8  '],"[' 2331     (Average Length', ' 1228.65 Splits', ' 0)']","[' 8365729  (Deleted', ' 8271087)']","[' 375      (Ratio', '   0.00%)']","[' 42167    (Ratio', '   0.50%)']","[' 8365729  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8365729  (Average', ' 44.52 Max', ' 4828 Sum', ' 372458661)']","[' 8365087  (Average', ' 44.42 Max', ' 4815 Sum', ' 371590851 Ratio', '  99.77%)']","[' 642      (Average', ' 1351.73 Max', ' 1541 Sum', ' 867810 Ratio', '   0.23%)']", ,[' 124655  '],[' 8212    '],[' 116160  '],[' 53178   '],"[' 156875   (Atom=Atom', ' 40869 Body=Body', ' 27348 Other', ' 88658)']",[' Yes'],"[' 10694    (Eliminated', '    0 Frozen', ' 10694)']","[' 6039     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.51858'],[' 0'], ,[' 476.007'],[' 0'],[' 30.0855'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12671e+09'],[' 9.60064e+08'],[' 0'],[' 2.09337e+10'],[' 0'],[' 0'],[' 1280 '],[' 2444 '],[' 3497 '],[' 3 '],[' 0 ']
Solving...,TA67, , , , ,[' 1'],[' 4325+'],[' 2166'],"[' 1003.843s (Solving', ' 989.27s 1st Model', ' 30.97s Unsat', ' 0.00s)']",[' 998.938s'], ,[' 331541607'],"[' 10724006 (Analyzed', ' 10077690)']","[' 18815    (Average', ' 535.62 Last', ' 35792)']",[' 4800.7  '],"[' 2166     (Average Length', ' 1151.95 Splits', ' 0)']","[' 10077690 (Deleted', ' 9959575)']","[' 378      (Ratio', '   0.00%)']","[' 38111    (Ratio', '   0.38%)']","[' 10077690 (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10077690 (Average', ' 32.08 Max', ' 4712 Sum', ' 323287416)']","[' 10076952 (Average', ' 31.99 Max', ' 4712 Sum', ' 322368059 Ratio', '  99.72%)']","[' 738      (Average', ' 1245.74 Max', ' 1398 Sum', ' 919357 Ratio', '   0.28%)']", ,[' 123956  '],[' 8144    '],[' 115377  '],[' 52615   '],"[' 155331   (Atom=Atom', ' 40432 Body=Body', ' 27144 Other', ' 87755)']",[' Yes'],"[' 10476    (Eliminated', '    0 Frozen', ' 10476)']","[' 6649     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.14535'],[' 0'], ,[' 536.592'],[' 0'],[' 28.7835'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.29412e+08'],[' 7.86801e+08'],[' 0'],[' 2.71049e+10'],[' 0'],[' 0'],[' 1342 '],[' 2692 '],[' 3714 '],[' 3 '],[' 0 ']
Solving...,TA68, , , , ,[' 1'],[' 5051+'],[' 2529'],"[' 1004.384s (Solving', ' 987.13s 1st Model', ' 49.74s Unsat', ' 0.00s)']",[' 996.375s'], ,[' 371650404'],"[' 11538562 (Analyzed', ' 10926987)']","[' 20518    (Average', ' 532.56 Last', ' 16394)']",[' 5084.2  '],"[' 2529     (Average Length', ' 1299.09 Splits', ' 0)']","[' 10926987 (Deleted', ' 10798138)']","[' 368      (Ratio', '   0.00%)']","[' 39782    (Ratio', '   0.36%)']","[' 10926987 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10926987 (Average', ' 33.10 Max', ' 4853 Sum', ' 361666671)']","[' 10926342 (Average', ' 33.02 Max', ' 4853 Sum', ' 360819957 Ratio', '  99.77%)']","[' 645      (Average', ' 1312.73 Max', ' 1484 Sum', ' 846714 Ratio', '   0.23%)']", ,[' 123750  '],[' 8048    '],[' 115458  '],[' 52573   '],"[' 154904   (Atom=Atom', ' 40411 Body=Body', ' 26856 Other', ' 87637)']",[' Yes'],"[' 10658    (Eliminated', '    0 Frozen', ' 10658)']","[' 5317     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.77044'],[' 0'], ,[' 487.748'],[' 0'],[' 29.525'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02298e+09'],[' 8.55197e+08'],[' 0'],[' 2.02292e+10'],[' 0'],[' 0'],[' 1209 '],[' 2248 '],[' 3275 '],[' 3 '],[' 0 ']
Solving...,TA69, , , , ,[' 1'],[' 4491+'],[' 2249'],"[' 1003.632s (Solving', ' 989.53s 1st Model', ' 36.17s Unsat', ' 0.00s)']",[' 1000.203s'], ,[' 371611287'],"[' 9577512  (Analyzed', ' 8889222)']","[' 16296    (Average', ' 545.48 Last', ' 37430)']",[' 4899.2  '],"[' 2249     (Average Length', ' 1183.45 Splits', ' 0)']","[' 8889222  (Deleted', ' 8778903)']","[' 390      (Ratio', '   0.00%)']","[' 45390    (Ratio', '   0.51%)']","[' 8889222  (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8889222  (Average', ' 40.82 Max', ' 4771 Sum', ' 362857868)']","[' 8888514  (Average', ' 40.72 Max', ' 4771 Sum', ' 361944346 Ratio', '  99.75%)']","[' 708      (Average', ' 1290.29 Max', ' 1454 Sum', ' 913522 Ratio', '   0.25%)']", ,[' 124485  '],[' 8223    '],[' 115872  '],[' 53152   '],"[' 156792   (Atom=Atom', ' 40831 Body=Body', ' 27381 Other', ' 88580)']",[' Yes'],"[' 10611    (Eliminated', '    0 Frozen', ' 10611)']","[' 6512     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.08445'],[' 0'], ,[' 495.343'],[' 0'],[' 29.3048'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07088e+09'],[' 9.14604e+08'],[' 0'],[' 2.28227e+10'],[' 0'],[' 0'],[' 1442 '],[' 2615 '],[' 3829 '],[' 3 '],[' 0 ']
Solving...,TA70, , , , ,[' 1'],[' 4603+'],[' 2305'],"[' 1004.230s (Solving', ' 987.69s 1st Model', ' 69.74s Unsat', ' 0.00s)']",[' 993.656s'], ,[' 324472335'],"[' 9099567  (Analyzed', ' 8355817)']","[' 16501    (Average', ' 506.38 Last', ' 62591)']",[' 4856.4  '],"[' 2305     (Average Length', ' 1217.55 Splits', ' 0)']","[' 8355817  (Deleted', ' 8253251)']","[' 311      (Ratio', '   0.00%)']","[' 38668    (Ratio', '   0.46%)']","[' 8355817  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8355817  (Average', ' 37.77 Max', ' 4802 Sum', ' 315619066)']","[' 8355112  (Average', ' 37.66 Max', ' 4733 Sum', ' 314650171 Ratio', '  99.69%)']","[' 705      (Average', ' 1374.32 Max', ' 1551 Sum', ' 968895 Ratio', '   0.31%)']", ,[' 124994  '],[' 8227    '],[' 116461  '],[' 53269   '],"[' 157012   (Atom=Atom', ' 40903 Body=Body', ' 27393 Other', ' 88716)']",[' Yes'],"[' 10680    (Eliminated', '    0 Frozen', ' 10680)']","[' 6404     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.54707'],[' 0'], ,[' 524.709'],[' 0'],[' 28.3291'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.58416e+08'],[' 8.15559e+08'],[' 0'],[' 2.4317e+10'],[' 0'],[' 0'],[' 1196 '],[' 2505 '],[' 3850 '],[' 3 '],[' 0 ']
