Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 3455'],[' 1733'],"[' 737.407s (Solving', ' 725.47s 1st Model', ' 9.76s Unsat', ' 113.96s)']",[' 735.703s'], ,[' 45247577'],"[' 19304175 (Analyzed', ' 19057356)']","[' 37309    (Average', ' 510.80 Last', ' 21172)']",[' 3086.7  '],"[' 1733     (Average Length', ' 808.25 Splits', ' 0)']","[' 19057356 (Deleted', ' 18726258)']","[' 56       (Ratio', '   0.00%)']","[' 4405     (Ratio', '   0.02%)']","[' 19057356 (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19057356 (Average', '  2.15 Max', ' 3494 Sum', ' 41015956)']","[' 19056676 (Average', '  2.13 Max', ' 3455 Sum', ' 40542456 Ratio', '  98.85%)']","[' 680      (Average', ' 696.32 Max', ' 1215 Sum', ' 473500 Ratio', '   1.15%)']", ,[' 104739  '],[' 5730    '],[' 105303  '],[' 59052   '],"[' 177152   (Atom=Atom', ' 54320 Body=Body', ' 31180 Other', ' 91652)']",[' Yes'],"[' 7294     (Eliminated', '    0 Frozen', ' 7294)']","[' 927      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.73433'],[' 0'], ,[' 586.977'],[' 0'],[' 10.398'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36952e+08'],[' 8.89044e+07'],[' 0'],[' 6.15714e+10'],[' 0'],[' 0'],[' 761 '],[' 1355 '],[' 2061 '],[' 2745 '],[' 3434 '],[' 3 '],[' 2 ']
Solving...,TA62, , ,[' 3005'],[' 1508'],"[' 382.698s (Solving', ' 372.57s 1st Model', ' 24.13s Unsat', ' 141.09s)']",[' 381.453s'], ,[' 24224453'],"[' 6577541  (Analyzed', ' 6412509)']","[' 14431    (Average', ' 444.36 Last', ' 87601)']",[' 2852.8  '],"[' 1508     (Average Length', ' 705.44 Splits', ' 0)']","[' 6412509  (Deleted', ' 6285486)']","[' 84       (Ratio', '   0.00%)']","[' 6404     (Ratio', '   0.10%)']","[' 6412509  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6412509  (Average', '  3.28 Max', ' 3169 Sum', ' 21041406)']","[' 6411816  (Average', '  3.22 Max', ' 3169 Sum', ' 20628092 Ratio', '  98.04%)']","[' 693      (Average', ' 596.41 Max', ' 1065 Sum', ' 413314 Ratio', '   1.96%)']", ,[' 104595  '],[' 5737    '],[' 104984  '],[' 58856   '],"[' 176564   (Atom=Atom', ' 54117 Body=Body', ' 31187 Other', ' 91260)']",[' Yes'],"[' 7126     (Eliminated', '    0 Frozen', ' 7126)']","[' 1296     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.42669'],[' 0'], ,[' 316.157'],[' 0'],[' 4.94669'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.28681e+07'],[' 6.26417e+07'],[' 0'],[' 3.52688e+10'],[' 0'],[' 0'],[' 724 '],[' 1403 '],[' 2057 '],[' 2645 '],[' 3541 '],[' 1 '],[' 4 ']
Solving...,TA63, , ,[' 3231'],[' 1621'],"[' 648.963s (Solving', ' 638.61s 1st Model', ' 20.76s Unsat', ' 22.86s)']",[' 647.313s'], ,[' 57962458'],"[' 17614034 (Analyzed', ' 17405778)']","[' 33266    (Average', ' 523.23 Last', ' 73792)']",[' 2887.8  '],"[' 1621     (Average Length', ' 748.49 Splits', ' 0)']","[' 17405778 (Deleted', ' 17136149)']","[' 81       (Ratio', '   0.00%)']","[' 6862     (Ratio', '   0.04%)']","[' 17405778 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17405778 (Average', '  3.11 Max', ' 3264 Sum', ' 54205903)']","[' 17405139 (Average', '  3.09 Max', ' 3264 Sum', ' 53779824 Ratio', '  99.21%)']","[' 639      (Average', ' 666.79 Max', ' 1121 Sum', ' 426079 Ratio', '   0.79%)']", ,[' 104775  '],[' 5698    '],[' 105211  '],[' 58942   '],"[' 176822   (Atom=Atom', ' 54242 Body=Body', ' 31148 Other', ' 91432)']",[' Yes'],"[' 7134     (Eliminated', '    0 Frozen', ' 7134)']","[' 1345     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.57461'],[' 0'], ,[' 499.453'],[' 0'],[' 9.89099'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80754e+08'],[' 1.2747e+08'],[' 0'],[' 5.36226e+10'],[' 0'],[' 0'],[' 826 '],[' 1378 '],[' 1991 '],[' 2651 '],[' 3197 '],[' 3 '],[' 2 ']
Solving...,TA64, , ,[' 3417'],[' 1714'],"[' 449.963s (Solving', ' 438.18s 1st Model', ' 45.97s Unsat', ' 11.05s)']",[' 448.531s'], ,[' 50884207'],"[' 15744361 (Analyzed', ' 15559343)']","[' 29174    (Average', ' 533.33 Last', ' 116992)']",[' 3168.3  '],"[' 1714     (Average Length', ' 781.24 Splits', ' 0)']","[' 15559343 (Deleted', ' 15360288)']","[' 94       (Ratio', '   0.00%)']","[' 8199     (Ratio', '   0.05%)']","[' 15559343 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15559343 (Average', '  2.98 Max', ' 3568 Sum', ' 46368261)']","[' 15558932 (Average', '  2.96 Max', ' 3568 Sum', ' 46100268 Ratio', '  99.42%)']","[' 411      (Average', ' 652.05 Max', ' 1180 Sum', ' 267993 Ratio', '   0.58%)']", ,[' 105354  '],[' 5675    '],[' 105843  '],[' 59762   '],"[' 179282   (Atom=Atom', ' 55085 Body=Body', ' 31125 Other', ' 93072)']",[' Yes'],"[' 7164     (Eliminated', '    0 Frozen', ' 7164)']","[' 1096     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.85938'],[' 0'], ,[' 321.22'],[' 0'],[' 6.68909'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58294e+08'],[' 1.10334e+08'],[' 0'],[' 3.75788e+10'],[' 0'],[' 0'],[' 811 '],[' 1360 '],[' 1907 '],[' 2490 '],[' 3053 '],[' 2 '],[' 3 ']
Solving...,TA65, , ,[' 3315'],[' 1663'],"[' 465.305s (Solving', ' 454.25s 1st Model', ' 38.84s Unsat', ' 8.21s)']",[' 464.188s'], ,[' 41156313'],"[' 14983314 (Analyzed', ' 14788014)']","[' 27385    (Average', ' 540.00 Last', ' 161999)']",[' 2817.3  '],"[' 1663     (Average Length', ' 766.22 Splits', ' 0)']","[' 14788014 (Deleted', ' 14547533)']","[' 71       (Ratio', '   0.00%)']","[' 7187     (Ratio', '   0.05%)']","[' 14788014 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14788014 (Average', '  2.53 Max', ' 3323 Sum', ' 37446150)']","[' 14787495 (Average', '  2.51 Max', ' 3323 Sum', ' 37148917 Ratio', '  99.21%)']","[' 519      (Average', ' 572.70 Max', ' 1204 Sum', ' 297233 Ratio', '   0.79%)']", ,[' 104469  '],[' 5690    '],[' 104951  '],[' 58474   '],"[' 175418   (Atom=Atom', ' 53782 Body=Body', ' 31140 Other', ' 90496)']",[' Yes'],"[' 7172     (Eliminated', '    0 Frozen', ' 7172)']","[' 1178     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.6212'],[' 0'], ,[' 336.763'],[' 0'],[' 6.94874'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3417e+08'],[' 9.11146e+07'],[' 0'],[' 3.58123e+10'],[' 0'],[' 0'],[' 720 '],[' 1295 '],[' 1959 '],[' 2534 '],[' 3301 '],[' 2 '],[' 3 ']
Solving...,TA66, , ,[' 3563'],[' 1787'],"[' 433.109s (Solving', ' 421.45s 1st Model', ' 11.21s Unsat', ' 2.37s)']",[' 432.578s'], ,[' 43157781'],"[' 15836973 (Analyzed', ' 15633298)']","[' 28799    (Average', ' 542.84 Last', ' 20988)']",[' 3002.6  '],"[' 1787     (Average Length', ' 816.03 Splits', ' 0)']","[' 15633298 (Deleted', ' 15406769)']","[' 80       (Ratio', '   0.00%)']","[' 5746     (Ratio', '   0.04%)']","[' 15633298 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15633298 (Average', '  2.49 Max', ' 3539 Sum', ' 38927074)']","[' 15632779 (Average', '  2.47 Max', ' 3539 Sum', ' 38626900 Ratio', '  99.23%)']","[' 519      (Average', ' 578.37 Max', ' 1224 Sum', ' 300174 Ratio', '   0.77%)']", ,[' 105110  '],[' 5731    '],[' 105682  '],[' 59133   '],"[' 177395   (Atom=Atom', ' 54400 Body=Body', ' 31181 Other', ' 91814)']",[' Yes'],"[' 7303     (Eliminated', '    0 Frozen', ' 7303)']","[' 981      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.82131'],[' 0'], ,[' 304.242'],[' 0'],[' 7.26185'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33631e+08'],[' 9.02007e+07'],[' 0'],[' 2.39704e+10'],[' 0'],[' 0'],[' 761 '],[' 1414 '],[' 2023 '],[' 2664 '],[' 3413 '],[' 2 '],[' 3 ']
Solving...,TA67, , ,[' 2983'],[' 1497'],"[' 784.093s (Solving', ' 774.79s 1st Model', ' 7.26s Unsat', ' 168.49s)']",[' 782.984s'], ,[' 53121920'],"[' 19928063 (Analyzed', ' 19789744)']","[' 35345    (Average', ' 559.90 Last', ' 16850)']",[' 2868.4  '],"[' 1497     (Average Length', ' 692.08 Splits', ' 0)']","[' 19789744 (Deleted', ' 19525694)']","[' 72       (Ratio', '   0.00%)']","[' 5599     (Ratio', '   0.03%)']","[' 19789744 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19789744 (Average', '  2.50 Max', ' 3552 Sum', ' 49490296)']","[' 19789173 (Average', '  2.48 Max', ' 3552 Sum', ' 49150905 Ratio', '  99.31%)']","[' 571      (Average', ' 594.38 Max', ' 1061 Sum', ' 339391 Ratio', '   0.69%)']", ,[' 104786  '],[' 5751    '],[' 105131  '],[' 58797   '],"[' 176387   (Atom=Atom', ' 54044 Body=Body', ' 31201 Other', ' 91142)']",[' Yes'],"[' 7096     (Eliminated', '    0 Frozen', ' 7096)']","[' 1114     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.34626'],[' 0'], ,[' 631.751'],[' 0'],[' 10.4961'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57811e+08'],[' 1.00394e+08'],[' 0'],[' 7.03917e+10'],[' 0'],[' 0'],[' 851 '],[' 1499 '],[' 2196 '],[' 2775 '],[' 3489 '],[' 3 '],[' 2 ']
Solving...,TA68, , ,[' 2921'],[' 1466'],"[' 784.360s (Solving', ' 773.18s 1st Model', ' 11.61s Unsat', ' 158.73s)']",[' 782.453s'], ,[' 46475460'],"[' 19411472 (Analyzed', ' 19298108)']","[' 36269    (Average', ' 532.08 Last', ' 15840)']",[' 2884.6  '],"[' 1466     (Average Length', ' 688.65 Splits', ' 0)']","[' 19298108 (Deleted', ' 19025179)']","[' 68       (Ratio', '   0.00%)']","[' 5373     (Ratio', '   0.03%)']","[' 19298108 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19298108 (Average', '  2.23 Max', ' 3295 Sum', ' 43042388)']","[' 19297366 (Average', '  2.21 Max', ' 3295 Sum', ' 42618055 Ratio', '  99.01%)']","[' 742      (Average', ' 571.88 Max', ' 999 Sum', ' 424333 Ratio', '   0.99%)']", ,[' 103957  '],[' 5669    '],[' 104302  '],[' 57818   '],"[' 173450   (Atom=Atom', ' 53147 Body=Body', ' 31119 Other', ' 89184)']",[' Yes'],"[' 7014     (Eliminated', '    0 Frozen', ' 7014)']","[' 986      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.63528'],[' 0'], ,[' 632.903'],[' 0'],[' 10.7932'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45935e+08'],[' 9.54841e+07'],[' 0'],[' 6.64744e+10'],[' 0'],[' 0'],[' 687 '],[' 1451 '],[' 2066 '],[' 2742 '],[' 3385 '],[' 3 '],[' 2 ']
Solving...,TA69, , ,[' 2897'],[' 1454'],"[' 811.384s (Solving', ' 800.14s 1st Model', ' 15.11s Unsat', ' 185.66s)']",[' 809.016s'], ,[' 61778738'],"[' 18889505 (Analyzed', ' 18759286)']","[' 34652    (Average', ' 541.36 Last', ' 33345)']",[' 2909.2  '],"[' 1454     (Average Length', ' 684.67 Splits', ' 0)']","[' 18759286 (Deleted', ' 18495094)']","[' 141      (Ratio', '   0.00%)']","[' 7718     (Ratio', '   0.04%)']","[' 18759286 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18759286 (Average', '  3.10 Max', ' 3271 Sum', ' 58197031)']","[' 18758565 (Average', '  3.08 Max', ' 3271 Sum', ' 57813554 Ratio', '  99.34%)']","[' 721      (Average', ' 531.87 Max', ' 1006 Sum', ' 383477 Ratio', '   0.66%)']", ,[' 104544  '],[' 5734    '],[' 104877  '],[' 58537   '],"[' 175607   (Atom=Atom', ' 53801 Body=Body', ' 31184 Other', ' 90622)']",[' Yes'],"[' 7067     (Eliminated', '    0 Frozen', ' 7067)']","[' 1417     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.40765'],[' 0'], ,[' 643.483'],[' 0'],[' 11.4792'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.8955e+08'],[' 1.29991e+08'],[' 0'],[' 6.78559e+10'],[' 0'],[' 0'],[' 915 '],[' 1767 '],[' 2417 '],[' 3092 '],[' 3842 '],[' 3 '],[' 2 ']
Solving...,TA70, , ,[' 3369'],[' 1690'],"[' 621.127s (Solving', ' 610.84s 1st Model', ' 18.90s Unsat', ' 1.14s)']",[' 620.031s'], ,[' 84834141'],"[' 12628809 (Analyzed', ' 12485476)']","[' 21563    (Average', ' 579.02 Last', ' 18945)']",[' 2709.1  '],"[' 1690     (Average Length', ' 781.89 Splits', ' 0)']","[' 12485476 (Deleted', ' 12332419)']","[' 187      (Ratio', '   0.00%)']","[' 11030    (Ratio', '   0.09%)']","[' 12485476 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12485476 (Average', '  6.52 Max', ' 3067 Sum', ' 81381954)']","[' 12484926 (Average', '  6.48 Max', ' 3067 Sum', ' 80948094 Ratio', '  99.47%)']","[' 550      (Average', ' 788.84 Max', ' 1253 Sum', ' 433860 Ratio', '   0.53%)']", ,[' 105484  '],[' 5827    '],[' 106001  '],[' 59900   '],"[' 179696   (Atom=Atom', ' 55071 Body=Body', ' 31277 Other', ' 93348)']",[' Yes'],"[' 7344     (Eliminated', '    0 Frozen', ' 7344)']","[' 2123     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.45434'],[' 0'], ,[' 465.67'],[' 0'],[' 10.0309'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.95462e+08'],[' 2.23731e+08'],[' 0'],[' 5.20132e+10'],[' 0'],[' 0'],[' 830 '],[' 1456 '],[' 2312 '],[' 3007 '],[' 3862 '],[' 3 '],[' 2 ']
