Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1'],[' 4897+'],[' 2452'],"[' 603.297s (Solving', ' 588.45s 1st Model', ' 76.54s Unsat', ' 0.00s)']",[' 601.750s'], ,[' 250245442'],"[' 5854886  (Analyzed', ' 5129620)']","[' 11601    (Average', ' 442.17 Last', ' 84618)']",[' 4940.3  '],"[' 2452     (Average Length', ' 1262.23 Splits', ' 0)']","[' 5129620  (Deleted', ' 5048989)']","[' 257      (Ratio', '   0.01%)']","[' 36969    (Ratio', '   0.72%)']","[' 5129620  (Average Length', '   17.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5129620  (Average', ' 46.99 Max', ' 4891 Sum', ' 241049113)']","[' 5128936  (Average', ' 46.81 Max', ' 4803 Sum', ' 240113767 Ratio', '  99.61%)']","[' 684      (Average', ' 1367.46 Max', ' 1529 Sum', ' 935346 Ratio', '   0.39%)']", ,[' 124176  '],[' 8098    '],[' 115809  '],[' 52761   '],"[' 155485   (Atom=Atom', ' 40534 Body=Body', ' 27006 Other', ' 87945)']",[' Yes'],"[' 10649    (Eliminated', '    0 Frozen', ' 10649)']","[' 5772     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.22186'],[' 0'], ,[' 287.809'],[' 0'],[' 18.3735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.56531e+08'],[' 5.52304e+08'],[' 0'],[' 1.33647e+10'],[' 0'],[' 0'],[' 1243 '],[' 2402 '],[' 3483 '],[' 3 '],[' 0 ']
Solving...,TA62, , , ,[' 1'],[' 4951+'],[' 2479'],"[' 604.237s (Solving', ' 587.36s 1st Model', ' 199.29s Unsat', ' 0.00s)']",[' 602.750s'], ,[' 271312886'],"[' 3842795  (Analyzed', ' 3192861)']","[' 8489     (Average', ' 376.12 Last', ' 205161)']",[' 5056.9  '],"[' 2479     (Average Length', ' 1284.81 Splits', ' 0)']","[' 3192861  (Deleted', ' 3120598)']","[' 288      (Ratio', '   0.01%)']","[' 43508    (Ratio', '   1.36%)']","[' 3192861  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3192861  (Average', ' 82.00 Max', ' 4793 Sum', ' 261822740)']","[' 3192191  (Average', ' 81.73 Max', ' 4793 Sum', ' 260968287 Ratio', '  99.67%)']","[' 670      (Average', ' 1275.30 Max', ' 1472 Sum', ' 854453 Ratio', '   0.33%)']", ,[' 125344  '],[' 8261    '],[' 116933  '],[' 53581   '],"[' 157944   (Atom=Atom', ' 41213 Body=Body', ' 27495 Other', ' 89236)']",[' Yes'],"[' 10849    (Eliminated', '    0 Frozen', ' 10849)']","[' 6349     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.67348'],[' 0'], ,[' 230.658'],[' 0'],[' 18.4984'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.54962e+08'],[' 7.36607e+08'],[' 0'],[' 8.66353e+09'],[' 0'],[' 0'],[' 1345 '],[' 2397 '],[' 3498 '],[' 3 '],[' 0 ']
Solving...,TA63, , , ,[' 1'],[' 4897+'],[' 2452'],"[' 604.089s (Solving', ' 589.07s 1st Model', ' 109.92s Unsat', ' 0.00s)']",[' 602.141s'], ,[' 238753434'],"[' 5858607  (Analyzed', ' 5104381)']","[' 11683    (Average', ' 436.91 Last', ' 154101)']",[' 4925.9  '],"[' 2452     (Average Length', ' 1279.07 Splits', ' 0)']","[' 5104381  (Deleted', ' 5028571)']","[' 264      (Ratio', '   0.01%)']","[' 36176    (Ratio', '   0.71%)']","[' 5104381  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5104381  (Average', ' 44.94 Max', ' 4642 Sum', ' 229395143)']","[' 5103695  (Average', ' 44.76 Max', ' 4642 Sum', ' 228448239 Ratio', '  99.59%)']","[' 686      (Average', ' 1380.33 Max', ' 1606 Sum', ' 946904 Ratio', '   0.41%)']", ,[' 124171  '],[' 8094    '],[' 115771  '],[' 52783   '],"[' 155431   (Atom=Atom', ' 40518 Body=Body', ' 26994 Other', ' 87919)']",[' Yes'],"[' 10634    (Eliminated', '    0 Frozen', ' 10634)']","[' 5630     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.20686'],[' 0'], ,[' 286.266'],[' 0'],[' 17.6004'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.78709e+08'],[' 5.7381e+08'],[' 0'],[' 1.34679e+10'],[' 0'],[' 0'],[' 1221 '],[' 2196 '],[' 3337 '],[' 3 '],[' 0 ']
Solving...,TA64, , , ,[' 1'],[' 5329+'],[' 2668'],"[' 604.758s (Solving', ' 586.53s 1st Model', ' 193.47s Unsat', ' 0.00s)']",[' 602.625s'], ,[' 252735777'],"[' 6589862  (Analyzed', ' 5903101)']","[' 13123    (Average', ' 449.83 Last', ' 197593)']",[' 5074.0  '],"[' 2668     (Average Length', ' 1367.43 Splits', ' 0)']","[' 5903101  (Deleted', ' 5815506)']","[' 282      (Ratio', '   0.00%)']","[' 38774    (Ratio', '   0.66%)']","[' 5903101  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5903101  (Average', ' 41.11 Max', ' 4955 Sum', ' 242698627)']","[' 5902388  (Average', ' 40.94 Max', ' 4804 Sum', ' 241686012 Ratio', '  99.58%)']","[' 713      (Average', ' 1420.22 Max', ' 1622 Sum', ' 1012615 Ratio', '   0.42%)']", ,[' 124365  '],[' 8120    '],[' 116129  '],[' 53103   '],"[' 156477   (Atom=Atom', ' 40838 Body=Body', ' 27072 Other', ' 88567)']",[' Yes'],"[' 10842    (Eliminated', '    0 Frozen', ' 10842)']","[' 5799     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.88837'],[' 0'], ,[' 268.225'],[' 0'],[' 17.9231'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.78785e+08'],[' 5.70199e+08'],[' 0'],[' 1.13569e+10'],[' 0'],[' 0'],[' 1313 '],[' 2330 '],[' 3297 '],[' 3 '],[' 0 ']
Solving...,TA65, , , ,[' 1'],[' 5013+'],[' 2510'],"[' 607.588s (Solving', ' 576.91s 1st Model', ' 81.02s Unsat', ' 0.00s)']",[' 594.000s'], ,[' 155524045'],"[' 4571382  (Analyzed', ' 3773145)']","[' 8941     (Average', ' 422.00 Last', ' 36753)']",[' 5063.4  '],"[' 2510     (Average Length', ' 1301.16 Splits', ' 0)']","[' 3773145  (Deleted', ' 3705416)']","[' 185      (Ratio', '   0.00%)']","[' 29245    (Ratio', '   0.78%)']","[' 3773145  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3773145  (Average', ' 38.65 Max', ' 4885 Sum', ' 145849976)']","[' 3772463  (Average', ' 38.39 Max', ' 4885 Sum', ' 144856934 Ratio', '  99.32%)']","[' 682      (Average', ' 1456.07 Max', ' 1629 Sum', ' 993042 Ratio', '   0.68%)']", ,[' 124683  '],[' 8172    '],[' 116296  '],[' 53225   '],"[' 156835   (Atom=Atom', ' 40888 Body=Body', ' 27228 Other', ' 88719)']",[' Yes'],"[' 10767    (Eliminated', '    0 Frozen', ' 10767)']","[' 5117     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.89301'],[' 0'], ,[' 240.109'],[' 0'],[' 17.0496'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.64746e+08'],[' 3.02522e+08'],[' 0'],[' 5.78903e+09'],[' 0'],[' 0'],[' 1171 '],[' 2327 '],[' 3454 '],[' 3 '],[' 0 ']
Solving...,TA66, , , ,[' 1'],[' 4037+'],[' 2022'],"[' 434.659s (Solving', ' 398.59s 1st Model', ' 197.93s Unsat', ' 0.00s)']",[' 422.859s'], ,[' 65294745'],"[' 784560   (Analyzed', ' 524327)']","[' 2326     (Average', ' 225.42 Last', ' 52567)']",[' 5205.7  '],"[' 2021     (Average Length', ' 1021.05 Splits', ' 0)']","[' 524327   (Deleted', ' 496311)']","[' 62       (Ratio', '   0.01%)']","[' 14801    (Ratio', '   2.82%)']","[' 524327   (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 524327   (Average', ' 109.95 Max', ' 6115 Sum', ' 57648807)']","[' 523423   (Average', ' 107.76 Max', ' 6115 Sum', ' 56503313 Ratio', '  98.01%)']","[' 904      (Average', ' 1267.14 Max', ' 1355 Sum', ' 1145494 Ratio', '   1.99%)']", ,[' 124400  '],[' 8201    '],[' 115703  '],[' 52761   '],"[' 155691   (Atom=Atom', ' 40516 Body=Body', ' 27315 Other', ' 87860)']",[' Yes'],"[' 10434    (Eliminated', '    0 Frozen', ' 10434)']","[' 2188     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.38792'],[' 0'], ,[' 131.383'],[' 0'],[' 11.5592'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25326e+08'],[' 1.06628e+08'],[' 0'],[' 1.35148e+09'],[' 0'],[' 0'],[' 1137 '],[' 5425 '],[' 3627 '],[' 3 '],[' 0 ']
Solving...,TA67, , , ,[' 1'],[' 4563+'],[' 2285'],"[' 609.193s (Solving', ' 570.44s 1st Model', ' 234.44s Unsat', ' 0.00s)']",[' 595.625s'], ,[' 93889545'],"[' 1838403  (Analyzed', ' 1119070)']","[' 3769     (Average', ' 296.91 Last', ' 316134)']",[' 5178.1  '],"[' 2285     (Average Length', ' 1176.47 Splits', ' 0)']","[' 1119070  (Deleted', ' 1078274)']","[' 118      (Ratio', '   0.01%)']","[' 23673    (Ratio', '   2.12%)']","[' 1119070  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1119070  (Average', ' 75.74 Max', ' 5230 Sum', ' 84759601)']","[' 1118327  (Average', ' 74.93 Max', ' 5230 Sum', ' 83849764 Ratio', '  98.93%)']","[' 743      (Average', ' 1224.55 Max', ' 1329 Sum', ' 909837 Ratio', '   1.07%)']", ,[' 123814  '],[' 8122    '],[' 115310  '],[' 52641   '],"[' 155340   (Atom=Atom', ' 40463 Body=Body', ' 27078 Other', ' 87799)']",[' Yes'],"[' 10537    (Eliminated', '    0 Frozen', ' 10537)']","[' 4167     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.03297'],[' 0'], ,[' 232.839'],[' 0'],[' 16.8799'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87288e+08'],[' 1.58403e+08'],[' 0'],[' 3.00088e+09'],[' 0'],[' 0'],[' 1306 '],[' 2478 '],[' 3500 '],[' 3 '],[' 0 ']
Solving...,TA68, , , , ,[' 4217+'],[' 2112'],"[' 612.270s (Solving', ' 572.89s 1st Model', ' 162.74s Unsat', ' 0.00s)']",[' 598.828s'], ,[' 94181085'],"[' 2881310  (Analyzed', ' 1810569)']","[' 5199     (Average', ' 348.25 Last', ' 45135)']",[' 5355.6  '],"[' 2113     (Average Length', ' 1137.08 Splits', ' 0)']","[' 1810569  (Deleted', ' 1763849)']","[' 126      (Ratio', '   0.01%)']","[' 21069    (Ratio', '   1.16%)']","[' 1810569  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1810569  (Average', ' 46.85 Max', ' 5535 Sum', ' 84824362)']","[' 1809796  (Average', ' 46.39 Max', ' 5535 Sum', ' 83988353 Ratio', '  99.01%)']","[' 773      (Average', ' 1081.51 Max', ' 1291 Sum', ' 836009 Ratio', '   0.99%)']", ,[' 123627  '],[' 8096    '],[' 114958  '],[' 52385   '],"[' 154410   (Atom=Atom', ' 40185 Body=Body', ' 27000 Other', ' 87225)']",[' Yes'],"[' 10348    (Eliminated', '    0 Frozen', ' 10348)']","[' 3232     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.30656'],[' 0'], ,[' 251.171'],[' 0'],[' 16.7725'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7686e+08'],[' 1.46393e+08'],[' 0'],[' 3.65945e+09'],[' 0'],[' 0'],[' 1346 '],[' 2301 '],[' 3338 '],[' 3 '],[' 0 ']
Solving...,TA69, , , ,[' 1'],[' 4779+'],[' 2393'],"[' 598.161s (Solving', ' 576.62s 1st Model', ' 50.45s Unsat', ' 0.00s)']",[' 585.969s'], ,[' 184394839'],"[' 5732934  (Analyzed', ' 4800462)']","[' 11024    (Average', ' 435.46 Last', ' 47931)']",[' 5127.8  '],"[' 2393     (Average Length', ' 1258.06 Splits', ' 0)']","[' 4800462  (Deleted', ' 4723213)']","[' 240      (Ratio', '   0.00%)']","[' 32552    (Ratio', '   0.68%)']","[' 4800462  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4800462  (Average', ' 36.36 Max', ' 4900 Sum', ' 174555253)']","[' 4799745  (Average', ' 36.16 Max', ' 4900 Sum', ' 173596510 Ratio', '  99.45%)']","[' 717      (Average', ' 1337.16 Max', ' 1557 Sum', ' 958743 Ratio', '   0.55%)']", ,[' 124534  '],[' 8187    '],[' 116049  '],[' 53131   '],"[' 156568   (Atom=Atom', ' 40831 Body=Body', ' 27273 Other', ' 88464)']",[' Yes'],"[' 10685    (Eliminated', '    0 Frozen', ' 10685)']","[' 5482     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.22035'],[' 0'], ,[' 284.233'],[' 0'],[' 17.2028'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.47388e+08'],[' 3.75279e+08'],[' 0'],[' 1.31901e+10'],[' 0'],[' 0'],[' 1393 '],[' 2574 '],[' 3735 '],[' 3 '],[' 0 ']
Solving...,TA70, , , ,[' 1'],[' 4463+'],[' 2235'],"[' 603.718s (Solving', ' 589.03s 1st Model', ' 49.32s Unsat', ' 0.00s)']",[' 602.453s'], ,[' 232781964'],"[' 6109158  (Analyzed', ' 5478201)']","[' 11926    (Average', ' 459.35 Last', ' 92464)']",[' 4864.6  '],"[' 2235     (Average Length', ' 1197.22 Splits', ' 0)']","[' 5478201  (Deleted', ' 5392071)']","[' 286      (Ratio', '   0.01%)']","[' 36647    (Ratio', '   0.67%)']","[' 5478201  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5478201  (Average', ' 40.98 Max', ' 4799 Sum', ' 224501425)']","[' 5477461  (Average', ' 40.81 Max', ' 4799 Sum', ' 223563294 Ratio', '  99.58%)']","[' 740      (Average', ' 1267.74 Max', ' 1468 Sum', ' 938131 Ratio', '   0.42%)']", ,[' 124727  '],[' 8189    '],[' 116174  '],[' 52993   '],"[' 156156   (Atom=Atom', ' 40681 Body=Body', ' 27279 Other', ' 88196)']",[' Yes'],"[' 10589    (Eliminated', '    0 Frozen', ' 10589)']","[' 5823     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.11138'],[' 0'], ,[' 301.781'],[' 0'],[' 17.6726'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.36016e+08'],[' 5.44102e+08'],[' 0'],[' 1.51194e+10'],[' 0'],[' 0'],[' 1191 '],[' 2481 '],[' 3713 '],[' 3 '],[' 0 ']
