Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 1505+'],[' 758'],"[' 601.006s (Solving', ' 598.06s 1st Model', ' 2.48s Unsat', ' 0.00s)']",[' 599.125s'], ,[' 60404915'],"[' 24778610 (Analyzed', ' 24714334)']","[' 45316    (Average', ' 545.38 Last', ' 261184)']",[' 1957.1  '],"[' 758      (Average Length', ' 455.17 Splits', ' 0)']","[' 24714334 (Deleted', ' 24457657)']","[' 18       (Ratio', '   0.00%)']","[' 5703     (Ratio', '   0.02%)']","[' 24714334 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24714334 (Average', '  2.37 Max', ' 3082 Sum', ' 58672422)']","[' 24713710 (Average', '  2.36 Max', ' 2605 Sum', ' 58341097 Ratio', '  99.44%)']","[' 624      (Average', ' 530.97 Max', ' 641 Sum', ' 331325 Ratio', '   0.56%)']", ,[' 73660   '],[' 3669    '],[' 67469   '],[' 27223   '],"[' 73669    (Atom=Atom', ' 20391 Body=Body', ' 13167 Other', ' 40111)']",[' Yes'],"[' 4834     (Eliminated', '    0 Frozen', ' 4834)']","[' 996      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.608382'],[' 0'], ,[' 414.066'],[' 0'],[' 11.2862'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4457e+08'],[' 8.11632e+07'],[' 0'],[' 2.52195e+10'],[' 0'],[' 0'],[' 888 '],[' 1568 '],[' 2328 '],[' 2939 '],[' 3689 '],[' 5 '],[' 0 ']
Solving...,TA52, , , ,[' 1'],[' 1321+'],[' 666'],"[' 600.967s (Solving', ' 598.23s 1st Model', ' 2.05s Unsat', ' 0.00s)']",[' 597.625s'], ,[' 60977626'],"[' 26042219 (Analyzed', ' 25982710)']","[' 46758    (Average', ' 555.68 Last', ' 244250)']",[' 2051.2  '],"[' 666      (Average Length', ' 409.36 Splits', ' 0)']","[' 25982710 (Deleted', ' 25735571)']","[' 18       (Ratio', '   0.00%)']","[' 5813     (Ratio', '   0.02%)']","[' 25982710 (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25982710 (Average', '  2.28 Max', ' 3067 Sum', ' 59193423)']","[' 25981989 (Average', '  2.27 Max', ' 2603 Sum', ' 58874528 Ratio', '  99.46%)']","[' 721      (Average', ' 442.30 Max', ' 541 Sum', ' 318895 Ratio', '   0.54%)']", ,[' 73579   '],[' 3758    '],[' 67506   '],[' 27180   '],"[' 74727    (Atom=Atom', ' 20655 Body=Body', ' 13434 Other', ' 40638)']",[' Yes'],"[' 4839     (Eliminated', '    0 Frozen', ' 4839)']","[' 1163     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.566646'],[' 0'], ,[' 402.19'],[' 0'],[' 9.36987'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38552e+08'],[' 7.33356e+07'],[' 0'],[' 2.282e+10'],[' 0'],[' 0'],[' 1064 '],[' 1810 '],[' 2365 '],[' 3155 '],[' 3604 '],[' 5 '],[' 0 ']
Solving...,TA53, , , ,[' 1'],[' 1871+'],[' 941'],"[' 601.151s (Solving', ' 597.59s 1st Model', ' 2.70s Unsat', ' 0.00s)']",[' 599.313s'], ,[' 57913508'],"[' 27925659 (Analyzed', ' 27831745)']","[' 50605    (Average', ' 549.98 Last', ' 98719)']",[' 2160.6  '],"[' 941      (Average Length', ' 539.00 Splits', ' 0)']","[' 27831745 (Deleted', ' 27535064)']","[' 11       (Ratio', '   0.00%)']","[' 4443     (Ratio', '   0.02%)']","[' 27831745 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27831745 (Average', '  2.00 Max', ' 2820 Sum', ' 55729071)']","[' 27831186 (Average', '  1.99 Max', ' 2639 Sum', ' 55403270 Ratio', '  99.42%)']","[' 559      (Average', ' 582.83 Max', ' 729 Sum', ' 325801 Ratio', '   0.58%)']", ,[' 72902   '],[' 3609    '],[' 67091   '],[' 26883   '],"[' 73234    (Atom=Atom', ' 20334 Body=Body', ' 12987 Other', ' 39913)']",[' Yes'],"[' 4931     (Eliminated', '    0 Frozen', ' 4931)']","[' 790      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.7563'],[' 0'], ,[' 404.04'],[' 0'],[' 10.6429'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39345e+08'],[' 7.16479e+07'],[' 0'],[' 2.58992e+10'],[' 0'],[' 0'],[' 808 '],[' 1464 '],[' 1945 '],[' 2702 '],[' 3239 '],[' 5 '],[' 0 ']
Solving...,TA54, , , , ,[' 1465'],[' 738'],"[' 548.582s (Solving', ' 540.95s 1st Model', ' 5.29s Unsat', ' 52.93s)']",[' 539.938s'], ,[' 30880132'],"[' 12808383 (Analyzed', ' 12736624)']","[' 24356    (Average', ' 522.94 Last', ' 270972)']",[' 2179.7  '],"[' 738      (Average Length', ' 432.98 Splits', ' 0)']","[' 12736624 (Deleted', ' 12609890)']","[' 21       (Ratio', '   0.00%)']","[' 4919     (Ratio', '   0.04%)']","[' 12736624 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12736624 (Average', '  2.30 Max', ' 2653 Sum', ' 29345920)']","[' 12735985 (Average', '  2.28 Max', ' 2653 Sum', ' 29067970 Ratio', '  99.05%)']","[' 639      (Average', ' 434.98 Max', ' 533 Sum', ' 277950 Ratio', '   0.95%)']", ,[' 73374   '],[' 3711    '],[' 67380   '],[' 27083   '],"[' 74186    (Atom=Atom', ' 20539 Body=Body', ' 13293 Other', ' 40354)']",[' Yes'],"[' 4864     (Eliminated', '    0 Frozen', ' 4864)']","[' 858      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.58768'],[' 0'], ,[' 352.166'],[' 0'],[' 8.86028'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.41737e+07'],[' 5.0663e+07'],[' 0'],[' 1.0022e+10'],[' 0'],[' 0'],[' 988 '],[' 1704 '],[' 2343 '],[' 2842 '],[' 3256 '],[' 4 '],[' 1 ']
Solving...,TA55, , , ,[' 1'],[' 1675+'],[' 843'],"[' 601.174s (Solving', ' 597.49s 1st Model', ' 5.68s Unsat', ' 0.00s)']",[' 596.156s'], ,[' 47045990'],"[' 20837830 (Analyzed', ' 20784295)']","[' 40100    (Average', ' 518.31 Last', ' 48385)']",[' 2160.3  '],"[' 843      (Average Length', ' 478.24 Splits', ' 0)']","[' 20784295 (Deleted', ' 20550045)']","[' 8        (Ratio', '   0.00%)']","[' 4659     (Ratio', '   0.02%)']","[' 20784295 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20784295 (Average', '  2.17 Max', ' 3031 Sum', ' 45194828)']","[' 20783742 (Average', '  2.16 Max', ' 2757 Sum', ' 44897977 Ratio', '  99.34%)']","[' 553      (Average', ' 536.80 Max', ' 643 Sum', ' 296851 Ratio', '   0.66%)']", ,[' 74076   '],[' 3723    '],[' 67811   '],[' 27629   '],"[' 74798    (Atom=Atom', ' 20692 Body=Body', ' 13329 Other', ' 40777)']",[' Yes'],"[' 4947     (Eliminated', '    0 Frozen', ' 4947)']","[' 748      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.736954'],[' 0'], ,[' 408.703'],[' 0'],[' 11.4146'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14404e+08'],[' 6.1772e+07'],[' 0'],[' 2.57603e+10'],[' 0'],[' 0'],[' 814 '],[' 1707 '],[' 2201 '],[' 2936 '],[' 3344 '],[' 5 '],[' 0 ']
Solving...,TA56, , , ,[' 1'],[' 1323+'],[' 667'],"[' 600.741s (Solving', ' 598.42s 1st Model', ' 1.64s Unsat', ' 0.00s)']",[' 598.484s'], ,[' 60310171'],"[' 31104546 (Analyzed', ' 31045292)']","[' 56958    (Average', ' 545.06 Last', ' 131698)']",[' 1926.1  '],"[' 667      (Average Length', ' 401.83 Splits', ' 0)']","[' 31045292 (Deleted', ' 30703149)']","[' 21       (Ratio', '   0.00%)']","[' 3737     (Ratio', '   0.01%)']","[' 31045292 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31045292 (Average', '  1.89 Max', ' 2579 Sum', ' 58572639)']","[' 31044664 (Average', '  1.88 Max', ' 2579 Sum', ' 58273343 Ratio', '  99.49%)']","[' 628      (Average', ' 476.59 Max', ' 555 Sum', ' 299296 Ratio', '   0.51%)']", ,[' 72727   '],[' 3591    '],[' 66631   '],[' 26586   '],"[' 72193    (Atom=Atom', ' 19988 Body=Body', ' 12933 Other', ' 39272)']",[' Yes'],"[' 4675     (Eliminated', '    0 Frozen', ' 4675)']","[' 666      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.466844'],[' 0'], ,[' 410.134'],[' 0'],[' 10.7667'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49249e+08'],[' 7.26489e+07'],[' 0'],[' 3.00941e+10'],[' 0'],[' 0'],[' 894 '],[' 1713 '],[' 2381 '],[' 2990 '],[' 3397 '],[' 5 '],[' 0 ']
Solving...,TA57, , , ,[' 1'],[' 1413+'],[' 712'],"[' 600.787s (Solving', ' 598.35s 1st Model', ' 2.03s Unsat', ' 0.00s)']",[' 598.078s'], ,[' 66916238'],"[' 32766645 (Analyzed', ' 32704493)']","[' 59915    (Average', ' 545.85 Last', ' 191279)']",[' 2053.5  '],"[' 712      (Average Length', ' 422.46 Splits', ' 0)']","[' 32704493 (Deleted', ' 32352627)']","[' 14       (Ratio', '   0.00%)']","[' 4165     (Ratio', '   0.01%)']","[' 32704493 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32704493 (Average', '  1.99 Max', ' 3258 Sum', ' 64933945)']","[' 32703912 (Average', '  1.98 Max', ' 2704 Sum', ' 64655128 Ratio', '  99.57%)']","[' 581      (Average', ' 479.89 Max', ' 561 Sum', ' 278817 Ratio', '   0.43%)']", ,[' 73210   '],[' 3672    '],[' 67062   '],[' 27038   '],"[' 73547    (Atom=Atom', ' 20357 Body=Body', ' 13176 Other', ' 40014)']",[' Yes'],"[' 4788     (Eliminated', '    0 Frozen', ' 4788)']","[' 673      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.502854'],[' 0'], ,[' 401.811'],[' 0'],[' 10.2136'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58028e+08'],[' 7.23958e+07'],[' 0'],[' 2.92246e+10'],[' 0'],[' 0'],[' 891 '],[' 1701 '],[' 2358 '],[' 2995 '],[' 3629 '],[' 5 '],[' 0 ']
Solving...,TA58, , , ,[' 1'],[' 1493+'],[' 752'],"[' 600.788s (Solving', ' 598.31s 1st Model', ' 2.11s Unsat', ' 0.00s)']",[' 598.938s'], ,[' 68369244'],"[' 29200906 (Analyzed', ' 29143894)']","[' 51802    (Average', ' 562.60 Last', ' 44735)']",[' 1878.2  '],"[' 752      (Average Length', ' 445.29 Splits', ' 0)']","[' 29143894 (Deleted', ' 28843941)']","[' 19       (Ratio', '   0.00%)']","[' 6402     (Ratio', '   0.02%)']","[' 29143894 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29143894 (Average', '  2.28 Max', ' 2730 Sum', ' 66572068)']","[' 29143287 (Average', '  2.27 Max', ' 2499 Sum', ' 66241824 Ratio', '  99.50%)']","[' 607      (Average', ' 544.06 Max', ' 666 Sum', ' 330244 Ratio', '   0.50%)']", ,[' 73317   '],[' 3706    '],[' 67389   '],[' 27046   '],"[' 74224    (Atom=Atom', ' 20533 Body=Body', ' 13278 Other', ' 40413)']",[' Yes'],"[' 4872     (Eliminated', '    0 Frozen', ' 4872)']","[' 1195     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.492931'],[' 0'], ,[' 415.455'],[' 0'],[' 11.1451'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69705e+08'],[' 9.547e+07'],[' 0'],[' 3.06118e+10'],[' 0'],[' 0'],[' 800 '],[' 1666 '],[' 2360 '],[' 2982 '],[' 3575 '],[' 5 '],[' 0 ']
Solving...,TA59, , , ,[' 1'],[' 1469+'],[' 740'],"[' 600.820s (Solving', ' 598.36s 1st Model', ' 1.92s Unsat', ' 0.00s)']",[' 597.953s'], ,[' 61207349'],"[' 30627104 (Analyzed', ' 30549921)']","[' 58200    (Average', ' 524.91 Last', ' 7602)']",[' 1987.7  '],"[' 740      (Average Length', ' 449.67 Splits', ' 0)']","[' 30549921 (Deleted', ' 30193534)']","[' 14       (Ratio', '   0.00%)']","[' 4515     (Ratio', '   0.01%)']","[' 30549921 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30549921 (Average', '  1.94 Max', ' 2686 Sum', ' 59349617)']","[' 30549315 (Average', '  1.93 Max', ' 2617 Sum', ' 59046098 Ratio', '  99.49%)']","[' 606      (Average', ' 500.86 Max', ' 624 Sum', ' 303519 Ratio', '   0.51%)']", ,[' 73330   '],[' 3651    '],[' 67199   '],[' 27029   '],"[' 73394    (Atom=Atom', ' 20301 Body=Body', ' 13113 Other', ' 39980)']",[' Yes'],"[' 4793     (Eliminated', '    0 Frozen', ' 4793)']","[' 725      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.499911'],[' 0'], ,[' 407.259'],[' 0'],[' 10.6245'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50239e+08'],[' 7.66228e+07'],[' 0'],[' 2.96664e+10'],[' 0'],[' 0'],[' 784 '],[' 1429 '],[' 2054 '],[' 2558 '],[' 3435 '],[' 5 '],[' 0 ']
Solving...,TA60, , , ,[' 1'],[' 1369+'],[' 690'],"[' 484.820s (Solving', ' 482.41s 1st Model', ' 1.93s Unsat', ' 2.33s)']",[' 482.953s'], ,[' 55386522'],"[' 19245936 (Analyzed', ' 19181834)']","[' 33561    (Average', ' 571.55 Last', ' 454689)']",[' 2055.8  '],"[' 690      (Average Length', ' 408.45 Splits', ' 0)']","[' 19181834 (Deleted', ' 19014979)']","[' 19       (Ratio', '   0.00%)']","[' 5551     (Ratio', '   0.03%)']","[' 19181834 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19181834 (Average', '  2.80 Max', ' 2914 Sum', ' 53721430)']","[' 19181266 (Average', '  2.79 Max', ' 2748 Sum', ' 53451070 Ratio', '  99.50%)']","[' 568      (Average', ' 475.99 Max', ' 571 Sum', ' 270360 Ratio', '   0.50%)']", ,[' 73621   '],[' 3715    '],[' 67460   '],[' 27211   '],"[' 74193    (Atom=Atom', ' 20507 Body=Body', ' 13305 Other', ' 40381)']",[' Yes'],"[' 4822     (Eliminated', '    0 Frozen', ' 4822)']","[' 986      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.481132'],[' 0'], ,[' 358.309'],[' 0'],[' 9.8221'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2283e+08'],[' 7.1495e+07'],[' 0'],[' 2.70089e+10'],[' 0'],[' 0'],[' 777 '],[' 1652 '],[' 2287 '],[' 2908 '],[' 3531 '],[' 4 '],[' 1 ']
