Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 855'],[' 438'],"[' 91.934s (Solving', ' 90.20s 1st Model', ' 0.62s Unsat', ' 24.75s)']",[' 91.328s'], ,[' 6748067 '],"[' 1701102  (Analyzed', ' 1683288)']","[' 4469     (Average', ' 376.66 Last', ' 4222)']",[' 1135.7  '],"[' 438      (Average Length', ' 285.61 Splits', ' 0)']","[' 4540969  (Deleted', ' 4428264)']","[' 19       (Ratio', '   0.00%)']","[' 1337     (Ratio', '   0.03%)']","[' 1683288  (Average Length', '   17.0 Ratio', '  37.07%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2857681  (Average Length', '   11.2 Ratio', '  62.93%) ']","[' 1683288  (Average', '  1.21 Max', ' 1277 Sum', ' 2031215)']","[' 1683227  (Average', '  1.21 Max', ' 1277 Sum', ' 2031154 Ratio', ' 100.00%)']","[' 61       (Average', '  1.00 Max', '   1 Sum', '     61 Ratio', '   0.00%)']", ,[' 76351   '],[' 2378    '],[' 71434   '],[' 21596   '],"[' 57494    (Atom=Atom', ' 17245 Body=Body', ' 10210 Other', ' 30039)']",[' Yes'],"[' 3592     (Eliminated', '    0 Frozen', ' 3592)']","[' 154      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.288171'],[' 0'], ,[' 42.5889'],[' 0'],[' 1.14918'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.88236e+07'],[' 8.88808e+06'],[' 0'],[' 2.6274e+09'],[' 0'],[' 0'],[' 477 '],[' 932 '],[' 1470 '],[' 1753 '],[' 2016 '],[' 2410 '],[' 2667 '],[' 2919 '],[' 3409 '],[' 3624 '],[' 1 '],[' 9 ']
Solving...,TA62, , , , ,[' 983'],[' 502'],"[' 15.102s (Solving', ' 13.10s 1st Model', ' 0.78s Unsat', ' 5.78s)']",[' 14.922s'], ,[' 1330794 '],"[' 87217    (Analyzed', ' 81343)']","[' 339      (Average', ' 239.95 Last', ' 894)']",[' 1351.0  '],"[' 502      (Average Length', ' 316.70 Splits', ' 0)']","[' 208764   (Deleted', ' 181787)']","[' 15       (Ratio', '   0.01%)']","[' 477      (Ratio', '   0.23%)']","[' 81343    (Average Length', '   13.9 Ratio', '  38.96%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 127421   (Average Length', '    9.5 Ratio', '  61.04%) ']","[' 81343    (Average', '  1.35 Max', ' 1184 Sum', ' 109564)']","[' 81287    (Average', '  1.35 Max', ' 1184 Sum', ' 109508 Ratio', '  99.95%)']","[' 56       (Average', '  1.00 Max', '   1 Sum', '     56 Ratio', '   0.05%)']", ,[' 77176   '],[' 2419    '],[' 72112   '],[' 22129   '],"[' 58341    (Atom=Atom', ' 17476 Body=Body', ' 10334 Other', ' 30531)']",[' Yes'],"[' 3690     (Eliminated', '    0 Frozen', ' 3690)']","[' 42       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.377935'],[' 0'], ,[' 4.31799'],[' 0'],[' 0.133724'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.87679e+06'],[' 1.98149e+06'],[' 0'],[' 2.47608e+08'],[' 0'],[' 0'],[' 592 '],[' 1004 '],[' 1333 '],[' 1638 '],[' 2027 '],[' 2369 '],[' 2690 '],[' 2981 '],[' 3420 '],[' 3618 '],[' 0 '],[' 10 ']
Solving...,TA63, , , , ,[' 1035'],[' 528'],"[' 72.579s (Solving', ' 70.50s 1st Model', ' 0.78s Unsat', ' 3.06s)']",[' 72.641s'], ,[' 4715290 '],"[' 1097219  (Analyzed', ' 1079015)']","[' 2770     (Average', ' 389.54 Last', ' 97)']",[' 1397.8  '],"[' 528      (Average Length', ' 324.98 Splits', ' 0)']","[' 2887085  (Deleted', ' 2821502)']","[' 10       (Ratio', '   0.00%)']","[' 557      (Ratio', '   0.02%)']","[' 1079015  (Average Length', '   15.5 Ratio', '  37.37%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1808070  (Average Length', '   10.7 Ratio', '  62.63%) ']","[' 1079015  (Average', '  1.19 Max', ' 1345 Sum', ' 1278836)']","[' 1078974  (Average', '  1.18 Max', ' 1345 Sum', ' 1278001 Ratio', '  99.93%)']","[' 41       (Average', ' 20.37 Max', '  59 Sum', '    835 Ratio', '   0.07%)']", ,[' 77183   '],[' 2428    '],[' 72199   '],[' 22154   '],"[' 58466    (Atom=Atom', ' 17534 Body=Body', ' 10359 Other', ' 30573)']",[' Yes'],"[' 3724     (Eliminated', '    0 Frozen', ' 3724)']","[' 63       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.404789'],[' 0'], ,[' 35.5308'],[' 0'],[' 0.764571'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20129e+07'],[' 5.45045e+06'],[' 0'],[' 2.24816e+09'],[' 0'],[' 0'],[' 534 '],[' 948 '],[' 1244 '],[' 1521 '],[' 2028 '],[' 2265 '],[' 2480 '],[' 2727 '],[' 3130 '],[' 3368 '],[' 1 '],[' 9 ']
Solving...,TA64, , , , ,[' 917'],[' 469'],"[' 135.074s (Solving', ' 132.99s 1st Model', ' 0.90s Unsat', ' 6.44s)']",[' 134.688s'], ,[' 11457886'],"[' 3116728  (Analyzed', ' 3104496)']","[' 7596     (Average', ' 408.70 Last', ' 31318)']",[' 1375.1  '],"[' 469      (Average Length', ' 299.68 Splits', ' 0)']","[' 8136512  (Deleted', ' 7977543)']","[' 6        (Ratio', '   0.00%)']","[' 1231     (Ratio', '   0.02%)']","[' 3104496  (Average Length', '   14.3 Ratio', '  38.16%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5032016  (Average Length', '   10.7 Ratio', '  61.84%) ']","[' 3104496  (Average', '  1.19 Max', ' 1356 Sum', ' 3688590)']","[' 3104450  (Average', '  1.19 Max', ' 1356 Sum', ' 3688364 Ratio', '  99.99%)']","[' 46       (Average', '  4.91 Max', ' 110 Sum', '    226 Ratio', '   0.01%)']", ,[' 77073   '],[' 2474    '],[' 72109   '],[' 22114   '],"[' 59027    (Atom=Atom', ' 17658 Body=Body', ' 10489 Other', ' 30880)']",[' Yes'],"[' 3710     (Eliminated', '    0 Frozen', ' 3710)']","[' 131      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.389067'],[' 0'], ,[' 52.912'],[' 0'],[' 1.63427'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.17023e+07'],[' 1.38503e+07'],[' 0'],[' 2.91441e+09'],[' 0'],[' 0'],[' 782 '],[' 1320 '],[' 1388 '],[' 1779 '],[' 2001 '],[' 2295 '],[' 2678 '],[' 3029 '],[' 3160 '],[' 3308 '],[' 2 '],[' 8 ']
Solving...,TA65, , , , ,[' 769'],[' 395'],"[' 91.003s (Solving', ' 89.39s 1st Model', ' 0.66s Unsat', ' 24.54s)']",[' 90.781s'], ,[' 5102855 '],"[' 1259985  (Analyzed', ' 1251285)']","[' 3379     (Average', ' 370.31 Last', ' 3316)']",[' 1124.1  '],"[' 395      (Average Length', ' 265.82 Splits', ' 0)']","[' 3346705  (Deleted', ' 3216444)']","[' 19       (Ratio', '   0.00%)']","[' 1559     (Ratio', '   0.05%)']","[' 1251285  (Average Length', '   14.4 Ratio', '  37.39%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2095420  (Average Length', '   10.5 Ratio', '  62.61%) ']","[' 1251285  (Average', '  1.19 Max', ' 1306 Sum', ' 1491946)']","[' 1251217  (Average', '  1.19 Max', ' 1306 Sum', ' 1491878 Ratio', ' 100.00%)']","[' 68       (Average', '  1.00 Max', '   1 Sum', '     68 Ratio', '   0.00%)']", ,[' 77262   '],[' 2410    '],[' 71992   '],[' 22121   '],"[' 57836    (Atom=Atom', ' 17342 Body=Body', ' 10310 Other', ' 30184)']",[' Yes'],"[' 3581     (Eliminated', '    0 Frozen', ' 3581)']","[' 181      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.267318'],[' 0'], ,[' 50.1972'],[' 0'],[' 0.889556'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3574e+07'],[' 6.14058e+06'],[' 0'],[' 3.31431e+09'],[' 0'],[' 0'],[' 546 '],[' 938 '],[' 1271 '],[' 1463 '],[' 1799 '],[' 2252 '],[' 2660 '],[' 2953 '],[' 3215 '],[' 3573 '],[' 1 '],[' 9 ']
Solving...,TA66, , , , ,[' 775'],[' 398'],"[' 129.174s (Solving', ' 127.44s 1st Model', ' 0.69s Unsat', ' 3.49s)']",[' 129.000s'], ,[' 6788607 '],"[' 1672729  (Analyzed', ' 1662878)']","[' 4396     (Average', ' 378.27 Last', ' 4803)']",[' 1256.2  '],"[' 398      (Average Length', ' 265.26 Splits', ' 0)']","[' 4503146  (Deleted', ' 4402433)']","[' 20       (Ratio', '   0.00%)']","[' 1226     (Ratio', '   0.03%)']","[' 1662878  (Average Length', '   16.5 Ratio', '  36.93%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2840268  (Average Length', '   11.6 Ratio', '  63.07%) ']","[' 1662878  (Average', '  1.20 Max', ' 1220 Sum', ' 1999320)']","[' 1662828  (Average', '  1.20 Max', ' 1220 Sum', ' 1998730 Ratio', '  99.97%)']","[' 50       (Average', ' 11.80 Max', '  55 Sum', '    590 Ratio', '   0.03%)']", ,[' 77440   '],[' 2443    '],[' 72205   '],[' 22282   '],"[' 58343    (Atom=Atom', ' 17475 Body=Body', ' 10408 Other', ' 30460)']",[' Yes'],"[' 3624     (Eliminated', '    0 Frozen', ' 3624)']","[' 156      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.302471'],[' 0'], ,[' 79.5378'],[' 0'],[' 1.25053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78017e+07'],[' 7.9015e+06'],[' 0'],[' 5.29273e+09'],[' 0'],[' 0'],[' 546 '],[' 912 '],[' 1251 '],[' 1537 '],[' 1865 '],[' 2190 '],[' 2535 '],[' 2933 '],[' 3322 '],[' 3498 '],[' 2 '],[' 8 ']
Solving...,TA67, , , , ,[' 815'],[' 418'],"[' 130.352s (Solving', ' 128.37s 1st Model', ' 0.72s Unsat', ' 3.30s)']",[' 129.875s'], ,[' 9486061 '],"[' 2481814  (Analyzed', ' 2467096)']","[' 5828     (Average', ' 423.32 Last', ' 1704)']",[' 1249.4  '],"[' 418      (Average Length', ' 271.82 Splits', ' 0)']","[' 6609390  (Deleted', ' 6483216)']","[' 5        (Ratio', '   0.00%)']","[' 1125     (Ratio', '   0.02%)']","[' 2467096  (Average Length', '   13.9 Ratio', '  37.33%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4142294  (Average Length', '   10.6 Ratio', '  62.67%) ']","[' 2467096  (Average', '  1.21 Max', ' 1353 Sum', ' 2979877)']","[' 2467063  (Average', '  1.21 Max', ' 1353 Sum', ' 2979844 Ratio', ' 100.00%)']","[' 33       (Average', '  1.00 Max', '   1 Sum', '     33 Ratio', '   0.00%)']", ,[' 76727   '],[' 2420    '],[' 71727   '],[' 21862   '],"[' 58047    (Atom=Atom', ' 17403 Body=Body', ' 10339 Other', ' 30305)']",[' Yes'],"[' 3617     (Eliminated', '    0 Frozen', ' 3617)']","[' 116      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.320383'],[' 0'], ,[' 62.1416'],[' 0'],[' 1.66246'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.6594e+07'],[' 1.20848e+07'],[' 0'],[' 3.61946e+09'],[' 0'],[' 0'],[' 783 '],[' 1055 '],[' 1381 '],[' 1617 '],[' 2055 '],[' 2407 '],[' 2799 '],[' 3077 '],[' 3334 '],[' 3550 '],[' 2 '],[' 8 ']
Solving...,TA68, , , , ,[' 951'],[' 486'],"[' 71.140s (Solving', ' 69.00s 1st Model', ' 0.86s Unsat', ' 2.47s)']",[' 70.875s'], ,[' 3687880 '],"[' 738580   (Analyzed', ' 725343)']","[' 2054     (Average', ' 353.14 Last', ' 884)']",[' 1366.4  '],"[' 486      (Average Length', ' 308.13 Splits', ' 0)']","[' 1944876  (Deleted', ' 1872370)']","[' 23       (Ratio', '   0.00%)']","[' 1027     (Ratio', '   0.05%)']","[' 725343   (Average Length', '   17.1 Ratio', '  37.30%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1219533  (Average Length', '   11.4 Ratio', '  62.70%) ']","[' 725343   (Average', '  1.25 Max', ' 1463 Sum', ' 908902)']","[' 725295   (Average', '  1.25 Max', ' 1463 Sum', ' 908854 Ratio', '  99.99%)']","[' 48       (Average', '  1.00 Max', '   1 Sum', '     48 Ratio', '   0.01%)']", ,[' 76726   '],[' 2391    '],[' 71794   '],[' 21893   '],"[' 57845    (Atom=Atom', ' 17349 Body=Body', ' 10251 Other', ' 30245)']",[' Yes'],"[' 3657     (Eliminated', '    0 Frozen', ' 3657)']","[' 82       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.398553'],[' 0'], ,[' 42.7138'],[' 0'],[' 0.904848'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.32209e+06'],[' 4.72878e+06'],[' 0'],[' 2.84484e+09'],[' 0'],[' 0'],[' 492 '],[' 998 '],[' 1192 '],[' 1562 '],[' 1875 '],[' 2063 '],[' 2422 '],[' 2695 '],[' 3153 '],[' 3444 '],[' 1 '],[' 9 ']
Solving...,TA69, , , , ,[' 877'],[' 449'],"[' 20.076s (Solving', ' 18.08s 1st Model', ' 0.73s Unsat', ' 11.41s)']",[' 19.719s'], ,[' 1629037 '],"[' 199271   (Analyzed', ' 193783)']","[' 694      (Average', ' 279.23 Last', ' 751)']",[' 1255.1  '],"[' 449      (Average Length', ' 285.80 Splits', ' 0)']","[' 515604   (Deleted', ' 441618)']","[' 17       (Ratio', '   0.00%)']","[' 825      (Ratio', '   0.16%)']","[' 193783   (Average Length', '   15.0 Ratio', '  37.58%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 321821   (Average Length', '    9.6 Ratio', '  62.42%) ']","[' 193783   (Average', '  1.27 Max', ' 1398 Sum', ' 245956)']","[' 193716   (Average', '  1.27 Max', ' 1398 Sum', ' 245811 Ratio', '  99.94%)']","[' 67       (Average', '  2.16 Max', '  79 Sum', '    145 Ratio', '   0.06%)']", ,[' 77176   '],[' 2415    '],[' 72067   '],[' 22106   '],"[' 58146    (Atom=Atom', ' 17416 Body=Body', ' 10325 Other', ' 30405)']",[' Yes'],"[' 3649     (Eliminated', '    0 Frozen', ' 3649)']","[' 42       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.350988'],[' 0'], ,[' 6.50733'],[' 0'],[' 0.201092'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.77977e+06'],[' 2.29533e+06'],[' 0'],[' 3.87283e+08'],[' 0'],[' 0'],[' 574 '],[' 1135 '],[' 1411 '],[' 1762 '],[' 2164 '],[' 2445 '],[' 2664 '],[' 3079 '],[' 3498 '],[' 3747 '],[' 0 '],[' 10 ']
Solving...,TA70, , , , ,[' 649'],[' 335'],"[' 156.596s (Solving', ' 155.11s 1st Model', ' 0.54s Unsat', ' 31.64s)']",[' 156.359s'], ,[' 9289643 '],"[' 2433242  (Analyzed', ' 2420347)']","[' 6093     (Average', ' 397.23 Last', ' 846)']",[' 1149.2  '],"[' 335      (Average Length', ' 235.31 Splits', ' 0)']","[' 6579932  (Deleted', ' 6446515)']","[' 4        (Ratio', '   0.00%)']","[' 1019     (Ratio', '   0.02%)']","[' 2420347  (Average Length', '   15.3 Ratio', '  36.78%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4159585  (Average Length', '   10.5 Ratio', '  63.22%) ']","[' 2420347  (Average', '  1.21 Max', ' 1027 Sum', ' 2926406)']","[' 2420307  (Average', '  1.21 Max', ' 1027 Sum', ' 2926366 Ratio', ' 100.00%)']","[' 40       (Average', '  1.00 Max', '   1 Sum', '     40 Ratio', '   0.00%)']", ,[' 77043   '],[' 2471    '],[' 71878   '],[' 22051   '],"[' 58544    (Atom=Atom', ' 17518 Body=Body', ' 10489 Other', ' 30537)']",[' Yes'],"[' 3588     (Eliminated', '    0 Frozen', ' 3588)']","[' 131      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.234506'],[' 0'], ,[' 84.5775'],[' 0'],[' 1.69286'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.46513e+07'],[' 1.05561e+07'],[' 0'],[' 5.56866e+09'],[' 0'],[' 0'],[' 481 '],[' 869 '],[' 1285 '],[' 1702 '],[' 2226 '],[' 2747 '],[' 2877 '],[' 3305 '],[' 3741 '],[' 3834 '],[' 2 '],[' 8 ']
