Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 4725+'],[' 2365'],"[' 1004.923s (Solving', ' 986.90s 1st Model', ' 420.36s Unsat', ' 0.00s)']",[' 992.047s'], ,[' 389370979'],"[' 4282164  (Analyzed', ' 3039773)']","[' 8212     (Average', ' 370.16 Last', ' 189616)']",[' 6290.6  '],"[' 2365     (Average Length', ' 1162.35 Splits', ' 0)']","[' 3039773  (Deleted', ' 2960626)']","[' 428      (Ratio', '   0.01%)']","[' 64030    (Ratio', '   2.11%)']","[' 3039773  (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3039773  (Average', ' 123.74 Max', ' 7175 Sum', ' 376126447)']","[' 3039245  (Average', ' 123.52 Max', ' 5916 Sum', ' 375461554 Ratio', '  99.82%)']","[' 528      (Average', ' 1259.27 Max', ' 2445 Sum', ' 664893 Ratio', '   0.18%)']", ,[' 111445  '],[' 9230    '],[' 109073  '],[' 50778   '],"[' 182464   (Atom=Atom', ' 51815 Body=Body', ' 29595 Other', ' 101054)']",[' Yes'],"[' 11472    (Eliminated', '    0 Frozen', ' 11472)']","[' 6693     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.63107'],[' 0'], ,[' 362.329'],[' 0'],[' 29.576'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33138e+09'],[' 1.19934e+09'],[' 0'],[' 1.17849e+10'],[' 0'],[' 0'],[' 1669 '],[' 3562 '],[' 2 '],[' 0 ']
Solving...,TA52, , , , ,[' 1'],[' 4513+'],[' 2259'],"[' 1004.266s (Solving', ' 988.27s 1st Model', ' 431.38s Unsat', ' 0.00s)']",[' 999.172s'], ,[' 390533002'],"[' 4502864  (Analyzed', ' 3203900)']","[' 8854     (Average', ' 361.86 Last', ' 328493)']",[' 6399.7  '],"[' 2259     (Average Length', ' 1109.83 Splits', ' 0)']","[' 3203900  (Deleted', ' 3114925)']","[' 471      (Ratio', '   0.01%)']","[' 68176    (Ratio', '   2.13%)']","[' 3203900  (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3203900  (Average', ' 117.77 Max', ' 6989 Sum', ' 377311561)']","[' 3203402  (Average', ' 117.59 Max', ' 6374 Sum', ' 376731391 Ratio', '  99.85%)']","[' 498      (Average', ' 1165.00 Max', ' 1165 Sum', ' 580170 Ratio', '   0.15%)']", ,[' 112080  '],[' 9344    '],[' 109578  '],[' 51242   '],"[' 183742   (Atom=Atom', ' 52051 Body=Body', ' 29937 Other', ' 101754)']",[' Yes'],"[' 11513    (Eliminated', '    0 Frozen', ' 11513)']","[' 7528     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.33233'],[' 0'], ,[' 361.165'],[' 0'],[' 29.0504'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39819e+09'],[' 1.25707e+09'],[' 0'],[' 1.19276e+10'],[' 0'],[' 0'],[' 1860 '],[' 3426 '],[' 2 '],[' 0 ']
Solving...,TA53, , , , ,[' 1'],[' 4161+'],[' 2083'],"[' 1003.874s (Solving', ' 989.64s 1st Model', ' 135.50s Unsat', ' 0.00s)']",[' 1000.391s'], ,[' 407703961'],"[' 4429811  (Analyzed', ' 3279573)']","[' 7733     (Average', ' 424.10 Last', ' 123713)']",[' 6102.6  '],"[' 2083     (Average Length', ' 1024.25 Splits', ' 0)']","[' 3279573  (Deleted', ' 3194509)']","[' 443      (Ratio', '   0.01%)']","[' 63661    (Ratio', '   1.94%)']","[' 3279573  (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3279573  (Average', ' 120.80 Max', ' 6774 Sum', ' 396176229)']","[' 3279033  (Average', ' 120.62 Max', ' 5702 Sum', ' 395597349 Ratio', '  99.85%)']","[' 540      (Average', ' 1072.00 Max', ' 1072 Sum', ' 578880 Ratio', '   0.15%)']", ,[' 110292  '],[' 9096    '],[' 107748  '],[' 49826   '],"[' 179742   (Atom=Atom', ' 51131 Body=Body', ' 29193 Other', ' 99418)']",[' Yes'],"[' 11099    (Eliminated', '    0 Frozen', ' 11099)']","[' 7148     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.95111'],[' 0'], ,[' 355.403'],[' 0'],[' 30.0736'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48653e+09'],[' 1.33712e+09'],[' 0'],[' 1.15866e+10'],[' 0'],[' 0'],[' 1570 '],[' 3243 '],[' 2 '],[' 0 ']
Solving...,TA54, , , , ,[' 1'],[' 4673+'],[' 2339'],"[' 1004.248s (Solving', ' 988.72s 1st Model', ' 529.01s Unsat', ' 0.00s)']",[' 1000.766s'], ,[' 401727041'],"[' 3931806  (Analyzed', ' 2811830)']","[' 8258     (Average', ' 340.50 Last', ' 198598)']",[' 6155.5  '],"[' 2339     (Average Length', ' 1140.29 Splits', ' 0)']","[' 2811830  (Deleted', ' 2728626)']","[' 367      (Ratio', '   0.01%)']","[' 66801    (Ratio', '   2.38%)']","[' 2811830  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2811830  (Average', ' 138.38 Max', ' 6979 Sum', ' 389098737)']","[' 2811309  (Average', ' 138.14 Max', ' 5697 Sum', ' 388430815 Ratio', '  99.83%)']","[' 521      (Average', ' 1282.00 Max', ' 1282 Sum', ' 667922 Ratio', '   0.17%)']", ,[' 111120  '],[' 9184    '],[' 108710  '],[' 50522   '],"[' 181742   (Atom=Atom', ' 51651 Body=Body', ' 29457 Other', ' 100634)']",[' Yes'],"[' 11365    (Eliminated', '    0 Frozen', ' 11365)']","[' 6822     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.20897'],[' 0'], ,[' 345.579'],[' 0'],[' 29.3301'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49058e+09'],[' 1.34475e+09'],[' 0'],[' 1.08139e+10'],[' 0'],[' 0'],[' 1669 '],[' 3203 '],[' 2 '],[' 0 ']
Solving...,TA55, , , , ,[' 1'],[' 4033+'],[' 2019'],"[' 1003.638s (Solving', ' 990.22s 1st Model', ' 459.85s Unsat', ' 0.00s)']",[' 1001.984s'], ,[' 412485367'],"[' 4336189  (Analyzed', ' 3189455)']","[' 8465     (Average', ' 376.78 Last', ' 460397)']",[' 6158.0  '],"[' 2019     (Average Length', ' 993.72 Splits', ' 0)']","[' 3189455  (Deleted', ' 3100234)']","[' 520      (Ratio', '   0.02%)']","[' 70116    (Ratio', '   2.20%)']","[' 3189455  (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3189455  (Average', ' 125.73 Max', ' 6491 Sum', ' 400998067)']","[' 3188949  (Average', ' 125.56 Max', ' 6154 Sum', ' 400470815 Ratio', '  99.87%)']","[' 506      (Average', ' 1042.00 Max', ' 1042 Sum', ' 527252 Ratio', '   0.13%)']", ,[' 111944  '],[' 9360    '],[' 109191  '],[' 51082   '],"[' 183245   (Atom=Atom', ' 51859 Body=Body', ' 29985 Other', ' 101401)']",[' Yes'],"[' 11286    (Eliminated', '    0 Frozen', ' 11286)']","[' 7332     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.72018'],[' 0'], ,[' 345.446'],[' 0'],[' 29.0818'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54866e+09'],[' 1.39443e+09'],[' 0'],[' 1.1672e+10'],[' 0'],[' 0'],[' 1829 '],[' 3480 '],[' 2 '],[' 0 ']
Solving...,TA56, , , , ,[' 1'],[' 4357+'],[' 2181'],"[' 1003.740s (Solving', ' 988.90s 1st Model', ' 420.43s Unsat', ' 0.00s)']",[' 1000.922s'], ,[' 404672853'],"[' 5582059  (Analyzed', ' 4092222)']","[' 10030    (Average', ' 408.00 Last', ' 92883)']",[' 6430.7  '],"[' 2181     (Average Length', ' 1066.56 Splits', ' 0)']","[' 4092222  (Deleted', ' 4001905)']","[' 478      (Ratio', '   0.01%)']","[' 63196    (Ratio', '   1.54%)']","[' 4092222  (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4092222  (Average', ' 95.57 Max', ' 6856 Sum', ' 391113409)']","[' 4091767  (Average', ' 95.47 Max', ' 6022 Sum', ' 390665689 Ratio', '  99.89%)']","[' 455      (Average', ' 984.00 Max', ' 984 Sum', ' 447720 Ratio', '   0.11%)']", ,[' 110897  '],[' 9174    '],[' 108373  '],[' 50314   '],"[' 181128   (Atom=Atom', ' 51463 Body=Body', ' 29427 Other', ' 100238)']",[' Yes'],"[' 11236    (Eliminated', '    0 Frozen', ' 11236)']","[' 6833     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.10756'],[' 0'], ,[' 364.053'],[' 0'],[' 29.3203'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48234e+09'],[' 1.32566e+09'],[' 0'],[' 1.14518e+10'],[' 0'],[' 0'],[' 1946 '],[' 3300 '],[' 2 '],[' 0 ']
Solving...,TA57, , , , ,[' 1'],[' 4039+'],[' 2022'],"[' 1003.661s (Solving', ' 989.55s 1st Model', ' 92.06s Unsat', ' 0.00s)']",[' 1001.938s'], ,[' 405862835'],"[' 4601115  (Analyzed', ' 3362775)']","[' 7691     (Average', ' 437.24 Last', ' 52518)']",[' 6155.0  '],"[' 2022     (Average Length', ' 992.69 Splits', ' 0)']","[' 3362775  (Deleted', ' 3273006)']","[' 488      (Ratio', '   0.01%)']","[' 68505    (Ratio', '   2.04%)']","[' 3362775  (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3362775  (Average', ' 117.25 Max', ' 6724 Sum', ' 394299075)']","[' 3362255  (Average', ' 117.11 Max', ' 5766 Sum', ' 393800915 Ratio', '  99.87%)']","[' 520      (Average', ' 958.00 Max', ' 958 Sum', ' 498160 Ratio', '   0.13%)']", ,[' 111245  '],[' 9252    '],[' 108559  '],[' 50545   '],"[' 181743   (Atom=Atom', ' 51538 Body=Body', ' 29661 Other', ' 100544)']",[' Yes'],"[' 11191    (Eliminated', '    0 Frozen', ' 11191)']","[' 7773     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.98705'],[' 0'], ,[' 344.27'],[' 0'],[' 29.1363'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55224e+09'],[' 1.4066e+09'],[' 0'],[' 1.11726e+10'],[' 0'],[' 0'],[' 2035 '],[' 3453 '],[' 2 '],[' 0 ']
Solving...,TA58, , , , ,[' 1'],[' 4241+'],[' 2123'],"[' 1003.904s (Solving', ' 989.12s 1st Model', ' 435.22s Unsat', ' 0.00s)']",[' 1001.953s'], ,[' 415805531'],"[' 4433645  (Analyzed', ' 3258381)']","[' 8634     (Average', ' 377.39 Last', ' 327547)']",[' 6271.1  '],"[' 2123     (Average Length', ' 1045.85 Splits', ' 0)']","[' 3258381  (Deleted', ' 3171437)']","[' 485      (Ratio', '   0.01%)']","[' 67245    (Ratio', '   2.06%)']","[' 3258381  (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3258381  (Average', ' 123.82 Max', ' 6614 Sum', ' 403447314)']","[' 3257878  (Average', ' 123.66 Max', ' 5593 Sum', ' 402933751 Ratio', '  99.87%)']","[' 503      (Average', ' 1021.00 Max', ' 1021 Sum', ' 513563 Ratio', '   0.13%)']", ,[' 111112  '],[' 9216    '],[' 108546  '],[' 50466   '],"[' 181542   (Atom=Atom', ' 51531 Body=Body', ' 29553 Other', ' 100458)']",[' Yes'],"[' 11257    (Eliminated', '    0 Frozen', ' 11257)']","[' 7289     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.05568'],[' 0'], ,[' 353.75'],[' 0'],[' 29.9295'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51448e+09'],[' 1.3635e+09'],[' 0'],[' 1.19016e+10'],[' 0'],[' 0'],[' 1769 '],[' 3636 '],[' 2 '],[' 0 ']
Solving...,TA59, , , , ,[' 1'],[' 4443+'],[' 2224'],"[' 1156.169s (Solving', ' 1139.85s 1st Model', ' 793.14s Unsat', ' 0.00s)']",[' 997.172s'], ,[' 382599008'],"[' 3483751  (Analyzed', ' 2412139)']","[' 7692     (Average', ' 313.59 Last', ' 596104)']",[' 6181.6  '],"[' 2224     (Average Length', ' 1089.78 Splits', ' 0)']","[' 2412139  (Deleted', ' 2331285)']","[' 434      (Ratio', '   0.02%)']","[' 67740    (Ratio', '   2.81%)']","[' 2412139  (Average Length', '   22.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2412139  (Average', ' 153.53 Max', ' 6806 Sum', ' 370333744)']","[' 2411643  (Average', ' 153.30 Max', ' 6135 Sum', ' 369787648 Ratio', '  99.85%)']","[' 496      (Average', ' 1101.00 Max', ' 1101 Sum', ' 546096 Ratio', '   0.15%)']", ,[' 111083  '],[' 9196    '],[' 108598  '],[' 50467   '],"[' 181565   (Atom=Atom', ' 51572 Body=Body', ' 29493 Other', ' 100500)']",[' Yes'],"[' 11308    (Eliminated', '    0 Frozen', ' 11308)']","[' 7044     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.38037'],[' 0'], ,[' 483.793'],[' 0'],[' 29.0773'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47946e+09'],[' 1.33607e+09'],[' 0'],[' 8.74361e+09'],[' 0'],[' 0'],[' 1611 '],[' 3252 '],[' 2 '],[' 0 ']
Solving...,TA60, , , , ,[' 1'],[' 4729+'],[' 2367'],"[' 1004.348s (Solving', ' 989.09s 1st Model', ' 760.42s Unsat', ' 0.00s)']",[' 1001.484s'], ,[' 419835194'],"[' 3756922  (Analyzed', ' 2620617)']","[' 8435     (Average', ' 310.68 Last', ' 197578)']",[' 6136.1  '],"[' 2367     (Average Length', ' 1155.30 Splits', ' 0)']","[' 2620617  (Deleted', ' 2537831)']","[' 389      (Ratio', '   0.01%)']","[' 70306    (Ratio', '   2.68%)']","[' 2620617  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2620617  (Average', ' 155.37 Max', ' 6868 Sum', ' 407168687)']","[' 2620094  (Average', ' 155.11 Max', ' 5542 Sum', ' 406475189 Ratio', '  99.83%)']","[' 523      (Average', ' 1326.00 Max', ' 1326 Sum', ' 693498 Ratio', '   0.17%)']", ,[' 111291  '],[' 9206    '],[' 108916  '],[' 50660   '],"[' 182134   (Atom=Atom', ' 51745 Body=Body', ' 29523 Other', ' 100866)']",[' Yes'],"[' 11433    (Eliminated', '    0 Frozen', ' 11433)']","[' 7164     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.05004'],[' 0'], ,[' 324.192'],[' 0'],[' 28.5288'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72959e+09'],[' 1.56614e+09'],[' 0'],[' 9.98298e+09'],[' 0'],[' 0'],[' 1683 '],[' 3241 '],[' 2 '],[' 0 ']
