Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 
Solving...,TA51, ,[' 1'],[' 705+'],[' 361'],"[' 255.314s (Solving', ' 253.12s 1st Model', ' 1.01s Unsat', ' 1.79s)']",[' 253.766s'], ,[' 13343546'],"[' 8756521  (Analyzed', ' 8743755)']","[' 19533    (Average', ' 447.64 Last', ' 23840)']",[' 1443.1  '],"[' 361      (Average Length', ' 175.52 Splits', ' 0)']","[' 8743755  (Deleted', ' 8598270)']","[' 37       (Ratio', '   0.00%)']","[' 2320     (Ratio', '   0.03%)']","[' 8743755  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8743755  (Average', '  1.44 Max', ' 1979 Sum', ' 12631844)']","[' 8743608  (Average', '  1.44 Max', ' 1979 Sum', ' 12613452 Ratio', '  99.85%)']","[' 147      (Average', ' 125.12 Max', ' 281 Sum', '  18392 Ratio', '   0.15%)']", ,[' 74711   '],[' 3046    '],[' 74312   '],[' 42502   '],"[' 127502   (Atom=Atom', ' 40204 Body=Body', ' 22121 Other', ' 65177)']",[' Yes'],"[' 3397     (Eliminated', '    0 Frozen', ' 3397)']","[' 268      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.533514'],[' 0'], ,[' 196.101'],[' 0'],[' 3.49046'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.99659e+07'],[' 2.00586e+07'],[' 0'],[' 2.4485e+10'],[' 0'],[' 0'],[' 647 '],[' 1216 '],[' 1666 '],[' 2045 '],[' 2620 '],[' 3130 '],[' 3661 '],[' 4316 ']
Solving...,TA52, ,[' 1'],[' 699+'],[' 358'],"[' 211.871s (Solving', ' 209.09s 1st Model', ' 1.18s Unsat', ' 40.34s)']",[' 211.516s'], ,[' 6843731 '],"[' 4122279  (Analyzed', ' 4111417)']","[' 10288    (Average', ' 399.63 Last', ' 11296)']",[' 1549.0  '],"[' 358      (Average Length', ' 174.03 Splits', ' 0)']","[' 4111417  (Deleted', ' 4043295)']","[' 46       (Ratio', '   0.00%)']","[' 2213     (Ratio', '   0.05%)']","[' 4111417  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4111417  (Average', '  1.51 Max', ' 2006 Sum', ' 6220829)']","[' 4111274  (Average', '  1.51 Max', ' 2006 Sum', ' 6207070 Ratio', '  99.78%)']","[' 143      (Average', ' 96.22 Max', ' 495 Sum', '  13759 Ratio', '   0.22%)']", ,[' 75913   '],[' 3102    '],[' 75509   '],[' 43409   '],"[' 130223   (Atom=Atom', ' 41055 Body=Body', ' 22177 Other', ' 66991)']",[' Yes'],"[' 3448     (Eliminated', '    0 Frozen', ' 3448)']","[' 135      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.641549'],[' 0'], ,[' 174.554'],[' 0'],[' 3.04451'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.29872e+07'],[' 1.3443e+07'],[' 0'],[' 2.02336e+10'],[' 0'],[' 0'],[' 570 '],[' 1300 '],[' 1678 '],[' 2144 '],[' 2662 '],[' 3049 '],[' 3630 '],[' 4058 ']
Solving...,TA53, , ,[' 701'],[' 359'],"[' 205.297s (Solving', ' 203.03s 1st Model', ' 0.73s Unsat', ' 34.24s)']",[' 204.453s'], ,[' 6832590 '],"[' 4342221  (Analyzed', ' 4313065)']","[' 10312    (Average', ' 418.26 Last', ' 50512)']",[' 1445.7  '],"[' 359      (Average Length', ' 174.91 Splits', ' 0)']","[' 4313065  (Deleted', ' 4243442)']","[' 57       (Ratio', '   0.00%)']","[' 1780     (Ratio', '   0.04%)']","[' 4313065  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4313065  (Average', '  1.45 Max', ' 1929 Sum', ' 6241356)']","[' 4312878  (Average', '  1.44 Max', ' 1929 Sum', ' 6218197 Ratio', '  99.63%)']","[' 187      (Average', ' 123.84 Max', ' 276 Sum', '  23159 Ratio', '   0.37%)']", ,[' 73871   '],[' 2998    '],[' 73471   '],[' 41724   '],"[' 125168   (Atom=Atom', ' 39474 Body=Body', ' 22073 Other', ' 63621)']",[' Yes'],"[' 3348     (Eliminated', '    0 Frozen', ' 3348)']","[' 207      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.537056'],[' 0'], ,[' 171.874'],[' 0'],[' 3.06618'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.30132e+07'],[' 1.30963e+07'],[' 0'],[' 2.50052e+10'],[' 0'],[' 0'],[' 472 '],[' 1157 '],[' 1494 '],[' 2041 '],[' 2594 '],[' 3159 '],[' 3673 '],[' 4208 ']
Solving...,TA54, , ,[' 717'],[' 367'],"[' 192.015s (Solving', ' 189.51s 1st Model', ' 0.95s Unsat', ' 19.53s)']",[' 190.719s'], ,[' 10828671'],"[' 7499121  (Analyzed', ' 7483299)']","[' 16682    (Average', ' 448.59 Last', ' 33189)']",[' 1256.9  '],"[' 367      (Average Length', ' 176.97 Splits', ' 0)']","[' 7483299  (Deleted', ' 7357166)']","[' 38       (Ratio', '   0.00%)']","[' 1802     (Ratio', '   0.02%)']","[' 7483299  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7483299  (Average', '  1.37 Max', ' 1901 Sum', ' 10230914)']","[' 7483114  (Average', '  1.36 Max', ' 1901 Sum', ' 10201788 Ratio', '  99.72%)']","[' 185      (Average', ' 157.44 Max', ' 295 Sum', '  29126 Ratio', '   0.28%)']", ,[' 75241   '],[' 3038    '],[' 74844   '],[' 42258   '],"[' 126770   (Atom=Atom', ' 39968 Body=Body', ' 22113 Other', ' 64689)']",[' Yes'],"[' 3391     (Eliminated', '    0 Frozen', ' 3391)']","[' 212      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.577408'],[' 0'], ,[' 139.707'],[' 0'],[' 2.61967'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.34562e+07'],[' 1.62045e+07'],[' 0'],[' 1.69352e+10'],[' 0'],[' 0'],[' 533 '],[' 997 '],[' 1430 '],[' 2002 '],[' 2420 '],[' 2866 '],[' 3593 '],[' 4037 ']
Solving...,TA55, , ,[' 467'],[' 242'],"[' 220.030s (Solving', ' 218.48s 1st Model', ' 0.54s Unsat', ' 7.85s)']",[' 219.500s'], ,[' 13332708'],"[' 8954750  (Analyzed', ' 8939613)']","[' 19882    (Average', ' 449.63 Last', ' 38944)']",[' 1255.5  '],"[' 242      (Average Length', ' 117.10 Splits', ' 0)']","[' 8939613  (Deleted', ' 8810306)']","[' 44       (Ratio', '   0.00%)']","[' 2452     (Ratio', '   0.03%)']","[' 8939613  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8939613  (Average', '  1.43 Max', ' 1929 Sum', ' 12769499)']","[' 8939486  (Average', '  1.43 Max', ' 1929 Sum', ' 12756877 Ratio', '  99.90%)']","[' 127      (Average', ' 99.39 Max', ' 193 Sum', '  12622 Ratio', '   0.10%)']", ,[' 74995   '],[' 3023    '],[' 74478   '],[' 42738   '],"[' 128210   (Atom=Atom', ' 40463 Body=Body', ' 22098 Other', ' 65649)']",[' Yes'],"[' 3256     (Eliminated', '    0 Frozen', ' 3256)']","[' 170      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.347654'],[' 0'], ,[' 166.444'],[' 0'],[' 3.19328'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.8847e+07'],[' 1.82195e+07'],[' 0'],[' 2.11305e+10'],[' 0'],[' 0'],[' 682 '],[' 1030 '],[' 1630 '],[' 2232 '],[' 2673 '],[' 3167 '],[' 3688 '],[' 4206 ']
Solving...,TA56, ,[' 1'],[' 599+'],[' 308'],"[' 220.295s (Solving', ' 218.26s 1st Model', ' 0.78s Unsat', ' 8.06s)']",[' 219.672s'], ,[' 12384718'],"[' 8471988  (Analyzed', ' 8454398)']","[' 18754    (Average', ' 450.81 Last', ' 6231)']",[' 1490.6  '],"[' 308      (Average Length', ' 147.83 Splits', ' 0)']","[' 8454398  (Deleted', ' 8327387)']","[' 54       (Ratio', '   0.00%)']","[' 2388     (Ratio', '   0.03%)']","[' 8454398  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8454398  (Average', '  1.38 Max', ' 2046 Sum', ' 11697659)']","[' 8454252  (Average', '  1.38 Max', ' 2046 Sum', ' 11688864 Ratio', '  99.92%)']","[' 146      (Average', ' 60.24 Max', ' 185 Sum', '   8795 Ratio', '   0.08%)']", ,[' 75198   '],[' 3101    '],[' 74744   '],[' 43240   '],"[' 129716   (Atom=Atom', ' 40887 Body=Body', ' 22176 Other', ' 66653)']",[' Yes'],"[' 3397     (Eliminated', '    0 Frozen', ' 3397)']","[' 109      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.453712'],[' 0'], ,[' 167.516'],[' 0'],[' 3.30089'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.72489e+07'],[' 1.82808e+07'],[' 0'],[' 2.27218e+10'],[' 0'],[' 0'],[' 788 '],[' 1265 '],[' 1717 '],[' 2517 '],[' 2918 '],[' 3406 '],[' 3859 '],[' 4425 ']
Solving...,TA57, , ,[' 575'],[' 296'],"[' 195.049s (Solving', ' 193.05s 1st Model', ' 0.66s Unsat', ' 23.88s)']",[' 194.797s'], ,[' 11015635'],"[' 7637913  (Analyzed', ' 7629256)']","[' 17452    (Average', ' 437.16 Last', ' 22179)']",[' 1392.9  '],"[' 296      (Average Length', ' 141.98 Splits', ' 0)']","[' 7629256  (Deleted', ' 7507593)']","[' 59       (Ratio', '   0.00%)']","[' 2065     (Ratio', '   0.03%)']","[' 7629256  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7629256  (Average', '  1.37 Max', ' 1938 Sum', ' 10438743)']","[' 7629086  (Average', '  1.37 Max', ' 1938 Sum', ' 10426200 Ratio', '  99.88%)']","[' 170      (Average', ' 73.78 Max', ' 209 Sum', '  12543 Ratio', '   0.12%)']", ,[' 74337   '],[' 3025    '],[' 73871   '],[' 41898   '],"[' 125690   (Atom=Atom', ' 39621 Body=Body', ' 22100 Other', ' 63969)']",[' Yes'],"[' 3309     (Eliminated', '    0 Frozen', ' 3309)']","[' 199      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.451118'],[' 0'], ,[' 146.969'],[' 0'],[' 2.82343'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.43834e+07'],[' 1.70626e+07'],[' 0'],[' 2.06016e+10'],[' 0'],[' 0'],[' 522 '],[' 1275 '],[' 1873 '],[' 2383 '],[' 2829 '],[' 3383 '],[' 4074 '],[' 4432 ']
Solving...,TA58, , ,[' 561'],[' 289'],"[' 215.570s (Solving', ' 213.81s 1st Model', ' 0.81s Unsat', ' 44.37s)']",[' 214.203s'], ,[' 11554986'],"[' 8027883  (Analyzed', ' 8014012)']","[' 18388    (Average', ' 435.83 Last', ' 29144)']",[' 1464.6  '],"[' 289      (Average Length', ' 139.75 Splits', ' 0)']","[' 8014012  (Deleted', ' 7887723)']","[' 66       (Ratio', '   0.00%)']","[' 2128     (Ratio', '   0.03%)']","[' 8014012  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8014012  (Average', '  1.37 Max', ' 1953 Sum', ' 10954007)']","[' 8013800  (Average', '  1.36 Max', ' 1953 Sum', ' 10933884 Ratio', '  99.82%)']","[' 212      (Average', ' 94.92 Max', ' 213 Sum', '  20123 Ratio', '   0.18%)']", ,[' 74456   '],[' 3037    '],[' 73986   '],[' 41959   '],"[' 125873   (Atom=Atom', ' 39670 Body=Body', ' 22112 Other', ' 64091)']",[' Yes'],"[' 3317     (Eliminated', '    0 Frozen', ' 3317)']","[' 214      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.442446'],[' 0'], ,[' 165.05'],[' 0'],[' 2.86951'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.6313e+07'],[' 1.81677e+07'],[' 0'],[' 2.15639e+10'],[' 0'],[' 0'],[' 555 '],[' 1131 '],[' 1735 '],[' 2165 '],[' 2603 '],[' 3142 '],[' 3776 '],[' 4132 ']
Solving...,TA59, ,[' 1'],[' 543+'],[' 280'],"[' 234.200s (Solving', ' 232.34s 1st Model', ' 0.62s Unsat', ' 22.06s)']",[' 232.984s'], ,[' 11004710'],"[' 7224926  (Analyzed', ' 7218446)']","[' 16469    (Average', ' 438.31 Last', ' 13918)']",[' 1425.9  '],"[' 280      (Average Length', ' 135.41 Splits', ' 0)']","[' 7218446  (Deleted', ' 7099319)']","[' 60       (Ratio', '   0.00%)']","[' 2493     (Ratio', '   0.03%)']","[' 7218446  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7218446  (Average', '  1.44 Max', ' 1942 Sum', ' 10425430)']","[' 7218278  (Average', '  1.44 Max', ' 1942 Sum', ' 10412780 Ratio', '  99.88%)']","[' 168      (Average', ' 75.30 Max', ' 214 Sum', '  12650 Ratio', '   0.12%)']", ,[' 74583   '],[' 3037    '],[' 74103   '],[' 42126   '],"[' 126374   (Atom=Atom', ' 39837 Body=Body', ' 22112 Other', ' 64425)']",[' Yes'],"[' 3307     (Eliminated', '    0 Frozen', ' 3307)']","[' 228      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.42905'],[' 0'], ,[' 187.022'],[' 0'],[' 3.46531'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.36799e+07'],[' 1.67875e+07'],[' 0'],[' 2.73566e+10'],[' 0'],[' 0'],[' 507 '],[' 1076 '],[' 1586 '],[' 2223 '],[' 2866 '],[' 3375 '],[' 3970 '],[' 4597 ']
Solving...,TA60, , ,[' 653'],[' 335'],"[' 211.869s (Solving', ' 209.83s 1st Model', ' 0.97s Unsat', ' 39.90s)']",[' 211.156s'], ,[' 12144898'],"[' 8472350  (Analyzed', ' 8460269)']","[' 18512    (Average', ' 457.02 Last', ' 172893)']",[' 1526.9  '],"[' 335      (Average Length', ' 162.93 Splits', ' 0)']","[' 8460269  (Deleted', ' 8316280)']","[' 71       (Ratio', '   0.00%)']","[' 2078     (Ratio', '   0.02%)']","[' 8460269  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8460269  (Average', '  1.36 Max', ' 2052 Sum', ' 11481930)']","[' 8460098  (Average', '  1.36 Max', ' 2052 Sum', ' 11465449 Ratio', '  99.86%)']","[' 171      (Average', ' 96.38 Max', ' 239 Sum', '  16481 Ratio', '   0.14%)']", ,[' 75147   '],[' 3092    '],[' 74723   '],[' 43352   '],"[' 130052   (Atom=Atom', ' 41008 Body=Body', ' 22167 Other', ' 66877)']",[' Yes'],"[' 3418     (Eliminated', '    0 Frozen', ' 3418)']","[' 182      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.493955'],[' 0'], ,[' 156.415'],[' 0'],[' 2.94774'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.72947e+07'],[' 1.81747e+07'],[' 0'],[' 2.07251e+10'],[' 0'],[' 0'],[' 576 '],[' 1130 '],[' 1636 '],[' 2115 '],[' 2677 '],[' 2964 '],[' 3573 '],[' 4030 ']
