Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNKNOWN,TA51,[' 5131+'],[' 2569'],"[' 1004.580s (Solving', ' 985.45s 1st Model', ' 650.30s Unsat', ' 0.00s)']",[' 1001.922s'], ,[' 335011601'],"[' 7483562  (Analyzed', ' 7303648)']","[' 16087    (Average', ' 454.01 Last', ' 462294)']",[' 4592.0  '],"[' 2569     (Average Length', ' 1221.02 Splits', ' 0)']","[' 7303648  (Deleted', ' 7197056)']","[' 835      (Ratio', '   0.01%)']","[' 52016    (Ratio', '   0.71%)']","[' 7303648  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7303648  (Average', ' 44.68 Max', ' 4642 Sum', ' 326363490)']","[' 7303015  (Average', ' 44.58 Max', ' 4394 Sum', ' 325573953 Ratio', '  99.76%)']","[' 633      (Average', ' 1247.29 Max', ' 2324 Sum', ' 789537 Ratio', '   0.24%)']", ,[' 83309   '],[' 9197    '],[' 84883   '],[' 50515   '],"[' 151541   (Atom=Atom', ' 42066 Body=Body', ' 28272 Other', ' 81203)']",[' Yes'],"[' 11521    (Eliminated', '    0 Frozen', ' 11521)']","[' 6748     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.77073'],[' 0'], ,[' 472.72'],[' 0'],[' 25.6776'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35849e+09'],[' 1.19412e+09'],[' 0'],[' 2.16837e+10'],[' 0'],[' 0'],[' 1115 '],[' 2076 '],[' 3007 '],[' 3 '],[' 0 ']
UNKNOWN,TA52,[' 4109+'],[' 2058'],"[' 671.862s (Solving', ' 652.83s 1st Model', ' 603.46s Unsat', ' 0.00s)']",[' 667.266s'], ,[' 213175611'],"[' 2803398  (Analyzed', ' 2645772)']","[' 8426     (Average', ' 314.00 Last', ' 420130)']",[' 6469.0  '],"[' 2057     (Average Length', ' 996.77 Splits', ' 0)']","[' 2645772  (Deleted', ' 2595370)']","[' 544      (Ratio', '   0.02%)']","[' 31223    (Ratio', '   1.18%)']","[' 2645772  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2645772  (Average', ' 76.25 Max', ' 6505 Sum', ' 201734542)']","[' 2645531  (Average', ' 76.15 Max', ' 6505 Sum', ' 201463081 Ratio', '  99.87%)']","[' 241      (Average', ' 1126.39 Max', ' 1894 Sum', ' 271461 Ratio', '   0.13%)']", ,[' 82852   '],[' 9199    '],[' 84004   '],[' 49999   '],"[' 149993   (Atom=Atom', ' 41548 Body=Body', ' 28274 Other', ' 80171)']",[' Yes'],"[' 11101    (Eliminated', '    0 Frozen', ' 11101)']","[' 2479     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.9205'],[' 0'], ,[' 350.511'],[' 0'],[' 17.367'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.02941e+08'],[' 6.15437e+08'],[' 0'],[' 1.76007e+10'],[' 0'],[' 0'],[' 3278 '],[' 3665 '],[' 4607 '],[' 3 '],[' 0 ']
UNKNOWN,TA53,[' 4585+'],[' 2296'],"[' 1003.570s (Solving', ' 986.88s 1st Model', ' 637.60s Unsat', ' 0.00s)']",[' 1001.359s'], ,[' 327982757'],"[' 10084089 (Analyzed', ' 9936158)']","[' 20968    (Average', ' 473.87 Last', ' 128592)']",[' 4551.1  '],"[' 2296     (Average Length', ' 1097.68 Splits', ' 0)']","[' 9936158  (Deleted', ' 9806884)']","[' 755      (Ratio', '   0.01%)']","[' 51576    (Ratio', '   0.52%)']","[' 9936158  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9936158  (Average', ' 32.18 Max', ' 4510 Sum', ' 319791585)']","[' 9935646  (Average', ' 32.13 Max', ' 4510 Sum', ' 319243893 Ratio', '  99.83%)']","[' 512      (Average', ' 1069.71 Max', ' 2105 Sum', ' 547692 Ratio', '   0.17%)']", ,[' 83162   '],[' 9213    '],[' 84523   '],[' 50324   '],"[' 150968   (Atom=Atom', ' 41859 Body=Body', ' 28288 Other', ' 80821)']",[' Yes'],"[' 11324    (Eliminated', '    0 Frozen', ' 11324)']","[' 6147     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.24848'],[' 0'], ,[' 499.419'],[' 0'],[' 25.4539'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3171e+09'],[' 1.1527e+09'],[' 0'],[' 2.38693e+10'],[' 0'],[' 0'],[' 1069 '],[' 1998 '],[' 2967 '],[' 3 '],[' 0 ']
UNKNOWN,TA54,[' 5113+'],[' 2560'],"[' 1004.276s (Solving', ' 984.45s 1st Model', ' 541.99s Unsat', ' 0.00s)']",[' 1002.406s'], ,[' 338414639'],"[' 9558393  (Analyzed', ' 9314221)']","[' 19811    (Average', ' 470.15 Last', ' 334449)']",[' 4800.3  '],"[' 2560     (Average Length', ' 1224.45 Splits', ' 0)']","[' 9314221  (Deleted', ' 9181447)']","[' 781      (Ratio', '   0.01%)']","[' 55108    (Ratio', '   0.59%)']","[' 9314221  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9314221  (Average', ' 35.32 Max', ' 4506 Sum', ' 328947296)']","[' 9313683  (Average', ' 35.26 Max', ' 4506 Sum', ' 328374825 Ratio', '  99.83%)']","[' 538      (Average', ' 1064.07 Max', ' 3705 Sum', ' 572471 Ratio', '   0.17%)']", ,[' 83503   '],[' 9263    '],[' 85100   '],[' 50730   '],"[' 152186   (Atom=Atom', ' 42215 Body=Body', ' 28338 Other', ' 81633)']",[' Yes'],"[' 11610    (Eliminated', '    0 Frozen', ' 11610)']","[' 6473     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.81192'],[' 0'], ,[' 486.79'],[' 0'],[' 25.7279'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36647e+09'],[' 1.20188e+09'],[' 0'],[' 2.35043e+10'],[' 0'],[' 0'],[' 1134 '],[' 2001 '],[' 2951 '],[' 3 '],[' 0 ']
UNKNOWN,TA55,[' 4485+'],[' 2246'],"[' 709.103s (Solving', ' 692.63s 1st Model', ' 347.45s Unsat', ' 0.00s)']",[' 707.500s'], ,[' 247686152'],"[' 8428937  (Analyzed', ' 8308216)']","[' 16880    (Average', ' 492.19 Last', ' 506621)']",[' 4547.8  '],"[' 2245     (Average Length', ' 1078.35 Splits', ' 0)']","[' 8308216  (Deleted', ' 8203477)']","[' 755      (Ratio', '   0.01%)']","[' 38313    (Ratio', '   0.46%)']","[' 8308216  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8308216  (Average', ' 28.87 Max', ' 4702 Sum', ' 239826987)']","[' 8307659  (Average', ' 28.80 Max', ' 4509 Sum', ' 239238833 Ratio', '  99.75%)']","[' 557      (Average', ' 1055.93 Max', ' 4391 Sum', ' 588154 Ratio', '   0.25%)']", ,[' 82978   '],[' 9184    '],[' 84309   '],[' 50174   '],"[' 150518   (Atom=Atom', ' 41738 Body=Body', ' 28259 Other', ' 80521)']",[' Yes'],"[' 11265    (Eliminated', '    0 Frozen', ' 11265)']","[' 6022     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.22515'],[' 0'], ,[' 330.084'],[' 0'],[' 18.6661'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.36313e+08'],[' 8.06677e+08'],[' 0'],[' 1.45578e+10'],[' 0'],[' 0'],[' 1054 '],[' 2086 '],[' 3184 '],[' 3 '],[' 0 ']
UNKNOWN,TA56,[' 4753+'],[' 2380'],"[' 1004.418s (Solving', ' 985.26s 1st Model', ' 430.68s Unsat', ' 0.00s)']",[' 1002.188s'], ,[' 317771346'],"[' 11197573 (Analyzed', ' 10991943)']","[' 21898    (Average', ' 501.96 Last', ' 165006)']",[' 4793.6  '],"[' 2380     (Average Length', ' 1136.49 Splits', ' 0)']","[' 10991943 (Deleted', ' 10850623)']","[' 734      (Ratio', '   0.01%)']","[' 51390    (Ratio', '   0.47%)']","[' 10991943 (Average Length', '   18.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10991943 (Average', ' 28.09 Max', ' 4756 Sum', ' 308712431)']","[' 10991372 (Average', ' 28.03 Max', ' 4756 Sum', ' 308147458 Ratio', '  99.82%)']","[' 571      (Average', ' 989.44 Max', ' 2168 Sum', ' 564973 Ratio', '   0.18%)']", ,[' 83146   '],[' 9206    '],[' 84581   '],[' 50340   '],"[' 151016   (Atom=Atom', ' 41882 Body=Body', ' 28281 Other', ' 80853)']",[' Yes'],"[' 11391    (Eliminated', '    0 Frozen', ' 11391)']","[' 6083     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.75155'],[' 0'], ,[' 524.967'],[' 0'],[' 24.7556'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1666e+09'],[' 1.0125e+09'],[' 0'],[' 2.66106e+10'],[' 0'],[' 0'],[' 1193 '],[' 2146 '],[' 3116 '],[' 3 '],[' 0 ']
UNKNOWN,TA57,[' 4529+'],[' 2268'],"[' 1003.874s (Solving', ' 988.05s 1st Model', ' 304.28s Unsat', ' 0.00s)']",[' 1000.938s'], ,[' 251569952'],"[' 9549998  (Analyzed', ' 9371483)']","[' 18987    (Average', ' 493.57 Last', ' 174874)']",[' 4547.4  '],"[' 2268     (Average Length', ' 1100.38 Splits', ' 0)']","[' 9371483  (Deleted', ' 9262176)']","[' 556      (Ratio', '   0.01%)']","[' 35691    (Ratio', '   0.38%)']","[' 9371483  (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9371483  (Average', ' 25.97 Max', ' 4533 Sum', ' 243381348)']","[' 9370970  (Average', ' 25.91 Max', ' 4533 Sum', ' 242820415 Ratio', '  99.77%)']","[' 513      (Average', ' 1093.44 Max', ' 1514 Sum', ' 560933 Ratio', '   0.23%)']", ,[' 83120   '],[' 9206    '],[' 84509   '],[' 50274   '],"[' 150818   (Atom=Atom', ' 41816 Body=Body', ' 28281 Other', ' 80721)']",[' Yes'],"[' 11345    (Eliminated', '    0 Frozen', ' 11345)']","[' 6169     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.13088'],[' 0'], ,[' 607.332'],[' 0'],[' 21.4702'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.46956e+08'],[' 8.11586e+08'],[' 0'],[' 3.58376e+10'],[' 0'],[' 0'],[' 1264 '],[' 2251 '],[' 5740 '],[' 3 '],[' 0 ']
UNKNOWN,TA58,[' 5417+'],[' 2712'],"[' 1005.358s (Solving', ' 982.05s 1st Model', ' 591.64s Unsat', ' 0.00s)']",[' 998.188s'], ,[' 298375642'],"[' 9231049  (Analyzed', ' 9063957)']","[' 18666    (Average', ' 485.59 Last', ' 194997)']",[' 4916.7  '],"[' 2712     (Average Length', ' 1296.56 Splits', ' 0)']","[' 9063957  (Deleted', ' 8941227)']","[' 836      (Ratio', '   0.01%)']","[' 51935    (Ratio', '   0.57%)']","[' 9063957  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9063957  (Average', ' 31.83 Max', ' 4870 Sum', ' 288464271)']","[' 9063395  (Average', ' 31.75 Max', ' 4870 Sum', ' 287775467 Ratio', '  99.76%)']","[' 562      (Average', ' 1225.63 Max', ' 2448 Sum', ' 688804 Ratio', '   0.24%)']", ,[' 83550   '],[' 9238    '],[' 85277   '],[' 50810   '],"[' 152426   (Atom=Atom', ' 42320 Body=Body', ' 28313 Other', ' 81793)']",[' Yes'],"[' 11715    (Eliminated', '    0 Frozen', ' 11715)']","[' 6218     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.51642'],[' 0'], ,[' 485.719'],[' 0'],[' 24.9148'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15154e+09'],[' 1.01307e+09'],[' 0'],[' 2.05153e+10'],[' 0'],[' 0'],[' 1180 '],[' 2194 '],[' 3134 '],[' 3 '],[' 0 ']
UNKNOWN,TA59,[' 5119+'],[' 2563'],"[' 1004.422s (Solving', ' 984.54s 1st Model', ' 603.91s Unsat', ' 0.00s)']",[' 999.938s'], ,[' 297304491'],"[' 10273381 (Analyzed', ' 10022415)']","[' 21342    (Average', ' 469.61 Last', ' 193197)']",[' 4934.9  '],"[' 2563     (Average Length', ' 1221.43 Splits', ' 0)']","[' 10022415 (Deleted', ' 9893756)']","[' 800      (Ratio', '   0.01%)']","[' 50734    (Ratio', '   0.51%)']","[' 10022415 (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10022415 (Average', ' 28.68 Max', ' 4570 Sum', ' 287404875)']","[' 10021875 (Average', ' 28.62 Max', ' 4570 Sum', ' 286825335 Ratio', '  99.80%)']","[' 540      (Average', ' 1073.22 Max', ' 2319 Sum', ' 579540 Ratio', '   0.20%)']", ,[' 83296   '],[' 9198    '],[' 84875   '],[' 50462   '],"[' 151382   (Atom=Atom', ' 42012 Body=Body', ' 28273 Other', ' 81097)']",[' Yes'],"[' 11527    (Eliminated', '    0 Frozen', ' 11527)']","[' 6359     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.04969'],[' 0'], ,[' 509.571'],[' 0'],[' 24.5376'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16358e+09'],[' 1.01881e+09'],[' 0'],[' 2.33948e+10'],[' 0'],[' 0'],[' 1019 '],[' 2016 '],[' 2973 '],[' 3 '],[' 0 ']
UNKNOWN,TA60,[' 5337+'],[' 2672'],"[' 1004.877s (Solving', ' 983.70s 1st Model', ' 673.23s Unsat', ' 0.00s)']",[' 999.438s'], ,[' 337736636'],"[' 5609368  (Analyzed', ' 5430138)']","[' 13614    (Average', ' 398.86 Last', ' 380114)']",[' 4680.1  '],"[' 2672     (Average Length', ' 1280.25 Splits', ' 0)']","[' 5430138  (Deleted', ' 5342214)']","[' 730      (Ratio', '   0.01%)']","[' 51761    (Ratio', '   0.95%)']","[' 5430138  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5430138  (Average', ' 60.54 Max', ' 5111 Sum', ' 328735095)']","[' 5429524  (Average', ' 60.40 Max', ' 5111 Sum', ' 327959475 Ratio', '  99.76%)']","[' 614      (Average', ' 1263.22 Max', ' 2447 Sum', ' 775620 Ratio', '   0.24%)']", ,[' 83427   '],[' 9190    '],[' 85124   '],[' 50558   '],"[' 151670   (Atom=Atom', ' 42116 Body=Body', ' 28265 Other', ' 81289)']",[' Yes'],"[' 11637    (Eliminated', '    0 Frozen', ' 11637)']","[' 6292     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.05534'],[' 0'], ,[' 453.035'],[' 0'],[' 25.843'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3734e+09'],[' 1.20492e+09'],[' 0'],[' 1.91849e+10'],[' 0'],[' 0'],[' 1022 '],[' 1968 '],[' 2923 '],[' 3 '],[' 0 ']
