Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1573'],[' 795'],"[' 440.631s (Solving', ' 435.22s 1st Model', ' 2.49s Unsat', ' 55.44s)']",[' 439.078s'], ,[' 19118144'],"[' 11257261 (Analyzed', ' 11235087)']","[' 23091    (Average', ' 486.56 Last', ' 29677)']",[' 1894.2  '],"[' 795      (Average Length', ' 381.78 Splits', ' 0)']","[' 11235087 (Deleted', ' 11040205)']","[' 79       (Ratio', '   0.00%)']","[' 2189     (Ratio', '   0.02%)']","[' 11235087 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11235087 (Average', '  1.57 Max', ' 2588 Sum', ' 17688577)']","[' 11234790 (Average', '  1.57 Max', ' 2588 Sum', ' 17619898 Ratio', '  99.61%)']","[' 297      (Average', ' 231.24 Max', ' 572 Sum', '  68679 Ratio', '   0.39%)']", ,[' 99577   '],[' 4026    '],[' 99326   '],[' 56137   '],"[' 168407   (Atom=Atom', ' 53109 Body=Body', ' 29476 Other', ' 85822)']",[' Yes'],"[' 4775     (Eliminated', '    0 Frozen', ' 4775)']","[' 292      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3411'],[' 0'], ,[' 351.272'],[' 0'],[' 6.3537'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.37032e+07'],[' 3.73289e+07'],[' 0'],[' 4.25254e+10'],[' 0'],[' 0'],[' 655 '],[' 1390 '],[' 1922 '],[' 2505 '],[' 3074 '],[' 3693 '],[' 4157 '],[' 4611 '],[' 3 '],[' 5 ']
Solving...,TA62, , ,[' 1799'],[' 908'],"[' 483.963s (Solving', ' 478.26s 1st Model', ' 2.85s Unsat', ' 98.83s)']",[' 482.734s'], ,[' 11949222'],"[' 6315739  (Analyzed', ' 6216511)']","[' 14273    (Average', ' 435.54 Last', ' 19857)']",[' 1853.9  '],"[' 908      (Average Length', ' 431.24 Splits', ' 0)']","[' 6216511  (Deleted', ' 6101603)']","[' 80       (Ratio', '   0.00%)']","[' 2537     (Ratio', '   0.04%)']","[' 6216511  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6216511  (Average', '  1.69 Max', ' 2543 Sum', ' 10509417)']","[' 6216213  (Average', '  1.67 Max', ' 2543 Sum', ' 10393318 Ratio', '  98.90%)']","[' 298      (Average', ' 389.59 Max', ' 1222 Sum', ' 116099 Ratio', '   1.10%)']", ,[' 99823   '],[' 4036    '],[' 99672   '],[' 56550   '],"[' 169646   (Atom=Atom', ' 53512 Body=Body', ' 29486 Other', ' 86648)']",[' Yes'],"[' 4885     (Eliminated', '    0 Frozen', ' 4885)']","[' 307      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.42244'],[' 0'], ,[' 421.708'],[' 0'],[' 6.4075'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.72178e+07'],[' 3.21455e+07'],[' 0'],[' 5.93142e+10'],[' 0'],[' 0'],[' 647 '],[' 1163 '],[' 1849 '],[' 2248 '],[' 2803 '],[' 3245 '],[' 3795 '],[' 4256 '],[' 3 '],[' 5 ']
Solving...,TA63, , ,[' 1507'],[' 762'],"[' 615.877s (Solving', ' 610.65s 1st Model', ' 3.16s Unsat', ' 229.52s)']",[' 613.969s'], ,[' 28225364'],"[' 14830921 (Analyzed', ' 14798867)']","[' 29798    (Average', ' 496.64 Last', ' 108540)']",[' 1903.9  '],"[' 762      (Average Length', ' 365.80 Splits', ' 0)']","[' 14798867 (Deleted', ' 14560607)']","[' 70       (Ratio', '   0.00%)']","[' 2862     (Ratio', '   0.02%)']","[' 14798867 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14798867 (Average', '  1.81 Max', ' 2609 Sum', ' 26719098)']","[' 14798604 (Average', '  1.80 Max', ' 2609 Sum', ' 26657570 Ratio', '  99.77%)']","[' 263      (Average', ' 233.95 Max', ' 609 Sum', '  61528 Ratio', '   0.23%)']", ,[' 99059   '],[' 4074    '],[' 98786   '],[' 56142   '],"[' 168422   (Atom=Atom', ' 53066 Body=Body', ' 29524 Other', ' 85832)']",[' Yes'],"[' 4801     (Eliminated', '    0 Frozen', ' 4801)']","[' 228      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32292'],[' 0'], ,[' 491.381'],[' 0'],[' 8.34404'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.03193e+07'],[' 5.49606e+07'],[' 0'],[' 6.38223e+10'],[' 0'],[' 0'],[' 766 '],[' 1367 '],[' 1887 '],[' 2304 '],[' 2928 '],[' 3397 '],[' 3998 '],[' 4485 '],[' 3 '],[' 5 ']
Solving...,TA64, , ,[' 1593'],[' 805'],"[' 550.131s (Solving', ' 545.11s 1st Model', ' 2.29s Unsat', ' 43.09s)']",[' 548.875s'], ,[' 25950559'],"[' 16535096 (Analyzed', ' 16500629)']","[' 30061    (Average', ' 548.90 Last', ' 54493)']",[' 1867.1  '],"[' 805      (Average Length', ' 383.27 Splits', ' 0)']","[' 16500629 (Deleted', ' 16224831)']","[' 57       (Ratio', '   0.00%)']","[' 2595     (Ratio', '   0.02%)']","[' 16500629 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16500629 (Average', '  1.48 Max', ' 2511 Sum', ' 24419736)']","[' 16500310 (Average', '  1.47 Max', ' 2511 Sum', ' 24314578 Ratio', '  99.57%)']","[' 319      (Average', ' 329.65 Max', ' 660 Sum', ' 105158 Ratio', '   0.43%)']", ,[' 98975   '],[' 4054    '],[' 98726   '],[' 55825   '],"[' 167471   (Atom=Atom', ' 52769 Body=Body', ' 29504 Other', ' 85198)']",[' Yes'],"[' 4805     (Eliminated', '    0 Frozen', ' 4805)']","[' 485      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26252'],[' 0'], ,[' 444.265'],[' 0'],[' 7.62832'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.4146e+07'],[' 4.46749e+07'],[' 0'],[' 6.38684e+10'],[' 0'],[' 0'],[' 863 '],[' 1491 '],[' 1960 '],[' 2467 '],[' 3012 '],[' 3487 '],[' 4013 '],[' 4359 '],[' 4 '],[' 4 ']
Solving...,TA65, ,[' 1'],[' 1799+'],[' 908'],"[' 560.144s (Solving', ' 555.01s 1st Model', ' 2.57s Unsat', ' 53.85s)']",[' 559.031s'], ,[' 20077475'],"[' 11586559 (Analyzed', ' 11532965)']","[' 23601    (Average', ' 488.66 Last', ' 3502)']",[' 1816.7  '],"[' 908      (Average Length', ' 433.85 Splits', ' 0)']","[' 11532965 (Deleted', ' 11321153)']","[' 45       (Ratio', '   0.00%)']","[' 2342     (Ratio', '   0.02%)']","[' 11532965 (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11532965 (Average', '  1.62 Max', ' 2572 Sum', ' 18626013)']","[' 11532672 (Average', '  1.61 Max', ' 2572 Sum', ' 18520757 Ratio', '  99.43%)']","[' 293      (Average', ' 359.24 Max', ' 788 Sum', ' 105256 Ratio', '   0.57%)']", ,[' 100871  '],[' 4095    '],[' 100728  '],[' 56415   '],"[' 169241   (Atom=Atom', ' 53318 Body=Body', ' 29545 Other', ' 86378)']",[' Yes'],"[' 4952     (Eliminated', '    0 Frozen', ' 4952)']","[' 335      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23989'],[' 0'], ,[' 475.609'],[' 0'],[' 7.10442'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.60799e+07'],[' 3.9215e+07'],[' 0'],[' 7.23226e+10'],[' 0'],[' 0'],[' 657 '],[' 1222 '],[' 1772 '],[' 2372 '],[' 2872 '],[' 3461 '],[' 4159 '],[' 4565 '],[' 4 '],[' 4 ']
Solving...,TA66, ,[' 1'],[' 1495+'],[' 756'],"[' 536.363s (Solving', ' 532.21s 1st Model', ' 2.11s Unsat', ' 29.99s)']",[' 534.953s'], ,[' 19070187'],"[' 10737153 (Analyzed', ' 10715349)']","[' 21992    (Average', ' 487.24 Last', ' 18920)']",[' 1678.5  '],"[' 756      (Average Length', ' 365.46 Splits', ' 0)']","[' 10715349 (Deleted', ' 10545490)']","[' 45       (Ratio', '   0.00%)']","[' 2711     (Ratio', '   0.03%)']","[' 10715349 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10715349 (Average', '  1.67 Max', ' 2507 Sum', ' 17895920)']","[' 10714996 (Average', '  1.66 Max', ' 2507 Sum', ' 17773638 Ratio', '  99.32%)']","[' 353      (Average', ' 346.41 Max', ' 671 Sum', ' 122282 Ratio', '   0.68%)']", ,[' 99636   '],[' 4116    '],[' 99359   '],[' 56072   '],"[' 168212   (Atom=Atom', ' 52954 Body=Body', ' 29566 Other', ' 85692)']",[' Yes'],"[' 4839     (Eliminated', '    0 Frozen', ' 4839)']","[' 388      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00476'],[' 0'], ,[' 461.967'],[' 0'],[' 7.3056'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.27774e+07'],[' 3.70452e+07'],[' 0'],[' 7.04084e+10'],[' 0'],[' 0'],[' 615 '],[' 1339 '],[' 1768 '],[' 2221 '],[' 2868 '],[' 3392 '],[' 4094 '],[' 4713 '],[' 4 '],[' 4 ']
Solving...,TA67, , ,[' 1737'],[' 877'],"[' 418.619s (Solving', ' 413.44s 1st Model', ' 2.38s Unsat', ' 156.56s)']",[' 417.453s'], ,[' 26471069'],"[' 15872213 (Analyzed', ' 15815274)']","[' 29637    (Average', ' 533.63 Last', ' 127709)']",[' 1884.9  '],"[' 877      (Average Length', ' 415.71 Splits', ' 0)']","[' 15815274 (Deleted', ' 15583104)']","[' 86       (Ratio', '   0.00%)']","[' 2434     (Ratio', '   0.02%)']","[' 15815274 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15815274 (Average', '  1.57 Max', ' 2631 Sum', ' 24815974)']","[' 15815040 (Average', '  1.57 Max', ' 2631 Sum', ' 24765387 Ratio', '  99.80%)']","[' 234      (Average', ' 216.18 Max', ' 718 Sum', '  50587 Ratio', '   0.20%)']", ,[' 99381   '],[' 4036    '],[' 99198   '],[' 56323   '],"[' 168965   (Atom=Atom', ' 53285 Body=Body', ' 29486 Other', ' 86194)']",[' Yes'],"[' 4853     (Eliminated', '    0 Frozen', ' 4853)']","[' 230      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26576'],[' 0'], ,[' 309.253'],[' 0'],[' 6.21569'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.97888e+07'],[' 5.07246e+07'],[' 0'],[' 3.76476e+10'],[' 0'],[' 0'],[' 873 '],[' 1337 '],[' 1757 '],[' 2414 '],[' 2965 '],[' 3432 '],[' 3948 '],[' 4333 '],[' 2 '],[' 6 ']
Solving...,TA68, , ,[' 1851'],[' 934'],"[' 203.761s (Solving', ' 198.11s 1st Model', ' 2.87s Unsat', ' 63.00s)']",[' 202.969s'], ,[' 5904776 '],"[' 2246694  (Analyzed', ' 1864914)']","[' 4951     (Average', ' 376.67 Last', ' 4759)']",[' 1974.3  '],"[' 934      (Average Length', ' 445.46 Splits', ' 0)']","[' 1864914  (Deleted', ' 1812629)']","[' 89       (Ratio', '   0.00%)']","[' 1478     (Ratio', '   0.08%)']","[' 1864914  (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1864914  (Average', '  2.21 Max', ' 2693 Sum', ' 4125396)']","[' 1864731  (Average', '  2.17 Max', ' 2693 Sum', ' 4054655 Ratio', '  98.29%)']","[' 183      (Average', ' 386.56 Max', ' 777 Sum', '  70741 Ratio', '   1.71%)']", ,[' 99556   '],[' 3989    '],[' 99430   '],[' 57135   '],"[' 171401   (Atom=Atom', ' 54144 Body=Body', ' 29439 Other', ' 87818)']",[' Yes'],"[' 4863     (Eliminated', '    0 Frozen', ' 4863)']","[' 181      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.34049'],[' 0'], ,[' 177.743'],[' 0'],[' 2.40626'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.92242e+07'],[' 2.36011e+07'],[' 0'],[' 3.04191e+10'],[' 0'],[' 0'],[' 531 '],[' 1060 '],[' 1525 '],[' 2013 '],[' 2462 '],[' 2960 '],[' 3525 '],[' 3890 '],[' 1 '],[' 7 ']
Solving...,TA69, , ,[' 1619'],[' 818'],"[' 642.770s (Solving', ' 637.94s 1st Model', ' 2.20s Unsat', ' 10.51s)']",[' 641.406s'], ,[' 22145900'],"[' 13655829 (Analyzed', ' 13544599)']","[' 27610    (Average', ' 490.57 Last', ' 2309)']",[' 1842.4  '],"[' 818      (Average Length', ' 390.31 Splits', ' 0)']","[' 13544599 (Deleted', ' 13303652)']","[' 43       (Ratio', '   0.00%)']","[' 2494     (Ratio', '   0.02%)']","[' 13544599 (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13544599 (Average', '  1.52 Max', ' 2547 Sum', ' 20609667)']","[' 13544312 (Average', '  1.51 Max', ' 2547 Sum', ' 20512573 Ratio', '  99.53%)']","[' 287      (Average', ' 338.31 Max', ' 680 Sum', '  97094 Ratio', '   0.47%)']", ,[' 99637   '],[' 4054    '],[' 99414   '],[' 55852   '],"[' 167552   (Atom=Atom', ' 52796 Body=Body', ' 29504 Other', ' 85252)']",[' Yes'],"[' 4831     (Eliminated', '    0 Frozen', ' 4831)']","[' 317      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22575'],[' 0'], ,[' 548.845'],[' 0'],[' 9.13645'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.40142e+07'],[' 4.18366e+07'],[' 0'],[' 7.78418e+10'],[' 0'],[' 0'],[' 697 '],[' 1348 '],[' 1825 '],[' 2405 '],[' 2881 '],[' 3490 '],[' 3885 '],[' 4470 '],[' 5 '],[' 3 ']
Solving...,TA70, , ,[' 1843'],[' 930'],"[' 297.097s (Solving', ' 291.66s 1st Model', ' 2.79s Unsat', ' 36.77s)']",[' 296.344s'], ,[' 7615104 '],"[' 2959685  (Analyzed', ' 2903775)']","[' 6876     (Average', ' 422.31 Last', ' 39737)']",[' 2109.9  '],"[' 930      (Average Length', ' 444.73 Splits', ' 0)']","[' 2903775  (Deleted', ' 2847888)']","[' 69       (Ratio', '   0.00%)']","[' 1759     (Ratio', '   0.06%)']","[' 2903775  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2903775  (Average', '  2.06 Max', ' 2896 Sum', ' 5994854)']","[' 2903622  (Average', '  2.05 Max', ' 2896 Sum', ' 5940163 Ratio', '  99.09%)']","[' 153      (Average', ' 357.46 Max', ' 772 Sum', '  54691 Ratio', '   0.91%)']", ,[' 101649  '],[' 4163    '],[' 101528  '],[' 58327   '],"[' 174977   (Atom=Atom', ' 55162 Body=Body', ' 29613 Other', ' 90202)']",[' Yes'],"[' 5042     (Eliminated', '    0 Frozen', ' 5042)']","[' 139      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.37968'],[' 0'], ,[' 265.573'],[' 0'],[' 3.91758'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.46303e+07'],[' 2.68989e+07'],[' 0'],[' 4.58143e+10'],[' 0'],[' 0'],[' 581 '],[' 1142 '],[' 1599 '],[' 2250 '],[' 2651 '],[' 3284 '],[' 4091 '],[' 4561 '],[' 2 '],[' 6 ']
