Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51_Clus(01), , , , , , , , , ,[' 1'],[' 4899+'],[' 2453'],"[' 603.042s (Solving', ' 591.10s 1st Model', ' 487.96s Unsat', ' 0.00s)']",[' 597.141s'], ,[' 213075111'],"[' 9161719  (Analyzed', ' 8626673)']","[' 22561    (Average', ' 382.37 Last', ' 913679)']",[' 4574.3  '],"[' 2453     (Average Length', ' 1273.03 Splits', ' 0)']","[' 8626673  (Deleted', ' 8575947)']","[' 678      (Ratio', '   0.01%)']","[' 19798    (Ratio', '   0.23%)']","[' 8626673  (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8626673  (Average', ' 23.70 Max', ' 4686 Sum', ' 204432993)']","[' 8626277  (Average', ' 23.64 Max', ' 4686 Sum', ' 203932511 Ratio', '  99.76%)']","[' 396      (Average', ' 1263.84 Max', ' 1904 Sum', ' 500482 Ratio', '   0.24%)']", ,[' 99618   '],[' 6772    '],[' 94427   '],[' 45854   '],"[' 132185   (Atom=Atom', ' 34686 Body=Body', ' 23432 Other', ' 74067)']",[' Yes'],"[' 9307     (Eliminated', '    0 Frozen', ' 9307)']","[' 2645     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.42732'],[' 0'], ,[' 315.091'],[' 0'],[' 16.5942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.93788e+08'],[' 5.66702e+08'],[' 0'],[' 1.43807e+10'],[' 0'],[' 0'],[' 1118 '],[' 2173 '],[' 3272 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(02), , , , , , , , , ,[' 1'],[' 4529+'],[' 2268'],"[' 603.158s (Solving', ' 591.08s 1st Model', ' 254.21s Unsat', ' 0.00s)']",[' 600.047s'], ,[' 214268098'],"[' 7006914  (Analyzed', ' 6530709)']","[' 16438    (Average', ' 397.29 Last', ' 414598)']",[' 4428.5  '],"[' 2268     (Average Length', ' 1184.07 Splits', ' 0)']","[' 6530709  (Deleted', ' 6473009)']","[' 643      (Ratio', '   0.01%)']","[' 26025    (Ratio', '   0.40%)']","[' 6530709  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6530709  (Average', ' 31.61 Max', ' 4557 Sum', ' 206453957)']","[' 6530301  (Average', ' 31.54 Max', ' 4557 Sum', ' 205978665 Ratio', '  99.77%)']","[' 408      (Average', ' 1164.93 Max', ' 1406 Sum', ' 475292 Ratio', '   0.23%)']", ,[' 99659   '],[' 6840    '],[' 94406   '],[' 45923   '],"[' 132434   (Atom=Atom', ' 34760 Body=Body', ' 23638 Other', ' 74036)']",[' Yes'],"[' 9211     (Eliminated', '    0 Frozen', ' 9211)']","[' 3504     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.46346'],[' 0'], ,[' 285.215'],[' 0'],[' 16.9579'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.07062e+08'],[' 5.95256e+08'],[' 0'],[' 1.11671e+10'],[' 0'],[' 0'],[' 1118 '],[' 2215 '],[' 3387 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(03), , , , , , , , , ,[' 1'],[' 5111+'],[' 2559'],"[' 603.585s (Solving', ' 589.80s 1st Model', ' 346.67s Unsat', ' 0.00s)']",[' 601.172s'], ,[' 163152628'],"[' 8778058  (Analyzed', ' 8294697)']","[' 20590    (Average', ' 402.85 Last', ' 970273)']",[' 4650.3  '],"[' 2559     (Average Length', ' 1330.94 Splits', ' 0)']","[' 8294697  (Deleted', ' 8235319)']","[' 756      (Ratio', '   0.01%)']","[' 17543    (Ratio', '   0.21%)']","[' 8294697  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8294697  (Average', ' 18.60 Max', ' 4827 Sum', ' 154257817)']","[' 8294312  (Average', ' 18.54 Max', ' 4827 Sum', ' 153761553 Ratio', '  99.68%)']","[' 385      (Average', ' 1289.00 Max', ' 1984 Sum', ' 496264 Ratio', '   0.32%)']", ,[' 99816   '],[' 6809    '],[' 94891   '],[' 46181   '],"[' 131930   (Atom=Atom', ' 34715 Body=Body', ' 23370 Other', ' 73845)']",[' Yes'],"[' 9375     (Eliminated', '    0 Frozen', ' 9375)']","[' 2311     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.79519'],[' 0'], ,[' 326.879'],[' 0'],[' 15.3902'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.31229e+08'],[' 4.2885e+08'],[' 0'],[' 1.34777e+10'],[' 0'],[' 0'],[' 1116 '],[' 2218 '],[' 3329 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(04), , , , , , , , , ,[' 1'],[' 4423+'],[' 2215'],"[' 603.185s (Solving', ' 590.86s 1st Model', ' 275.30s Unsat', ' 0.00s)']",[' 597.219s'], ,[' 196483476'],"[' 6639060  (Analyzed', ' 5943157)']","[' 14713    (Average', ' 403.94 Last', ' 457830)']",[' 4282.0  '],"[' 2215     (Average Length', ' 1176.58 Splits', ' 0)']","[' 5943157  (Deleted', ' 5874452)']","[' 494      (Ratio', '   0.01%)']","[' 28298    (Ratio', '   0.48%)']","[' 5943157  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5943157  (Average', ' 31.81 Max', ' 4301 Sum', ' 189078734)']","[' 5942674  (Average', ' 31.71 Max', ' 4301 Sum', ' 188467616 Ratio', '  99.68%)']","[' 483      (Average', ' 1265.25 Max', ' 1517 Sum', ' 611118 Ratio', '   0.32%)']", ,[' 100170  '],[' 6903    '],[' 94851   '],[' 46298   '],"[' 132894   (Atom=Atom', ' 34869 Body=Body', ' 23734 Other', ' 74291)']",[' Yes'],"[' 9212     (Eliminated', '    0 Frozen', ' 9212)']","[' 3982     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.51772'],[' 0'], ,[' 290.548'],[' 0'],[' 16.8868'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.17739e+08'],[' 5.22376e+08'],[' 0'],[' 1.21915e+10'],[' 0'],[' 0'],[' 1099 '],[' 2211 '],[' 3467 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(05), , , , , , , , , ,[' 1'],[' 5323+'],[' 2665'],"[' 603.854s (Solving', ' 588.51s 1st Model', ' 429.42s Unsat', ' 0.00s)']",[' 599.219s'], ,[' 181325772'],"[' 8037422  (Analyzed', ' 7037161)']","[' 19196    (Average', ' 366.60 Last', ' 906042)']",[' 4831.6  '],"[' 2665     (Average Length', ' 1387.33 Splits', ' 0)']","[' 7037161  (Deleted', ' 6988165)']","[' 677      (Ratio', '   0.01%)']","[' 18931    (Ratio', '   0.27%)']","[' 7037161  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7037161  (Average', ' 24.32 Max', ' 4846 Sum', ' 171154068)']","[' 7036781  (Average', ' 24.25 Max', ' 4846 Sum', ' 170681794 Ratio', '  99.72%)']","[' 380      (Average', ' 1242.83 Max', ' 3857 Sum', ' 472274 Ratio', '   0.28%)']", ,[' 100087  '],[' 6821    '],[' 95198   '],[' 46398   '],"[' 132553   (Atom=Atom', ' 34867 Body=Body', ' 23416 Other', ' 74270)']",[' Yes'],"[' 9483     (Eliminated', '    0 Frozen', ' 9483)']","[' 2286     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.1052'],[' 0'], ,[' 307.237'],[' 0'],[' 16.3183'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.66988e+08'],[' 4.65242e+08'],[' 0'],[' 1.17609e+10'],[' 0'],[' 0'],[' 1128 '],[' 2227 '],[' 3299 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(06), , , , , , , , , ,[' 1'],[' 4067+'],[' 2037'],"[' 602.910s (Solving', ' 591.81s 1st Model', ' 157.74s Unsat', ' 0.00s)']",[' 598.844s'], ,[' 167454472'],"[' 6997939  (Analyzed', ' 6511262)']","[' 14823    (Average', ' 439.27 Last', ' 762903)']",[' 4249.3  '],"[' 2037     (Average Length', ' 1083.33 Splits', ' 0)']","[' 6511262  (Deleted', ' 6441104)']","[' 479      (Ratio', '   0.01%)']","[' 24188    (Ratio', '   0.37%)']","[' 6511262  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6511262  (Average', ' 24.67 Max', ' 4350 Sum', ' 160604734)']","[' 6510828  (Average', ' 24.59 Max', ' 4350 Sum', ' 160107826 Ratio', '  99.69%)']","[' 434      (Average', ' 1144.95 Max', ' 1880 Sum', ' 496908 Ratio', '   0.31%)']", ,[' 99887   '],[' 6910    '],[' 94429   '],[' 46041   '],"[' 132809   (Atom=Atom', ' 34806 Body=Body', ' 23840 Other', ' 74163)']",[' Yes'],"[' 9095     (Eliminated', '    0 Frozen', ' 9095)']","[' 3945     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.29158'],[' 0'], ,[' 315.124'],[' 0'],[' 15.945'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.52872e+08'],[' 4.64875e+08'],[' 0'],[' 1.38965e+10'],[' 0'],[' 0'],[' 1111 '],[' 2300 '],[' 3593 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(07), , , , , , , , , ,[' 1'],[' 4119+'],[' 2063'],"[' 603.178s (Solving', ' 591.10s 1st Model', ' 64.62s Unsat', ' 0.00s)']",[' 599.484s'], ,[' 193942919'],"[' 6757127  (Analyzed', ' 6255463)']","[' 13424    (Average', ' 465.99 Last', ' 149501)']",[' 4218.8  '],"[' 2063     (Average Length', ' 1098.69 Splits', ' 0)']","[' 6255463  (Deleted', ' 6180840)']","[' 633      (Ratio', '   0.01%)']","[' 30946    (Ratio', '   0.49%)']","[' 6255463  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6255463  (Average', ' 29.92 Max', ' 4254 Sum', ' 187155382)']","[' 6254986  (Average', ' 29.83 Max', ' 4254 Sum', ' 186605165 Ratio', '  99.71%)']","[' 477      (Average', ' 1153.49 Max', ' 1353 Sum', ' 550217 Ratio', '   0.29%)']", ,[' 100015  '],[' 6905    '],[' 94579   '],[' 46108   '],"[' 132589   (Atom=Atom', ' 34750 Body=Body', ' 23809 Other', ' 74030)']",[' Yes'],"[' 9098     (Eliminated', '    0 Frozen', ' 9098)']","[' 4437     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.45786'],[' 0'], ,[' 298.217'],[' 0'],[' 16.8909'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.9479e+08'],[' 5.06171e+08'],[' 0'],[' 1.23732e+10'],[' 0'],[' 0'],[' 1239 '],[' 2432 '],[' 3664 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(08), , , , , , , , , ,[' 1'],[' 3875+'],[' 1941'],"[' 603.242s (Solving', ' 591.45s 1st Model', ' 21.99s Unsat', ' 0.00s)']",[' 598.109s'], ,[' 192993067'],"[' 7542539  (Analyzed', ' 7236085)']","[' 15171    (Average', ' 476.97 Last', ' 15550)']",[' 4132.1  '],"[' 1941     (Average Length', ' 1032.95 Splits', ' 0)']","[' 7236085  (Deleted', ' 7143050)']","[' 474      (Ratio', '   0.01%)']","[' 33253    (Ratio', '   0.46%)']","[' 7236085  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7236085  (Average', ' 25.81 Max', ' 4072 Sum', ' 186733937)']","[' 7235603  (Average', ' 25.74 Max', ' 4072 Sum', ' 186240124 Ratio', '  99.74%)']","[' 482      (Average', ' 1024.51 Max', ' 1213 Sum', ' 493813 Ratio', '   0.26%)']", ,[' 99972   '],[' 6926    '],[' 94400   '],[' 46089   '],"[' 132282   (Atom=Atom', ' 34649 Body=Body', ' 23769 Other', ' 73864)']",[' Yes'],"[' 8978     (Eliminated', '    0 Frozen', ' 8978)']","[' 4624     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.44514'],[' 0'], ,[' 299.981'],[' 0'],[' 16.6637'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.46253e+08'],[' 4.59633e+08'],[' 0'],[' 1.28532e+10'],[' 0'],[' 0'],[' 1243 '],[' 2419 '],[' 3718 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(09), , , , , , , , , ,[' 1'],[' 4385+'],[' 2196'],"[' 603.177s (Solving', ' 590.96s 1st Model', ' 196.23s Unsat', ' 0.00s)']",[' 600.406s'], ,[' 219427663'],"[' 5571521  (Analyzed', ' 5174852)']","[' 11458    (Average', ' 451.64 Last', ' 694161)']",[' 4235.5  '],"[' 2196     (Average Length', ' 1141.50 Splits', ' 0)']","[' 5174852  (Deleted', ' 5110437)']","[' 522      (Ratio', '   0.01%)']","[' 33649    (Ratio', '   0.65%)']","[' 5174852  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5174852  (Average', ' 41.05 Max', ' 4227 Sum', ' 212429170)']","[' 5174354  (Average', ' 40.94 Max', ' 4227 Sum', ' 211854712 Ratio', '  99.73%)']","[' 498      (Average', ' 1153.53 Max', ' 1363 Sum', ' 574458 Ratio', '   0.27%)']", ,[' 99451   '],[' 6852    '],[' 94120   '],[' 45722   '],"[' 132311   (Atom=Atom', ' 34711 Body=Body', ' 23639 Other', ' 73961)']",[' Yes'],"[' 9138     (Eliminated', '    0 Frozen', ' 9138)']","[' 4472     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.50352'],[' 0'], ,[' 266.251'],[' 0'],[' 17.3322'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.18325e+08'],[' 6.14165e+08'],[' 0'],[' 1.01967e+10'],[' 0'],[' 0'],[' 1158 '],[' 2174 '],[' 3334 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(10), , , , , , , , , ,[' 1'],[' 4321+'],[' 2164'],"[' 603.235s (Solving', ' 590.83s 1st Model', ' 241.41s Unsat', ' 0.00s)']",[' 597.641s'], ,[' 224975475'],"[' 5559328  (Analyzed', ' 5204173)']","[' 13144    (Average', ' 395.94 Last', ' 194946)']",[' 4122.8  '],"[' 2164     (Average Length', ' 1127.67 Splits', ' 0)']","[' 5204173  (Deleted', ' 5146393)']","[' 490      (Ratio', '   0.01%)']","[' 31373    (Ratio', '   0.60%)']","[' 5204173  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5204173  (Average', ' 41.96 Max', ' 4165 Sum', ' 218346315)']","[' 5203670  (Average', ' 41.84 Max', ' 4165 Sum', ' 217736258 Ratio', '  99.72%)']","[' 503      (Average', ' 1212.84 Max', ' 1390 Sum', ' 610057 Ratio', '   0.28%)']", ,[' 99423   '],[' 6823    '],[' 94069   '],[' 45734   '],"[' 131841   (Atom=Atom', ' 34590 Body=Body', ' 23577 Other', ' 73674)']",[' Yes'],"[' 9078     (Eliminated', '    0 Frozen', ' 9078)']","[' 4290     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.52218'],[' 0'], ,[' 268.021'],[' 0'],[' 17.7572'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.31703e+08'],[' 6.23291e+08'],[' 0'],[' 1.03213e+10'],[' 0'],[' 0'],[' 1100 '],[' 2154 '],[' 3320 '],[' 3 '],[' 0 ']
