Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
,TA51,[' 2807+'],[' 1408'],"[' 601.635s (Solving', ' 596.06s 1st Model', ' 171.47s Unsat', ' 0.00s)']",[' 600.453s'], ,[' 145043173'],"[' 18331445 (Analyzed', ' 18167930)']","[' 37578    (Average', ' 483.47 Last', ' 1415978)']",[' 2465.7  '],"[' 1408     (Average Length', ' 765.35 Splits', ' 0)']","[' 18167930 (Deleted', ' 17978175)']","[' 224      (Ratio', '   0.00%)']","[' 18757    (Ratio', '   0.10%)']","[' 18167930 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18167930 (Average', '  7.82 Max', ' 2340 Sum', ' 142053180)']","[' 18167416 (Average', '  7.80 Max', ' 2340 Sum', ' 141659026 Ratio', '  99.72%)']","[' 514      (Average', ' 766.84 Max', ' 973 Sum', ' 394154 Ratio', '   0.28%)']", ,[' 81043   '],[' 4419    '],[' 74540   '],[' 31910   '],"[' 87836    (Atom=Atom', ' 23783 Body=Body', ' 15367 Other', ' 48686)']",[' Yes'],"[' 6066     (Eliminated', '    0 Frozen', ' 6066)']","[' 3374     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.14969'],[' 0'], ,[' 366.5'],[' 0'],[' 14.1188'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.44026e+08'],[' 3.23947e+08'],[' 0'],[' 2.29904e+10'],[' 0'],[' 0'],[' 830 '],[' 1486 '],[' 2280 '],[' 2954 '],[' 4 '],[' 0 ']
,TA52,[' 2801+'],[' 1405'],"[' 601.641s (Solving', ' 596.53s 1st Model', ' 16.17s Unsat', ' 0.00s)']",[' 600.172s'], ,[' 130464569'],"[' 20989496 (Analyzed', ' 20806892)']","[' 35891    (Average', ' 579.72 Last', ' 402790)']",[' 2546.6  '],"[' 1405     (Average Length', ' 756.53 Splits', ' 0)']","[' 20806892 (Deleted', ' 20582425)']","[' 178      (Ratio', '   0.00%)']","[' 18226    (Ratio', '   0.09%)']","[' 20806892 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20806892 (Average', '  6.12 Max', ' 2468 Sum', ' 127370925)']","[' 20806341 (Average', '  6.10 Max', ' 2358 Sum', ' 126974051 Ratio', '  99.69%)']","[' 551      (Average', ' 720.28 Max', ' 913 Sum', ' 396874 Ratio', '   0.31%)']", ,[' 80708   '],[' 4414    '],[' 74310   '],[' 31757   '],"[' 87802    (Atom=Atom', ' 23760 Body=Body', ' 15352 Other', ' 48690)']",[' Yes'],"[' 6076     (Eliminated', '    0 Frozen', ' 6076)']","[' 3063     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.19752'],[' 0'], ,[' 369.759'],[' 0'],[' 13.7952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.81281e+08'],[' 2.75002e+08'],[' 0'],[' 2.3567e+10'],[' 0'],[' 0'],[' 892 '],[' 1580 '],[' 2356 '],[' 2981 '],[' 4 '],[' 0 ']
,TA53,[' 2609+'],[' 1309'],"[' 601.629s (Solving', ' 596.71s 1st Model', ' 55.25s Unsat', ' 0.00s)']",[' 600.531s'], ,[' 124112447'],"[' 21212468 (Analyzed', ' 21008996)']","[' 38484    (Average', ' 545.92 Last', ' 824705)']",[' 2669.4  '],"[' 1309     (Average Length', ' 711.44 Splits', ' 0)']","[' 21008996 (Deleted', ' 20715655)']","[' 180      (Ratio', '   0.00%)']","[' 16074    (Ratio', '   0.08%)']","[' 21008996 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21008996 (Average', '  5.76 Max', ' 3287 Sum', ' 121001160)']","[' 21008434 (Average', '  5.74 Max', ' 2631 Sum', ' 120620618 Ratio', '  99.69%)']","[' 562      (Average', ' 677.12 Max', ' 869 Sum', ' 380542 Ratio', '   0.31%)']", ,[' 81185   '],[' 4503    '],[' 74668   '],[' 32070   '],"[' 88804    (Atom=Atom', ' 24020 Body=Body', ' 15619 Other', ' 49165)']",[' Yes'],"[' 6084     (Eliminated', '    0 Frozen', ' 6084)']","[' 2366     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.11065'],[' 0'], ,[' 382.656'],[' 0'],[' 13.7237'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.2216e+08'],[' 2.26973e+08'],[' 0'],[' 2.39308e+10'],[' 0'],[' 0'],[' 873 '],[' 1541 '],[' 2281 '],[' 2967 '],[' 4 '],[' 0 ']
,TA54,[' 2911+'],[' 1460'],"[' 601.758s (Solving', ' 596.08s 1st Model', ' 95.27s Unsat', ' 0.00s)']",[' 601.141s'], ,[' 134817849'],"[' 21502104 (Analyzed', ' 21328904)']","[' 41550    (Average', ' 513.33 Last', ' 429288)']",[' 2590.4  '],"[' 1460     (Average Length', ' 781.23 Splits', ' 0)']","[' 21328904 (Deleted', ' 21081028)']","[' 201      (Ratio', '   0.00%)']","[' 19727    (Ratio', '   0.09%)']","[' 21328904 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21328904 (Average', '  6.17 Max', ' 3059 Sum', ' 131579810)']","[' 21328279 (Average', '  6.15 Max', ' 3059 Sum', ' 131134513 Ratio', '  99.66%)']","[' 625      (Average', ' 712.48 Max', ' 987 Sum', ' 445297 Ratio', '   0.34%)']", ,[' 81226   '],[' 4477    '],[' 74809   '],[' 32103   '],"[' 88865    (Atom=Atom', ' 24067 Body=Body', ' 15541 Other', ' 49257)']",[' Yes'],"[' 6152     (Eliminated', '    0 Frozen', ' 6152)']","[' 2883     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22294'],[' 0'], ,[' 367.415'],[' 0'],[' 13.3652'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.8063e+08'],[' 2.71622e+08'],[' 0'],[' 2.29023e+10'],[' 0'],[' 0'],[' 948 '],[' 1569 '],[' 2216 '],[' 2869 '],[' 4 '],[' 0 ']
UNSATISFIABLE,TA55,[' 2859'],[' 1434'],"[' 459.095s (Solving', ' 453.45s 1st Model', ' 65.63s Unsat', ' 110.35s)']",[' 458.359s'], ,[' 91953093'],"[' 18126971 (Analyzed', ' 17846615)']","[' 35267    (Average', ' 506.04 Last', ' 294422)']",[' 2964.8  '],"[' 1434     (Average Length', ' 782.81 Splits', ' 0)']","[' 17846615 (Deleted', ' 17657210)']","[' 161      (Ratio', '   0.00%)']","[' 11668    (Ratio', '   0.07%)']","[' 17846615 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17846615 (Average', '  4.95 Max', ' 2933 Sum', ' 88299632)']","[' 17846086 (Average', '  4.93 Max', ' 2933 Sum', ' 87923212 Ratio', '  99.57%)']","[' 529      (Average', ' 711.57 Max', ' 995 Sum', ' 376420 Ratio', '   0.43%)']", ,[' 80831   '],[' 4458    '],[' 74496   '],[' 31884   '],"[' 88492    (Atom=Atom', ' 23965 Body=Body', ' 15484 Other', ' 49043)']",[' Yes'],"[' 6120     (Eliminated', '    0 Frozen', ' 6120)']","[' 1783     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.25274'],[' 0'], ,[' 277.21'],[' 0'],[' 9.5776'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.49395e+08'],[' 1.71095e+08'],[' 0'],[' 1.65935e+10'],[' 0'],[' 0'],[' 956 '],[' 1654 '],[' 2304 '],[' 2972 '],[' 2 '],[' 2 ']
,TA56,[' 2521+'],[' 1265'],"[' 601.438s (Solving', ' 596.50s 1st Model', ' 6.38s Unsat', ' 0.00s)']",[' 599.891s'], ,[' 89778832'],"[' 25332870 (Analyzed', ' 25096069)']","[' 43733    (Average', ' 573.85 Last', ' 681395)']",[' 2840.9  '],"[' 1265     (Average Length', ' 682.92 Splits', ' 0)']","[' 25096069 (Deleted', ' 24858115)']","[' 65       (Ratio', '   0.00%)']","[' 10296    (Ratio', '   0.04%)']","[' 25096069 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25096069 (Average', '  3.44 Max', ' 3186 Sum', ' 86328769)']","[' 25095462 (Average', '  3.42 Max', ' 2911 Sum', ' 85953839 Ratio', '  99.57%)']","[' 607      (Average', ' 617.68 Max', ' 776 Sum', ' 374930 Ratio', '   0.43%)']", ,[' 80278   '],[' 4458    '],[' 73963   '],[' 31526   '],"[' 88040    (Atom=Atom', ' 23796 Body=Body', ' 15484 Other', ' 48760)']",[' Yes'],"[' 5982     (Eliminated', '    0 Frozen', ' 5982)']","[' 1642     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09354'],[' 0'], ,[' 409.648'],[' 0'],[' 12.0077'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.98286e+08'],[' 1.22026e+08'],[' 0'],[' 2.7594e+10'],[' 0'],[' 0'],[' 1029 '],[' 1714 '],[' 2473 '],[' 3147 '],[' 4 '],[' 0 ']
,TA57,[' 2341+'],[' 1175'],"[' 601.205s (Solving', ' 596.89s 1st Model', ' 9.33s Unsat', ' 0.00s)']",[' 600.406s'], ,[' 123148714'],"[' 23045729 (Analyzed', ' 22849859)']","[' 40488    (Average', ' 564.36 Last', ' 184586)']",[' 2532.6  '],"[' 1175     (Average Length', ' 650.42 Splits', ' 0)']","[' 22849859 (Deleted', ' 22590305)']","[' 165      (Ratio', '   0.00%)']","[' 16555    (Ratio', '   0.07%)']","[' 22849859 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22849859 (Average', '  5.26 Max', ' 2891 Sum', ' 120202967)']","[' 22849347 (Average', '  5.25 Max', ' 2793 Sum', ' 119860314 Ratio', '  99.71%)']","[' 512      (Average', ' 669.24 Max', ' 815 Sum', ' 342653 Ratio', '   0.29%)']", ,[' 80399   '],[' 4490    '],[' 73952   '],[' 31608   '],"[' 88216    (Atom=Atom', ' 23834 Body=Body', ' 15580 Other', ' 48802)']",[' Yes'],"[' 5931     (Eliminated', '    0 Frozen', ' 5931)']","[' 3055     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.949516'],[' 0'], ,[' 381.84'],[' 0'],[' 12.5365'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.23432e+08'],[' 2.26621e+08'],[' 0'],[' 2.51535e+10'],[' 0'],[' 0'],[' 1081 '],[' 1940 '],[' 2640 '],[' 3290 '],[' 4 '],[' 0 ']
UNSATISFIABLE,TA58,[' 2695'],[' 1352'],"[' 463.324s (Solving', ' 458.01s 1st Model', ' 10.41s Unsat', ' 1.98s)']",[' 462.266s'], ,[' 96163972'],"[' 19186878 (Analyzed', ' 19001330)']","[' 36016    (Average', ' 527.58 Last', ' 87229)']",[' 2549.1  '],"[' 1352     (Average Length', ' 738.25 Splits', ' 0)']","[' 19001330 (Deleted', ' 18789606)']","[' 138      (Ratio', '   0.00%)']","[' 12516    (Ratio', '   0.07%)']","[' 19001330 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19001330 (Average', '  4.91 Max', ' 2985 Sum', ' 93242118)']","[' 19000730 (Average', '  4.88 Max', ' 2678 Sum', ' 92777432 Ratio', '  99.50%)']","[' 600      (Average', ' 774.48 Max', ' 959 Sum', ' 464686 Ratio', '   0.50%)']", ,[' 80686   '],[' 4443    '],[' 74333   '],[' 31711   '],"[' 88055    (Atom=Atom', ' 23823 Body=Body', ' 15439 Other', ' 48793)']",[' Yes'],"[' 6043     (Eliminated', '    0 Frozen', ' 6043)']","[' 2385     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.07297'],[' 0'], ,[' 278.465'],[' 0'],[' 9.76612'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.77536e+08'],[' 1.93461e+08'],[' 0'],[' 1.7537e+10'],[' 0'],[' 0'],[' 882 '],[' 1702 '],[' 2447 '],[' 3130 '],[' 3 '],[' 1 ']
,TA59,[' 2503+'],[' 1256'],"[' 601.367s (Solving', ' 596.24s 1st Model', ' 15.13s Unsat', ' 0.00s)']",[' 600.109s'], ,[' 116213863'],"[' 22676726 (Analyzed', ' 22495704)']","[' 41499    (Average', ' 542.08 Last', ' 119201)']",[' 2578.2  '],"[' 1256     (Average Length', ' 695.84 Splits', ' 0)']","[' 22495704 (Deleted', ' 22225814)']","[' 185      (Ratio', '   0.00%)']","[' 16315    (Ratio', '   0.07%)']","[' 22495704 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22495704 (Average', '  5.03 Max', ' 2413 Sum', ' 113212905)']","[' 22495158 (Average', '  5.02 Max', ' 2413 Sum', ' 112873476 Ratio', '  99.70%)']","[' 546      (Average', ' 621.66 Max', ' 833 Sum', ' 339429 Ratio', '   0.30%)']", ,[' 80558   '],[' 4421    '],[' 74057   '],[' 31597   '],"[' 87394    (Atom=Atom', ' 23639 Body=Body', ' 15373 Other', ' 48382)']",[' Yes'],"[' 5945     (Eliminated', '    0 Frozen', ' 5945)']","[' 2754     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09833'],[' 0'], ,[' 380.611'],[' 0'],[' 12.67'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.23505e+08'],[' 2.28076e+08'],[' 0'],[' 2.44138e+10'],[' 0'],[' 0'],[' 782 '],[' 1492 '],[' 2228 '],[' 2924 '],[' 4 '],[' 0 ']
,TA60,[' 2643+'],[' 1326'],"[' 601.210s (Solving', ' 596.31s 1st Model', ' 19.98s Unsat', ' 0.00s)']",[' 599.750s'], ,[' 139459571'],"[' 18748528 (Analyzed', ' 18617378)']","[' 34610    (Average', ' 537.92 Last', ' 185222)']",[' 2440.4  '],"[' 1326     (Average Length', ' 707.60 Splits', ' 0)']","[' 18617378 (Deleted', ' 18420173)']","[' 214      (Ratio', '   0.00%)']","[' 20324    (Ratio', '   0.11%)']","[' 18617378 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18617378 (Average', '  7.34 Max', ' 2499 Sum', ' 136613512)']","[' 18616865 (Average', '  7.32 Max', ' 2499 Sum', ' 136256944 Ratio', '  99.74%)']","[' 513      (Average', ' 695.06 Max', ' 859 Sum', ' 356568 Ratio', '   0.26%)']", ,[' 80724   '],[' 4434    '],[' 74212   '],[' 31771   '],"[' 87842    (Atom=Atom', ' 23761 Body=Body', ' 15412 Other', ' 48669)']",[' Yes'],"[' 5991     (Eliminated', '    0 Frozen', ' 5991)']","[' 3598     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12643'],[' 0'], ,[' 373.361'],[' 0'],[' 13.8681'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.02567e+08'],[' 2.93563e+08'],[' 0'],[' 2.35687e+10'],[' 0'],[' 0'],[' 774 '],[' 1611 '],[' 2270 '],[' 2899 '],[' 4 '],[' 0 ']
