Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 9127+'],[' 4568'],"[' 1021.105s (Solving', ' 945.10s 1st Model', ' 615.78s Unsat', ' 0.00s)']",[' 1014.969s'], ,[' 536343941'],"[' 3219534  (Analyzed', ' 836653)']","[' 4922     (Average', ' 169.98 Last', ' 39797)']",[' 11898.5 '],"[' 4568     (Average Length', ' 2338.83 Splits', ' 0)']","[' 836653   (Deleted', ' 746983)']","[' 106      (Ratio', '   0.01%)']","[' 74985    (Ratio', '   8.96%)']","[' 836653   (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 836653   (Average', ' 594.79 Max', ' 13937 Sum', ' 497636387)']","[' 833690   (Average', ' 585.71 Max', ' 13937 Sum', ' 490039633 Ratio', '  98.47%)']","[' 2963     (Average', ' 2563.87 Max', ' 3075 Sum', ' 7596754 Ratio', '   1.53%)']", ,[' 390846  '],[' 24454   '],[' 353643  '],[' 159795  '],"[' 439198   (Atom=Atom', ' 114897 Body=Body', ' 78922 Other', ' 245379)']",[' Yes'],"[' 29326    (Eliminated', '    0 Frozen', ' 29326)']","[' 13428    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6224'],[' 0'], ,[' 265.914'],[' 0'],[' 32.1616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06019e+09'],[' 9.69056e+08'],[' 0'],[' 6.9844e+09'],[' 0'],[' 0'],[' 1881 '],[' 3566 '],[' 4911 '],[' 6012 '],[' 4 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 10073+'],[' 5041'],"[' 1022.251s (Solving', ' 942.09s 1st Model', ' 607.79s Unsat', ' 0.00s)']",[' 1016.797s'], ,[' 556002412'],"[' 3115473  (Analyzed', ' 893296)']","[' 5269     (Average', ' 169.54 Last', ' 53166)']",[' 11959.3 '],"[' 5041     (Average Length', ' 2561.86 Splits', ' 0)']","[' 893296   (Deleted', ' 796767)']","[' 93       (Ratio', '   0.01%)']","[' 76702    (Ratio', '   8.59%)']","[' 893296   (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 893296   (Average', ' 575.54 Max', ' 13482 Sum', ' 514123944)']","[' 890309   (Average', ' 566.56 Max', ' 13482 Sum', ' 506104283 Ratio', '  98.44%)']","[' 2987     (Average', ' 2684.85 Max', ' 3461 Sum', ' 8019661 Ratio', '   1.56%)']", ,[' 392845  '],[' 24176   '],[' 355275  '],[' 159943  '],"[' 436394   (Atom=Atom', ' 114258 Body=Body', ' 78088 Other', ' 244048)']",[' Yes'],"[' 29338    (Eliminated', '    0 Frozen', ' 29338)']","[' 13786    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.2233'],[' 0'], ,[' 259.624'],[' 0'],[' 32.3541'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13782e+09'],[' 1.03787e+09'],[' 0'],[' 7.01745e+09'],[' 0'],[' 0'],[' 1592 '],[' 3042 '],[' 4440 '],[' 5688 '],[' 4 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 10105+'],[' 5057'],"[' 1022.182s (Solving', ' 941.27s 1st Model', ' 603.08s Unsat', ' 0.00s)']",[' 1016.688s'], ,[' 560800204'],"[' 2731268  (Analyzed', ' 1018181)']","[' 5439     (Average', ' 187.20 Last', ' 162806)']",[' 11982.8 '],"[' 5057     (Average Length', ' 2538.90 Splits', ' 0)']","[' 1018181  (Deleted', ' 920680)']","[' 122      (Ratio', '   0.01%)']","[' 76461    (Ratio', '   7.51%)']","[' 1018181  (Average Length', '   24.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1018181  (Average', ' 509.02 Max', ' 13476 Sum', ' 518279202)']","[' 1015467  (Average', ' 501.84 Max', ' 13476 Sum', ' 510967400 Ratio', '  98.59%)']","[' 2714     (Average', ' 2694.11 Max', ' 3351 Sum', ' 7311802 Ratio', '   1.41%)']", ,[' 392359  '],[' 24356   '],[' 355369  '],[' 160156  '],"[' 439213   (Atom=Atom', ' 114994 Body=Body', ' 78628 Other', ' 245591)']",[' Yes'],"[' 29635    (Eliminated', '    0 Frozen', ' 29635)']","[' 13940    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.4176'],[' 0'], ,[' 254.11'],[' 0'],[' 32.2131'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14963e+09'],[' 1.04755e+09'],[' 0'],[' 6.1361e+09'],[' 0'],[' 0'],[' 1834 '],[' 3325 '],[' 4828 '],[' 6041 '],[' 4 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 9471+'],[' 4740'],"[' 1021.286s (Solving', ' 944.34s 1st Model', ' 606.76s Unsat', ' 0.00s)']",[' 1016.203s'], ,[' 555133950'],"[' 2438321  (Analyzed', ' 845172)']","[' 5007     (Average', ' 168.80 Last', ' 68788)']",[' 11830.7 '],"[' 4740     (Average Length', ' 2406.38 Splits', ' 0)']","[' 845172   (Deleted', ' 748015)']","[' 86       (Ratio', '   0.01%)']","[' 74453    (Ratio', '   8.81%)']","[' 845172   (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 845172   (Average', ' 610.28 Max', ' 15586 Sum', ' 515791307)']","[' 842437   (Average', ' 601.74 Max', ' 13644 Sum', ' 508574052 Ratio', '  98.60%)']","[' 2735     (Average', ' 2638.85 Max', ' 6307 Sum', ' 7217255 Ratio', '   1.40%)']", ,[' 392654  '],[' 24281   '],[' 355004  '],[' 160000  '],"[' 437076   (Atom=Atom', ' 114377 Body=Body', ' 78403 Other', ' 244296)']",[' Yes'],"[' 29300    (Eliminated', '    0 Frozen', ' 29300)']","[' 13132    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.7843'],[' 0'], ,[' 254.342'],[' 0'],[' 32.722'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13302e+09'],[' 1.03795e+09'],[' 0'],[' 5.69833e+09'],[' 0'],[' 0'],[' 1681 '],[' 3111 '],[' 4462 '],[' 5813 '],[' 4 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 10671+'],[' 5340'],"[' 1025.319s (Solving', ' 934.28s 1st Model', ' 562.93s Unsat', ' 0.00s)']",[' 1017.094s'], ,[' 495984327'],"[' 2811088  (Analyzed', ' 785087)']","[' 4992     (Average', ' 157.27 Last', ' 88764)']",[' 12145.8 '],"[' 5340     (Average Length', ' 2651.32 Splits', ' 0)']","[' 785087   (Deleted', ' 700450)']","[' 108      (Ratio', '   0.01%)']","[' 67172    (Ratio', '   8.56%)']","[' 785087   (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 785087   (Average', ' 575.43 Max', ' 14665 Sum', ' 451760458)']","[' 782106   (Average', ' 564.13 Max', ' 14107 Sum', ' 442892849 Ratio', '  98.04%)']","[' 2981     (Average', ' 2974.71 Max', ' 3565 Sum', ' 8867609 Ratio', '   1.96%)']", ,[' 393525  '],[' 24406   '],[' 356335  '],[' 161054  '],"[' 440738   (Atom=Atom', ' 115477 Body=Body', ' 78778 Other', ' 246483)']",[' Yes'],"[' 29836    (Eliminated', '    0 Frozen', ' 29836)']","[' 12174    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.4035'],[' 0'], ,[' 251.134'],[' 0'],[' 30.8179'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.45047e+08'],[' 8.62182e+08'],[' 0'],[' 5.98868e+09'],[' 0'],[' 0'],[' 1721 '],[' 3334 '],[' 4702 '],[' 5901 '],[' 4 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 9827+'],[' 4918'],"[' 1023.996s (Solving', ' 937.66s 1st Model', ' 617.46s Unsat', ' 0.00s)']",[' 1013.141s'], ,[' 468621716'],"[' 2743937  (Analyzed', ' 717557)']","[' 4696     (Average', ' 152.80 Last', ' 87481)']",[' 11935.3 '],"[' 4918     (Average Length', ' 2479.34 Splits', ' 0)']","[' 717557   (Deleted', ' 635047)']","[' 75       (Ratio', '   0.01%)']","[' 62574    (Ratio', '   8.72%)']","[' 717557   (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 717557   (Average', ' 594.79 Max', ' 14278 Sum', ' 426797508)']","[' 715039   (Average', ' 585.06 Max', ' 14278 Sum', ' 419811497 Ratio', '  98.36%)']","[' 2518     (Average', ' 2774.43 Max', ' 3325 Sum', ' 6986011 Ratio', '   1.64%)']", ,[' 392989  '],[' 24253   '],[' 355205  '],[' 160356  '],"[' 437116   (Atom=Atom', ' 114443 Body=Body', ' 78319 Other', ' 244354)']",[' Yes'],"[' 29428    (Eliminated', '    0 Frozen', ' 29428)']","[' 11894    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.9109'],[' 0'], ,[' 253.138'],[' 0'],[' 31.8123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.12264e+08'],[' 8.32444e+08'],[' 0'],[' 5.40582e+09'],[' 0'],[' 0'],[' 1714 '],[' 3131 '],[' 4581 '],[' 5845 '],[' 4 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 9449+'],[' 4729'],"[' 1022.492s (Solving', ' 940.35s 1st Model', ' 580.95s Unsat', ' 0.00s)']",[' 1010.891s'], ,[' 501118078'],"[' 2716511  (Analyzed', ' 849623)']","[' 4785     (Average', ' 177.56 Last', ' 102229)']",[' 11854.1 '],"[' 4729     (Average Length', ' 2384.86 Splits', ' 0)']","[' 849623   (Deleted', ' 767268)']","[' 89       (Ratio', '   0.01%)']","[' 67388    (Ratio', '   7.93%)']","[' 849623   (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 849623   (Average', ' 543.62 Max', ' 15307 Sum', ' 461873801)']","[' 846701   (Average', ' 534.49 Max', ' 13826 Sum', ' 454114468 Ratio', '  98.32%)']","[' 2922     (Average', ' 2655.49 Max', ' 3171 Sum', ' 7759333 Ratio', '   1.68%)']", ,[' 390389  '],[' 24227   '],[' 353649  '],[' 158737  '],"[' 436157   (Atom=Atom', ' 114150 Body=Body', ' 78241 Other', ' 243766)']",[' Yes'],"[' 29218    (Eliminated', '    0 Frozen', ' 29218)']","[' 12925    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7873'],[' 0'], ,[' 261.242'],[' 0'],[' 32.3045'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.63973e+08'],[' 8.75896e+08'],[' 0'],[' 5.78176e+09'],[' 0'],[' 0'],[' 1740 '],[' 3289 '],[' 4653 '],[' 5859 '],[' 4 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 9153+'],[' 4581'],"[' 886.638s (Solving', ' 806.19s 1st Model', ' 462.99s Unsat', ' 0.00s)']",[' 877.250s'], ,[' 407867242'],"[' 2612541  (Analyzed', ' 619513)']","[' 4127     (Average', ' 150.11 Last', ' 44706)']",[' 12269.2 '],"[' 4580     (Average Length', ' 2317.59 Splits', ' 0)']","[' 619513   (Deleted', ' 537615)']","[' 72       (Ratio', '   0.01%)']","[' 55025    (Ratio', '   8.88%)']","[' 619513   (Average Length', '   23.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 619513   (Average', ' 592.54 Max', ' 15794 Sum', ' 367088917)']","[' 616803   (Average', ' 581.30 Max', ' 15794 Sum', ' 360119949 Ratio', '  98.10%)']","[' 2710     (Average', ' 2571.57 Max', ' 3016 Sum', ' 6968968 Ratio', '   1.90%)']", ,[' 393205  '],[' 24377   '],[' 355182  '],[' 160510  '],"[' 438086   (Atom=Atom', ' 114602 Body=Body', ' 78691 Other', ' 244793)']",[' Yes'],"[' 29301    (Eliminated', '    0 Frozen', ' 29301)']","[' 10073    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.3857'],[' 0'], ,[' 216.976'],[' 0'],[' 26.4226'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.79872e+08'],[' 7.10434e+08'],[' 0'],[' 5.11034e+09'],[' 0'],[' 0'],[' 1697 '],[' 3240 '],[' 4916 '],[' 5940 '],[' 4 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 10007+'],[' 5008'],"[' 1024.041s (Solving', ' 937.31s 1st Model', ' 591.43s Unsat', ' 0.00s)']",[' 1011.891s'], ,[' 502644510'],"[' 3180621  (Analyzed', ' 674304)']","[' 4727     (Average', ' 142.65 Last', ' 88497)']",[' 12083.9 '],"[' 5008     (Average Length', ' 2527.93 Splits', ' 0)']","[' 674304   (Deleted', ' 587827)']","[' 69       (Ratio', '   0.01%)']","[' 64949    (Ratio', '   9.63%)']","[' 674304   (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 674304   (Average', ' 681.35 Max', ' 15885 Sum', ' 459433689)']","[' 671550   (Average', ' 670.36 Max', ' 14127 Sum', ' 452025671 Ratio', '  98.39%)']","[' 2754     (Average', ' 2689.91 Max', ' 3334 Sum', ' 7408018 Ratio', '   1.61%)']", ,[' 394294  '],[' 24440   '],[' 356626  '],[' 161148  '],"[' 440291   (Atom=Atom', ' 115281 Body=Body', ' 78880 Other', ' 246130)']",[' Yes'],"[' 29658    (Eliminated', '    0 Frozen', ' 29658)']","[' 11907    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.5122'],[' 0'], ,[' 256.534'],[' 0'],[' 31.7237'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.51524e+08'],[' 8.72853e+08'],[' 0'],[' 6.18948e+09'],[' 0'],[' 0'],[' 1665 '],[' 3111 '],[' 4562 '],[' 5791 '],[' 4 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 10203+'],[' 5106'],"[' 1023.786s (Solving', ' 937.11s 1st Model', ' 551.97s Unsat', ' 0.00s)']",[' 1015.844s'], ,[' 492517846'],"[' 3580955  (Analyzed', ' 728035)']","[' 4898     (Average', ' 148.64 Last', ' 94355)']",[' 12541.4 '],"[' 5106     (Average Length', ' 2572.01 Splits', ' 0)']","[' 728035   (Deleted', ' 645449)']","[' 88       (Ratio', '   0.01%)']","[' 66298    (Ratio', '   9.11%)']","[' 728035   (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 728035   (Average', ' 612.48 Max', ' 14781 Sum', ' 445909032)']","[' 725365   (Average', ' 602.14 Max', ' 14781 Sum', ' 438376708 Ratio', '  98.31%)']","[' 2670     (Average', ' 2821.10 Max', ' 3435 Sum', ' 7532324 Ratio', '   1.69%)']", ,[' 391859  '],[' 24497   '],[' 355268  '],[' 160265  '],"[' 441357   (Atom=Atom', ' 115607 Body=Body', ' 79051 Other', ' 246699)']",[' Yes'],"[' 29718    (Eliminated', '    0 Frozen', ' 29718)']","[' 11955    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.606'],[' 0'], ,[' 260.655'],[' 0'],[' 31.1055'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.25737e+08'],[' 8.43268e+08'],[' 0'],[' 6.76049e+09'],[' 0'],[' 0'],[' 1842 '],[' 3277 '],[' 4559 '],[' 5845 '],[' 4 '],[' 0 ']
