Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 5331+'],[' 2672'],"[' 1023.950s (Solving', ' 990.53s 1st Model', ' 47.64s Unsat', ' 0.00s)']",[' 1002.516s'], ,[' 267595484'],"[' 15560112 (Analyzed', ' 14838649)']","[' 28667    (Average', ' 517.62 Last', ' 50398)']",[' 9040.9  '],"[' 2672     (Average Length', ' 1451.42 Splits', ' 0)']","[' 14838649 (Deleted', ' 14694372)']","[' 33       (Ratio', '   0.00%)']","[' 24981    (Ratio', '   0.17%)']","[' 14838649 (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14838649 (Average', ' 16.83 Max', ' 12166 Sum', ' 249724514)']","[' 14835740 (Average', ' 16.55 Max', ' 11797 Sum', ' 245652791 Ratio', '  98.37%)']","[' 2909     (Average', ' 1399.70 Max', ' 1924 Sum', ' 4071723 Ratio', '   1.63%)']", ,[' 319992  '],[' 16721   '],[' 289384  '],[' 116390  '],"[' 306861   (Atom=Atom', ' 83257 Body=Body', ' 55941 Other', ' 167663)']",[' Yes'],"[' 20439    (Eliminated', '    0 Frozen', ' 20439)']","[' 4498     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.36573'],[' 0'], ,[' 639.689'],[' 0'],[' 24.9011'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.92174e+08'],[' 3.21186e+08'],[' 0'],[' 3.96169e+10'],[' 0'],[' 0'],[' 1516 '],[' 2712 '],[' 3404 '],[' 5039 '],[' 5559 '],[' 6591 '],[' 6 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 5673+'],[' 2843'],"[' 1009.071s (Solving', ' 975.27s 1st Model', ' 48.19s Unsat', ' 0.00s)']",[' 1006.203s'], ,[' 259734766'],"[' 17669139 (Analyzed', ' 16696338)']","[' 30626    (Average', ' 545.17 Last', ' 63387)']",[' 9143.1  '],"[' 2843     (Average Length', ' 1519.22 Splits', ' 0)']","[' 16696338 (Deleted', ' 16530565)']","[' 30       (Ratio', '   0.00%)']","[' 22016    (Ratio', '   0.13%)']","[' 16696338 (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16696338 (Average', ' 14.40 Max', ' 13426 Sum', ' 240383525)']","[' 16693461 (Average', ' 14.14 Max', ' 11635 Sum', ' 236130414 Ratio', '  98.23%)']","[' 2877     (Average', ' 1478.31 Max', ' 1951 Sum', ' 4253111 Ratio', '   1.77%)']", ,[' 319409  '],[' 16447   '],[' 289087  '],[' 115447  '],"[' 303260   (Atom=Atom', ' 82332 Body=Body', ' 55119 Other', ' 165809)']",[' Yes'],"[' 20321    (Eliminated', '    0 Frozen', ' 20321)']","[' 4185     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.7309'],[' 0'], ,[' 629.371'],[' 0'],[' 23.8109'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.90852e+08'],[' 3.17382e+08'],[' 0'],[' 3.79643e+10'],[' 0'],[' 0'],[' 1283 '],[' 2270 '],[' 3367 '],[' 4261 '],[' 5178 '],[' 6114 '],[' 6 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 5087+'],[' 2550'],"[' 1011.795s (Solving', ' 972.24s 1st Model', ' 65.54s Unsat', ' 0.00s)']",[' 1006.172s'], ,[' 234161769'],"[' 13032479 (Analyzed', ' 12246638)']","[' 25075    (Average', ' 488.40 Last', ' 42252)']",[' 9052.1  '],"[' 2550     (Average Length', ' 1375.45 Splits', ' 0)']","[' 12246638 (Deleted', ' 12124166)']","[' 16       (Ratio', '   0.00%)']","[' 19157    (Ratio', '   0.16%)']","[' 12246638 (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12246638 (Average', ' 17.69 Max', ' 12420 Sum', ' 216671654)']","[' 12243987 (Average', ' 17.39 Max', ' 12420 Sum', ' 213004725 Ratio', '  98.31%)']","[' 2651     (Average', ' 1383.22 Max', ' 1804 Sum', ' 3666929 Ratio', '   1.69%)']", ,[' 318686  '],[' 16600   '],[' 288777  '],[' 115030  '],"[' 304686   (Atom=Atom', ' 82651 Body=Body', ' 55578 Other', ' 166457)']",[' Yes'],"[' 20222    (Eliminated', '    0 Frozen', ' 20222)']","[' 3402     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.77462'],[' 0'], ,[' 602.689'],[' 0'],[' 24.1188'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.23362e+08'],[' 2.63564e+08'],[' 0'],[' 2.66598e+10'],[' 0'],[' 0'],[' 1570 '],[' 2832 '],[' 3599 '],[' 4517 '],[' 5507 '],[' 6588 '],[' 6 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 5581+'],[' 2797'],"[' 1013.191s (Solving', ' 967.90s 1st Model', ' 67.70s Unsat', ' 0.00s)']",[' 1008.563s'], ,[' 197874097'],"[' 10881163 (Analyzed', ' 10342096)']","[' 21069    (Average', ' 490.87 Last', ' 107055)']",[' 8343.8  '],"[' 2797     (Average Length', ' 1489.70 Splits', ' 0)']","[' 10342096 (Deleted', ' 10208472)']","[' 58       (Ratio', '   0.00%)']","[' 26782    (Ratio', '   0.26%)']","[' 10342096 (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10342096 (Average', ' 17.56 Max', ' 11106 Sum', ' 181617205)']","[' 10339263 (Average', ' 17.15 Max', ' 11106 Sum', ' 177362883 Ratio', '  97.66%)']","[' 2833     (Average', ' 1501.70 Max', ' 1933 Sum', ' 4254322 Ratio', '   2.34%)']", ,[' 319182  '],[' 16331   '],[' 288596  '],[' 115149  '],"[' 301204   (Atom=Atom', ' 81822 Body=Body', ' 54771 Other', ' 164611)']",[' Yes'],"[' 20130    (Eliminated', '    0 Frozen', ' 20130)']","[' 5026     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.58697'],[' 0'], ,[' 584.135'],[' 0'],[' 23.3205'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.57716e+08'],[' 2.94337e+08'],[' 0'],[' 2.75685e+10'],[' 0'],[' 0'],[' 1108 '],[' 2273 '],[' 3519 '],[' 4650 '],[' 5101 '],[' 6015 '],[' 6 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 5749+'],[' 2881'],"[' 1013.048s (Solving', ' 968.52s 1st Model', ' 71.17s Unsat', ' 0.00s)']",[' 1006.813s'], ,[' 209339560'],"[' 12457847 (Analyzed', ' 11523479)']","[' 22791    (Average', ' 505.62 Last', ' 82269)']",[' 8631.4  '],"[' 2881     (Average Length', ' 1538.49 Splits', ' 0)']","[' 11523479 (Deleted', ' 11396770)']","[' 32       (Ratio', '   0.00%)']","[' 21330    (Ratio', '   0.19%)']","[' 11523479 (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11523479 (Average', ' 16.61 Max', ' 11913 Sum', ' 191381660)']","[' 11520804 (Average', ' 16.24 Max', ' 11913 Sum', ' 187190647 Ratio', '  97.81%)']","[' 2675     (Average', ' 1566.73 Max', ' 2151 Sum', ' 4191013 Ratio', '   2.19%)']", ,[' 323024  '],[' 16815   '],[' 292280  '],[' 117576  '],"[' 308911   (Atom=Atom', ' 83842 Body=Body', ' 56223 Other', ' 168846)']",[' Yes'],"[' 20736    (Eliminated', '    0 Frozen', ' 20736)']","[' 3941     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.28925'],[' 0'], ,[' 588.667'],[' 0'],[' 23.5324'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.13762e+08'],[' 2.57432e+08'],[' 0'],[' 2.71784e+10'],[' 0'],[' 0'],[' 1261 '],[' 2290 '],[' 3407 '],[' 4607 '],[' 5307 '],[' 6550 '],[' 6 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 5701+'],[' 2857'],"[' 1015.911s (Solving', ' 964.17s 1st Model', ' 69.69s Unsat', ' 0.00s)']",[' 1005.906s'], ,[' 193635720'],"[' 10727589 (Analyzed', ' 10105957)']","[' 21027    (Average', ' 480.62 Last', ' 23393)']",[' 8333.9  '],"[' 2857     (Average Length', ' 1524.26 Splits', ' 0)']","[' 10105957 (Deleted', ' 9984854)']","[' 40       (Ratio', '   0.00%)']","[' 25473    (Ratio', '   0.25%)']","[' 10105957 (Average Length', '   22.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10105957 (Average', ' 17.58 Max', ' 12262 Sum', ' 177671441)']","[' 10102813 (Average', ' 17.10 Max', ' 10885 Sum', ' 172836472 Ratio', '  97.28%)']","[' 3144     (Average', ' 1537.84 Max', ' 2053 Sum', ' 4834969 Ratio', '   2.72%)']", ,[' 321137  '],[' 16519   '],[' 290375  '],[' 116304  '],"[' 304257   (Atom=Atom', ' 82634 Body=Body', ' 55335 Other', ' 166288)']",[' Yes'],"[' 20429    (Eliminated', '    0 Frozen', ' 20429)']","[' 4808     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.58219'],[' 0'], ,[' 573.086'],[' 0'],[' 23.0453'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.13766e+08'],[' 2.57696e+08'],[' 0'],[' 2.48555e+10'],[' 0'],[' 0'],[' 1287 '],[' 2367 '],[' 3332 '],[' 4290 '],[' 5155 '],[' 6230 '],[' 6 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 5697+'],[' 2855'],"[' 1013.239s (Solving', ' 968.46s 1st Model', ' 75.01s Unsat', ' 0.00s)']",[' 1001.672s'], ,[' 208088191'],"[' 12035538 (Analyzed', ' 10988960)']","[' 22380    (Average', ' 491.02 Last', ' 67215)']",[' 9047.6  '],"[' 2855     (Average Length', ' 1510.44 Splits', ' 0)']","[' 10988960 (Deleted', ' 10872828)']","[' 26       (Ratio', '   0.00%)']","[' 19904    (Ratio', '   0.18%)']","[' 10988960 (Average Length', '   21.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10988960 (Average', ' 17.18 Max', ' 12118 Sum', ' 188809207)']","[' 10986326 (Average', ' 16.82 Max', ' 12118 Sum', ' 184843653 Ratio', '  97.90%)']","[' 2634     (Average', ' 1505.53 Max', ' 2033 Sum', ' 3965554 Ratio', '   2.10%)']", ,[' 319593  '],[' 16440   '],[' 289493  '],[' 115301  '],"[' 302906   (Atom=Atom', ' 82316 Body=Body', ' 55098 Other', ' 165492)']",[' Yes'],"[' 20296    (Eliminated', '    0 Frozen', ' 20296)']","[' 3121     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.58969'],[' 0'], ,[' 587.505'],[' 0'],[' 23.3618'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.94656e+08'],[' 2.41119e+08'],[' 0'],[' 2.64061e+10'],[' 0'],[' 0'],[' 1332 '],[' 2394 '],[' 3200 '],[' 4140 '],[' 5145 '],[' 6152 '],[' 6 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 5147+'],[' 2580'],"[' 1010.196s (Solving', ' 975.85s 1st Model', ' 47.23s Unsat', ' 0.00s)']",[' 1005.438s'], ,[' 234412045'],"[' 17191730 (Analyzed', ' 16147418)']","[' 30511    (Average', ' 529.23 Last', ' 26068)']",[' 8943.8  '],"[' 2580     (Average Length', ' 1401.24 Splits', ' 0)']","[' 16147418 (Deleted', ' 15996052)']","[' 32       (Ratio', '   0.00%)']","[' 18077    (Ratio', '   0.11%)']","[' 16147418 (Average Length', '   21.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16147418 (Average', ' 13.44 Max', ' 12116 Sum', ' 217037306)']","[' 16144505 (Average', ' 13.19 Max', ' 12116 Sum', ' 213014902 Ratio', '  98.15%)']","[' 2913     (Average', ' 1380.85 Max', ' 1832 Sum', ' 4022404 Ratio', '   1.85%)']", ,[' 318902  '],[' 16577   '],[' 288733  '],[' 115301  '],"[' 304266   (Atom=Atom', ' 82589 Body=Body', ' 55509 Other', ' 166168)']",[' Yes'],"[' 20238    (Eliminated', '    0 Frozen', ' 20238)']","[' 3317     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.64822'],[' 0'], ,[' 633.746'],[' 0'],[' 23.4026'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.36571e+08'],[' 2.73225e+08'],[' 0'],[' 3.3803e+10'],[' 0'],[' 0'],[' 1324 '],[' 2336 '],[' 3418 '],[' 4524 '],[' 5704 '],[' 6635 '],[' 6 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 5977+'],[' 2995'],"[' 1012.017s (Solving', ' 970.32s 1st Model', ' 54.96s Unsat', ' 0.00s)']",[' 1007.281s'], ,[' 223561661'],"[' 11721463 (Analyzed', ' 11289499)']","[' 22812    (Average', ' 494.89 Last', ' 21307)']",[' 8084.0  '],"[' 2995     (Average Length', ' 1582.94 Splits', ' 0)']","[' 11289499 (Deleted', ' 11153867)']","[' 43       (Ratio', '   0.00%)']","[' 31168    (Ratio', '   0.28%)']","[' 11289499 (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11289499 (Average', ' 18.42 Max', ' 12161 Sum', ' 207960524)']","[' 11286443 (Average', ' 17.98 Max', ' 10741 Sum', ' 202972155 Ratio', '  97.60%)']","[' 3056     (Average', ' 1632.32 Max', ' 2133 Sum', ' 4988369 Ratio', '   2.40%)']", ,[' 321959  '],[' 16536   '],[' 291017  '],[' 116837  '],"[' 304858   (Atom=Atom', ' 82840 Body=Body', ' 55386 Other', ' 166632)']",[' Yes'],"[' 20534    (Eliminated', '    0 Frozen', ' 20534)']","[' 6359     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.01636'],[' 0'], ,[' 595.124'],[' 0'],[' 23.5525'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.25137e+08'],[' 3.52612e+08'],[' 0'],[' 3.08399e+10'],[' 0'],[' 0'],[' 1089 '],[' 2168 '],[' 3086 '],[' 4231 '],[' 5234 '],[' 5953 '],[' 6 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 6043+'],[' 3028'],"[' 1011.666s (Solving', ' 969.74s 1st Model', ' 66.53s Unsat', ' 0.00s)']",[' 1007.438s'], ,[' 258572611'],"[' 13647978 (Analyzed', ' 12811584)']","[' 26216    (Average', ' 488.69 Last', ' 27897)']",[' 8789.2  '],"[' 3028     (Average Length', ' 1596.02 Splits', ' 0)']","[' 12811584 (Deleted', ' 12663342)']","[' 50       (Ratio', '   0.00%)']","[' 31008    (Ratio', '   0.24%)']","[' 12811584 (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12811584 (Average', ' 18.70 Max', ' 12308 Sum', ' 239626686)']","[' 12808613 (Average', ' 18.34 Max', ' 11102 Sum', ' 235022126 Ratio', '  98.08%)']","[' 2971     (Average', ' 1549.84 Max', ' 2110 Sum', ' 4604560 Ratio', '   1.92%)']", ,[' 321732  '],[' 16876   '],[' 291403  '],[' 117374  '],"[' 310111   (Atom=Atom', ' 84233 Body=Body', ' 56406 Other', ' 169472)']",[' Yes'],"[' 20810    (Eliminated', '    0 Frozen', ' 20810)']","[' 5748     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.2257'],[' 0'], ,[' 586.87'],[' 0'],[' 24.3413'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.14616e+08'],[' 3.44012e+08'],[' 0'],[' 3.03955e+10'],[' 0'],[' 0'],[' 1440 '],[' 2405 '],[' 3225 '],[' 4271 '],[' 5128 '],[' 6019 '],[' 6 '],[' 0 ']
