Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 2301'],[' 1157'],"[' 516.654s (Solving', ' 512.07s 1st Model', ' 3.18s Unsat', ' 1.34s)']",[' 515.797s'], ,[' 57501560'],"[' 28762871 (Analyzed', ' 28673285)']","[' 50692    (Average', ' 565.64 Last', ' 33518)']",[' 2263.7  '],"[' 1157     (Average Length', ' 656.30 Splits', ' 0)']","[' 28673285 (Deleted', ' 28280116)']","[' 36       (Ratio', '   0.00%)']","[' 4030     (Ratio', '   0.01%)']","[' 28673285 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28673285 (Average', '  1.92 Max', ' 3518 Sum', ' 55187161)']","[' 28672744 (Average', '  1.91 Max', ' 2825 Sum', ' 54828767 Ratio', '  99.35%)']","[' 541      (Average', ' 662.47 Max', ' 909 Sum', ' 358394 Ratio', '   0.65%)']", ,[' 89810   '],[' 3832    '],[' 82773   '],[' 30957   '],"[' 82033    (Atom=Atom', ' 23334 Body=Body', ' 14432 Other', ' 44267)']",[' Yes'],"[' 5571     (Eliminated', '    0 Frozen', ' 5571)']","[' 817      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.970969'],[' 0'], ,[' 299.645'],[' 0'],[' 8.10353'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54874e+08'],[' 8.02297e+07'],[' 0'],[' 1.98737e+10'],[' 0'],[' 0'],[' 682 '],[' 1240 '],[' 1981 '],[' 2617 '],[' 2956 '],[' 3357 '],[' 3 '],[' 3 ']
Solving...,TA62, , , , , ,[' 2715'],[' 1364'],"[' 572.314s (Solving', ' 566.96s 1st Model', ' 5.07s Unsat', ' 55.37s)']",[' 571.469s'], ,[' 52519013'],"[' 23083676 (Analyzed', ' 22992932)']","[' 42664    (Average', ' 538.93 Last', ' 29510)']",[' 2547.8  '],"[' 1364     (Average Length', ' 734.01 Splits', ' 0)']","[' 22992932 (Deleted', ' 22765089)']","[' 47       (Ratio', '   0.00%)']","[' 4590     (Ratio', '   0.02%)']","[' 22992932 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22992932 (Average', '  2.16 Max', ' 3365 Sum', ' 49730389)']","[' 22992458 (Average', '  2.15 Max', ' 3365 Sum', ' 49375343 Ratio', '  99.29%)']","[' 474      (Average', ' 749.04 Max', ' 1016 Sum', ' 355046 Ratio', '   0.71%)']", ,[' 90469   '],[' 3873    '],[' 83553   '],[' 31402   '],"[' 83281    (Atom=Atom', ' 23705 Body=Body', ' 14555 Other', ' 45021)']",[' Yes'],"[' 5759     (Eliminated', '    0 Frozen', ' 5759)']","[' 780      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.19688'],[' 0'], ,[' 394.455'],[' 0'],[' 9.06069'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33367e+08'],[' 7.21459e+07'],[' 0'],[' 2.69784e+10'],[' 0'],[' 0'],[' 683 '],[' 1272 '],[' 1882 '],[' 2352 '],[' 2856 '],[' 3305 '],[' 3 '],[' 3 ']
Solving...,TA63, , , , , ,[' 2853'],[' 1433'],"[' 37.695s (Solving', ' 32.23s 1st Model', ' 4.23s Unsat', ' 8.33s)']",[' 37.734s'], ,[' 6682114 '],"[' 511968   (Analyzed', ' 411754)']","[' 1689     (Average', ' 243.79 Last', ' 6988)']",[' 2680.5  '],"[' 1433     (Average Length', ' 775.97 Splits', ' 0)']","[' 411754   (Deleted', ' 383420)']","[' 35       (Ratio', '   0.01%)']","[' 1698     (Ratio', '   0.41%)']","[' 411754   (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 411754   (Average', ' 10.24 Max', ' 4105 Sum', ' 4217094)']","[' 411253   (Average', '  9.35 Max', ' 3208 Sum', ' 3848637 Ratio', '  91.26%)']","[' 501      (Average', ' 735.44 Max', ' 1090 Sum', ' 368457 Ratio', '   8.74%)']", ,[' 90463   '],[' 3868    '],[' 83552   '],[' 31490   '],"[' 83431    (Atom=Atom', ' 23754 Body=Body', ' 14540 Other', ' 45137)']",[' Yes'],"[' 5806     (Eliminated', '    0 Frozen', ' 5806)']","[' 148      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24426'],[' 0'], ,[' 8.9746'],[' 0'],[' 0.456616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2064e+07'],[' 9.5461e+06'],[' 0'],[' 4.92864e+08'],[' 0'],[' 0'],[' 687 '],[' 1278 '],[' 1743 '],[' 2269 '],[' 2769 '],[' 3134 '],[' 0 '],[' 6 ']
Solving...,TA64, , , , , ,[' 2669'],[' 1341'],"[' 195.485s (Solving', ' 189.99s 1st Model', ' 4.67s Unsat', ' 0.83s)']",[' 194.422s'], ,[' 27484813'],"[' 12255159 (Analyzed', ' 12148994)']","[' 21595    (Average', ' 562.58 Last', ' 6117)']",[' 2746.0  '],"[' 1341     (Average Length', ' 718.04 Splits', ' 0)']","[' 12148994 (Deleted', ' 11931819)']","[' 14       (Ratio', '   0.00%)']","[' 1838     (Ratio', '   0.02%)']","[' 12148994 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12148994 (Average', '  2.03 Max', ' 3556 Sum', ' 24635835)']","[' 12148510 (Average', '  2.00 Max', ' 3556 Sum', ' 24351020 Ratio', '  98.84%)']","[' 484      (Average', ' 588.46 Max', ' 940 Sum', ' 284815 Ratio', '   1.16%)']", ,[' 89603   '],[' 3858    '],[' 82881   '],[' 30937   '],"[' 82983    (Atom=Atom', ' 23622 Body=Body', ' 14510 Other', ' 44851)']",[' Yes'],"[' 5666     (Eliminated', '    0 Frozen', ' 5666)']","[' 263      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23491'],[' 0'], ,[' 94.397'],[' 0'],[' 3.06149'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.36064e+07'],[' 4.08274e+07'],[' 0'],[' 4.75895e+09'],[' 0'],[' 0'],[' 918 '],[' 1515 '],[' 1900 '],[' 2304 '],[' 2769 '],[' 3114 '],[' 1 '],[' 5 ']
Solving...,TA65, , , , , ,[' 2727'],[' 1370'],"[' 446.132s (Solving', ' 440.78s 1st Model', ' 5.03s Unsat', ' 95.25s)']",[' 445.188s'], ,[' 42564206'],"[' 19309677 (Analyzed', ' 19205617)']","[' 35227    (Average', ' 545.20 Last', ' 16223)']",[' 2441.3  '],"[' 1370     (Average Length', ' 736.81 Splits', ' 0)']","[' 19205617 (Deleted', ' 18949670)']","[' 44       (Ratio', '   0.00%)']","[' 4224     (Ratio', '   0.02%)']","[' 19205617 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19205617 (Average', '  2.09 Max', ' 3295 Sum', ' 40091784)']","[' 19205081 (Average', '  2.07 Max', ' 3295 Sum', ' 39684273 Ratio', '  98.98%)']","[' 536      (Average', ' 760.28 Max', ' 1062 Sum', ' 407511 Ratio', '   1.02%)']", ,[' 90463   '],[' 3868    '],[' 83509   '],[' 31387   '],"[' 83221    (Atom=Atom', ' 23691 Body=Body', ' 14540 Other', ' 44990)']",[' Yes'],"[' 5729     (Eliminated', '    0 Frozen', ' 5729)']","[' 710      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.14427'],[' 0'], ,[' 290.821'],[' 0'],[' 5.99046'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11064e+08'],[' 5.88137e+07'],[' 0'],[' 1.8827e+10'],[' 0'],[' 0'],[' 686 '],[' 1183 '],[' 1645 '],[' 2235 '],[' 2738 '],[' 3147 '],[' 2 '],[' 4 ']
Solving...,TA66, , , , , ,[' 2967'],[' 1490'],"[' 235.083s (Solving', ' 229.49s 1st Model', ' 5.19s Unsat', ' 42.91s)']",[' 234.078s'], ,[' 28297982'],"[' 8214128  (Analyzed', ' 8089478)']","[' 15932    (Average', ' 507.75 Last', ' 5069)']",[' 2553.6  '],"[' 1490     (Average Length', ' 791.70 Splits', ' 0)']","[' 8089478  (Deleted', ' 7972492)']","[' 47       (Ratio', '   0.00%)']","[' 3443     (Ratio', '   0.04%)']","[' 8089478  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8089478  (Average', '  3.18 Max', ' 3782 Sum', ' 25686600)']","[' 8089047  (Average', '  3.13 Max', ' 3003 Sum', ' 25350062 Ratio', '  98.69%)']","[' 431      (Average', ' 780.83 Max', ' 1124 Sum', ' 336538 Ratio', '   1.31%)']", ,[' 90949   '],[' 3860    '],[' 83939   '],[' 31674   '],"[' 83516    (Atom=Atom', ' 23779 Body=Body', ' 14516 Other', ' 45221)']",[' Yes'],"[' 5817     (Eliminated', '    0 Frozen', ' 5817)']","[' 519      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23891'],[' 0'], ,[' 145.264'],[' 0'],[' 3.84124'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.78414e+07'],[' 4.77435e+07'],[' 0'],[' 9.71091e+09'],[' 0'],[' 0'],[' 719 '],[' 1190 '],[' 1670 '],[' 2139 '],[' 2714 '],[' 3143 '],[' 1 '],[' 5 ']
Solving...,TA67, , , , , ,[' 2563'],[' 1288'],"[' 149.680s (Solving', ' 144.41s 1st Model', ' 3.94s Unsat', ' 121.89s)']",[' 148.594s'], ,[' 13078279'],"[' 5876586  (Analyzed', ' 5751299)']","[' 12563    (Average', ' 457.80 Last', ' 199894)']",[' 2565.0  '],"[' 1288     (Average Length', ' 702.58 Splits', ' 0)']","[' 5751299  (Deleted', ' 5648766)']","[' 29       (Ratio', '   0.00%)']","[' 1649     (Ratio', '   0.03%)']","[' 5751299  (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5751299  (Average', '  1.89 Max', ' 3988 Sum', ' 10853894)']","[' 5750702  (Average', '  1.81 Max', ' 3078 Sum', ' 10424981 Ratio', '  96.05%)']","[' 597      (Average', ' 718.45 Max', ' 2965 Sum', ' 428913 Ratio', '   3.95%)']", ,[' 90188   '],[' 3872    '],[' 83235   '],[' 31251   '],"[' 83014    (Atom=Atom', ' 23625 Body=Body', ' 14552 Other', ' 44837)']",[' Yes'],"[' 5689     (Eliminated', '    0 Frozen', ' 5689)']","[' 227      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.13758'],[' 0'], ,[' 87.4261'],[' 0'],[' 1.85137'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.0672e+07'],[' 1.6206e+07'],[' 0'],[' 5.6466e+09'],[' 0'],[' 0'],[' 754 '],[' 1324 '],[' 2002 '],[' 2440 '],[' 2865 '],[' 3254 '],[' 0 '],[' 6 ']
Solving...,TA68, , , , , ,[' 2705'],[' 1359'],"[' 209.088s (Solving', ' 203.18s 1st Model', ' 8.03s Unsat', ' 17.01s)']",[' 207.828s'], ,[' 19351715'],"[' 4676530  (Analyzed', ' 4488570)']","[' 10262    (Average', ' 437.40 Last', ' 50266)']",[' 2633.1  '],"[' 1359     (Average Length', ' 735.33 Splits', ' 0)']","[' 4488570  (Deleted', ' 4413460)']","[' 44       (Ratio', '   0.00%)']","[' 3102     (Ratio', '   0.07%)']","[' 4488570  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4488570  (Average', '  3.74 Max', ' 3867 Sum', ' 16807540)']","[' 4488084  (Average', '  3.67 Max', ' 3867 Sum', ' 16475588 Ratio', '  98.02%)']","[' 486      (Average', ' 683.03 Max', ' 1013 Sum', ' 331952 Ratio', '   1.98%)']", ,[' 90410   '],[' 3825    '],[' 83375   '],[' 31320   '],"[' 82519    (Atom=Atom', ' 23508 Body=Body', ' 14411 Other', ' 44600)']",[' Yes'],"[' 5689     (Eliminated', '    0 Frozen', ' 5689)']","[' 432      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.28792'],[' 0'], ,[' 143.876'],[' 0'],[' 3.78967'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.2628e+07'],[' 2.84087e+07'],[' 0'],[' 8.80595e+09'],[' 0'],[' 0'],[' 668 '],[' 1141 '],[' 1692 '],[' 2126 '],[' 2593 '],[' 3035 '],[' 1 '],[' 5 ']
Solving...,TA69, , , , , ,[' 2709'],[' 1361'],"[' 418.809s (Solving', ' 413.33s 1st Model', ' 4.54s Unsat', ' 62.62s)']",[' 417.313s'], ,[' 45533488'],"[' 19791072 (Analyzed', ' 19666484)']","[' 35135    (Average', ' 559.74 Last', ' 53472)']",[' 2435.3  '],"[' 1361     (Average Length', ' 736.10 Splits', ' 0)']","[' 19666484 (Deleted', ' 19433476)']","[' 29       (Ratio', '   0.00%)']","[' 4056     (Ratio', '   0.02%)']","[' 19666484 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19666484 (Average', '  2.18 Max', ' 3400 Sum', ' 42888443)']","[' 19666056 (Average', '  2.17 Max', ' 3400 Sum', ' 42594818 Ratio', '  99.32%)']","[' 428      (Average', ' 686.04 Max', ' 1027 Sum', ' 293625 Ratio', '   0.68%)']", ,[' 89952   '],[' 3890    '],[' 83249   '],[' 31146   '],"[' 83535    (Atom=Atom', ' 23770 Body=Body', ' 14606 Other', ' 45159)']",[' Yes'],"[' 5748     (Eliminated', '    0 Frozen', ' 5748)']","[' 680      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.21204'],[' 0'], ,[' 249.487'],[' 0'],[' 7.40666'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26109e+08'],[' 7.06391e+07'],[' 0'],[' 1.4916e+10'],[' 0'],[' 0'],[' 908 '],[' 1422 '],[' 1930 '],[' 2497 '],[' 3014 '],[' 3429 '],[' 2 '],[' 4 ']
Solving...,TA70, , , , , ,[' 2757'],[' 1385'],"[' 356.623s (Solving', ' 351.40s 1st Model', ' 4.33s Unsat', ' 163.88s)']",[' 355.719s'], ,[' 36096036'],"[' 16785601 (Analyzed', ' 16617749)']","[' 30315    (Average', ' 548.17 Last', ' 36057)']",[' 2481.1  '],"[' 1385     (Average Length', ' 768.22 Splits', ' 0)']","[' 16617749 (Deleted', ' 16450856)']","[' 46       (Ratio', '   0.00%)']","[' 2758     (Ratio', '   0.02%)']","[' 16617749 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16617749 (Average', '  2.03 Max', ' 3892 Sum', ' 33666198)']","[' 16617125 (Average', '  2.00 Max', ' 3464 Sum', ' 33179417 Ratio', '  98.55%)']","[' 624      (Average', ' 780.10 Max', ' 1114 Sum', ' 486781 Ratio', '   1.45%)']", ,[' 89589   '],[' 3886    '],[' 83011   '],[' 31019   '],"[' 83539    (Atom=Atom', ' 23778 Body=Body', ' 14594 Other', ' 45167)']",[' Yes'],"[' 5797     (Eliminated', '    0 Frozen', ' 5797)']","[' 512      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.13308'],[' 0'], ,[' 225.147'],[' 0'],[' 5.27047'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.94158e+07'],[' 4.58166e+07'],[' 0'],[' 1.5276e+10'],[' 0'],[' 0'],[' 738 '],[' 1400 '],[' 2182 '],[' 2580 '],[' 3138 '],[' 3565 '],[' 1 '],[' 5 ']
