Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 6643+'],[' 3328'],"[' 1012.274s (Solving', ' 970.32s 1st Model', ' 178.71s Unsat', ' 0.00s)']",[' 1009.063s'], ,[' 400471957'],"[' 8616181  (Analyzed', ' 7988925)']","[' 17699    (Average', ' 451.38 Last', ' 100583)']",[' 6863.7  '],"[' 3328     (Average Length', ' 1714.63 Splits', ' 0)']","[' 7988925  (Deleted', ' 7838178)']","[' 141      (Ratio', '   0.00%)']","[' 68058    (Ratio', '   0.85%)']","[' 7988925  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7988925  (Average', ' 48.29 Max', ' 8682 Sum', ' 385811371)']","[' 7986804  (Average', ' 47.82 Max', ' 7849 Sum', ' 382008255 Ratio', '  99.01%)']","[' 2121     (Average', ' 1793.08 Max', ' 2399 Sum', ' 3803116 Ratio', '   0.99%)']", ,[' 316808  '],[' 16101   '],[' 287564  '],[' 113770  '],"[' 299298   (Atom=Atom', ' 81412 Body=Body', ' 54072 Other', ' 163814)']",[' Yes'],"[' 20265    (Eliminated', '    0 Frozen', ' 20265)']","[' 12907    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.38659'],[' 0'], ,[' 428.689'],[' 0'],[' 28.1495'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.49982e+08'],[' 8.20851e+08'],[' 0'],[' 2.01338e+10'],[' 0'],[' 0'],[' 1358 '],[' 2465 '],[' 3345 '],[' 4238 '],[' 5094 '],[' 5864 '],[' 6 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 6917+'],[' 3465'],"[' 1011.409s (Solving', ' 972.24s 1st Model', ' 161.28s Unsat', ' 0.00s)']",[' 1006.219s'], ,[' 378480059'],"[' 9497561  (Analyzed', ' 9000426)']","[' 19077    (Average', ' 471.79 Last', ' 79679)']",[' 6653.9  '],"[' 3465     (Average Length', ' 1737.50 Splits', ' 0)']","[' 9000426  (Deleted', ' 8843075)']","[' 138      (Ratio', '   0.00%)']","[' 65236    (Ratio', '   0.72%)']","[' 9000426  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9000426  (Average', ' 40.49 Max', ' 8552 Sum', ' 364434332)']","[' 8998239  (Average', ' 40.02 Max', ' 8552 Sum', ' 360237572 Ratio', '  98.85%)']","[' 2187     (Average', ' 1918.96 Max', ' 2466 Sum', ' 4196760 Ratio', '   1.15%)']", ,[' 319588  '],[' 15957   '],[' 288716  '],[' 115197  '],"[' 297375   (Atom=Atom', ' 80973 Body=Body', ' 53640 Other', ' 162762)']",[' Yes'],"[' 20156    (Eliminated', '    0 Frozen', ' 20156)']","[' 11896    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.70997'],[' 0'], ,[' 468.025'],[' 0'],[' 28.064'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.58585e+08'],[' 7.39968e+08'],[' 0'],[' 2.13374e+10'],[' 0'],[' 0'],[' 1122 '],[' 2057 '],[' 2917 '],[' 3775 '],[' 4674 '],[' 5476 '],[' 6 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 6165+'],[' 3089'],"[' 1011.613s (Solving', ' 971.65s 1st Model', ' 206.84s Unsat', ' 0.00s)']",[' 1001.766s'], ,[' 355459288'],"[' 8704430  (Analyzed', ' 8203085)']","[' 17467    (Average', ' 469.63 Last', ' 113244)']",[' 6845.2  '],"[' 3089     (Average Length', ' 1605.91 Splits', ' 0)']","[' 8203085  (Deleted', ' 8064140)']","[' 130      (Ratio', '   0.00%)']","[' 60963    (Ratio', '   0.74%)']","[' 8203085  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8203085  (Average', ' 41.66 Max', ' 8955 Sum', ' 341729253)']","[' 8200906  (Average', ' 41.22 Max', ' 8100 Sum', ' 338165336 Ratio', '  98.96%)']","[' 2179     (Average', ' 1635.57 Max', ' 2579 Sum', ' 3563917 Ratio', '   1.04%)']", ,[' 317945  '],[' 16053   '],[' 287763  '],[' 114155  '],"[' 297778   (Atom=Atom', ' 80981 Body=Body', ' 53928 Other', ' 162869)']",[' Yes'],"[' 20027    (Eliminated', '    0 Frozen', ' 20027)']","[' 11661    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.99143'],[' 0'], ,[' 469.132'],[' 0'],[' 28.2543'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.94782e+08'],[' 6.79534e+08'],[' 0'],[' 2.09338e+10'],[' 0'],[' 0'],[' 1399 '],[' 2384 '],[' 3190 '],[' 4196 '],[' 5142 '],[' 5875 '],[' 6 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 6785+'],[' 3399'],"[' 1012.533s (Solving', ' 968.80s 1st Model', ' 103.38s Unsat', ' 0.00s)']",[' 1006.813s'], ,[' 321943892'],"[' 9298420  (Analyzed', ' 8903766)']","[' 18580    (Average', ' 479.21 Last', ' 156121)']",[' 7045.8  '],"[' 3399     (Average Length', ' 1723.33 Splits', ' 0)']","[' 8903766  (Deleted', ' 8762208)']","[' 119      (Ratio', '   0.00%)']","[' 52616    (Ratio', '   0.59%)']","[' 8903766  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8903766  (Average', ' 34.47 Max', ' 9059 Sum', ' 306914144)']","[' 8901551  (Average', ' 34.03 Max', ' 8347 Sum', ' 302959539 Ratio', '  98.71%)']","[' 2215     (Average', ' 1785.37 Max', ' 2410 Sum', ' 3954605 Ratio', '   1.29%)']", ,[' 320454  '],[' 15946   '],[' 289164  '],[' 115525  '],"[' 296998   (Atom=Atom', ' 80863 Body=Body', ' 53607 Other', ' 162528)']",[' Yes'],"[' 20106    (Eliminated', '    0 Frozen', ' 20106)']","[' 10323    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.72861'],[' 0'], ,[' 503.116'],[' 0'],[' 26.4098'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.82238e+08'],[' 5.86639e+08'],[' 0'],[' 2.43459e+10'],[' 0'],[' 0'],[' 1224 '],[' 2148 '],[' 2966 '],[' 3892 '],[' 4808 '],[' 5596 '],[' 6 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 6849+'],[' 3431'],"[' 874.268s (Solving', ' 833.68s 1st Model', ' 405.71s Unsat', ' 0.00s)']",[' 868.078s'], ,[' 329344289'],"[' 5958579  (Analyzed', ' 5451324)']","[' 14049    (Average', ' 388.02 Last', ' 181454)']",[' 6715.1  '],"[' 3430     (Average Length', ' 1743.43 Splits', ' 0)']","[' 5451324  (Deleted', ' 5329745)']","[' 154      (Ratio', '   0.00%)']","[' 59168    (Ratio', '   1.09%)']","[' 5451324  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5451324  (Average', ' 57.85 Max', ' 9149 Sum', ' 315374139)']","[' 5449220  (Average', ' 57.10 Max', ' 8694 Sum', ' 311250510 Ratio', '  98.69%)']","[' 2104     (Average', ' 1959.90 Max', ' 2565 Sum', ' 4123629 Ratio', '   1.31%)']", ,[' 320688  '],[' 16171   '],[' 289850  '],[' 115987  '],"[' 300624   (Atom=Atom', ' 81795 Body=Body', ' 54282 Other', ' 164547)']",[' Yes'],"[' 20388    (Eliminated', '    0 Frozen', ' 20388)']","[' 12001    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.02475'],[' 0'], ,[' 331.027'],[' 0'],[' 22.8192'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.92418e+08'],[' 7.61415e+08'],[' 0'],[' 1.33258e+10'],[' 0'],[' 0'],[' 1246 '],[' 2175 '],[' 3053 '],[' 4006 '],[' 5602 '],[' 5788 '],[' 6 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 6787+'],[' 3400'],"[' 1011.599s (Solving', ' 971.27s 1st Model', ' 435.45s Unsat', ' 0.00s)']",[' 1007.500s'], ,[' 417885069'],"[' 8000082  (Analyzed', ' 7419359)']","[' 17789    (Average', ' 417.08 Last', ' 171367)']",[' 6653.4  '],"[' 3400     (Average Length', ' 1735.48 Splits', ' 0)']","[' 7419359  (Deleted', ' 7280055)']","[' 164      (Ratio', '   0.00%)']","[' 71679    (Ratio', '   0.97%)']","[' 7419359  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7419359  (Average', ' 54.38 Max', ' 9441 Sum', ' 403495238)']","[' 7417352  (Average', ' 53.90 Max', ' 7524 Sum', ' 399870980 Ratio', '  99.10%)']","[' 2007     (Average', ' 1805.81 Max', ' 2468 Sum', ' 3624258 Ratio', '   0.90%)']", ,[' 319570  '],[' 15926   '],[' 288639  '],[' 115035  '],"[' 296726   (Atom=Atom', ' 80784 Body=Body', ' 53547 Other', ' 162395)']",[' Yes'],"[' 20091    (Eliminated', '    0 Frozen', ' 20091)']","[' 13783    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.02757'],[' 0'], ,[' 414.709'],[' 0'],[' 28.7008'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07157e+09'],[' 9.17804e+08'],[' 0'],[' 1.76662e+10'],[' 0'],[' 0'],[' 1144 '],[' 2114 '],[' 2969 '],[' 3900 '],[' 4738 '],[' 5602 '],[' 6 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 6659+'],[' 3336'],"[' 1010.672s (Solving', ' 973.69s 1st Model', ' 69.79s Unsat', ' 0.00s)']",[' 1006.859s'], ,[' 334262792'],"[' 14967677 (Analyzed', ' 14067360)']","[' 27850    (Average', ' 505.11 Last', ' 117248)']",[' 7476.0  '],"[' 3336     (Average Length', ' 1684.70 Splits', ' 0)']","[' 14067360 (Deleted', ' 13896196)']","[' 65       (Ratio', '   0.00%)']","[' 44133    (Ratio', '   0.31%)']","[' 14067360 (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14067360 (Average', ' 22.53 Max', ' 8967 Sum', ' 317007107)']","[' 14065106 (Average', ' 22.26 Max', ' 8967 Sum', ' 313150717 Ratio', '  98.78%)']","[' 2254     (Average', ' 1710.91 Max', ' 2336 Sum', ' 3856390 Ratio', '   1.22%)']", ,[' 318291  '],[' 15961   '],[' 288077  '],[' 114300  '],"[' 297060   (Atom=Atom', ' 80860 Body=Body', ' 53652 Other', ' 162548)']",[' Yes'],"[' 20116    (Eliminated', '    0 Frozen', ' 20116)']","[' 8994     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.33389'],[' 0'], ,[' 567.017'],[' 0'],[' 26.8959'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.23051e+08'],[' 5.2633e+08'],[' 0'],[' 3.30286e+10'],[' 0'],[' 0'],[' 1374 '],[' 2244 '],[' 3091 '],[' 3934 '],[' 4894 '],[' 5660 '],[' 6 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 7303+'],[' 3658'],"[' 1011.485s (Solving', ' 971.76s 1st Model', ' 180.73s Unsat', ' 0.00s)']",[' 1007.469s'], ,[' 318985863'],"[' 12793900 (Analyzed', ' 12074305)']","[' 24952    (Average', ' 483.90 Last', ' 1344845)']",[' 7182.4  '],"[' 3658     (Average Length', ' 1830.79 Splits', ' 0)']","[' 12074305 (Deleted', ' 11915219)']","[' 114      (Ratio', '   0.00%)']","[' 48960    (Ratio', '   0.41%)']","[' 12074305 (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12074305 (Average', ' 25.04 Max', ' 10249 Sum', ' 302303721)']","[' 12072046 (Average', ' 24.66 Max', ' 10249 Sum', ' 297783948 Ratio', '  98.50%)']","[' 2259     (Average', ' 2000.78 Max', ' 2611 Sum', ' 4519773 Ratio', '   1.50%)']", ,[' 318618  '],[' 16106   '],[' 288540  '],[' 115167  '],"[' 300215   (Atom=Atom', ' 81762 Body=Body', ' 54087 Other', ' 164366)']",[' Yes'],"[' 20459    (Eliminated', '    0 Frozen', ' 20459)']","[' 9827     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.8867'],[' 0'], ,[' 535.745'],[' 0'],[' 24.0234'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.94041e+08'],[' 5.84687e+08'],[' 0'],[' 2.9603e+10'],[' 0'],[' 0'],[' 1306 '],[' 2206 '],[' 3140 '],[' 4217 '],[' 5086 '],[' 5820 '],[' 6 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 6767+'],[' 3390'],"[' 1011.712s (Solving', ' 970.83s 1st Model', ' 278.91s Unsat', ' 0.00s)']",[' 1006.188s'], ,[' 411560785'],"[' 6997797  (Analyzed', ' 6448992)']","[' 14775    (Average', ' 436.48 Last', ' 88865)']",[' 6644.4  '],"[' 3390     (Average Length', ' 1728.20 Splits', ' 0)']","[' 6448992  (Deleted', ' 6309799)']","[' 127      (Ratio', '   0.00%)']","[' 77916    (Ratio', '   1.21%)']","[' 6448992  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6448992  (Average', ' 61.58 Max', ' 9526 Sum', ' 397124949)']","[' 6447093  (Average', ' 61.06 Max', ' 9526 Sum', ' 393777935 Ratio', '  99.16%)']","[' 1899     (Average', ' 1762.51 Max', ' 2422 Sum', ' 3347014 Ratio', '   0.84%)']", ,[' 320940  '],[' 16134   '],[' 289939  '],[' 115933  '],"[' 300008   (Atom=Atom', ' 81606 Body=Body', ' 54171 Other', ' 164231)']",[' Yes'],"[' 20332    (Eliminated', '    0 Frozen', ' 20332)']","[' 14467    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.14027'],[' 0'], ,[' 414.325'],[' 0'],[' 28.9144'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05504e+09'],[' 9.11766e+08'],[' 0'],[' 1.84882e+10'],[' 0'],[' 0'],[' 1217 '],[' 2057 '],[' 2976 '],[' 3885 '],[' 4746 '],[' 5578 '],[' 6 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 6713+'],[' 3363'],"[' 1011.274s (Solving', ' 971.43s 1st Model', ' 101.83s Unsat', ' 0.00s)']",[' 1006.547s'], ,[' 388754720'],"[' 8990557  (Analyzed', ' 8431213)']","[' 17761    (Average', ' 474.70 Last', ' 76019)']",[' 7331.2  '],"[' 3363     (Average Length', ' 1695.13 Splits', ' 0)']","[' 8431213  (Deleted', ' 8288806)']","[' 131      (Ratio', '   0.00%)']","[' 63303    (Ratio', '   0.75%)']","[' 8431213  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8431213  (Average', ' 44.24 Max', ' 8783 Sum', ' 373007937)']","[' 8428821  (Average', ' 43.72 Max', ' 8783 Sum', ' 368629952 Ratio', '  98.83%)']","[' 2392     (Average', ' 1830.26 Max', ' 2370 Sum', ' 4377985 Ratio', '   1.17%)']", ,[' 318254  '],[' 16111   '],[' 288488  '],[' 114404  '],"[' 299373   (Atom=Atom', ' 81487 Body=Body', ' 54102 Other', ' 163784)']",[' Yes'],"[' 20232    (Eliminated', '    0 Frozen', ' 20232)']","[' 10879    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.89146'],[' 0'], ,[' 464.682'],[' 0'],[' 27.7294'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.91761e+08'],[' 7.68218e+08'],[' 0'],[' 2.2732e+10'],[' 0'],[' 0'],[' 1214 '],[' 2213 '],[' 3222 '],[' 3993 '],[' 4794 '],[' 5500 '],[' 6 '],[' 0 ']
