Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 5551+'],[' 2782'],"[' 1012.206s (Solving', ' 972.67s 1st Model', ' 54.36s Unsat', ' 0.00s)']",[' 1000.078s'], ,[' 263255551'],"[' 11676415 (Analyzed', ' 11188540)']","[' 22931    (Average', ' 487.92 Last', ' 12836)']",[' 8028.9  '],"[' 2782     (Average Length', ' 1477.94 Splits', ' 0)']","[' 11188540 (Deleted', ' 11045370)']","[' 67       (Ratio', '   0.00%)']","[' 35184    (Ratio', '   0.31%)']","[' 11188540 (Average Length', '   24.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11188540 (Average', ' 22.17 Max', ' 11872 Sum', ' 248084068)']","[' 11185708 (Average', ' 21.78 Max', ' 10765 Sum', ' 243692175 Ratio', '  98.23%)']","[' 2832     (Average', ' 1550.81 Max', ' 1981 Sum', ' 4391893 Ratio', '   1.77%)']", ,[' 319459  '],[' 16725   '],[' 289906  '],[' 115569  '],"[' 307418   (Atom=Atom', ' 83383 Body=Body', ' 55953 Other', ' 168082)']",[' Yes'],"[' 20504    (Eliminated', '    0 Frozen', ' 20504)']","[' 6932     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.39363'],[' 0'], ,[' 569.474'],[' 0'],[' 22.9994'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.83791e+08'],[' 4.09967e+08'],[' 0'],[' 3.08535e+10'],[' 0'],[' 0'],[' 1559 '],[' 2773 '],[' 3917 '],[' 4666 '],[' 5765 '],[' 6482 '],[' 6 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 5581+'],[' 2797'],"[' 1009.293s (Solving', ' 976.77s 1st Model', ' 71.24s Unsat', ' 0.00s)']",[' 1006.719s'], ,[' 244093713'],"[' 13775496 (Analyzed', ' 13212542)']","[' 26608    (Average', ' 496.56 Last', ' 135143)']",[' 7416.1  '],"[' 2797     (Average Length', ' 1491.49 Splits', ' 0)']","[' 13212542 (Deleted', ' 13067969)']","[' 97       (Ratio', '   0.00%)']","[' 31595    (Ratio', '   0.24%)']","[' 13212542 (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13212542 (Average', ' 17.49 Max', ' 10755 Sum', ' 231071979)']","[' 13209664 (Average', ' 17.11 Max', ' 10755 Sum', ' 226121515 Ratio', '  97.86%)']","[' 2878     (Average', ' 1720.11 Max', ' 2129 Sum', ' 4950464 Ratio', '   2.14%)']", ,[' 319881  '],[' 16480   '],[' 289384  '],[' 115661  '],"[' 303414   (Atom=Atom', ' 82418 Body=Body', ' 55218 Other', ' 165778)']",[' Yes'],"[' 20252    (Eliminated', '    0 Frozen', ' 20252)']","[' 5944     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.15805'],[' 0'], ,[' 609.036'],[' 0'],[' 21.8127'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.1957e+08'],[' 4.31297e+08'],[' 0'],[' 3.69151e+10'],[' 0'],[' 0'],[' 1144 '],[' 2344 '],[' 3519 '],[' 4509 '],[' 5348 '],[' 6193 '],[' 6 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 5163+'],[' 2588'],"[' 1009.220s (Solving', ' 976.86s 1st Model', ' 45.51s Unsat', ' 0.00s)']",[' 1007.266s'], ,[' 251230646'],"[' 16185307 (Analyzed', ' 15309528)']","[' 28539    (Average', ' 536.44 Last', ' 10730)']",[' 8510.2  '],"[' 2588     (Average Length', ' 1418.91 Splits', ' 0)']","[' 15309528 (Deleted', ' 15155952)']","[' 33       (Ratio', '   0.00%)']","[' 22675    (Ratio', '   0.15%)']","[' 15309528 (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15309528 (Average', ' 15.39 Max', ' 12676 Sum', ' 235547306)']","[' 15306371 (Average', ' 15.09 Max', ' 11535 Sum', ' 231068831 Ratio', '  98.10%)']","[' 3157     (Average', ' 1418.59 Max', ' 1964 Sum', ' 4478475 Ratio', '   1.90%)']", ,[' 316636  '],[' 16566   '],[' 287763  '],[' 113829  '],"[' 304328   (Atom=Atom', ' 82553 Body=Body', ' 55476 Other', ' 166299)']",[' Yes'],"[' 20152    (Eliminated', '    0 Frozen', ' 20152)']","[' 3954     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.2288'],[' 0'], ,[' 647.496'],[' 0'],[' 23.7567'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.75613e+08'],[' 3.04792e+08'],[' 0'],[' 4.04132e+10'],[' 0'],[' 0'],[' 1749 '],[' 2922 '],[' 3676 '],[' 4618 '],[' 5419 '],[' 6471 '],[' 6 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 5315+'],[' 2664'],"[' 1009.422s (Solving', ' 976.67s 1st Model', ' 43.54s Unsat', ' 0.00s)']",[' 1008.250s'], ,[' 262965857'],"[' 14897285 (Analyzed', ' 14409609)']","[' 27497    (Average', ' 524.04 Last', ' 62800)']",[' 8212.3  '],"[' 2664     (Average Length', ' 1443.67 Splits', ' 0)']","[' 14409609 (Deleted', ' 14254014)']","[' 69       (Ratio', '   0.00%)']","[' 26187    (Ratio', '   0.18%)']","[' 14409609 (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14409609 (Average', ' 17.21 Max', ' 12491 Sum', ' 247925693)']","[' 14406780 (Average', ' 16.90 Max', ' 11407 Sum', ' 243468633 Ratio', '  98.20%)']","[' 2829     (Average', ' 1575.49 Max', ' 2038 Sum', ' 4457060 Ratio', '   1.80%)']", ,[' 320251  '],[' 16616   '],[' 289766  '],[' 115989  '],"[' 305228   (Atom=Atom', ' 82829 Body=Body', ' 55626 Other', ' 166773)']",[' Yes'],"[' 20313    (Eliminated', '    0 Frozen', ' 20313)']","[' 4768     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.18828'],[' 0'], ,[' 634.18'],[' 0'],[' 24.7588'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.38765e+08'],[' 3.60434e+08'],[' 0'],[' 3.82088e+10'],[' 0'],[' 0'],[' 1264 '],[' 2532 '],[' 3542 '],[' 4645 '],[' 5603 '],[' 6270 '],[' 6 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 4899+'],[' 2456'],"[' 1008.743s (Solving', ' 979.34s 1st Model', ' 44.56s Unsat', ' 0.00s)']",[' 1006.938s'], ,[' 279406428'],"[' 16242135 (Analyzed', ' 15768308)']","[' 29977    (Average', ' 526.01 Last', ' 139209)']",[' 8116.2  '],"[' 2456     (Average Length', ' 1319.24 Splits', ' 0)']","[' 15768308 (Deleted', ' 15608801)']","[' 34       (Ratio', '   0.00%)']","[' 24616    (Ratio', '   0.16%)']","[' 15768308 (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15768308 (Average', ' 16.83 Max', ' 11733 Sum', ' 265318374)']","[' 15765498 (Average', ' 16.57 Max', ' 11640 Sum', ' 261224390 Ratio', '  98.46%)']","[' 2810     (Average', ' 1456.93 Max', ' 1904 Sum', ' 4093984 Ratio', '   1.54%)']", ,[' 318618  '],[' 16714   '],[' 289134  '],[' 114905  '],"[' 306000   (Atom=Atom', ' 83013 Body=Body', ' 55920 Other', ' 167067)']",[' Yes'],"[' 20206    (Eliminated', '    0 Frozen', ' 20206)']","[' 4703     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.55241'],[' 0'], ,[' 628.202'],[' 0'],[' 23.8308'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.35983e+08'],[' 3.62857e+08'],[' 0'],[' 3.86693e+10'],[' 0'],[' 0'],[' 1576 '],[' 2969 '],[' 3546 '],[' 4584 '],[' 5864 '],[' 6529 '],[' 6 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 5521+'],[' 2767'],"[' 1009.826s (Solving', ' 976.79s 1st Model', ' 48.68s Unsat', ' 0.00s)']",[' 1007.031s'], ,[' 244887061'],"[' 17806475 (Analyzed', ' 17312845)']","[' 34421    (Average', ' 502.97 Last', ' 83343)']",[' 8143.2  '],"[' 2767     (Average Length', ' 1470.63 Splits', ' 0)']","[' 17312845 (Deleted', ' 17144630)']","[' 43       (Ratio', '   0.00%)']","[' 24021    (Ratio', '   0.14%)']","[' 17312845 (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17312845 (Average', ' 13.23 Max', ' 11472 Sum', ' 229126522)']","[' 17310235 (Average', ' 12.99 Max', ' 11472 Sum', ' 224876146 Ratio', '  98.14%)']","[' 2610     (Average', ' 1628.50 Max', ' 2108 Sum', ' 4250376 Ratio', '   1.86%)']", ,[' 320191  '],[' 16501   '],[' 289677  '],[' 115795  '],"[' 303653   (Atom=Atom', ' 82472 Body=Body', ' 55281 Other', ' 165900)']",[' Yes'],"[' 20279    (Eliminated', '    0 Frozen', ' 20279)']","[' 4698     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.24993'],[' 0'], ,[' 625.241'],[' 0'],[' 20.9581'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.0915e+08'],[' 3.30478e+08'],[' 0'],[' 3.70039e+10'],[' 0'],[' 0'],[' 1286 '],[' 2478 '],[' 3532 '],[' 4346 '],[' 5122 '],[' 6304 '],[' 6 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 5309+'],[' 2661'],"[' 1009.758s (Solving', ' 977.77s 1st Model', ' 45.52s Unsat', ' 0.00s)']",[' 1007.719s'], ,[' 226894253'],"[' 16265822 (Analyzed', ' 15501198)']","[' 28272    (Average', ' 548.29 Last', ' 216996)']",[' 8276.7  '],"[' 2661     (Average Length', ' 1390.65 Splits', ' 0)']","[' 15501198 (Deleted', ' 15356618)']","[' 20       (Ratio', '   0.00%)']","[' 19918    (Ratio', '   0.13%)']","[' 15501198 (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15501198 (Average', ' 13.63 Max', ' 13583 Sum', ' 211283241)']","[' 15498264 (Average', ' 13.35 Max', ' 11806 Sum', ' 206964454 Ratio', '  97.96%)']","[' 2934     (Average', ' 1471.98 Max', ' 1928 Sum', ' 4318787 Ratio', '   2.04%)']", ,[' 318839  '],[' 16489   '],[' 288868  '],[' 114815  '],"[' 303164   (Atom=Atom', ' 82318 Body=Body', ' 55245 Other', ' 165601)']",[' Yes'],"[' 20088    (Eliminated', '    0 Frozen', ' 20088)']","[' 3795     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.01294'],[' 0'], ,[' 661.975'],[' 0'],[' 22.9499'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.44094e+08'],[' 2.77054e+08'],[' 0'],[' 4.05911e+10'],[' 0'],[' 0'],[' 1575 '],[' 2553 '],[' 3330 '],[' 4389 '],[' 5466 '],[' 6269 '],[' 6 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 5335+'],[' 2674'],"[' 1009.031s (Solving', ' 978.62s 1st Model', ' 41.96s Unsat', ' 0.00s)']",[' 1006.672s'], ,[' 217307306'],"[' 15684260 (Analyzed', ' 15121924)']","[' 29160    (Average', ' 518.58 Last', ' 175784)']",[' 7595.4  '],"[' 2674     (Average Length', ' 1431.78 Splits', ' 0)']","[' 15121924 (Deleted', ' 14963110)']","[' 65       (Ratio', '   0.00%)']","[' 26800    (Ratio', '   0.18%)']","[' 15121924 (Average Length', '   20.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15121924 (Average', ' 13.48 Max', ' 11698 Sum', ' 203902109)']","[' 15119128 (Average', ' 13.18 Max', ' 11269 Sum', ' 199317453 Ratio', '  97.75%)']","[' 2796     (Average', ' 1639.72 Max', ' 2079 Sum', ' 4584656 Ratio', '   2.25%)']", ,[' 318639  '],[' 16475   '],[' 288449  '],[' 115088  '],"[' 303019   (Atom=Atom', ' 82275 Body=Body', ' 55203 Other', ' 165541)']",[' Yes'],"[' 20162    (Eliminated', '    0 Frozen', ' 20162)']","[' 4968     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.69238'],[' 0'], ,[' 656.631'],[' 0'],[' 22.4981'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.87473e+08'],[' 3.12291e+08'],[' 0'],[' 4.0088e+10'],[' 0'],[' 0'],[' 1294 '],[' 2404 '],[' 3518 '],[' 4509 '],[' 5474 '],[' 6448 '],[' 6 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 5583+'],[' 2798'],"[' 1010.413s (Solving', ' 974.73s 1st Model', ' 56.44s Unsat', ' 0.00s)']",[' 1006.500s'], ,[' 242068220'],"[' 13378580 (Analyzed', ' 12768678)']","[' 26418    (Average', ' 483.33 Last', ' 11199)']",[' 7664.4  '],"[' 2798     (Average Length', ' 1491.36 Splits', ' 0)']","[' 12768678 (Deleted', ' 12611887)']","[' 66       (Ratio', '   0.00%)']","[' 36991    (Ratio', '   0.29%)']","[' 12768678 (Average Length', '   19.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12768678 (Average', ' 17.79 Max', ' 11698 Sum', ' 227178169)']","[' 12766316 (Average', ' 17.50 Max', ' 11698 Sum', ' 223433947 Ratio', '  98.35%)']","[' 2362     (Average', ' 1585.19 Max', ' 2078 Sum', ' 3744222 Ratio', '   1.65%)']", ,[' 321128  '],[' 16489   '],[' 290236  '],[' 116190  '],"[' 303752   (Atom=Atom', ' 82455 Body=Body', ' 55245 Other', ' 166052)']",[' Yes'],"[' 20282    (Eliminated', '    0 Frozen', ' 20282)']","[' 6886     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.82798'],[' 0'], ,[' 597.939'],[' 0'],[' 23.4935'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.94183e+08'],[' 4.09695e+08'],[' 0'],[' 3.23844e+10'],[' 0'],[' 0'],[' 1252 '],[' 2254 '],[' 3274 '],[' 4304 '],[' 5241 '],[' 6107 '],[' 6 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 5625+'],[' 2819'],"[' 1010.431s (Solving', ' 974.40s 1st Model', ' 52.86s Unsat', ' 0.00s)']",[' 1007.688s'], ,[' 248374480'],"[' 13364437 (Analyzed', ' 12692381)']","[' 24085    (Average', ' 526.98 Last', ' 34028)']",[' 8343.1  '],"[' 2819     (Average Length', ' 1469.67 Splits', ' 0)']","[' 12692381 (Deleted', ' 12553372)']","[' 52       (Ratio', '   0.00%)']","[' 31404    (Ratio', '   0.25%)']","[' 12692381 (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12692381 (Average', ' 18.27 Max', ' 11349 Sum', ' 231894677)']","[' 12689506 (Average', ' 17.92 Max', ' 11349 Sum', ' 227472306 Ratio', '  98.09%)']","[' 2875     (Average', ' 1538.22 Max', ' 2019 Sum', ' 4422371 Ratio', '   1.91%)']", ,[' 318458  '],[' 16610   '],[' 289184  '],[' 114882  '],"[' 305376   (Atom=Atom', ' 82960 Body=Body', ' 55608 Other', ' 166808)']",[' Yes'],"[' 20344    (Eliminated', '    0 Frozen', ' 20344)']","[' 5537     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.91525'],[' 0'], ,[' 617.082'],[' 0'],[' 23.756'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.13648e+08'],[' 3.43595e+08'],[' 0'],[' 3.50393e+10'],[' 0'],[' 0'],[' 1597 '],[' 2703 '],[' 3437 '],[' 4289 '],[' 5187 '],[' 5993 '],[' 6 '],[' 0 ']
