Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 9761+'],[' 4887'],"[' 627.841s (Solving', ' 539.29s 1st Model', ' 153.92s Unsat', ' 0.00s)']",[' 624.469s'], ,[' 184903032'],"[' 2404256  (Analyzed', ' 1524943)']","[' 5369     (Average', ' 284.03 Last', ' 7938)']",[' 11118.3 '],"[' 4888     (Average Length', ' 2489.57 Splits', ' 0)']","[' 1524943  (Deleted', ' 1459085)']","[' 495      (Ratio', '   0.03%)']","[' 23550    (Ratio', '   1.54%)']","[' 1524943  (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1524943  (Average', ' 97.41 Max', ' 15664 Sum', ' 148551974)']","[' 1521887  (Average', ' 92.92 Max', ' 15664 Sum', ' 141690910 Ratio', '  95.38%)']","[' 3056     (Average', ' 2245.11 Max', ' 3625 Sum', ' 6861064 Ratio', '   4.62%)']", ,[' 373771  '],[' 21747   '],[' 342006  '],[' 163699  '],"[' 407644   (Atom=Atom', ' 111357 Body=Body', ' 77634 Other', ' 218653)']",[' Yes'],"[' 27257    (Eliminated', '    0 Frozen', ' 27257)']","[' 4473     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.4979'],[' 0'], ,[' 126.551'],[' 0'],[' 13.5926'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.00519e+08'],[' 2.67678e+08'],[' 0'],[' 2.62856e+09'],[' 0'],[' 0'],[' 1358 '],[' 2462 '],[' 3465 '],[' 4255 '],[' 5258 '],[' 7203 '],[' 6 '],[' 0 ']
Solving...,TA72, , , ,[' 10573+'],[' 5291'],"[' 633.314s (Solving', ' 541.82s 1st Model', ' 198.60s Unsat', ' 0.00s)']",[' 626.031s'], ,[' 211308090'],"[' 1804350  (Analyzed', ' 1397093)']","[' 4903     (Average', ' 284.95 Last', ' 56997)']",[' 10366.7 '],"[' 5292     (Average Length', ' 2636.99 Splits', ' 0)']","[' 1397093  (Deleted', ' 1326010)']","[' 484      (Ratio', '   0.03%)']","[' 30799    (Ratio', '   2.20%)']","[' 1397093  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1397093  (Average', ' 126.20 Max', ' 14890 Sum', ' 176315274)']","[' 1394452  (Average', ' 121.57 Max', ' 14890 Sum', ' 169838246 Ratio', '  96.33%)']","[' 2641     (Average', ' 2452.49 Max', ' 4001 Sum', ' 6477028 Ratio', '   3.67%)']", ,[' 373996  '],[' 21615   '],[' 341944  '],[' 163878  '],"[' 406969   (Atom=Atom', ' 111327 Body=Body', ' 77284 Other', ' 218358)']",[' Yes'],"[' 27373    (Eliminated', '    0 Frozen', ' 27373)']","[' 5701     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7725'],[' 0'], ,[' 120.373'],[' 0'],[' 14.258'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.8292e+08'],[' 3.3932e+08'],[' 0'],[' 2.3599e+09'],[' 0'],[' 0'],[' 1122 '],[' 2058 '],[' 2931 '],[' 3947 '],[' 5598 '],[' 5972 '],[' 6 '],[' 0 ']
Solving...,TA73, , , ,[' 8691+'],[' 4352'],"[' 625.935s (Solving', ' 545.12s 1st Model', ' 169.53s Unsat', ' 0.00s)']",[' 622.000s'], ,[' 198530658'],"[' 2701399  (Analyzed', ' 1803907)']","[' 5742     (Average', ' 314.16 Last', ' 15576)']",[' 10663.1 '],"[' 4353     (Average Length', ' 2259.08 Splits', ' 0)']","[' 1803907  (Deleted', ' 1735927)']","[' 587      (Ratio', '   0.03%)']","[' 29217    (Ratio', '   1.62%)']","[' 1803907  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1803907  (Average', ' 92.19 Max', ' 14937 Sum', ' 166307845)']","[' 1801016  (Average', ' 89.13 Max', ' 14937 Sum', ' 160784658 Ratio', '  96.68%)']","[' 2891     (Average', ' 1910.48 Max', ' 3239 Sum', ' 5523187 Ratio', '   3.32%)']", ,[' 373347  '],[' 21704   '],[' 341068  '],[' 163185  '],"[' 405381   (Atom=Atom', ' 110680 Body=Body', ' 77527 Other', ' 217174)']",[' Yes'],"[' 26841    (Eliminated', '    0 Frozen', ' 26841)']","[' 5625     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.9604'],[' 0'], ,[' 138.716'],[' 0'],[' 15.0233'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.30637e+08'],[' 2.94196e+08'],[' 0'],[' 3.12127e+09'],[' 0'],[' 0'],[' 1399 '],[' 2384 '],[' 3225 '],[' 4248 '],[' 5308 '],[' 6542 '],[' 6 '],[' 0 ']
Solving...,TA74, , , ,[' 10125+'],[' 5068'],"[' 628.384s (Solving', ' 543.96s 1st Model', ' 210.61s Unsat', ' 0.00s)']",[' 624.297s'], ,[' 226723457'],"[' 1756892  (Analyzed', ' 1358708)']","[' 4849     (Average', ' 280.20 Last', ' 39492)']",[' 10545.3 '],"[' 5069     (Average Length', ' 2534.84 Splits', ' 0)']","[' 1358708  (Deleted', ' 1289401)']","[' 377      (Ratio', '   0.03%)']","[' 34145    (Ratio', '   2.51%)']","[' 1358708  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1358708  (Average', ' 139.88 Max', ' 14852 Sum', ' 190062276)']","[' 1356497  (Average', ' 136.57 Max', ' 14852 Sum', ' 185559231 Ratio', '  97.63%)']","[' 2211     (Average', ' 2036.66 Max', ' 3728 Sum', ' 4503045 Ratio', '   2.37%)']", ,[' 373498  '],[' 21492   '],[' 341249  '],[' 163136  '],"[' 405257   (Atom=Atom', ' 110819 Body=Body', ' 77085 Other', ' 217353)']",[' Yes'],"[' 27151    (Eliminated', '    0 Frozen', ' 27151)']","[' 6073     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.2206'],[' 0'], ,[' 121.917'],[' 0'],[' 14.7149'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.15583e+08'],[' 3.69301e+08'],[' 0'],[' 2.42831e+09'],[' 0'],[' 0'],[' 1224 '],[' 2085 '],[' 2986 '],[' 3963 '],[' 5114 '],[' 5941 '],[' 6 '],[' 0 ']
Solving...,TA75, , , ,[' 10911+'],[' 5462'],"[' 626.508s (Solving', ' 540.92s 1st Model', ' 180.45s Unsat', ' 0.00s)']",[' 621.859s'], ,[' 218782456'],"[' 1652114  (Analyzed', ' 939567)']","[' 4213     (Average', ' 223.02 Last', ' 38029)']",[' 10755.9 '],"[' 5463     (Average Length', ' 2703.53 Splits', ' 0)']","[' 939567   (Deleted', ' 863165)']","[' 472      (Ratio', '   0.05%)']","[' 33171    (Ratio', '   3.53%)']","[' 939567   (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 939567   (Average', ' 191.45 Max', ' 14856 Sum', ' 179883976)']","[' 936996   (Average', ' 185.05 Max', ' 14856 Sum', ' 173868773 Ratio', '  96.66%)']","[' 2571     (Average', ' 2339.64 Max', ' 3974 Sum', ' 6015203 Ratio', '   3.34%)']", ,[' 374309  '],[' 21677   '],[' 342649  '],[' 164131  '],"[' 408596   (Atom=Atom', ' 111712 Body=Body', ' 77465 Other', ' 219419)']",[' Yes'],"[' 27588    (Eliminated', '    0 Frozen', ' 27588)']","[' 6148     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.6592'],[' 0'], ,[' 113.519'],[' 0'],[' 13.8482'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.20104e+08'],[' 3.75141e+08'],[' 0'],[' 2.2499e+09'],[' 0'],[' 0'],[' 1246 '],[' 2208 '],[' 3177 '],[' 4182 '],[' 5291 '],[' 6973 '],[' 6 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 10225+'],[' 5118'],"[' 624.192s (Solving', ' 546.48s 1st Model', ' 199.65s Unsat', ' 0.00s)']",[' 620.359s'], ,[' 241625947'],"[' 2788028  (Analyzed', ' 1973063)']","[' 6549     (Average', ' 301.28 Last', ' 15994)']",[' 10589.3 '],"[' 5118     (Average Length', ' 2587.84 Splits', ' 0)']","[' 1973063  (Deleted', ' 1893275)']","[' 540      (Ratio', '   0.03%)']","[' 36726    (Ratio', '   1.86%)']","[' 1973063  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1973063  (Average', ' 103.98 Max', ' 14009 Sum', ' 205155869)']","[' 1970416  (Average', ' 101.20 Max', ' 14009 Sum', ' 199673532 Ratio', '  97.33%)']","[' 2647     (Average', ' 2071.15 Max', ' 3695 Sum', ' 5482337 Ratio', '   2.67%)']", ,[' 373089  '],[' 21486   '],[' 341040  '],[' 162925  '],"[' 405216   (Atom=Atom', ' 110810 Body=Body', ' 77011 Other', ' 217395)']",[' Yes'],"[' 27259    (Eliminated', '    0 Frozen', ' 27259)']","[' 6688     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.4552'],[' 0'], ,[' 135.085'],[' 0'],[' 15.0668'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.35753e+08'],[' 3.87259e+08'],[' 0'],[' 3.28835e+09'],[' 0'],[' 0'],[' 1144 '],[' 2127 '],[' 3035 '],[' 3927 '],[' 4826 '],[' 6391 '],[' 6 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 10389+'],[' 5201'],"[' 620.492s (Solving', ' 548.49s 1st Model', ' 207.11s Unsat', ' 0.00s)']",[' 616.828s'], ,[' 256957900'],"[' 4131501  (Analyzed', ' 3086498)']","[' 8053     (Average', ' 383.27 Last', ' 57429)']",[' 10621.4 '],"[' 5201     (Average Length', ' 2578.54 Splits', ' 0)']","[' 3086498  (Deleted', ' 2998632)']","[' 481      (Ratio', '   0.02%)']","[' 37867    (Ratio', '   1.23%)']","[' 3086498  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3086498  (Average', ' 71.34 Max', ' 13824 Sum', ' 220198517)']","[' 3083577  (Average', ' 69.26 Max', ' 13824 Sum', ' 213772940 Ratio', '  97.08%)']","[' 2921     (Average', ' 2199.79 Max', ' 3753 Sum', ' 6425577 Ratio', '   2.92%)']", ,[' 373436  '],[' 21549   '],[' 341655  '],[' 163314  '],"[' 405615   (Atom=Atom', ' 110932 Body=Body', ' 77038 Other', ' 217645)']",[' Yes'],"[' 27222    (Eliminated', '    0 Frozen', ' 27222)']","[' 7253     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.0617'],[' 0'], ,[' 148.575'],[' 0'],[' 15.0312'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.58534e+08'],[' 4.04948e+08'],[' 0'],[' 4.59545e+09'],[' 0'],[' 0'],[' 1374 '],[' 2067 '],[' 2970 '],[' 3933 '],[' 5127 '],[' 5843 '],[' 6 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 9437+'],[' 4725'],"[' 617.640s (Solving', ' 555.17s 1st Model', ' 197.38s Unsat', ' 0.00s)']",[' 615.094s'], ,[' 286210812'],"[' 2898737  (Analyzed', ' 2468211)']","[' 7209     (Average', ' 342.38 Last', ' 81625)']",[' 9794.7  '],"[' 4725     (Average Length', ' 2390.20 Splits', ' 0)']","[' 2468211  (Deleted', ' 2371803)']","[' 543      (Ratio', '   0.02%)']","[' 50780    (Ratio', '   2.06%)']","[' 2468211  (Average Length', '   21.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2468211  (Average', ' 104.53 Max', ' 12742 Sum', ' 258001245)']","[' 2464988  (Average', ' 101.50 Max', ' 12742 Sum', ' 250526191 Ratio', '  97.10%)']","[' 3223     (Average', ' 2319.28 Max', ' 3424 Sum', ' 7475054 Ratio', '   2.90%)']", ,[' 374045  '],[' 21674   '],[' 341518  '],[' 163682  '],"[' 405817   (Atom=Atom', ' 110866 Body=Body', ' 77376 Other', ' 217575)']",[' Yes'],"[' 26999    (Eliminated', '    0 Frozen', ' 26999)']","[' 9727     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.3088'],[' 0'], ,[' 151.63'],[' 0'],[' 16.5786'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.5479e+08'],[' 4.92383e+08'],[' 0'],[' 4.68841e+09'],[' 0'],[' 0'],[' 1306 '],[' 2206 '],[' 3107 '],[' 4183 '],[' 4897 '],[' 5760 '],[' 6 '],[' 0 ']
Solving...,TA79, , , ,[' 9681+'],[' 4846'],"[' 576.976s (Solving', ' 504.17s 1st Model', ' 195.95s Unsat', ' 0.00s)']",[' 573.688s'], ,[' 245778128'],"[' 2467911  (Analyzed', ' 1813032)']","[' 5693     (Average', ' 318.47 Last', ' 42270)']",[' 10819.2 '],"[' 4846     (Average Length', ' 2476.06 Splits', ' 0)']","[' 1813032  (Deleted', ' 1734722)']","[' 330      (Ratio', '   0.02%)']","[' 39203    (Ratio', '   2.16%)']","[' 1813032  (Average Length', '   19.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1813032  (Average', ' 115.32 Max', ' 14851 Sum', ' 209084560)']","[' 1810949  (Average', ' 112.80 Max', ' 14851 Sum', ' 204517555 Ratio', '  97.82%)']","[' 2083     (Average', ' 2192.51 Max', ' 3523 Sum', ' 4567005 Ratio', '   2.18%)']", ,[' 373038  '],[' 21632   '],[' 340999  '],[' 162833  '],"[' 407975   (Atom=Atom', ' 111429 Body=Body', ' 77723 Other', ' 218823)']",[' Yes'],"[' 27301    (Eliminated', '    0 Frozen', ' 27301)']","[' 5797     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.1427'],[' 0'], ,[' 120.787'],[' 0'],[' 14.0132'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.87261e+08'],[' 4.31432e+08'],[' 0'],[' 3.30727e+09'],[' 0'],[' 0'],[' 1217 '],[' 2090 '],[' 2990 '],[' 4185 '],[' 5021 '],[' 6034 '],[' 6 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 10631+'],[' 5321'],"[' 623.276s (Solving', ' 548.95s 1st Model', ' 185.77s Unsat', ' 0.00s)']",[' 621.125s'], ,[' 272485093'],"[' 2019467  (Analyzed', ' 1622578)']","[' 6085     (Average', ' 266.65 Last', ' 26766)']",[' 10601.3 '],"[' 5321     (Average Length', ' 2622.75 Splits', ' 0)']","[' 1622578  (Deleted', ' 1538219)']","[' 440      (Ratio', '   0.03%)']","[' 44185    (Ratio', '   2.72%)']","[' 1622578  (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1622578  (Average', ' 144.18 Max', ' 14454 Sum', ' 233935748)']","[' 1620427  (Average', ' 141.40 Max', ' 14454 Sum', ' 229440483 Ratio', '  98.08%)']","[' 2151     (Average', ' 2089.85 Max', ' 3795 Sum', ' 4495265 Ratio', '   1.92%)']", ,[' 374687  '],[' 21743   '],[' 342840  '],[' 164310  '],"[' 409097   (Atom=Atom', ' 111858 Body=Body', ' 77761 Other', ' 219478)']",[' Yes'],"[' 27375    (Eliminated', '    0 Frozen', ' 27375)']","[' 7825     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1406'],[' 0'], ,[' 133.872'],[' 0'],[' 15.6156'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.2751e+08'],[' 4.6665e+08'],[' 0'],[' 3.45297e+09'],[' 0'],[' 0'],[' 1214 '],[' 2205 '],[' 3002 '],[' 3841 '],[' 4791 '],[' 5570 '],[' 6 '],[' 0 ']
