Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1'],[' 6947+'],[' 3476'],"[' 1007.039s (Solving', ' 979.00s 1st Model', ' 773.24s Unsat', ' 0.00s)']",[' 1005.547s'], ,[' 492309182'],"[' 5037156  (Analyzed', ' 1955107)']","[' 7771     (Average', ' 251.59 Last', ' 193448)']",[' 8655.0  '],"[' 3476     (Average Length', ' 1698.96 Splits', ' 0)']","[' 1955107  (Deleted', ' 1881852)']","[' 363      (Ratio', '   0.02%)']","[' 62649    (Ratio', '   3.20%)']","[' 1955107  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1955107  (Average', ' 238.28 Max', ' 10301 Sum', ' 465868991)']","[' 1954442  (Average', ' 237.62 Max', ' 8668 Sum', ' 464573571 Ratio', '  99.72%)']","[' 665      (Average', ' 1948.00 Max', ' 1948 Sum', ' 1295420 Ratio', '   0.28%)']", ,[' 148152  '],[' 12184   '],[' 145337  '],[' 67414   '],"[' 242538   (Atom=Atom', ' 69043 Body=Body', ' 39092 Other', ' 134403)']",[' Yes'],"[' 15460    (Eliminated', '    0 Frozen', ' 15460)']","[' 6685     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.94516'],[' 0'], ,[' 345.855'],[' 0'],[' 31.3289'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50681e+09'],[' 1.3511e+09'],[' 0'],[' 1.15143e+10'],[' 0'],[' 0'],[' 1813 '],[' 3487 '],[' 2 '],[' 0 ']
Solving...,TA62, , , , ,[' 1'],[' 5979+'],[' 2991'],"[' 56521.712s (Solving', ' 56489.89s 1st Model', ' 56234.68s Unsat', ' 0.00s)']",[' 580.672s'], ,[' 235156063'],"[' 6799813  (Analyzed', ' 581473)']","[' 3734     (Average', ' 155.72 Last', ' 144110)']",[' 10053.8 '],"[' 2991     (Average Length', ' 1465.86 Splits', ' 0)']","[' 581473   (Deleted', ' 541762)']","[' 116      (Ratio', '   0.02%)']","[' 31169    (Ratio', '   5.36%)']","[' 581473   (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 581473   (Average', ' 349.72 Max', ' 10708 Sum', ' 203354871)']","[' 581265   (Average', ' 349.20 Max', ' 10708 Sum', ' 203048279 Ratio', '  99.85%)']","[' 208      (Average', ' 1474.00 Max', ' 1474 Sum', ' 306592 Ratio', '   0.15%)']", ,[' 148461  '],[' 12306   '],[' 145151  '],[' 67540   '],"[' 242794   (Atom=Atom', ' 68925 Body=Body', ' 39458 Other', ' 134411)']",[' Yes'],"[' 15148    (Eliminated', '    0 Frozen', ' 15148)']","[' 264      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.8997'],[' 0'], ,[' 250.298'],[' 0'],[' 16.0182'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.20493e+08'],[' 4.6484e+08'],[' 0'],[' 1.18703e+10'],[' 0'],[' 0'],[' 1953 '],[' 3621 '],[' 2 '],[' 0 ']
Solving...,TA63, , , , ,[' 1'],[' 7047+'],[' 3526'],"[' 1007.527s (Solving', ' 977.62s 1st Model', ' 825.98s Unsat', ' 0.00s)']",[' 1003.172s'], ,[' 462301334'],"[' 4494207  (Analyzed', ' 1705357)']","[' 7175     (Average', ' 237.68 Last', ' 213384)']",[' 8706.8  '],"[' 3526     (Average Length', ' 1712.67 Splits', ' 0)']","[' 1705357  (Deleted', ' 1634089)']","[' 321      (Ratio', '   0.02%)']","[' 60840    (Ratio', '   3.57%)']","[' 1705357  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1705357  (Average', ' 255.27 Max', ' 9647 Sum', ' 435327021)']","[' 1704776  (Average', ' 254.66 Max', ' 8962 Sum', ' 434279478 Ratio', '  99.76%)']","[' 581      (Average', ' 1803.00 Max', ' 1803 Sum', ' 1047543 Ratio', '   0.24%)']", ,[' 147734  '],[' 12112   '],[' 144935  '],[' 67104   '],"[' 241680   (Atom=Atom', ' 68877 Body=Body', ' 38876 Other', ' 133927)']",[' Yes'],"[' 15368    (Eliminated', '    0 Frozen', ' 15368)']","[' 6553     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.28471'],[' 0'], ,[' 339.594'],[' 0'],[' 31.0932'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38965e+09'],[' 1.2511e+09'],[' 0'],[' 1.00981e+10'],[' 0'],[' 0'],[' 1754 '],[' 3259 '],[' 2 '],[' 0 ']
Solving...,TA64, , , , ,[' 1'],[' 6797+'],[' 3401'],"[' 1007.379s (Solving', ' 977.44s 1st Model', ' 781.82s Unsat', ' 0.00s)']",[' 1002.656s'], ,[' 457255832'],"[' 5220308  (Analyzed', ' 1760465)']","[' 7593     (Average', ' 231.85 Last', ' 159662)']",[' 8837.9  '],"[' 3401     (Average Length', ' 1651.50 Splits', ' 0)']","[' 1760465  (Deleted', ' 1690976)']","[' 298      (Ratio', '   0.02%)']","[' 59557    (Ratio', '   3.38%)']","[' 1760465  (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1760465  (Average', ' 244.18 Max', ' 9905 Sum', ' 429876826)']","[' 1759839  (Average', ' 243.58 Max', ' 8240 Sum', ' 428821166 Ratio', '  99.75%)']","[' 626      (Average', ' 1686.36 Max', ' 1689 Sum', ' 1055660 Ratio', '   0.25%)']", ,[' 148896  '],[' 12310   '],[' 145919  '],[' 67969   '],"[' 244077   (Atom=Atom', ' 69346 Body=Body', ' 39470 Other', ' 135261)']",[' Yes'],"[' 15487    (Eliminated', '    0 Frozen', ' 15487)']","[' 6458     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.4379'],[' 0'], ,[' 344.285'],[' 0'],[' 31.1124'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37395e+09'],[' 1.23376e+09'],[' 0'],[' 1.09971e+10'],[' 0'],[' 0'],[' 1795 '],[' 3273 '],[' 2 '],[' 0 ']
Solving...,TA65, , , , ,[' 1'],[' 7573+'],[' 3789'],"[' 1008.708s (Solving', ' 974.26s 1st Model', ' 785.02s Unsat', ' 0.00s)']",[' 1004.594s'], ,[' 443317853'],"[' 4697584  (Analyzed', ' 1588470)']","[' 7079     (Average', ' 224.39 Last', ' 132203)']",[' 8837.3  '],"[' 3789     (Average Length', ' 1850.68 Splits', ' 0)']","[' 1588470  (Deleted', ' 1516461)']","[' 278      (Ratio', '   0.02%)']","[' 60775    (Ratio', '   3.83%)']","[' 1588470  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1588470  (Average', ' 260.94 Max', ' 9676 Sum', ' 414502463)']","[' 1587824  (Average', ' 260.12 Max', ' 8098 Sum', ' 413190437 Ratio', '  99.68%)']","[' 646      (Average', ' 2031.00 Max', ' 2031 Sum', ' 1312026 Ratio', '   0.32%)']", ,[' 148374  '],[' 12170   '],[' 145830  '],[' 67657   '],"[' 243281   (Atom=Atom', ' 69314 Body=Body', ' 39050 Other', ' 134917)']",[' Yes'],"[' 15710    (Eliminated', '    0 Frozen', ' 15710)']","[' 6857     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.20249'],[' 0'], ,[' 336.937'],[' 0'],[' 30.564'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31028e+09'],[' 1.17816e+09'],[' 0'],[' 1.02256e+10'],[' 0'],[' 0'],[' 1714 '],[' 3391 '],[' 2 '],[' 0 ']
Solving...,TA66, , , , ,[' 1'],[' 6733+'],[' 3369'],"[' 1006.788s (Solving', ' 979.44s 1st Model', ' 846.37s Unsat', ' 0.00s)']",[' 1003.125s'], ,[' 466156013'],"[' 4245394  (Analyzed', ' 1783264)']","[' 7465     (Average', ' 238.88 Last', ' 144736)']",[' 8531.8  '],"[' 3369     (Average Length', ' 1642.40 Splits', ' 0)']","[' 1783264  (Deleted', ' 1711690)']","[' 299      (Ratio', '   0.02%)']","[' 60780    (Ratio', '   3.41%)']","[' 1783264  (Average Length', '   22.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1783264  (Average', ' 247.46 Max', ' 9870 Sum', ' 441281116)']","[' 1782618  (Average', ' 246.76 Max', ' 8916 Sum', ' 440043380 Ratio', '  99.72%)']","[' 646      (Average', ' 1916.00 Max', ' 1916 Sum', ' 1237736 Ratio', '   0.28%)']", ,[' 148331  '],[' 12228   '],[' 145341  '],[' 67527   '],"[' 242833   (Atom=Atom', ' 69068 Body=Body', ' 39224 Other', ' 134541)']",[' Yes'],"[' 15351    (Eliminated', '    0 Frozen', ' 15351)']","[' 6795     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.84679'],[' 0'], ,[' 338.795'],[' 0'],[' 31.0522'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42868e+09'],[' 1.28198e+09'],[' 0'],[' 1.01198e+10'],[' 0'],[' 0'],[' 1769 '],[' 3436 '],[' 2 '],[' 0 ']
Solving...,TA67, , , , ,[' 1'],[' 6509+'],[' 3257'],"[' 1007.190s (Solving', ' 979.32s 1st Model', ' 821.08s Unsat', ' 0.00s)']",[' 995.750s'], ,[' 430669424'],"[' 4531283  (Analyzed', ' 1606065)']","[' 7026     (Average', ' 228.59 Last', ' 128795)']",[' 8582.7  '],"[' 3257     (Average Length', ' 1596.40 Splits', ' 0)']","[' 1606065  (Deleted', ' 1541320)']","[' 302      (Ratio', '   0.02%)']","[' 57089    (Ratio', '   3.55%)']","[' 1606065  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1606065  (Average', ' 252.57 Max', ' 9649 Sum', ' 405651239)']","[' 1605417  (Average', ' 251.84 Max', ' 8447 Sum', ' 404476415 Ratio', '  99.71%)']","[' 648      (Average', ' 1813.00 Max', ' 1813 Sum', ' 1174824 Ratio', '   0.29%)']", ,[' 147517  '],[' 12120   '],[' 144519  '],[' 66875   '],"[' 240985   (Atom=Atom', ' 68632 Body=Body', ' 38900 Other', ' 133453)']",[' Yes'],"[' 15181    (Eliminated', '    0 Frozen', ' 15181)']","[' 6373     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.87673'],[' 0'], ,[' 346.307'],[' 0'],[' 30.8696'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23427e+09'],[' 1.10625e+09'],[' 0'],[' 9.98005e+09'],[' 0'],[' 0'],[' 1865 '],[' 3394 '],[' 2 '],[' 0 ']
Solving...,TA68, , , , ,[' 1'],[' 7341+'],[' 3673'],"[' 1009.669s (Solving', ' 972.44s 1st Model', ' 710.67s Unsat', ' 0.00s)']",[' 999.078s'], ,[' 412180542'],"[' 4942418  (Analyzed', ' 1421277)']","[' 6819     (Average', ' 208.43 Last', ' 125969)']",[' 8985.5  '],"[' 3673     (Average Length', ' 1771.14 Splits', ' 0)']","[' 1421277  (Deleted', ' 1357820)']","[' 285      (Ratio', '   0.02%)']","[' 55136    (Ratio', '   3.88%)']","[' 1421277  (Average Length', '   21.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1421277  (Average', ' 269.23 Max', ' 9139 Sum', ' 382649390)']","[' 1420586  (Average', ' 268.40 Max', ' 8091 Sum', ' 381473308 Ratio', '  99.69%)']","[' 691      (Average', ' 1702.00 Max', ' 1702 Sum', ' 1176082 Ratio', '   0.31%)']", ,[' 148167  '],[' 12156   '],[' 145521  '],[' 67471   '],"[' 242737   (Atom=Atom', ' 69156 Body=Body', ' 39008 Other', ' 134573)']",[' Yes'],"[' 15587    (Eliminated', '    0 Frozen', ' 15587)']","[' 6591     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.7222'],[' 0'], ,[' 349.16'],[' 0'],[' 30.4095'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16197e+09'],[' 1.04288e+09'],[' 0'],[' 9.85309e+09'],[' 0'],[' 0'],[' 1763 '],[' 3331 '],[' 2 '],[' 0 ']
Solving...,TA69, , , , ,[' 1'],[' 6415+'],[' 3210'],"[' 1006.845s (Solving', ' 979.56s 1st Model', ' 813.28s Unsat', ' 0.00s)']",[' 1003.063s'], ,[' 462091247'],"[' 4451493  (Analyzed', ' 1701551)']","[' 7013     (Average', ' 242.63 Last', ' 297560)']",[' 8674.3  '],"[' 3210     (Average Length', ' 1572.31 Splits', ' 0)']","[' 1701551  (Deleted', ' 1629949)']","[' 350      (Ratio', '   0.02%)']","[' 63876    (Ratio', '   3.75%)']","[' 1701551  (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1701551  (Average', ' 256.84 Max', ' 9733 Sum', ' 437021167)']","[' 1700931  (Average', ' 256.23 Max', ' 8842 Sum', ' 435994991 Ratio', '  99.77%)']","[' 620      (Average', ' 1655.12 Max', ' 6391 Sum', ' 1026176 Ratio', '   0.23%)']", ,[' 148302  '],[' 12248   '],[' 145215  '],[' 67468   '],"[' 242635   (Atom=Atom', ' 68969 Body=Body', ' 39284 Other', ' 134382)']",[' Yes'],"[' 15284    (Eliminated', '    0 Frozen', ' 15284)']","[' 7215     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.80905'],[' 0'], ,[' 335.761'],[' 0'],[' 31.3344'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37314e+09'],[' 1.2394e+09'],[' 0'],[' 1.01249e+10'],[' 0'],[' 0'],[' 1899 '],[' 3657 '],[' 2 '],[' 0 ']
Solving...,TA70, , , , ,[' 1'],[' 6105+'],[' 3055'],"[' 1006.726s (Solving', ' 980.03s 1st Model', ' 517.07s Unsat', ' 0.00s)']",[' 1002.750s'], ,[' 456164652'],"[' 4482273  (Analyzed', ' 1919462)']","[' 6693     (Average', ' 286.79 Last', ' 173301)']",[' 8604.6  '],"[' 3055     (Average Length', ' 1495.56 Splits', ' 0)']","[' 1919462  (Deleted', ' 1841075)']","[' 390      (Ratio', '   0.02%)']","[' 65625    (Ratio', '   3.42%)']","[' 1919462  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1919462  (Average', ' 225.35 Max', ' 8981 Sum', ' 432550424)']","[' 1918768  (Average', ' 224.75 Max', ' 7594 Sum', ' 431399772 Ratio', '  99.73%)']","[' 694      (Average', ' 1658.00 Max', ' 1658 Sum', ' 1150652 Ratio', '   0.27%)']", ,[' 149200  '],[' 12410   '],[' 145898  '],[' 68123   '],"[' 244439   (Atom=Atom', ' 69300 Body=Body', ' 39770 Other', ' 135369)']",[' Yes'],"[' 15312    (Eliminated', '    0 Frozen', ' 15312)']","[' 7361     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.73606'],[' 0'], ,[' 347.51'],[' 0'],[' 31.4577'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3478e+09'],[' 1.21304e+09'],[' 0'],[' 1.05234e+10'],[' 0'],[' 0'],[' 2054 '],[' 3810 '],[' 2 '],[' 0 ']
