Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 9547+'],[' 4781'],"[' 620.656s (Solving', ' 552.24s 1st Model', ' 109.23s Unsat', ' 0.00s)']",[' 618.781s'], ,[' 253551234'],"[' 4832641  (Analyzed', ' 4523105)']","[' 10279    (Average', ' 440.03 Last', ' 7199)']",[' 10875.9 '],"[' 4782     (Average Length', ' 2414.11 Splits', ' 0)']","[' 4523105  (Deleted', ' 4424591)']","[' 914      (Ratio', '   0.02%)']","[' 33496    (Ratio', '   0.74%)']","[' 4523105  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4523105  (Average', ' 48.64 Max', ' 14409 Sum', ' 219992445)']","[' 4519346  (Average', ' 46.97 Max', ' 14409 Sum', ' 212471711 Ratio', '  96.58%)']","[' 3759     (Average', ' 2000.73 Max', ' 3544 Sum', ' 7520734 Ratio', '   3.42%)']", ,[' 377623  '],[' 22236   '],[' 347231  '],[' 172234  '],"[' 414527   (Atom=Atom', ' 114387 Body=Body', ' 80582 Other', ' 219558)']",[' Yes'],"[' 27409    (Eliminated', '    0 Frozen', ' 27409)']","[' 6311     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5631'],[' 0'], ,[' 175.35'],[' 0'],[' 15.4696'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.25704e+08'],[' 3.76933e+08'],[' 0'],[' 7.24594e+09'],[' 0'],[' 0'],[' 1380 '],[' 2552 '],[' 3211 '],[' 4006 '],[' 4652 '],[' 5537 '],[' 6906 '],[' 7 '],[' 0 ']
Solving...,TA72, , , , ,[' 9883+'],[' 4949'],"[' 621.621s (Solving', ' 551.11s 1st Model', ' 108.62s Unsat', ' 0.00s)']",[' 619.938s'], ,[' 221604211'],"[' 5520987  (Analyzed', ' 5032472)']","[' 11417    (Average', ' 440.79 Last', ' 4230)']",[' 11130.9 '],"[' 4950     (Average Length', ' 2491.54 Splits', ' 0)']","[' 5032472  (Deleted', ' 4946856)']","[' 737      (Ratio', '   0.01%)']","[' 26800    (Ratio', '   0.53%)']","[' 5032472  (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5032472  (Average', ' 36.65 Max', ' 15192 Sum', ' 184428589)']","[' 5029325  (Average', ' 35.38 Max', ' 15192 Sum', ' 178051198 Ratio', '  96.54%)']","[' 3147     (Average', ' 2026.50 Max', ' 3664 Sum', ' 6377391 Ratio', '   3.46%)']", ,[' 376137  '],[' 21867   '],[' 345341  '],[' 171161  '],"[' 408645   (Atom=Atom', ' 112929 Body=Body', ' 79314 Other', ' 216402)']",[' Yes'],"[' 27145    (Eliminated', '    0 Frozen', ' 27145)']","[' 4912     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9503'],[' 0'], ,[' 189.321'],[' 0'],[' 14.432'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.58755e+08'],[' 3.12821e+08'],[' 0'],[' 8.42166e+09'],[' 0'],[' 0'],[' 1087 '],[' 2073 '],[' 2751 '],[' 3599 '],[' 4562 '],[' 5192 '],[' 6169 '],[' 7 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 9497+'],[' 4756'],"[' 618.845s (Solving', ' 554.78s 1st Model', ' 106.30s Unsat', ' 0.00s)']",[' 616.844s'], ,[' 248301765'],"[' 6181976  (Analyzed', ' 5594520)']","[' 12672    (Average', ' 441.49 Last', ' 5565)']",[' 11222.1 '],"[' 4756     (Average Length', ' 2441.22 Splits', ' 0)']","[' 5594520  (Deleted', ' 5495840)']","[' 828      (Ratio', '   0.01%)']","[' 26475    (Ratio', '   0.47%)']","[' 5594520  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5594520  (Average', ' 38.12 Max', ' 14975 Sum', ' 213260769)']","[' 5590822  (Average', ' 36.75 Max', ' 14975 Sum', ' 205594236 Ratio', '  96.41%)']","[' 3698     (Average', ' 2073.16 Max', ' 3633 Sum', ' 7666533 Ratio', '   3.59%)']", ,[' 376972  '],[' 22156   '],[' 346584  '],[' 172042  '],"[' 410553   (Atom=Atom', ' 113373 Body=Body', ' 79817 Other', ' 217363)']",[' Yes'],"[' 27152    (Eliminated', '    0 Frozen', ' 27152)']","[' 4869     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.2756'],[' 0'], ,[' 190.818'],[' 0'],[' 15.4638'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.81749e+08'],[' 3.3676e+08'],[' 0'],[' 8.58996e+09'],[' 0'],[' 0'],[' 1512 '],[' 2485 '],[' 3001 '],[' 3865 '],[' 4755 '],[' 5497 '],[' 6442 '],[' 7 '],[' 0 ']
Solving...,TA74, , , , ,[' 10343+'],[' 5177'],"[' 627.683s (Solving', ' 548.72s 1st Model', ' 115.22s Unsat', ' 0.00s)']",[' 625.922s'], ,[' 229446785'],"[' 5809217  (Analyzed', ' 5202927)']","[' 12435    (Average', ' 418.41 Last', ' 12829)']",[' 10887.9 '],"[' 5178     (Average Length', ' 2605.16 Splits', ' 0)']","[' 5202927  (Deleted', ' 5086030)']","[' 683      (Ratio', '   0.01%)']","[' 30089    (Ratio', '   0.58%)']","[' 5202927  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5202927  (Average', ' 36.79 Max', ' 14684 Sum', ' 191403602)']","[' 5200046  (Average', ' 35.68 Max', ' 14684 Sum', ' 185640557 Ratio', '  96.99%)']","[' 2881     (Average', ' 2000.36 Max', ' 3902 Sum', ' 5763045 Ratio', '   3.01%)']", ,[' 372881  '],[' 21549   '],[' 342851  '],[' 168389  '],"[' 408219   (Atom=Atom', ' 112836 Body=Body', ' 78965 Other', ' 216418)']",[' Yes'],"[' 27328    (Eliminated', '    0 Frozen', ' 27328)']","[' 5219     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4162'],[' 0'], ,[' 165.371'],[' 0'],[' 14.2453'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.9747e+08'],[' 3.49424e+08'],[' 0'],[' 6.52022e+09'],[' 0'],[' 0'],[' 1200 '],[' 1948 '],[' 2735 '],[' 3844 '],[' 4394 '],[' 6506 '],[' 6659 '],[' 7 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 9805+'],[' 4910'],"[' 618.629s (Solving', ' 550.62s 1st Model', ' 106.14s Unsat', ' 0.00s)']",[' 616.563s'], ,[' 230661508'],"[' 5477585  (Analyzed', ' 5010808)']","[' 11549    (Average', ' 433.87 Last', ' 7782)']",[' 11413.8 '],"[' 4910     (Average Length', ' 2475.98 Splits', ' 0)']","[' 5010808  (Deleted', ' 4918913)']","[' 746      (Ratio', '   0.01%)']","[' 26029    (Ratio', '   0.52%)']","[' 5010808  (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5010808  (Average', ' 38.40 Max', ' 15311 Sum', ' 192430686)']","[' 5007488  (Average', ' 37.13 Max', ' 15311 Sum', ' 186033833 Ratio', '  96.68%)']","[' 3320     (Average', ' 1926.76 Max', ' 3734 Sum', ' 6396853 Ratio', '   3.32%)']", ,[' 379181  '],[' 22398   '],[' 348985  '],[' 173638  '],"[' 412976   (Atom=Atom', ' 114008 Body=Body', ' 80139 Other', ' 218829)']",[' Yes'],"[' 27420    (Eliminated', '    0 Frozen', ' 27420)']","[' 4861     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.1897'],[' 0'], ,[' 179.376'],[' 0'],[' 14.3837'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.68923e+08'],[' 3.27602e+08'],[' 0'],[' 7.93954e+09'],[' 0'],[' 0'],[' 1330 '],[' 2562 '],[' 3048 '],[' 3714 '],[' 4766 '],[' 6009 '],[' 6375 '],[' 7 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 9339+'],[' 4676'],"[' 620.115s (Solving', ' 555.12s 1st Model', ' 101.99s Unsat', ' 0.00s)']",[' 618.313s'], ,[' 213252692'],"[' 6673416  (Analyzed', ' 6218748)']","[' 14719    (Average', ' 422.50 Last', ' 18006)']",[' 11455.8 '],"[' 4676     (Average Length', ' 2389.51 Splits', ' 0)']","[' 6218748  (Deleted', ' 6112664)']","[' 654      (Ratio', '   0.01%)']","[' 23051    (Ratio', '   0.37%)']","[' 6218748  (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6218748  (Average', ' 28.16 Max', ' 15949 Sum', ' 175120424)']","[' 6215885  (Average', ' 27.35 Max', ' 15949 Sum', ' 170071921 Ratio', '  97.12%)']","[' 2863     (Average', ' 1763.36 Max', ' 3641 Sum', ' 5048503 Ratio', '   2.88%)']", ,[' 374801  '],[' 21682   '],[' 343882  '],[' 169549  '],"[' 406752   (Atom=Atom', ' 112325 Body=Body', ' 79050 Other', ' 215377)']",[' Yes'],"[' 26911    (Eliminated', '    0 Frozen', ' 26911)']","[' 3804     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.2643'],[' 0'], ,[' 207.988'],[' 0'],[' 14.1879'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.31229e+08'],[' 2.88014e+08'],[' 0'],[' 1.00209e+10'],[' 0'],[' 0'],[' 1218 '],[' 2142 '],[' 2816 '],[' 3764 '],[' 4621 '],[' 6177 '],[' 6228 '],[' 7 '],[' 0 ']
Solving...,TA77, , , , ,[' 9827+'],[' 4921'],"[' 623.704s (Solving', ' 549.98s 1st Model', ' 117.24s Unsat', ' 0.00s)']",[' 621.594s'], ,[' 230107647'],"[' 6079783  (Analyzed', ' 5441331)']","[' 12534    (Average', ' 434.13 Last', ' 6775)']",[' 11548.6 '],"[' 4922     (Average Length', ' 2485.15 Splits', ' 0)']","[' 5441331  (Deleted', ' 5345767)']","[' 887      (Ratio', '   0.02%)']","[' 27621    (Ratio', '   0.51%)']","[' 5441331  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5441331  (Average', ' 35.09 Max', ' 14843 Sum', ' 190937205)']","[' 5437891  (Average', ' 33.91 Max', ' 14843 Sum', ' 184519721 Ratio', '  96.64%)']","[' 3440     (Average', ' 1865.55 Max', ' 3584 Sum', ' 6417484 Ratio', '   3.36%)']", ,[' 376261  '],[' 21931   '],[' 345698  '],[' 171264  '],"[' 406923   (Atom=Atom', ' 112422 Body=Body', ' 78893 Other', ' 215608)']",[' Yes'],"[' 27057    (Eliminated', '    0 Frozen', ' 27057)']","[' 5231     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.3997'],[' 0'], ,[' 179.818'],[' 0'],[' 14.2142'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.71805e+08'],[' 3.24152e+08'],[' 0'],[' 7.88133e+09'],[' 0'],[' 0'],[' 1535 '],[' 2052 '],[' 3009 '],[' 3505 '],[' 4622 '],[' 5515 '],[' 6766 '],[' 7 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 10581+'],[' 5298'],"[' 620.502s (Solving', ' 549.04s 1st Model', ' 104.14s Unsat', ' 0.00s)']",[' 617.859s'], ,[' 235219822'],"[' 5252979  (Analyzed', ' 4869281)']","[' 11362    (Average', ' 428.56 Last', ' 48019)']",[' 10638.3 '],"[' 5298     (Average Length', ' 2617.95 Splits', ' 0)']","[' 4869281  (Deleted', ' 4773770)']","[' 849      (Ratio', '   0.02%)']","[' 30415    (Ratio', '   0.62%)']","[' 4869281  (Average Length', '   19.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4869281  (Average', ' 41.03 Max', ' 14206 Sum', ' 199789136)']","[' 4865786  (Average', ' 39.44 Max', ' 14206 Sum', ' 192056408 Ratio', '  96.13%)']","[' 3495     (Average', ' 2212.51 Max', ' 3863 Sum', ' 7732728 Ratio', '   3.87%)']", ,[' 372545  '],[' 21532   '],[' 342780  '],[' 168127  '],"[' 407354   (Atom=Atom', ' 112606 Body=Body', ' 78736 Other', ' 216012)']",[' Yes'],"[' 27350    (Eliminated', '    0 Frozen', ' 27350)']","[' 5873     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6022'],[' 0'], ,[' 167.408'],[' 0'],[' 14.4289'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.92054e+08'],[' 3.43189e+08'],[' 0'],[' 6.59859e+09'],[' 0'],[' 0'],[' 1147 '],[' 2086 '],[' 2831 '],[' 3667 '],[' 4524 '],[' 5723 '],[' 7298 '],[' 7 '],[' 0 ']
Solving...,TA79, , , , ,[' 11271+'],[' 5641'],"[' 627.701s (Solving', ' 544.66s 1st Model', ' 117.24s Unsat', ' 0.00s)']",[' 626.000s'], ,[' 213440649'],"[' 5033959  (Analyzed', ' 4527083)']","[' 11463    (Average', ' 394.93 Last', ' 27453)']",[' 11064.7 '],"[' 5642     (Average Length', ' 2749.75 Splits', ' 0)']","[' 4527083  (Deleted', ' 4434728)']","[' 746      (Ratio', '   0.02%)']","[' 25344    (Ratio', '   0.56%)']","[' 4527083  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4527083  (Average', ' 38.06 Max', ' 15066 Sum', ' 172302618)']","[' 4523967  (Average', ' 36.61 Max', ' 15066 Sum', ' 165737018 Ratio', '  96.19%)']","[' 3116     (Average', ' 2107.06 Max', ' 4149 Sum', ' 6565600 Ratio', '   3.81%)']", ,[' 375192  '],[' 21660   '],[' 345058  '],[' 170104  '],"[' 411704   (Atom=Atom', ' 113868 Body=Body', ' 79487 Other', ' 218349)']",[' Yes'],"[' 27665    (Eliminated', '    0 Frozen', ' 27665)']","[' 4867     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5025'],[' 0'], ,[' 163.51'],[' 0'],[' 13.5138'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.50354e+08'],[' 3.07946e+08'],[' 0'],[' 6.47448e+09'],[' 0'],[' 0'],[' 1071 '],[' 1980 '],[' 2798 '],[' 3573 '],[' 4502 '],[' 5596 '],[' 6454 '],[' 7 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 10405+'],[' 5209'],"[' 622.312s (Solving', ' 547.26s 1st Model', ' 111.37s Unsat', ' 0.00s)']",[' 620.516s'], ,[' 225007032'],"[' 4563167  (Analyzed', ' 4100241)']","[' 9627     (Average', ' 425.91 Last', ' 42073)']",[' 11468.9 '],"[' 5209     (Average Length', ' 2629.39 Splits', ' 0)']","[' 4100241  (Deleted', ' 4014878)']","[' 656      (Ratio', '   0.02%)']","[' 29849    (Ratio', '   0.73%)']","[' 4100241  (Average Length', '   25.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4100241  (Average', ' 44.76 Max', ' 15267 Sum', ' 183540363)']","[' 4097450  (Average', ' 43.46 Max', ' 15267 Sum', ' 178185125 Ratio', '  97.08%)']","[' 2791     (Average', ' 1918.75 Max', ' 3914 Sum', ' 5355238 Ratio', '   2.92%)']", ,[' 375922  '],[' 21975   '],[' 345983  '],[' 170895  '],"[' 410796   (Atom=Atom', ' 113520 Body=Body', ' 79548 Other', ' 217728)']",[' Yes'],"[' 27535    (Eliminated', '    0 Frozen', ' 27535)']","[' 5061     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1437'],[' 0'], ,[' 167.095'],[' 0'],[' 13.852'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.79288e+08'],[' 3.33559e+08'],[' 0'],[' 6.95663e+09'],[' 0'],[' 0'],[' 1458 '],[' 2203 '],[' 2982 '],[' 3565 '],[' 4425 '],[' 5266 '],[' 7744 '],[' 7 '],[' 0 ']
