Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA60_Clus(1), , , , , ,[' 4519'],[' 2263'],"[' 444.982s (Solving', ' 434.52s 1st Model', ' 315.97s Unsat', ' 6.70s)']",[' 443.359s'], ,[' 155804991'],"[' 7508126  (Analyzed', ' 6832421)']","[' 17626    (Average', ' 387.63 Last', ' 817069)']",[' 4082.8  '],"[' 2263     (Average Length', ' 1173.99 Splits', ' 0)']","[' 6832421  (Deleted', ' 6784890)']","[' 599      (Ratio', '   0.01%)']","[' 16324    (Ratio', '   0.24%)']","[' 6832421  (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6832421  (Average', ' 21.75 Max', ' 4075 Sum', ' 148590922)']","[' 6832015  (Average', ' 21.68 Max', ' 4075 Sum', ' 148117264 Ratio', '  99.68%)']","[' 406      (Average', ' 1166.65 Max', ' 1493 Sum', ' 473658 Ratio', '   0.32%)']", ,[' 93299   '],[' 6007    '],[' 87542   '],[' 39653   '],"[' 116764   (Atom=Atom', ' 30550 Body=Body', ' 20049 Other', ' 66165)']",[' Yes'],"[' 8361     (Eliminated', '    0 Frozen', ' 8361)']","[' 2676     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.10905'],[' 0'], ,[' 214.172'],[' 0'],[' 11.829'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.47139e+08'],[' 4.49054e+08'],[' 0'],[' 9.20421e+09'],[' 0'],[' 0'],[' 1191 '],[' 2366 '],[' 3483 '],[' 2 '],[' 1 ']
Solving...,TA60_Clus(10), , , , ,[' 1'],[' 3417+'],[' 1712'],"[' 602.550s (Solving', ' 593.86s 1st Model', ' 41.27s Unsat', ' 0.00s)']",[' 601.047s'], ,[' 178242132'],"[' 9796286  (Analyzed', ' 9493193)']","[' 18800    (Average', ' 504.96 Last', ' 191697)']",[' 3645.0  '],"[' 1712     (Average Length', ' 893.71 Splits', ' 0)']","[' 9493193  (Deleted', ' 9399759)']","[' 405      (Ratio', '   0.00%)']","[' 26311    (Ratio', '   0.28%)']","[' 9493193  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9493193  (Average', ' 18.24 Max', ' 3618 Sum', ' 173198391)']","[' 9492703  (Average', ' 18.19 Max', ' 3618 Sum', ' 172724744 Ratio', '  99.73%)']","[' 490      (Average', ' 966.63 Max', ' 1411 Sum', ' 473647 Ratio', '   0.27%)']", ,[' 93124   '],[' 6081    '],[' 86857   '],[' 39470   '],"[' 116207   (Atom=Atom', ' 30281 Body=Body', ' 20265 Other', ' 65661)']",[' Yes'],"[' 7919     (Eliminated', '    0 Frozen', ' 7919)']","[' 4418     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.81816'],[' 0'], ,[' 346.645'],[' 0'],[' 16.077'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.28595e+08'],[' 4.36437e+08'],[' 0'],[' 2.03542e+10'],[' 0'],[' 0'],[' 1120 '],[' 2420 '],[' 3637 '],[' 3 '],[' 0 ']
Solving...,TA60_Clus(11), , , , ,[' 1'],[' 4049+'],[' 2028'],"[' 602.453s (Solving', ' 593.19s 1st Model', ' 32.12s Unsat', ' 0.00s)']",[' 601.406s'], ,[' 216982032'],"[' 10417078 (Analyzed', ' 9948922)']","[' 19270    (Average', ' 516.29 Last', ' 73031)']",[' 3758.4  '],"[' 2028     (Average Length', ' 1045.10 Splits', ' 0)']","[' 9948922  (Deleted', ' 9846972)']","[' 401      (Ratio', '   0.00%)']","[' 29521    (Ratio', '   0.30%)']","[' 9948922  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9948922  (Average', ' 21.21 Max', ' 3618 Sum', ' 210972117)']","[' 9948493  (Average', ' 21.16 Max', ' 3618 Sum', ' 210506973 Ratio', '  99.78%)']","[' 429      (Average', ' 1084.25 Max', ' 1607 Sum', ' 465144 Ratio', '   0.22%)']", ,[' 93050   '],[' 6082    '],[' 87257   '],[' 39628   '],"[' 116753   (Atom=Atom', ' 30559 Body=Body', ' 20250 Other', ' 65944)']",[' Yes'],"[' 8187     (Eliminated', '    0 Frozen', ' 8187)']","[' 4289     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.86656'],[' 0'], ,[' 326.158'],[' 0'],[' 16.9996'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.66879e+08'],[' 5.53065e+08'],[' 0'],[' 1.95018e+10'],[' 0'],[' 0'],[' 1088 '],[' 2281 '],[' 3425 '],[' 3 '],[' 0 ']
Solving...,TA60_Clus(12), , , , ,[' 1'],[' 3425+'],[' 1716'],"[' 601.449s (Solving', ' 593.89s 1st Model', ' 27.42s Unsat', ' 0.00s)']",[' 599.875s'], ,[' 213486936'],"[' 10686106 (Analyzed', ' 10344623)']","[' 19897    (Average', ' 519.91 Last', ' 64889)']",[' 3660.8  '],"[' 1716     (Average Length', ' 904.52 Splits', ' 0)']","[' 10344623 (Deleted', ' 10243058)']","[' 485      (Ratio', '   0.00%)']","[' 31055    (Ratio', '   0.30%)']","[' 10344623 (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10344623 (Average', ' 20.13 Max', ' 3565 Sum', ' 208288932)']","[' 10344127 (Average', ' 20.09 Max', ' 3565 Sum', ' 207816508 Ratio', '  99.77%)']","[' 496      (Average', ' 952.47 Max', ' 1074 Sum', ' 472424 Ratio', '   0.23%)']", ,[' 93532   '],[' 6145    '],[' 87268   '],[' 39726   '],"[' 117153   (Atom=Atom', ' 30541 Body=Body', ' 20457 Other', ' 66155)']",[' Yes'],"[' 7984     (Eliminated', '    0 Frozen', ' 7984)']","[' 4654     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.60844'],[' 0'], ,[' 330.614'],[' 0'],[' 16.3514'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.56715e+08'],[' 5.48768e+08'],[' 0'],[' 2.02136e+10'],[' 0'],[' 0'],[' 1220 '],[' 2571 '],[' 3676 '],[' 3 '],[' 0 ']
Solving...,TA60_Clus(13), , , , ,[' 1'],[' 3097+'],[' 1552'],"[' 602.218s (Solving', ' 595.35s 1st Model', ' 22.54s Unsat', ' 0.00s)']",[' 600.531s'], ,[' 217100160'],"[' 11360989 (Analyzed', ' 11016025)']","[' 20772    (Average', ' 530.33 Last', ' 56488)']",[' 3580.6  '],"[' 1552     (Average Length', ' 821.24 Splits', ' 0)']","[' 11016025 (Deleted', ' 10901567)']","[' 503      (Ratio', '   0.00%)']","[' 29265    (Ratio', '   0.27%)']","[' 11016025 (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11016025 (Average', ' 19.27 Max', ' 3620 Sum', ' 212279469)']","[' 11015563 (Average', ' 19.23 Max', ' 3620 Sum', ' 211883615 Ratio', '  99.81%)']","[' 462      (Average', ' 856.83 Max', ' 937 Sum', ' 395854 Ratio', '   0.19%)']", ,[' 92691   '],[' 6122    '],[' 86565   '],[' 39258   '],"[' 115777   (Atom=Atom', ' 30229 Body=Body', ' 20364 Other', ' 65184)']",[' Yes'],"[' 7825     (Eliminated', '    0 Frozen', ' 7825)']","[' 4097     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.44456'],[' 0'], ,[' 342.271'],[' 0'],[' 16.7991'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.29755e+08'],[' 5.23305e+08'],[' 0'],[' 2.07131e+10'],[' 0'],[' 0'],[' 1193 '],[' 2499 '],[' 3659 '],[' 3 '],[' 0 ']
Solving...,TA60_Clus(14), , , , ,[' 1'],[' 3443+'],[' 1725'],"[' 601.898s (Solving', ' 593.26s 1st Model', ' 14.53s Unsat', ' 0.00s)']",[' 600.328s'], ,[' 219509495'],"[' 11001881 (Analyzed', ' 10721820)']","[' 19958    (Average', ' 537.22 Last', ' 76323)']",[' 3757.0  '],"[' 1725     (Average Length', ' 907.01 Splits', ' 0)']","[' 10721820 (Deleted', ' 10618023)']","[' 550      (Ratio', '   0.01%)']","[' 30797    (Ratio', '   0.29%)']","[' 10721820 (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10721820 (Average', ' 19.98 Max', ' 3529 Sum', ' 214216760)']","[' 10721240 (Average', ' 19.93 Max', ' 3529 Sum', ' 213726466 Ratio', '  99.77%)']","[' 580      (Average', ' 845.33 Max', ' 2129 Sum', ' 490294 Ratio', '   0.23%)']", ,[' 93309   '],[' 6109    '],[' 87090   '],[' 39563   '],"[' 116614   (Atom=Atom', ' 30406 Body=Body', ' 20349 Other', ' 65859)']",[' Yes'],"[' 7979     (Eliminated', '    0 Frozen', ' 7979)']","[' 4572     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.75126'],[' 0'], ,[' 329.852'],[' 0'],[' 16.8003'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.51937e+08'],[' 5.4487e+08'],[' 0'],[' 2.0436e+10'],[' 0'],[' 0'],[' 1221 '],[' 2674 '],[' 3767 '],[' 3 '],[' 0 ']
Solving...,TA60_Clus(15), , , , ,[' 1'],[' 3481+'],[' 1744'],"[' 601.905s (Solving', ' 593.76s 1st Model', ' 165.31s Unsat', ' 0.00s)']",[' 600.531s'], ,[' 220206194'],"[' 10038899 (Analyzed', ' 9724346)']","[' 19738    (Average', ' 492.67 Last', ' 903398)']",[' 3658.0  '],"[' 1744     (Average Length', ' 905.34 Splits', ' 0)']","[' 9724346  (Deleted', ' 9625552)']","[' 549      (Ratio', '   0.01%)']","[' 30379    (Ratio', '   0.31%)']","[' 9724346  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9724346  (Average', ' 22.10 Max', ' 3479 Sum', ' 214941643)']","[' 9723851  (Average', ' 22.06 Max', ' 3479 Sum', ' 214499083 Ratio', '  99.79%)']","[' 495      (Average', ' 894.06 Max', ' 1002 Sum', ' 442560 Ratio', '   0.21%)']", ,[' 93245   '],[' 6096    '],[' 87017   '],[' 39542   '],"[' 116499   (Atom=Atom', ' 30373 Body=Body', ' 20310 Other', ' 65816)']",[' Yes'],"[' 7963     (Eliminated', '    0 Frozen', ' 7963)']","[' 4609     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.71574'],[' 0'], ,[' 326.629'],[' 0'],[' 16.7029'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.89178e+08'],[' 5.76896e+08'],[' 0'],[' 1.94504e+10'],[' 0'],[' 0'],[' 1174 '],[' 2455 '],[' 3569 '],[' 3 '],[' 0 ']
Solving...,TA60_Clus(2), , , , , ,[' 4227'],[' 2117'],"[' 475.205s (Solving', ' 465.80s 1st Model', ' 247.95s Unsat', ' 40.27s)']",[' 474.094s'], ,[' 149824156'],"[' 10518620 (Analyzed', ' 9858158)']","[' 23705    (Average', ' 415.87 Last', ' 651633)']",[' 3998.5  '],"[' 2117     (Average Length', ' 1106.01 Splits', ' 0)']","[' 9858158  (Deleted', ' 9770517)']","[' 528      (Ratio', '   0.01%)']","[' 14912    (Ratio', '   0.15%)']","[' 9858158  (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9858158  (Average', ' 14.50 Max', ' 4246 Sum', ' 142924058)']","[' 9857816  (Average', ' 14.46 Max', ' 4246 Sum', ' 142560971 Ratio', '  99.75%)']","[' 342      (Average', ' 1061.66 Max', ' 1662 Sum', ' 363087 Ratio', '   0.25%)']", ,[' 92815   '],[' 5973    '],[' 86973   '],[' 39335   '],"[' 115706   (Atom=Atom', ' 30254 Body=Body', ' 19941 Other', ' 65511)']",[' Yes'],"[' 8182     (Eliminated', '    0 Frozen', ' 8182)']","[' 2172     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.90012'],[' 0'], ,[' 256.346'],[' 0'],[' 12.0753'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.10113e+08'],[' 4.08888e+08'],[' 0'],[' 1.31576e+10'],[' 0'],[' 0'],[' 1163 '],[' 2164 '],[' 3315 '],[' 2 '],[' 1 ']
Solving...,TA60_Clus(3), , , , , ,[' 4911'],[' 2459'],"[' 445.271s (Solving', ' 433.43s 1st Model', ' 376.74s Unsat', ' 10.00s)']",[' 443.828s'], ,[' 153569531'],"[' 8645461  (Analyzed', ' 7833948)']","[' 19306    (Average', ' 405.78 Last', ' 2111863)']",[' 4258.0  '],"[' 2459     (Average Length', ' 1267.12 Splits', ' 0)']","[' 7833948  (Deleted', ' 7777709)']","[' 767      (Ratio', '   0.01%)']","[' 16223    (Ratio', '   0.21%)']","[' 7833948  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7833948  (Average', ' 18.56 Max', ' 4114 Sum', ' 145407735)']","[' 7833584  (Average', ' 18.50 Max', ' 4114 Sum', ' 144966484 Ratio', '  99.70%)']","[' 364      (Average', ' 1212.23 Max', ' 1571 Sum', ' 441251 Ratio', '   0.30%)']", ,[' 93251   '],[' 5966    '],[' 87653   '],[' 39695   '],"[' 116749   (Atom=Atom', ' 30582 Body=Body', ' 19926 Other', ' 66241)']",[' Yes'],"[' 8484     (Eliminated', '    0 Frozen', ' 8484)']","[' 2842     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.28503'],[' 0'], ,[' 224.79'],[' 0'],[' 11.3866'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.47193e+08'],[' 4.46931e+08'],[' 0'],[' 1.07078e+10'],[' 0'],[' 0'],[' 1161 '],[' 2506 '],[' 3617 '],[' 2 '],[' 1 ']
Solving...,TA60_Clus(4), , , , , ,[' 4375'],[' 2191'],"[' 432.272s (Solving', ' 421.96s 1st Model', ' 319.78s Unsat', ' 2.87s)']",[' 431.359s'], ,[' 157908064'],"[' 8131980  (Analyzed', ' 7420584)']","[' 19495    (Average', ' 380.64 Last', ' 1469145)']",[' 4103.4  '],"[' 2191     (Average Length', ' 1154.79 Splits', ' 0)']","[' 7420584  (Deleted', ' 7371242)']","[' 733      (Ratio', '   0.01%)']","[' 16230    (Ratio', '   0.22%)']","[' 7420584  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7420584  (Average', ' 20.31 Max', ' 3985 Sum', ' 150724573)']","[' 7420201  (Average', ' 20.25 Max', ' 3985 Sum', ' 150294382 Ratio', '  99.71%)']","[' 383      (Average', ' 1123.21 Max', ' 1425 Sum', ' 430191 Ratio', '   0.29%)']", ,[' 92978   '],[' 5940    '],[' 87092   '],[' 39377   '],"[' 115770   (Atom=Atom', ' 30231 Body=Body', ' 19857 Other', ' 65682)']",[' Yes'],"[' 8260     (Eliminated', '    0 Frozen', ' 8260)']","[' 3039     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.02949'],[' 0'], ,[' 211.46'],[' 0'],[' 11.4308'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.78631e+08'],[' 4.76379e+08'],[' 0'],[' 9.47489e+09'],[' 0'],[' 0'],[' 1138 '],[' 2446 '],[' 3563 '],[' 2 '],[' 1 ']
