Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 3673+'],[' 1847'],"[' 826.513s (Solving', ' 792.91s 1st Model', ' 33.57s Unsat', ' 92.44s)']",[' 823.688s'], ,[' 46994504'],"[' 10206879 (Analyzed', ' 10063470)']","[' 20789    (Average', ' 484.08 Last', ' 64685)']",[' 5138.2  '],"[' 1847     (Average Length', ' 868.14 Splits', ' 0)']","[' 10063470 (Deleted', ' 9915444)']","[' 73       (Ratio', '   0.00%)']","[' 6955     (Ratio', '   0.07%)']","[' 10063470 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10063470 (Average', '  3.89 Max', ' 7835 Sum', ' 39154761)']","[' 10062622 (Average', '  3.84 Max', ' 7835 Sum', ' 38616536 Ratio', '  98.63%)']","[' 848      (Average', ' 634.70 Max', ' 1543 Sum', ' 538225 Ratio', '   1.37%)']", ,[' 356289  '],[' 11466   '],[' 356004  '],[' 209615  '],"[' 628841   (Atom=Atom', ' 200147 Body=Body', ' 112366 Other', ' 316328)']",[' Yes'],"[' 13181    (Eliminated', '    0 Frozen', ' 13181)']","[' 939      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.95384'],[' 0'], ,[' 688.062'],[' 0'],[' 10.3768'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.33279e+08'],[' 2.02545e+08'],[' 0'],[' 8.86015e+10'],[' 0'],[' 0'],[' 917 '],[' 1752 '],[' 2593 '],[' 3138 '],[' 3662 '],[' 4337 '],[' 4915 '],[' 5526 '],[' 6118 '],[' 6553 '],[' 7 '],[' 3 ']
Solving...,TA72, ,[' 1'],[' 3701+'],[' 1861'],"[' 1007.077s (Solving', ' 977.04s 1st Model', ' 28.11s Unsat', ' 0.00s)']",[' 1004.656s'], ,[' 52499691'],"[' 17097392 (Analyzed', ' 16954472)']","[' 34837    (Average', ' 486.68 Last', ' 20278)']",[' 5188.1  '],"[' 1861     (Average Length', ' 875.86 Splits', ' 0)']","[' 16954472 (Deleted', ' 16705304)']","[' 13       (Ratio', '   0.00%)']","[' 5464     (Ratio', '   0.03%)']","[' 16954472 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16954472 (Average', '  2.63 Max', ' 7441 Sum', ' 44641240)']","[' 16953337 (Average', '  2.59 Max', ' 7441 Sum', ' 43830201 Ratio', '  98.18%)']","[' 1135     (Average', ' 714.57 Max', ' 1525 Sum', ' 811039 Ratio', '   1.82%)']", ,[' 352949  '],[' 11326   '],[' 352667  '],[' 205425  '],"[' 616271   (Atom=Atom', ' 196097 Body=Body', ' 112226 Other', ' 307948)']",[' Yes'],"[' 13044    (Eliminated', '    0 Frozen', ' 13044)']","[' 1060     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.35168'],[' 0'], ,[' 854.393'],[' 0'],[' 11.184'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.544e+08'],[' 2.11384e+08'],[' 0'],[' 1.30226e+11'],[' 0'],[' 0'],[' 805 '],[' 1424 '],[' 2060 '],[' 2677 '],[' 3245 '],[' 3813 '],[' 4393 '],[' 4958 '],[' 5515 '],[' 5942 '],[' 10 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 3977+'],[' 1999'],"[' 959.647s (Solving', ' 923.35s 1st Model', ' 32.14s Unsat', ' 128.79s)']",[' 957.109s'], ,[' 48604368'],"[' 11364392 (Analyzed', ' 11213397)']","[' 23051    (Average', ' 486.46 Last', ' 61030)']",[' 4903.3  '],"[' 1999     (Average Length', ' 928.00 Splits', ' 0)']","[' 11213397 (Deleted', ' 11036152)']","[' 35       (Ratio', '   0.00%)']","[' 7575     (Ratio', '   0.07%)']","[' 11213397 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11213397 (Average', '  3.66 Max', ' 7201 Sum', ' 41022490)']","[' 11212199 (Average', '  3.58 Max', ' 7201 Sum', ' 40151137 Ratio', '  97.88%)']","[' 1198     (Average', ' 727.34 Max', ' 1691 Sum', ' 871353 Ratio', '   2.12%)']", ,[' 353937  '],[' 11409   '],[' 353749  '],[' 205086  '],"[' 615254   (Atom=Atom', ' 195675 Body=Body', ' 112309 Other', ' 307270)']",[' Yes'],"[' 13221    (Eliminated', '    0 Frozen', ' 13221)']","[' 1389     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.60329'],[' 0'], ,[' 806.855'],[' 0'],[' 11.407'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.47581e+08'],[' 2.13377e+08'],[' 0'],[' 1.03051e+11'],[' 0'],[' 0'],[' 1051 '],[' 1673 '],[' 2223 '],[' 2918 '],[' 3454 '],[' 4147 '],[' 4699 '],[' 5312 '],[' 5826 '],[' 6309 '],[' 8 '],[' 2 ']
Solving...,TA74, ,[' 1'],[' 3667+'],[' 1844'],"[' 1008.543s (Solving', ' 976.23s 1st Model', ' 30.93s Unsat', ' 0.00s)']",[' 1005.234s'], ,[' 44264022'],"[' 13770058 (Analyzed', ' 13584073)']","[' 29661    (Average', ' 457.98 Last', ' 33849)']",[' 4850.5  '],"[' 1844     (Average Length', ' 858.02 Splits', ' 0)']","[' 13584073 (Deleted', ' 13335808)']","[' 10       (Ratio', '   0.00%)']","[' 5003     (Ratio', '   0.04%)']","[' 13584073 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13584073 (Average', '  2.74 Max', ' 7587 Sum', ' 37187931)']","[' 13583015 (Average', '  2.67 Max', ' 7587 Sum', ' 36326626 Ratio', '  97.68%)']","[' 1058     (Average', ' 814.09 Max', ' 1573 Sum', ' 861305 Ratio', '   2.32%)']", ,[' 354360  '],[' 11357   '],[' 354067  '],[' 207233  '],"[' 621695   (Atom=Atom', ' 197874 Body=Body', ' 112257 Other', ' 311564)']",[' Yes'],"[' 13064    (Eliminated', '    0 Frozen', ' 13064)']","[' 971      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.62759'],[' 0'], ,[' 841.402'],[' 0'],[' 10.8887'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1774e+08'],[' 1.82907e+08'],[' 0'],[' 1.05712e+11'],[' 0'],[' 0'],[' 882 '],[' 1475 '],[' 1998 '],[' 2693 '],[' 3295 '],[' 3804 '],[' 4543 '],[' 5109 '],[' 5722 '],[' 6162 '],[' 10 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 4449+'],[' 2235'],"[' 836.788s (Solving', ' 798.04s 1st Model', ' 33.83s Unsat', ' 11.70s)']",[' 832.984s'], ,[' 40322597'],"[' 6553270  (Analyzed', ' 6333630)']","[' 14141    (Average', ' 447.89 Last', ' 29845)']",[' 4678.3  '],"[' 2235     (Average Length', ' 1030.99 Splits', ' 0)']","[' 6333630  (Deleted', ' 6218640)']","[' 47       (Ratio', '   0.00%)']","[' 7916     (Ratio', '   0.12%)']","[' 6333630  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6333630  (Average', '  5.23 Max', ' 7081 Sum', ' 33145695)']","[' 6332277  (Average', '  5.01 Max', ' 7081 Sum', ' 31738197 Ratio', '  95.75%)']","[' 1353     (Average', ' 1040.28 Max', ' 1875 Sum', ' 1407498 Ratio', '   4.25%)']", ,[' 355660  '],[' 11507   '],[' 355688  '],[' 206820  '],"[' 620456   (Atom=Atom', ' 197311 Body=Body', ' 112407 Other', ' 310738)']",[' Yes'],"[' 13535    (Eliminated', '    0 Frozen', ' 13535)']","[' 1484     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.84243'],[' 0'], ,[' 690.815'],[' 0'],[' 9.61672'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.26747e+08'],[' 2.05607e+08'],[' 0'],[' 8.51411e+10'],[' 0'],[' 0'],[' 871 '],[' 1509 '],[' 2143 '],[' 2866 '],[' 3482 '],[' 4182 '],[' 4765 '],[' 5311 '],[' 5843 '],[' 6295 '],[' 8 '],[' 2 ']
Solving...,TA76, ,[' 1'],[' 3807+'],[' 1914'],"[' 828.563s (Solving', ' 796.37s 1st Model', ' 31.34s Unsat', ' 91.53s)']",[' 826.609s'], ,[' 43565252'],"[' 11845734 (Analyzed', ' 11690155)']","[' 24801    (Average', ' 471.36 Last', ' 68460)']",[' 4688.8  '],"[' 1914     (Average Length', ' 885.75 Splits', ' 0)']","[' 11690155 (Deleted', ' 11487206)']","[' 46       (Ratio', '   0.00%)']","[' 5143     (Ratio', '   0.04%)']","[' 11690155 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11690155 (Average', '  3.13 Max', ' 7448 Sum', ' 36577984)']","[' 11689087 (Average', '  3.06 Max', ' 7448 Sum', ' 35777915 Ratio', '  97.81%)']","[' 1068     (Average', ' 749.13 Max', ' 1623 Sum', ' 800069 Ratio', '   2.19%)']", ,[' 353101  '],[' 11286   '],[' 352870  '],[' 205134  '],"[' 615398   (Atom=Atom', ' 195846 Body=Body', ' 112186 Other', ' 307366)']",[' Yes'],"[' 13055    (Eliminated', '    0 Frozen', ' 13055)']","[' 885      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.44518'],[' 0'], ,[' 683.065'],[' 0'],[' 9.49138'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13671e+08'],[' 1.80812e+08'],[' 0'],[' 8.51609e+10'],[' 0'],[' 0'],[' 821 '],[' 1425 '],[' 2063 '],[' 2640 '],[' 3235 '],[' 3953 '],[' 4510 '],[' 5131 '],[' 5748 '],[' 6242 '],[' 7 '],[' 3 ']
Solving...,TA77, , ,[' 3839'],[' 1930'],"[' 773.340s (Solving', ' 738.81s 1st Model', ' 36.18s Unsat', ' 29.84s)']",[' 771.281s'], ,[' 43023067'],"[' 11073338 (Analyzed', ' 10947297)']","[' 23333    (Average', ' 469.18 Last', ' 13753)']",[' 5384.0  '],"[' 1930     (Average Length', ' 917.77 Splits', ' 0)']","[' 10947297 (Deleted', ' 10767795)']","[' 50       (Ratio', '   0.00%)']","[' 4532     (Ratio', '   0.04%)']","[' 10947297 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10947297 (Average', '  3.14 Max', ' 8016 Sum', ' 34392459)']","[' 10946594 (Average', '  3.10 Max', ' 8016 Sum', ' 33971070 Ratio', '  98.77%)']","[' 703      (Average', ' 599.42 Max', ' 1620 Sum', ' 421389 Ratio', '   1.23%)']", ,[' 355426  '],[' 11369   '],[' 355244  '],[' 209933  '],"[' 629795   (Atom=Atom', ' 200562 Body=Body', ' 112269 Other', ' 316964)']",[' Yes'],"[' 13187    (Eliminated', '    0 Frozen', ' 13187)']","[' 661      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.24113'],[' 0'], ,[' 627.99'],[' 0'],[' 9.03186'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.29477e+08'],[' 1.98338e+08'],[' 0'],[' 7.54498e+10'],[' 0'],[' 0'],[' 840 '],[' 1577 '],[' 2268 '],[' 2830 '],[' 3418 '],[' 4004 '],[' 4719 '],[' 5317 '],[' 5891 '],[' 6330 '],[' 7 '],[' 3 ']
Solving...,TA78, ,[' 1'],[' 3451+'],[' 1736'],"[' 809.593s (Solving', ' 777.59s 1st Model', ' 28.73s Unsat', ' 93.94s)']",[' 806.969s'], ,[' 41616157'],"[' 8078510  (Analyzed', ' 8019706)']","[' 16553    (Average', ' 484.49 Last', ' 21067)']",[' 5546.8  '],"[' 1735     (Average Length', ' 829.69 Splits', ' 0)']","[' 8019706  (Deleted', ' 7908685)']","[' 43       (Ratio', '   0.00%)']","[' 5134     (Ratio', '   0.06%)']","[' 8019706  (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8019706  (Average', '  4.24 Max', ' 7741 Sum', ' 33979578)']","[' 8018707  (Average', '  4.13 Max', ' 7741 Sum', ' 33158775 Ratio', '  97.58%)']","[' 999      (Average', ' 821.62 Max', ' 1463 Sum', ' 820803 Ratio', '   2.42%)']", ,[' 356814  '],[' 11392   '],[' 356441  '],[' 210460  '],"[' 631376   (Atom=Atom', ' 201066 Body=Body', ' 112292 Other', ' 318018)']",[' Yes'],"[' 13019    (Eliminated', '    0 Frozen', ' 13019)']","[' 777      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.70358'],[' 0'], ,[' 682.166'],[' 0'],[' 9.73987'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.25222e+08'],[' 2.00795e+08'],[' 0'],[' 9.25362e+10'],[' 0'],[' 0'],[' 898 '],[' 2283 '],[' 2906 '],[' 3443 '],[' 4149 '],[' 4704 '],[' 5308 '],[' 5866 '],[' 6459 '],[' 6916 '],[' 8 '],[' 2 ']
Solving...,TA79, ,[' 1'],[' 3647+'],[' 1834'],"[' 1009.104s (Solving', ' 971.82s 1st Model', ' 29.57s Unsat', ' 0.00s)']",[' 1005.734s'], ,[' 45652062'],"[' 10818359 (Analyzed', ' 10680450)']","[' 21951    (Average', ' 486.56 Last', ' 132931)']",[' 4885.0  '],"[' 1834     (Average Length', ' 858.87 Splits', ' 0)']","[' 10680450 (Deleted', ' 10513189)']","[' 18       (Ratio', '   0.00%)']","[' 7273     (Ratio', '   0.07%)']","[' 10680450 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10680450 (Average', '  3.62 Max', ' 7225 Sum', ' 38700469)']","[' 10679159 (Average', '  3.54 Max', ' 7225 Sum', ' 37768053 Ratio', '  97.59%)']","[' 1291     (Average', ' 722.24 Max', ' 1497 Sum', ' 932416 Ratio', '   2.41%)']", ,[' 354837  '],[' 11489   '],[' 354529  '],[' 206203  '],"[' 618605   (Atom=Atom', ' 196712 Body=Body', ' 112389 Other', ' 309504)']",[' Yes'],"[' 13181    (Eliminated', '    0 Frozen', ' 13181)']","[' 1432     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.67494'],[' 0'], ,[' 855.867'],[' 0'],[' 11.7852'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.353e+08'],[' 2.03733e+08'],[' 0'],[' 1.01633e+11'],[' 0'],[' 0'],[' 837 '],[' 1432 '],[' 2045 '],[' 2819 '],[' 3454 '],[' 4215 '],[' 4779 '],[' 5376 '],[' 5990 '],[' 6446 '],[' 10 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 3977+'],[' 1999'],"[' 1009.493s (Solving', ' 971.69s 1st Model', ' 37.12s Unsat', ' 0.00s)']",[' 1006.094s'], ,[' 54411391'],"[' 8869099  (Analyzed', ' 8717418)']","[' 19853    (Average', ' 439.10 Last', ' 56577)']",[' 4919.8  '],"[' 1999     (Average Length', ' 925.08 Splits', ' 0)']","[' 8717418  (Deleted', ' 8552530)']","[' 41       (Ratio', '   0.00%)']","[' 8684     (Ratio', '   0.10%)']","[' 8717418  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8717418  (Average', '  5.42 Max', ' 7246 Sum', ' 47260616)']","[' 8716256  (Average', '  5.27 Max', ' 7246 Sum', ' 45959563 Ratio', '  97.25%)']","[' 1162     (Average', ' 1119.67 Max', ' 1667 Sum', ' 1301053 Ratio', '   2.75%)']", ,[' 358263  '],[' 11496   '],[' 358088  '],[' 211285  '],"[' 633851   (Atom=Atom', ' 201787 Body=Body', ' 112396 Other', ' 319668)']",[' Yes'],"[' 13321    (Eliminated', '    0 Frozen', ' 13321)']","[' 1641     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.59298'],[' 0'], ,[' 839.198'],[' 0'],[' 12.187'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.78412e+08'],[' 2.41963e+08'],[' 0'],[' 1.01543e+11'],[' 0'],[' 0'],[' 786 '],[' 1372 '],[' 2110 '],[' 2665 '],[' 3292 '],[' 3848 '],[' 4363 '],[' 4907 '],[' 5476 '],[' 5885 '],[' 10 '],[' 0 ']
