Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 is 1067,Completion Time for Window 2 is 2270,Completion Time for Window 3 is 3385,Completion Time for Window 4 is 4189,Completion Time for Window 5 is 5190,Completion Time for Window 6 is 6453,Completion Time for Window 7 is 7299,Completion Time for Window 8 is 8161
Solving...,TA71, ,[' 1'],[' 3709+'],[' 1863'],"[' 574.841s (Solving', ' 542.98s 1st Model', ' 33.60s Unsat', ' 0.00s)']",[' 573.906s'], ,[' 70470431'],"[' 7291697  (Analyzed', ' 7037314)']","[' 15152    (Average', ' 464.45 Last', ' 15029)']",[' 7144.2  '],"[' 1863     (Average Length', ' 897.67 Splits', ' 0)']","[' 7037314  (Deleted', ' 6931298)']","[' 21       (Ratio', '   0.00%)']","[' 9152     (Ratio', '   0.13%)']","[' 7037314  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7037314  (Average', '  8.43 Max', ' 10021 Sum', ' 59330834)']","[' 7035934  (Average', '  8.27 Max', ' 10021 Sum', ' 58215761 Ratio', '  98.12%)']","[' 1380     (Average', ' 808.02 Max', ' 1431 Sum', ' 1115073 Ratio', '   1.88%)']", ,[' 373403  '],[' 14450   '],[' 373186  '],[' 220323  '],"[' 660965   (Atom=Atom', ' 207871 Body=Body', ' 115350 Other', ' 337744)']",[' Yes'],"[' 16233    (Eliminated', '    0 Frozen', ' 16233)']","[' 1806     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.58247'],[' 0'], ,[' 464.81'],[' 0'],[' 8.04164'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.11947e+08'],[' 2.85424e+08'],[' 0'],[' 6.77832e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA72, ,[' 1'],[' 3349+'],[' 1683'],"[' 561.168s (Solving', ' 531.92s 1st Model', ' 25.53s Unsat', ' 0.00s)']",[' 560.203s'], ,[' 59206839'],"[' 7327502  (Analyzed', ' 7089136)']","[' 15354    (Average', ' 461.71 Last', ' 11010)']",[' 7066.4  '],"[' 1683     (Average Length', ' 818.30 Splits', ' 0)']","[' 7089136  (Deleted', ' 6977303)']","[' 18       (Ratio', '   0.00%)']","[' 7073     (Ratio', '   0.10%)']","[' 7089136  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7089136  (Average', '  6.91 Max', ' 10200 Sum', ' 49011451)']","[' 7087774  (Average', '  6.79 Max', ' 10200 Sum', ' 48126099 Ratio', '  98.19%)']","[' 1362     (Average', ' 650.04 Max', ' 1265 Sum', ' 885352 Ratio', '   1.81%)']", ,[' 369120  '],[' 14400   '],[' 368744  '],[' 218615  '],"[' 655841   (Atom=Atom', ' 206213 Body=Body', ' 115300 Other', ' 334328)']",[' Yes'],"[' 16024    (Eliminated', '    0 Frozen', ' 16024)']","[' 1185     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.15136'],[' 0'], ,[' 460.37'],[' 0'],[' 7.13445'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.66505e+08'],[' 2.42625e+08'],[' 0'],[' 6.40058e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA73, ,[' 1'],[' 3457+'],[' 1737'],"[' 566.220s (Solving', ' 536.56s 1st Model', ' 29.13s Unsat', ' 0.00s)']",[' 565.219s'], ,[' 62465066'],"[' 6405528  (Analyzed', ' 6105188)']","[' 13125    (Average', ' 465.16 Last', ' 22507)']",[' 6921.7  '],"[' 1737     (Average Length', ' 835.26 Splits', ' 0)']","[' 6105188  (Deleted', ' 6002255)']","[' 18       (Ratio', '   0.00%)']","[' 8549     (Ratio', '   0.14%)']","[' 6105188  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6105188  (Average', '  8.60 Max', ' 9736 Sum', ' 52504718)']","[' 6103589  (Average', '  8.40 Max', ' 9736 Sum', ' 51287662 Ratio', '  97.68%)']","[' 1599     (Average', ' 761.14 Max', ' 1334 Sum', ' 1217056 Ratio', '   2.32%)']", ,[' 370448  '],[' 14487   '],[' 370107  '],[' 218396  '],"[' 655184   (Atom=Atom', ' 205907 Body=Body', ' 115387 Other', ' 333890)']",[' Yes'],"[' 16146    (Eliminated', '    0 Frozen', ' 16146)']","[' 1544     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.08252'],[' 0'], ,[' 465.592'],[' 0'],[' 7.54986'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.80872e+08'],[' 2.58064e+08'],[' 0'],[' 6.66544e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA74, ,[' 1'],[' 3575+'],[' 1796'],"[' 565.117s (Solving', ' 534.94s 1st Model', ' 26.87s Unsat', ' 0.00s)']",[' 563.891s'], ,[' 53175381'],"[' 6054410  (Analyzed', ' 5745797)']","[' 12687    (Average', ' 452.89 Last', ' 96633)']",[' 6641.3  '],"[' 1796     (Average Length', ' 866.46 Splits', ' 0)']","[' 5745797  (Deleted', ' 5656354)']","[' 20       (Ratio', '   0.00%)']","[' 8687     (Ratio', '   0.15%)']","[' 5745797  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5745797  (Average', '  7.54 Max', ' 9467 Sum', ' 43342334)']","[' 5744027  (Average', '  7.35 Max', ' 9467 Sum', ' 42216817 Ratio', '  97.40%)']","[' 1770     (Average', ' 635.89 Max', ' 1373 Sum', ' 1125517 Ratio', '   2.60%)']", ,[' 366519  '],[' 14315   '],[' 366227  '],[' 213965  '],"[' 641891   (Atom=Atom', ' 201648 Body=Body', ' 115215 Other', ' 325028)']",[' Yes'],"[' 16023    (Eliminated', '    0 Frozen', ' 16023)']","[' 1533     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.33539'],[' 0'], ,[' 467.892'],[' 0'],[' 7.10137'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.55922e+08'],[' 2.34976e+08'],[' 0'],[' 6.56314e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA75, ,[' 1'],[' 3689+'],[' 1853'],"[' 564.522s (Solving', ' 534.65s 1st Model', ' 27.50s Unsat', ' 0.00s)']",[' 563.156s'], ,[' 64047725'],"[' 6947697  (Analyzed', ' 6673469)']","[' 14206    (Average', ' 469.76 Last', ' 7081)']",[' 6715.8  '],"[' 1853     (Average Length', ' 883.43 Splits', ' 0)']","[' 6673469  (Deleted', ' 6580875)']","[' 16       (Ratio', '   0.00%)']","[' 8274     (Ratio', '   0.12%)']","[' 6673469  (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6673469  (Average', '  8.04 Max', ' 10019 Sum', ' 53671371)']","[' 6671959  (Average', '  7.89 Max', ' 10019 Sum', ' 52632338 Ratio', '  98.06%)']","[' 1510     (Average', ' 688.10 Max', ' 1451 Sum', ' 1039033 Ratio', '   1.94%)']", ,[' 371271  '],[' 14569   '],[' 371037  '],[' 218484  '],"[' 655448   (Atom=Atom', ' 205913 Body=Body', ' 115469 Other', ' 334066)']",[' Yes'],"[' 16335    (Eliminated', '    0 Frozen', ' 16335)']","[' 1314     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.15308'],[' 0'], ,[' 462.876'],[' 0'],[' 7.24326'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.73576e+08'],[' 2.48997e+08'],[' 0'],[' 6.56637e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA76, ,[' 1'],[' 3811+'],[' 1914'],"[' 566.611s (Solving', ' 535.93s 1st Model', ' 27.44s Unsat', ' 0.00s)']",[' 565.484s'], ,[' 59410555'],"[' 5949074  (Analyzed', ' 5590055)']","[' 12881    (Average', ' 433.98 Last', ' 6250)']",[' 6665.4  '],"[' 1914     (Average Length', ' 915.05 Splits', ' 0)']","[' 5590055  (Deleted', ' 5490306)']","[' 11       (Ratio', '   0.00%)']","[' 7249     (Ratio', '   0.13%)']","[' 5590055  (Average Length', '   17.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5590055  (Average', '  8.77 Max', ' 9777 Sum', ' 49000233)']","[' 5588595  (Average', '  8.54 Max', ' 9777 Sum', ' 47761927 Ratio', '  97.47%)']","[' 1460     (Average', ' 848.15 Max', ' 1491 Sum', ' 1238306 Ratio', '   2.53%)']", ,[' 368134  '],[' 14171   '],[' 367956  '],[' 216149  '],"[' 648443   (Atom=Atom', ' 203976 Body=Body', ' 115071 Other', ' 329396)']",[' Yes'],"[' 15993    (Eliminated', '    0 Frozen', ' 15993)']","[' 1329     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.28899'],[' 0'], ,[' 468.662'],[' 0'],[' 7.42896'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.65963e+08'],[' 2.45111e+08'],[' 0'],[' 6.71872e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA77, ,[' 1'],[' 3427+'],[' 1722'],"[' 558.426s (Solving', ' 530.81s 1st Model', ' 24.70s Unsat', ' 0.00s)']",[' 557.328s'], ,[' 53179932'],"[' 6386260  (Analyzed', ' 6037064)']","[' 12802    (Average', ' 471.57 Last', ' 87710)']",[' 6459.8  '],"[' 1722     (Average Length', ' 822.68 Splits', ' 0)']","[' 6037064  (Deleted', ' 5924806)']","[' 5        (Ratio', '   0.00%)']","[' 7861     (Ratio', '   0.13%)']","[' 6037064  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6037064  (Average', '  7.25 Max', ' 9933 Sum', ' 43796591)']","[' 6035581  (Average', '  7.10 Max', ' 9933 Sum', ' 42848822 Ratio', '  97.84%)']","[' 1483     (Average', ' 639.09 Max', ' 1412 Sum', ' 947769 Ratio', '   2.16%)']", ,[' 367185  '],[' 14335   '],[' 366814  '],[' 215381  '],"[' 646139   (Atom=Atom', ' 203044 Body=Body', ' 115235 Other', ' 327860)']",[' Yes'],"[' 15964    (Eliminated', '    0 Frozen', ' 15964)']","[' 1367     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.568'],[' 0'], ,[' 465.257'],[' 0'],[' 6.98817'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.39071e+08'],[' 2.17781e+08'],[' 0'],[' 6.56841e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA78, ,[' 1'],[' 3471+'],[' 1744'],"[' 575.849s (Solving', ' 542.98s 1st Model', ' 31.97s Unsat', ' 0.00s)']",[' 571.813s'], ,[' 54402316'],"[' 5869706  (Analyzed', ' 5573388)']","[' 12384    (Average', ' 450.05 Last', ' 24789)']",[' 7090.9  '],"[' 1744     (Average Length', ' 850.19 Splits', ' 0)']","[' 5573388  (Deleted', ' 5470305)']","[' 20       (Ratio', '   0.00%)']","[' 6642     (Ratio', '   0.12%)']","[' 5573388  (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5573388  (Average', '  7.91 Max', ' 9898 Sum', ' 44092906)']","[' 5571813  (Average', '  7.71 Max', ' 9898 Sum', ' 42952201 Ratio', '  97.41%)']","[' 1575     (Average', ' 724.26 Max', ' 1352 Sum', ' 1140705 Ratio', '   2.59%)']", ,[' 368335  '],[' 14376   '],[' 368016  '],[' 217498  '],"[' 652490   (Atom=Atom', ' 205120 Body=Body', ' 115276 Other', ' 332094)']",[' Yes'],"[' 16057    (Eliminated', '    0 Frozen', ' 16057)']","[' 1142     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.88831'],[' 0'], ,[' 470.289'],[' 0'],[' 7.85599'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.57379e+08'],[' 2.36405e+08'],[' 0'],[' 5.94976e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA79, ,[' 1'],[' 3887+'],[' 1952'],"[' 582.439s (Solving', ' 547.29s 1st Model', ' 34.34s Unsat', ' 0.00s)']",[' 577.953s'], ,[' 55876883'],"[' 5800345  (Analyzed', ' 5475737)']","[' 12462    (Average', ' 439.39 Last', ' 9536)']",[' 6776.3  '],"[' 1952     (Average Length', ' 937.43 Splits', ' 0)']","[' 5475737  (Deleted', ' 5378601)']","[' 15       (Ratio', '   0.00%)']","[' 7942     (Ratio', '   0.15%)']","[' 5475737  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5475737  (Average', '  8.23 Max', ' 9672 Sum', ' 45087620)']","[' 5474172  (Average', '  8.02 Max', ' 9672 Sum', ' 43899008 Ratio', '  97.36%)']","[' 1565     (Average', ' 759.50 Max', ' 1486 Sum', ' 1188612 Ratio', '   2.64%)']", ,[' 367753  '],[' 14382   '],[' 367624  '],[' 216416  '],"[' 649244   (Atom=Atom', ' 204032 Body=Body', ' 115282 Other', ' 329930)']",[' Yes'],"[' 16253    (Eliminated', '    0 Frozen', ' 16253)']","[' 1383     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.2343'],[' 0'], ,[' 470.677'],[' 0'],[' 7.90554'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.683e+08'],[' 2.47104e+08'],[' 0'],[' 5.97226e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA80, ,[' 1'],[' 3439+'],[' 1728'],"[' 575.021s (Solving', ' 544.73s 1st Model', ' 35.80s Unsat', ' 0.00s)']",[' 571.531s'], ,[' 58382857'],"[' 5936148  (Analyzed', ' 5622633)']","[' 12521    (Average', ' 449.06 Last', ' 15957)']",[' 6773.0  '],"[' 1728     (Average Length', ' 819.12 Splits', ' 0)']","[' 5622633  (Deleted', ' 5532464)']","[' 19       (Ratio', '   0.00%)']","[' 8372     (Ratio', '   0.15%)']","[' 5622633  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5622633  (Average', '  8.54 Max', ' 10428 Sum', ' 48009811)']","[' 5621683  (Average', '  8.44 Max', ' 10428 Sum', ' 47479133 Ratio', '  98.89%)']","[' 950      (Average', ' 558.61 Max', ' 1306 Sum', ' 530678 Ratio', '   1.11%)']", ,[' 371521  '],[' 14579   '],[' 371161  '],[' 221391  '],"[' 664169   (Atom=Atom', ' 208810 Body=Body', ' 115479 Other', ' 339880)']",[' Yes'],"[' 16219    (Eliminated', '    0 Frozen', ' 16219)']","[' 1479     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.2743'],[' 0'], ,[' 468.806'],[' 0'],[' 7.77482'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.52905e+08'],[' 2.31416e+08'],[' 0'],[' 6.07368e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
