Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 
Solving...,TA61, , ,[' 805'],[' 413'],"[' 158.156s (Solving', ' 155.66s 1st Model', ' 1.00s Unsat', ' 32.07s)']",[' 157.984s'], ,[' 4798109 '],"[' 2829116  (Analyzed', ' 2813108)']","[' 7339     (Average', ' 383.31 Last', ' 29061)']",[' 1524.6  '],"[' 413      (Average Length', ' 199.92 Splits', ' 0)']","[' 2813108  (Deleted', ' 2755297)']","[' 94       (Ratio', '   0.00%)']","[' 1672     (Ratio', '   0.06%)']","[' 2813108  (Average Length', '   10.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2813108  (Average', '  1.49 Max', ' 2105 Sum', ' 4184670)']","[' 2812960  (Average', '  1.48 Max', ' 2105 Sum', ' 4170742 Ratio', '  99.67%)']","[' 148      (Average', ' 94.11 Max', ' 334 Sum', '  13928 Ratio', '   0.33%)']", ,[' 97110   '],[' 3379    '],[' 96508   '],[' 55192   '],"[' 165572   (Atom=Atom', ' 52811 Body=Body', ' 28829 Other', ' 83932)']",[' Yes'],"[' 3777     (Eliminated', '    0 Frozen', ' 3777)']","[' 109      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.619987'],[' 0'], ,[' 137.282'],[' 0'],[' 2.15517'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.0557e+07'],[' 1.38353e+07'],[' 0'],[' 2.47823e+10'],[' 0'],[' 0'],[' 525 '],[' 995 '],[' 1407 '],[' 1855 '],[' 2265 '],[' 2604 '],[' 3184 '],[' 3372 '],[' 4001 '],[' 4421 ']
Solving...,TA62, , ,[' 909'],[' 465'],"[' 196.889s (Solving', ' 194.22s 1st Model', ' 1.46s Unsat', ' 9.39s)']",[' 196.469s'], ,[' 8913146 '],"[' 4188295  (Analyzed', ' 4132018)']","[' 9072     (Average', ' 455.47 Last', ' 286869)']",[' 1625.3  '],"[' 465      (Average Length', ' 226.33 Splits', ' 0)']","[' 4132018  (Deleted', ' 4057322)']","[' 75       (Ratio', '   0.00%)']","[' 2144     (Ratio', '   0.05%)']","[' 4132018  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4132018  (Average', '  1.96 Max', ' 2208 Sum', ' 8118045)']","[' 4131870  (Average', '  1.96 Max', ' 2208 Sum', ' 8101306 Ratio', '  99.79%)']","[' 148      (Average', ' 113.10 Max', ' 369 Sum', '  16739 Ratio', '   0.21%)']", ,[' 99032   '],[' 3498    '],[' 98484   '],[' 56765   '],"[' 170291   (Atom=Atom', ' 54265 Body=Body', ' 28948 Other', ' 87078)']",[' Yes'],"[' 3950     (Eliminated', '    0 Frozen', ' 3950)']","[' 257      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.698011'],[' 0'], ,[' 167.937'],[' 0'],[' 2.80666'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.31357e+07'],[' 2.3119e+07'],[' 0'],[' 2.89104e+10'],[' 0'],[' 0'],[' 526 '],[' 947 '],[' 1481 '],[' 1957 '],[' 2125 '],[' 2562 '],[' 2907 '],[' 3394 '],[' 3892 '],[' 4280 ']
Solving...,TA63, , ,[' 867'],[' 444'],"[' 193.870s (Solving', ' 191.07s 1st Model', ' 1.08s Unsat', ' 6.84s)']",[' 193.625s'], ,[' 4759818 '],"[' 2563227  (Analyzed', ' 2511264)']","[' 6599     (Average', ' 380.55 Last', ' 18378)']",[' 1684.5  '],"[' 444      (Average Length', ' 214.75 Splits', ' 0)']","[' 2511264  (Deleted', ' 2452896)']","[' 81       (Ratio', '   0.00%)']","[' 1737     (Ratio', '   0.07%)']","[' 2511264  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2511264  (Average', '  1.60 Max', ' 2244 Sum', ' 4016834)']","[' 2511102  (Average', '  1.59 Max', ' 2244 Sum', ' 3996159 Ratio', '  99.49%)']","[' 162      (Average', ' 127.62 Max', ' 354 Sum', '  20675 Ratio', '   0.51%)']", ,[' 97625   '],[' 3486    '],[' 97053   '],[' 56190   '],"[' 168566   (Atom=Atom', ' 53702 Body=Body', ' 28936 Other', ' 85928)']",[' Yes'],"[' 3914     (Eliminated', '    0 Frozen', ' 3914)']","[' 192      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.691672'],[' 0'], ,[' 173.29'],[' 0'],[' 2.56475'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20782e+07'],[' 1.58098e+07'],[' 0'],[' 3.28201e+10'],[' 0'],[' 0'],[' 574 '],[' 913 '],[' 1445 '],[' 1890 '],[' 2158 '],[' 2590 '],[' 3040 '],[' 3686 '],[' 4153 '],[' 4561 ']
Solving...,TA64, , ,[' 865'],[' 443'],"[' 171.578s (Solving', ' 168.99s 1st Model', ' 1.07s Unsat', ' 44.89s)']",[' 171.141s'], ,[' 6088905 '],"[' 3822430  (Analyzed', ' 3795698)']","[' 9158     (Average', ' 414.47 Last', ' 767)']",[' 1648.1  '],"[' 443      (Average Length', ' 213.04 Splits', ' 0)']","[' 3795698  (Deleted', ' 3724195)']","[' 98       (Ratio', '   0.00%)']","[' 1797     (Ratio', '   0.05%)']","[' 3795698  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3795698  (Average', '  1.41 Max', ' 2168 Sum', ' 5365186)']","[' 3795529  (Average', '  1.41 Max', ' 2168 Sum', ' 5351700 Ratio', '  99.75%)']","[' 169      (Average', ' 79.80 Max', ' 279 Sum', '  13486 Ratio', '   0.25%)']", ,[' 97683   '],[' 3412    '],[' 97107   '],[' 55795   '],"[' 167381   (Atom=Atom', ' 53381 Body=Body', ' 28862 Other', ' 85138)']",[' Yes'],"[' 3836     (Eliminated', '    0 Frozen', ' 3836)']","[' 120      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.691636'],[' 0'], ,[' 144.848'],[' 0'],[' 2.41383'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.51684e+07'],[' 1.62099e+07'],[' 0'],[' 2.43488e+10'],[' 0'],[' 0'],[' 556 '],[' 942 '],[' 1364 '],[' 1752 '],[' 2185 '],[' 2641 '],[' 2911 '],[' 3412 '],[' 3781 '],[' 4131 ']
Solving...,TA65, , ,[' 717'],[' 369'],"[' 69.794s (Solving', ' 67.45s 1st Model', ' 0.90s Unsat', ' 63.59s)']",[' 69.609s'], ,[' 2309611 '],"[' 1176042  (Analyzed', ' 1048085)']","[' 3243     (Average', ' 323.18 Last', ' 2365)']",[' 1489.8  '],"[' 369      (Average Length', ' 176.87 Splits', ' 0)']","[' 1048085  (Deleted', ' 1022941)']","[' 121      (Ratio', '   0.01%)']","[' 1630     (Ratio', '   0.16%)']","[' 1048085  (Average Length', '    9.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1048085  (Average', '  1.62 Max', ' 2186 Sum', ' 1694268)']","[' 1047940  (Average', '  1.61 Max', ' 2186 Sum', ' 1687768 Ratio', '  99.62%)']","[' 145      (Average', ' 44.83 Max', ' 303 Sum', '   6500 Ratio', '   0.38%)']", ,[' 96383   '],[' 3384    '],[' 95737   '],[' 55071   '],"[' 165209   (Atom=Atom', ' 52685 Body=Body', ' 28834 Other', ' 83690)']",[' Yes'],"[' 3738     (Eliminated', '    0 Frozen', ' 3738)']","[' 18       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.545271'],[' 0'], ,[' 59.0055'],[' 0'],[' 0.949693'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2506e+07'],[' 9.69308e+06'],[' 0'],[' 1.07683e+10'],[' 0'],[' 0'],[' 467 '],[' 935 '],[' 1367 '],[' 1677 '],[' 2180 '],[' 2630 '],[' 3005 '],[' 3512 '],[' 4023 '],[' 4406 ']
Solving...,TA66, , ,[' 895'],[' 458'],"[' 160.564s (Solving', ' 158.14s 1st Model', ' 1.06s Unsat', ' 93.94s)']",[' 160.156s'], ,[' 4671754 '],"[' 2891912  (Analyzed', ' 2797840)']","[' 7258     (Average', ' 385.48 Last', ' 5962)']",[' 1513.2  '],"[' 458      (Average Length', ' 223.32 Splits', ' 0)']","[' 2797840  (Deleted', ' 2741902)']","[' 87       (Ratio', '   0.00%)']","[' 1482     (Ratio', '   0.05%)']","[' 2797840  (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2797840  (Average', '  1.41 Max', ' 2159 Sum', ' 3936639)']","[' 2797723  (Average', '  1.40 Max', ' 2159 Sum', ' 3929610 Ratio', '  99.82%)']","[' 117      (Average', ' 60.08 Max', ' 364 Sum', '   7029 Ratio', '   0.18%)']", ,[' 98238   '],[' 3439    '],[' 97683   '],[' 55755   '],"[' 167261   (Atom=Atom', ' 53314 Body=Body', ' 28889 Other', ' 85058)']",[' Yes'],"[' 3884     (Eliminated', '    0 Frozen', ' 3884)']","[' 50       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.630286'],[' 0'], ,[' 138.908'],[' 0'],[' 2.43885'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.01723e+07'],[' 1.34026e+07'],[' 0'],[' 2.34309e+10'],[' 0'],[' 0'],[' 454 '],[' 893 '],[' 1173 '],[' 1680 '],[' 2024 '],[' 2466 '],[' 2859 '],[' 3157 '],[' 3672 '],[' 4187 ']
Solving...,TA67, , ,[' 695'],[' 358'],"[' 196.110s (Solving', ' 193.74s 1st Model', ' 0.61s Unsat', ' 70.91s)']",[' 195.766s'], ,[' 13145897'],"[' 9246974  (Analyzed', ' 9235492)']","[' 19355    (Average', ' 477.16 Last', ' 59052)']",[' 1574.7  '],"[' 358      (Average Length', ' 172.48 Splits', ' 0)']","[' 9235492  (Deleted', ' 9108964)']","[' 109      (Ratio', '   0.00%)']","[' 1742     (Ratio', '   0.02%)']","[' 9235492  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9235492  (Average', '  1.34 Max', ' 2144 Sum', ' 12383140)']","[' 9235274  (Average', '  1.34 Max', ' 2144 Sum', ' 12365546 Ratio', '  99.86%)']","[' 218      (Average', ' 80.71 Max', ' 242 Sum', '  17594 Ratio', '   0.14%)']", ,[' 98110   '],[' 3468    '],[' 97455   '],[' 55968   '],"[' 167900   (Atom=Atom', ' 53498 Body=Body', ' 28918 Other', ' 85484)']",[' Yes'],"[' 3813     (Eliminated', '    0 Frozen', ' 3813)']","[' 69       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.567482'],[' 0'], ,[' 145.71'],[' 0'],[' 3.19982'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.12468e+07'],[' 2.01072e+07'],[' 0'],[' 2.11027e+10'],[' 0'],[' 0'],[' 683 '],[' 1014 '],[' 1502 '],[' 1881 '],[' 2322 '],[' 2829 '],[' 3391 '],[' 3769 '],[' 4141 '],[' 4539 ']
Solving...,TA68, , ,[' 813'],[' 417'],"[' 135.582s (Solving', ' 133.20s 1st Model', ' 1.01s Unsat', ' 9.12s)']",[' 135.266s'], ,[' 3689137 '],"[' 1937626  (Analyzed', ' 1906706)']","[' 4709     (Average', ' 404.91 Last', ' 3060)']",[' 1604.1  '],"[' 417      (Average Length', ' 199.42 Splits', ' 0)']","[' 1906706  (Deleted', ' 1859730)']","[' 94       (Ratio', '   0.00%)']","[' 1486     (Ratio', '   0.08%)']","[' 1906706  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1906706  (Average', '  1.60 Max', ' 2165 Sum', ' 3056733)']","[' 1906550  (Average', '  1.60 Max', ' 2165 Sum', ' 3041511 Ratio', '  99.50%)']","[' 156      (Average', ' 97.58 Max', ' 313 Sum', '  15222 Ratio', '   0.50%)']", ,[' 96609   '],[' 3371    '],[' 96010   '],[' 54804   '],"[' 164408   (Atom=Atom', ' 52431 Body=Body', ' 28821 Other', ' 83156)']",[' Yes'],"[' 3772     (Eliminated', '    0 Frozen', ' 3772)']","[' 130      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.648869'],[' 0'], ,[' 118.762'],[' 0'],[' 1.86799'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83554e+07'],[' 1.3678e+07'],[' 0'],[' 2.17576e+10'],[' 0'],[' 0'],[' 412 '],[' 838 '],[' 1235 '],[' 1617 '],[' 2105 '],[' 2492 '],[' 2879 '],[' 3331 '],[' 3716 '],[' 4121 ']
Solving...,TA69, , ,[' 767'],[' 394'],"[' 70.735s (Solving', ' 68.53s 1st Model', ' 0.95s Unsat', ' 4.50s)']",[' 70.688s'], ,[' 2429550 '],"[' 1087690  (Analyzed', ' 1044906)']","[' 2690     (Average', ' 388.44 Last', ' 1982)']",[' 1628.1  '],"[' 394      (Average Length', ' 189.67 Splits', ' 0)']","[' 1044906  (Deleted', ' 1017959)']","[' 90       (Ratio', '   0.01%)']","[' 1108     (Ratio', '   0.11%)']","[' 1044906  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1044906  (Average', '  1.74 Max', ' 2222 Sum', ' 1814660)']","[' 1044766  (Average', '  1.73 Max', ' 2222 Sum', ' 1805515 Ratio', '  99.50%)']","[' 140      (Average', ' 65.32 Max', ' 286 Sum', '   9145 Ratio', '   0.50%)']", ,[' 96565   '],[' 3384    '],[' 95945   '],[' 54708   '],"[' 164120   (Atom=Atom', ' 52322 Body=Body', ' 28834 Other', ' 82964)']",[' Yes'],"[' 3764     (Eliminated', '    0 Frozen', ' 3764)']","[' 29       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.636613'],[' 0'], ,[' 59.9987'],[' 0'],[' 1.02072'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44181e+07'],[' 1.16386e+07'],[' 0'],[' 1.03976e+10'],[' 0'],[' 0'],[' 548 '],[' 976 '],[' 1408 '],[' 1774 '],[' 2202 '],[' 2772 '],[' 3165 '],[' 3541 '],[' 3985 '],[' 4439 ']
Solving...,TA70, ,[' 1'],[' 721+'],[' 371'],"[' 260.001s (Solving', ' 257.71s 1st Model', ' 1.06s Unsat', ' 74.58s)']",[' 259.547s'], ,[' 9684674 '],"[' 6210539  (Analyzed', ' 6187943)']","[' 13751    (Average', ' 450.00 Last', ' 34529)']",[' 1517.5  '],"[' 371      (Average Length', ' 180.17 Splits', ' 0)']","[' 6187943  (Deleted', ' 6094460)']","[' 87       (Ratio', '   0.00%)']","[' 2331     (Ratio', '   0.04%)']","[' 6187943  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6187943  (Average', '  1.45 Max', ' 2288 Sum', ' 8989018)']","[' 6187789  (Average', '  1.45 Max', ' 2288 Sum', ' 8979323 Ratio', '  99.89%)']","[' 154      (Average', ' 62.95 Max', ' 237 Sum', '   9695 Ratio', '   0.11%)']", ,[' 97638   '],[' 3531    '],[' 96998   '],[' 56048   '],"[' 168140   (Atom=Atom', ' 53515 Body=Body', ' 28981 Other', ' 85644)']",[' Yes'],"[' 3891     (Eliminated', '    0 Frozen', ' 3891)']","[' 155      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.551164'],[' 0'], ,[' 223.898'],[' 0'],[' 3.85571'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.2393e+07'],[' 1.80983e+07'],[' 0'],[' 3.74833e+10'],[' 0'],[' 0'],[' 499 '],[' 1018 '],[' 1398 '],[' 1821 '],[' 2449 '],[' 2968 '],[' 3183 '],[' 3667 '],[' 4004 '],[' 4637 ']
