Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA41, ,[' 1'],[' 5633+'],[' 2818'],"[' 1004.344s (Solving', ' 987.03s 1st Model', ' 940.09s Unsat', ' 0.00s)']",[' 1003.000s'], ,[' 563442837'],"[' 3041043  (Analyzed', ' 2700746)']","[' 9122     (Average', ' 296.07 Last', ' 225512)']",[' 9721.8  '],"[' 2818     (Average Length', ' 1408.50 Splits', ' 0)']","[' 2700746  (Deleted', ' 2651690)']","[' 570      (Ratio', '   0.02%)']","[' 40042    (Ratio', '   1.48%)']","[' 2700746  (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2700746  (Average', ' 199.66 Max', ' 8650 Sum', ' 539235892)']","[' 2700746  (Average', ' 199.66 Max', ' 8650 Sum', ' 539235892 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53527   '],[' 9300    '],[' 55743   '],[' 38787   '],"[' 116357   (Atom=Atom', ' 30085 Body=Body', ' 18570 Other', ' 67702)']",[' Yes'],"[' 12116    (Eliminated', '    0 Frozen', ' 12116)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.46752'],[' 0'], ,[' 325.564'],[' 0'],[' 34.5157'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.10157e+09'],[' 1.90561e+09'],[' 0'],[' 1.02756e+10'],[' 0'],[' 0'],[' 2529 '],[' 1 '],[' 0 ']
Solving...,TA42, ,[' 1'],[' 4735+'],[' 2369'],"[' 1003.645s (Solving', ' 989.00s 1st Model', ' 955.54s Unsat', ' 0.00s)']",[' 1002.047s'], ,[' 567249496'],"[' 3084787  (Analyzed', ' 2729817)']","[' 9332     (Average', ' 292.52 Last', ' 329804)']",[' 9517.8  '],"[' 2369     (Average Length', ' 1184.00 Splits', ' 0)']","[' 2729817  (Deleted', ' 2682992)']","[' 597      (Ratio', '   0.02%)']","[' 40096    (Ratio', '   1.47%)']","[' 2729817  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2729817  (Average', ' 200.27 Max', ' 8645 Sum', ' 546711711)']","[' 2729817  (Average', ' 200.27 Max', ' 8645 Sum', ' 546711711 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53078   '],[' 9300    '],[' 54845   '],[' 38338   '],"[' 115010   (Atom=Atom', ' 29636 Body=Body', ' 18570 Other', ' 66804)']",[' Yes'],"[' 11667    (Eliminated', '    0 Frozen', ' 11667)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.94478'],[' 0'], ,[' 327.067'],[' 0'],[' 34.972'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13577e+09'],[' 1.94772e+09'],[' 0'],[' 1.01548e+10'],[' 0'],[' 0'],[' 2422 '],[' 1 '],[' 0 ']
Solving...,TA43, ,[' 1'],[' 5711+'],[' 2857'],"[' 1004.954s (Solving', ' 986.26s 1st Model', ' 934.10s Unsat', ' 0.00s)']",[' 1003.500s'], ,[' 559208336'],"[' 3043166  (Analyzed', ' 2731919)']","[' 9381     (Average', ' 291.22 Last', ' 199568)']",[' 9708.1  '],"[' 2857     (Average Length', ' 1428.00 Splits', ' 0)']","[' 2731919  (Deleted', ' 2688637)']","[' 548      (Ratio', '   0.02%)']","[' 37902    (Ratio', '   1.39%)']","[' 2731919  (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2731919  (Average', ' 195.76 Max', ' 8614 Sum', ' 534789989)']","[' 2731919  (Average', ' 195.76 Max', ' 8614 Sum', ' 534789989 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53566   '],[' 9300    '],[' 55821   '],[' 38826   '],"[' 116474   (Atom=Atom', ' 30124 Body=Body', ' 18570 Other', ' 67780)']",[' Yes'],"[' 12155    (Eliminated', '    0 Frozen', ' 12155)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.5271'],[' 0'], ,[' 327.699'],[' 0'],[' 34.7705'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.10615e+09'],[' 1.91213e+09'],[' 0'],[' 1.01288e+10'],[' 0'],[' 0'],[' 2336 '],[' 1 '],[' 0 ']
Solving...,TA44, ,[' 1'],[' 4577+'],[' 2290'],"[' 1003.413s (Solving', ' 989.10s 1st Model', ' 951.21s Unsat', ' 0.00s)']",[' 1001.516s'], ,[' 554137479'],"[' 3056887  (Analyzed', ' 2641888)']","[' 8648     (Average', ' 305.49 Last', ' 334145)']",[' 9429.2  '],"[' 2290     (Average Length', ' 1144.50 Splits', ' 0)']","[' 2641888  (Deleted', ' 2593483)']","[' 640      (Ratio', '   0.02%)']","[' 41606    (Ratio', '   1.57%)']","[' 2641888  (Average Length', '   26.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2641888  (Average', ' 202.26 Max', ' 8630 Sum', ' 534336514)']","[' 2641887  (Average', ' 202.26 Max', ' 8630 Sum', ' 534336185 Ratio', ' 100.00%)']","[' 1        (Average', ' 329.00 Max', ' 329 Sum', '    329 Ratio', '   0.00%)']", ,[' 52999   '],[' 9300    '],[' 54687   '],[' 38259   '],"[' 114773   (Atom=Atom', ' 29557 Body=Body', ' 18570 Other', ' 66646)']",[' Yes'],"[' 11588    (Eliminated', '    0 Frozen', ' 11588)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.83139'],[' 0'], ,[' 323.938'],[' 0'],[' 34.2494'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.12453e+09'],[' 1.93897e+09'],[' 0'],[' 1.01622e+10'],[' 0'],[' 0'],[' 2515 '],[' 1 '],[' 0 ']
Solving...,TA45, ,[' 1'],[' 4997+'],[' 2500'],"[' 1003.583s (Solving', ' 988.45s 1st Model', ' 892.29s Unsat', ' 0.00s)']",[' 1001.391s'], ,[' 555354461'],"[' 3032845  (Analyzed', ' 2698469)']","[' 8874     (Average', ' 304.09 Last', ' 215447)']",[' 9624.7  '],"[' 2500     (Average Length', ' 1249.50 Splits', ' 0)']","[' 2698469  (Deleted', ' 2653204)']","[' 546      (Ratio', '   0.02%)']","[' 38551    (Ratio', '   1.43%)']","[' 2698469  (Average Length', '   26.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2698469  (Average', ' 197.76 Max', ' 8648 Sum', ' 533652082)']","[' 2698469  (Average', ' 197.76 Max', ' 8648 Sum', ' 533652082 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53209   '],[' 9300    '],[' 55107   '],[' 38469   '],"[' 115403   (Atom=Atom', ' 29767 Body=Body', ' 18570 Other', ' 67066)']",[' Yes'],"[' 11798    (Eliminated', '    0 Frozen', ' 11798)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.0853'],[' 0'], ,[' 327.13'],[' 0'],[' 34.4504'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13922e+09'],[' 1.94463e+09'],[' 0'],[' 1.01087e+10'],[' 0'],[' 0'],[' 2469 '],[' 1 '],[' 0 ']
Solving...,TA46, ,[' 1'],[' 4411+'],[' 2207'],"[' 1003.016s (Solving', ' 989.34s 1st Model', ' 944.87s Unsat', ' 0.00s)']",[' 1001.156s'], ,[' 553851681'],"[' 2936961  (Analyzed', ' 2691329)']","[' 8594     (Average', ' 313.16 Last', ' 208549)']",[' 9455.3  '],"[' 2207     (Average Length', ' 1103.00 Splits', ' 0)']","[' 2691329  (Deleted', ' 2642824)']","[' 629      (Ratio', '   0.02%)']","[' 42363    (Ratio', '   1.57%)']","[' 2691329  (Average Length', '   27.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2691329  (Average', ' 198.69 Max', ' 8639 Sum', ' 534739514)']","[' 2691328  (Average', ' 198.69 Max', ' 8639 Sum', ' 534739183 Ratio', ' 100.00%)']","[' 1        (Average', ' 331.00 Max', ' 331 Sum', '    331 Ratio', '   0.00%)']", ,[' 52916   '],[' 9300    '],[' 54521   '],[' 38176   '],"[' 114524   (Atom=Atom', ' 29474 Body=Body', ' 18570 Other', ' 66480)']",[' Yes'],"[' 11505    (Eliminated', '    0 Frozen', ' 11505)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.79721'],[' 0'], ,[' 326.422'],[' 0'],[' 34.4935'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13773e+09'],[' 1.94994e+09'],[' 0'],[' 1.02369e+10'],[' 0'],[' 0'],[' 2505 '],[' 1 '],[' 0 ']
Solving...,TA47, ,[' 1'],[' 5283+'],[' 2643'],"[' 1004.179s (Solving', ' 987.65s 1st Model', ' 951.48s Unsat', ' 0.00s)']",[' 1002.000s'], ,[' 573565667'],"[' 3086329  (Analyzed', ' 2796454)']","[' 9486     (Average', ' 294.80 Last', ' 200886)']",[' 9654.1  '],"[' 2643     (Average Length', ' 1321.00 Splits', ' 0)']","[' 2796454  (Deleted', ' 2753104)']","[' 495      (Ratio', '   0.02%)']","[' 37019    (Ratio', '   1.32%)']","[' 2796454  (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2796454  (Average', ' 196.96 Max', ' 8640 Sum', ' 550790601)']","[' 2796454  (Average', ' 196.96 Max', ' 8640 Sum', ' 550790601 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53352   '],[' 9300    '],[' 55393   '],[' 38612   '],"[' 115832   (Atom=Atom', ' 29910 Body=Body', ' 18570 Other', ' 67352)']",[' Yes'],"[' 11941    (Eliminated', '    0 Frozen', ' 11941)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.28432'],[' 0'], ,[' 330.191'],[' 0'],[' 35.3617'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.12147e+09'],[' 1.924e+09'],[' 0'],[' 1.02667e+10'],[' 0'],[' 0'],[' 2361 '],[' 1 '],[' 0 ']
Solving...,TA48, ,[' 1'],[' 4521+'],[' 2262'],"[' 1003.285s (Solving', ' 989.57s 1st Model', ' 934.98s Unsat', ' 0.00s)']",[' 1001.203s'], ,[' 558332105'],"[' 2901166  (Analyzed', ' 2647334)']","[' 8675     (Average', ' 305.17 Last', ' 207538)']",[' 9501.0  '],"[' 2262     (Average Length', ' 1130.50 Splits', ' 0)']","[' 2647334  (Deleted', ' 2598130)']","[' 587      (Ratio', '   0.02%)']","[' 41256    (Ratio', '   1.56%)']","[' 2647334  (Average Length', '   26.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2647334  (Average', ' 203.49 Max', ' 8610 Sum', ' 538707189)']","[' 2647334  (Average', ' 203.49 Max', ' 8610 Sum', ' 538707189 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 52971   '],[' 9300    '],[' 54631   '],[' 38231   '],"[' 114689   (Atom=Atom', ' 29529 Body=Body', ' 18570 Other', ' 66590)']",[' Yes'],"[' 11560    (Eliminated', '    0 Frozen', ' 11560)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.84437'],[' 0'], ,[' 325.619'],[' 0'],[' 34.6831'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.14592e+09'],[' 1.95684e+09'],[' 0'],[' 1.00043e+10'],[' 0'],[' 0'],[' 2446 '],[' 1 '],[' 0 ']
Solving...,TA49, ,[' 1'],[' 4943+'],[' 2473'],"[' 1003.891s (Solving', ' 989.10s 1st Model', ' 917.17s Unsat', ' 0.00s)']",[' 1002.016s'], ,[' 539431089'],"[' 2849335  (Analyzed', ' 2585235)']","[' 8351     (Average', ' 309.57 Last', ' 209238)']",[' 9602.9  '],"[' 2473     (Average Length', ' 1236.00 Splits', ' 0)']","[' 2585235  (Deleted', ' 2536883)']","[' 627      (Ratio', '   0.02%)']","[' 43337    (Ratio', '   1.68%)']","[' 2585235  (Average Length', '   27.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2585235  (Average', ' 200.39 Max', ' 8651 Sum', ' 518057012)']","[' 2585235  (Average', ' 200.39 Max', ' 8651 Sum', ' 518057012 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53182   '],[' 9300    '],[' 55053   '],[' 38442   '],"[' 115322   (Atom=Atom', ' 29740 Body=Body', ' 18570 Other', ' 67012)']",[' Yes'],"[' 11771    (Eliminated', '    0 Frozen', ' 11771)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.08551'],[' 0'], ,[' 319.623'],[' 0'],[' 33.4718'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13502e+09'],[' 1.95263e+09'],[' 0'],[' 9.86016e+09'],[' 0'],[' 0'],[' 2498 '],[' 1 '],[' 0 ']
Solving...,TA50, ,[' 1'],[' 5581+'],[' 2792'],"[' 1004.613s (Solving', ' 986.62s 1st Model', ' 895.42s Unsat', ' 0.00s)']",[' 1003.234s'], ,[' 569153701'],"[' 3124411  (Analyzed', ' 2723929)']","[' 9590     (Average', ' 284.04 Last', ' 189512)']",[' 9721.2  '],"[' 2792     (Average Length', ' 1395.50 Splits', ' 0)']","[' 2723929  (Deleted', ' 2678578)']","[' 573      (Ratio', '   0.02%)']","[' 39235    (Ratio', '   1.44%)']","[' 2723929  (Average Length', '   25.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2723929  (Average', ' 200.10 Max', ' 8647 Sum', ' 545063523)']","[' 2723929  (Average', ' 200.10 Max', ' 8647 Sum', ' 545063523 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 53501   '],[' 9300    '],[' 55691   '],[' 38761   '],"[' 116279   (Atom=Atom', ' 30059 Body=Body', ' 18570 Other', ' 67650)']",[' Yes'],"[' 12090    (Eliminated', '    0 Frozen', ' 12090)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.42955'],[' 0'], ,[' 328.136'],[' 0'],[' 34.6113'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.11452e+09'],[' 1.92221e+09'],[' 0'],[' 1.02299e+10'],[' 0'],[' 0'],[' 2426 '],[' 1 '],[' 0 ']
