Optimal Found Or Timeout,Instances,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA31, ,[' 699'],[' 355'],"[' 73.501s (Solving', ' 72.70s 1st Model', ' 0.33s Unsat', ' 71.28s)']",[' 73.484s'], ,[' 3540136 '],"[' 2126198  (Analyzed', ' 2103698)']","[' 4644     (Average', ' 452.99 Last', ' 53183)']",[' 882.4   '],"[' 355      (Average Length', ' 172.14 Splits', ' 0)']","[' 2103698  (Deleted', ' 2061144)']","[' 64       (Ratio', '   0.00%)']","[' 932      (Ratio', '   0.04%)']","[' 2103698  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2103698  (Average', '  1.54 Max', ' 1152 Sum', ' 3232545)']","[' 2103585  (Average', '  1.53 Max', ' 1152 Sum', ' 3224521 Ratio', '  99.75%)']","[' 113      (Average', ' 71.01 Max', ' 237 Sum', '   8024 Ratio', '   0.25%)']", ,[' 30967   '],[' 1755    '],[' 30859   '],[' 16694   '],"[' 50078    (Atom=Atom', ' 15387 Body=Body', ' 8700 Other', ' 25991)']",[' Yes'],"[' 2097     (Eliminated', '    0 Frozen', ' 2097)']","[' 25       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.1998'],[' 0'], ,[' 59.4776'],[' 0'],[' 1.22125'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07412e+07'],[' 5.75908e+06'],[' 0'],[' 9.38665e+09'],[' 0'],[' 0'],[' 571 '],[' 923 '],[' 1495 '],[' 2044 '],[' 2387 '],[' 0 '],[' 5 ']
Solving...,TA32, ,[' 727'],[' 369'],"[' 457.162s (Solving', ' 456.24s 1st Model', ' 0.47s Unsat', ' 55.25s)']",[' 455.875s'], ,[' 28991011'],"[' 18815497 (Analyzed', ' 18782070)']","[' 34934    (Average', ' 537.64 Last', ' 73234)']",[' 919.1   '],"[' 369      (Average Length', ' 180.99 Splits', ' 0)']","[' 18782070 (Deleted', ' 18509965)']","[' 49       (Ratio', '   0.00%)']","[' 1710     (Ratio', '   0.01%)']","[' 18782070 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18782070 (Average', '  1.50 Max', ' 1094 Sum', ' 28206655)']","[' 18781896 (Average', '  1.50 Max', ' 1094 Sum', ' 28184515 Ratio', '  99.92%)']","[' 174      (Average', ' 127.24 Max', ' 245 Sum', '  22140 Ratio', '   0.08%)']", ,[' 31479   '],[' 1834    '],[' 31387   '],[' 16903   '],"[' 50705    (Atom=Atom', ' 15517 Body=Body', ' 8779 Other', ' 26409)']",[' Yes'],"[' 2192     (Eliminated', '    0 Frozen', ' 2192)']","[' 227      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.223797'],[' 0'], ,[' 348.075'],[' 0'],[' 7.17161'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.00157e+07'],[' 3.71318e+07'],[' 0'],[' 4.77072e+10'],[' 0'],[' 0'],[' 541 '],[' 1183 '],[' 1759 '],[' 2414 '],[' 2889 '],[' 2 '],[' 3 ']
Solving...,TA33, ,[' 849'],[' 430'],"[' 353.505s (Solving', ' 352.57s 1st Model', ' 0.36s Unsat', ' 151.39s)']",[' 353.109s'], ,[' 15334592'],"[' 10962449 (Analyzed', ' 10896482)']","[' 21696    (Average', ' 502.23 Last', ' 23527)']",[' 918.3   '],"[' 430      (Average Length', ' 208.40 Splits', ' 0)']","[' 10896482 (Deleted', ' 10724542)']","[' 48       (Ratio', '   0.00%)']","[' 923      (Ratio', '   0.01%)']","[' 10896482 (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10896482 (Average', '  1.35 Max', ' 1080 Sum', ' 14738843)']","[' 10896302 (Average', '  1.35 Max', ' 1080 Sum', ' 14701311 Ratio', '  99.75%)']","[' 180      (Average', ' 208.51 Max', ' 316 Sum', '  37532 Ratio', '   0.25%)']", ,[' 31268   '],[' 1771    '],[' 31233   '],[' 16889   '],"[' 50663    (Atom=Atom', ' 15566 Body=Body', ' 8716 Other', ' 26381)']",[' Yes'],"[' 2186     (Eliminated', '    0 Frozen', ' 2186)']","[' 153      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.236086'],[' 0'], ,[' 287.017'],[' 0'],[' 5.58422'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.5268e+07'],[' 1.97751e+07'],[' 0'],[' 3.9592e+10'],[' 0'],[' 0'],[' 464 '],[' 946 '],[' 1491 '],[' 2075 '],[' 2537 '],[' 1 '],[' 4 ']
Solving...,TA34, ,[' 763'],[' 387'],"[' 63.374s (Solving', ' 62.56s 1st Model', ' 0.41s Unsat', ' 60.67s)']",[' 63.125s'], ,[' 5182234 '],"[' 3413021  (Analyzed', ' 3359473)']","[' 7343     (Average', ' 457.51 Last', ' 96)']",[' 930.2   '],"[' 387      (Average Length', ' 187.15 Splits', ' 0)']","[' 3359473  (Deleted', ' 3300980)']","[' 60       (Ratio', '   0.00%)']","[' 1061     (Ratio', '   0.03%)']","[' 3359473  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3359473  (Average', '  1.42 Max', ' 1150 Sum', ' 4773119)']","[' 3359383  (Average', '  1.42 Max', ' 1150 Sum', ' 4767103 Ratio', '  99.87%)']","[' 90       (Average', ' 66.84 Max', ' 271 Sum', '   6016 Ratio', '   0.13%)']", ,[' 30949   '],[' 1740    '],[' 30873   '],[' 16627   '],"[' 49877    (Atom=Atom', ' 15335 Body=Body', ' 8685 Other', ' 25857)']",[' Yes'],"[' 2114     (Eliminated', '    0 Frozen', ' 2114)']","[' 38       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.22244'],[' 0'], ,[' 42.71'],[' 0'],[' 0.937757'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65497e+07'],[' 8.60563e+06'],[' 0'],[' 4.27031e+09'],[' 0'],[' 0'],[' 539 '],[' 1058 '],[' 1533 '],[' 2010 '],[' 2523 '],[' 0 '],[' 5 ']
Solving...,TA35, ,[' 681'],[' 346'],"[' 404.875s (Solving', ' 404.00s 1st Model', ' 0.53s Unsat', ' 3.09s)']",[' 404.234s'], ,[' 24461843'],"[' 16607237 (Analyzed', ' 16562177)']","[' 29870    (Average', ' 554.48 Last', ' 26131)']",[' 899.0   '],"[' 346      (Average Length', ' 169.34 Splits', ' 0)']","[' 16562177 (Deleted', ' 16311899)']","[' 31       (Ratio', '   0.00%)']","[' 1215     (Ratio', '   0.01%)']","[' 16562177 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16562177 (Average', '  1.44 Max', ' 1096 Sum', ' 23788145)']","[' 16562074 (Average', '  1.44 Max', ' 1096 Sum', ' 23775707 Ratio', '  99.95%)']","[' 103      (Average', ' 120.76 Max', ' 240 Sum', '  12438 Ratio', '   0.05%)']", ,[' 31118   '],[' 1748    '],[' 31006   '],[' 16632   '],"[' 49892    (Atom=Atom', ' 15332 Body=Body', ' 8693 Other', ' 25867)']",[' Yes'],"[' 2086     (Eliminated', '    0 Frozen', ' 2086)']","[' 164      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.205323'],[' 0'], ,[' 306.685'],[' 0'],[' 6.61793'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.62691e+07'],[' 2.87265e+07'],[' 0'],[' 4.05611e+10'],[' 0'],[' 0'],[' 484 '],[' 1142 '],[' 1512 '],[' 2002 '],[' 2606 '],[' 2 '],[' 3 ']
Solving...,TA36, ,[' 729'],[' 370'],"[' 11.892s (Solving', ' 11.03s 1st Model', ' 0.53s Unsat', ' 9.52s)']",[' 11.797s'], ,[' 1829253 '],"[' 933816   (Analyzed', ' 916550)']","[' 2394     (Average', ' 382.85 Last', ' 6727)']",[' 855.9   '],"[' 370      (Average Length', ' 176.26 Splits', ' 0)']","[' 916550   (Deleted', ' 892639)']","[' 49       (Ratio', '   0.01%)']","[' 810      (Ratio', '   0.09%)']","[' 916550   (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 916550   (Average', '  1.69 Max', ' 1129 Sum', ' 1547860)']","[' 916458   (Average', '  1.68 Max', ' 1129 Sum', ' 1539705 Ratio', '  99.47%)']","[' 92       (Average', ' 88.64 Max', ' 284 Sum', '   8155 Ratio', '   0.53%)']", ,[' 31032   '],[' 1728    '],[' 30935   '],[' 16682   '],"[' 50042    (Atom=Atom', ' 15402 Body=Body', ' 8673 Other', ' 25967)']",[' Yes'],"[' 2081     (Eliminated', '    0 Frozen', ' 2081)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.195431'],[' 0'], ,[' 5.36413'],[' 0'],[' 0.180496'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.33592e+06'],[' 4.06284e+06'],[' 0'],[' 4.33151e+08'],[' 0'],[' 0'],[' 658 '],[' 1092 '],[' 1488 '],[' 1983 '],[' 2481 '],[' 0 '],[' 5 ']
Solving...,TA37, ,[' 843'],[' 427'],"[' 87.807s (Solving', ' 86.73s 1st Model', ' 0.43s Unsat', ' 85.23s)']",[' 87.688s'], ,[' 4566647 '],"[' 2922583  (Analyzed', ' 2917853)']","[' 6220     (Average', ' 469.11 Last', ' 117988)']",[' 919.8   '],"[' 427      (Average Length', ' 205.56 Splits', ' 0)']","[' 2917853  (Deleted', ' 2862091)']","[' 58       (Ratio', '   0.00%)']","[' 891      (Ratio', '   0.03%)']","[' 2917853  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2917853  (Average', '  1.44 Max', ' 1177 Sum', ' 4205517)']","[' 2917759  (Average', '  1.44 Max', ' 1177 Sum', ' 4196427 Ratio', '  99.78%)']","[' 94       (Average', ' 96.70 Max', ' 317 Sum', '   9090 Ratio', '   0.22%)']", ,[' 30873   '],[' 1746    '],[' 30830   '],[' 16643   '],"[' 49925    (Atom=Atom', ' 15345 Body=Body', ' 8691 Other', ' 25889)']",[' Yes'],"[' 2153     (Eliminated', '    0 Frozen', ' 2153)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.233529'],[' 0'], ,[' 68.2659'],[' 0'],[' 1.42913'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42286e+07'],[' 7.16676e+06'],[' 0'],[' 9.5781e+09'],[' 0'],[' 0'],[' 415 '],[' 904 '],[' 1446 '],[' 1938 '],[' 2408 '],[' 0 '],[' 5 ']
Solving...,TA38, ,[' 751'],[' 381'],"[' 40.016s (Solving', ' 39.14s 1st Model', ' 0.34s Unsat', ' 36.91s)']",[' 39.969s'], ,[' 2828404 '],"[' 1782498  (Analyzed', ' 1674968)']","[' 4424     (Average', ' 378.61 Last', ' 15603)']",[' 999.6   '],"[' 381      (Average Length', ' 185.51 Splits', ' 0)']","[' 1674968  (Deleted', ' 1633633)']","[' 61       (Ratio', '   0.00%)']","[' 1043     (Ratio', '   0.06%)']","[' 1674968  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1674968  (Average', '  1.42 Max', ' 1201 Sum', ' 2375474)']","[' 1674882  (Average', '  1.41 Max', ' 1201 Sum', ' 2369853 Ratio', '  99.76%)']","[' 86       (Average', ' 65.36 Max', ' 204 Sum', '   5621 Ratio', '   0.24%)']", ,[' 30971   '],[' 1781    '],[' 30887   '],[' 17202   '],"[' 51602    (Atom=Atom', ' 15869 Body=Body', ' 8726 Other', ' 27007)']",[' Yes'],"[' 2147     (Eliminated', '    0 Frozen', ' 2147)']","[' 21       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.224329'],[' 0'], ,[' 28.6982'],[' 0'],[' 0.654807'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.42772e+06'],[' 5.33222e+06'],[' 0'],[' 3.73294e+09'],[' 0'],[' 0'],[' 573 '],[' 1102 '],[' 1541 '],[' 2040 '],[' 2562 '],[' 0 '],[' 5 ']
Solving...,TA39, ,[' 665'],[' 338'],"[' 403.766s (Solving', ' 402.91s 1st Model', ' 0.34s Unsat', ' 2.31s)']",[' 403.563s'], ,[' 38991657'],"[' 24622426 (Analyzed', ' 24608111)']","[' 43459    (Average', ' 566.24 Last', ' 282821)']",[' 850.0   '],"[' 338      (Average Length', ' 162.93 Splits', ' 0)']","[' 24608111 (Deleted', ' 24316496)']","[' 31       (Ratio', '   0.00%)']","[' 1530     (Ratio', '   0.01%)']","[' 24608111 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24608111 (Average', '  1.54 Max', ' 1072 Sum', ' 38000620)']","[' 24607978 (Average', '  1.54 Max', ' 1072 Sum', ' 37987879 Ratio', '  99.97%)']","[' 133      (Average', ' 95.80 Max', ' 262 Sum', '  12741 Ratio', '   0.03%)']", ,[' 31154   '],[' 1776    '],[' 31023   '],[' 16586   '],"[' 49754    (Atom=Atom', ' 15258 Body=Body', ' 8721 Other', ' 25775)']",[' Yes'],"[' 2095     (Eliminated', '    0 Frozen', ' 2095)']","[' 225      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.19907'],[' 0'], ,[' 269.446'],[' 0'],[' 6.284'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03681e+08'],[' 4.77546e+07'],[' 0'],[' 3.29812e+10'],[' 0'],[' 0'],[' 741 '],[' 1207 '],[' 1717 '],[' 2222 '],[' 2635 '],[' 2 '],[' 3 ']
Solving...,TA40, ,[' 795'],[' 403'],"[' 12.042s (Solving', ' 11.18s 1st Model', ' 0.48s Unsat', ' 9.34s)']",[' 11.938s'], ,[' 1874753 '],"[' 992143   (Analyzed', ' 972192)']","[' 2309     (Average', ' 421.04 Last', ' 380)']",[' 940.5   '],"[' 403      (Average Length', ' 196.57 Splits', ' 0)']","[' 972192   (Deleted', ' 950416)']","[' 24       (Ratio', '   0.00%)']","[' 555      (Ratio', '   0.06%)']","[' 972192   (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 972192   (Average', '  1.58 Max', ' 1165 Sum', ' 1539811)']","[' 972132   (Average', '  1.58 Max', ' 1165 Sum', ' 1534704 Ratio', '  99.67%)']","[' 60       (Average', ' 85.12 Max', ' 277 Sum', '   5107 Ratio', '   0.33%)']", ,[' 30852   '],[' 1723    '],[' 30793   '],[' 16618   '],"[' 49850    (Atom=Atom', ' 15343 Body=Body', ' 8668 Other', ' 25839)']",[' Yes'],"[' 2114     (Eliminated', '    0 Frozen', ' 2114)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.228133'],[' 0'], ,[' 5.1052'],[' 0'],[' 0.178924'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.62582e+06'],[' 4.17473e+06'],[' 0'],[' 3.32554e+08'],[' 0'],[' 0'],[' 525 '],[' 1021 '],[' 1454 '],[' 1847 '],[' 2351 '],[' 0 '],[' 5 ']
