Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 8439+'],[' 4226'],"[' 616.428s (Solving', ' 557.26s 1st Model', ' 153.67s Unsat', ' 0.00s)']",[' 613.859s'], ,[' 251576277'],"[' 4024469  (Analyzed', ' 3252285)']","[' 8840     (Average', ' 367.91 Last', ' 30589)']",[' 9036.5  '],"[' 4226     (Average Length', ' 2112.67 Splits', ' 0)']","[' 3252285  (Deleted', ' 3152795)']","[' 302      (Ratio', '   0.01%)']","[' 45161    (Ratio', '   1.39%)']","[' 3252285  (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3252285  (Average', ' 69.75 Max', ' 10865 Sum', ' 226835398)']","[' 3249447  (Average', ' 68.00 Max', ' 10865 Sum', ' 221158992 Ratio', '  97.50%)']","[' 2838     (Average', ' 2000.14 Max', ' 2941 Sum', ' 5676406 Ratio', '   2.50%)']", ,[' 347189  '],[' 18812   '],[' 316330  '],[' 139739  '],"[' 353294   (Atom=Atom', ' 96351 Body=Body', ' 65673 Other', ' 191270)']",[' Yes'],"[' 23734    (Eliminated', '    0 Frozen', ' 23734)']","[' 8880     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.2839'],[' 0'], ,[' 174.652'],[' 0'],[' 15.7207'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.74963e+08'],[' 4.16351e+08'],[' 0'],[' 6.27143e+09'],[' 0'],[' 0'],[' 1358 '],[' 2449 '],[' 3340 '],[' 4166 '],[' 5127 '],[' 5909 '],[' 6 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 8585+'],[' 4299'],"[' 615.440s (Solving', ' 560.53s 1st Model', ' 176.42s Unsat', ' 0.00s)']",[' 612.406s'], ,[' 285465687'],"[' 3108203  (Analyzed', ' 2428103)']","[' 6902     (Average', ' 351.80 Last', ' 56518)']",[' 8440.7  '],"[' 4299     (Average Length', ' 2144.75 Splits', ' 0)']","[' 2428103  (Deleted', ' 2335229)']","[' 274      (Ratio', '   0.01%)']","[' 55420    (Ratio', '   2.28%)']","[' 2428103  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2428103  (Average', ' 108.44 Max', ' 10648 Sum', ' 263311051)']","[' 2425416  (Average', ' 106.04 Max', ' 10648 Sum', ' 257481051 Ratio', '  97.79%)']","[' 2687     (Average', ' 2169.71 Max', ' 3074 Sum', ' 5830000 Ratio', '   2.21%)']", ,[' 346803  '],[' 18664   '],[' 315596  '],[' 139307  '],"[' 351333   (Atom=Atom', ' 95903 Body=Body', ' 65280 Other', ' 190150)']",[' Yes'],"[' 23673    (Eliminated', '    0 Frozen', ' 23673)']","[' 10478    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.5652'],[' 0'], ,[' 166.554'],[' 0'],[' 16.8638'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.72981e+08'],[' 5.03216e+08'],[' 0'],[' 5.57912e+09'],[' 0'],[' 0'],[' 1122 '],[' 2057 '],[' 2899 '],[' 3759 '],[' 4672 '],[' 5445 '],[' 6 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 8377+'],[' 4195'],"[' 614.974s (Solving', ' 561.01s 1st Model', ' 206.04s Unsat', ' 0.00s)']",[' 612.734s'], ,[' 280854258'],"[' 4573738  (Analyzed', ' 3620501)']","[' 8925     (Average', ' 405.66 Last', ' 57558)']",[' 8801.5  '],"[' 4195     (Average Length', ' 2113.66 Splits', ' 0)']","[' 3620501  (Deleted', ' 3521444)']","[' 291      (Ratio', '   0.01%)']","[' 52201    (Ratio', '   1.44%)']","[' 3620501  (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3620501  (Average', ' 70.89 Max', ' 10644 Sum', ' 256669500)']","[' 3617926  (Average', ' 69.47 Max', ' 10644 Sum', ' 251524741 Ratio', '  98.00%)']","[' 2575     (Average', ' 1997.96 Max', ' 2993 Sum', ' 5144759 Ratio', '   2.00%)']", ,[' 346966  '],[' 18803   '],[' 316158  '],[' 139577  '],"[' 352693   (Atom=Atom', ' 96213 Body=Body', ' 65606 Other', ' 190874)']",[' Yes'],"[' 23671    (Eliminated', '    0 Frozen', ' 23671)']","[' 9659     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3107'],[' 0'], ,[' 179.737'],[' 0'],[' 16.6841'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.3682e+08'],[' 4.69422e+08'],[' 0'],[' 6.70963e+09'],[' 0'],[' 0'],[' 1399 '],[' 2384 '],[' 3211 '],[' 4174 '],[' 5053 '],[' 5828 '],[' 6 '],[' 0 ']
Solving...,TA74, , , ,[' 9375+'],[' 4694'],"[' 620.023s (Solving', ' 555.38s 1st Model', ' 202.58s Unsat', ' 0.00s)']",[' 615.516s'], ,[' 267968209'],"[' 2781759  (Analyzed', ' 2140495)']","[' 6709     (Average', ' 319.05 Last', ' 54647)']",[' 8800.9  '],"[' 4695     (Average Length', ' 2306.62 Splits', ' 0)']","[' 2140495  (Deleted', ' 2050338)']","[' 321      (Ratio', '   0.01%)']","[' 50082    (Ratio', '   2.34%)']","[' 2140495  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2140495  (Average', ' 113.11 Max', ' 10449 Sum', ' 242113271)']","[' 2137894  (Average', ' 110.53 Max', ' 10449 Sum', ' 236588214 Ratio', '  97.72%)']","[' 2601     (Average', ' 2124.20 Max', ' 3205 Sum', ' 5525057 Ratio', '   2.28%)']", ,[' 349780  '],[' 18701   '],[' 318002  '],[' 141266  '],"[' 352690   (Atom=Atom', ' 96333 Body=Body', ' 65369 Other', ' 190988)']",[' Yes'],"[' 23955    (Eliminated', '    0 Frozen', ' 23955)']","[' 9856     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.8115'],[' 0'], ,[' 153.355'],[' 0'],[' 15.797'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.50909e+08'],[' 4.83496e+08'],[' 0'],[' 4.7259e+09'],[' 0'],[' 0'],[' 1224 '],[' 2066 '],[' 2978 '],[' 3904 '],[' 4816 '],[' 5639 '],[' 6 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 8741+'],[' 4377'],"[' 615.191s (Solving', ' 560.82s 1st Model', ' 245.30s Unsat', ' 0.00s)']",[' 611.094s'], ,[' 294529105'],"[' 2192750  (Analyzed', ' 1735113)']","[' 5730     (Average', ' 302.81 Last', ' 91022)']",[' 8595.3  '],"[' 4377     (Average Length', ' 2178.63 Splits', ' 0)']","[' 1735113  (Deleted', ' 1638860)']","[' 262      (Ratio', '   0.02%)']","[' 59086    (Ratio', '   3.41%)']","[' 1735113  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1735113  (Average', ' 156.23 Max', ' 10652 Sum', ' 271085363)']","[' 1732721  (Average', ' 153.17 Max', ' 10652 Sum', ' 265762817 Ratio', '  98.04%)']","[' 2392     (Average', ' 2225.14 Max', ' 3097 Sum', ' 5322546 Ratio', '   1.96%)']", ,[' 349143  '],[' 18843   '],[' 317711  '],[' 140845  '],"[' 353846   (Atom=Atom', ' 96512 Body=Body', ' 65735 Other', ' 191599)']",[' Yes'],"[' 23933    (Eliminated', '    0 Frozen', ' 23933)']","[' 10137    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3315'],[' 0'], ,[' 151.331'],[' 0'],[' 16.873'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.43338e+08'],[' 5.6693e+08'],[' 0'],[' 4.45345e+09'],[' 0'],[' 0'],[' 1246 '],[' 2169 '],[' 3073 '],[' 4059 '],[' 4912 '],[' 5647 '],[' 6 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 9357+'],[' 4685'],"[' 616.501s (Solving', ' 556.17s 1st Model', ' 249.34s Unsat', ' 0.00s)']",[' 614.500s'], ,[' 277224361'],"[' 3221280  (Analyzed', ' 2808611)']","[' 8069     (Average', ' 348.07 Last', ' 194676)']",[' 8875.4  '],"[' 4685     (Average Length', ' 2336.67 Splits', ' 0)']","[' 2808611  (Deleted', ' 2711459)']","[' 319      (Ratio', '   0.01%)']","[' 52253    (Ratio', '   1.86%)']","[' 2808611  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2808611  (Average', ' 89.58 Max', ' 12604 Sum', ' 251586347)']","[' 2805967  (Average', ' 87.55 Max', ' 12604 Sum', ' 245881035 Ratio', '  97.73%)']","[' 2644     (Average', ' 2157.83 Max', ' 3319 Sum', ' 5705312 Ratio', '   2.27%)']", ,[' 348047  '],[' 18651   '],[' 316694  '],[' 140167  '],"[' 352384   (Atom=Atom', ' 96255 Body=Body', ' 65275 Other', ' 190854)']",[' Yes'],"[' 23978    (Eliminated', '    0 Frozen', ' 23978)']","[' 9880     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.4615'],[' 0'], ,[' 154.637'],[' 0'],[' 16.123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.78976e+08'],[' 5.05524e+08'],[' 0'],[' 4.83774e+09'],[' 0'],[' 0'],[' 1144 '],[' 2112 '],[' 3004 '],[' 3877 '],[' 4746 '],[' 5631 '],[' 6 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 8927+'],[' 4470'],"[' 616.464s (Solving', ' 556.19s 1st Model', ' 198.85s Unsat', ' 0.00s)']",[' 612.313s'], ,[' 257103222'],"[' 4758658  (Analyzed', ' 3540781)']","[' 9098     (Average', ' 389.18 Last', ' 40042)']",[' 8894.6  '],"[' 4470     (Average Length', ' 2187.23 Splits', ' 0)']","[' 3540781  (Deleted', ' 3445507)']","[' 253      (Ratio', '   0.01%)']","[' 44809    (Ratio', '   1.27%)']","[' 3540781  (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3540781  (Average', ' 65.34 Max', ' 10663 Sum', ' 231343758)']","[' 3537996  (Average', ' 63.68 Max', ' 10663 Sum', ' 225483165 Ratio', '  97.47%)']","[' 2785     (Average', ' 2104.34 Max', ' 3109 Sum', ' 5860593 Ratio', '   2.53%)']", ,[' 348008  '],[' 18668   '],[' 316634  '],[' 139975  '],"[' 351983   (Atom=Atom', ' 96090 Body=Body', ' 65337 Other', ' 190556)']",[' Yes'],"[' 23784    (Eliminated', '    0 Frozen', ' 23784)']","[' 8985     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.6859'],[' 0'], ,[' 169.097'],[' 0'],[' 15.7321'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.84343e+08'],[' 4.21529e+08'],[' 0'],[' 5.86482e+09'],[' 0'],[' 0'],[' 1374 '],[' 2058 '],[' 2956 '],[' 3901 '],[' 4895 '],[' 5706 '],[' 6 '],[' 0 ']
Solving...,TA78, , , ,[' 9463+'],[' 4738'],"[' 622.126s (Solving', ' 550.24s 1st Model', ' 170.94s Unsat', ' 0.00s)']",[' 615.656s'], ,[' 214764651'],"[' 2432807  (Analyzed', ' 1854906)']","[' 5798     (Average', ' 319.92 Last', ' 117379)']",[' 9222.4  '],"[' 4739     (Average Length', ' 2303.09 Splits', ' 0)']","[' 1854906  (Deleted', ' 1769110)']","[' 277      (Ratio', '   0.01%)']","[' 39319    (Ratio', '   2.12%)']","[' 1854906  (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1854906  (Average', ' 101.04 Max', ' 11370 Sum', ' 187418368)']","[' 1852120  (Average', ' 97.68 Max', ' 11370 Sum', ' 181191916 Ratio', '  96.68%)']","[' 2786     (Average', ' 2234.91 Max', ' 3222 Sum', ' 6226452 Ratio', '   3.32%)']", ,[' 348688  '],[' 18839   '],[' 317507  '],[' 141082  '],"[' 354623   (Atom=Atom', ' 96842 Body=Body', ' 65679 Other', ' 192102)']",[' Yes'],"[' 24033    (Eliminated', '    0 Frozen', ' 24033)']","[' 7812     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1961'],[' 0'], ,[' 149.699'],[' 0'],[' 14.7087'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.85333e+08'],[' 3.40638e+08'],[' 0'],[' 3.9874e+09'],[' 0'],[' 0'],[' 1306 '],[' 2211 '],[' 3159 '],[' 4236 '],[' 5045 '],[' 5870 '],[' 6 '],[' 0 ']
Solving...,TA79, , , ,[' 8061+'],[' 4037'],"[' 621.458s (Solving', ' 553.72s 1st Model', ' 190.33s Unsat', ' 0.00s)']",[' 615.422s'], ,[' 228324169'],"[' 2456527  (Analyzed', ' 1887695)']","[' 5600     (Average', ' 337.09 Last', ' 52290)']",[' 8916.6  '],"[' 4038     (Average Length', ' 2030.29 Splits', ' 0)']","[' 1887695  (Deleted', ' 1811310)']","[' 239      (Ratio', '   0.01%)']","[' 43137    (Ratio', '   2.29%)']","[' 1887695  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1887695  (Average', ' 108.20 Max', ' 12250 Sum', ' 204248301)']","[' 1885344  (Average', ' 105.80 Max', ' 12250 Sum', ' 199716378 Ratio', '  97.78%)']","[' 2351     (Average', ' 1927.66 Max', ' 2813 Sum', ' 4531923 Ratio', '   2.22%)']", ,[' 349002  '],[' 18873   '],[' 317224  '],[' 140629  '],"[' 354032   (Atom=Atom', ' 96508 Body=Body', ' 65966 Other', ' 191558)']",[' Yes'],"[' 23689    (Eliminated', '    0 Frozen', ' 23689)']","[' 7759     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.279'],[' 0'], ,[' 148.767'],[' 0'],[' 15.8542'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.47409e+08'],[' 3.93562e+08'],[' 0'],[' 3.79297e+09'],[' 0'],[' 0'],[' 1217 '],[' 2070 '],[' 3030 '],[' 3899 '],[' 4793 '],[' 5859 '],[' 6 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 8387+'],[' 4200'],"[' 617.753s (Solving', ' 555.25s 1st Model', ' 177.83s Unsat', ' 0.00s)']",[' 612.734s'], ,[' 233979790'],"[' 2138553  (Analyzed', ' 1555258)']","[' 5340     (Average', ' 291.25 Last', ' 22488)']",[' 8962.8  '],"[' 4200     (Average Length', ' 2119.42 Splits', ' 0)']","[' 1555258  (Deleted', ' 1481633)']","[' 301      (Ratio', '   0.02%)']","[' 45307    (Ratio', '   2.91%)']","[' 1555258  (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1555258  (Average', ' 135.33 Max', ' 11080 Sum', ' 210473468)']","[' 1552363  (Average', ' 131.47 Max', ' 11080 Sum', ' 204475933 Ratio', '  97.15%)']","[' 2895     (Average', ' 2071.69 Max', ' 3030 Sum', ' 5997535 Ratio', '   2.85%)']", ,[' 348329  '],[' 18825   '],[' 317019  '],[' 140267  '],"[' 353595   (Atom=Atom', ' 96455 Body=Body', ' 65848 Other', ' 191292)']",[' Yes'],"[' 23797    (Eliminated', '    0 Frozen', ' 23797)']","[' 8494     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.7394'],[' 0'], ,[' 153.838'],[' 0'],[' 16.1667'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.38372e+08'],[' 3.86032e+08'],[' 0'],[' 3.78442e+09'],[' 0'],[' 0'],[' 1214 '],[' 2213 '],[' 2999 '],[' 3900 '],[' 4763 '],[' 5517 '],[' 6 '],[' 0 ']
