Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA41, , , ,[' 643'],[' 330'],"[' 7.251s (Solving', ' 6.11s 1st Model', ' 0.42s Unsat', ' 4.11s)']",[' 7.203s'], ,[' 528737  '],"[' 75552    (Analyzed', ' 71807)']","[' 290      (Average', ' 247.61 Last', ' 124)']",[' 790.3   '],"[' 330      (Average Length', ' 157.63 Splits', ' 0)']","[' 71807    (Deleted', ' 64363)']","[' 66       (Ratio', '   0.09%)']","[' 700      (Ratio', '   0.97%)']","[' 71807    (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 71807    (Average', '  4.49 Max', ' 1058 Sum', ' 322328)']","[' 71721    (Average', '  4.45 Max', ' 1058 Sum', ' 319591 Ratio', '  99.15%)']","[' 86       (Average', ' 31.83 Max', ' 274 Sum', '   2737 Ratio', '   0.85%)']", ,[' 40070   '],[' 1748    '],[' 39783   '],[' 21502   '],"[' 64502    (Atom=Atom', ' 20352 Body=Body', ' 11018 Other', ' 33132)']",[' Yes'],"[' 2061     (Eliminated', '    0 Frozen', ' 2061)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.28908'],[' 0'], ,[' 4.07323'],[' 0'],[' 0.0914456'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.44107e+06'],[' 3.11837e+06'],[' 0'],[' 5.68603e+08'],[' 0'],[' 0'],[' 390 '],[' 675 '],[' 1012 '],[' 1287 '],[' 1774 '],[' 2073 '],[' 2429 '],[' 2853 '],[' 0 '],[' 8 ']
Solving...,TA42, , , ,[' 517'],[' 267'],"[' 2.793s (Solving', ' 1.89s 1st Model', ' 0.24s Unsat', ' 0.31s)']",[' 2.688s'], ,[' 273825  '],"[' 10179    (Analyzed', ' 7811)']","[' 62       (Average', ' 125.98 Last', ' 145)']",[' 706.0   '],"[' 267      (Average Length', ' 125.55 Splits', ' 0)']","[' 7811     (Deleted', ' 2192)']","[' 52       (Ratio', '   0.67%)']","[' 304      (Ratio', '   3.89%)']","[' 7811     (Average Length', '    6.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7811     (Average', ' 15.65 Max', ' 947 Sum', ' 122207)']","[' 7741     (Average', ' 15.51 Max', ' 947 Sum', ' 121156 Ratio', '  99.14%)']","[' 70       (Average', ' 15.01 Max', ' 207 Sum', '   1051 Ratio', '   0.86%)']", ,[' 38436   '],[' 1636    '],[' 38087   '],[' 19999   '],"[' 59993    (Atom=Atom', ' 18961 Body=Body', ' 10906 Other', ' 30126)']",[' Yes'],"[' 1887     (Eliminated', '    0 Frozen', ' 1887)']","[' 16       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.252421'],[' 0'], ,[' 0.673085'],[' 0'],[' 0.022124'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36091e+06'],[' 2.2085e+06'],[' 0'],[' 4.93293e+07'],[' 0'],[' 0'],[' 535 '],[' 803 '],[' 1096 '],[' 1399 '],[' 1775 '],[' 2149 '],[' 2523 '],[' 2897 '],[' 0 '],[' 8 ']
Solving...,TA43, , , ,[' 499'],[' 258'],"[' 22.645s (Solving', ' 21.83s 1st Model', ' 0.19s Unsat', ' 20.59s)']",[' 22.531s'], ,[' 836287  '],"[' 486427   (Analyzed', ' 484635)']","[' 1377     (Average', ' 351.95 Last', ' 2468)']",[' 593.9   '],"[' 258      (Average Length', ' 123.65 Splits', ' 0)']","[' 484635   (Deleted', ' 470944)']","[' 70       (Ratio', '   0.01%)']","[' 746      (Ratio', '   0.15%)']","[' 484635   (Average Length', '    9.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 484635   (Average', '  1.47 Max', ' 930 Sum', ' 710028)']","[' 484523   (Average', '  1.46 Max', ' 926 Sum', ' 705770 Ratio', '  99.40%)']","[' 112      (Average', ' 38.02 Max', ' 929 Sum', '   4258 Ratio', '   0.60%)']", ,[' 39020   '],[' 1659    '],[' 38665   '],[' 20199   '],"[' 60593    (Atom=Atom', ' 19138 Body=Body', ' 10929 Other', ' 30526)']",[' Yes'],"[' 1904     (Eliminated', '    0 Frozen', ' 1904)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.210683'],[' 0'], ,[' 17.4875'],[' 0'],[' 0.313724'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.52152e+06'],[' 2.29779e+06'],[' 0'],[' 2.62115e+09'],[' 0'],[' 0'],[' 371 '],[' 721 '],[' 961 '],[' 1266 '],[' 1804 '],[' 2054 '],[' 2568 '],[' 2905 '],[' 0 '],[' 8 ']
Solving...,TA44, , , ,[' 533'],[' 275'],"[' 86.077s (Solving', ' 85.13s 1st Model', ' 0.27s Unsat', ' 83.48s)']",[' 85.734s'], ,[' 3844759 '],"[' 2616718  (Analyzed', ' 2614240)']","[' 5661     (Average', ' 461.80 Last', ' 2939)']",[' 724.1   '],"[' 275      (Average Length', ' 129.61 Splits', ' 0)']","[' 2614240  (Deleted', ' 2568284)']","[' 70       (Ratio', '   0.00%)']","[' 626      (Ratio', '   0.02%)']","[' 2614240  (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2614240  (Average', '  1.39 Max', ' 960 Sum', ' 3628630)']","[' 2614136  (Average', '  1.39 Max', ' 960 Sum', ' 3626290 Ratio', '  99.94%)']","[' 104      (Average', ' 22.50 Max', ' 212 Sum', '   2340 Ratio', '   0.06%)']", ,[' 39163   '],[' 1653    '],[' 38821   '],[' 20458   '],"[' 61370    (Atom=Atom', ' 19403 Body=Body', ' 10923 Other', ' 31044)']",[' Yes'],"[' 1911     (Eliminated', '    0 Frozen', ' 1911)']","[' 40       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.263431'],[' 0'], ,[' 64.2181'],[' 0'],[' 1.44862'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25829e+07'],[' 6.32852e+06'],[' 0'],[' 7.93049e+09'],[' 0'],[' 0'],[' 437 '],[' 712 '],[' 1073 '],[' 1545 '],[' 1910 '],[' 2246 '],[' 2538 '],[' 2912 '],[' 0 '],[' 8 ']
Solving...,TA45, , , ,[' 563'],[' 290'],"[' 2.955s (Solving', ' 1.83s 1st Model', ' 0.34s Unsat', ' 0.07s)']",[' 2.875s'], ,[' 292997  '],"[' 9008     (Analyzed', ' 4663)']","[' 41       (Average', ' 113.73 Last', ' 227)']",[' 726.4   '],"[' 290      (Average Length', ' 138.53 Splits', ' 0)']","[' 4663     (Deleted', ' 0)']","[' 78       (Ratio', '   1.67%)']","[' 326      (Ratio', '   6.99%)']","[' 4663     (Average Length', '    5.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4663     (Average', ' 26.41 Max', ' 958 Sum', ' 123146)']","[' 4555     (Average', ' 26.31 Max', ' 958 Sum', ' 122678 Ratio', '  99.62%)']","[' 108      (Average', '  4.33 Max', '  13 Sum', '    468 Ratio', '   0.38%)']", ,[' 38988   '],[' 1686    '],[' 38664   '],[' 20610   '],"[' 61826    (Atom=Atom', ' 19522 Body=Body', ' 10956 Other', ' 31348)']",[' Yes'],"[' 1962     (Eliminated', '    0 Frozen', ' 1962)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.292452'],[' 0'], ,[' 0.539714'],[' 0'],[' 0.0212579'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.5488e+06'],[' 2.39181e+06'],[' 0'],[' 1.71306e+07'],[' 0'],[' 0'],[' 424 '],[' 640 '],[' 1037 '],[' 1420 '],[' 1727 '],[' 2084 '],[' 2443 '],[' 2711 '],[' 0 '],[' 8 ']
Solving...,TA46, , , ,[' 631'],[' 324'],"[' 164.561s (Solving', ' 163.32s 1st Model', ' 0.37s Unsat', ' 36.36s)']",[' 164.047s'], ,[' 11955050'],"[' 7401173  (Analyzed', ' 7358270)']","[' 14794    (Average', ' 497.38 Last', ' 72610)']",[' 791.1   '],"[' 324      (Average Length', ' 156.05 Splits', ' 0)']","[' 7358270  (Deleted', ' 7243098)']","[' 66       (Ratio', '   0.00%)']","[' 1173     (Ratio', '   0.02%)']","[' 7358270  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7358270  (Average', '  1.56 Max', ' 1019 Sum', ' 11505477)']","[' 7358151  (Average', '  1.56 Max', ' 1019 Sum', ' 11499026 Ratio', '  99.94%)']","[' 119      (Average', ' 54.21 Max', ' 117 Sum', '   6451 Ratio', '   0.06%)']", ,[' 39877   '],[' 1759    '],[' 39588   '],[' 21411   '],"[' 64229    (Atom=Atom', ' 20250 Body=Body', ' 11029 Other', ' 32950)']",[' Yes'],"[' 2070     (Eliminated', '    0 Frozen', ' 2070)']","[' 117      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.299113'],[' 0'], ,[' 114.457'],[' 0'],[' 2.79328'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.45324e+07'],[' 1.76213e+07'],[' 0'],[' 1.31343e+10'],[' 0'],[' 0'],[' 581 '],[' 822 '],[' 1188 '],[' 1827 '],[' 2026 '],[' 2297 '],[' 2697 '],[' 3114 '],[' 1 '],[' 7 ']
Solving...,TA47, , , ,[' 533'],[' 275'],"[' 98.618s (Solving', ' 97.52s 1st Model', ' 0.38s Unsat', ' 95.92s)']",[' 98.281s'], ,[' 2364666 '],"[' 1579002  (Analyzed', ' 1576174)']","[' 3784     (Average', ' 416.54 Last', ' 420)']",[' 754.0   '],"[' 275      (Average Length', ' 131.83 Splits', ' 0)']","[' 1576174  (Deleted', ' 1547631)']","[' 76       (Ratio', '   0.00%)']","[' 751      (Ratio', '   0.05%)']","[' 1576174  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1576174  (Average', '  1.37 Max', ' 986 Sum', ' 2164480)']","[' 1576054  (Average', '  1.37 Max', ' 986 Sum', ' 2159177 Ratio', '  99.75%)']","[' 120      (Average', ' 44.19 Max', ' 220 Sum', '   5303 Ratio', '   0.25%)']", ,[' 39210   '],[' 1721    '],[' 38873   '],[' 20714   '],"[' 62138    (Atom=Atom', ' 19591 Body=Body', ' 10991 Other', ' 31556)']",[' Yes'],"[' 1984     (Eliminated', '    0 Frozen', ' 1984)']","[' 21       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.261883'],[' 0'], ,[' 83.3296'],[' 0'],[' 1.46664'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.61648e+06'],[' 4.82777e+06'],[' 0'],[' 1.28492e+10'],[' 0'],[' 0'],[' 420 '],[' 793 '],[' 1171 '],[' 1547 '],[' 1905 '],[' 2279 '],[' 2775 '],[' 3217 '],[' 0 '],[' 8 ']
Solving...,TA48, , , ,[' 541'],[' 279'],"[' 24.111s (Solving', ' 22.86s 1st Model', ' 0.31s Unsat', ' 21.22s)']",[' 23.828s'], ,[' 1962630 '],"[' 1237522  (Analyzed', ' 1231024)']","[' 2912     (Average', ' 422.74 Last', ' 140)']",[' 759.0   '],"[' 279      (Average Length', ' 131.82 Splits', ' 0)']","[' 1231024  (Deleted', ' 1202699)']","[' 53       (Ratio', '   0.00%)']","[' 601      (Ratio', '   0.05%)']","[' 1231024  (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1231024  (Average', '  1.43 Max', ' 993 Sum', ' 1762413)']","[' 1230956  (Average', '  1.43 Max', ' 993 Sum', ' 1761837 Ratio', '  99.97%)']","[' 68       (Average', '  8.47 Max', '  49 Sum', '    576 Ratio', '   0.03%)']", ,[' 38725   '],[' 1674    '],[' 38389   '],[' 20649   '],"[' 61943    (Atom=Atom', ' 19573 Body=Body', ' 10944 Other', ' 31426)']",[' Yes'],"[' 1938     (Eliminated', '    0 Frozen', ' 1938)']","[' 32       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.294522'],[' 0'], ,[' 13.3758'],[' 0'],[' 0.366584'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.26298e+06'],[' 4.37993e+06'],[' 0'],[' 1.09277e+09'],[' 0'],[' 0'],[' 465 '],[' 877 '],[' 1084 '],[' 1451 '],[' 1735 '],[' 2062 '],[' 2375 '],[' 2770 '],[' 0 '],[' 8 ']
Solving...,TA49, , , ,[' 473'],[' 245'],"[' 2.757s (Solving', ' 1.74s 1st Model', ' 0.35s Unsat', ' 0.20s)']",[' 2.734s'], ,[' 294323  '],"[' 14853    (Analyzed', ' 11528)']","[' 79       (Average', ' 145.92 Last', ' 192)']",[' 791.2   '],"[' 245      (Average Length', ' 117.66 Splits', ' 0)']","[' 11528    (Deleted', ' 4348)']","[' 72       (Ratio', '   0.62%)']","[' 413      (Ratio', '   3.58%)']","[' 11528    (Average Length', '    6.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11528    (Average', ' 11.40 Max', ' 1012 Sum', ' 131432)']","[' 11440    (Average', ' 11.38 Max', ' 1012 Sum', ' 131200 Ratio', '  99.82%)']","[' 88       (Average', '  2.64 Max', '  10 Sum', '    232 Ratio', '   0.18%)']", ,[' 39523   '],[' 1697    '],[' 39157   '],[' 20808   '],"[' 62420    (Atom=Atom', ' 19709 Body=Body', ' 10967 Other', ' 31744)']",[' Yes'],"[' 1931     (Eliminated', '    0 Frozen', ' 1931)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.257603'],[' 0'], ,[' 0.61473'],[' 0'],[' 0.022094'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.57087e+06'],[' 2.41077e+06'],[' 0'],[' 2.74927e+07'],[' 0'],[' 0'],[' 452 '],[' 813 '],[' 1201 '],[' 1504 '],[' 1931 '],[' 2337 '],[' 2659 '],[' 2991 '],[' 0 '],[' 8 ']
Solving...,TA50, , , ,[' 453'],[' 235'],"[' 2.694s (Solving', ' 1.86s 1st Model', ' 0.24s Unsat', ' 0.60s)']",[' 2.625s'], ,[' 244076  '],"[' 21172    (Analyzed', ' 16859)']","[' 113      (Average', ' 149.19 Last', ' 673)']",[' 670.9   '],"[' 235      (Average Length', ' 109.16 Splits', ' 0)']","[' 16859    (Deleted', ' 10690)']","[' 61       (Ratio', '   0.36%)']","[' 439      (Ratio', '   2.60%)']","[' 16859    (Average Length', '    7.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16859    (Average', '  6.68 Max', ' 978 Sum', ' 112655)']","[' 16777    (Average', '  6.63 Max', ' 978 Sum', ' 111856 Ratio', '  99.29%)']","[' 82       (Average', '  9.74 Max', '  68 Sum', '    799 Ratio', '   0.71%)']", ,[' 38625   '],[' 1652    '],[' 38243   '],[' 20331   '],"[' 60989    (Atom=Atom', ' 19277 Body=Body', ' 10922 Other', ' 30790)']",[' Yes'],"[' 1870     (Eliminated', '    0 Frozen', ' 1870)']","[' 26       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.217754'],[' 0'], ,[' 0.814444'],[' 0'],[' 0.0239344'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.91618e+06'],[' 1.75979e+06'],[' 0'],[' 7.85873e+07'],[' 0'],[' 0'],[' 434 '],[' 781 '],[' 1093 '],[' 1486 '],[' 1813 '],[' 2126 '],[' 2455 '],[' 3018 '],[' 0 '],[' 8 ']
