Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNSATISFIABLE,TA51,[' 1817'],[' 915'],"[' 310.726s (Solving', ' 307.47s 1st Model', ' 1.76s Unsat', ' 0.76s)']",[' 310.047s'], ,[' 34755542'],"[' 19601487 (Analyzed', ' 19533656)']","[' 35505    (Average', ' 550.17 Last', ' 139719)']",[' 1966.8  '],"[' 915      (Average Length', ' 513.16 Splits', ' 0)']","[' 19533656 (Deleted', ' 19266278)']","[' 15       (Ratio', '   0.00%)']","[' 1915     (Ratio', '   0.01%)']","[' 19533656 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19533656 (Average', '  1.69 Max', ' 2827 Sum', ' 33071214)']","[' 19533300 (Average', '  1.68 Max', ' 2827 Sum', ' 32905782 Ratio', '  99.50%)']","[' 356      (Average', ' 464.70 Max', ' 674 Sum', ' 165432 Ratio', '   0.50%)']", ,[' 67799   '],[' 2886    '],[' 62471   '],[' 23467   '],"[' 61827    (Atom=Atom', ' 17590 Body=Body', ' 10858 Other', ' 33379)']",[' Yes'],"[' 4237     (Eliminated', '    0 Frozen', ' 4237)']","[' 300      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.613859'],[' 0'], ,[' 179.373'],[' 0'],[' 4.93329'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.02205e+07'],[' 4.28446e+07'],[' 0'],[' 1.15683e+10'],[' 0'],[' 0'],[' 620 '],[' 1134 '],[' 1634 '],[' 2140 '],[' 2703 '],[' 3111 '],[' 3 '],[' 3 ']
UNSATISFIABLE,TA52,[' 1863'],[' 938'],"[' 357.360s (Solving', ' 353.99s 1st Model', ' 64.00s Unsat', ' 48.10s)']",[' 356.844s'], ,[' 44760346'],"[' 20531627 (Analyzed', ' 20474996)']","[' 38490    (Average', ' 531.96 Last', ' 2768384)']",[' 1922.5  '],"[' 938      (Average Length', ' 529.37 Splits', ' 0)']","[' 20474996 (Deleted', ' 20238699)']","[' 44       (Ratio', '   0.00%)']","[' 3172     (Ratio', '   0.02%)']","[' 20474996 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20474996 (Average', '  2.11 Max', ' 2500 Sum', ' 43101497)']","[' 20474509 (Average', '  2.09 Max', ' 2500 Sum', ' 42875760 Ratio', '  99.48%)']","[' 487      (Average', ' 463.53 Max', ' 1332 Sum', ' 225737 Ratio', '   0.52%)']", ,[' 67613   '],[' 2904    '],[' 62376   '],[' 23414   '],"[' 62197    (Atom=Atom', ' 17685 Body=Body', ' 10912 Other', ' 33600)']",[' Yes'],"[' 4261     (Eliminated', '    0 Frozen', ' 4261)']","[' 567      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.671509'],[' 0'], ,[' 205.722'],[' 0'],[' 5.29492'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30448e+08'],[' 6.93208e+07'],[' 0'],[' 1.33369e+10'],[' 0'],[' 0'],[' 669 '],[' 1221 '],[' 1621 '],[' 2100 '],[' 2582 '],[' 3017 '],[' 3 '],[' 3 ']
UNSATISFIABLE,TA53,[' 1749'],[' 881'],"[' 16.159s (Solving', ' 13.15s 1st Model', ' 2.64s Unsat', ' 1.19s)']",[' 15.984s'], ,[' 3368185 '],"[' 162841   (Analyzed', ' 85774)']","[' 564      (Average', ' 152.08 Last', ' 1748)']",[' 2098.7  '],"[' 881      (Average Length', ' 499.31 Splits', ' 0)']","[' 85774    (Deleted', ' 68576)']","[' 32       (Ratio', '   0.04%)']","[' 1079     (Ratio', '   1.26%)']","[' 85774    (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 85774    (Average', ' 23.32 Max', ' 2821 Sum', ' 2000616)']","[' 85508    (Average', ' 22.01 Max', ' 2513 Sum', ' 1888135 Ratio', '  94.38%)']","[' 266      (Average', ' 422.86 Max', ' 677 Sum', ' 112481 Ratio', '   5.62%)']", ,[' 67920   '],[' 2912    '],[' 62539   '],[' 23539   '],"[' 62109    (Atom=Atom', ' 17660 Body=Body', ' 10936 Other', ' 33513)']",[' Yes'],"[' 4225     (Eliminated', '    0 Frozen', ' 4225)']","[' 60       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.619675'],[' 0'], ,[' 2.43079'],[' 0'],[' 0.181328'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.50133e+06'],[' 4.52889e+06'],[' 0'],[' 9.69365e+07'],[' 0'],[' 0'],[' 606 '],[' 1088 '],[' 1586 '],[' 1984 '],[' 2506 '],[' 2911 '],[' 0 '],[' 6 ']
UNSATISFIABLE,TA54,[' 1765'],[' 889'],"[' 34.755s (Solving', ' 32.03s 1st Model', ' 1.57s Unsat', ' 20.89s)']",[' 34.547s'], ,[' 5859099 '],"[' 2027932  (Analyzed', ' 1947056)']","[' 4490     (Average', ' 433.64 Last', ' 55948)']",[' 1890.7  '],"[' 889      (Average Length', ' 502.43 Splits', ' 0)']","[' 1947056  (Deleted', ' 1898183)']","[' 60       (Ratio', '   0.00%)']","[' 1069     (Ratio', '   0.05%)']","[' 1947056  (Average Length', '    9.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1947056  (Average', '  2.41 Max', ' 3095 Sum', ' 4695077)']","[' 1946634  (Average', '  2.32 Max', ' 2416 Sum', ' 4516112 Ratio', '  96.19%)']","[' 422      (Average', ' 424.09 Max', ' 728 Sum', ' 178965 Ratio', '   3.81%)']", ,[' 67697   '],[' 2894    '],[' 62363   '],[' 23402   '],"[' 61866    (Atom=Atom', ' 17596 Body=Body', ' 10882 Other', ' 33388)']",[' Yes'],"[' 4200     (Eliminated', '    0 Frozen', ' 4200)']","[' 68       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.555095'],[' 0'], ,[' 11.6651'],[' 0'],[' 0.504816'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23601e+07'],[' 7.21074e+06'],[' 0'],[' 5.83005e+08'],[' 0'],[' 0'],[' 697 '],[' 1134 '],[' 1586 '],[' 2054 '],[' 2483 '],[' 2971 '],[' 0 '],[' 6 ']
UNSATISFIABLE,TA55,[' 1915'],[' 964'],"[' 208.050s (Solving', ' 205.04s 1st Model', ' 2.84s Unsat', ' 93.33s)']",[' 207.641s'], ,[' 27371625'],"[' 13602982 (Analyzed', ' 13547441)']","[' 27044    (Average', ' 500.94 Last', ' 21589)']",[' 1858.6  '],"[' 964      (Average Length', ' 548.34 Splits', ' 0)']","[' 13547441 (Deleted', ' 13326697)']","[' 36       (Ratio', '   0.00%)']","[' 2839     (Ratio', '   0.02%)']","[' 13547441 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13547441 (Average', '  1.91 Max', ' 2881 Sum', ' 25910788)']","[' 13547051 (Average', '  1.90 Max', ' 2130 Sum', ' 25725271 Ratio', '  99.28%)']","[' 390      (Average', ' 475.68 Max', ' 765 Sum', ' 185517 Ratio', '   0.72%)']", ,[' 67742   '],[' 2907    '],[' 62448   '],[' 23562   '],"[' 62277    (Atom=Atom', ' 17723 Body=Body', ' 10921 Other', ' 33633)']",[' Yes'],"[' 4306     (Eliminated', '    0 Frozen', ' 4306)']","[' 498      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.64508'],[' 0'], ,[' 110.712'],[' 0'],[' 3.47681'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.65587e+07'],[' 4.09697e+07'],[' 0'],[' 6.67502e+09'],[' 0'],[' 0'],[' 536 '],[' 1068 '],[' 1634 '],[' 2085 '],[' 2592 '],[' 3005 '],[' 1 '],[' 5 ']
UNSATISFIABLE,TA56,[' 1459'],[' 736'],"[' 261.745s (Solving', ' 259.49s 1st Model', ' 1.54s Unsat', ' 54.01s)']",[' 261.078s'], ,[' 25381453'],"[' 14672528 (Analyzed', ' 14634966)']","[' 28899    (Average', ' 506.42 Last', ' 335859)']",[' 1959.8  '],"[' 736      (Average Length', ' 438.29 Splits', ' 0)']","[' 14634966 (Deleted', ' 14457012)']","[' 31       (Ratio', '   0.00%)']","[' 1897     (Ratio', '   0.01%)']","[' 14634966 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14634966 (Average', '  1.64 Max', ' 2278 Sum', ' 24052855)']","[' 14634507 (Average', '  1.63 Max', ' 2278 Sum', ' 23876052 Ratio', '  99.26%)']","[' 459      (Average', ' 385.19 Max', ' 554 Sum', ' 176803 Ratio', '   0.74%)']", ,[' 67113   '],[' 2871    '],[' 61726   '],[' 23076   '],"[' 61073    (Atom=Atom', ' 17351 Body=Body', ' 10813 Other', ' 32909)']",[' Yes'],"[' 4083     (Eliminated', '    0 Frozen', ' 4083)']","[' 277      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.525244'],[' 0'], ,[' 167.732'],[' 0'],[' 3.75192'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.11352e+07'],[' 2.63183e+07'],[' 0'],[' 1.1232e+10'],[' 0'],[' 0'],[' 669 '],[' 1193 '],[' 1716 '],[' 2258 '],[' 2706 '],[' 3237 '],[' 2 '],[' 4 ']
UNSATISFIABLE,TA57,[' 1547'],[' 780'],"[' 253.422s (Solving', ' 250.61s 1st Model', ' 1.90s Unsat', ' 42.80s)']",[' 252.984s'], ,[' 28146395'],"[' 17814710 (Analyzed', ' 17757408)']","[' 33591    (Average', ' 528.64 Last', ' 340469)']",[' 1933.3  '],"[' 780      (Average Length', ' 459.31 Splits', ' 0)']","[' 17757408 (Deleted', ' 17507651)']","[' 16       (Ratio', '   0.00%)']","[' 1453     (Ratio', '   0.01%)']","[' 17757408 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17757408 (Average', '  1.50 Max', ' 2525 Sum', ' 26695673)']","[' 17757043 (Average', '  1.50 Max', ' 2334 Sum', ' 26560150 Ratio', '  99.49%)']","[' 365      (Average', ' 371.30 Max', ' 609 Sum', ' 135523 Ratio', '   0.51%)']", ,[' 67627   '],[' 2901    '],[' 62188   '],[' 23359   '],"[' 61648    (Atom=Atom', ' 17515 Body=Body', ' 10903 Other', ' 33230)']",[' Yes'],"[' 4137     (Eliminated', '    0 Frozen', ' 4137)']","[' 161      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.531981'],[' 0'], ,[' 135.673'],[' 0'],[' 4.23208'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.29184e+07'],[' 3.2375e+07'],[' 0'],[' 8.62768e+09'],[' 0'],[' 0'],[' 751 '],[' 1269 '],[' 1745 '],[' 2276 '],[' 2833 '],[' 3229 '],[' 2 '],[' 4 ']
UNSATISFIABLE,TA58,[' 1741'],[' 877'],"[' 115.855s (Solving', ' 113.07s 1st Model', ' 2.55s Unsat', ' 1.91s)']",[' 115.516s'], ,[' 18254065'],"[' 9190892  (Analyzed', ' 9141013)']","[' 17056    (Average', ' 535.94 Last', ' 324995)']",[' 1989.5  '],"[' 877      (Average Length', ' 511.96 Splits', ' 0)']","[' 9141013  (Deleted', ' 8968213)']","[' 19       (Ratio', '   0.00%)']","[' 1715     (Ratio', '   0.02%)']","[' 9141013  (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9141013  (Average', '  1.84 Max', ' 2923 Sum', ' 16828322)']","[' 9140668  (Average', '  1.82 Max', ' 2358 Sum', ' 16677542 Ratio', '  99.10%)']","[' 345      (Average', ' 437.04 Max', ' 693 Sum', ' 150780 Ratio', '   0.90%)']", ,[' 67756   '],[' 2900    '],[' 62383   '],[' 23473   '],"[' 61903    (Atom=Atom', ' 17608 Body=Body', ' 10900 Other', ' 33395)']",[' Yes'],"[' 4210     (Eliminated', '    0 Frozen', ' 4210)']","[' 252      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.593907'],[' 0'], ,[' 50.4818'],[' 0'],[' 1.76892'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.78104e+07'],[' 2.61128e+07'],[' 0'],[' 2.61805e+09'],[' 0'],[' 0'],[' 666 '],[' 1193 '],[' 1611 '],[' 2135 '],[' 2630 '],[' 3125 '],[' 1 '],[' 5 ']
UNSATISFIABLE,TA59,[' 1705'],[' 859'],"[' 181.629s (Solving', ' 178.89s 1st Model', ' 2.06s Unsat', ' 69.85s)']",[' 181.406s'], ,[' 16390235'],"[' 9147125  (Analyzed', ' 9093758)']","[' 18777    (Average', ' 484.30 Last', ' 52812)']",[' 1984.5  '],"[' 859      (Average Length', ' 492.56 Splits', ' 0)']","[' 9093758  (Deleted', ' 8955699)']","[' 17       (Ratio', '   0.00%)']","[' 1740     (Ratio', '   0.02%)']","[' 9093758  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9093758  (Average', '  1.65 Max', ' 2804 Sum', ' 14997600)']","[' 9093374  (Average', '  1.63 Max', ' 2308 Sum', ' 14834550 Ratio', '  98.91%)']","[' 384      (Average', ' 424.61 Max', ' 638 Sum', ' 163050 Ratio', '   1.09%)']", ,[' 67796   '],[' 2884    '],[' 62334   '],[' 23502   '],"[' 61612    (Atom=Atom', ' 17526 Body=Body', ' 10852 Other', ' 33234)']",[' Yes'],"[' 4197     (Eliminated', '    0 Frozen', ' 4197)']","[' 168      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.600309'],[' 0'], ,[' 114.888'],[' 0'],[' 2.67037'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.14144e+07'],[' 1.9499e+07'],[' 0'],[' 7.80228e+09'],[' 0'],[' 0'],[' 480 '],[' 1019 '],[' 1448 '],[' 2094 '],[' 2480 '],[' 3012 '],[' 1 '],[' 5 ']
UNSATISFIABLE,TA60,[' 1791'],[' 902'],"[' 239.195s (Solving', ' 236.34s 1st Model', ' 1.89s Unsat', ' 27.59s)']",[' 238.672s'], ,[' 29293218'],"[' 16483223 (Analyzed', ' 16427609)']","[' 30635    (Average', ' 536.24 Last', ' 95486)']",[' 1867.6  '],"[' 902      (Average Length', ' 510.99 Splits', ' 0)']","[' 16427609 (Deleted', ' 16217033)']","[' 23       (Ratio', '   0.00%)']","[' 2319     (Ratio', '   0.01%)']","[' 16427609 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16427609 (Average', '  1.69 Max', ' 2455 Sum', ' 27757642)']","[' 16427177 (Average', '  1.68 Max', ' 2162 Sum', ' 27577441 Ratio', '  99.35%)']","[' 432      (Average', ' 417.13 Max', ' 676 Sum', ' 180201 Ratio', '   0.65%)']", ,[' 67979   '],[' 2897    '],[' 62557   '],[' 23596   '],"[' 61950    (Atom=Atom', ' 17621 Body=Body', ' 10891 Other', ' 33438)']",[' Yes'],"[' 4231     (Eliminated', '    0 Frozen', ' 4231)']","[' 459      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.601839'],[' 0'], ,[' 132.241'],[' 0'],[' 3.82274'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.69806e+07'],[' 3.76316e+07'],[' 0'],[' 8.48329e+09'],[' 0'],[' 0'],[' 607 '],[' 1033 '],[' 1632 '],[' 2044 '],[' 2521 '],[' 2966 '],[' 2 '],[' 4 ']
