Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1'],[' 5913+'],[' 2962'],"[' 605.356s (Solving', ' 584.65s 1st Model', ' 96.25s Unsat', ' 0.00s)']",[' 601.016s'], ,[' 142566867'],"[' 11623228 (Analyzed', ' 11416660)']","[' 23666    (Average', ' 482.41 Last', ' 233369)']",[' 4375.5  '],"[' 2962     (Average Length', ' 1530.19 Splits', ' 0)']","[' 11416660 (Deleted', ' 11256104)']","[' 353      (Ratio', '   0.00%)']","[' 24238    (Ratio', '   0.21%)']","[' 11416660 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11416660 (Average', ' 11.77 Max', ' 4397 Sum', ' 134408261)']","[' 11415915 (Average', ' 11.69 Max', ' 4397 Sum', ' 133500935 Ratio', '  99.32%)']","[' 745      (Average', ' 1217.89 Max', ' 2035 Sum', ' 907326 Ratio', '   0.68%)']", ,[' 120935  '],[' 7086    '],[' 113729  '],[' 57254   '],"[' 146523   (Atom=Atom', ' 40813 Body=Body', ' 27422 Other', ' 78288)']",[' Yes'],"[' 10376    (Eliminated', '    0 Frozen', ' 10376)']","[' 3864     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.28411'],[' 0'], ,[' 319.762'],[' 0'],[' 15.3006'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.45062e+08'],[' 2.69762e+08'],[' 0'],[' 1.38287e+10'],[' 0'],[' 0'],[' 754 '],[' 1410 '],[' 2097 '],[' 2673 '],[' 3175 '],[' 5 '],[' 0 ']
Solving...,TA62, , ,[' 1'],[' 5785+'],[' 2898'],"[' 592.465s (Solving', ' 572.38s 1st Model', ' 213.42s Unsat', ' 101.99s)']",[' 583.969s'], ,[' 144689514'],"[' 10083696 (Analyzed', ' 9817843)']","[' 21849    (Average', ' 449.35 Last', ' 186964)']",[' 4424.1  '],"[' 2898     (Average Length', ' 1497.63 Splits', ' 0)']","[' 9817843  (Deleted', ' 9676798)']","[' 373      (Ratio', '   0.00%)']","[' 24653    (Ratio', '   0.25%)']","[' 9817843  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9817843  (Average', ' 13.90 Max', ' 5211 Sum', ' 136505164)']","[' 9817069  (Average', ' 13.80 Max', ' 5211 Sum', ' 135532559 Ratio', '  99.29%)']","[' 774      (Average', ' 1256.60 Max', ' 2083 Sum', ' 972605 Ratio', '   0.71%)']", ,[' 121170  '],[' 7128    '],[' 113884  '],[' 57449   '],"[' 147291   (Atom=Atom', ' 41014 Body=Body', ' 27622 Other', ' 78655)']",[' Yes'],"[' 10343    (Eliminated', '    0 Frozen', ' 10343)']","[' 3604     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.20131'],[' 0'], ,[' 294.665'],[' 0'],[' 14.2014'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.62882e+08'],[' 2.86735e+08'],[' 0'],[' 1.12189e+10'],[' 0'],[' 0'],[' 831 '],[' 1457 '],[' 2090 '],[' 2727 '],[' 3255 '],[' 4 '],[' 1 ']
Solving...,TA63, , ,[' 1'],[' 6223+'],[' 3117'],"[' 606.206s (Solving', ' 583.12s 1st Model', ' 241.98s Unsat', ' 0.00s)']",[' 594.594s'], ,[' 159252422'],"[' 8992447  (Analyzed', ' 8806462)']","[' 20277    (Average', ' 434.31 Last', ' 194205)']",[' 4293.2  '],"[' 3117     (Average Length', ' 1592.45 Splits', ' 0)']","[' 8806462  (Deleted', ' 8676182)']","[' 327      (Ratio', '   0.00%)']","[' 26181    (Ratio', '   0.30%)']","[' 8806462  (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8806462  (Average', ' 17.16 Max', ' 4456 Sum', ' 151135026)']","[' 8805744  (Average', ' 17.05 Max', ' 4456 Sum', ' 150187780 Ratio', '  99.37%)']","[' 718      (Average', ' 1319.28 Max', ' 2151 Sum', ' 947246 Ratio', '   0.63%)']", ,[' 121061  '],[' 7068    '],[' 113917  '],[' 57323   '],"[' 146754   (Atom=Atom', ' 40909 Body=Body', ' 27364 Other', ' 78481)']",[' Yes'],"[' 10449    (Eliminated', '    0 Frozen', ' 10449)']","[' 4142     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.85191'],[' 0'], ,[' 276.716'],[' 0'],[' 15.2031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.42711e+08'],[' 3.50532e+08'],[' 0'],[' 1.06492e+10'],[' 0'],[' 0'],[' 779 '],[' 1341 '],[' 1884 '],[' 2492 '],[' 2990 '],[' 5 '],[' 0 ']
Solving...,TA64, , ,[' 1'],[' 5295+'],[' 2653'],"[' 604.358s (Solving', ' 587.48s 1st Model', ' 240.45s Unsat', ' 0.00s)']",[' 598.859s'], ,[' 159125304'],"[' 11599899 (Analyzed', ' 11301951)']","[' 26006    (Average', ' 434.59 Last', ' 418249)']",[' 4322.3  '],"[' 2653     (Average Length', ' 1380.70 Splits', ' 0)']","[' 11301951 (Deleted', ' 11160599)']","[' 335      (Ratio', '   0.00%)']","[' 23263    (Ratio', '   0.21%)']","[' 11301951 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11301951 (Average', ' 13.39 Max', ' 4726 Sum', ' 151333655)']","[' 11301241 (Average', ' 13.32 Max', ' 4726 Sum', ' 150521539 Ratio', '  99.46%)']","[' 710      (Average', ' 1143.83 Max', ' 1867 Sum', ' 812116 Ratio', '   0.54%)']", ,[' 120671  '],[' 7098    '],[' 113148  '],[' 56954   '],"[' 146169   (Atom=Atom', ' 40655 Body=Body', ' 27540 Other', ' 77974)']",[' Yes'],"[' 10079    (Eliminated', '    0 Frozen', ' 10079)']","[' 3358     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.59469'],[' 0'], ,[' 317.061'],[' 0'],[' 15.2553'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.08499e+08'],[' 3.19003e+08'],[' 0'],[' 1.35277e+10'],[' 0'],[' 0'],[' 1092 '],[' 1453 '],[' 1944 '],[' 2563 '],[' 2959 '],[' 5 '],[' 0 ']
Solving...,TA65, , ,[' 1'],[' 5163+'],[' 2587'],"[' 604.118s (Solving', ' 588.26s 1st Model', ' 170.05s Unsat', ' 0.00s)']",[' 600.703s'], ,[' 173236454'],"[' 11186548 (Analyzed', ' 10998848)']","[' 24159    (Average', ' 455.27 Last', ' 210786)']",[' 4056.2  '],"[' 2587     (Average Length', ' 1361.52 Splits', ' 0)']","[' 10998848 (Deleted', ' 10852985)']","[' 363      (Ratio', '   0.00%)']","[' 26122    (Ratio', '   0.24%)']","[' 10998848 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10998848 (Average', ' 15.13 Max', ' 4266 Sum', ' 166396340)']","[' 10998152 (Average', ' 15.05 Max', ' 4266 Sum', ' 165570160 Ratio', '  99.50%)']","[' 696      (Average', ' 1187.04 Max', ' 1825 Sum', ' 826180 Ratio', '   0.50%)']", ,[' 120072  '],[' 7070    '],[' 112547  '],[' 56502   '],"[' 145477   (Atom=Atom', ' 40450 Body=Body', ' 27445 Other', ' 77582)']",[' Yes'],"[' 10038    (Eliminated', '    0 Frozen', ' 10038)']","[' 3758     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.38231'],[' 0'], ,[' 307.907'],[' 0'],[' 15.5853'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.74018e+08'],[' 3.72781e+08'],[' 0'],[' 1.32591e+10'],[' 0'],[' 0'],[' 750 '],[' 1298 '],[' 1876 '],[' 2555 '],[' 3045 '],[' 5 '],[' 0 ']
Solving...,TA66, , ,[' 1'],[' 6209+'],[' 3110'],"[' 510.385s (Solving', ' 489.83s 1st Model', ' 223.44s Unsat', ' 19.61s)']",[' 505.609s'], ,[' 143503938'],"[' 7763142  (Analyzed', ' 7403591)']","[' 17966    (Average', ' 412.09 Last', ' 941819)']",[' 4546.2  '],"[' 3110     (Average Length', ' 1551.66 Splits', ' 0)']","[' 7403591  (Deleted', ' 7302960)']","[' 311      (Ratio', '   0.00%)']","[' 23933    (Ratio', '   0.32%)']","[' 7403591  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7403591  (Average', ' 18.13 Max', ' 4818 Sum', ' 134257986)']","[' 7402963  (Average', ' 18.03 Max', ' 4818 Sum', ' 133477892 Ratio', '  99.42%)']","[' 628      (Average', ' 1242.19 Max', ' 1957 Sum', ' 780094 Ratio', '   0.58%)']", ,[' 121218  '],[' 7115    '],[' 114112  '],[' 57527   '],"[' 147100   (Atom=Atom', ' 40996 Body=Body', ' 27454 Other', ' 78650)']",[' Yes'],"[' 10393    (Eliminated', '    0 Frozen', ' 10393)']","[' 2791     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.40549'],[' 0'], ,[' 255.553'],[' 0'],[' 13.1931'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.42422e+08'],[' 2.72995e+08'],[' 0'],[' 1.09911e+10'],[' 0'],[' 0'],[' 812 '],[' 1411 '],[' 1946 '],[' 2579 '],[' 3118 '],[' 4 '],[' 1 ']
Solving...,TA67, , ,[' 1'],[' 6097+'],[' 3054'],"[' 605.854s (Solving', ' 584.72s 1st Model', ' 178.19s Unsat', ' 0.00s)']",[' 600.109s'], ,[' 161914094'],"[' 10225588 (Analyzed', ' 10003782)']","[' 21570    (Average', ' 463.78 Last', ' 197837)']",[' 4320.5  '],"[' 3054     (Average Length', ' 1565.51 Splits', ' 0)']","[' 10003782 (Deleted', ' 9872510)']","[' 367      (Ratio', '   0.00%)']","[' 25909    (Ratio', '   0.26%)']","[' 10003782 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10003782 (Average', ' 15.38 Max', ' 4162 Sum', ' 153885543)']","[' 10002983 (Average', ' 15.28 Max', ' 4162 Sum', ' 152818753 Ratio', '  99.31%)']","[' 799      (Average', ' 1335.16 Max', ' 2180 Sum', ' 1066790 Ratio', '   0.69%)']", ,[' 121727  '],[' 7161    '],[' 114477  '],[' 57887   '],"[' 146951   (Atom=Atom', ' 40935 Body=Body', ' 27443 Other', ' 78573)']",[' Yes'],"[' 10396    (Eliminated', '    0 Frozen', ' 10396)']","[' 3870     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.42035'],[' 0'], ,[' 298.271'],[' 0'],[' 15.0638'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.29112e+08'],[' 3.38555e+08'],[' 0'],[' 1.18884e+10'],[' 0'],[' 0'],[' 876 '],[' 1458 '],[' 2055 '],[' 2601 '],[' 3078 '],[' 5 '],[' 0 ']
Solving...,TA68, , ,[' 1'],[' 5441+'],[' 2726'],"[' 606.198s (Solving', ' 582.94s 1st Model', ' 297.19s Unsat', ' 0.00s)']",[' 588.828s'], ,[' 131302502'],"[' 9333679  (Analyzed', ' 8999485)']","[' 20574    (Average', ' 437.42 Last', ' 192173)']",[' 4306.0  '],"[' 2726     (Average Length', ' 1405.66 Splits', ' 0)']","[' 8999485  (Deleted', ' 8855196)']","[' 292      (Ratio', '   0.00%)']","[' 21631    (Ratio', '   0.24%)']","[' 8999485  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8999485  (Average', ' 13.73 Max', ' 4425 Sum', ' 123593115)']","[' 8998763  (Average', ' 13.63 Max', ' 4425 Sum', ' 122692956 Ratio', '  99.27%)']","[' 722      (Average', ' 1246.76 Max', ' 2851 Sum', ' 900159 Ratio', '   0.73%)']", ,[' 120366  '],[' 7024    '],[' 112890  '],[' 56727   '],"[' 145224   (Atom=Atom', ' 40425 Body=Body', ' 27307 Other', ' 77492)']",[' Yes'],"[' 10079    (Eliminated', '    0 Frozen', ' 10079)']","[' 2995     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.98819'],[' 0'], ,[' 279.608'],[' 0'],[' 15.0691'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.29538e+08'],[' 2.5624e+08'],[' 0'],[' 8.40138e+09'],[' 0'],[' 0'],[' 781 '],[' 1287 '],[' 1886 '],[' 2400 '],[' 2963 '],[' 5 '],[' 0 ']
Solving...,TA69, , ,[' 1'],[' 5479+'],[' 2745'],"[' 604.546s (Solving', ' 587.25s 1st Model', ' 82.69s Unsat', ' 0.00s)']",[' 598.406s'], ,[' 162685798'],"[' 9385954  (Analyzed', ' 9216045)']","[' 19763    (Average', ' 466.33 Last', ' 57127)']",[' 4146.9  '],"[' 2745     (Average Length', ' 1424.37 Splits', ' 0)']","[' 9216045  (Deleted', ' 9095980)']","[' 409      (Ratio', '   0.00%)']","[' 26344    (Ratio', '   0.29%)']","[' 9216045  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9216045  (Average', ' 16.87 Max', ' 4118 Sum', ' 155489377)']","[' 9215340  (Average', ' 16.78 Max', ' 4118 Sum', ' 154617298 Ratio', '  99.44%)']","[' 705      (Average', ' 1236.99 Max', ' 1994 Sum', ' 872079 Ratio', '   0.56%)']", ,[' 120580  '],[' 7110    '],[' 113251  '],[' 56979   '],"[' 145839   (Atom=Atom', ' 40567 Body=Body', ' 27391 Other', ' 77881)']",[' Yes'],"[' 10125    (Eliminated', '    0 Frozen', ' 10125)']","[' 3804     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.68612'],[' 0'], ,[' 315.139'],[' 0'],[' 15.8917'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.13637e+08'],[' 3.2999e+08'],[' 0'],[' 1.29355e+10'],[' 0'],[' 0'],[' 978 '],[' 1549 '],[' 2133 '],[' 2765 '],[' 3280 '],[' 5 '],[' 0 ']
Solving...,TA70, , ,[' 1'],[' 4689+'],[' 2350'],"[' 603.712s (Solving', ' 589.42s 1st Model', ' 62.21s Unsat', ' 0.00s)']",[' 600.719s'], ,[' 127441827'],"[' 13140757 (Analyzed', ' 12922947)']","[' 25452    (Average', ' 507.74 Last', ' 179078)']",[' 4152.7  '],"[' 2350     (Average Length', ' 1291.17 Splits', ' 0)']","[' 12922947 (Deleted', ' 12735043)']","[' 339      (Ratio', '   0.00%)']","[' 18672    (Ratio', '   0.14%)']","[' 12922947 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12922947 (Average', '  9.35 Max', ' 4484 Sum', ' 120841576)']","[' 12922264 (Average', '  9.29 Max', ' 4484 Sum', ' 120013842 Ratio', '  99.32%)']","[' 683      (Average', ' 1211.91 Max', ' 1837 Sum', ' 827734 Ratio', '   0.68%)']", ,[' 120824  '],[' 7161    '],[' 113277  '],[' 57177   '],"[' 144313   (Atom=Atom', ' 40065 Body=Body', ' 27347 Other', ' 76901)']",[' Yes'],"[' 9891     (Eliminated', '    0 Frozen', ' 9891)']","[' 3440     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.99799'],[' 0'], ,[' 354.476'],[' 0'],[' 13.9873'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.43855e+08'],[' 2.66432e+08'],[' 0'],[' 1.72529e+10'],[' 0'],[' 0'],[' 880 '],[' 1529 '],[' 2398 '],[' 2907 '],[' 3464 '],[' 5 '],[' 0 ']
