Optimal Found Or Timeout,Instances,Models,Calls,Time         ,CPU Time,,Choices ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules,  Choice,Atoms,Bodies,Equivalences ,Tight,Variables    ,Constraints  ,,DifferenceLogic,  Optimization,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,la18,[' 201'],[' 202'],"[' 0.493s (Solving', ' 0.32s 1st Model', ' 0.15s Unsat', ' 0.15s)']",[' 0.500s'], ,[' 254061  '],"[' 4160     (Analyzed', ' 4159)']","[' 25       (Average', ' 166.36 Last', ' 122)']",[' 424.7   '],"[' 202      (Average Length', ' 1.00 Splits', ' 0)']","[' 14101    (Deleted', ' 5556)']","[' 64       (Ratio', '   0.45%)']","[' 404      (Ratio', '   2.87%)']","[' 4159     (Average Length', '   10.7 Ratio', '  29.49%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9942     (Average Length', '    7.2 Ratio', '  70.51%) ']","[' 4159     (Average', '  2.57 Max', ' 337 Sum', '  10709)']","[' 4157     (Average', '  2.57 Max', ' 337 Sum', '  10707 Ratio', '  99.98%)']","[' 2        (Average', '  1.00 Max', '   1 Sum', '      2 Ratio', '   0.02%)']", ,[' 3472    '],[' 550     '],[' 3372    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 751      (Eliminated', '    0 Frozen', '  550)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 848'],[' 0.0353589'],[' 0'], ,[' 0.178465'],[' 0'],[' 0.0124722'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 455401'],[' 344623'],[' 0'],[' 8.36018e+06'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,la19,[' 231'],[' 232'],"[' 0.795s (Solving', ' 0.64s 1st Model', ' 0.30s Unsat', ' 0.32s)']",[' 0.797s'], ,[' 297018  '],"[' 13168    (Analyzed', ' 13167)']","[' 69       (Average', ' 190.83 Last', ' 178)']",[' 418.5   '],"[' 232      (Average Length', ' 1.00 Splits', ' 0)']","[' 27992    (Deleted', ' 19180)']","[' 89       (Ratio', '   0.32%)']","[' 605      (Ratio', '   2.16%)']","[' 13167    (Average Length', '   11.7 Ratio', '  47.04%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14825    (Average Length', '    6.7 Ratio', '  52.96%) ']","[' 13167    (Average', '  1.76 Max', ' 199 Sum', '  23181)']","[' 13160    (Average', '  1.76 Max', ' 199 Sum', '  23174 Ratio', '  99.97%)']","[' 7        (Average', '  1.00 Max', '   1 Sum', '      7 Ratio', '   0.03%)']", ,[' 3502    '],[' 550     '],[' 3402    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 781      (Eliminated', '    0 Frozen', '  550)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 842'],[' 0.034924'],[' 0'], ,[' 0.287059'],[' 0'],[' 0.0160097'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 719114'],[' 530205'],[' 0'],[' 1.65327e+07'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,la20,[' 192'],[' 193'],"[' 0.616s (Solving', ' 0.53s 1st Model', ' 0.43s Unsat', ' 0.08s)']",[' 0.609s'], ,[' 283030  '],"[' 6266     (Analyzed', ' 6265)']","[' 43       (Average', ' 145.70 Last', ' 212)']",[' 420.6   '],"[' 193      (Average Length', ' 1.00 Splits', ' 0)']","[' 19028    (Deleted', ' 0)']","[' 66       (Ratio', '   0.35%)']","[' 508      (Ratio', '   2.67%)']","[' 6265     (Average Length', '   10.8 Ratio', '  32.93%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12763    (Average Length', '    7.3 Ratio', '  67.07%) ']","[' 6265     (Average', '  2.20 Max', ' 206 Sum', '  13756)']","[' 6263     (Average', '  2.20 Max', ' 206 Sum', '  13754 Ratio', '  99.99%)']","[' 2        (Average', '  1.00 Max', '   1 Sum', '      2 Ratio', '   0.01%)']", ,[' 3463    '],[' 550     '],[' 3363    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 742      (Eliminated', '    0 Frozen', '  550)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 902'],[' 0.0300463'],[' 0'], ,[' 0.217882'],[' 0'],[' 0.0147754'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 561981'],[' 417359'],[' 0'],[' 1.04885e+07'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,orb01,[' 172'],[' 173'],"[' 766.836s (Solving', ' 766.71s 1st Model', ' 206.39s Unsat', ' 560.27s)']",[' 766.078s'], ,[' 39858750'],"[' 6246915  (Analyzed', ' 6246914)']","[' 13130    (Average', ' 475.77 Last', ' 4549)']",[' 406.0   '],"[' 173      (Average Length', ' 1.00 Splits', ' 0)']","[' 14465811 (Deleted', ' 14186928)']","[' 375      (Ratio', '   0.00%)']","[' 3946     (Ratio', '   0.03%)']","[' 6246914  (Average Length', '   14.6 Ratio', '  43.18%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8218897  (Average Length', '    9.3 Ratio', '  56.82%) ']","[' 6246914  (Average', '  1.53 Max', ' 275 Sum', ' 9578565)']","[' 6246894  (Average', '  1.53 Max', ' 275 Sum', ' 9578545 Ratio', ' 100.00%)']","[' 20       (Average', '  1.00 Max', '   1 Sum', '     20 Ratio', '   0.00%)']", ,[' 3443    '],[' 550     '],[' 3343    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 722      (Eliminated', '    0 Frozen', '  550)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1059'],[' 0.0272044'],[' 0'], ,[' 176.527'],[' 0'],[' 5.06856'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.33395e+08'],[' 1.64938e+08'],[' 0'],[' 8.37486e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSATISFIABLE,orb02,[' 182'],[' 183'],"[' 0.693s (Solving', ' 0.59s 1st Model', ' 0.49s Unsat', ' 0.09s)']",[' 0.734s'], ,[' 277710  '],"[' 9706     (Analyzed', ' 9705)']","[' 61       (Average', ' 159.10 Last', ' 347)']",[' 424.6   '],"[' 183      (Average Length', ' 1.00 Splits', ' 0)']","[' 24201    (Deleted', ' 11786)']","[' 66       (Ratio', '   0.27%)']","[' 547      (Ratio', '   2.26%)']","[' 9705     (Average Length', '   11.9 Ratio', '  40.10%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14496    (Average Length', '    7.3 Ratio', '  59.90%) ']","[' 9705     (Average', '  1.93 Max', ' 312 Sum', '  18756)']","[' 9700     (Average', '  1.93 Max', ' 312 Sum', '  18751 Ratio', '  99.97%)']","[' 5        (Average', '  1.00 Max', '   1 Sum', '      5 Ratio', '   0.03%)']", ,[' 3453    '],[' 550     '],[' 3353    '],[' 2631    '],"[' 6989     (Atom=Atom', ' 1729 Body=Body', ' 1730 Other', ' 3530)']",[' Yes'],"[' 732      (Eliminated', '    0 Frozen', '  550)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 888'],[' 0.0286107'],[' 0'], ,[' 0.252194'],[' 0'],[' 0.0149853'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 567857'],[' 405234'],[' 0'],[' 1.31769e+07'],[' 0'],[' 0']
