Optimal Found Or Timeout,Instances,Models,Calls,Time,CPU Time,,Choices,Conflicts,Restarts,Model-Level,Problems,Lemmas,Binary,Ternary,Conflict,Loop,Other,Backjumps,Executed,Bounded,,Rules,Choice,Atoms,Bodies,Equivalences,Tight,Variables,Constraints,,DifferenceLogic,Optimization,Time init(s),Mutexes,[Thread 0],Propagation(s),Dijkstra(s),Undo(s),True edges,False edges,False edges (inverse),False edges (partial),False edges (partial+),Edges added,Edges skipped,Edges propagated,Cost consistency,Cost forward,Cost backward
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv16,[' 1805+'],[' 1806'],"[' 1796.167s (Solving', ' 1781.16s 1st Model', ' 1556.18s Unsat', ' 0.00s)']",[' 1780.156s'], ,[' 645816313'],"[' 1316912  (Analyzed', ' 1316912)']","[' 3296     (Average', ' 399.55 Last', ' 10696)']",[' 11725.1 '],"[' 1806     (Average Length', ' 1.00 Splits', ' 0)']","[' 1316912  (Deleted', ' 1217223)']","[' 343      (Ratio', '   0.03%)']","[' 95841    (Ratio', '   7.28%)']","[' 1316912  (Average Length', '   39.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1316912  (Average', ' 474.10 Max', ' 12192 Sum', ' 624353546)']","[' 1316912  (Average', ' 474.10 Max', ' 12192 Sum', ' 624353546 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 68076   '],[' 12750   '],[' 67576   '],[' 63151   '],"[' 164949   (Atom=Atom', ' 38649 Body=Body', ' 38650 Other', ' 87650)']",[' Yes'],"[' 14555    (Eliminated', '    0 Frozen', ' 12750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3035'],[' 2.44745'],[' 0'], ,[' 477.009'],[' 0'],[' 48.4529'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74287e+09'],[' 2.59295e+09'],[' 0'],[' 8.28127e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv17,[' 2001+'],[' 2002'],"[' 1795.349s (Solving', ' 1776.18s 1st Model', ' 1667.07s Unsat', ' 0.00s)']",[' 1778.109s'], ,[' 653760495'],"[' 1277152  (Analyzed', ' 1277152)']","[' 3365     (Average', ' 379.54 Last', ' 32099)']",[' 11579.7 '],"[' 2002     (Average Length', ' 1.00 Splits', ' 0)']","[' 1277152  (Deleted', ' 1177519)']","[' 381      (Ratio', '   0.03%)']","[' 96146    (Ratio', '   7.53%)']","[' 1277152  (Average Length', '   39.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1277152  (Average', ' 493.51 Max', ' 12153 Sum', ' 630287158)']","[' 1277152  (Average', ' 493.51 Max', ' 12153 Sum', ' 630287158 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 68272   '],[' 12750   '],[' 67772   '],[' 63151   '],"[' 164949   (Atom=Atom', ' 38649 Body=Body', ' 38650 Other', ' 87650)']",[' Yes'],"[' 14751    (Eliminated', '    0 Frozen', ' 12750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2946'],[' 3.04269'],[' 0'], ,[' 476.601'],[' 0'],[' 51.1215'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.69399e+09'],[' 2.54733e+09'],[' 0'],[' 8.37942e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv18,[' 1922+'],[' 1923'],"[' 1796.015s (Solving', ' 1780.00s 1st Model', ' 1653.22s Unsat', ' 0.00s)']",[' 1789.797s'], ,[' 656662698'],"[' 1256239  (Analyzed', ' 1256239)']","[' 3473     (Average', ' 361.72 Last', ' 10248)']",[' 11549.5 '],"[' 1923     (Average Length', ' 1.00 Splits', ' 0)']","[' 1256239  (Deleted', ' 1154441)']","[' 355      (Ratio', '   0.03%)']","[' 98275    (Ratio', '   7.82%)']","[' 1256239  (Average Length', '   41.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1256239  (Average', ' 504.79 Max', ' 12168 Sum', ' 634142356)']","[' 1256239  (Average', ' 504.79 Max', ' 12168 Sum', ' 634142356 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 68193   '],[' 12750   '],[' 67693   '],[' 63151   '],"[' 164949   (Atom=Atom', ' 38649 Body=Body', ' 38650 Other', ' 87650)']",[' Yes'],"[' 14672    (Eliminated', '    0 Frozen', ' 12750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2997'],[' 2.61435'],[' 0'], ,[' 473.885'],[' 0'],[' 48.4893'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.73711e+09'],[' 2.59391e+09'],[' 0'],[' 8.1068e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv19,[' 1840+'],[' 1841'],"[' 1795.787s (Solving', ' 1777.76s 1st Model', ' 1772.42s Unsat', ' 0.00s)']",[' 1788.078s'], ,[' 603176322'],"[' 1208323  (Analyzed', ' 1208323)']","[' 3360     (Average', ' 359.62 Last', ' 29301)']",[' 11480.0 '],"[' 1841     (Average Length', ' 1.00 Splits', ' 0)']","[' 1208323  (Deleted', ' 1114589)']","[' 328      (Ratio', '   0.03%)']","[' 89910    (Ratio', '   7.44%)']","[' 1208323  (Average Length', '   40.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1208323  (Average', ' 481.45 Max', ' 12152 Sum', ' 581748464)']","[' 1208323  (Average', ' 481.45 Max', ' 12152 Sum', ' 581748464 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 68111   '],[' 12750   '],[' 67611   '],[' 63151   '],"[' 164949   (Atom=Atom', ' 38649 Body=Body', ' 38650 Other', ' 87650)']",[' Yes'],"[' 14590    (Eliminated', '    0 Frozen', ' 12750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3129'],[' 2.96501'],[' 0'], ,[' 497.653'],[' 0'],[' 51.2854'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.34047e+09'],[' 2.20497e+09'],[' 0'],[' 7.52785e+09'],[' 0'],[' 0']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,swv20,[' 1649+'],[' 1650'],"[' 1796.518s (Solving', ' 1782.15s 1st Model', ' 1699.67s Unsat', ' 0.00s)']",[' 1791.594s'], ,[' 689311599'],"[' 1333402  (Analyzed', ' 1333402)']","[' 3494     (Average', ' 381.63 Last', ' 19589)']",[' 11753.9 '],"[' 1650     (Average Length', ' 1.00 Splits', ' 0)']","[' 1333402  (Deleted', ' 1224483)']","[' 399      (Ratio', '   0.03%)']","[' 102754   (Ratio', '   7.71%)']","[' 1333402  (Average Length', '   40.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1333402  (Average', ' 502.18 Max', ' 12162 Sum', ' 669612146)']","[' 1333402  (Average', ' 502.18 Max', ' 12162 Sum', ' 669612146 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 67920   '],[' 12750   '],[' 67420   '],[' 63151   '],"[' 164949   (Atom=Atom', ' 38649 Body=Body', ' 38650 Other', ' 87650)']",[' Yes'],"[' 14399    (Eliminated', '    0 Frozen', ' 12750)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3030'],[' 2.38464'],[' 0'], ,[' 464.346'],[' 0'],[' 49.2329'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.95357e+09'],[' 2.8018e+09'],[' 0'],[' 8.3031e+09'],[' 0'],[' 0']
