Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 3647+'],[' 1829'],"[' 602.445s (Solving', ' 593.99s 1st Model', ' 60.65s Unsat', ' 0.00s)']",[' 600.313s'], ,[' 116117246'],"[' 20499376 (Analyzed', ' 20353586)']","[' 41084    (Average', ' 495.41 Last', ' 246008)']",[' 3096.1  '],"[' 1829     (Average Length', ' 993.36 Splits', ' 0)']","[' 20353586 (Deleted', ' 20101024)']","[' 281      (Ratio', '   0.00%)']","[' 16478    (Ratio', '   0.08%)']","[' 20353586 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20353586 (Average', '  5.50 Max', ' 3159 Sum', ' 111957541)']","[' 20352962 (Average', '  5.47 Max', ' 3159 Sum', ' 111410443 Ratio', '  99.51%)']","[' 624      (Average', ' 876.76 Max', ' 1405 Sum', ' 547098 Ratio', '   0.49%)']", ,[' 90847   '],[' 5344    '],[' 85092   '],[' 43023   '],"[' 108518   (Atom=Atom', ' 30166 Body=Body', ' 20529 Other', ' 57823)']",[' Yes'],"[' 7480     (Eliminated', '    0 Frozen', ' 7480)']","[' 2810     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.7707'],[' 0'], ,[' 365.575'],[' 0'],[' 13.4066'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.92846e+08'],[' 2.07557e+08'],[' 0'],[' 1.98641e+10'],[' 0'],[' 0'],[' 687 '],[' 1379 '],[' 1814 '],[' 2512 '],[' 3006 '],[' 5 '],[' 0 ']
Solving...,TA52, , ,[' 1'],[' 3517+'],[' 1764'],"[' 598.001s (Solving', ' 587.87s 1st Model', ' 19.75s Unsat', ' 0.00s)']",[' 597.797s'], ,[' 110378961'],"[' 17614403 (Analyzed', ' 17514583)']","[' 33281    (Average', ' 526.26 Last', ' 36903)']",[' 3085.5  '],"[' 1764     (Average Length', ' 964.87 Splits', ' 0)']","[' 17514583 (Deleted', ' 17298937)']","[' 259      (Ratio', '   0.00%)']","[' 18954    (Ratio', '   0.11%)']","[' 17514583 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17514583 (Average', '  6.07 Max', ' 3033 Sum', ' 106325180)']","[' 17513963 (Average', '  6.04 Max', ' 3033 Sum', ' 105857387 Ratio', '  99.56%)']","[' 620      (Average', ' 754.50 Max', ' 1203 Sum', ' 467793 Ratio', '   0.44%)']", ,[' 90723   '],[' 5355    '],[' 84936   '],[' 42965   '],"[' 108442   (Atom=Atom', ' 30125 Body=Body', ' 20571 Other', ' 57746)']",[' Yes'],"[' 7457     (Eliminated', '    0 Frozen', ' 7457)']","[' 2989     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.11876'],[' 0'], ,[' 361.456'],[' 0'],[' 13.1926'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.14651e+08'],[' 2.31859e+08'],[' 0'],[' 1.85597e+10'],[' 0'],[' 0'],[' 777 '],[' 1322 '],[' 1863 '],[' 2467 '],[' 2990 '],[' 5 '],[' 0 ']
Solving...,TA53, , ,[' 1'],[' 4065+'],[' 2038'],"[' 553.202s (Solving', ' 543.96s 1st Model', ' 35.56s Unsat', ' 68.71s)']",[' 551.313s'], ,[' 117784139'],"[' 16226200 (Analyzed', ' 16084150)']","[' 32005    (Average', ' 502.55 Last', ' 173087)']",[' 3244.5  '],"[' 2038     (Average Length', ' 1086.75 Splits', ' 0)']","[' 16084150 (Deleted', ' 15875868)']","[' 310      (Ratio', '   0.00%)']","[' 18521    (Ratio', '   0.12%)']","[' 16084150 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16084150 (Average', '  7.04 Max', ' 4026 Sum', ' 113226092)']","[' 16083567 (Average', '  7.01 Max', ' 4026 Sum', ' 112714595 Ratio', '  99.55%)']","[' 583      (Average', ' 877.35 Max', ' 1527 Sum', ' 511497 Ratio', '   0.45%)']", ,[' 91038   '],[' 5346    '],[' 85385   '],[' 43195   '],"[' 109281   (Atom=Atom', ' 30395 Body=Body', ' 20560 Other', ' 58326)']",[' Yes'],"[' 7646     (Eliminated', '    0 Frozen', ' 7646)']","[' 2765     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.96945'],[' 0'], ,[' 336.676'],[' 0'],[' 12.4042'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.99021e+08'],[' 2.20183e+08'],[' 0'],[' 1.79375e+10'],[' 0'],[' 0'],[' 717 '],[' 1253 '],[' 1743 '],[' 2339 '],[' 2876 '],[' 4 '],[' 1 ']
Solving...,TA54, , ,[' 1'],[' 3531+'],[' 1771'],"[' 602.297s (Solving', ' 594.09s 1st Model', ' 50.39s Unsat', ' 0.00s)']",[' 600.109s'], ,[' 135231234'],"[' 16930228 (Analyzed', ' 16806015)']","[' 32856    (Average', ' 511.51 Last', ' 365373)']",[' 3070.0  '],"[' 1771     (Average Length', ' 962.05 Splits', ' 0)']","[' 16806015 (Deleted', ' 16595918)']","[' 372      (Ratio', '   0.00%)']","[' 22039    (Ratio', '   0.13%)']","[' 16806015 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16806015 (Average', '  7.81 Max', ' 3088 Sum', ' 131195072)']","[' 16805317 (Average', '  7.78 Max', ' 3088 Sum', ' 130688763 Ratio', '  99.61%)']","[' 698      (Average', ' 725.37 Max', ' 1356 Sum', ' 506309 Ratio', '   0.39%)']", ,[' 91311   '],[' 5436    '],[' 85485   '],[' 43348   '],"[' 109627   (Atom=Atom', ' 30422 Body=Body', ' 20790 Other', ' 58415)']",[' Yes'],"[' 7500     (Eliminated', '    0 Frozen', ' 7500)']","[' 3364     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.73502'],[' 0'], ,[' 354.63'],[' 0'],[' 14.1442'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.66963e+08'],[' 2.765e+08'],[' 0'],[' 1.84105e+10'],[' 0'],[' 0'],[' 801 '],[' 1240 '],[' 1893 '],[' 2420 '],[' 2947 '],[' 5 '],[' 0 ']
Solving...,TA55, , ,[' 1'],[' 3763+'],[' 1887'],"[' 602.751s (Solving', ' 592.29s 1st Model', ' 36.47s Unsat', ' 0.00s)']",[' 598.906s'], ,[' 123660994'],"[' 18355797 (Analyzed', ' 18209750)']","[' 35647    (Average', ' 510.84 Last', ' 79445)']",[' 3038.9  '],"[' 1887     (Average Length', ' 1006.43 Splits', ' 0)']","[' 18209750 (Deleted', ' 17982688)']","[' 398      (Ratio', '   0.00%)']","[' 20412    (Ratio', '   0.11%)']","[' 18209750 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18209750 (Average', '  6.56 Max', ' 3008 Sum', ' 119539035)']","[' 18209127 (Average', '  6.54 Max', ' 3008 Sum', ' 119059946 Ratio', '  99.60%)']","[' 623      (Average', ' 769.00 Max', ' 1335 Sum', ' 479089 Ratio', '   0.40%)']", ,[' 90455   '],[' 5326    '],[' 84756   '],[' 42745   '],"[' 108474   (Atom=Atom', ' 30165 Body=Body', ' 20478 Other', ' 57831)']",[' Yes'],"[' 7498     (Eliminated', '    0 Frozen', ' 7498)']","[' 2933     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.29878'],[' 0'], ,[' 345.629'],[' 0'],[' 13.5978'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.54796e+08'],[' 2.63866e+08'],[' 0'],[' 1.75807e+10'],[' 0'],[' 0'],[' 686 '],[' 1296 '],[' 1815 '],[' 2365 '],[' 2883 '],[' 5 '],[' 0 ']
Solving...,TA56, , ,[' 1'],[' 3131+'],[' 1571'],"[' 602.197s (Solving', ' 594.04s 1st Model', ' 10.87s Unsat', ' 0.00s)']",[' 599.953s'], ,[' 87447448'],"[' 22051598 (Analyzed', ' 21918355)']","[' 41314    (Average', ' 530.53 Last', ' 41735)']",[' 3371.4  '],"[' 1571     (Average Length', ' 879.57 Splits', ' 0)']","[' 21918355 (Deleted', ' 21676852)']","[' 229      (Ratio', '   0.00%)']","[' 12566    (Ratio', '   0.06%)']","[' 21918355 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21918355 (Average', '  3.79 Max', ' 3570 Sum', ' 83152149)']","[' 21917654 (Average', '  3.77 Max', ' 3570 Sum', ' 82654663 Ratio', '  99.40%)']","[' 701      (Average', ' 709.68 Max', ' 1118 Sum', ' 497486 Ratio', '   0.60%)']", ,[' 90666   '],[' 5400    '],[' 84799   '],[' 42886   '],"[' 107975   (Atom=Atom', ' 29958 Body=Body', ' 20555 Other', ' 57462)']",[' Yes'],"[' 7284     (Eliminated', '    0 Frozen', ' 7284)']","[' 1717     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.80183'],[' 0'], ,[' 388.371'],[' 0'],[' 11.6512'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95258e+08'],[' 1.29305e+08'],[' 0'],[' 2.10012e+10'],[' 0'],[' 0'],[' 821 '],[' 1426 '],[' 2009 '],[' 2573 '],[' 3090 '],[' 5 '],[' 0 ']
Solving...,TA57, , ,[' 1'],[' 3823+'],[' 1917'],"[' 602.433s (Solving', ' 593.14s 1st Model', ' 25.75s Unsat', ' 0.00s)']",[' 601.016s'], ,[' 116811867'],"[' 19807251 (Analyzed', ' 19700029)']","[' 38657    (Average', ' 509.61 Last', ' 47592)']",[' 3237.0  '],"[' 1917     (Average Length', ' 1043.22 Splits', ' 0)']","[' 19700029 (Deleted', ' 19490068)']","[' 318      (Ratio', '   0.00%)']","[' 18602    (Ratio', '   0.09%)']","[' 19700029 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19700029 (Average', '  5.70 Max', ' 3134 Sum', ' 112261414)']","[' 19699373 (Average', '  5.67 Max', ' 3134 Sum', ' 111761593 Ratio', '  99.55%)']","[' 656      (Average', ' 761.92 Max', ' 1385 Sum', ' 499821 Ratio', '   0.45%)']", ,[' 90780   '],[' 5380    '],[' 85239   '],[' 42994   '],"[' 109865   (Atom=Atom', ' 30529 Body=Body', ' 20758 Other', ' 58578)']",[' Yes'],"[' 7613     (Eliminated', '    0 Frozen', ' 7613)']","[' 3142     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.08345'],[' 0'], ,[' 370.058'],[' 0'],[' 13.3017'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.07435e+08'],[' 2.23602e+08'],[' 0'],[' 2.07557e+10'],[' 0'],[' 0'],[' 850 '],[' 1442 '],[' 1976 '],[' 2566 '],[' 3134 '],[' 5 '],[' 0 ']
Solving...,TA58, , ,[' 1'],[' 3473+'],[' 1742'],"[' 602.178s (Solving', ' 594.07s 1st Model', ' 14.15s Unsat', ' 0.00s)']",[' 600.500s'], ,[' 118085026'],"[' 20755509 (Analyzed', ' 20638334)']","[' 39108    (Average', ' 527.73 Last', ' 175780)']",[' 3081.1  '],"[' 1742     (Average Length', ' 957.84 Splits', ' 0)']","[' 20638334 (Deleted', ' 20400264)']","[' 328      (Ratio', '   0.00%)']","[' 17084    (Ratio', '   0.08%)']","[' 20638334 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20638334 (Average', '  5.53 Max', ' 3361 Sum', ' 114078321)']","[' 20637675 (Average', '  5.50 Max', ' 3361 Sum', ' 113591218 Ratio', '  99.57%)']","[' 659      (Average', ' 739.15 Max', ' 1313 Sum', ' 487103 Ratio', '   0.43%)']", ,[' 90426   '],[' 5312    '],[' 84577   '],[' 42651   '],"[' 108529   (Atom=Atom', ' 30147 Body=Body', ' 20564 Other', ' 57818)']",[' Yes'],"[' 7419     (Eliminated', '    0 Frozen', ' 7419)']","[' 2931     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.75913'],[' 0'], ,[' 359.425'],[' 0'],[' 12.8375'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.13224e+08'],[' 2.2621e+08'],[' 0'],[' 1.98888e+10'],[' 0'],[' 0'],[' 737 '],[' 1343 '],[' 1901 '],[' 2487 '],[' 3062 '],[' 5 '],[' 0 ']
Solving...,TA59, , ,[' 1'],[' 3961+'],[' 1986'],"[' 602.538s (Solving', ' 593.13s 1st Model', ' 29.95s Unsat', ' 0.00s)']",[' 600.406s'], ,[' 122996425'],"[' 19303948 (Analyzed', ' 19174981)']","[' 38835    (Average', ' 493.76 Last', ' 127831)']",[' 3247.1  '],"[' 1986     (Average Length', ' 1064.74 Splits', ' 0)']","[' 19174981 (Deleted', ' 18933383)']","[' 271      (Ratio', '   0.00%)']","[' 19241    (Ratio', '   0.10%)']","[' 19174981 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19174981 (Average', '  6.17 Max', ' 3181 Sum', ' 118393835)']","[' 19174352 (Average', '  6.15 Max', ' 3181 Sum', ' 117859371 Ratio', '  99.55%)']","[' 629      (Average', ' 849.70 Max', ' 1335 Sum', ' 534464 Ratio', '   0.45%)']", ,[' 90265   '],[' 5295    '],[' 84697   '],[' 42583   '],"[' 108883   (Atom=Atom', ' 30299 Body=Body', ' 20523 Other', ' 58061)']",[' Yes'],"[' 7606     (Eliminated', '    0 Frozen', ' 7606)']","[' 3437     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.9957'],[' 0'], ,[' 358.47'],[' 0'],[' 13.4146'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.4034e+08'],[' 2.49503e+08'],[' 0'],[' 1.9454e+10'],[' 0'],[' 0'],[' 580 '],[' 1164 '],[' 1725 '],[' 2330 '],[' 2851 '],[' 5 '],[' 0 ']
Solving...,TA60, , ,[' 1'],[' 3573+'],[' 1792'],"[' 602.215s (Solving', ' 593.88s 1st Model', ' 23.16s Unsat', ' 0.00s)']",[' 600.734s'], ,[' 133597905'],"[' 18707311 (Analyzed', ' 18611186)']","[' 36094    (Average', ' 515.63 Last', ' 71124)']",[' 3022.0  '],"[' 1792     (Average Length', ' 975.71 Splits', ' 0)']","[' 18611186 (Deleted', ' 18370628)']","[' 358      (Ratio', '   0.00%)']","[' 21350    (Ratio', '   0.11%)']","[' 18611186 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18611186 (Average', '  6.96 Max', ' 2985 Sum', ' 129589456)']","[' 18610569 (Average', '  6.94 Max', ' 2985 Sum', ' 129142645 Ratio', '  99.66%)']","[' 617      (Average', ' 724.17 Max', ' 1279 Sum', ' 446811 Ratio', '   0.34%)']", ,[' 90481   '],[' 5340    '],[' 84728   '],[' 42747   '],"[' 108534   (Atom=Atom', ' 30156 Body=Body', ' 20557 Other', ' 57821)']",[' Yes'],"[' 7440     (Eliminated', '    0 Frozen', ' 7440)']","[' 3712     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.79015'],[' 0'], ,[' 352.062'],[' 0'],[' 13.2194'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.91004e+08'],[' 2.90713e+08'],[' 0'],[' 1.85257e+10'],[' 0'],[' 0'],[' 742 '],[' 1254 '],[' 1835 '],[' 2351 '],[' 2862 '],[' 5 '],[' 0 ']
