Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 2017+'],[' 1014'],"[' 259.329s (Solving', ' 255.84s 1st Model', ' 4.10s Unsat', ' 6.10s)']",[' 259.063s'], ,[' 32869478'],"[' 13997482 (Analyzed', ' 13878620)']","[' 26032    (Average', ' 533.14 Last', ' 83552)']",[' 2153.4  '],"[' 1014     (Average Length', ' 568.47 Splits', ' 0)']","[' 13878620 (Deleted', ' 13669178)']","[' 20       (Ratio', '   0.00%)']","[' 3337     (Ratio', '   0.02%)']","[' 13878620 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13878620 (Average', '  2.23 Max', ' 3027 Sum', ' 30989532)']","[' 13878136 (Average', '  2.21 Max', ' 2672 Sum', ' 30721268 Ratio', '  99.13%)']","[' 484      (Average', ' 554.26 Max', ' 772 Sum', ' 268264 Ratio', '   0.87%)']", ,[' 72980   '],[' 3526    '],[' 67046   '],[' 26803   '],"[' 72174    (Atom=Atom', ' 20075 Body=Body', ' 12738 Other', ' 39361)']",[' Yes'],"[' 4879     (Eliminated', '    0 Frozen', ' 4879)']","[' 444      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.741816'],[' 0'], ,[' 160.047'],[' 0'],[' 3.8026'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.25222e+07'],[' 3.3888e+07'],[' 0'],[' 9.52901e+09'],[' 0'],[' 0'],[' 828 '],[' 1362 '],[' 2014 '],[' 2611 '],[' 3073 '],[' 2 '],[' 3 ']
Solving...,TA52, , ,[' 1'],[' 2057+'],[' 1034'],"[' 601.127s (Solving', ' 597.58s 1st Model', ' 2.95s Unsat', ' 0.00s)']",[' 597.594s'], ,[' 59886989'],"[' 26383836 (Analyzed', ' 26297160)']","[' 47282    (Average', ' 556.18 Last', ' 48019)']",[' 2005.6  '],"[' 1034     (Average Length', ' 584.54 Splits', ' 0)']","[' 26297160 (Deleted', ' 25996764)']","[' 48       (Ratio', '   0.00%)']","[' 5991     (Ratio', '   0.02%)']","[' 26297160 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26297160 (Average', '  2.21 Max', ' 2744 Sum', ' 58030545)']","[' 26296592 (Average', '  2.19 Max', ' 2744 Sum', ' 57662818 Ratio', '  99.37%)']","[' 568      (Average', ' 647.41 Max', ' 819 Sum', ' 367727 Ratio', '   0.63%)']", ,[' 72905   '],[' 3551    '],[' 67006   '],[' 26896   '],"[' 72634    (Atom=Atom', ' 20195 Body=Body', ' 12813 Other', ' 39626)']",[' Yes'],"[' 4957     (Eliminated', '    0 Frozen', ' 4957)']","[' 1134     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.751525'],[' 0'], ,[' 402.882'],[' 0'],[' 10.5851'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57246e+08'],[' 8.592e+07'],[' 0'],[' 2.53022e+10'],[' 0'],[' 0'],[' 807 '],[' 1391 '],[' 2197 '],[' 2776 '],[' 3166 '],[' 5 '],[' 0 ']
Solving...,TA53, , , ,[' 1971'],[' 991'],"[' 184.109s (Solving', ' 180.16s 1st Model', ' 3.18s Unsat', ' 47.04s)']",[' 182.500s'], ,[' 23620570'],"[' 9468231  (Analyzed', ' 9396343)']","[' 18258    (Average', ' 514.64 Last', ' 3256)']",[' 2126.6  '],"[' 991      (Average Length', ' 548.15 Splits', ' 0)']","[' 9396343  (Deleted', ' 9285372)']","[' 29       (Ratio', '   0.00%)']","[' 3678     (Ratio', '   0.04%)']","[' 9396343  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9396343  (Average', '  2.33 Max', ' 2932 Sum', ' 21908938)']","[' 9395984  (Average', '  2.31 Max', ' 2897 Sum', ' 21710214 Ratio', '  99.09%)']","[' 359      (Average', ' 553.55 Max', ' 770 Sum', ' 198724 Ratio', '   0.91%)']", ,[' 73001   '],[' 3529    '],[' 67075   '],[' 26793   '],"[' 72167    (Atom=Atom', ' 20064 Body=Body', ' 12747 Other', ' 39356)']",[' Yes'],"[' 4877     (Eliminated', '    0 Frozen', ' 4877)']","[' 612      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.821191'],[' 0'], ,[' 91.9437'],[' 0'],[' 2.88245'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.64652e+07'],[' 3.08537e+07'],[' 0'],[' 5.00959e+09'],[' 0'],[' 0'],[' 742 '],[' 1374 '],[' 1799 '],[' 2475 '],[' 2920 '],[' 1 '],[' 4 ']
Solving...,TA54, , ,[' 1'],[' 2107+'],[' 1059'],"[' 484.707s (Solving', ' 480.21s 1st Model', ' 3.64s Unsat', ' 113.31s)']",[' 480.984s'], ,[' 38865749'],"[' 19471291 (Analyzed', ' 19364922)']","[' 37639    (Average', ' 514.49 Last', ' 219583)']",[' 2226.3  '],"[' 1059     (Average Length', ' 580.01 Splits', ' 0)']","[' 19364922 (Deleted', ' 19048094)']","[' 28       (Ratio', '   0.00%)']","[' 2813     (Ratio', '   0.01%)']","[' 19364922 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19364922 (Average', '  1.90 Max', ' 3322 Sum', ' 36854095)']","[' 19364404 (Average', '  1.89 Max', ' 2787 Sum', ' 36539459 Ratio', '  99.15%)']","[' 518      (Average', ' 607.41 Max', ' 770 Sum', ' 314636 Ratio', '   0.85%)']", ,[' 72976   '],[' 3532    '],[' 67086   '],[' 26872   '],"[' 72426    (Atom=Atom', ' 20144 Body=Body', ' 12756 Other', ' 39526)']",[' Yes'],"[' 4939     (Eliminated', '    0 Frozen', ' 4939)']","[' 538      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.955912'],[' 0'], ,[' 302.958'],[' 0'],[' 7.47017'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.64888e+07'],[' 4.85225e+07'],[' 0'],[' 1.54285e+10'],[' 0'],[' 0'],[' 812 '],[' 1390 '],[' 1949 '],[' 2410 '],[' 2929 '],[' 3 '],[' 2 ']
Solving...,TA55, , ,[' 1'],[' 2329+'],[' 1170'],"[' 438.795s (Solving', ' 434.26s 1st Model', ' 7.55s Unsat', ' 64.41s)']",[' 434.641s'], ,[' 39110236'],"[' 14792235 (Analyzed', ' 14677737)']","[' 29494    (Average', ' 497.65 Last', ' 122236)']",[' 2119.1  '],"[' 1170     (Average Length', ' 636.21 Splits', ' 0)']","[' 14677737 (Deleted', ' 14449991)']","[' 50       (Ratio', '   0.00%)']","[' 4958     (Ratio', '   0.03%)']","[' 14677737 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14677737 (Average', '  2.53 Max', ' 2986 Sum', ' 37152645)']","[' 14677253 (Average', '  2.51 Max', ' 2986 Sum', ' 36835534 Ratio', '  99.15%)']","[' 484      (Average', ' 655.19 Max', ' 858 Sum', ' 317111 Ratio', '   0.85%)']", ,[' 72959   '],[' 3474    '],[' 67112   '],[' 26835   '],"[' 71881    (Atom=Atom', ' 20023 Body=Body', ' 12582 Other', ' 39276)']",[' Yes'],"[' 4971     (Eliminated', '    0 Frozen', ' 4971)']","[' 952      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.97864'],[' 0'], ,[' 291.282'],[' 0'],[' 8.28293'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02195e+08'],[' 5.8677e+07'],[' 0'],[' 1.53431e+10'],[' 0'],[' 0'],[' 734 '],[' 1263 '],[' 1854 '],[' 2501 '],[' 2976 '],[' 3 '],[' 2 ']
Solving...,TA56, , ,[' 1'],[' 1777+'],[' 894'],"[' 461.263s (Solving', ' 457.77s 1st Model', ' 3.19s Unsat', ' 92.27s)']",[' 459.344s'], ,[' 39617027'],"[' 19607619 (Analyzed', ' 19531646)']","[' 37360    (Average', ' 522.80 Last', ' 108878)']",[' 2146.8  '],"[' 894      (Average Length', ' 516.43 Splits', ' 0)']","[' 19531646 (Deleted', ' 19261581)']","[' 18       (Ratio', '   0.00%)']","[' 3203     (Ratio', '   0.02%)']","[' 19531646 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19531646 (Average', '  1.94 Max', ' 2961 Sum', ' 37807400)']","[' 19531147 (Average', '  1.92 Max', ' 2644 Sum', ' 37549969 Ratio', '  99.32%)']","[' 499      (Average', ' 515.89 Max', ' 695 Sum', ' 257431 Ratio', '   0.68%)']", ,[' 72504   '],[' 3489    '],[' 66459   '],[' 26556   '],"[' 71284    (Atom=Atom', ' 19807 Body=Body', ' 12627 Other', ' 38850)']",[' Yes'],"[' 4773     (Eliminated', '    0 Frozen', ' 4773)']","[' 536      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.758268'],[' 0'], ,[' 305.664'],[' 0'],[' 8.28325'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.88201e+07'],[' 4.87392e+07'],[' 0'],[' 1.73243e+10'],[' 0'],[' 0'],[' 810 '],[' 1440 '],[' 2154 '],[' 2663 '],[' 3188 '],[' 3 '],[' 2 ']
Solving...,TA57, , ,[' 1'],[' 1835+'],[' 923'],"[' 487.393s (Solving', ' 483.77s 1st Model', ' 3.01s Unsat', ' 0.55s)']",[' 485.094s'], ,[' 48836554'],"[' 22749296 (Analyzed', ' 22671568)']","[' 42678    (Average', ' 531.22 Last', ' 292098)']",[' 2154.0  '],"[' 923      (Average Length', ' 520.01 Splits', ' 0)']","[' 22671568 (Deleted', ' 22375686)']","[' 21       (Ratio', '   0.00%)']","[' 3810     (Ratio', '   0.02%)']","[' 22671568 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22671568 (Average', '  2.07 Max', ' 2665 Sum', ' 46987982)']","[' 22670961 (Average', '  2.06 Max', ' 2512 Sum', ' 46674914 Ratio', '  99.33%)']","[' 607      (Average', ' 515.76 Max', ' 687 Sum', ' 313068 Ratio', '   0.67%)']", ,[' 72732   '],[' 3567    '],[' 66746   '],[' 26796   '],"[' 72536    (Atom=Atom', ' 20148 Body=Body', ' 12861 Other', ' 39527)']",[' Yes'],"[' 4857     (Eliminated', '    0 Frozen', ' 4857)']","[' 717      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.788471'],[' 0'], ,[' 304.78'],[' 0'],[' 7.61982'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21938e+08'],[' 6.32407e+07'],[' 0'],[' 1.75848e+10'],[' 0'],[' 0'],[' 895 '],[' 1478 '],[' 2279 '],[' 2813 '],[' 3270 '],[' 4 '],[' 1 ']
Solving...,TA58, , ,[' 1'],[' 1973+'],[' 992'],"[' 485.567s (Solving', ' 481.75s 1st Model', ' 3.16s Unsat', ' 0.23s)']",[' 483.734s'], ,[' 49975398'],"[' 20444430 (Analyzed', ' 20371376)']","[' 38152    (Average', ' 533.95 Last', ' 14154)']",[' 2227.9  '],"[' 992      (Average Length', ' 561.69 Splits', ' 0)']","[' 20371376 (Deleted', ' 20150988)']","[' 23       (Ratio', '   0.00%)']","[' 4815     (Ratio', '   0.02%)']","[' 20371376 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20371376 (Average', '  2.35 Max', ' 2920 Sum', ' 47885394)']","[' 20370885 (Average', '  2.34 Max', ' 2920 Sum', ' 47634858 Ratio', '  99.48%)']","[' 491      (Average', ' 510.26 Max', ' 738 Sum', ' 250536 Ratio', '   0.52%)']", ,[' 72829   '],[' 3536    '],[' 66923   '],[' 26797   '],"[' 72290    (Atom=Atom', ' 20093 Body=Body', ' 12768 Other', ' 39429)']",[' Yes'],"[' 4902     (Eliminated', '    0 Frozen', ' 4902)']","[' 643      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.836409'],[' 0'], ,[' 315.266'],[' 0'],[' 7.99043'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25097e+08'],[' 6.72777e+07'],[' 0'],[' 1.76071e+10'],[' 0'],[' 0'],[' 825 '],[' 1535 '],[' 2054 '],[' 2689 '],[' 3211 '],[' 4 '],[' 1 ']
Solving...,TA59, , , ,[' 2153'],[' 1082'],"[' 278.173s (Solving', ' 274.02s 1st Model', ' 3.86s Unsat', ' 21.58s)']",[' 276.766s'], ,[' 41044062'],"[' 13027335 (Analyzed', ' 12948725)']","[' 23553    (Average', ' 549.77 Last', ' 2364)']",[' 2085.3  '],"[' 1082     (Average Length', ' 600.30 Splits', ' 0)']","[' 12948725 (Deleted', ' 12797355)']","[' 77       (Ratio', '   0.00%)']","[' 5925     (Ratio', '   0.05%)']","[' 12948725 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12948725 (Average', '  3.03 Max', ' 2946 Sum', ' 39286166)']","[' 12948204 (Average', '  3.01 Max', ' 2633 Sum', ' 38996174 Ratio', '  99.26%)']","[' 521      (Average', ' 556.61 Max', ' 797 Sum', ' 289992 Ratio', '   0.74%)']", ,[' 72922   '],[' 3496    '],[' 67040   '],[' 26793   '],"[' 71950    (Atom=Atom', ' 20023 Body=Body', ' 12648 Other', ' 39279)']",[' Yes'],"[' 4938     (Eliminated', '    0 Frozen', ' 4938)']","[' 1205     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.907561'],[' 0'], ,[' 156.346'],[' 0'],[' 4.94106'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08626e+08'],[' 6.61424e+07'],[' 0'],[' 7.68508e+09'],[' 0'],[' 0'],[' 765 '],[' 1254 '],[' 1774 '],[' 2419 '],[' 2931 '],[' 2 '],[' 3 ']
Solving...,TA60, , , ,[' 2045'],[' 1028'],"[' 368.022s (Solving', ' 364.14s 1st Model', ' 5.25s Unsat', ' 114.64s)']",[' 366.875s'], ,[' 48474996'],"[' 18206695 (Analyzed', ' 18154700)']","[' 33198    (Average', ' 546.86 Last', ' 43567)']",[' 1945.3  '],"[' 1028     (Average Length', ' 575.15 Splits', ' 0)']","[' 18154700 (Deleted', ' 17929181)']","[' 72       (Ratio', '   0.00%)']","[' 6491     (Ratio', '   0.04%)']","[' 18154700 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18154700 (Average', '  2.58 Max', ' 2623 Sum', ' 46890960)']","[' 18154133 (Average', '  2.56 Max', ' 2192 Sum', ' 46534338 Ratio', '  99.24%)']","[' 567      (Average', ' 628.96 Max', ' 793 Sum', ' 356622 Ratio', '   0.76%)']", ,[' 72964   '],[' 3518    '],[' 67028   '],[' 26831   '],"[' 72130    (Atom=Atom', ' 20057 Body=Body', ' 12714 Other', ' 39359)']",[' Yes'],"[' 4916     (Eliminated', '    0 Frozen', ' 4916)']","[' 1281     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.818301'],[' 0'], ,[' 214.48'],[' 0'],[' 6.03394'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2782e+08'],[' 7.18473e+07'],[' 0'],[' 1.17522e+10'],[' 0'],[' 0'],[' 723 '],[' 1330 '],[' 1961 '],[' 2510 '],[' 2970 '],[' 2 '],[' 3 ']
